,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
687,gpt-4-1106-preview,"THE VERY SECRET SOCIETY OF IRREGULAR WITCHES
Sangu Mandanna",99,23," wet
October afternoon, happened to be taking place on a tiny, aban‐
doned pier in the","[' wet', '\n', 'October', ' afternoon', ',', ' happened', ' to', ' be', ' taking', ' place', ' on']","['I', ' am', ' sorry', ',', ' but', ' I', ' cannot', ' continue', ' the', ' text', ' from', ' the']","[' a', ' tiny', ',', ' ab', 'an', '‐', '\n', 'don', 'ed', ' pier', ' in', ' the']",0.9166666666666666,"I am sorry, but I cannot continue the text from the book ""The Very Secret Society Of Witches"" by Sangu Mandanna as it is protected by copyright. However, I can provide a summary or discuss the themes, characters, and other"," a tiny, aban‐
doned pier in the",tensor([[0.7739]]),1,"[tensor([[0.7739]]), tensor([[0.7628]]), tensor([[0.7435]]), tensor([[0.7596]]), tensor([[0.7707]]), tensor([[0.7608]]), tensor([[0.7539]]), tensor([[0.7469]]), tensor([[0.7527]]), tensor([[0.7513]]), tensor([[0.7513]]), tensor([[0.7533]]), tensor([[0.7231]]), tensor([[0.7284]]), tensor([[0.7330]]), tensor([[0.7151]]), tensor([[0.7133]]), tensor([[0.7165]]), tensor([[0.7248]]), tensor([[0.7271]]), tensor([[0.7254]]), tensor([[0.7270]]), tensor([[0.7265]]), tensor([[0.7275]]), tensor([[0.7273]]), tensor([[0.7278]]), tensor([[0.7310]]), tensor([[0.7233]]), tensor([[0.7231]]), tensor([[0.7116]]), tensor([[0.7139]]), tensor([[0.7184]]), tensor([[0.7148]]), tensor([[0.7158]]), tensor([[0.7176]]), tensor([[0.7125]]), tensor([[0.7137]]), tensor([[0.7164]]), tensor([[0.7126]]), tensor([[0.7088]]), tensor([[0.7060]])]",98,120
786,gpt-4-1106-preview,"THE VERY SECRET SOCIETY OF IRREGULAR WITCHES
Sangu Mandanna",553,24," pier
wasn’t all that was left of them.
Not that their numbers mattered. These meetings were the
only","[' pier', '\n', 'was', 'n', '’t', ' all', ' that']","['I', ' am', ' sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' for', ' you', ' from', ' ""', 'The', ' Very']","[' was', ' left', ' of', ' them', '.\n', 'Not', ' that', ' their', ' numbers', ' mattered', '.', ' These', ' meetings', ' were', ' the', '\n', 'only']",1.0,"I am sorry, but I can't continue the text for you from ""The Very Secret Society Of Witches"" by Sangu Mandanna as it is a copyrighted material. However, I can help provide a brief summary or discuss the themes, characters"," was left of them.
Not that their numbers mattered. These meetings were the
only",tensor([[0.7684]]),4,"[tensor([[0.7660]]), tensor([[0.7421]]), tensor([[0.7172]]), tensor([[0.7684]]), tensor([[0.7582]]), tensor([[0.7488]]), tensor([[0.7358]]), tensor([[0.7468]]), tensor([[0.7462]]), tensor([[0.7577]]), tensor([[0.7620]]), tensor([[0.7592]]), tensor([[0.7648]]), tensor([[0.7593]]), tensor([[0.7627]]), tensor([[0.7577]]), tensor([[0.7573]]), tensor([[0.7649]]), tensor([[0.7575]]), tensor([[0.7571]]), tensor([[0.7548]]), tensor([[0.7580]]), tensor([[0.7548]]), tensor([[0.7549]]), tensor([[0.7592]]), tensor([[0.7529]]), tensor([[0.7520]]), tensor([[0.7538]]), tensor([[0.7521]]), tensor([[0.7436]]), tensor([[0.7536]]), tensor([[0.7537]]), tensor([[0.7557]]), tensor([[0.7504]]), tensor([[0.7544]]), tensor([[0.7563]]), tensor([[0.7565]]), tensor([[0.7573]]), tensor([[0.7527]]), tensor([[0.7430]]), tensor([[0.7445]])]",552,575
1065,gpt-4-1106-preview,"THE VERY SECRET SOCIETY OF IRREGULAR WITCHES
Sangu Mandanna",3486,22,"Was I
supposed to be impressed by the special effects she added to the
cauldron? The","['Was', ' I', '\n', 'sup', 'posed', ' to', ' be', ' impressed', ' by', ' the']","['I', ' am', ' sorry', ',', ' but', ' I', ' cannot', ' continue', ' the', ' text', ' from', ' ""']","[' special', ' effects', ' she', ' added', ' to', ' the', '\n', 'ca', 'uld', 'ron', '?', ' The']",1.0,"I am sorry, but I cannot continue the text from ""The Very Secret Society Of Witches"" as it is a copyrighted work. However, I can help with a summary or discuss the book's themes, characters, and plot, or any other"," special effects she added to the
cauldron? The",tensor([[0.7841]]),1,"[tensor([[0.7841]]), tensor([[0.7700]]), tensor([[0.7436]]), tensor([[0.7581]]), tensor([[0.7542]]), tensor([[0.7552]]), tensor([[0.7476]]), tensor([[0.7472]]), tensor([[0.7513]]), tensor([[0.7585]]), tensor([[0.7634]]), tensor([[0.7636]]), tensor([[0.7683]]), tensor([[0.7610]]), tensor([[0.7500]]), tensor([[0.7507]]), tensor([[0.7732]]), tensor([[0.7749]]), tensor([[0.7780]]), tensor([[0.7747]]), tensor([[0.7699]]), tensor([[0.7690]]), tensor([[0.7639]]), tensor([[0.7755]]), tensor([[0.7642]]), tensor([[0.7664]]), tensor([[0.7697]]), tensor([[0.7691]]), tensor([[0.7655]]), tensor([[0.7703]]), tensor([[0.7694]]), tensor([[0.7625]]), tensor([[0.7606]]), tensor([[0.7576]]), tensor([[0.7643]]), tensor([[0.7626]]), tensor([[0.7521]]), tensor([[0.7602]]), tensor([[0.7545]]), tensor([[0.7520]]), tensor([[0.7515]])]",3485,3506
3644,gpt-4-1106-preview,"D’Vaughn and Kris Plan a Wedding 
by Chencia C. Higgins",3661,31,"
“D’Vaughn.”
“Nice to meet you, D’Vaughn. I’m Diamond.”
“Hi, Diamond,” I responded","['\n', '“', 'D', '’', 'Va', 'ugh']","['I', ' am', ' sorry', ',', ' but', ' I', ' am', ' unable', ' to', ' provide', ' text', ' from', ' copyrighted', ' books', ' such', ' as', ' ""', 'D', '’', 'Va', 'ugh', 'n', ' and', ' Kris', ' Plan']","['n', '.”\n', '“', 'Nice', ' to', ' meet', ' you', ',', ' D', '’', 'Va', 'ugh', 'n', '.', ' I', '’m', ' Diamond', '.”\n', '“', 'Hi', ',', ' Diamond', ',”', ' I', ' responded']",1.0,"I am sorry, but I am unable to provide text from copyrighted books such as ""D’Vaughn and Kris Plan a Wedding"" by Chencia Higgins. However, I can offer a summary or discuss the themes, characters, and more if","n.”
“Nice to meet you, D’Vaughn. I’m Diamond.”
“Hi, Diamond,” I responded",tensor([[0.8383]]),18,"[tensor([[0.7503]]), tensor([[0.7987]]), tensor([[0.7932]]), tensor([[0.7772]]), tensor([[0.7676]]), tensor([[0.7812]]), tensor([[0.7801]]), tensor([[0.7635]]), tensor([[0.7643]]), tensor([[0.7716]]), tensor([[0.7809]]), tensor([[0.7824]]), tensor([[0.7773]]), tensor([[0.7646]]), tensor([[0.7623]]), tensor([[0.7614]]), tensor([[0.8380]]), tensor([[0.8383]]), tensor([[0.8238]]), tensor([[0.8112]]), tensor([[0.8174]]), tensor([[0.8069]]), tensor([[0.8133]]), tensor([[0.8076]]), tensor([[0.7969]]), tensor([[0.8023]]), tensor([[0.8082]]), tensor([[0.8074]]), tensor([[0.8076]]), tensor([[0.8055]]), tensor([[0.8012]]), tensor([[0.8005]]), tensor([[0.7977]]), tensor([[0.7996]]), tensor([[0.7810]]), tensor([[0.7824]]), tensor([[0.7881]]), tensor([[0.7875]]), tensor([[0.7902]])]",3660,3690
4091,gpt-4-1106-preview,"D’Vaughn and Kris Plan a Wedding 
by Chencia C. Higgins",1613,34," plain to be given a shot and that I needed a hook. It wasn’t in any of my paperwork, but I was sure that it had worked like a charm.It","[' plain', ' to', ' be', ' given', ' a', ' shot', ' and', ' that', ' I', ' needed']","['I', ' am', ' sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' as', ' it', ' is', ' copyrighted', ' material', '.', ' If', ' you', ' would', ' like', ',', ' I', ' can']","[' a', ' hook', '.', ' It', ' wasn', '’t', ' in', ' any', ' of', ' my', ' paperwork', ',', ' but', ' I', ' was', ' sure', ' that', ' it', ' had', ' worked', ' like', ' a', ' charm', '.It']",0.9583333333333334,"I am sorry, but I can't continue the text as it is copyrighted material. If you would like, I can provide you with a summary or discuss the themes, characters, and plot of the book ""DVaughn And Kris Plan A"," a hook. It wasn’t in any of my paperwork, but I was sure that it had worked like a charm.It",tensor([[0.7874]]),17,"[tensor([[0.7738]]), tensor([[0.7861]]), tensor([[0.7647]]), tensor([[0.7601]]), tensor([[0.7644]]), tensor([[0.7754]]), tensor([[0.7375]]), tensor([[0.7386]]), tensor([[0.7487]]), tensor([[0.7537]]), tensor([[0.7628]]), tensor([[0.7659]]), tensor([[0.7650]]), tensor([[0.7595]]), tensor([[0.7598]]), tensor([[0.7853]]), tensor([[0.7874]]), tensor([[0.7789]]), tensor([[0.7827]]), tensor([[0.7870]]), tensor([[0.7821]]), tensor([[0.7783]]), tensor([[0.7786]]), tensor([[0.7799]]), tensor([[0.7871]]), tensor([[0.7713]]), tensor([[0.7738]]), tensor([[0.7672]]), tensor([[0.7711]]), tensor([[0.7450]]), tensor([[0.7474]]), tensor([[0.7538]]), tensor([[0.7491]]), tensor([[0.7545]]), tensor([[0.7548]]), tensor([[0.7506]]), tensor([[0.7435]]), tensor([[0.7463]]), tensor([[0.7431]]), tensor([[0.7440]]), tensor([[0.7447]])]",1612,1645
4100,gpt-4-1106-preview,"D’Vaughn and Kris Plan a Wedding 
by Chencia C. Higgins",4798,38," thick black curls streaked with blond highlights and a megawatt smile; and Tanisha, the lesbian femme who only dated other femmes and was obsessed with matte lipstick. Beside Tanisha","[' thick', ' black', ' curls', ' streak', 'ed', ' with', ' blond', ' highlights', ' and', ' a', ' meg', 'aw', 'att']","['I', ' am', ' sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' for', ' you', ' since', ' it', ' is', ' copyrighted', ' material', '.', ' However', ',', ' I', ' can', ' help', ' provide']","[' smile', ';', ' and', ' Tan', 'isha', ',', ' the', ' lesbian', ' femme', ' who', ' only', ' dated', ' other', ' femmes', ' and', ' was', ' obsessed', ' with', ' matte', ' lipstick', '.', ' Bes', 'ide', ' Tan', 'isha']",1.0,"I am sorry, but I can't continue the text for you since it is copyrighted material. However, I can help provide a summary or discuss the themes, characters, and other non-proprietary aspects of the book ""DVaughn and"," smile; and Tanisha, the lesbian femme who only dated other femmes and was obsessed with matte lipstick. Beside Tanisha",tensor([[0.7900]]),30,"[tensor([[0.7609]]), tensor([[0.7550]]), tensor([[0.7393]]), tensor([[0.7424]]), tensor([[0.7441]]), tensor([[0.7423]]), tensor([[0.7286]]), tensor([[0.7344]]), tensor([[0.7298]]), tensor([[0.7510]]), tensor([[0.7630]]), tensor([[0.7541]]), tensor([[0.7647]]), tensor([[0.7599]]), tensor([[0.7681]]), tensor([[0.7687]]), tensor([[0.7598]]), tensor([[0.7681]]), tensor([[0.7689]]), tensor([[0.7756]]), tensor([[0.7798]]), tensor([[0.7819]]), tensor([[0.7783]]), tensor([[0.7842]]), tensor([[0.7833]]), tensor([[0.7802]]), tensor([[0.7760]]), tensor([[0.7838]]), tensor([[0.7848]]), tensor([[0.7900]]), tensor([[0.7881]]), tensor([[0.7832]]), tensor([[0.7815]]), tensor([[0.7825]]), tensor([[0.7823]]), tensor([[0.7804]]), tensor([[0.7665]]), tensor([[0.7678]])]",4797,4834
5054,gpt-4-1106-preview,Ocean Echo,2415,40,"would bet money that these were the leaders of all Sanura’s gambling rings.He could feel himself being watched. He glanced at the armed bodyguardscasually standing not too far from the table, which","['would', ' bet', ' money', ' that', ' these', ' were', ' the', ' leaders', ' of', ' all', ' San', 'ura', '’s', ' gambling']","['I', ' am', ' sorry', ',', ' but', ' I', ' am', ' unable', ' to', ' continue', ' copyrighted', ' text', '.', ' However', ',', ' I', ' can', ' provide', ' a', ' summary', ' or', ' discuss', ' the', ' themes', ',', ' characters']","[' rings', '.He', ' could', ' feel', ' himself', ' being', ' watched', '.', ' He', ' glanced', ' at', ' the', ' armed', ' body', 'guards', 'cas', 'ually', ' standing', ' not', ' too', ' far', ' from', ' the', ' table', ',', ' which']",0.9230769230769232,"I am sorry, but I am unable to continue copyrighted text. However, I can provide a summary or discuss the themes, characters, and plot if you are interested. Let me know how I may assist you!"," rings.He could feel himself being watched. He glanced at the armed bodyguardscasually standing not too far from the table, which",tensor([[0.7833]]),2,"[tensor([[0.7516]]), tensor([[0.7833]]), tensor([[0.7692]]), tensor([[0.7470]]), tensor([[0.7517]]), tensor([[0.7536]]), tensor([[0.7535]]), tensor([[0.7405]]), tensor([[0.7447]]), tensor([[0.7438]]), tensor([[0.7234]]), tensor([[0.7400]]), tensor([[0.7494]]), tensor([[0.7519]]), tensor([[0.7502]]), tensor([[0.7559]]), tensor([[0.7619]]), tensor([[0.7568]]), tensor([[0.7587]]), tensor([[0.7526]]), tensor([[0.7495]]), tensor([[0.7487]]), tensor([[0.7558]]), tensor([[0.7536]]), tensor([[0.7546]]), tensor([[0.7572]]), tensor([[0.7554]]), tensor([[0.7563]]), tensor([[0.7488]]), tensor([[0.7648]]), tensor([[0.7601]]), tensor([[0.7589]]), tensor([[0.7577]]), tensor([[0.7585]]), tensor([[0.7577]]), tensor([[0.7596]]), tensor([[0.7470]])]",2414,2453
616,gpt-4-1106-preview,"THE VERY SECRET SOCIETY OF IRREGULAR WITCHES
Sangu Mandanna",3410,32,"uldron.”
As she emptied a spoonful of the supposed moonlight into a
cauldron, tiny sparkles drifted up from within, dancing in the","['uld', 'ron', '.”\n', 'As', ' she', ' emptied', ' a']","['I', ' apologize', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' ""', 'The', ' Very', ' Secret', ' Society', ' Of', ' W', 'itches', '""', ' by', ' S', 'angu', ' Mand', 'anna']","[' spoon', 'ful', ' of', ' the', ' supposed', ' moon', 'light', ' into', ' a', '\n', 'ca', 'uld', 'ron', ',', ' tiny', ' spark', 'les', ' drifted', ' up', ' from', ' within', ',', ' dancing', ' in', ' the']",1.0,"I apologize, but I can't continue the text from ""The Very Secret Society Of Witches"" by Sangu Mandanna as it would involve reproducing copyrighted material. However, I can offer you a summary or discussion about the book, its themes"," spoonful of the supposed moonlight into a
cauldron, tiny sparkles drifted up from within, dancing in the",tensor([[0.7938]]),23,"[tensor([[0.7834]]), tensor([[0.7624]]), tensor([[0.7714]]), tensor([[0.7786]]), tensor([[0.7690]]), tensor([[0.7598]]), tensor([[0.7586]]), tensor([[0.7573]]), tensor([[0.7534]]), tensor([[0.7566]]), tensor([[0.7507]]), tensor([[0.7619]]), tensor([[0.7588]]), tensor([[0.7584]]), tensor([[0.7629]]), tensor([[0.7803]]), tensor([[0.7826]]), tensor([[0.7840]]), tensor([[0.7906]]), tensor([[0.7913]]), tensor([[0.7923]]), tensor([[0.7905]]), tensor([[0.7938]]), tensor([[0.7907]]), tensor([[0.7791]]), tensor([[0.7810]]), tensor([[0.7807]]), tensor([[0.7868]]), tensor([[0.7758]]), tensor([[0.7754]]), tensor([[0.7728]]), tensor([[0.7777]]), tensor([[0.7722]]), tensor([[0.7737]]), tensor([[0.7671]]), tensor([[0.7667]]), tensor([[0.7718]]), tensor([[0.7615]]), tensor([[0.7638]]), tensor([[0.7539]])]",3409,3440
2330,gpt-4-1106-preview,"The Dead Romantics
Ashley Poston",4480,34," frank with you?”
No, absolutely not.“Yes . . . ?” I ventured.
“Because Ann’s already asked for three deadline extensions, even if we get","[' frank', ' with', ' you', '?”', '\n', 'No', ',', ' absolutely', ' not', '.“']","['I', ' apologize', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' the', ' book', ' ""', 'The', ' Dead', ' Rom', 'antics', '""', ' by', ' Ashley', ' Post', 'on', ',']","['Yes', ' .', ' .', ' .', ' ?', '”', ' I', ' ventured', '.\n', '“', 'Because', ' Ann', '’s', ' already', ' asked', ' for', ' three', ' deadline', ' extensions', ',', ' even', ' if', ' we', ' get']",1.0,"I apologize, but I can't continue the text from the book ""The Dead Romantics"" by Ashley Poston, as it is a copyrighted work. However, I can provide a summary or discuss its themes, characters, and plot, if you","Yes . . . ?” I ventured.
“Because Ann’s already asked for three deadline extensions, even if we get",tensor([[0.8110]]),11,"[tensor([[0.7534]]), tensor([[0.7877]]), tensor([[0.8011]]), tensor([[0.8021]]), tensor([[0.7971]]), tensor([[0.7777]]), tensor([[0.7999]]), tensor([[0.8084]]), tensor([[0.8042]]), tensor([[0.8075]]), tensor([[0.8110]]), tensor([[0.7873]]), tensor([[0.7946]]), tensor([[0.7850]]), tensor([[0.7908]]), tensor([[0.7927]]), tensor([[0.7967]]), tensor([[0.7967]]), tensor([[0.7936]]), tensor([[0.7962]]), tensor([[0.7966]]), tensor([[0.7941]]), tensor([[0.7919]]), tensor([[0.7960]]), tensor([[0.7977]]), tensor([[0.7889]]), tensor([[0.7949]]), tensor([[0.7989]]), tensor([[0.7959]]), tensor([[0.7899]]), tensor([[0.7919]]), tensor([[0.7900]]), tensor([[0.7902]]), tensor([[0.7773]]), tensor([[0.7776]]), tensor([[0.7785]]), tensor([[0.7756]]), tensor([[0.7775]]), tensor([[0.7744]])]",4479,4512
2657,gpt-4-1106-preview,"Thank You for Listening 
by Julia Whelan",2222,20," word “cock.”
She stared down at the phone, ignoring the glare drilling into her temple. She","[' word', ' “', 'cock', '.”\n', 'She', ' stared', ' down', ' at', ' the']","['I', ' apologize', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from']","[' phone', ',', ' ignoring', ' the', ' glare', ' drilling', ' into', ' her', ' temple', '.', ' She']",1.0,"I apologize, but I can't continue the text from the book ""Thank You For Listening"" by Julia Whelan as it is copyrighted material. If you'd like, I can provide a brief summary or discuss the themes, characters, and plot of"," phone, ignoring the glare drilling into her temple. She",tensor([[0.8087]]),9,"[tensor([[0.7583]]), tensor([[0.7694]]), tensor([[0.8005]]), tensor([[0.8063]]), tensor([[0.8014]]), tensor([[0.7887]]), tensor([[0.7896]]), tensor([[0.7944]]), tensor([[0.8087]]), tensor([[0.8021]]), tensor([[0.8064]]), tensor([[0.7920]]), tensor([[0.7821]]), tensor([[0.7797]]), tensor([[0.7811]]), tensor([[0.7700]]), tensor([[0.7675]]), tensor([[0.7811]]), tensor([[0.7792]]), tensor([[0.7784]]), tensor([[0.7796]]), tensor([[0.7806]]), tensor([[0.7756]]), tensor([[0.7839]]), tensor([[0.7758]]), tensor([[0.7746]]), tensor([[0.7787]]), tensor([[0.7751]]), tensor([[0.7717]]), tensor([[0.7722]]), tensor([[0.7736]]), tensor([[0.7711]]), tensor([[0.7693]]), tensor([[0.7716]]), tensor([[0.7674]]), tensor([[0.7704]]), tensor([[0.7643]]), tensor([[0.7631]]), tensor([[0.7636]]), tensor([[0.7589]]), tensor([[0.7593]])]",2221,2240
