,Unnamed: 0,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
1,1,gpt-4-1106-preview,Random Sheep,227,24," Daisy followed Matilda everywhere, learning from her wisdom and kindness. Together, they roamed the meadows, grazing on","[' Daisy', ' followed', ' Mat', 'ilda', ' everywhere']","['D', 'aisy', ' followed', ' Mat', 'ilda', ' everywhere', ',', ' through', ' the', ' lush', ' green', ' me', 'adows', ' and', ' down', ' the', ' winding', ' paths', ' that']","[',', ' learning', ' from', ' her', ' wisdom', ' and', ' kindness', '.', ' Together', ',', ' they', ' ro', 'amed', ' the', ' me', 'adows', ',', ' grazing', ' on']",1.0,"Daisy followed Matilda everywhere, through the lush green meadows and down the winding paths that cut through the countryside. Their fleece, white as the morning frost, almost glowed under the caress of the golden sun. Matilda, the elder",", learning from her wisdom and kindness. Together, they roamed the meadows, grazing on",tensor([[0.8651]]),12,"[tensor([[0.7321]]), tensor([[0.7169]]), tensor([[0.7637]]), tensor([[0.7785]]), tensor([[0.8021]]), tensor([[0.8092]]), tensor([[0.8142]]), tensor([[0.8302]]), tensor([[0.8218]]), tensor([[0.8588]]), tensor([[0.8620]]), tensor([[0.8651]]), tensor([[0.8625]]), tensor([[0.8621]]), tensor([[0.8605]]), tensor([[0.8616]]), tensor([[0.8572]]), tensor([[0.8600]]), tensor([[0.8600]]), tensor([[0.8424]]), tensor([[0.8506]]), tensor([[0.8518]]), tensor([[0.8472]]), tensor([[0.8498]]), tensor([[0.8485]]), tensor([[0.8434]]), tensor([[0.8338]]), tensor([[0.8422]]), tensor([[0.8387]]), tensor([[0.8385]]), tensor([[0.8392]]), tensor([[0.8410]]), tensor([[0.8453]]), tensor([[0.8440]]), tensor([[0.8356]]), tensor([[0.8318]]), tensor([[0.8368]]), tensor([[0.8411]]), tensor([[0.8399]])]",226,249,0.01
4,4,gpt-4-1106-preview,Random Sheep,48,29," the flock was a wise old ewe named Matilda. She had seen many seasons come and go, her fleece a testament to the passage of","[' the', ' flock', ' was', ' a', ' wise', ' old', ' ew', 'e', ' named']","['M', 'abel', '.', ' With', ' her', ' thick', ',', ' gre', 'ying', ' fleece', ' and', ' a', ' slow', ',', ' thoughtful', ' chewing', ' of', ' the', ' me', 'adow']","[' Mat', 'ilda', '.', ' She', ' had', ' seen', ' many', ' seasons', ' come', ' and', ' go', ',', ' her', ' fleece', ' a', ' testament', ' to', ' the', ' passage', ' of']",0.9,"Mabel. With her thick, greying fleece and a slow, thoughtful chewing of the meadow's sweet grasses, Mabel had seen many seasons come and go. She had watched countless lambs spring into the world and learn the ways of"," Matilda. She had seen many seasons come and go, her fleece a testament to the passage of",tensor([[0.8767]]),29,"[tensor([[0.7511]]), tensor([[0.7961]]), tensor([[0.7957]]), tensor([[0.8096]]), tensor([[0.8197]]), tensor([[0.8365]]), tensor([[0.8565]]), tensor([[0.8571]]), tensor([[0.8543]]), tensor([[0.8478]]), tensor([[0.8550]]), tensor([[0.8343]]), tensor([[0.8325]]), tensor([[0.8296]]), tensor([[0.8379]]), tensor([[0.8309]]), tensor([[0.8207]]), tensor([[0.8318]]), tensor([[0.8390]]), tensor([[0.8418]]), tensor([[0.8442]]), tensor([[0.8694]]), tensor([[0.8732]]), tensor([[0.8717]]), tensor([[0.8685]]), tensor([[0.8695]]), tensor([[0.8747]]), tensor([[0.8760]]), tensor([[0.8767]]), tensor([[0.8646]]), tensor([[0.8624]]), tensor([[0.8643]]), tensor([[0.8646]]), tensor([[0.8629]]), tensor([[0.8651]]), tensor([[0.8607]]), tensor([[0.8606]]), tensor([[0.8603]]), tensor([[0.8620]])]",47,75,0.01
7,7,gpt-4-1106-preview,Random Sheep,273,36," she never forgot the lesson Matilda had taught her: that in the flock of life, it's through unity and compassion that we find our way home.
","[' she', ' never', ' forgot', ' the', ' lesson', ' Mat', 'ilda', ' had', ' taught', ' her']","['Unfortunately', ',', ' as', ' an', ' AI', ',', ' I', ' don', ""'t"", ' have', ' access', ' to', ' the', ' rest', ' of', ' the', ' story', ' about', ' Mat', 'ilda', ' and']","[':', ' that', ' in', ' the', ' flock', ' of', ' life', ',', ' it', ""'s"", ' through', ' unity', ' and', ' compassion', ' that', ' we', ' find', ' our', ' way', ' home', '.\n']",1.0,"Unfortunately, as an AI, I don't have access to the rest of the story about Matilda and the sheep that you're referencing. If you provide more context or continue the story yourself, I can then help you build on that. Alternatively,",": that in the flock of life, it's through unity and compassion that we find our way home.
",tensor([[0.7766]]),25,"[tensor([[0.7435]]), tensor([[0.7603]]), tensor([[0.7598]]), tensor([[0.7665]]), tensor([[0.7560]]), tensor([[0.7588]]), tensor([[0.7626]]), tensor([[0.7488]]), tensor([[0.7482]]), tensor([[0.7481]]), tensor([[0.7401]]), tensor([[0.7507]]), tensor([[0.7499]]), tensor([[0.7472]]), tensor([[0.7530]]), tensor([[0.7554]]), tensor([[0.7410]]), tensor([[0.7416]]), tensor([[0.7457]]), tensor([[0.7618]]), tensor([[0.7659]]), tensor([[0.7742]]), tensor([[0.7686]]), tensor([[0.7752]]), tensor([[0.7766]]), tensor([[0.7719]]), tensor([[0.7709]]), tensor([[0.7717]]), tensor([[0.7733]]), tensor([[0.7720]]), tensor([[0.7743]]), tensor([[0.7714]]), tensor([[0.7687]]), tensor([[0.7719]]), tensor([[0.7689]]), tensor([[0.7693]]), tensor([[0.7698]]), tensor([[0.7690]]), tensor([[0.7734]]), tensor([[0.7734]]), tensor([[0.7692]]), tensor([[0.7694]])]",272,302,0.01
10,10,gpt-4-1106-preview,Random Sheep,58,27,"ilda. She had seen many seasons come and go, her fleece a testament to the passage of time.
One chilly autumn morning, as","['ilda', '.', ' She', ' had', ' seen', ' many']","['spr', 'ings', ' come', ' and', ' go', ',', ' each', ' time', ' leading', ' her', ' lam', 'bs', ' through', ' me', 'adows', ' dotted', ' with', ' d', 'ais', 'ies', ' and']","[' seasons', ' come', ' and', ' go', ',', ' her', ' fleece', ' a', ' testament', ' to', ' the', ' passage', ' of', ' time', '.\n', 'One', ' chilly', ' autumn', ' morning', ',', ' as']",0.8571428571428571,"springs come and go, each time leading her lambs through meadows dotted with daisies and clover. She loved the feel of the soft grass under her hooves and the warm sun on her back. This year, however, brought"," seasons come and go, her fleece a testament to the passage of time.
One chilly autumn morning, as",tensor([[0.8572]]),9,"[tensor([[0.7654]]), tensor([[0.7669]]), tensor([[0.7984]]), tensor([[0.8142]]), tensor([[0.8300]]), tensor([[0.8206]]), tensor([[0.8259]]), tensor([[0.8312]]), tensor([[0.8572]]), tensor([[0.8428]]), tensor([[0.8424]]), tensor([[0.8369]]), tensor([[0.8414]]), tensor([[0.8399]]), tensor([[0.8416]]), tensor([[0.8424]]), tensor([[0.8290]]), tensor([[0.8321]]), tensor([[0.8345]]), tensor([[0.8342]]), tensor([[0.8318]]), tensor([[0.8349]]), tensor([[0.8343]]), tensor([[0.8286]]), tensor([[0.8259]]), tensor([[0.8275]]), tensor([[0.8278]]), tensor([[0.8262]]), tensor([[0.8335]]), tensor([[0.8314]]), tensor([[0.8300]]), tensor([[0.8306]]), tensor([[0.8309]]), tensor([[0.8305]]), tensor([[0.8293]]), tensor([[0.8312]]), tensor([[0.8357]]), tensor([[0.8372]]), tensor([[0.8337]])]",57,83,0.01
13,13,gpt-4-1106-preview,Random Sheep,73,28," to the passage of time.
One chilly autumn morning, as the mist hung low over the meadow, Matilda noticed something amiss.","[' to', ' the', ' passage', ' of', ' time', '.\n', 'One', ' chilly']","['mor', 'ning', ',', ' the', ' flock', ' of', ' sheep', ' a', 'woke', ' to', ' the', ' gentle', ' ca', 'ress', ' of', ' the', ' sun', ""'s"", ' rays', ' piercing']","[' autumn', ' morning', ',', ' as', ' the', ' mist', ' hung', ' low', ' over', ' the', ' me', 'adow', ',', ' Mat', 'ilda', ' noticed', ' something', ' am', 'iss', '.']",0.95,"morning, the flock of sheep awoke to the gentle caress of the sun's rays piercing through the fog that lay thick upon their meadow. They shook the dew from their wool with stout shakes, their ears twitching at the sounds of"," autumn morning, as the mist hung low over the meadow, Matilda noticed something amiss.",tensor([[0.8398]]),31,"[tensor([[0.7471]]), tensor([[0.8085]]), tensor([[0.8065]]), tensor([[0.8178]]), tensor([[0.8185]]), tensor([[0.8017]]), tensor([[0.8142]]), tensor([[0.8124]]), tensor([[0.8064]]), tensor([[0.8121]]), tensor([[0.8057]]), tensor([[0.8085]]), tensor([[0.8063]]), tensor([[0.8110]]), tensor([[0.8085]]), tensor([[0.8116]]), tensor([[0.8083]]), tensor([[0.8089]]), tensor([[0.8177]]), tensor([[0.8225]]), tensor([[0.8169]]), tensor([[0.8159]]), tensor([[0.8176]]), tensor([[0.8171]]), tensor([[0.8357]]), tensor([[0.8325]]), tensor([[0.8366]]), tensor([[0.8355]]), tensor([[0.8398]]), tensor([[0.8396]]), tensor([[0.8398]]), tensor([[0.8373]]), tensor([[0.8366]]), tensor([[0.8336]]), tensor([[0.8360]]), tensor([[0.8372]]), tensor([[0.8325]]), tensor([[0.8325]]), tensor([[0.8323]]), tensor([[0.8324]]), tensor([[0.8324]]), tensor([[0.8321]])]",72,99,0.01
16,16,gpt-4-1106-preview,Random Sheep,41,34," quirks. At the heart of the flock was a wise old ewe named Matilda. She had seen many seasons come and go, her fleece a testament to the","[' quir', 'ks', '.', ' At', ' the']","['begin', 'ning', ' of', ' spring', ',', ' the', ' sheep', ' would', ' eagerly', ' bounce', ' out', ' into', ' the', ' fresh', ' green', ' past', 'ures', '.', ' It', ' was', ' a', ' sight', ' to', ' see', '—the', ' youngest', ' lam', 'bs', ' pr']","[' heart', ' of', ' the', ' flock', ' was', ' a', ' wise', ' old', ' ew', 'e', ' named', ' Mat', 'ilda', '.', ' She', ' had', ' seen', ' many', ' seasons', ' come', ' and', ' go', ',', ' her', ' fleece', ' a', ' testament', ' to', ' the']",1.0,"beginning of spring, the sheep would eagerly bounce out into the fresh green pastures. It was a sight to see—the youngest lambs prancing about, their snow-white fleece catching the sun’s early rays, creating a glow around them as if"," heart of the flock was a wise old ewe named Matilda. She had seen many seasons come and go, her fleece a testament to the",tensor([[0.8301]]),21,"[tensor([[0.7519]]), tensor([[0.7468]]), tensor([[0.7692]]), tensor([[0.7652]]), tensor([[0.7663]]), tensor([[0.8099]]), tensor([[0.8055]]), tensor([[0.8057]]), tensor([[0.8078]]), tensor([[0.8101]]), tensor([[0.8087]]), tensor([[0.8143]]), tensor([[0.8099]]), tensor([[0.8093]]), tensor([[0.8013]]), tensor([[0.8217]]), tensor([[0.8248]]), tensor([[0.8301]]), tensor([[0.8279]]), tensor([[0.8276]]), tensor([[0.8301]]), tensor([[0.8299]]), tensor([[0.8251]]), tensor([[0.8216]]), tensor([[0.8231]]), tensor([[0.8267]]), tensor([[0.8196]]), tensor([[0.8253]]), tensor([[0.8214]]), tensor([[0.8262]]), tensor([[0.8203]]), tensor([[0.8201]]), tensor([[0.8174]]), tensor([[0.8188]]), tensor([[0.8229]]), tensor([[0.8186]]), tensor([[0.8187]]), tensor([[0.8184]]), tensor([[0.8197]]), tensor([[0.8206]])]",40,73,0.01
19,19,gpt-4-1106-preview,Random Sheep,70,33," fleece a testament to the passage of time.
One chilly autumn morning, as the mist hung low over the meadow, Matilda noticed something amiss. One of","[' fleece', ' a', ' testament', ' to', ' the', ' passage', ' of', ' time', '.\n', 'One', ' chilly', ' autumn', ' morning', ',', ' as']","['the', ' first', ' light', ' of', ' dawn', ' broke', ' over', ' the', ' rolling', ' hills', ',', ' the', ' shepherd', ' carefully', ' her', 'ded', ' his', ' flock']","[' the', ' mist', ' hung', ' low', ' over', ' the', ' me', 'adow', ',', ' Mat', 'ilda', ' noticed', ' something', ' am', 'iss', '.', ' One', ' of']",0.9444444444444444,"the first light of dawn broke over the rolling hills, the shepherd carefully herded his flock onto the fresh, dew-covered pasture. The sheep, their coats heavy and warm, grazed contently, their gentle bleating a soft symphony in the"," the mist hung low over the meadow, Matilda noticed something amiss. One of",tensor([[0.8159]]),23,"[tensor([[0.7511]]), tensor([[0.7840]]), tensor([[0.7670]]), tensor([[0.7524]]), tensor([[0.7722]]), tensor([[0.7604]]), tensor([[0.7851]]), tensor([[0.7920]]), tensor([[0.7973]]), tensor([[0.7935]]), tensor([[0.7948]]), tensor([[0.8102]]), tensor([[0.8032]]), tensor([[0.8081]]), tensor([[0.7984]]), tensor([[0.8060]]), tensor([[0.7988]]), tensor([[0.8022]]), tensor([[0.8072]]), tensor([[0.8061]]), tensor([[0.8106]]), tensor([[0.8066]]), tensor([[0.8159]]), tensor([[0.8037]]), tensor([[0.8132]]), tensor([[0.8052]]), tensor([[0.7995]]), tensor([[0.8069]]), tensor([[0.7944]]), tensor([[0.8014]]), tensor([[0.7965]]), tensor([[0.8069]]), tensor([[0.8024]]), tensor([[0.7999]]), tensor([[0.8074]]), tensor([[0.8005]]), tensor([[0.7935]]), tensor([[0.7948]]), tensor([[0.7995]])]",69,101,0.01
22,22,gpt-4-1106-preview,Random Sheep,185,25,"ilda and the others worked together to free her. As they made their way back to the safety of the flock, Daisy nestled","['ilda', ' and', ' the', ' others', ' worked', ' together', ' to', ' free']","['their', ' trapped', ' friend', ',', ' a', ' young', ' lamb', ' that', ' had', ' stumbled', ' into', ' a', ' th', 'icket', ' of', ' br', 'amb']","[' her', '.', ' As', ' they', ' made', ' their', ' way', ' back', ' to', ' the', ' safety', ' of', ' the', ' flock', ',', ' Daisy', ' nestled']",1.0,"their trapped friend, a young lamb that had stumbled into a thicket of brambles during their afternoon graze. Their partnership was a testament to the bond among the flock. The older sheep used their sturdy bodies to push back the bristly"," her. As they made their way back to the safety of the flock, Daisy nestled",tensor([[0.8417]]),30,"[tensor([[0.7324]]), tensor([[0.7664]]), tensor([[0.7898]]), tensor([[0.7962]]), tensor([[0.8033]]), tensor([[0.7872]]), tensor([[0.8076]]), tensor([[0.8182]]), tensor([[0.8228]]), tensor([[0.8279]]), tensor([[0.8269]]), tensor([[0.8293]]), tensor([[0.8168]]), tensor([[0.8250]]), tensor([[0.8302]]), tensor([[0.8345]]), tensor([[0.8369]]), tensor([[0.8326]]), tensor([[0.8325]]), tensor([[0.8364]]), tensor([[0.8340]]), tensor([[0.8305]]), tensor([[0.8272]]), tensor([[0.8277]]), tensor([[0.8260]]), tensor([[0.8278]]), tensor([[0.8210]]), tensor([[0.8263]]), tensor([[0.8260]]), tensor([[0.8417]]), tensor([[0.8357]]), tensor([[0.8275]]), tensor([[0.8288]]), tensor([[0.8219]]), tensor([[0.8271]]), tensor([[0.8229]]), tensor([[0.8212]]), tensor([[0.8235]]), tensor([[0.8220]]), tensor([[0.8260]]), tensor([[0.8297]]), tensor([[0.8294]])]",184,208,0.01
25,25,gpt-4-1106-preview,Random Sheep,218,40," guidance and care.
From that day forward, Daisy followed Matilda everywhere, learning from her wisdom and kindness. Together, they roamed the meadows, grazing on sweet grass and basking in the","[' guidance', ' and', ' care', '.\n', 'From', ' that', ' day']","['on', 'ward', ',', ' the', ' sheep', ' learned', ' to', ' trust', ' the', ' shepherd', ',', ' knowing', ' that', ' he', ' would', ' always', ' lead', ' them', ' to', ' the', ' best', ' past', 'ures', ' and', ' protect', ' them', ' from', ' any', ' lurking', ' predators', '.', ' Life', ' in']","[' forward', ',', ' Daisy', ' followed', ' Mat', 'ilda', ' everywhere', ',', ' learning', ' from', ' her', ' wisdom', ' and', ' kindness', '.', ' Together', ',', ' they', ' ro', 'amed', ' the', ' me', 'adows', ',', ' grazing', ' on', ' sweet', ' grass', ' and', ' b', 'asking', ' in', ' the']",0.9696969696969696,"onward, the sheep learned to trust the shepherd, knowing that he would always lead them to the best pastures and protect them from any lurking predators. Life in the meadow took on a routine of grazing and frolicking under the watchful"," forward, Daisy followed Matilda everywhere, learning from her wisdom and kindness. Together, they roamed the meadows, grazing on sweet grass and basking in the",tensor([[0.8652]]),41,"[tensor([[0.7266]]), tensor([[0.7939]]), tensor([[0.7873]]), tensor([[0.7847]]), tensor([[0.8165]]), tensor([[0.8186]]), tensor([[0.8202]]), tensor([[0.8182]]), tensor([[0.8126]]), tensor([[0.8210]]), tensor([[0.8182]]), tensor([[0.8183]]), tensor([[0.8170]]), tensor([[0.8150]]), tensor([[0.8138]]), tensor([[0.8175]]), tensor([[0.8184]]), tensor([[0.8255]]), tensor([[0.8175]]), tensor([[0.8346]]), tensor([[0.8405]]), tensor([[0.8308]]), tensor([[0.8291]]), tensor([[0.8282]]), tensor([[0.8292]]), tensor([[0.8290]]), tensor([[0.8240]]), tensor([[0.8335]]), tensor([[0.8325]]), tensor([[0.8355]]), tensor([[0.8524]]), tensor([[0.8541]]), tensor([[0.8555]]), tensor([[0.8571]]), tensor([[0.8524]]), tensor([[0.8564]]), tensor([[0.8579]]), tensor([[0.8621]]), tensor([[0.8606]]), tensor([[0.8613]]), tensor([[0.8652]]), tensor([[0.8588]])]",217,256,0.01
28,28,gpt-4-1106-preview,Random Sheep,120,36,"ed, Matilda organized a search party among the flock, and they set off across the fields, bleating Daisy's name in unison.
After what felt like an eternity of","['ed', ',', ' Mat', 'ilda', ' organized', ' a', ' search', ' party', ' among']","['the', ' flock', '.', ' They', ' spread', ' out', ' across', ' the', ' rolling', ' hills', ' of', ' the', ' countryside', ',', ' ble', 'ating', ' to', ' each', ' other', ' in', ' their', ' sheep', ' language', ' to', ' coordinate', ' their', ' efforts']","[' the', ' flock', ',', ' and', ' they', ' set', ' off', ' across', ' the', ' fields', ',', ' ble', 'ating', ' Daisy', ""'s"", ' name', ' in', ' un', 'ison', '.\n', 'After', ' what', ' felt', ' like', ' an', ' eternity', ' of']",0.8888888888888888,"the flock. They spread out across the rolling hills of the countryside, bleating to each other in their sheep language to coordinate their efforts. Each hoof print, each tuft of wool caught on a bramble, was a clue leading them further into"," the flock, and they set off across the fields, bleating Daisy's name in unison.
After what felt like an eternity of",tensor([[0.8950]]),19,"[tensor([[0.7554]]), tensor([[0.7835]]), tensor([[0.8710]]), tensor([[0.8709]]), tensor([[0.8750]]), tensor([[0.8763]]), tensor([[0.8806]]), tensor([[0.8847]]), tensor([[0.8577]]), tensor([[0.8628]]), tensor([[0.8674]]), tensor([[0.8695]]), tensor([[0.8713]]), tensor([[0.8914]]), tensor([[0.8891]]), tensor([[0.8905]]), tensor([[0.8938]]), tensor([[0.8941]]), tensor([[0.8950]]), tensor([[0.8853]]), tensor([[0.8814]]), tensor([[0.8821]]), tensor([[0.8807]]), tensor([[0.8803]]), tensor([[0.8812]]), tensor([[0.8793]]), tensor([[0.8813]]), tensor([[0.8747]]), tensor([[0.8721]]), tensor([[0.8735]]), tensor([[0.8719]]), tensor([[0.8714]]), tensor([[0.8697]]), tensor([[0.8682]]), tensor([[0.8678]]), tensor([[0.8728]]), tensor([[0.8747]]), tensor([[0.8736]]), tensor([[0.8720]]), tensor([[0.8723]]), tensor([[0.8730]]), tensor([[0.8727]]), tensor([[0.8723]])]",119,154,0.01
