,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
0,gpt-3.5-turbo,Game of Thrones,835,38," look away. Father will know if you do."" 
Bran kept his pony well in hand, and did not look away. 
His father took off the man's head with a single","[' look', ' away', '.', ' Father', ' will']","['deal', ' with', ' it', '.""', ' Ned', ' could', ' hear', ' the', ' strain', ' in', ' her', ' voice', ',', ' the', ' desperation', ' to', ' shield', ' her', ' children', ' from', ' the', ' horrors', ' of', ' the', ' world', '.', ' He', ' clen', 'ched', ' his', ' jaw', ',', ' his']","[' know', ' if', ' you', ' do', '.""', ' \n', 'B', 'ran', ' kept', ' his', ' pony', ' well', ' in', ' hand', ',', ' and', ' did', ' not', ' look', ' away', '.', ' \n', 'His', ' father', ' took', ' off', ' the', ' man', ""'s"", ' head', ' with', ' a', ' single']",1.0,"deal with it."" Ned could hear the strain in her voice, the desperation to shield her children from the horrors of the world. He clenched his jaw, his resolve hardening. ""No, Catelyn,"" he said firmly. ""This"," know if you do."" 
Bran kept his pony well in hand, and did not look away. 
His father took off the man's head with a single",tensor([[0.8378]]),8,"[tensor([[0.7847]]), tensor([[0.7577]]), tensor([[0.7789]]), tensor([[0.7970]]), tensor([[0.8270]]), tensor([[0.8343]]), tensor([[0.8374]]), tensor([[0.8378]]), tensor([[0.8312]]), tensor([[0.8300]]), tensor([[0.8200]]), tensor([[0.8061]]), tensor([[0.8083]]), tensor([[0.8048]]), tensor([[0.8049]]), tensor([[0.8096]]), tensor([[0.8075]]), tensor([[0.8071]]), tensor([[0.8076]]), tensor([[0.8056]]), tensor([[0.8073]]), tensor([[0.8063]]), tensor([[0.8050]]), tensor([[0.7983]]), tensor([[0.8040]]), tensor([[0.8170]]), tensor([[0.8147]]), tensor([[0.8112]]), tensor([[0.8139]]), tensor([[0.8193]]), tensor([[0.8092]]), tensor([[0.8209]]), tensor([[0.8276]]), tensor([[0.8251]]), tensor([[0.8278]]), tensor([[0.8227]]), tensor([[0.8310]])]",834,871,0.0005005005005005005
3,gpt-3.5-turbo,Game of Thrones,541,26," given there in the chill of morning, but afterward Bran 
could not recall much of what had been said. Finally his lord father","[' given', ' there', ' in', ' the', ' chill', ' of', ' morning']","[',', ' the', ' bodies', ' of', ' fallen', ' soldiers', ' lay', ' scattered', ' across', ' the', ' battlefield', '.', ' The', ' air', ' was', ' thick', ' with', ' the', ' ac']","[',', ' but', ' afterward', ' Bran', ' \n', 'could', ' not', ' recall', ' much', ' of', ' what', ' had', ' been', ' said', '.', ' Finally', ' his', ' lord', ' father']",0.9473684210526316,", the bodies of fallen soldiers lay scattered across the battlefield. The air was thick with the acrid stench of blood and death. A somber silence hung over the once-vibrant landscape, broken only by the distant cries of carrion birds",", but afterward Bran 
could not recall much of what had been said. Finally his lord father",tensor([[0.7911]]),2,"[tensor([[0.7534]]), tensor([[0.7911]]), tensor([[0.7777]]), tensor([[0.7627]]), tensor([[0.7636]]), tensor([[0.7663]]), tensor([[0.7459]]), tensor([[0.7482]]), tensor([[0.7516]]), tensor([[0.7448]]), tensor([[0.7402]]), tensor([[0.7280]]), tensor([[0.7421]]), tensor([[0.7395]]), tensor([[0.7393]]), tensor([[0.7503]]), tensor([[0.7518]]), tensor([[0.7529]]), tensor([[0.7512]]), tensor([[0.7400]]), tensor([[0.7417]]), tensor([[0.7463]]), tensor([[0.7466]]), tensor([[0.7331]]), tensor([[0.7475]]), tensor([[0.7528]]), tensor([[0.7683]]), tensor([[0.7703]]), tensor([[0.7709]]), tensor([[0.7673]]), tensor([[0.7706]]), tensor([[0.7638]]), tensor([[0.7674]]), tensor([[0.7699]]), tensor([[0.7681]]), tensor([[0.7679]]), tensor([[0.7700]]), tensor([[0.7633]]), tensor([[0.7638]]), tensor([[0.7790]]), tensor([[0.7744]])]",540,565,0.0005005005005005005
6,gpt-3.5-turbo,Game of Thrones,745,40," Rhoynar and the First Men, Lord of 
the Seven Kingdoms and Protector of the Realm, by the word of Eddard of the House Stark, 
Lord of Winterfell and","[' R', 'ho', 'yn', 'ar', ' and', ' the', ' First', ' Men', ',', ' Lord', ' of', ' \n', 'the', ' Seven', ' Kingdom', 's', ' and']","['Prot', 'ector', ' of', ' the', ' Realm', ',', ' Robert', ' Bar', 'athe', 'on', ',', ' seemed', ' inv', 'incible', ' in', ' his', ' youth', ',', ' with', ' his', ' mighty', ' war', 'hammer']","[' Protector', ' of', ' the', ' Realm', ',', ' by', ' the', ' word', ' of', ' E', 'dd', 'ard', ' of', ' the', ' House', ' Stark', ',', ' \n', 'Lord', ' of', ' Winter', 'fell', ' and']",0.8260869565217391,"Protector of the Realm, Robert Baratheon, seemed invincible in his youth, with his mighty warhammer and commanding presence. However, as the years went by and the burdens of ruling took their toll, Robert's once formidable strength began to"," Protector of the Realm, by the word of Eddard of the House Stark, 
Lord of Winterfell and",tensor([[0.9036]]),5,"[tensor([[0.7779]]), tensor([[0.8416]]), tensor([[0.8754]]), tensor([[0.8746]]), tensor([[0.9036]]), tensor([[0.8905]]), tensor([[0.9036]]), tensor([[0.8910]]), tensor([[0.8774]]), tensor([[0.8778]]), tensor([[0.8839]]), tensor([[0.8665]]), tensor([[0.8777]]), tensor([[0.8765]]), tensor([[0.8781]]), tensor([[0.8738]]), tensor([[0.8758]]), tensor([[0.8789]]), tensor([[0.8625]]), tensor([[0.8728]]), tensor([[0.8775]]), tensor([[0.8761]]), tensor([[0.8781]]), tensor([[0.8736]]), tensor([[0.8739]]), tensor([[0.8735]]), tensor([[0.8728]]), tensor([[0.8737]]), tensor([[0.8759]]), tensor([[0.8756]]), tensor([[0.8731]]), tensor([[0.8734]]), tensor([[0.8657]]), tensor([[0.8725]]), tensor([[0.8730]]), tensor([[0.8719]]), tensor([[0.8671]]), tensor([[0.8647]]), tensor([[0.8644]])]",744,783,0.0005005005005005005
9,gpt-3.5-turbo,Game of Thrones,913,31," his eyes off the blood. The snows around the stump drank it eagerly, 
reddening as he watched. 
The head bounced off a thick root","[' his', ' eyes', ' off', ' the', ' blood', '.']","['The', ' room', ' was', ' filled', ' with', ' the', ' st', 'ench', ' of', ' death', ' and', ' despair', ',', ' a', ' constant', ' reminder', ' of', ' the', ' brutal', ' world', ' they', ' inhabited', '.', ' The', ' sound']","[' The', ' snow', 's', ' around', ' the', ' stump', ' drank', ' it', ' eagerly', ',', ' \n', 'redd', 'ening', ' as', ' he', ' watched', '.', ' \n', 'The', ' head', ' bounced', ' off', ' a', ' thick', ' root']",1.0,"The room was filled with the stench of death and despair, a constant reminder of the brutal world they inhabited. The sound of swords clashing and dying cries echoed in the distance, creating an eerie symphony that pierced through his soul. Yet,"," The snows around the stump drank it eagerly, 
reddening as he watched. 
The head bounced off a thick root",tensor([[0.7864]]),2,"[tensor([[0.7605]]), tensor([[0.7864]]), tensor([[0.7313]]), tensor([[0.7594]]), tensor([[0.7539]]), tensor([[0.7505]]), tensor([[0.7549]]), tensor([[0.7384]]), tensor([[0.7396]]), tensor([[0.7375]]), tensor([[0.7345]]), tensor([[0.7241]]), tensor([[0.7388]]), tensor([[0.7387]]), tensor([[0.7416]]), tensor([[0.7410]]), tensor([[0.7427]]), tensor([[0.7458]]), tensor([[0.7475]]), tensor([[0.7440]]), tensor([[0.7247]]), tensor([[0.7394]]), tensor([[0.7515]]), tensor([[0.7465]]), tensor([[0.7511]]), tensor([[0.7470]]), tensor([[0.7428]]), tensor([[0.7493]]), tensor([[0.7417]]), tensor([[0.7370]]), tensor([[0.7378]]), tensor([[0.7327]]), tensor([[0.7251]]), tensor([[0.7386]]), tensor([[0.7370]]), tensor([[0.7337]]), tensor([[0.7383]]), tensor([[0.7333]]), tensor([[0.7383]]), tensor([[0.7381]]), tensor([[0.7369]]), tensor([[0.7429]]), tensor([[0.7466]])]",912,942,0.0005005005005005005
12,gpt-3.5-turbo,Game of Thrones,2446,23," was bigger than his pony, twice the size of the largest hound in 
his father's kennel. 
","[' was', ' bigger', ' than', ' his', ' pony', ',', ' twice', ' the', ' size']","['of', ' any', ' regular', ' horse', '.', ' Its', ' coat', ' was', ' a', ' deep', ',', ' obs', 'idian', ' black']","[' of', ' the', ' largest', ' h', 'ound', ' in', ' \n', 'his', ' father', ""'s"", ' kenn', 'el', '.', ' \n']",1.0,"of any regular horse. Its coat was a deep, obsidian black, shimmering in the sunlight. Its muscles rippled beneath its sleek, glossy fur as it effortlessly carried Bran through the vast expanse of the winterfell courtyard. The stallion"," of the largest hound in 
his father's kennel. 
",tensor([[0.8283]]),10,"[tensor([[0.7482]]), tensor([[0.7601]]), tensor([[0.7356]]), tensor([[0.7608]]), tensor([[0.7994]]), tensor([[0.8008]]), tensor([[0.8228]]), tensor([[0.8255]]), tensor([[0.8267]]), tensor([[0.8283]]), tensor([[0.8198]]), tensor([[0.8140]]), tensor([[0.8042]]), tensor([[0.8021]]), tensor([[0.8001]]), tensor([[0.8025]]), tensor([[0.8004]]), tensor([[0.8058]]), tensor([[0.8001]]), tensor([[0.7981]]), tensor([[0.7984]]), tensor([[0.7969]]), tensor([[0.7951]]), tensor([[0.7995]]), tensor([[0.7978]]), tensor([[0.7995]]), tensor([[0.7979]]), tensor([[0.7989]]), tensor([[0.8011]]), tensor([[0.7987]]), tensor([[0.7976]]), tensor([[0.7982]]), tensor([[0.7977]]), tensor([[0.7966]]), tensor([[0.7965]]), tensor([[0.7949]]), tensor([[0.7965]]), tensor([[0.7904]]), tensor([[0.7776]])]",2445,2467,0.0005005005005005005
15,gpt-3.5-turbo,Game of Thrones,2341,23," thumping in his chest as he pushed through a waist-high drift to his brothers' 
side. 
Half-b","[' th', 'umping', ' in', ' his', ' chest', ' as', ' he', ' pushed']","['open', ' the', ' heavy', ' wooden', ' door', '.', ' The', ' room', ' beyond', ' was', ' dim', 'ly', ' lit', ',', ' the']","[' through', ' a', ' waist', '-high', ' drift', ' to', ' his', ' brothers', ""'"", ' \n', 'side', '.', ' \n', 'Half', '-b']",1.0,"open the heavy wooden door. The room beyond was dimly lit, the air heavy with the scent of parchment and old books. Jon Snow felt a mixture of excitement and trepidation, knowing that what lay inside could hold the key to unraveling"," through a waist-high drift to his brothers' 
side. 
Half-b",tensor([[0.7925]]),16,"[tensor([[0.7673]]), tensor([[0.7174]]), tensor([[0.7586]]), tensor([[0.7700]]), tensor([[0.7670]]), tensor([[0.7508]]), tensor([[0.7746]]), tensor([[0.7660]]), tensor([[0.7843]]), tensor([[0.7833]]), tensor([[0.7779]]), tensor([[0.7745]]), tensor([[0.7837]]), tensor([[0.7891]]), tensor([[0.7912]]), tensor([[0.7925]]), tensor([[0.7890]]), tensor([[0.7754]]), tensor([[0.7784]]), tensor([[0.7768]]), tensor([[0.7767]]), tensor([[0.7723]]), tensor([[0.7522]]), tensor([[0.7746]]), tensor([[0.7892]]), tensor([[0.7790]]), tensor([[0.7812]]), tensor([[0.7802]]), tensor([[0.7822]]), tensor([[0.7774]]), tensor([[0.7787]]), tensor([[0.7736]]), tensor([[0.7759]]), tensor([[0.7751]]), tensor([[0.7743]]), tensor([[0.7747]]), tensor([[0.7703]]), tensor([[0.7704]]), tensor([[0.7689]]), tensor([[0.7723]]), tensor([[0.7671]]), tensor([[0.7661]]), tensor([[0.7718]])]",2340,2362,0.0005005005005005005
18,gpt-3.5-turbo,Game of Thrones,2854,27,"for all to see. A foot of shattered antler, tines snapped off, all wet with blood. 
A sudden silence descended","['for', ' all', ' to', ' see', '.', ' A', ' foot', ' of', ' shattered', ' ant', 'ler']","['pro', 'tr', 'uded', ' from', ' the', ' beast', ""'s"", ' throat', ',', ' a', ' rag', 'ged']","[',', ' t', 'ines', ' snapped', ' off', ',', ' all', ' wet', ' with', ' blood', '.', ' \n']",1.0,"protruded from the beast's throat, a ragged",", tines snapped off, all wet with blood. 
A sudden silence descended",tensor([[0.8312]]),8,"[tensor([[0.7660]]), tensor([[0.7456]]), tensor([[0.7736]]), tensor([[0.7863]]), tensor([[0.8047]]), tensor([[0.8126]]), tensor([[0.8159]]), tensor([[0.8312]])]",2853,2875,0.0005005005005005005
21,gpt-3.5-turbo,Game of Thrones,2839,38," head with his hand. He gave a yank and held it up 
for all to see. A foot of shattered antler, tines snapped off, all wet with blood. 
","[' head', ' with', ' his', ' hand', '.', ' He']","['had', ' always', ' been', ' a', ' strong', ',', ' capable', ' leader', ',', ' but', ' in', ' that', ' moment', ',', ' he', ' felt', ' the', ' weight', ' of', ' the', ' world', ' pressing', ' down', ' upon', ' him', '.', ' The', ' decisions', ' he', ' had', ' made', ',']","[' gave', ' a', ' y', 'ank', ' and', ' held', ' it', ' up', ' \n', 'for', ' all', ' to', ' see', '.', ' A', ' foot', ' of', ' shattered', ' ant', 'ler', ',', ' t', 'ines', ' snapped', ' off', ',', ' all', ' wet', ' with', ' blood', '.', ' \n']",1.0,"had always been a strong, capable leader, but in that moment, he felt the weight of the world pressing down upon him. The decisions he had made, the alliances he had forged, all seemed to hang in the balance. As he stood there"," gave a yank and held it up 
for all to see. A foot of shattered antler, tines snapped off, all wet with blood. 
",tensor([[0.8174]]),2,"[tensor([[0.7866]]), tensor([[0.8174]]), tensor([[0.7954]]), tensor([[0.7846]]), tensor([[0.7987]]), tensor([[0.7986]]), tensor([[0.7958]]), tensor([[0.7721]]), tensor([[0.7729]]), tensor([[0.7777]]), tensor([[0.7707]]), tensor([[0.7880]]), tensor([[0.7828]]), tensor([[0.7901]]), tensor([[0.7878]]), tensor([[0.7980]]), tensor([[0.7949]]), tensor([[0.7964]]), tensor([[0.7953]]), tensor([[0.7981]]), tensor([[0.8067]]), tensor([[0.8040]]), tensor([[0.7999]]), tensor([[0.8028]]), tensor([[0.8036]]), tensor([[0.7962]]), tensor([[0.8004]]), tensor([[0.8032]]), tensor([[0.7975]]), tensor([[0.8049]]), tensor([[0.8006]]), tensor([[0.8035]]), tensor([[0.8075]]), tensor([[0.8066]]), tensor([[0.8039]]), tensor([[0.8035]]), tensor([[0.8071]]), tensor([[0.8045]]), tensor([[0.8042]]), tensor([[0.8054]]), tensor([[0.8009]]), tensor([[0.8009]]), tensor([[0.8108]]), tensor([[0.8110]])]",2838,2875,0.0005005005005005005
24,gpt-3.5-turbo,Game of Thrones,3728,33," 
them, or brutalize them, or train them badly. These are not dogs to beg for treats and slink off at 
a kick. A direwolf","[' \n', 'them', ',', ' or', ' brutal', 'ize', ' them', ',', ' or', ' train', ' them']","['to', ' be', ' the', ' loyal', ' and', ' fears', 'ome', ' creatures', ' that', ' serve', ' as', ' their', ' only', ' companions', ' in', ' the', ' harsh', ' and', ' unpredictable', ' world', ' of', ' West']","[' badly', '.', ' These', ' are', ' not', ' dogs', ' to', ' beg', ' for', ' treats', ' and', ' sl', 'ink', ' off', ' at', ' \n', 'a', ' kick', '.', ' A', ' dire', 'wolf']",1.0,"to be the loyal and fearsome creatures that serve as their only companions in the harsh and unpredictable world of Westeros. These creatures are a testament to the power and influence that the noble houses wield, as they can easily command armies and bend the will"," badly. These are not dogs to beg for treats and slink off at 
a kick. A direwolf",tensor([[0.8478]]),19,"[tensor([[0.7775]]), tensor([[0.7716]]), tensor([[0.7890]]), tensor([[0.7739]]), tensor([[0.7801]]), tensor([[0.7867]]), tensor([[0.8033]]), tensor([[0.8217]]), tensor([[0.8239]]), tensor([[0.8170]]), tensor([[0.8225]]), tensor([[0.8262]]), tensor([[0.8298]]), tensor([[0.8280]]), tensor([[0.8261]]), tensor([[0.8261]]), tensor([[0.8471]]), tensor([[0.8445]]), tensor([[0.8478]]), tensor([[0.8427]]), tensor([[0.8377]]), tensor([[0.8380]]), tensor([[0.8300]]), tensor([[0.8357]]), tensor([[0.8293]]), tensor([[0.8267]]), tensor([[0.8315]]), tensor([[0.8277]]), tensor([[0.8241]]), tensor([[0.8250]]), tensor([[0.8211]]), tensor([[0.8227]]), tensor([[0.8229]]), tensor([[0.8174]]), tensor([[0.8215]]), tensor([[0.8205]]), tensor([[0.8180]]), tensor([[0.8127]]), tensor([[0.8148]]), tensor([[0.8179]]), tensor([[0.8183]]), tensor([[0.8190]]), tensor([[0.8188]]), tensor([[0.8147]]), tensor([[0.8198]]), tensor([[0.8157]]), tensor([[0.8206]])]",3727,3759,0.0005005005005005005
27,gpt-3.5-turbo,Game of Thrones,3841,22,"ory, Desmond, gather up the other pups. It's time we were back to 
Winterfell."" 
","['ory', ',', ' Desmond', ',', ' gather', ' up', ' the']","['war', 'riors', ',""', ' called', ' E', 'dd', 'ard', ' Stark', ',', ' his', ' voice', ' filled', ' with', ' a', ' mix']","[' other', ' pups', '.', ' It', ""'s"", ' time', ' we', ' were', ' back', ' to', ' \n', 'Winter', 'fell', '.""', ' \n']",1.0,"warriors,"" called Eddard Stark, his voice filled with a mix of urgency and resolve. Ory and Desmond, two of his most trusted men, immediately sprang into action. With a quick nod of understanding, they set off to rally"," other pups. It's time we were back to 
Winterfell."" 
",tensor([[0.8205]]),5,"[tensor([[0.7684]]), tensor([[0.8108]]), tensor([[0.7980]]), tensor([[0.7980]]), tensor([[0.8205]]), tensor([[0.8116]]), tensor([[0.8042]]), tensor([[0.8092]]), tensor([[0.8069]]), tensor([[0.8049]]), tensor([[0.8035]]), tensor([[0.8003]]), tensor([[0.8084]]), tensor([[0.8029]]), tensor([[0.8049]]), tensor([[0.8087]]), tensor([[0.8042]]), tensor([[0.8169]]), tensor([[0.8149]]), tensor([[0.8144]]), tensor([[0.8150]]), tensor([[0.8098]]), tensor([[0.8146]]), tensor([[0.8176]]), tensor([[0.8151]]), tensor([[0.8120]]), tensor([[0.8119]]), tensor([[0.8141]]), tensor([[0.8129]]), tensor([[0.8123]]), tensor([[0.8115]]), tensor([[0.8125]]), tensor([[0.8113]]), tensor([[0.8171]]), tensor([[0.8107]]), tensor([[0.8097]]), tensor([[0.8102]]), tensor([[0.8099]]), tensor([[0.8100]])]",3840,3861,0.0005005005005005005
