,Unnamed: 0,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
0,0,gpt-3.5-turbo,Random Sheep,227,24," Daisy followed Matilda everywhere, learning from her wisdom and kindness. Together, they roamed the meadows, grazing on","[' Daisy', ' followed', ' Mat', 'ilda', ' everywhere']","[',', ' mim', 'icking', ' her', ' every', ' move', ' and', ' ble', 'ating', ' happily', ' as', ' they', ' ro', 'amed', ' together', ' through', ' the', ' fields', ' of']","[',', ' learning', ' from', ' her', ' wisdom', ' and', ' kindness', '.', ' Together', ',', ' they', ' ro', 'amed', ' the', ' me', 'adows', ',', ' grazing', ' on']",0.7368421052631579,", mimicking her every move and bleating happily as they roamed together through the fields of green. Matilda, the older and wiser of the two, always kept a watchful eye on her young companion, guiding her away from danger and",", learning from her wisdom and kindness. Together, they roamed the meadows, grazing on",tensor([[0.8870]]),17,"[tensor([[0.7321]]), tensor([[0.7882]]), tensor([[0.7725]]), tensor([[0.8033]]), tensor([[0.8023]]), tensor([[0.7943]]), tensor([[0.7990]]), tensor([[0.7966]]), tensor([[0.8125]]), tensor([[0.8130]]), tensor([[0.8167]]), tensor([[0.8683]]), tensor([[0.8675]]), tensor([[0.8667]]), tensor([[0.8671]]), tensor([[0.8835]]), tensor([[0.8870]]), tensor([[0.8653]]), tensor([[0.8651]]), tensor([[0.8673]]), tensor([[0.8635]]), tensor([[0.8655]]), tensor([[0.8750]]), tensor([[0.8727]]), tensor([[0.8736]]), tensor([[0.8709]]), tensor([[0.8698]]), tensor([[0.8668]]), tensor([[0.8679]]), tensor([[0.8655]]), tensor([[0.8636]]), tensor([[0.8660]]), tensor([[0.8658]]), tensor([[0.8674]]), tensor([[0.8698]]), tensor([[0.8688]]), tensor([[0.8689]]), tensor([[0.8676]]), tensor([[0.8681]]), tensor([[0.8667]]), tensor([[0.8704]])]",226,249,0.01
3,3,gpt-3.5-turbo,Random Sheep,48,29," the flock was a wise old ewe named Matilda. She had seen many seasons come and go, her fleece a testament to the passage of","[' the', ' flock', ' was', ' a', ' wise', ' old', ' ew', 'e', ' named']","['Mat', 'ilda', '.', ' She', ' had', ' been', ' with', ' the', ' flock', ' for', ' many', ' years', ' and', ' was', ' well', '-res', 'pected', ' by', ' all', ' the']","[' Mat', 'ilda', '.', ' She', ' had', ' seen', ' many', ' seasons', ' come', ' and', ' go', ',', ' her', ' fleece', ' a', ' testament', ' to', ' the', ' passage', ' of']",0.8,Matilda. She had been with the flock for many years and was well-respected by all the other sheep. Matilda had a keen sense of danger and always knew when to lead the flock away from harm. Her wool was the whitest and," Matilda. She had seen many seasons come and go, her fleece a testament to the passage of",tensor([[0.9148]]),5,"[tensor([[0.7511]]), tensor([[0.8633]]), tensor([[0.8863]]), tensor([[0.9094]]), tensor([[0.9148]]), tensor([[0.8991]]), tensor([[0.9078]]), tensor([[0.8995]]), tensor([[0.9013]]), tensor([[0.9112]]), tensor([[0.9054]]), tensor([[0.9122]]), tensor([[0.9122]]), tensor([[0.9000]]), tensor([[0.9029]]), tensor([[0.8994]]), tensor([[0.9024]]), tensor([[0.8982]]), tensor([[0.8904]]), tensor([[0.8931]]), tensor([[0.8938]]), tensor([[0.8915]]), tensor([[0.8907]]), tensor([[0.8858]]), tensor([[0.8857]]), tensor([[0.8853]]), tensor([[0.8842]]), tensor([[0.8841]]), tensor([[0.8821]]), tensor([[0.8830]]), tensor([[0.8840]]), tensor([[0.8822]]), tensor([[0.8812]]), tensor([[0.8788]]), tensor([[0.8873]]), tensor([[0.8865]]), tensor([[0.8808]]), tensor([[0.8787]]), tensor([[0.8888]]), tensor([[0.8836]]), tensor([[0.8835]]), tensor([[0.8819]]), tensor([[0.8816]])]",47,75,0.01
6,6,gpt-3.5-turbo,Random Sheep,273,36," she never forgot the lesson Matilda had taught her: that in the flock of life, it's through unity and compassion that we find our way home.
","[' she', ' never', ' forgot', ' the', ' lesson', ' Mat', 'ilda', ' had', ' taught', ' her']","[' about', ' the', ' importance', ' of', ' sticking', ' together', ' and', ' looking', ' out', ' for', ' one', ' another', '.', ' As', ' the', ' seasons', ' changed', ' and', ' new', ' lam', 'bs']","[':', ' that', ' in', ' the', ' flock', ' of', ' life', ',', ' it', ""'s"", ' through', ' unity', ' and', ' compassion', ' that', ' we', ' find', ' our', ' way', ' home', '.\n']",1.0," about the importance of sticking together and looking out for one another. As the seasons changed and new lambs were born, Matilda's wisdom was passed down from generation to generation. And so, the flock of sheep continued to thrive, their bonds stronger",": that in the flock of life, it's through unity and compassion that we find our way home.
",tensor([[0.8663]]),14,"[tensor([[0.7435]]), tensor([[0.7435]]), tensor([[0.7602]]), tensor([[0.7766]]), tensor([[0.7805]]), tensor([[0.7856]]), tensor([[0.7809]]), tensor([[0.8146]]), tensor([[0.8290]]), tensor([[0.8210]]), tensor([[0.8305]]), tensor([[0.8365]]), tensor([[0.8415]]), tensor([[0.8663]]), tensor([[0.8625]]), tensor([[0.8625]]), tensor([[0.8518]]), tensor([[0.8404]]), tensor([[0.8439]]), tensor([[0.8453]]), tensor([[0.8545]]), tensor([[0.8528]]), tensor([[0.8615]]), tensor([[0.8474]]), tensor([[0.8499]]), tensor([[0.8388]]), tensor([[0.8389]]), tensor([[0.8362]]), tensor([[0.8361]]), tensor([[0.8356]]), tensor([[0.8331]]), tensor([[0.8444]]), tensor([[0.8420]]), tensor([[0.8474]]), tensor([[0.8406]]), tensor([[0.8527]]), tensor([[0.8469]]), tensor([[0.8511]]), tensor([[0.8433]]), tensor([[0.8407]]), tensor([[0.8458]]), tensor([[0.8413]]), tensor([[0.8433]]), tensor([[0.8413]])]",272,302,0.01
9,9,gpt-3.5-turbo,Random Sheep,58,27,"ilda. She had seen many seasons come and go, her fleece a testament to the passage of time.
One chilly autumn morning, as","['ilda', '.', ' She', ' had', ' seen', ' many']","[' sheep', ' come', ' and', ' go', ' throughout', ' the', ' years', ',', ' but', ' none', ' had', ' caught', ' her', ' attention', ' quite', ' like', ' this', ' one', '.', ' Its', ' fleece']","[' seasons', ' come', ' and', ' go', ',', ' her', ' fleece', ' a', ' testament', ' to', ' the', ' passage', ' of', ' time', '.\n', 'One', ' chilly', ' autumn', ' morning', ',', ' as']",0.8571428571428571," sheep come and go throughout the years, but none had caught her attention quite like this one. Its fleece was the purest white she had ever seen, almost glowing in the sunlight. As she approached, the sheep turned to look at her with warm"," seasons come and go, her fleece a testament to the passage of time.
One chilly autumn morning, as",tensor([[0.8872]]),21,"[tensor([[0.7654]]), tensor([[0.7654]]), tensor([[0.7359]]), tensor([[0.7841]]), tensor([[0.7975]]), tensor([[0.7989]]), tensor([[0.7985]]), tensor([[0.8022]]), tensor([[0.8236]]), tensor([[0.8275]]), tensor([[0.8195]]), tensor([[0.8205]]), tensor([[0.8105]]), tensor([[0.8413]]), tensor([[0.8364]]), tensor([[0.8398]]), tensor([[0.8425]]), tensor([[0.8453]]), tensor([[0.8403]]), tensor([[0.8577]]), tensor([[0.8872]]), tensor([[0.8819]]), tensor([[0.8830]]), tensor([[0.8680]]), tensor([[0.8607]]), tensor([[0.8688]]), tensor([[0.8673]]), tensor([[0.8658]]), tensor([[0.8722]]), tensor([[0.8687]]), tensor([[0.8683]]), tensor([[0.8678]]), tensor([[0.8722]]), tensor([[0.8701]]), tensor([[0.8733]]), tensor([[0.8755]]), tensor([[0.8675]]), tensor([[0.8716]]), tensor([[0.8582]]), tensor([[0.8562]]), tensor([[0.8590]]), tensor([[0.8510]]), tensor([[0.8499]]), tensor([[0.8481]]), tensor([[0.8498]]), tensor([[0.8500]])]",57,83,0.01
12,12,gpt-3.5-turbo,Random Sheep,73,28," to the passage of time.
One chilly autumn morning, as the mist hung low over the meadow, Matilda noticed something amiss.","[' to', ' the', ' passage', ' of', ' time', '.\n', 'One', ' chilly']","[' evening', ',', ' as', ' the', ' sun', ' dipped', ' below', ' the', ' horizon', ',', ' the', ' flock', ' of', ' sheep', ' h', 'uddled', ' together', ' for', ' warmth', '.']","[' autumn', ' morning', ',', ' as', ' the', ' mist', ' hung', ' low', ' over', ' the', ' me', 'adow', ',', ' Mat', 'ilda', ' noticed', ' something', ' am', 'iss', '.']",0.85," evening, as the sun dipped below the horizon, the flock of sheep huddled together for warmth. The shepherd, a kind and gentle soul, watched over them as they settled in for the night. Suddenly, a faint rustling sound caught their attention"," autumn morning, as the mist hung low over the meadow, Matilda noticed something amiss.",tensor([[0.8312]]),12,"[tensor([[0.7471]]), tensor([[0.7471]]), tensor([[0.7748]]), tensor([[0.7677]]), tensor([[0.7736]]), tensor([[0.7829]]), tensor([[0.8132]]), tensor([[0.8217]]), tensor([[0.8164]]), tensor([[0.8289]]), tensor([[0.8233]]), tensor([[0.8312]]), tensor([[0.8245]]), tensor([[0.8075]]), tensor([[0.8111]]), tensor([[0.8069]]), tensor([[0.8098]]), tensor([[0.8125]]), tensor([[0.8127]]), tensor([[0.8129]]), tensor([[0.8147]]), tensor([[0.8106]]), tensor([[0.8121]]), tensor([[0.8048]]), tensor([[0.8065]]), tensor([[0.8016]]), tensor([[0.8002]]), tensor([[0.7998]]), tensor([[0.8013]]), tensor([[0.8014]]), tensor([[0.8005]]), tensor([[0.7997]]), tensor([[0.7995]]), tensor([[0.8043]]), tensor([[0.8037]]), tensor([[0.8075]]), tensor([[0.8040]]), tensor([[0.8089]]), tensor([[0.8148]]), tensor([[0.8142]]), tensor([[0.8142]]), tensor([[0.8132]]), tensor([[0.8155]])]",72,99,0.01
15,15,gpt-3.5-turbo,Random Sheep,41,34," quirks. At the heart of the flock was a wise old ewe named Matilda. She had seen many seasons come and go, her fleece a testament to the","[' quir', 'ks', '.', ' At', ' the']","[' annual', ' sheep', ' she', 'aring', ' competition', ',', ' everyone', ' gathered', ' to', ' watch', ' as', ' the', ' skilled', ' shear', 'ers', ' worked', ' their', ' magic', '.', ' The', ' crowd', ' cheered', ' as', ' the', ' fluffy', ' wool', ' fell', ' to', ' the']","[' heart', ' of', ' the', ' flock', ' was', ' a', ' wise', ' old', ' ew', 'e', ' named', ' Mat', 'ilda', '.', ' She', ' had', ' seen', ' many', ' seasons', ' come', ' and', ' go', ',', ' her', ' fleece', ' a', ' testament', ' to', ' the']",0.9310344827586208," annual sheep shearing competition, everyone gathered to watch as the skilled shearers worked their magic. The crowd cheered as the fluffy wool fell to the ground, revealing the sleek and clean sheep underneath. The sheep, feeling lighter and refreshed after the shearing"," heart of the flock was a wise old ewe named Matilda. She had seen many seasons come and go, her fleece a testament to the",tensor([[0.8187]]),25,"[tensor([[0.7519]]), tensor([[0.7519]]), tensor([[0.7474]]), tensor([[0.8024]]), tensor([[0.7900]]), tensor([[0.7851]]), tensor([[0.7823]]), tensor([[0.7885]]), tensor([[0.7908]]), tensor([[0.7909]]), tensor([[0.7979]]), tensor([[0.8041]]), tensor([[0.7974]]), tensor([[0.7940]]), tensor([[0.7975]]), tensor([[0.8026]]), tensor([[0.7845]]), tensor([[0.8068]]), tensor([[0.7959]]), tensor([[0.8032]]), tensor([[0.8031]]), tensor([[0.8052]]), tensor([[0.8139]]), tensor([[0.8150]]), tensor([[0.8187]]), tensor([[0.8175]]), tensor([[0.8157]]), tensor([[0.8076]]), tensor([[0.8124]]), tensor([[0.8148]]), tensor([[0.8094]]), tensor([[0.8123]]), tensor([[0.8102]]), tensor([[0.8118]]), tensor([[0.8031]]), tensor([[0.8104]]), tensor([[0.8041]]), tensor([[0.8119]]), tensor([[0.8062]]), tensor([[0.8107]]), tensor([[0.8099]]), tensor([[0.8113]]), tensor([[0.8090]]), tensor([[0.8118]])]",40,73,0.01
18,18,gpt-3.5-turbo,Random Sheep,70,33," fleece a testament to the passage of time.
One chilly autumn morning, as the mist hung low over the meadow, Matilda noticed something amiss. One of","[' fleece', ' a', ' testament', ' to', ' the', ' passage', ' of', ' time', '.\n', 'One', ' chilly', ' autumn', ' morning', ',', ' as']","['the', ' golden', ' sun', ' began', ' to', ' rise', ' over', ' the', ' rolling', ' hills', ' of', ' the', ' pasture', ',', ' a', ' soft', ' mist', ' envelop']","[' the', ' mist', ' hung', ' low', ' over', ' the', ' me', 'adow', ',', ' Mat', 'ilda', ' noticed', ' something', ' am', 'iss', '.', ' One', ' of']",1.0,"the golden sun began to rise over the rolling hills of the pasture, a soft mist enveloped the flock of sheep huddled together for warmth. Among them was a wise old ewe named Matilda, her fleece a testament to the passage of time"," the mist hung low over the meadow, Matilda noticed something amiss. One of",tensor([[0.8740]]),41,"[tensor([[0.7511]]), tensor([[0.7840]]), tensor([[0.7513]]), tensor([[0.7515]]), tensor([[0.7612]]), tensor([[0.7813]]), tensor([[0.7832]]), tensor([[0.7921]]), tensor([[0.7931]]), tensor([[0.7885]]), tensor([[0.7858]]), tensor([[0.7918]]), tensor([[0.7931]]), tensor([[0.8062]]), tensor([[0.8186]]), tensor([[0.8200]]), tensor([[0.8485]]), tensor([[0.8471]]), tensor([[0.8538]]), tensor([[0.8537]]), tensor([[0.8551]]), tensor([[0.8343]]), tensor([[0.8338]]), tensor([[0.8326]]), tensor([[0.8349]]), tensor([[0.8243]]), tensor([[0.8334]]), tensor([[0.8291]]), tensor([[0.8317]]), tensor([[0.8360]]), tensor([[0.8369]]), tensor([[0.8301]]), tensor([[0.8250]]), tensor([[0.8235]]), tensor([[0.8711]]), tensor([[0.8731]]), tensor([[0.8705]]), tensor([[0.8731]]), tensor([[0.8698]]), tensor([[0.8713]]), tensor([[0.8740]]), tensor([[0.8710]]), tensor([[0.8738]]), tensor([[0.8696]])]",69,101,0.01
21,21,gpt-3.5-turbo,Random Sheep,185,25,"ilda and the others worked together to free her. As they made their way back to the safety of the flock, Daisy nestled","['ilda', ' and', ' the', ' others', ' worked', ' together', ' to', ' free']","['the', ' trapped', ' lamb', ' from', ' the', ' th', 'icket', '.', ' With', ' their', ' combined', ' efforts', ',', ' they', ' were', ' able', ' to']","[' her', '.', ' As', ' they', ' made', ' their', ' way', ' back', ' to', ' the', ' safety', ' of', ' the', ' flock', ',', ' Daisy', ' nestled']",1.0,"the trapped lamb from the thicket. With their combined efforts, they were able to carefully untangle the lamb from the branches and free it from its predicament. As the lamb scampered back to safety, the rest of the sheep gathered around I"," her. As they made their way back to the safety of the flock, Daisy nestled",tensor([[0.8238]]),35,"[tensor([[0.7324]]), tensor([[0.7627]]), tensor([[0.7605]]), tensor([[0.7582]]), tensor([[0.7737]]), tensor([[0.7986]]), tensor([[0.7981]]), tensor([[0.8071]]), tensor([[0.8174]]), tensor([[0.8127]]), tensor([[0.8230]]), tensor([[0.8162]]), tensor([[0.8172]]), tensor([[0.8231]]), tensor([[0.8161]]), tensor([[0.8186]]), tensor([[0.8176]]), tensor([[0.8121]]), tensor([[0.8080]]), tensor([[0.8060]]), tensor([[0.8039]]), tensor([[0.8057]]), tensor([[0.8017]]), tensor([[0.8082]]), tensor([[0.8022]]), tensor([[0.8007]]), tensor([[0.7997]]), tensor([[0.8130]]), tensor([[0.7951]]), tensor([[0.7952]]), tensor([[0.7986]]), tensor([[0.7999]]), tensor([[0.8069]]), tensor([[0.8046]]), tensor([[0.8238]]), tensor([[0.8137]]), tensor([[0.8091]]), tensor([[0.8051]]), tensor([[0.8081]]), tensor([[0.8087]]), tensor([[0.8161]]), tensor([[0.8184]]), tensor([[0.8231]])]",184,208,0.01
24,24,gpt-3.5-turbo,Random Sheep,218,40," guidance and care.
From that day forward, Daisy followed Matilda everywhere, learning from her wisdom and kindness. Together, they roamed the meadows, grazing on sweet grass and basking in the","[' guidance', ' and', ' care', '.\n', 'From', ' that', ' day']","[' on', ',', ' the', ' shepherd', ' made', ' sure', ' to', ' always', ' be', ' there', ' for', ' the', ' sheep', ',', ' never', ' leaving', ' them', ' alone', ' for', ' too', ' long', '.', ' The', ' sheep', ',', ' in', ' turn', ',', ' grew', ' to', ' trust', ' and', ' rely']","[' forward', ',', ' Daisy', ' followed', ' Mat', 'ilda', ' everywhere', ',', ' learning', ' from', ' her', ' wisdom', ' and', ' kindness', '.', ' Together', ',', ' they', ' ro', 'amed', ' the', ' me', 'adows', ',', ' grazing', ' on', ' sweet', ' grass', ' and', ' b', 'asking', ' in', ' the']",0.9696969696969696," on, the shepherd made sure to always be there for the sheep, never leaving them alone for too long. The sheep, in turn, grew to trust and rely on their shepherd, always following his lead and feeling safe in his presence. And as"," forward, Daisy followed Matilda everywhere, learning from her wisdom and kindness. Together, they roamed the meadows, grazing on sweet grass and basking in the",tensor([[0.8129]]),29,"[tensor([[0.7266]]), tensor([[0.7266]]), tensor([[0.7662]]), tensor([[0.7654]]), tensor([[0.7720]]), tensor([[0.7576]]), tensor([[0.7744]]), tensor([[0.7824]]), tensor([[0.7743]]), tensor([[0.7744]]), tensor([[0.7763]]), tensor([[0.7784]]), tensor([[0.7833]]), tensor([[0.7802]]), tensor([[0.7741]]), tensor([[0.7884]]), tensor([[0.7907]]), tensor([[0.7940]]), tensor([[0.7949]]), tensor([[0.7970]]), tensor([[0.7805]]), tensor([[0.8014]]), tensor([[0.7946]]), tensor([[0.8016]]), tensor([[0.7991]]), tensor([[0.8045]]), tensor([[0.8057]]), tensor([[0.8109]]), tensor([[0.8129]]), tensor([[0.8074]]), tensor([[0.8066]]), tensor([[0.8084]]), tensor([[0.8091]]), tensor([[0.8012]]), tensor([[0.8106]]), tensor([[0.8115]]), tensor([[0.8064]]), tensor([[0.8109]]), tensor([[0.8066]]), tensor([[0.8025]]), tensor([[0.8035]]), tensor([[0.8034]]), tensor([[0.8027]]), tensor([[0.8081]]), tensor([[0.8053]])]",217,256,0.01
27,27,gpt-3.5-turbo,Random Sheep,120,36,"ed, Matilda organized a search party among the flock, and they set off across the fields, bleating Daisy's name in unison.
After what felt like an eternity of","['ed', ',', ' Mat', 'ilda', ' organized', ' a', ' search', ' party', ' among']","['the', ' other', ' sheep', ' in', ' the', ' flock', '.', ' She', ' explained', ' the', ' situation', ' to', ' them', ' and', ' asked', ' for', ' their', ' help', ' in', ' finding', ' Daisy', '.', ' Together', ',', ' they', ' com', 'bed']","[' the', ' flock', ',', ' and', ' they', ' set', ' off', ' across', ' the', ' fields', ',', ' ble', 'ating', ' Daisy', ""'s"", ' name', ' in', ' un', 'ison', '.\n', 'After', ' what', ' felt', ' like', ' an', ' eternity', ' of']",1.0,"the other sheep in the flock. She explained the situation to them and asked for their help in finding Daisy. Together, they combed through the fields and meadows, calling out Daisy's name and listening for any sign of her bleating. As"," the flock, and they set off across the fields, bleating Daisy's name in unison.
After what felt like an eternity of",tensor([[0.8961]]),42,"[tensor([[0.7554]]), tensor([[0.7835]]), tensor([[0.7781]]), tensor([[0.7788]]), tensor([[0.7902]]), tensor([[0.8011]]), tensor([[0.8083]]), tensor([[0.8317]]), tensor([[0.8365]]), tensor([[0.8378]]), tensor([[0.8285]]), tensor([[0.8290]]), tensor([[0.8273]]), tensor([[0.8343]]), tensor([[0.8297]]), tensor([[0.8285]]), tensor([[0.8293]]), tensor([[0.8264]]), tensor([[0.8278]]), tensor([[0.8287]]), tensor([[0.8582]]), tensor([[0.8703]]), tensor([[0.8710]]), tensor([[0.8724]]), tensor([[0.8729]]), tensor([[0.8742]]), tensor([[0.8867]]), tensor([[0.8890]]), tensor([[0.8893]]), tensor([[0.8848]]), tensor([[0.8834]]), tensor([[0.8832]]), tensor([[0.8877]]), tensor([[0.8888]]), tensor([[0.8844]]), tensor([[0.8839]]), tensor([[0.8849]]), tensor([[0.8809]]), tensor([[0.8871]]), tensor([[0.8838]]), tensor([[0.8958]]), tensor([[0.8961]])]",119,154,0.01
