,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
2,gpt-4,Article II & Article III,26,28," hold his Office during the Term of four Years, and, together with the Vice President, chosen for the same Term, be elected, as","[' hold', ' his', ' Office', ' during', ' the', ' Term']","['of', ' four', ' Years', ',', ' and', ',', ' together', ' with', ' the', ' Vice', ' President', ',', ' chosen', ' for', ' the', ' same', ' Term', ',', ' be', ' elected', ',', ' as']","[' of', ' four', ' Years', ',', ' and', ',', ' together', ' with', ' the', ' Vice', ' President', ',', ' chosen', ' for', ' the', ' same', ' Term', ',', ' be', ' elected', ',', ' as']",0.0454545454545454,"of four Years, and, together with the Vice President, chosen for the same Term, be elected, as follows: Each State shall appoint, in such Manner as the Legislature thereof may direct, a Number of Electors, equal to the total"," of four Years, and, together with the Vice President, chosen for the same Term, be elected, as",tensor([[1.]]),18,"[tensor([[0.7336]]), tensor([[0.7714]]), tensor([[0.8268]]), tensor([[0.8828]]), tensor([[0.8880]]), tensor([[0.8903]]), tensor([[0.8961]]), tensor([[0.9001]]), tensor([[0.9178]]), tensor([[0.9476]]), tensor([[0.9625]]), tensor([[0.9674]]), tensor([[0.9672]]), tensor([[0.9708]]), tensor([[0.9823]]), tensor([[0.9872]]), tensor([[0.9962]]), tensor([[1.]]), tensor([[0.9953]]), tensor([[0.9949]]), tensor([[0.9768]]), tensor([[0.9739]]), tensor([[0.9671]]), tensor([[0.9674]]), tensor([[0.9686]]), tensor([[0.9679]]), tensor([[0.9661]]), tensor([[0.9667]]), tensor([[0.9607]]), tensor([[0.9612]]), tensor([[0.9617]]), tensor([[0.9610]]), tensor([[0.9620]]), tensor([[0.9608]]), tensor([[0.9625]]), tensor([[0.9530]]), tensor([[0.9519]]), tensor([[0.9502]]), tensor([[0.9508]]), tensor([[0.9475]])]",25,52
5,gpt-4,Article II & Article III,546,24," Years, and been fourteen Years a Resident within the United States.
In Case of the Removal of the President from Office,","[' Years', ',', ' and', ' been', ' fourteen', ' Years', ' a']","['Res', 'ident', ' within', ' the', ' United', ' States', '.', ' Section', ' ', '2', '.', ' No', ' person', ' shall', ' be', ' a', ' Representative']","[' Resident', ' within', ' the', ' United', ' States', '.\n', 'In', ' Case', ' of', ' the', ' Removal', ' of', ' the', ' President', ' from', ' Office', ',']",0.8235294117647058,"Resident within the United States. Section 2. No person shall be a Representative who shall not have attained to the Age of twenty five Years, and been seven Years a Citizen of the United States, and who shall not, when elected, be"," Resident within the United States.
In Case of the Removal of the President from Office,",tensor([[0.9190]]),6,"[tensor([[0.7738]]), tensor([[0.8530]]), tensor([[0.8562]]), tensor([[0.8725]]), tensor([[0.8740]]), tensor([[0.9190]]), tensor([[0.9078]]), tensor([[0.8913]]), tensor([[0.8839]]), tensor([[0.8849]]), tensor([[0.8866]]), tensor([[0.8879]]), tensor([[0.8871]]), tensor([[0.8904]]), tensor([[0.8911]]), tensor([[0.8908]]), tensor([[0.8897]]), tensor([[0.8898]]), tensor([[0.8882]]), tensor([[0.8892]]), tensor([[0.8882]]), tensor([[0.8860]]), tensor([[0.8830]]), tensor([[0.8825]]), tensor([[0.8790]]), tensor([[0.8730]]), tensor([[0.8791]]), tensor([[0.8811]]), tensor([[0.8769]]), tensor([[0.8789]]), tensor([[0.8783]]), tensor([[0.8799]]), tensor([[0.8796]]), tensor([[0.8786]]), tensor([[0.8821]]), tensor([[0.8766]]), tensor([[0.8817]]), tensor([[0.8820]]), tensor([[0.8823]]), tensor([[0.8767]]), tensor([[0.8827]]), tensor([[0.8811]]), tensor([[0.8860]])]",545,568
8,gpt-4,Article II & Article III,108,22," Office of Trust or Profit under the United States, shall be appointed an Elector.
The Electors shall meet","[' Office', ' of', ' Trust', ' or', ' Profit', ' under', ' the', ' United', ' States', ',']","['shall', ' be', ' appointed', ' without', ' approval', ' of', ' the', ' Senate', '.', ' The', ' President', ' has']","[' shall', ' be', ' appointed', ' an', ' Elect', 'or', '.\n', 'The', ' Elect', 'ors', ' shall', ' meet']",0.8333333333333334,"shall be appointed without approval of the Senate. The President has the power to make treaties, with the advice and consent of the Senate, providing two-thirds of the Senators present concur. The President also has the power to fill up vacancies that may happen"," shall be appointed an Elector.
The Electors shall meet",tensor([[0.8937]]),4,"[tensor([[0.7657]]), tensor([[0.8275]]), tensor([[0.8222]]), tensor([[0.8937]]), tensor([[0.8502]]), tensor([[0.8492]]), tensor([[0.8536]]), tensor([[0.8598]]), tensor([[0.8223]]), tensor([[0.8533]]), tensor([[0.8511]]), tensor([[0.8454]]), tensor([[0.8514]]), tensor([[0.8685]]), tensor([[0.8624]]), tensor([[0.8679]]), tensor([[0.8589]]), tensor([[0.8549]]), tensor([[0.8565]]), tensor([[0.8646]]), tensor([[0.8626]]), tensor([[0.8635]]), tensor([[0.8619]]), tensor([[0.8602]]), tensor([[0.8533]]), tensor([[0.8596]]), tensor([[0.8568]]), tensor([[0.8507]]), tensor([[0.8502]]), tensor([[0.8582]]), tensor([[0.8575]]), tensor([[0.8421]]), tensor([[0.8463]]), tensor([[0.8496]]), tensor([[0.8532]]), tensor([[0.8489]]), tensor([[0.8453]]), tensor([[0.8512]]), tensor([[0.8485]]), tensor([[0.8522]]), tensor([[0.8521]]), tensor([[0.8547]]), tensor([[0.8511]]), tensor([[0.8513]]), tensor([[0.8531]])]",107,128
11,gpt-4,Article II & Article III,225,25," of the Senate and House of Representatives, open all the Certificates, and the Votes shall then be counted. The Person having","[' of', ' the', ' Senate', ' and', ' House', ' of', ' Representatives', ',', ' open', ' all', ' the']","['cert', 'ificates', ',', ' and', ' the', ' votes', ' shall', ' then', ' be', ' counted', '.', ' The', ' person', ' with']","[' Cert', 'ificates', ',', ' and', ' the', ' Votes', ' shall', ' then', ' be', ' counted', '.', ' The', ' Person', ' having']",0.2857142857142857,"certificates, and the votes shall then be counted. The person with the greatest number of votes shall become the president, in case of a tie, the House of Representatives, with each state having one vote, shall decide the matter. Every bill which"," Certificates, and the Votes shall then be counted. The Person having",tensor([[0.9977]]),12,"[tensor([[0.7495]]), tensor([[0.8667]]), tensor([[0.8835]]), tensor([[0.8827]]), tensor([[0.9222]]), tensor([[0.9412]]), tensor([[0.9438]]), tensor([[0.9491]]), tensor([[0.9583]]), tensor([[0.9704]]), tensor([[0.9945]]), tensor([[0.9977]]), tensor([[0.9971]]), tensor([[0.9661]]), tensor([[0.9636]]), tensor([[0.9726]]), tensor([[0.9679]]), tensor([[0.9579]]), tensor([[0.9525]]), tensor([[0.9595]]), tensor([[0.9352]]), tensor([[0.9400]]), tensor([[0.9328]]), tensor([[0.9385]]), tensor([[0.9395]]), tensor([[0.9321]]), tensor([[0.9358]]), tensor([[0.9236]]), tensor([[0.9289]]), tensor([[0.9299]]), tensor([[0.9285]]), tensor([[0.9249]]), tensor([[0.9196]]), tensor([[0.9258]]), tensor([[0.9181]]), tensor([[0.9232]]), tensor([[0.9248]]), tensor([[0.9216]]), tensor([[0.9250]]), tensor([[0.9207]]), tensor([[0.9270]]), tensor([[0.9170]]), tensor([[0.9232]])]",224,248
14,gpt-4,Article II & Article III,453,24," Vice President.
The Congress may determine the Time of chusing the Electors, and the Day on which they shall give","[' Vice', ' President', '.\n', 'The', ' Congress', ' may', ' determine', ' the', ' Time', ' of', ' ch', 'using']","['the', ' Elect', 'ors', ',', ' and', ' the', ' Day', ' on', ' which', ' they', ' shall', ' give']","[' the', ' Elect', 'ors', ',', ' and', ' the', ' Day', ' on', ' which', ' they', ' shall', ' give']",0.0833333333333333,"the Electors, and the Day on which they shall give their Votes; which Day shall be the same throughout the United States. In Case of the removal of the President from Office, or of his death, resignation, or inability to discharge the Powers"," the Electors, and the Day on which they shall give",tensor([[1.]]),11,"[tensor([[0.7691]]), tensor([[0.7938]]), tensor([[0.9278]]), tensor([[0.9318]]), tensor([[0.9350]]), tensor([[0.9651]]), tensor([[0.9588]]), tensor([[0.9717]]), tensor([[0.9760]]), tensor([[0.9905]]), tensor([[1.]]), tensor([[0.9968]]), tensor([[0.9863]]), tensor([[0.9836]]), tensor([[0.9834]]), tensor([[0.9829]]), tensor([[0.9840]]), tensor([[0.9817]]), tensor([[0.9740]]), tensor([[0.9704]]), tensor([[0.9695]]), tensor([[0.9632]]), tensor([[0.9604]]), tensor([[0.9561]]), tensor([[0.9561]]), tensor([[0.9545]]), tensor([[0.9544]]), tensor([[0.9445]]), tensor([[0.9427]]), tensor([[0.9411]]), tensor([[0.9424]]), tensor([[0.9388]]), tensor([[0.9360]]), tensor([[0.9375]]), tensor([[0.9372]]), tensor([[0.9375]]), tensor([[0.9361]]), tensor([[0.9331]]), tensor([[0.9351]]), tensor([[0.9341]]), tensor([[0.9330]]), tensor([[0.9311]]), tensor([[0.9277]]), tensor([[0.9301]])]",452,475
17,gpt-4,Article II & Article III,1326,23," judicial Power shall extend to all Cases, in Law and Equity, arising under this Constitution, the Laws of the United","[' judicial', ' Power', ' shall', ' extend', ' to', ' all', ' Cases', ',', ' in']","['Law', ' and', ' Equity', ',', ' arising', ' under', ' this', ' Constitution', ',', ' the', ' Laws', ' of', ' the', ' United']","[' Law', ' and', ' Equity', ',', ' arising', ' under', ' this', ' Constitution', ',', ' the', ' Laws', ' of', ' the', ' United']",0.0714285714285714,"Law and Equity, arising under this Constitution, the Laws of the United States, and Treaties made, or which shall be made, under their Authority; to all Cases affecting Ambassadors, other public Ministers and Consuls; to all Cases of admir"," Law and Equity, arising under this Constitution, the Laws of the United",tensor([[1.0000]]),13,"[tensor([[0.7633]]), tensor([[0.8221]]), tensor([[0.8775]]), tensor([[0.9394]]), tensor([[0.9446]]), tensor([[0.9502]]), tensor([[0.9538]]), tensor([[0.9773]]), tensor([[0.9788]]), tensor([[0.9833]]), tensor([[0.9828]]), tensor([[0.9842]]), tensor([[1.0000]]), tensor([[0.9876]]), tensor([[0.9836]]), tensor([[0.9772]]), tensor([[0.9737]]), tensor([[0.9720]]), tensor([[0.9683]]), tensor([[0.9712]]), tensor([[0.9717]]), tensor([[0.9681]]), tensor([[0.9673]]), tensor([[0.9675]]), tensor([[0.9651]]), tensor([[0.9631]]), tensor([[0.9655]]), tensor([[0.9665]]), tensor([[0.9649]]), tensor([[0.9480]]), tensor([[0.9505]]), tensor([[0.9497]]), tensor([[0.9471]]), tensor([[0.9485]]), tensor([[0.9486]]), tensor([[0.9502]]), tensor([[0.9520]]), tensor([[0.9523]]), tensor([[0.9520]]), tensor([[0.9457]])]",1325,1347
20,gpt-4,Article II & Article III,687,22," the Period for which he shall have been elected, and he shall not receive within that Period any other Emol","[' the', ' Period', ' for', ' which', ' he', ' shall', ' have', ' been']","['e', 'lected', ',', ' and', ' he', ' shall', ' not', ' receive', ' within', ' that', ' Period', ' any', ' other', ' Em']","[' elected', ',', ' and', ' he', ' shall', ' not', ' receive', ' within', ' that', ' Period', ' any', ' other', ' Em', 'ol']",0.2142857142857142,"elected, and he shall not receive within that Period any other Emolument from the United States, or any of them. The President, along with the Vice President, shall be removed from Office on Impeachment for, and Conviction of"," elected, and he shall not receive within that Period any other Emol",tensor([[0.9896]]),12,"[tensor([[0.7525]]), tensor([[0.8614]]), tensor([[0.8676]]), tensor([[0.8815]]), tensor([[0.8919]]), tensor([[0.9323]]), tensor([[0.9532]]), tensor([[0.9585]]), tensor([[0.9633]]), tensor([[0.9839]]), tensor([[0.9854]]), tensor([[0.9896]]), tensor([[0.9757]]), tensor([[0.9739]]), tensor([[0.9739]]), tensor([[0.9642]]), tensor([[0.9545]]), tensor([[0.9552]]), tensor([[0.9570]]), tensor([[0.9564]]), tensor([[0.9549]]), tensor([[0.9523]]), tensor([[0.9459]]), tensor([[0.9472]]), tensor([[0.9448]]), tensor([[0.9444]]), tensor([[0.9375]]), tensor([[0.9316]]), tensor([[0.9285]]), tensor([[0.9287]]), tensor([[0.9173]]), tensor([[0.9183]]), tensor([[0.9111]]), tensor([[0.9135]]), tensor([[0.8939]]), tensor([[0.8988]]), tensor([[0.8986]]), tensor([[0.8955]]), tensor([[0.8951]])]",686,707
23,gpt-4,Article II & Article III,1235,27,"
Section 1
The judicial Power of the United States, shall be vested in one supreme Court, and in such inferior Courts as","['\n', 'Section', ' ', '1', '\n', 'The', ' judicial', ' Power', ' of', ' the']","['United', ' States', ',', ' shall', ' be', ' vested', ' in', ' one', ' supreme', ' Court', ',', ' and', ' in', ' such', ' inferior', ' Courts', ' as']","[' United', ' States', ',', ' shall', ' be', ' vested', ' in', ' one', ' supreme', ' Court', ',', ' and', ' in', ' such', ' inferior', ' Courts', ' as']",0.0588235294117647,"United States, shall be vested in one supreme Court, and in such inferior Courts as the Congress may from time to time ordain and establish. The Judges, both of the supreme and inferior Courts, shall hold their Offices during good Behaviour, and shall"," United States, shall be vested in one supreme Court, and in such inferior Courts as",tensor([[1.0000]]),16,"[tensor([[0.7485]]), tensor([[0.7416]]), tensor([[0.8294]]), tensor([[0.8476]]), tensor([[0.8332]]), tensor([[0.9033]]), tensor([[0.9084]]), tensor([[0.9230]]), tensor([[0.9435]]), tensor([[0.9691]]), tensor([[0.9706]]), tensor([[0.9712]]), tensor([[0.9739]]), tensor([[0.9933]]), tensor([[0.9987]]), tensor([[1.0000]]), tensor([[0.9993]]), tensor([[0.9930]]), tensor([[0.9927]]), tensor([[0.9916]]), tensor([[0.9841]]), tensor([[0.9884]]), tensor([[0.9859]]), tensor([[0.9826]]), tensor([[0.9801]]), tensor([[0.9701]]), tensor([[0.9769]]), tensor([[0.9709]]), tensor([[0.9726]]), tensor([[0.9725]]), tensor([[0.9721]]), tensor([[0.9720]]), tensor([[0.9709]]), tensor([[0.9719]]), tensor([[0.9697]]), tensor([[0.9706]]), tensor([[0.9660]]), tensor([[0.9656]]), tensor([[0.9624]]), tensor([[0.9606]]), tensor([[0.9599]]), tensor([[0.9572]]), tensor([[0.9582]]), tensor([[0.9599]])]",1234,1260
26,gpt-4,Article II & Article III,43,30,", chosen for the same Term, be elected, as follows:
Each State shall appoint, in such Manner as the Legislature thereof may direct, a","[',', ' chosen', ' for', ' the', ' same', ' Term', ',', ' be', ' elected', ',', ' as', ' follows', ':\n', 'Each']","['State', ' shall', ' appoint', ',', ' in', ' such', ' M', 'anner', ' as', ' the', ' Legislature', ' thereof', ' may', ' direct', ',', ' a']","[' State', ' shall', ' appoint', ',', ' in', ' such', ' M', 'anner', ' as', ' the', ' Legislature', ' thereof', ' may', ' direct', ',', ' a']",0.0625,"State shall appoint, in such Manner as the Legislature thereof may direct, a Number of Electors, equal to the whole Number of Senators and Representatives to which the State may be entitled in the Congress: but no Senator or Representative, or Person holding"," State shall appoint, in such Manner as the Legislature thereof may direct, a",tensor([[1.]]),14,"[tensor([[0.7497]]), tensor([[0.8332]]), tensor([[0.8818]]), tensor([[0.9688]]), tensor([[0.9559]]), tensor([[0.9725]]), tensor([[0.9697]]), tensor([[0.9766]]), tensor([[0.9789]]), tensor([[0.9839]]), tensor([[0.9875]]), tensor([[0.9894]]), tensor([[0.9963]]), tensor([[1.]]), tensor([[0.9773]]), tensor([[0.9937]]), tensor([[0.9470]]), tensor([[0.9458]]), tensor([[0.9459]]), tensor([[0.9459]]), tensor([[0.9366]]), tensor([[0.9332]]), tensor([[0.9372]]), tensor([[0.9319]]), tensor([[0.9373]]), tensor([[0.9336]]), tensor([[0.9347]]), tensor([[0.9343]]), tensor([[0.9352]]), tensor([[0.9343]]), tensor([[0.9368]]), tensor([[0.9370]]), tensor([[0.9366]]), tensor([[0.9369]]), tensor([[0.9380]]), tensor([[0.9298]]), tensor([[0.9340]]), tensor([[0.9346]]), tensor([[0.9269]]), tensor([[0.9291]]), tensor([[0.9257]]), tensor([[0.9264]]), tensor([[0.9255]]), tensor([[0.9250]])]",42,71
29,gpt-4,Article II & Article III,280,21," than one who have such Majority, and have an equal Number of Votes, then the House of Representatives shall","[' than', ' one', ' who', ' have', ' such', ' Majority', ',', ' and', ' have']","['an', ' equal', ' Vote', ',', ' then', ' the', ' House', ' of', ' Representatives', ' shall', ' immediately', ' choose']","[' an', ' equal', ' Number', ' of', ' Votes', ',', ' then', ' the', ' House', ' of', ' Representatives', ' shall']",0.5,"an equal Vote, then the House of Representatives shall immediately choose by Ballot one of them for President; and if no Person have a Majority, then from the five highest on the List the said House shall in like Manner choose the President. But"," an equal Number of Votes, then the House of Representatives shall",tensor([[0.9830]]),10,"[tensor([[0.7448]]), tensor([[0.7841]]), tensor([[0.8502]]), tensor([[0.9094]]), tensor([[0.9082]]), tensor([[0.9232]]), tensor([[0.9551]]), tensor([[0.9561]]), tensor([[0.9672]]), tensor([[0.9830]]), tensor([[0.9609]]), tensor([[0.9475]]), tensor([[0.9519]]), tensor([[0.9495]]), tensor([[0.9476]]), tensor([[0.9492]]), tensor([[0.9496]]), tensor([[0.9507]]), tensor([[0.9405]]), tensor([[0.9406]]), tensor([[0.9410]]), tensor([[0.9401]]), tensor([[0.9396]]), tensor([[0.9382]]), tensor([[0.9360]]), tensor([[0.9393]]), tensor([[0.9407]]), tensor([[0.9414]]), tensor([[0.9395]]), tensor([[0.9422]]), tensor([[0.9372]]), tensor([[0.9367]]), tensor([[0.9342]]), tensor([[0.9317]]), tensor([[0.9285]]), tensor([[0.9311]]), tensor([[0.9317]]), tensor([[0.9316]]), tensor([[0.9320]]), tensor([[0.9317]]), tensor([[0.9327]]), tensor([[0.9306]]), tensor([[0.9291]]), tensor([[0.9271]]), tensor([[0.9287]])]",279,299
