model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Famous Bible Verses,1,29,"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life. ","['For', ' God', ' so', ' loved', ' the', ' world', ' that', ' he', ' gave', ' his']","['one', ' and', ' only', ' Son', ',', ' that', ' whoever', ' believes', ' in', ' him', ' shall', ' not', ' perish', ' but', ' have', ' eternal', ' life', '.', ' -']","[' one', ' and', ' only', ' Son', ',', ' that', ' whoever', ' believes', ' in', ' him', ' shall', ' not', ' perish', ' but', ' have', ' eternal', ' life', '.', ' ']",0.10526315789473684,"one and only Son, that whoever believes in him shall not perish but have eternal life. - John 3:16"," one and only Son, that whoever believes in him shall not perish but have eternal life. ",tensor([[1.0000]]),17,"[tensor([[0.7584]]), tensor([[0.7840]]), tensor([[0.7972]]), tensor([[0.8075]]), tensor([[0.8991]]), tensor([[0.8990]]), tensor([[0.9053]]), tensor([[0.9367]]), tensor([[0.9428]]), tensor([[0.9470]]), tensor([[0.9634]]), tensor([[0.9505]]), tensor([[0.9717]]), tensor([[0.9705]]), tensor([[0.9713]]), tensor([[0.9856]]), tensor([[1.0000]]), tensor([[0.9951]]), tensor([[0.9666]]), tensor([[0.9538]])]",0,28
gpt-4-1106-preview,Famous Bible Verses,1,29,"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life. ","['For', ' God', ' so', ' loved', ' the', ' world', ' that', ' he', ' gave', ' his']","['one', ' and', ' only', ' Son', ',', ' that', ' whoever', ' believes', ' in', ' him', ' shall', ' not', ' perish', ' but', ' have', ' eternal', ' life', '.']","[' one', ' and', ' only', ' Son', ',', ' that', ' whoever', ' believes', ' in', ' him', ' shall', ' not', ' perish', ' but', ' have', ' eternal', ' life', '.']",0.05555555555555555,"one and only Son, that whoever believes in him shall not perish but have eternal life."," one and only Son, that whoever believes in him shall not perish but have eternal life. ",tensor([[1.0000]]),17,"[tensor([[0.7584]]), tensor([[0.7840]]), tensor([[0.7972]]), tensor([[0.8075]]), tensor([[0.8991]]), tensor([[0.8990]]), tensor([[0.9053]]), tensor([[0.9367]]), tensor([[0.9428]]), tensor([[0.9470]]), tensor([[0.9634]]), tensor([[0.9505]]), tensor([[0.9717]]), tensor([[0.9705]]), tensor([[0.9713]]), tensor([[0.9856]]), tensor([[1.0000]])]",0,27
gpt-4,Famous Bible Verses,1,29,"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life. ","['For', ' God', ' so', ' loved', ' the', ' world', ' that', ' he', ' gave', ' his']","['one', ' and', ' only', ' Son', ',', ' that', ' whoever', ' believes', ' in', ' him', ' shall', ' not', ' perish', ' but', ' have', ' eternal', ' life', '.']","[' one', ' and', ' only', ' Son', ',', ' that', ' whoever', ' believes', ' in', ' him', ' shall', ' not', ' perish', ' but', ' have', ' eternal', ' life', '.']",0.05555555555555555,"one and only Son, that whoever believes in him shall not perish but have eternal life."," one and only Son, that whoever believes in him shall not perish but have eternal life. ",tensor([[1.0000]]),17,"[tensor([[0.7584]]), tensor([[0.7840]]), tensor([[0.7972]]), tensor([[0.8075]]), tensor([[0.8991]]), tensor([[0.8990]]), tensor([[0.9053]]), tensor([[0.9367]]), tensor([[0.9428]]), tensor([[0.9470]]), tensor([[0.9634]]), tensor([[0.9505]]), tensor([[0.9717]]), tensor([[0.9705]]), tensor([[0.9713]]), tensor([[0.9856]]), tensor([[1.0000]])]",0,27
gpt-3.5-turbo,Famous Bible Verses,2,229,"Love is patient, love is kind. It does not envy, it does not boast, it is not proud. It is not rude, it is not self-seeking, it is not easily angered, it keeps no record of wrongs. Love does not delight in evil but rejoices with the truth. It always protects, always trusts, always hopes, always perseveres. Love never fails. But where there are prophecies, they will cease; where there are tongues, they will be stilled; where there is knowledge, it will pass away. For we know in part and we prophesy in part, but when perfection comes, the imperfect disappears. When I was a child, I talked like a child, I thought like a child, I reasoned like a child. When I became a man, I put childish ways behind me. Now we see but a poor reflection as in a mirror; then we shall see face to face. Now I know in part; then I shall know fully, even as I am fully known. And now these three remain: faith, hope and love. But the greatest of these is love.","['Love', ' is', ' patient', ',', ' love', ' is', ' kind', '.', ' It', ' does', ' not', ' envy', ',', ' it', ' does', ' not', ' boast', ',', ' it', ' is', ' not', ' proud', '.', ' It', ' is', ' not', ' rude', ',', ' it', ' is', ' not', ' self', '-seeking', ',', ' it', ' is', ' not', ' easily', ' angered', ',', ' it', ' keeps', ' no', ' record', ' of', ' wrong', 's', '.', ' Love', ' does', ' not', ' delight', ' in', ' evil', ' but', ' rejo', 'ices', ' with', ' the', ' truth', '.', ' It', ' always', ' protects', ',', ' always', ' trusts', ',', ' always', ' hopes']","[',', ' always', ' persever', 'es', '.', ' Love', ' never', ' fails', '.']","[',', ' always', ' persever', 'es', '.', ' Love', ' never', ' fails', '.']",0.0,", always perseveres. Love never fails.",", always perseveres. Love never fails. But where there are prophecies, they will cease; where there are tongues, they will be stilled; where there is knowledge, it will pass away. For we know in part and we prophesy in part, but when perfection comes, the imperfect disappears. When I was a child, I talked like a child, I thought like a child, I reasoned like a child. When I became a man, I put childish ways behind me. Now we see but a poor reflection as in a mirror; then we shall see face to face. Now I know in part; then I shall know fully, even as I am fully known. And now these three remain: faith, hope and love. But the greatest of these is love.",tensor([[0.8765]]),7,"[tensor([[0.7839]]), tensor([[0.8308]]), tensor([[0.8062]]), tensor([[0.8433]]), tensor([[0.8686]]), tensor([[0.8754]]), tensor([[0.8765]])]",0,78
gpt-4-1106-preview,Famous Bible Verses,2,229,"Love is patient, love is kind. It does not envy, it does not boast, it is not proud. It is not rude, it is not self-seeking, it is not easily angered, it keeps no record of wrongs. Love does not delight in evil but rejoices with the truth. It always protects, always trusts, always hopes, always perseveres. Love never fails. But where there are prophecies, they will cease; where there are tongues, they will be stilled; where there is knowledge, it will pass away. For we know in part and we prophesy in part, but when perfection comes, the imperfect disappears. When I was a child, I talked like a child, I thought like a child, I reasoned like a child. When I became a man, I put childish ways behind me. Now we see but a poor reflection as in a mirror; then we shall see face to face. Now I know in part; then I shall know fully, even as I am fully known. And now these three remain: faith, hope and love. But the greatest of these is love.","['Love', ' is', ' patient', ',', ' love', ' is', ' kind', '.', ' It', ' does', ' not', ' envy', ',', ' it', ' does', ' not', ' boast', ',', ' it', ' is', ' not', ' proud', '.', ' It', ' is', ' not', ' rude', ',', ' it', ' is', ' not', ' self', '-seeking', ',', ' it', ' is', ' not', ' easily', ' angered', ',', ' it', ' keeps', ' no', ' record', ' of', ' wrong', 's', '.', ' Love', ' does', ' not', ' delight', ' in', ' evil', ' but', ' rejo', 'ices', ' with', ' the', ' truth', '.', ' It', ' always', ' protects', ',', ' always', ' trusts', ',', ' always', ' hopes']","[',', ' always', ' persever', 'es', '.', ' Love', ' never', ' fails', '.', ' But', ' where', ' there', ' are', ' prop', 'hec', 'ies', ',', ' they', ' will', ' cease', ';', ' where', ' there', ' are', ' tongues', ',', ' they', ' will', ' be', ' st', 'illed', ';', ' where', ' there', ' is', ' knowledge', ',', ' it', ' will', ' pass', ' away', '.']","[',', ' always', ' persever', 'es', '.', ' Love', ' never', ' fails', '.', ' But', ' where', ' there', ' are', ' prop', 'hec', 'ies', ',', ' they', ' will', ' cease', ';', ' where', ' there', ' are', ' tongues', ',', ' they', ' will', ' be', ' st', 'illed', ';', ' where', ' there', ' is', ' knowledge', ',', ' it', ' will', ' pass', ' away', '.']",0.0,", always perseveres. Love never fails. But where there are prophecies, they will cease; where there are tongues, they will be stilled; where there is knowledge, it will pass away.",", always perseveres. Love never fails. But where there are prophecies, they will cease; where there are tongues, they will be stilled; where there is knowledge, it will pass away. For we know in part and we prophesy in part, but when perfection comes, the imperfect disappears. When I was a child, I talked like a child, I thought like a child, I reasoned like a child. When I became a man, I put childish ways behind me. Now we see but a poor reflection as in a mirror; then we shall see face to face. Now I know in part; then I shall know fully, even as I am fully known. And now these three remain: faith, hope and love. But the greatest of these is love.",tensor([[0.9279]]),31,"[tensor([[0.7839]]), tensor([[0.8308]]), tensor([[0.8062]]), tensor([[0.8433]]), tensor([[0.8686]]), tensor([[0.8754]]), tensor([[0.8765]]), tensor([[0.8787]]), tensor([[0.8652]]), tensor([[0.8695]]), tensor([[0.8755]]), tensor([[0.9122]]), tensor([[0.9089]]), tensor([[0.9115]]), tensor([[0.9130]]), tensor([[0.9069]]), tensor([[0.9092]]), tensor([[0.9129]]), tensor([[0.9199]]), tensor([[0.9165]]), tensor([[0.9173]]), tensor([[0.9187]]), tensor([[0.9228]]), tensor([[0.9172]]), tensor([[0.9183]]), tensor([[0.9197]]), tensor([[0.9269]]), tensor([[0.9234]]), tensor([[0.9234]]), tensor([[0.9237]]), tensor([[0.9279]])]",0,111
gpt-4,Famous Bible Verses,2,229,"Love is patient, love is kind. It does not envy, it does not boast, it is not proud. It is not rude, it is not self-seeking, it is not easily angered, it keeps no record of wrongs. Love does not delight in evil but rejoices with the truth. It always protects, always trusts, always hopes, always perseveres. Love never fails. But where there are prophecies, they will cease; where there are tongues, they will be stilled; where there is knowledge, it will pass away. For we know in part and we prophesy in part, but when perfection comes, the imperfect disappears. When I was a child, I talked like a child, I thought like a child, I reasoned like a child. When I became a man, I put childish ways behind me. Now we see but a poor reflection as in a mirror; then we shall see face to face. Now I know in part; then I shall know fully, even as I am fully known. And now these three remain: faith, hope and love. But the greatest of these is love.","['Love', ' is', ' patient', ',', ' love', ' is', ' kind', '.', ' It', ' does', ' not', ' envy', ',', ' it', ' does', ' not', ' boast', ',', ' it', ' is', ' not', ' proud', '.', ' It', ' is', ' not', ' rude', ',', ' it', ' is', ' not', ' self', '-seeking', ',', ' it', ' is', ' not', ' easily', ' angered', ',', ' it', ' keeps', ' no', ' record', ' of', ' wrong', 's', '.', ' Love', ' does', ' not', ' delight', ' in', ' evil', ' but', ' rejo', 'ices', ' with', ' the', ' truth', '.', ' It', ' always', ' protects', ',', ' always', ' trusts', ',', ' always', ' hopes']","[',', ' always', ' persever', 'es', '.', ' Love', ' never', ' fails', '.', ' But', ' where', ' there', ' are', ' prop', 'hec', 'ies', ',', ' they', ' will', ' cease', ';', ' where', ' there', ' are', ' tongues', ',', ' they', ' will', ' be', ' st', 'illed', ';', ' where', ' there', ' is', ' knowledge', ',', ' it', ' will', ' pass', ' away', '.']","[',', ' always', ' persever', 'es', '.', ' Love', ' never', ' fails', '.', ' But', ' where', ' there', ' are', ' prop', 'hec', 'ies', ',', ' they', ' will', ' cease', ';', ' where', ' there', ' are', ' tongues', ',', ' they', ' will', ' be', ' st', 'illed', ';', ' where', ' there', ' is', ' knowledge', ',', ' it', ' will', ' pass', ' away', '.']",0.0,", always perseveres. Love never fails. But where there are prophecies, they will cease; where there are tongues, they will be stilled; where there is knowledge, it will pass away.",", always perseveres. Love never fails. But where there are prophecies, they will cease; where there are tongues, they will be stilled; where there is knowledge, it will pass away. For we know in part and we prophesy in part, but when perfection comes, the imperfect disappears. When I was a child, I talked like a child, I thought like a child, I reasoned like a child. When I became a man, I put childish ways behind me. Now we see but a poor reflection as in a mirror; then we shall see face to face. Now I know in part; then I shall know fully, even as I am fully known. And now these three remain: faith, hope and love. But the greatest of these is love.",tensor([[0.9279]]),31,"[tensor([[0.7839]]), tensor([[0.8308]]), tensor([[0.8062]]), tensor([[0.8433]]), tensor([[0.8686]]), tensor([[0.8754]]), tensor([[0.8765]]), tensor([[0.8787]]), tensor([[0.8652]]), tensor([[0.8695]]), tensor([[0.8755]]), tensor([[0.9122]]), tensor([[0.9089]]), tensor([[0.9115]]), tensor([[0.9130]]), tensor([[0.9069]]), tensor([[0.9092]]), tensor([[0.9129]]), tensor([[0.9199]]), tensor([[0.9165]]), tensor([[0.9173]]), tensor([[0.9187]]), tensor([[0.9228]]), tensor([[0.9172]]), tensor([[0.9183]]), tensor([[0.9197]]), tensor([[0.9269]]), tensor([[0.9234]]), tensor([[0.9234]]), tensor([[0.9237]]), tensor([[0.9279]])]",0,111
gpt-3.5-turbo,Famous Bible Verses,3,136,"The Lord is my shepherd, I shall not be in want. He makes me lie down in green pastures, he leads me beside quiet waters, he restores my soul. He guides me in paths of righteousness for his name’s sake. Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me. You prepare a table before me in the presence of my enemies. You anoint my head with oil; my cup overflows. Surely goodness and love will follow me all the days of my life, and I will dwell in the house of the LORD forever. ","['The', ' Lord', ' is', ' my', ' shepherd', ',', ' I', ' shall', ' not', ' be', ' in', ' want', '.', ' He', ' makes', ' me', ' lie', ' down', ' in', ' green', ' past', 'ures', ',', ' he', ' leads', ' me', ' beside', ' quiet', ' waters', ',', ' he', ' restores', ' my', ' soul', '.', ' He', ' guides', ' me', ' in', ' paths', ' of', ' righteousness', ' for', ' his', ' name', '’s', ' sake', '.', ' Even', ' though']","['I', ' walk', ' through', ' the', ' valley', ' of', ' the', ' shadow', ' of', ' death', ',', ' I', ' will', ' fear', ' no', ' evil', ',', ' for', ' you', ' are', ' with', ' me', ';', ' your', ' rod', ' and', ' your', ' staff', ',', ' they', ' comfort', ' me', '.', ' You', ' prepare', ' a', ' table', ' before', ' me', ' in', ' the', ' presence', ' of', ' my', ' enemies', '.', ' You', ' an', 'oint', ' my']","[' I', ' walk', ' through', ' the', ' valley', ' of', ' the', ' shadow', ' of', ' death', ',', ' I', ' will', ' fear', ' no', ' evil', ',', ' for', ' you', ' are', ' with', ' me', ';', ' your', ' rod', ' and', ' your', ' staff', ',', ' they', ' comfort', ' me', '.', ' You', ' prepare', ' a', ' table', ' before', ' me', ' in', ' the', ' presence', ' of', ' my', ' enemies', '.', ' You', ' an', 'oint', ' my']",0.02,"I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me. You prepare a table before me in the presence of my enemies. You anoint my"," I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me. You prepare a table before me in the presence of my enemies. You anoint my head with oil; my cup overflows. Surely goodness and love will follow me all the days of my life, and I will dwell in the house of the LORD forever. ",tensor([[0.9656]]),43,"[tensor([[0.7776]]), tensor([[0.7970]]), tensor([[0.7842]]), tensor([[0.8061]]), tensor([[0.8155]]), tensor([[0.8173]]), tensor([[0.8272]]), tensor([[0.8276]]), tensor([[0.8557]]), tensor([[0.8578]]), tensor([[0.8741]]), tensor([[0.8782]]), tensor([[0.8860]]), tensor([[0.8868]]), tensor([[0.8905]]), tensor([[0.8941]]), tensor([[0.9005]]), tensor([[0.9078]]), tensor([[0.9070]]), tensor([[0.9091]]), tensor([[0.9064]]), tensor([[0.9069]]), tensor([[0.9286]]), tensor([[0.9231]]), tensor([[0.9248]]), tensor([[0.9308]]), tensor([[0.9278]]), tensor([[0.9340]]), tensor([[0.9286]]), tensor([[0.9328]]), tensor([[0.9377]]), tensor([[0.9322]]), tensor([[0.9601]]), tensor([[0.9595]]), tensor([[0.9623]]), tensor([[0.9616]]), tensor([[0.9575]]), tensor([[0.9626]]), tensor([[0.9586]]), tensor([[0.9599]]), tensor([[0.9618]]), tensor([[0.9603]]), tensor([[0.9656]]), tensor([[0.9651]])]",0,99
gpt-4-1106-preview,Famous Bible Verses,3,136,"The Lord is my shepherd, I shall not be in want. He makes me lie down in green pastures, he leads me beside quiet waters, he restores my soul. He guides me in paths of righteousness for his name’s sake. Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me. You prepare a table before me in the presence of my enemies. You anoint my head with oil; my cup overflows. Surely goodness and love will follow me all the days of my life, and I will dwell in the house of the LORD forever. ","['The', ' Lord', ' is', ' my', ' shepherd', ',', ' I', ' shall', ' not', ' be', ' in', ' want', '.', ' He', ' makes', ' me', ' lie', ' down', ' in', ' green', ' past', 'ures', ',', ' he', ' leads', ' me', ' beside', ' quiet', ' waters', ',', ' he', ' restores', ' my', ' soul', '.', ' He', ' guides', ' me', ' in', ' paths', ' of', ' righteousness', ' for', ' his', ' name', '’s', ' sake', '.', ' Even', ' though']","['I', ' walk', ' through', ' the', ' valley', ' of', ' the', ' shadow', ' of', ' death', ',', ' I', ' will', ' fear', ' no', ' evil', ',', ' for', ' you', ' are', ' with', ' me', ';', ' your', ' rod', ' and', ' your', ' staff', ',', ' they', ' comfort', ' me', '.']","[' I', ' walk', ' through', ' the', ' valley', ' of', ' the', ' shadow', ' of', ' death', ',', ' I', ' will', ' fear', ' no', ' evil', ',', ' for', ' you', ' are', ' with', ' me', ';', ' your', ' rod', ' and', ' your', ' staff', ',', ' they', ' comfort', ' me', '.']",0.030303030303030304,"I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me."," I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me. You prepare a table before me in the presence of my enemies. You anoint my head with oil; my cup overflows. Surely goodness and love will follow me all the days of my life, and I will dwell in the house of the LORD forever. ",tensor([[0.9340]]),28,"[tensor([[0.7776]]), tensor([[0.7970]]), tensor([[0.7842]]), tensor([[0.8061]]), tensor([[0.8155]]), tensor([[0.8173]]), tensor([[0.8272]]), tensor([[0.8276]]), tensor([[0.8557]]), tensor([[0.8578]]), tensor([[0.8741]]), tensor([[0.8782]]), tensor([[0.8860]]), tensor([[0.8868]]), tensor([[0.8905]]), tensor([[0.8941]]), tensor([[0.9005]]), tensor([[0.9078]]), tensor([[0.9070]]), tensor([[0.9091]]), tensor([[0.9064]]), tensor([[0.9069]]), tensor([[0.9286]]), tensor([[0.9231]]), tensor([[0.9248]]), tensor([[0.9308]]), tensor([[0.9278]]), tensor([[0.9340]]), tensor([[0.9286]])]",0,82
gpt-4,Famous Bible Verses,3,136,"The Lord is my shepherd, I shall not be in want. He makes me lie down in green pastures, he leads me beside quiet waters, he restores my soul. He guides me in paths of righteousness for his name’s sake. Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me. You prepare a table before me in the presence of my enemies. You anoint my head with oil; my cup overflows. Surely goodness and love will follow me all the days of my life, and I will dwell in the house of the LORD forever. ","['The', ' Lord', ' is', ' my', ' shepherd', ',', ' I', ' shall', ' not', ' be', ' in', ' want', '.', ' He', ' makes', ' me', ' lie', ' down', ' in', ' green', ' past', 'ures', ',', ' he', ' leads', ' me', ' beside', ' quiet', ' waters', ',', ' he', ' restores', ' my', ' soul', '.', ' He', ' guides', ' me', ' in', ' paths', ' of', ' righteousness', ' for', ' his', ' name', '’s', ' sake', '.', ' Even', ' though']","['I', ' walk', ' through', ' the', ' valley', ' of', ' the', ' shadow', ' of', ' death', ',', ' I', ' will', ' fear', ' no', ' evil', ',', ' for', ' you', ' are', ' with', ' me', ';', ' your', ' rod', ' and', ' your', ' staff', ',', ' they', ' comfort', ' me', '.', ' You', ' prepare', ' a', ' table', ' before', ' me', ' in', ' the', ' presence', ' of', ' my', ' enemies', '.', ' You', ' an', 'oint', ' my']","[' I', ' walk', ' through', ' the', ' valley', ' of', ' the', ' shadow', ' of', ' death', ',', ' I', ' will', ' fear', ' no', ' evil', ',', ' for', ' you', ' are', ' with', ' me', ';', ' your', ' rod', ' and', ' your', ' staff', ',', ' they', ' comfort', ' me', '.', ' You', ' prepare', ' a', ' table', ' before', ' me', ' in', ' the', ' presence', ' of', ' my', ' enemies', '.', ' You', ' an', 'oint', ' my']",0.02,"I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me. You prepare a table before me in the presence of my enemies. You anoint my"," I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me. You prepare a table before me in the presence of my enemies. You anoint my head with oil; my cup overflows. Surely goodness and love will follow me all the days of my life, and I will dwell in the house of the LORD forever. ",tensor([[0.9656]]),43,"[tensor([[0.7776]]), tensor([[0.7970]]), tensor([[0.7842]]), tensor([[0.8061]]), tensor([[0.8155]]), tensor([[0.8173]]), tensor([[0.8272]]), tensor([[0.8276]]), tensor([[0.8557]]), tensor([[0.8578]]), tensor([[0.8741]]), tensor([[0.8782]]), tensor([[0.8860]]), tensor([[0.8868]]), tensor([[0.8905]]), tensor([[0.8941]]), tensor([[0.9005]]), tensor([[0.9078]]), tensor([[0.9070]]), tensor([[0.9091]]), tensor([[0.9064]]), tensor([[0.9069]]), tensor([[0.9286]]), tensor([[0.9231]]), tensor([[0.9248]]), tensor([[0.9308]]), tensor([[0.9278]]), tensor([[0.9340]]), tensor([[0.9286]]), tensor([[0.9328]]), tensor([[0.9377]]), tensor([[0.9322]]), tensor([[0.9601]]), tensor([[0.9595]]), tensor([[0.9623]]), tensor([[0.9616]]), tensor([[0.9575]]), tensor([[0.9626]]), tensor([[0.9586]]), tensor([[0.9599]]), tensor([[0.9618]]), tensor([[0.9603]]), tensor([[0.9656]]), tensor([[0.9651]])]",0,99
gpt-3.5-turbo,Famous Bible Verses,4,11,I can do all things through Christ who strengthens me.,['I'],"['can', ' do', ' all', ' things', ' through', ' Christ', ' who', ' strengthens', ' me', '.']","[' can', ' do', ' all', ' things', ' through', ' Christ', ' who', ' strengthens', ' me', '.']",0.1,can do all things through Christ who strengthens me. - Philippians 4:13, can do all things through Christ who strengthens me.,tensor([[1.]]),10,"[tensor([[0.7432]]), tensor([[0.7604]]), tensor([[0.7979]]), tensor([[0.8685]]), tensor([[0.8809]]), tensor([[0.8934]]), tensor([[0.9432]]), tensor([[0.9303]]), tensor([[0.9612]]), tensor([[1.]]), tensor([[0.9928]]), tensor([[0.9470]]), tensor([[0.9450]])]",0,10
