model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Slogans,1,17,"My bologna has a first name, it’s O-S-C-A-R. ","['My', ' b', 'ologna', ' has', ' a']","['first', ' name', '!', ' It', ""'s"", ' O', '-S', '-C', '-A', '-R', '!']","[' first', ' name', ',', ' it', '’s', ' O', '-S', '-C', '-A', '-R', '.']",0.45454545454545453,first name! It's O-S-C-A-R!," first name, it’s O-S-C-A-R. ",tensor([[0.9649]]),5,"[tensor([[0.7858]]), tensor([[0.8124]]), tensor([[0.9119]]), tensor([[0.9049]]), tensor([[0.9649]])]",0,15
gpt-4-1106-preview,Slogans,1,17,"My bologna has a first name, it’s O-S-C-A-R. ","['My', ' b', 'ologna', ' has', ' a']","['first', ' name', ',', ' it', ""'s"", ' O', '-S', '-C', '-A', '-R', '.']","[' first', ' name', ',', ' it', '’s', ' O', '-S', '-C', '-A', '-R', '.']",0.18181818181818182,"first name, it's O-S-C-A-R."," first name, it’s O-S-C-A-R. ",tensor([[0.9876]]),5,"[tensor([[0.7858]]), tensor([[0.8124]]), tensor([[0.8909]]), tensor([[0.9119]]), tensor([[0.9876]])]",0,15
gpt-4,Slogans,1,17,"My bologna has a first name, it’s O-S-C-A-R. ","['My', ' b', 'ologna', ' has', ' a']","['first', ' name', ',', ' it', ""'s"", ' O', '-S', '-C', '-A', '-R', '.']","[' first', ' name', ',', ' it', '’s', ' O', '-S', '-C', '-A', '-R', '.']",0.18181818181818182,"first name, it's O-S-C-A-R."," first name, it’s O-S-C-A-R. ",tensor([[0.9876]]),5,"[tensor([[0.7858]]), tensor([[0.8124]]), tensor([[0.8909]]), tensor([[0.9119]]), tensor([[0.9876]])]",0,15
gpt-3.5-turbo,Slogans,2,16,"Plop plop, fizz fizz, oh what a relief it is. ",['P'],"['P', 'ep', 'si', ':', ' ""', 'Live', ' for', ' Now', '""']","['lop', ' p', 'lop', ',', ' fizz', ' fizz', ',', ' oh', ' what']",1.0,"Pepsi: ""Live for Now""","lop plop, fizz fizz, oh what a relief it is. ",tensor([[0.7953]]),1,"[tensor([[0.7953]]), tensor([[0.7947]]), tensor([[0.7649]]), tensor([[0.7685]]), tensor([[0.7849]])]",0,9
gpt-4-1106-preview,Slogans,2,16,"Plop plop, fizz fizz, oh what a relief it is. ",['P'],"['lease', ' Exc', 'use', ' My', ' Dear', ' Aunt', ' Sally', '.']","['lop', ' p', 'lop', ',', ' fizz', ' fizz', ',', ' oh']",1.0,lease Excuse My Dear Aunt Sally.,"lop plop, fizz fizz, oh what a relief it is. ",tensor([[0.7953]]),1,"[tensor([[0.7953]]), tensor([[0.7439]]), tensor([[0.7639]]), tensor([[0.7734]]), tensor([[0.7755]]), tensor([[0.7690]]), tensor([[0.7847]])]",0,8
gpt-4,Slogans,2,16,"Plop plop, fizz fizz, oh what a relief it is. ",['P'],"['""', 'Practice', ' makes', ' perfect', '.""']","['lop', ' p', 'lop', ',', ' fizz']",1.0,"""Practice makes perfect.""","lop plop, fizz fizz, oh what a relief it is. ",tensor([[0.8240]]),4,"[tensor([[0.7953]]), tensor([[0.7787]]), tensor([[0.7813]]), tensor([[0.8240]])]",0,5
gpt-3.5-turbo,Slogans,3,11,"Like a good neighbor, State Farm is there. ","['Like', ' a', ' good', ' neighbor']","['State', ' Farm', ' is', ' there']","[',', ' State', ' Farm', ' is']",0.75,State Farm is there,", State Farm is there. ",tensor([[0.9513]]),5,"[tensor([[0.7618]]), tensor([[0.8039]]), tensor([[0.9263]]), tensor([[0.9460]]), tensor([[0.9513]])]",0,7
gpt-4-1106-preview,Slogans,3,11,"Like a good neighbor, State Farm is there. ","['Like', ' a', ' good', ' neighbor']","[',', ' State', ' Farm', ' is', ' there', '.']","[',', ' State', ' Farm', ' is', ' there', '.']",0.0,", State Farm is there.",", State Farm is there. ",tensor([[1.]]),6,"[tensor([[0.7618]]), tensor([[0.8110]]), tensor([[0.8640]]), tensor([[0.9571]]), tensor([[0.9781]]), tensor([[1.]])]",0,9
gpt-4,Slogans,3,11,"Like a good neighbor, State Farm is there. ","['Like', ' a', ' good', ' neighbor']","[',', ' State', ' Farm', ' is', ' there', '.']","[',', ' State', ' Farm', ' is', ' there', '.']",0.0,", State Farm is there.",", State Farm is there. ",tensor([[1.]]),6,"[tensor([[0.7618]]), tensor([[0.8110]]), tensor([[0.8640]]), tensor([[0.9571]]), tensor([[0.9781]]), tensor([[1.]])]",0,9
gpt-3.5-turbo,Slogans,4,9,"Double your pleasure, double your fun. ","['Double', ' your', ' pleasure', ',']","['double', ' your', ' fun', '.']","[' double', ' your', ' fun', '.']",0.25,double your fun., double your fun. ,tensor([[1.0000]]),4,"[tensor([[0.7875]]), tensor([[0.8904]]), tensor([[0.9126]]), tensor([[1.0000]])]",0,7
gpt-4-1106-preview,Slogans,4,9,"Double your pleasure, double your fun. ","['Double', ' your', ' pleasure', ',']","['double', ' your', ' fun', '.']","[' double', ' your', ' fun', '.']",0.25,double your fun., double your fun. ,tensor([[1.0000]]),4,"[tensor([[0.7875]]), tensor([[0.8904]]), tensor([[0.9126]]), tensor([[1.0000]])]",0,7
gpt-4,Slogans,4,9,"Double your pleasure, double your fun. ","['Double', ' your', ' pleasure', ',']","['double', ' your', ' fun', '.']","[' double', ' your', ' fun', '.']",0.25,double your fun., double your fun. ,tensor([[1.0000]]),4,"[tensor([[0.7875]]), tensor([[0.8904]]), tensor([[0.9126]]), tensor([[1.0000]])]",0,7
gpt-3.5-turbo,Slogans,5,8,Be all that you can be. ,"['Be', ' all', ' that', ' you']","['can', ' be', '.']","[' can', ' be', '.']",0.3333333333333333,can be., can be. ,tensor([[1.0000]]),3,"[tensor([[0.7877]]), tensor([[0.9179]]), tensor([[1.0000]])]",0,6
gpt-4-1106-preview,Slogans,5,8,Be all that you can be. ,"['Be', ' all', ' that', ' you']","['can', ' be', '.']","[' can', ' be', '.']",0.3333333333333333,can be., can be. ,tensor([[1.0000]]),3,"[tensor([[0.7877]]), tensor([[0.9179]]), tensor([[1.0000]])]",0,6
gpt-4,Slogans,5,8,Be all that you can be. ,"['Be', ' all', ' that', ' you']","['can', ' be', '.']","[' can', ' be', '.']",0.3333333333333333,can be., can be. ,tensor([[1.0000]]),3,"[tensor([[0.7877]]), tensor([[0.9179]]), tensor([[1.0000]])]",0,6
gpt-3.5-turbo,Slogans,6,12,"For all you do, this Bud’s for you. ",['For'],"['the', ' people', '.']","[' all', ' you', ' do']",1.0,the people.," all you do, this Bud’s for you. ",tensor([[0.7929]]),2,"[tensor([[0.7779]]), tensor([[0.7929]]), tensor([[0.7673]])]",0,3
gpt-4-1106-preview,Slogans,6,12,"For all you do, this Bud’s for you. ",['For'],"['For', ' the', ' people', ',', ' by', ' the', ' people', '.']","[' all', ' you', ' do', ',', ' this', ' Bud', '’s', ' for']",0.875,"For the people, by the people."," all you do, this Bud’s for you. ",tensor([[0.8313]]),3,"[tensor([[0.7779]]), tensor([[0.8004]]), tensor([[0.8313]]), tensor([[0.8223]]), tensor([[0.8083]]), tensor([[0.8149]]), tensor([[0.8255]])]",0,8
gpt-4,Slogans,6,12,"For all you do, this Bud’s for you. ",['For'],"['justice', ',', ' not', ' excuses', '.']","[' all', ' you', ' do', ',', ' this']",1.0,"justice, not excuses."," all you do, this Bud’s for you. ",tensor([[0.7938]]),2,"[tensor([[0.7779]]), tensor([[0.7938]]), tensor([[0.7364]]), tensor([[0.7870]])]",0,5
gpt-3.5-turbo,Slogans,7,13,A little dab’ll do ya. (1950s) ,['A'],"['popular', ' slogan', ' is', ' ""', 'Just', ' do', ' it', '.""']","[' little', ' dab', '’ll', ' do', ' ya', '.', ' (', '195']",1.0,"popular slogan is ""Just do it.""", little dab’ll do ya. (1950s) ,tensor([[0.8040]]),1,"[tensor([[0.8040]]), tensor([[0.7799]]), tensor([[0.7932]]), tensor([[0.7839]]), tensor([[0.7819]]), tensor([[0.7855]]), tensor([[0.7738]])]",0,8
gpt-4-1106-preview,Slogans,7,13,A little dab’ll do ya. (1950s) ,['A'],"['diamond', ' is', ' forever', '.']","[' little', ' dab', '’ll', ' do']",1.0,diamond is forever., little dab’ll do ya. (1950s) ,tensor([[0.8040]]),1,"[tensor([[0.8040]]), tensor([[0.7462]]), tensor([[0.7555]]), tensor([[0.7391]])]",0,4
gpt-4,Slogans,7,13,A little dab’ll do ya. (1950s) ,['A'],"['pp', 'le', ' a', ' day', ' keeps', ' the', ' doctor', ' away', '.']","[' little', ' dab', '’ll', ' do', ' ya', '.', ' (', '195', '0']",1.0,pple a day keeps the doctor away., little dab’ll do ya. (1950s) ,tensor([[0.8040]]),1,"[tensor([[0.8040]]), tensor([[0.7519]]), tensor([[0.7590]]), tensor([[0.7828]]), tensor([[0.7767]]), tensor([[0.7699]]), tensor([[0.7696]]), tensor([[0.7550]])]",0,9
gpt-3.5-turbo,Slogans,8,11,It’s the real thing. (1970) ,['It'],"['is', ' a', ' popular', ' slogan', ' that', ' emphasizes', ' the', ' importance', ' of', ' staying']","['’s', ' the', ' real', ' thing', '.', ' (', '197', '0', ')', ' ']",1.0,is a popular slogan that emphasizes the importance of staying hydrated.,’s the real thing. (1970) ,tensor([[0.8108]]),3,"[tensor([[0.7688]]), tensor([[0.8004]]), tensor([[0.8108]]), tensor([[0.7971]]), tensor([[0.7870]]), tensor([[0.7849]]), tensor([[0.7703]]), tensor([[0.7756]]), tensor([[0.7603]]), tensor([[0.7571]]), tensor([[0.7544]]), tensor([[0.7557]])]",0,10
gpt-4-1106-preview,Slogans,8,11,It’s the real thing. (1970) ,['It'],"['is', ' what', ' it', ' is', '.']","['’s', ' the', ' real', ' thing', '.']",0.8,is what it is.,’s the real thing. (1970) ,tensor([[0.8245]]),5,"[tensor([[0.7688]]), tensor([[0.8004]]), tensor([[0.8006]]), tensor([[0.8126]]), tensor([[0.8245]])]",0,5
