,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
0,gpt-3.5-turbo,Iron Flame by Rebecca Yarros,1689,25," art on the walls here, not just busts of war heroes displayed on stands, and I’m pretty sure that’s an","[' art', ' on', ' the', ' walls', ' here', ',', ' not']","['just', ' any', ' art', ',', ' but', ' master', 'pieces', '.', ' Paint', 'ings', ' by', ' renowned', ' artists', ' hang', ' in', ' orn', 'ate', ' frames']","[' just', ' bust', 's', ' of', ' war', ' heroes', ' displayed', ' on', ' stands', ',', ' and', ' I', '’m', ' pretty', ' sure', ' that', '’s', ' an']",1.0,"just any art, but masterpieces. Paintings by renowned artists hang in ornate frames, each stroke of the brush meticulously captured for eternity. The air is thick with a sense of awe and reverence, as visitors pause to admire the beauty that surrounds"," just busts of war heroes displayed on stands, and I’m pretty sure that’s an",tensor([[0.8040]]),14,"[tensor([[0.7570]]), tensor([[0.7739]]), tensor([[0.7745]]), tensor([[0.7916]]), tensor([[0.7998]]), tensor([[0.8019]]), tensor([[0.7960]]), tensor([[0.7955]]), tensor([[0.7904]]), tensor([[0.7889]]), tensor([[0.8017]]), tensor([[0.8036]]), tensor([[0.7991]]), tensor([[0.8040]]), tensor([[0.8001]]), tensor([[0.7920]]), tensor([[0.7934]]), tensor([[0.7948]]), tensor([[0.7937]]), tensor([[0.7922]]), tensor([[0.7913]]), tensor([[0.7900]]), tensor([[0.7902]]), tensor([[0.7840]]), tensor([[0.7924]]), tensor([[0.7886]]), tensor([[0.7906]]), tensor([[0.7889]]), tensor([[0.7872]]), tensor([[0.7891]]), tensor([[0.7865]]), tensor([[0.7911]]), tensor([[0.7862]]), tensor([[0.7908]]), tensor([[0.7830]]), tensor([[0.7909]]), tensor([[0.7904]]), tensor([[0.7872]]), tensor([[0.7909]]), tensor([[0.7858]]), tensor([[0.7910]]), tensor([[0.7876]]), tensor([[0.7884]])]",1688,1712
3,gpt-3.5-turbo,Iron Flame by Rebecca Yarros,3103,25," Basgiath’s luminary,” Battle-Ax suggests. “If we’re that close to losing this war, there’s","[' Bas', 'gi', 'ath', '’s', ' lum']","['ines', 'cent', ' eyes', ' narrowed', ' as', ' he', ' surveyed', ' the', ' sm', 'older', 'ing', ' battlefield', ' before', ' him', '.', ' The', ' ac', 'rid', ' smell', ' of']","['inary', ',”', ' Battle', '-A', 'x', ' suggests', '.', ' “', 'If', ' we', '’re', ' that', ' close', ' to', ' losing', ' this', ' war', ',', ' there', '’s']",1.0,"inescent eyes narrowed as he surveyed the smoldering battlefield before him. The acrid smell of burnt metal and charred corpses filled the air, a haunting reminder of the devastation he had caused. His armor, blackened now with soot and","inary,” Battle-Ax suggests. “If we’re that close to losing this war, there’s",tensor([[0.8091]]),14,"[tensor([[0.7588]]), tensor([[0.7623]]), tensor([[0.7572]]), tensor([[0.7603]]), tensor([[0.7675]]), tensor([[0.7660]]), tensor([[0.7505]]), tensor([[0.7552]]), tensor([[0.7651]]), tensor([[0.8013]]), tensor([[0.7956]]), tensor([[0.7884]]), tensor([[0.8038]]), tensor([[0.8091]]), tensor([[0.8041]]), tensor([[0.8045]]), tensor([[0.8010]]), tensor([[0.8021]]), tensor([[0.8046]]), tensor([[0.8008]]), tensor([[0.7987]]), tensor([[0.7949]]), tensor([[0.7902]]), tensor([[0.7846]]), tensor([[0.7933]]), tensor([[0.7903]]), tensor([[0.7949]]), tensor([[0.7942]]), tensor([[0.7923]]), tensor([[0.7902]]), tensor([[0.7918]]), tensor([[0.7876]]), tensor([[0.7802]]), tensor([[0.7909]]), tensor([[0.7848]]), tensor([[0.7874]]), tensor([[0.7872]]), tensor([[0.7881]]), tensor([[0.7870]]), tensor([[0.7883]])]",3102,3126
6,gpt-3.5-turbo,Iron Flame by Rebecca Yarros,548,34," me eat is creepy,” I counter after I swallow, my voice still a little hoarse. “And?” He shrugs shamelessly, a dimple flashing in his","[' me', ' eat', ' is', ' creepy', ',”', ' I']","['thought', ' as', ' my', ' stomach', ' gr', 'umbled', ' loudly', '.', ' The', ' neon', ' signs', ' of', ' the', ' sketch', 'y', ' diner', ' flick', 'ered', ' in', ' the', ' dim', 'ly', ' lit', ' street', ',', ' casting', ' eerie', ' shadows']","[' counter', ' after', ' I', ' swallow', ',', ' my', ' voice', ' still', ' a', ' little', ' ho', 'arse', '.', ' “', 'And', '?”', ' He', ' shr', 'ugs', ' shame', 'lessly', ',', ' a', ' dim', 'ple', ' flashing', ' in', ' his']",1.0,"thought as my stomach grumbled loudly. The neon signs of the sketchy diner flickered in the dimly lit street, casting eerie shadows on the cracked pavement. Reluctantly, I pushed open the heavy wooden door and stepped inside, immediately hit"," counter after I swallow, my voice still a little hoarse. “And?” He shrugs shamelessly, a dimple flashing in his",tensor([[0.8728]]),9,"[tensor([[0.7578]]), tensor([[0.7565]]), tensor([[0.7920]]), tensor([[0.8205]]), tensor([[0.8431]]), tensor([[0.8611]]), tensor([[0.8524]]), tensor([[0.8654]]), tensor([[0.8728]]), tensor([[0.8604]]), tensor([[0.8666]]), tensor([[0.8661]]), tensor([[0.8620]]), tensor([[0.8604]]), tensor([[0.8539]]), tensor([[0.8562]]), tensor([[0.8561]]), tensor([[0.8578]]), tensor([[0.8546]]), tensor([[0.8386]]), tensor([[0.8442]]), tensor([[0.8367]]), tensor([[0.8362]]), tensor([[0.8361]]), tensor([[0.8359]]), tensor([[0.8401]]), tensor([[0.8293]]), tensor([[0.8376]]), tensor([[0.8445]]), tensor([[0.8426]]), tensor([[0.8380]]), tensor([[0.8378]]), tensor([[0.8341]]), tensor([[0.8338]]), tensor([[0.8262]]), tensor([[0.8294]]), tensor([[0.8281]]), tensor([[0.8202]]), tensor([[0.8246]]), tensor([[0.8267]])]",547,580
9,gpt-3.5-turbo,Iron Flame by Rebecca Yarros,4003,33," “I still don’t understand that particular decision,” Hawk Nose adds. “Decision was simple. She’s worth a dozen of me,” Xaden says, and my","[' “', 'I', ' still', ' don', '’t', ' understand', ' that', ' particular', ' decision', ',”', ' Hawk', ' Nose']","['said', ' with', ' a', ' shake', ' of', ' his', ' head', '.', ' As', ' the', ' group', ' of', ' friends', ' sat', ' around', ' the', ' camp', 'fire', ',', ' their', ' faces']","[' adds', '.', ' “', 'Decision', ' was', ' simple', '.', ' She', '’s', ' worth', ' a', ' dozen', ' of', ' me', ',”', ' X', 'aden', ' says', ',', ' and', ' my']",0.9523809523809524,"said with a shake of his head. As the group of friends sat around the campfire, their faces illuminated by the dancing flames, he couldn't help but express his confusion. The decision he was referring to was one that had left a lasting impact"," adds. “Decision was simple. She’s worth a dozen of me,” Xaden says, and my",tensor([[0.8197]]),4,"[tensor([[0.7529]]), tensor([[0.7959]]), tensor([[0.8042]]), tensor([[0.8197]]), tensor([[0.7885]]), tensor([[0.7994]]), tensor([[0.7974]]), tensor([[0.7837]]), tensor([[0.7956]]), tensor([[0.8003]]), tensor([[0.7945]]), tensor([[0.7996]]), tensor([[0.7861]]), tensor([[0.7793]]), tensor([[0.7805]]), tensor([[0.7840]]), tensor([[0.7628]]), tensor([[0.7706]]), tensor([[0.7711]]), tensor([[0.7716]]), tensor([[0.7715]]), tensor([[0.7707]]), tensor([[0.7629]]), tensor([[0.7498]]), tensor([[0.7588]]), tensor([[0.7543]]), tensor([[0.7576]]), tensor([[0.7568]]), tensor([[0.7603]]), tensor([[0.7608]]), tensor([[0.7544]]), tensor([[0.7610]]), tensor([[0.7830]]), tensor([[0.7819]]), tensor([[0.7849]]), tensor([[0.7869]]), tensor([[0.7898]]), tensor([[0.7892]]), tensor([[0.7934]]), tensor([[0.7901]]), tensor([[0.7922]]), tensor([[0.7944]]), tensor([[0.7958]]), tensor([[0.7928]]), tensor([[0.7920]])]",4002,4034
12,gpt-3.5-turbo,Iron Flame by Rebecca Yarros,1606,25," “see” them organizing to fight here. There are certain aspects of Riorson House, from its defensible position carved","[' “', 'see', '”', ' them', ' organizing', ' to', ' fight']","['back', ' against', ' the', ' oppressive', ' regime', '.', ' Their', ' determination', ' and', ' resilience', ' shine', ' through', ' their', ' h', 'ushed', ' conversations', ',', ' as']","[' here', '.', ' There', ' are', ' certain', ' aspects', ' of', ' R', 'ior', 'son', ' House', ',', ' from', ' its', ' def', 'ensible', ' position', ' carved']",1.0,"back against the oppressive regime. Their determination and resilience shine through their hushed conversations, as they strategize in the shadows and build alliances with like-minded individuals. In the face of danger, their unity grows stronger, fueling their burning desire for freedom"," here. There are certain aspects of Riorson House, from its defensible position carved",tensor([[0.7944]]),10,"[tensor([[0.7666]]), tensor([[0.7769]]), tensor([[0.7417]]), tensor([[0.7736]]), tensor([[0.7442]]), tensor([[0.7501]]), tensor([[0.7658]]), tensor([[0.7736]]), tensor([[0.7738]]), tensor([[0.7944]]), tensor([[0.7879]]), tensor([[0.7906]]), tensor([[0.7886]]), tensor([[0.7848]]), tensor([[0.7742]]), tensor([[0.7752]]), tensor([[0.7780]]), tensor([[0.7826]]), tensor([[0.7819]]), tensor([[0.7772]]), tensor([[0.7739]]), tensor([[0.7714]]), tensor([[0.7825]]), tensor([[0.7727]]), tensor([[0.7702]]), tensor([[0.7719]]), tensor([[0.7673]]), tensor([[0.7709]]), tensor([[0.7680]]), tensor([[0.7763]]), tensor([[0.7709]]), tensor([[0.7713]]), tensor([[0.7723]]), tensor([[0.7751]]), tensor([[0.7704]]), tensor([[0.7724]]), tensor([[0.7737]]), tensor([[0.7738]]), tensor([[0.7747]]), tensor([[0.7749]]), tensor([[0.7738]]), tensor([[0.7735]])]",1605,1629
15,gpt-3.5-turbo,Iron Flame by Rebecca Yarros,1828,27,". “Someone has to state the obvious,” an older man with an eyepatch and a hawkish nose says from the far end","['.', ' “', 'Someone', ' has', ' to', ' state', ' the', ' obvious', ',”']","['she', ' declared', ',', ' her', ' voice', ' filled', ' with', ' a', ' mixture', ' of', ' frustration', ' and', ' determination', '.', ' ""', 'We', ' can', ""'t""]","[' an', ' older', ' man', ' with', ' an', ' ey', 'ep', 'atch', ' and', ' a', ' hawk', 'ish', ' nose', ' says', ' from', ' the', ' far', ' end']",1.0,"she declared, her voice filled with a mixture of frustration and determination. ""We can't just keep pretending that everything is fine when it's clearly not. We need to face the truth and have an honest conversation about what's really going on here.""", an older man with an eyepatch and a hawkish nose says from the far end,tensor([[0.7965]]),43,"[tensor([[0.7560]]), tensor([[0.7246]]), tensor([[0.7520]]), tensor([[0.7519]]), tensor([[0.7658]]), tensor([[0.7626]]), tensor([[0.7657]]), tensor([[0.7728]]), tensor([[0.7721]]), tensor([[0.7746]]), tensor([[0.7679]]), tensor([[0.7676]]), tensor([[0.7685]]), tensor([[0.7719]]), tensor([[0.7717]]), tensor([[0.7753]]), tensor([[0.7775]]), tensor([[0.7827]]), tensor([[0.7800]]), tensor([[0.7795]]), tensor([[0.7814]]), tensor([[0.7799]]), tensor([[0.7807]]), tensor([[0.7831]]), tensor([[0.7786]]), tensor([[0.7887]]), tensor([[0.7853]]), tensor([[0.7800]]), tensor([[0.7790]]), tensor([[0.7837]]), tensor([[0.7847]]), tensor([[0.7828]]), tensor([[0.7845]]), tensor([[0.7836]]), tensor([[0.7863]]), tensor([[0.7824]]), tensor([[0.7850]]), tensor([[0.7834]]), tensor([[0.7869]]), tensor([[0.7828]]), tensor([[0.7837]]), tensor([[0.7831]]), tensor([[0.7965]])]",1827,1853
18,gpt-3.5-turbo,Iron Flame by Rebecca Yarros,1526,38," The city—now reduced to a town—has been silently, covertly rebuilding for years right under General Melgren’s nose. The relics, magical marks the children of the executed rebellion officers","[' The', ' city', '—', 'now', ' reduced', ' to', ' a', ' town', '—', 'has', ' been', ' silently', ',', ' covert', 'ly', ' rebuilding', ' for', ' years']","[',', ' its', ' scars', ' slowly', ' healing', ' as', ' its', ' residents', ' start', ' to', ' reclaim', ' their', ' lives', '.', ' From', ' the', ' ashes', ' of', ' destruction', ' rises']","[' right', ' under', ' General', ' Mel', 'gren', '’s', ' nose', '.', ' The', ' relics', ',', ' magical', ' marks', ' the', ' children', ' of', ' the', ' executed', ' rebellion', ' officers']",1.0,", its scars slowly healing as its residents start to reclaim their lives. From the ashes of destruction rises a renewed sense of hope and determination, the flame of resilience burning brighter than ever. The once bustling streets are now filled with the sounds of construction,"," right under General Melgren’s nose. The relics, magical marks the children of the executed rebellion officers",tensor([[0.8102]]),2,"[tensor([[0.7745]]), tensor([[0.8102]]), tensor([[0.7663]]), tensor([[0.7921]]), tensor([[0.7792]]), tensor([[0.7811]]), tensor([[0.7868]]), tensor([[0.7849]]), tensor([[0.7906]]), tensor([[0.7856]]), tensor([[0.7888]]), tensor([[0.7886]]), tensor([[0.7935]]), tensor([[0.7847]]), tensor([[0.7952]]), tensor([[0.7985]]), tensor([[0.7997]]), tensor([[0.8011]]), tensor([[0.7984]]), tensor([[0.7964]]), tensor([[0.7930]]), tensor([[0.7907]]), tensor([[0.7953]]), tensor([[0.7928]]), tensor([[0.7937]]), tensor([[0.7904]]), tensor([[0.7866]]), tensor([[0.7908]]), tensor([[0.8019]]), tensor([[0.8016]]), tensor([[0.8001]]), tensor([[0.8003]]), tensor([[0.7997]]), tensor([[0.7968]]), tensor([[0.7878]]), tensor([[0.7939]]), tensor([[0.7987]]), tensor([[0.8045]]), tensor([[0.7940]]), tensor([[0.7911]]), tensor([[0.7944]]), tensor([[0.7920]]), tensor([[0.7922]]), tensor([[0.7896]]), tensor([[0.7874]]), tensor([[0.7874]]), tensor([[0.7710]])]",1525,1562
21,gpt-3.5-turbo,Iron Flame by Rebecca Yarros,4034,23," and my breath catches at the intensity in his eyes. If I didn’t know better, I’d think he means","[' and', ' my', ' breath', ' catches', ' at', ' the']","['s', 'ight', ' before', ' me', '.', ' The', ' flames', ' dance', ' and', ' flick', 'er', ',', ' consuming', ' everything', ' in', ' their', ' path']","[' intensity', ' in', ' his', ' eyes', '.', ' If', ' I', ' didn', '’t', ' know', ' better', ',', ' I', '’d', ' think', ' he', ' means']",0.8823529411764706,"sight before me. The flames dance and flicker, consuming everything in their path with an intensity that both frightens and intrigues me. The heat radiates off them, searing my skin and making me feel alive in a way I hadn"," intensity in his eyes. If I didn’t know better, I’d think he means",tensor([[0.8374]]),17,"[tensor([[0.7778]]), tensor([[0.8250]]), tensor([[0.8144]]), tensor([[0.8101]]), tensor([[0.8079]]), tensor([[0.8074]]), tensor([[0.8107]]), tensor([[0.8013]]), tensor([[0.8073]]), tensor([[0.8185]]), tensor([[0.8205]]), tensor([[0.8235]]), tensor([[0.8138]]), tensor([[0.8202]]), tensor([[0.8159]]), tensor([[0.8028]]), tensor([[0.8374]]), tensor([[0.8222]]), tensor([[0.8353]]), tensor([[0.8324]]), tensor([[0.8212]]), tensor([[0.8300]]), tensor([[0.8169]]), tensor([[0.8177]]), tensor([[0.8316]]), tensor([[0.8265]]), tensor([[0.8239]]), tensor([[0.8092]]), tensor([[0.8197]]), tensor([[0.8097]]), tensor([[0.8136]]), tensor([[0.8054]]), tensor([[0.8150]]), tensor([[0.8166]]), tensor([[0.8212]]), tensor([[0.8181]]), tensor([[0.8184]]), tensor([[0.8064]]), tensor([[0.8207]]), tensor([[0.8113]]), tensor([[0.8161]])]",4033,4055
24,gpt-3.5-turbo,Iron Flame by Rebecca Yarros,383,28," my head. “Yeah, yeah,” I reply in kind, mentally reaching out for Andarna again as one of the kitchen workers hurries","[' my', ' head', '.', ' “', 'Yeah', ',', ' yeah', ',”', ' I', ' reply', ' in', ' kind', ',']","['rolling', ' my', ' eyes', '.', ' I', ' can', ""'t"", ' help', ' but', ' feel', ' a', ' surge', ' of', ' annoyance', ' at']","[' mentally', ' reaching', ' out', ' for', ' And', 'arna', ' again', ' as', ' one', ' of', ' the', ' kitchen', ' workers', ' hur', 'ries']",1.0,"rolling my eyes. I can't help but feel a surge of annoyance at his sass, but deep down, I appreciate the banter. It's moments like these that remind me of our unbreakable bond, forged not only through blood, but", mentally reaching out for Andarna again as one of the kitchen workers hurries,tensor([[0.7927]]),35,"[tensor([[0.7572]]), tensor([[0.7393]]), tensor([[0.7501]]), tensor([[0.7612]]), tensor([[0.7741]]), tensor([[0.7630]]), tensor([[0.7769]]), tensor([[0.7748]]), tensor([[0.7784]]), tensor([[0.7765]]), tensor([[0.7872]]), tensor([[0.7864]]), tensor([[0.7781]]), tensor([[0.7798]]), tensor([[0.7829]]), tensor([[0.7802]]), tensor([[0.7822]]), tensor([[0.7865]]), tensor([[0.7805]]), tensor([[0.7735]]), tensor([[0.7835]]), tensor([[0.7788]]), tensor([[0.7764]]), tensor([[0.7786]]), tensor([[0.7809]]), tensor([[0.7847]]), tensor([[0.7798]]), tensor([[0.7824]]), tensor([[0.7846]]), tensor([[0.7841]]), tensor([[0.7816]]), tensor([[0.7908]]), tensor([[0.7776]]), tensor([[0.7812]]), tensor([[0.7927]]), tensor([[0.7904]]), tensor([[0.7906]]), tensor([[0.7891]]), tensor([[0.7879]]), tensor([[0.7925]])]",382,409
27,gpt-3.5-turbo,Iron Flame by Rebecca Yarros,2292,24," what is the obvious thing you need to state, Major Ferris?” Xaden asks, his tone completely, utterly bored","[' what', ' is', ' the', ' obvious', ' thing', ' you', ' need', ' to', ' state', ',', ' Major', ' Ferr']","['is', ' that', ' you', ' are', ' a', ' walking', ' disaster', ' waiting', ' to', ' happen', '.""', ' I']","['is', '?”', ' X', 'aden', ' asks', ',', ' his', ' tone', ' completely', ',', ' utterly', ' bored']",0.9166666666666666,"is that you are a walking disaster waiting to happen."" I winced at her blunt words, but deep down, I knew she was right. My track record of demolished vehicles, broken bones, and near-death experiences spoke for itself. But as I","is?” Xaden asks, his tone completely, utterly bored",tensor([[0.8153]]),14,"[tensor([[0.7434]]), tensor([[0.8116]]), tensor([[0.7951]]), tensor([[0.7709]]), tensor([[0.7705]]), tensor([[0.7867]]), tensor([[0.7867]]), tensor([[0.7923]]), tensor([[0.7884]]), tensor([[0.7914]]), tensor([[0.7912]]), tensor([[0.7985]]), tensor([[0.8129]]), tensor([[0.8153]]), tensor([[0.8052]]), tensor([[0.8151]]), tensor([[0.8093]]), tensor([[0.8126]]), tensor([[0.8127]]), tensor([[0.8088]]), tensor([[0.8108]]), tensor([[0.7945]]), tensor([[0.7900]]), tensor([[0.7949]]), tensor([[0.7688]]), tensor([[0.7826]]), tensor([[0.7848]]), tensor([[0.7795]]), tensor([[0.7789]]), tensor([[0.7881]]), tensor([[0.7896]]), tensor([[0.7861]]), tensor([[0.7871]]), tensor([[0.7864]]), tensor([[0.7868]]), tensor([[0.7885]]), tensor([[0.7850]]), tensor([[0.7837]]), tensor([[0.7843]]), tensor([[0.7844]]), tensor([[0.7849]]), tensor([[0.7867]])]",2291,2314
