model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,5685,20, And I didn't need a bartender to offer me a job or give me free smokes. With,"[' And', ' I', ' didn', ""'t"", ' need']","['""The', ' Fellowship', ' of', ' the', ' Ring', '""', ' by', ' J', '.R', '.R', '.', ' Tolkien', ' begins', ':\n\n', '""And', ' I', ' —', ' I', ' took', ' the', ' one', ' less', ' traveled', ' by', ',\n', 'And', ' that', ' has', ' made', ' all', ' the', ' difference', '.""']","[""['"", ' a', ""',"", "" '"", ' bartender', ""',"", "" '"", ' to', ""',"", "" '"", ' offer', ""',"", "" '"", ' me', ""',"", "" '"", ' a', ""',"", "" '"", ' job', ""',"", "" '"", ' or', ""',"", "" '"", ' give', ""',"", "" '"", ' me', ""',"", "" '"", ' free', ""',""]",1.0,"""The Fellowship of the Ring"" by J.R.R. Tolkien begins:

""And I — I took the one less traveled by,
And that has made all the difference.""","[' a', ' bartender', ' to', ' offer', ' me', ' a', ' job', ' or', ' give', ' me', ' free', ' sm', 'okes', '.', ' With']",tensor([[0.8049]]),2,"[tensor([[0.7837]]), tensor([[0.8049]]), tensor([[0.7349]]), tensor([[0.7619]]), tensor([[0.7510]]), tensor([[0.7608]]), tensor([[0.7444]]), tensor([[0.7657]]), tensor([[0.7524]]), tensor([[0.7639]]), tensor([[0.7681]]), tensor([[0.7706]]), tensor([[0.7647]]), tensor([[0.7737]]), tensor([[0.7738]]), tensor([[0.7690]]), tensor([[0.7708]]), tensor([[0.7660]]), tensor([[0.7622]]), tensor([[0.7655]]), tensor([[0.7640]]), tensor([[0.7635]]), tensor([[0.7673]]), tensor([[0.7615]]), tensor([[0.7790]])]",5684,5731
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,4104,21,", World's Greatest Boss.'"" ""You can read that from here?"" ""Apparently."" The thing with his","[',', ' World', ""'s"", ' Greatest', ' Boss']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' am', ' unable', ' to', ' provide', ' additional', ' text', ' following', ' the', ' fragment', ' you', ' have', ' provided', '.', ' If', ' you', ' have', ' any', ' further', ' questions', ' or', ' if', ' there', ' is', ' something', ' else', ' I', ' can', ' assist', ' you', ' with', ',', ' please', ' let', ' me', ' know', '.']","[""['"", '.\\', '\'""', ""',"", "" '"", ' ""\',', "" '"", 'You', ""',"", "" '"", ' can', ""',"", "" '"", ' read', ""',"", "" '"", ' that', ""',"", "" '"", ' from', ""',"", "" '"", ' here', ""',"", "" '"", '?""', ""',"", "" '"", ' ""\',', "" '"", 'Apparently', ""',"", "" '"", '.""\',', "" '"", ' The', ""',"", "" '"", ' thing', ""',"", "" '"", ' with']",1.0,"I'm sorry, but I am unable to provide additional text following the fragment you have provided. If you have any further questions or if there is something else I can assist you with, please let me know.","['.\'""', ' ""', 'You', ' can', ' read', ' that', ' from', ' here', '?""', ' ""', 'Apparently', '.""', ' The', ' thing', ' with', ' his']",tensor([[0.8290]]),15,"[tensor([[0.8024]]), tensor([[0.7956]]), tensor([[0.7738]]), tensor([[0.7745]]), tensor([[0.7740]]), tensor([[0.7698]]), tensor([[0.7742]]), tensor([[0.7922]]), tensor([[0.8081]]), tensor([[0.8125]]), tensor([[0.8168]]), tensor([[0.8201]]), tensor([[0.8145]]), tensor([[0.8249]]), tensor([[0.8290]]), tensor([[0.8245]]), tensor([[0.8166]]), tensor([[0.8228]]), tensor([[0.8253]]), tensor([[0.8248]]), tensor([[0.8210]]), tensor([[0.8211]]), tensor([[0.8167]]), tensor([[0.8216]]), tensor([[0.8171]]), tensor([[0.8194]]), tensor([[0.8156]]), tensor([[0.8138]]), tensor([[0.8158]]), tensor([[0.8172]]), tensor([[0.8159]]), tensor([[0.8164]]), tensor([[0.8204]]), tensor([[0.8219]]), tensor([[0.8198]]), tensor([[0.8244]]), tensor([[0.8219]]), tensor([[0.8249]])]",4103,4159
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,4922,21, lungs. This body is starting to feel like mine again. Like me. I'm just not sure about,"[' lungs', '.', ' This', ' body', ' is', ' starting', ' to', ' feel']","['heavy', ',', ' Aunt', ' Pet', 'un', 'ia', ' swings', ' her', ' hand', 'bag', ' at', ' Harry', '.', ' The', ' bag', ' wr', 'igg', 'les', ' and', ' jumps', ' and', ' she', ' screams', ',', ' dropping', ' it', '.', ' Before', ' either', ' Harry', ' or', ' Dudley', ' knows', ' what', '’s']","[""['"", ' like', ""',"", "" '"", ' mine', ""',"", "" '"", ' again', ""',"", "" '.',"", "" '"", ' Like', ""',"", "" '"", ' me', ""',"", "" '.',"", "" '"", ' I', ""',"", ' ""\'', 'm', '"",', "" '"", ' just', ""',"", "" '"", ' not', ""',"", "" '"", ' sure', ""',"", "" '"", ' about', ""']""]",1.0,"heavy, Aunt Petunia swings her handbag at Harry. The bag wriggles and jumps and she screams, dropping it. Before either Harry or Dudley knows what’s happening, their cousin has landed on the grass with his great hands around the","[' like', ' mine', ' again', '.', ' Like', ' me', '.', ' I', ""'m"", ' just', ' not', ' sure', ' about']",tensor([[0.7933]]),2,"[tensor([[0.7764]]), tensor([[0.7933]]), tensor([[0.7886]]), tensor([[0.7686]]), tensor([[0.7342]]), tensor([[0.7426]]), tensor([[0.7202]]), tensor([[0.7210]]), tensor([[0.7116]]), tensor([[0.7158]]), tensor([[0.7346]]), tensor([[0.7315]]), tensor([[0.7217]]), tensor([[0.7229]]), tensor([[0.7160]]), tensor([[0.7167]]), tensor([[0.7172]]), tensor([[0.7174]]), tensor([[0.7174]]), tensor([[0.7280]]), tensor([[0.7303]]), tensor([[0.7351]]), tensor([[0.7281]]), tensor([[0.7353]]), tensor([[0.7265]]), tensor([[0.7227]]), tensor([[0.7299]]), tensor([[0.7210]]), tensor([[0.7253]]), tensor([[0.7210]]), tensor([[0.7222]]), tensor([[0.7218]]), tensor([[0.7194]]), tensor([[0.7195]]), tensor([[0.7180]]), tensor([[0.7183]]), tensor([[0.7216]]), tensor([[0.7221]]), tensor([[0.7210]]), tensor([[0.7193]])]",4921,4977
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,1592,31," he's sweating like a racehorse and his movements are quick and jerky, like a broken windup toy. He looks at me like I just killed","[' he', ""'s"", ' sweating', ' like', ' a', ' race', 'horse', ' and', ' his', ' movements', ' are', ' quick']","['like', ' those', ' of', ' a', ' man', ' who', ' has', ' somewhere', ' important', ' to', ' be', '.', ' But', ' the', ' truth', ' is', ',', ' he', ' has', ' nowhere', ' to', ' be', ',', ' not', ' until', ' the', ' August', ' sun', ' dips', ' below', ' the', ' horizon', ' and', ' the', ' tourists', ' start', ' trick', 'ling', ' back', ' home', ',', ' leaving', ' the', ' island', ' to', ' the', ' year', '-round', ' residents', '.']","[""['"", ' and', ""',"", "" '"", ' jer', ""',"", "" '"", 'ky', ""',"", "" ',',"", "" '"", ' like', ""',"", "" '"", ' a', ""',"", "" '"", ' broken', ""',"", "" '"", ' wind', ""',"", "" '"", 'up', ""',"", "" '"", ' toy', ""',"", "" '.',"", "" '"", ' He', ""',"", "" '"", ' looks', ""',"", "" '"", ' at', ""',"", "" '"", ' me', ""',"", "" '"", ' like', ""',"", "" '"", ' I', ""',"", "" '"", ' just', ""',""]",1.0,"like those of a man who has somewhere important to be. But the truth is, he has nowhere to be, not until the August sun dips below the horizon and the tourists start trickling back home, leaving the island to the year-round residents.","[' and', ' jer', 'ky', ',', ' like', ' a', ' broken', ' wind', 'up', ' toy', '.', ' He', ' looks', ' at', ' me', ' like', ' I', ' just', ' killed']",tensor([[0.8323]]),4,"[tensor([[0.7859]]), tensor([[0.8252]]), tensor([[0.8128]]), tensor([[0.8323]]), tensor([[0.8203]]), tensor([[0.7994]]), tensor([[0.8006]]), tensor([[0.7977]]), tensor([[0.7853]]), tensor([[0.7605]]), tensor([[0.7600]]), tensor([[0.7548]]), tensor([[0.7544]]), tensor([[0.7591]]), tensor([[0.7688]]), tensor([[0.7602]]), tensor([[0.7638]]), tensor([[0.7779]]), tensor([[0.7775]]), tensor([[0.7727]]), tensor([[0.7707]]), tensor([[0.7783]]), tensor([[0.7734]]), tensor([[0.7672]]), tensor([[0.7700]]), tensor([[0.7771]]), tensor([[0.7761]]), tensor([[0.7775]]), tensor([[0.7698]]), tensor([[0.7783]]), tensor([[0.7661]]), tensor([[0.7664]]), tensor([[0.7565]]), tensor([[0.7560]]), tensor([[0.7577]]), tensor([[0.7579]]), tensor([[0.7557]]), tensor([[0.7552]]), tensor([[0.7485]]), tensor([[0.7531]]), tensor([[0.7486]]), tensor([[0.7463]]), tensor([[0.7492]]), tensor([[0.7505]])]",1591,1676
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,1549,22," on me like that.  Brad Pitt takes a couple of stiff steps back. ""What the fuck?"" he","[' on', ' me', ' like', ' that', '.', ' ', ' Brad', ' Pitt']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' in', ' that', ' way', ' as', ' it', ' does', ' not', ' align', ' with', ' Open', 'AI', ""'s"", ' use', ' case', ' policy', '.', ' Would', ' you', ' like', ' a', ' summary', ' or', ' analysis', ' instead', '?']","[""['"", ' takes', ""',"", "" '"", ' a', ""',"", "" '"", ' couple', ""',"", "" '"", ' of', ""',"", "" '"", ' stiff', ""',"", "" '"", ' steps', ""',"", "" '"", ' back', ""',"", "" '.',"", "" '"", ' ""\',', "" '"", 'What', ""',"", "" '"", ' the', ""',"", "" '"", ' fuck', ""',"", "" '""]",1.0,"Sorry, but I can't continue the text in that way as it does not align with OpenAI's use case policy. Would you like a summary or analysis instead?","[' takes', ' a', ' couple', ' of', ' stiff', ' steps', ' back', '.', ' ""', 'What', ' the', ' fuck', '?""', ' he']",tensor([[0.8171]]),21,"[tensor([[0.7920]]), tensor([[0.7996]]), tensor([[0.7946]]), tensor([[0.7778]]), tensor([[0.7686]]), tensor([[0.7568]]), tensor([[0.7607]]), tensor([[0.7830]]), tensor([[0.7958]]), tensor([[0.7946]]), tensor([[0.7964]]), tensor([[0.7982]]), tensor([[0.8022]]), tensor([[0.8051]]), tensor([[0.8053]]), tensor([[0.8070]]), tensor([[0.8092]]), tensor([[0.8075]]), tensor([[0.8082]]), tensor([[0.8070]]), tensor([[0.8171]]), tensor([[0.8106]]), tensor([[0.8074]]), tensor([[0.8076]]), tensor([[0.8153]]), tensor([[0.8014]]), tensor([[0.8010]]), tensor([[0.7965]]), tensor([[0.8077]])]",1548,1602
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,2492,30,"-petaled flower sort of like a chrysanthemum. It's an asphodel, a Hellion word that translates as ""ev","['-p', 'eta', 'led', ' flower', ' sort', ' of', ' like', ' a', ' ch', 'rys', 'anth', 'em', 'um']","['Sh', 'akespeare', ' is', ' cited', ' as', ' saying', ',', ' ""', 'What', ""'s"", ' in', ' a', ' name', '?', ' That', ' which', ' we', ' call', ' a', ' rose', ' by', ' any', ' other', ' name', ' would', ' smell', ' as', ' sweet', '.""']","[""['"", "".',"", "" '"", ' It', ""',"", ' ""\'', 's', '"",', "" '"", ' an', ""',"", "" '"", ' as', ""',"", "" '"", 'ph', ""',"", "" '"", 'odel', ""',"", "" ',',"", "" '"", ' a', ""',"", "" '"", ' Hell', ""',"", "" '"", 'ion']",1.0,"Shakespeare is cited as saying, ""What's in a name? That which we call a rose by any other name would smell as sweet.""","['.', ' It', ""'s"", ' an', ' as', 'ph', 'odel', ',', ' a', ' Hell', 'ion', ' word', ' that', ' translates', ' as', ' ""', 'ev']",tensor([[0.7962]]),24,"[tensor([[0.7840]]), tensor([[0.7266]]), tensor([[0.7819]]), tensor([[0.7621]]), tensor([[0.7642]]), tensor([[0.7736]]), tensor([[0.7826]]), tensor([[0.7807]]), tensor([[0.7795]]), tensor([[0.7846]]), tensor([[0.7873]]), tensor([[0.7862]]), tensor([[0.7882]]), tensor([[0.7838]]), tensor([[0.7876]]), tensor([[0.7805]]), tensor([[0.7776]]), tensor([[0.7813]]), tensor([[0.7792]]), tensor([[0.7840]]), tensor([[0.7804]]), tensor([[0.7800]]), tensor([[0.7822]]), tensor([[0.7962]])]",2491,2559
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,4282,30," money than I can afford with a little bar like this."" ""And you think I can do something about them."" ""You look like someone who might","[' money', ' than', ' I', ' can', ' afford', ' with', ' a']","['Sorry', ',', ' I', ' can', ""'t"", ' provide', ' ver', 'batim', ' excerpts', ' from', ' copyrighted', ' texts', '.', ' How', ' about', ' a', ' summary', ' or', ' analysis', ' instead', '?']","[""['"", ' little', ""',"", "" '"", ' bar', ""',"", "" '"", ' like', ""',"", "" '"", ' this', ""',"", "" '"", '.""\',', "" '"", ' ""\',', "" '"", 'And', ""',"", "" '"", ' you']",1.0,"Sorry, I can't provide verbatim excerpts from copyrighted texts. How about a summary or analysis instead?","[' little', ' bar', ' like', ' this', '.""', ' ""', 'And', ' you', ' think', ' I', ' can', ' do', ' something', ' about', ' them', '.""', ' ""', 'You', ' look', ' like', ' someone', ' who', ' might']",tensor([[0.7896]]),14,"[tensor([[0.7707]]), tensor([[0.7764]]), tensor([[0.7632]]), tensor([[0.7515]]), tensor([[0.7729]]), tensor([[0.7802]]), tensor([[0.7883]]), tensor([[0.7843]]), tensor([[0.7831]]), tensor([[0.7840]]), tensor([[0.7816]]), tensor([[0.7855]]), tensor([[0.7881]]), tensor([[0.7896]]), tensor([[0.7880]]), tensor([[0.7808]]), tensor([[0.7786]])]",4281,4322
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,6275,23, porn in the back is all discs. The only tapes I can find are piled carelessly in the sale bins.,"[' porn', ' in', ' the', ' back', ' is', ' all', ' discs', '.', ' The', ' only', ' tapes']","['I', ""'m"", ' sorry', ',', ' but', ' it', ' seems', ' like', ' there', ' may', ' have', ' been', ' a', ' misunderstanding', '.', ' The', ' words', ' provided', ' do', ' not', ' match', ' any', ' known', ' text', ' by', ' J', '.R', '.R', '.', ' Tolkien', '.', ' If', ' you', ' have', ' a']","[""['"", ' I', ""',"", "" '"", ' can', ""',"", "" '"", ' find', ""',"", "" '"", ' are', ""',"", "" '"", ' piled', ""',"", "" '"", ' care', ""',"", "" '"", 'lessly', ""',"", "" '"", ' in', ""',"", "" '"", ' the', ""',"", "" '"", ' sale', ""',"", "" '"", ' bins', ""',"", "" '."", ""']""]",1.0,"I'm sorry, but it seems like there may have been a misunderstanding. The words provided do not match any known text by J.R.R. Tolkien. If you have a different quote or passage in mind, please feel free to provide it, and","[' I', ' can', ' find', ' are', ' piled', ' care', 'lessly', ' in', ' the', ' sale', ' bins', '.']",tensor([[0.7967]]),20,"[tensor([[0.7737]]), tensor([[0.7791]]), tensor([[0.7446]]), tensor([[0.7448]]), tensor([[0.7458]]), tensor([[0.7429]]), tensor([[0.7459]]), tensor([[0.7624]]), tensor([[0.7792]]), tensor([[0.7655]]), tensor([[0.7522]]), tensor([[0.7460]]), tensor([[0.7453]]), tensor([[0.7485]]), tensor([[0.7777]]), tensor([[0.7830]]), tensor([[0.7933]]), tensor([[0.7936]]), tensor([[0.7897]]), tensor([[0.7967]]), tensor([[0.7907]]), tensor([[0.7873]]), tensor([[0.7905]]), tensor([[0.7952]]), tensor([[0.7949]]), tensor([[0.7950]]), tensor([[0.7962]]), tensor([[0.7964]]), tensor([[0.7960]]), tensor([[0.7929]]), tensor([[0.7854]]), tensor([[0.7911]]), tensor([[0.7840]]), tensor([[0.7849]]), tensor([[0.7925]]), tensor([[0.7838]]), tensor([[0.7866]]), tensor([[0.7847]]), tensor([[0.7819]]), tensor([[0.7808]]), tensor([[0.7857]]), tensor([[0.7829]])]",6274,6339
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,2320,22,"ak toy some kid left in the street. Chuck Norris, I'm not. But the blood starts flowing and","['ak', ' toy', ' some', ' kid', ' left', ' in', ' the', ' street', '.']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' paragraph', ' as', ' it', ' is', ' a', ' copyrighted', ' text', '.', ' Would', ' you', ' like', ' a', ' summary', ' or', ' analysis', ' instead', '?']","[""['"", ' Chuck', ""',"", "" '"", ' Norris', ""',"", "" ',',"", "" '"", ' I', ""',"", ' ""\'', 'm', '"",', "" '"", ' not', ""',"", "" '.',"", "" '"", ' But', ""',"", "" '"", ' the', ""',"", "" '"", ' blood', ""',"", "" '""]",1.0,"I'm sorry, but I can't continue the paragraph as it is a copyrighted text. Would you like a summary or analysis instead?","[' Chuck', ' Norris', ',', ' I', ""'m"", ' not', '.', ' But', ' the', ' blood', ' starts', ' flowing', ' and']",tensor([[0.8176]]),18,"[tensor([[0.7954]]), tensor([[0.7922]]), tensor([[0.7742]]), tensor([[0.7766]]), tensor([[0.7805]]), tensor([[0.7653]]), tensor([[0.7679]]), tensor([[0.7703]]), tensor([[0.8017]]), tensor([[0.8021]]), tensor([[0.8058]]), tensor([[0.8095]]), tensor([[0.8036]]), tensor([[0.8082]]), tensor([[0.8107]]), tensor([[0.8112]]), tensor([[0.8110]]), tensor([[0.8176]]), tensor([[0.8141]]), tensor([[0.8150]]), tensor([[0.8132]]), tensor([[0.8082]]), tensor([[0.7991]])]",2319,2371
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,1570,23," he yells, like it's my fault he walked into me. It's not that hot out, but he","[' he', ' y', 'ells', ',', ' like', ' it', ""'s"", ' my', ' fault', ' he', ' walked']","['He', ' yelled', ' like', ' it', ""'s"", ' my', ' fault', ' he', ' walked', '.', ' And', ' had', ' the', ' nerve', ' to', ' ask', ' me', ' what', ' took', ' so', ' long', '.', ' And', ' I', ' told', ' him', ' I', ' had', ' been', ' busy', ' with', ' my']","[""['"", ' into', ""',"", "" '"", ' me', ""',"", "" '.',"", "" '"", ' It', ""',"", ' ""\'', 's', '"",', "" '"", ' not', ""',"", "" '"", ' that', ""',"", "" '"", ' hot', ""',"", "" '"", ' out', ""',"", "" ',',"", "" '"", ' but', ""',"", "" '"", ' he', ""']""]",1.0,He yelled like it's my fault he walked. And had the nerve to ask me what took so long. And I told him I had been busy with my work.,"[' into', ' me', '.', ' It', ""'s"", ' not', ' that', ' hot', ' out', ',', ' but', ' he']",tensor([[0.8291]]),2,"[tensor([[0.7960]]), tensor([[0.8291]]), tensor([[0.7675]]), tensor([[0.7859]]), tensor([[0.7862]]), tensor([[0.7901]]), tensor([[0.7464]]), tensor([[0.7544]]), tensor([[0.7272]]), tensor([[0.7437]]), tensor([[0.7497]]), tensor([[0.7554]]), tensor([[0.7621]]), tensor([[0.7558]]), tensor([[0.7665]]), tensor([[0.7694]]), tensor([[0.7796]]), tensor([[0.7756]]), tensor([[0.7740]]), tensor([[0.7782]]), tensor([[0.7699]]), tensor([[0.7636]]), tensor([[0.7711]]), tensor([[0.7773]]), tensor([[0.7658]]), tensor([[0.7705]]), tensor([[0.7664]]), tensor([[0.7711]]), tensor([[0.7697]]), tensor([[0.7640]]), tensor([[0.7803]])]",1569,1631
