,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
0,gpt-3.5-turbo,New Living Translation Bible,321,32,"13 And evening passed and morning came, marking the third day.
14 Then God said, “Let lights appear in the sky to separate the day from the night","['13', ' And', ' evening', ' passed', ' and', ' morning', ' came', ',', ' marking', ' the', ' third', ' day', '.\n', '14', ' Then', ' God']","['said', ',', ' ""', 'Let', ' there', ' be', ' lights', ' in', ' the', ' sky', ' to', ' separate', ' the', ' day', ' from', ' the']","[' said', ',', ' “', 'Let', ' lights', ' appear', ' in', ' the', ' sky', ' to', ' separate', ' the', ' day', ' from', ' the', ' night']",0.375,"said, ""Let there be lights in the sky to separate the day from the night. Let them be signs to mark the seasons, days, and years.
15 Let these lights in the sky shine down on the earth."" And that is what happened"," said, “Let lights appear in the sky to separate the day from the night",tensor([[0.9814]]),19,"[tensor([[0.7448]]), tensor([[0.8057]]), tensor([[0.8178]]), tensor([[0.8112]]), tensor([[0.8151]]), tensor([[0.8898]]), tensor([[0.8764]]), tensor([[0.8850]]), tensor([[0.9222]]), tensor([[0.9242]]), tensor([[0.9541]]), tensor([[0.9520]]), tensor([[0.9737]]), tensor([[0.9753]]), tensor([[0.9714]]), tensor([[0.9722]]), tensor([[0.9805]]), tensor([[0.9811]]), tensor([[0.9814]]), tensor([[0.9678]]), tensor([[0.9691]]), tensor([[0.9666]]), tensor([[0.9659]]), tensor([[0.9527]]), tensor([[0.9576]]), tensor([[0.9643]]), tensor([[0.9525]]), tensor([[0.9539]]), tensor([[0.9537]]), tensor([[0.9534]]), tensor([[0.9514]]), tensor([[0.9521]]), tensor([[0.9506]]), tensor([[0.9460]]), tensor([[0.9428]]), tensor([[0.9419]]), tensor([[0.9417]]), tensor([[0.9272]]), tensor([[0.9354]]), tensor([[0.9362]]), tensor([[0.9341]]), tensor([[0.9331]]), tensor([[0.9141]])]",320,351
3,gpt-3.5-turbo,New Living Translation Bible,189,29," sky flow together into one place, so dry ground may appear.” And that is what happened.
10 God called the dry ground “land” and","[' sky', ' flow', ' together', ' into', ' one', ' place']","['The', ' earth', ' was', ' formed', ' and', ' the', ' sky', ' came', ' into', ' existence', ' as', ' God', ' called', ' them', ' into', ' being', '.', ' The', ' magnificent', ' display', ' of', ' his', ' creative']","[',', ' so', ' dry', ' ground', ' may', ' appear', '.”', ' And', ' that', ' is', ' what', ' happened', '.\n', '10', ' God', ' called', ' the', ' dry', ' ground', ' “', 'land', '”', ' and']",1.0,"The earth was formed and the sky came into existence as God called them into being. The magnificent display of his creative power was evident as he commanded the waters to gather together, forming seas, rivers, and lakes. At his voice, the vast ex",", so dry ground may appear.” And that is what happened.
10 God called the dry ground “land” and",tensor([[0.8822]]),18,"[tensor([[0.7575]]), tensor([[0.7913]]), tensor([[0.8105]]), tensor([[0.8241]]), tensor([[0.8369]]), tensor([[0.8509]]), tensor([[0.8544]]), tensor([[0.8467]]), tensor([[0.8490]]), tensor([[0.8490]]), tensor([[0.8463]]), tensor([[0.8589]]), tensor([[0.8542]]), tensor([[0.8757]]), tensor([[0.8750]]), tensor([[0.8705]]), tensor([[0.8668]]), tensor([[0.8822]]), tensor([[0.8734]]), tensor([[0.8658]]), tensor([[0.8776]]), tensor([[0.8771]]), tensor([[0.8659]]), tensor([[0.8635]]), tensor([[0.8650]]), tensor([[0.8641]]), tensor([[0.8677]]), tensor([[0.8711]]), tensor([[0.8648]]), tensor([[0.8685]]), tensor([[0.8639]]), tensor([[0.8673]]), tensor([[0.8673]]), tensor([[0.8671]]), tensor([[0.8681]]), tensor([[0.8670]]), tensor([[0.8683]]), tensor([[0.8685]]), tensor([[0.8695]]), tensor([[0.8697]]), tensor([[0.8705]]), tensor([[0.8669]]), tensor([[0.8672]]), tensor([[0.8677]]), tensor([[0.8685]])]",188,216
6,gpt-3.5-turbo,New Living Translation Bible,104,32,"6 Then God said, “Let there be a space between the waters, to separate the waters of the heavens from the waters of the earth.”
7 And that","['6', ' Then', ' God', ' said', ',', ' “', 'Let']","['there', ' be', ' a', ' space', ' between', ' the', ' waters', ',', ' to', ' separate', ' the', ' waters', ' of', ' the', ' heavens', ' from', ' the', ' waters', ' of', ' the', ' earth', '.”', ' ', '7', ' And']","[' there', ' be', ' a', ' space', ' between', ' the', ' waters', ',', ' to', ' separate', ' the', ' waters', ' of', ' the', ' heavens', ' from', ' the', ' waters', ' of', ' the', ' earth', '.”\n', '7', ' And', ' that']",0.16,"there be a space between the waters, to separate the waters of the heavens from the waters of the earth.” 7 And that is what happened. God made this space to separate the waters of the earth from the waters of the heavens. 8"," there be a space between the waters, to separate the waters of the heavens from the waters of the earth.”
7 And that",tensor([[1.]]),24,"[tensor([[0.7624]]), tensor([[0.8040]]), tensor([[0.8113]]), tensor([[0.8231]]), tensor([[0.8502]]), tensor([[0.8805]]), tensor([[0.8840]]), tensor([[0.9052]]), tensor([[0.9172]]), tensor([[0.9316]]), tensor([[0.9338]]), tensor([[0.9369]]), tensor([[0.9419]]), tensor([[0.9447]]), tensor([[0.9732]]), tensor([[0.9722]]), tensor([[0.9757]]), tensor([[0.9735]]), tensor([[0.9769]]), tensor([[0.9790]]), tensor([[0.9816]]), tensor([[0.9965]]), tensor([[0.9975]]), tensor([[1.]]), tensor([[0.9985]]), tensor([[0.9981]]), tensor([[0.9843]]), tensor([[0.9843]]), tensor([[0.9767]]), tensor([[0.9718]]), tensor([[0.9708]]), tensor([[0.9745]]), tensor([[0.9699]]), tensor([[0.9735]]), tensor([[0.9704]]), tensor([[0.9723]]), tensor([[0.9742]]), tensor([[0.9705]]), tensor([[0.9706]]), tensor([[0.9728]]), tensor([[0.9707]]), tensor([[0.9722]]), tensor([[0.9736]]), tensor([[0.9648]]), tensor([[0.9725]])]",103,134
9,gpt-3.5-turbo,New Living Translation Bible,20,33," empty, and darkness covered the deep waters. And the Spirit of God was hovering over the surface of the waters.
3 Then God said, “Let there be light","[' empty', ',', ' and', ' darkness', ' covered', ' the', ' deep', ' waters', '.', ' And', ' the', ' Spirit', ' of']","['God', ' was', ' hovering', ' over', ' the', ' surface', ' of', ' the', ' waters', '.']","[' God', ' was', ' hovering', ' over', ' the', ' surface', ' of', ' the', ' waters', '.\n']",0.2,God was hovering over the surface of the waters.," God was hovering over the surface of the waters.
3 Then God said, “Let there be light",tensor([[0.9125]]),7,"[tensor([[0.7227]]), tensor([[0.8102]]), tensor([[0.8264]]), tensor([[0.8834]]), tensor([[0.8876]]), tensor([[0.8970]]), tensor([[0.9125]]), tensor([[0.9104]]), tensor([[0.9111]]), tensor([[0.9098]])]",19,41
12,gpt-3.5-turbo,New Living Translation Bible,591,22," every sort of animal, each producing offspring of the same kind—livestock, small animals that scurry","[' every', ' sort', ' of', ' animal', ',', ' each', ' producing', ' offspring', ' of', ' the']","['same', ' kind', '.', ' And', ' God', ' saw', ' that', ' it', ' was', ' good', '.']","[' same', ' kind', '—', 'liv', 'est', 'ock', ',', ' small', ' animals', ' that', ' sc']",0.9090909090909092,same kind. And God saw that it was good.," same kind—livestock, small animals that scurry",tensor([[0.8702]]),4,"[tensor([[0.7788]]), tensor([[0.8060]]), tensor([[0.8674]]), tensor([[0.8702]]), tensor([[0.8631]]), tensor([[0.8530]]), tensor([[0.8372]]), tensor([[0.8372]]), tensor([[0.8303]]), tensor([[0.8128]])]",590,610
15,gpt-3.5-turbo,New Living Translation Bible,193,31," one place, so dry ground may appear.” And that is what happened.
10 God called the dry ground “land” and the waters “seas.”","[' one', ' place', ',', ' so', ' dry', ' ground', ' may', ' appear', '.”', ' And', ' that', ' is', ' what', ' happened']","['when', ' Moses', ' stretched', ' out', ' his', ' hand', ' over', ' the', ' sea', '.', ' The', ' Lord', ' caused', ' a', ' strong', ' east', ' wind']","['.\n', '10', ' God', ' called', ' the', ' dry', ' ground', ' “', 'land', '”', ' and', ' the', ' waters', ' “', 'se', 'as', '.”']",1.0,"when Moses stretched out his hand over the sea. The Lord caused a strong east wind to blow all night, turning the sea into dry land. The Israelites walked through the middle of the sea on dry ground, with walls of water on each side",".
10 God called the dry ground “land” and the waters “seas.”",tensor([[0.8779]]),39,"[tensor([[0.7547]]), tensor([[0.7593]]), tensor([[0.7907]]), tensor([[0.7778]]), tensor([[0.7752]]), tensor([[0.7868]]), tensor([[0.7880]]), tensor([[0.7872]]), tensor([[0.7969]]), tensor([[0.8415]]), tensor([[0.8383]]), tensor([[0.8545]]), tensor([[0.8555]]), tensor([[0.8490]]), tensor([[0.8510]]), tensor([[0.8522]]), tensor([[0.8577]]), tensor([[0.8544]]), tensor([[0.8588]]), tensor([[0.8559]]), tensor([[0.8551]]), tensor([[0.8476]]), tensor([[0.8422]]), tensor([[0.8503]]), tensor([[0.8491]]), tensor([[0.8609]]), tensor([[0.8765]]), tensor([[0.8614]]), tensor([[0.8670]]), tensor([[0.8622]]), tensor([[0.8613]]), tensor([[0.8586]]), tensor([[0.8617]]), tensor([[0.8599]]), tensor([[0.8580]]), tensor([[0.8606]]), tensor([[0.8587]]), tensor([[0.8630]]), tensor([[0.8779]]), tensor([[0.8646]]), tensor([[0.8650]]), tensor([[0.8629]]), tensor([[0.8661]]), tensor([[0.8657]]), tensor([[0.8658]]), tensor([[0.8659]])]",192,222
18,gpt-3.5-turbo,New Living Translation Bible,270,28," and trees from which they came.” And that is what happened.
12 The land produced vegetation—all sorts of seed-bearing plants, and trees with","[' and', ' trees', ' from', ' which', ' they', ' came', '.”', ' And', ' that', ' is', ' what', ' happened']","['on', ' the', ' third', ' day', ' of', ' creation', ' in', ' Genesis', ' ', '1', ':', '12', '.', ' God', ' spoke', ' the']","['.\n', '12', ' The', ' land', ' produced', ' vegetation', '—all', ' sorts', ' of', ' seed', '-bearing', ' plants', ',', ' and', ' trees', ' with']",1.0,"on the third day of creation in Genesis 1:12. God spoke the words, and instantly, the earth was adorned with a magnificent array of vegetation and lush greenery. From the tallest oak tree to the smallest blade of grass, every plant",".
12 The land produced vegetation—all sorts of seed-bearing plants, and trees with",tensor([[0.8480]]),26,"[tensor([[0.7503]]), tensor([[0.7678]]), tensor([[0.7715]]), tensor([[0.7409]]), tensor([[0.7465]]), tensor([[0.7557]]), tensor([[0.7803]]), tensor([[0.7815]]), tensor([[0.7749]]), tensor([[0.7887]]), tensor([[0.7884]]), tensor([[0.7892]]), tensor([[0.7897]]), tensor([[0.7941]]), tensor([[0.7896]]), tensor([[0.7934]]), tensor([[0.7920]]), tensor([[0.8051]]), tensor([[0.8026]]), tensor([[0.8017]]), tensor([[0.8025]]), tensor([[0.8009]]), tensor([[0.8024]]), tensor([[0.7998]]), tensor([[0.8033]]), tensor([[0.8480]]), tensor([[0.8414]]), tensor([[0.8364]]), tensor([[0.8329]]), tensor([[0.8328]]), tensor([[0.8308]]), tensor([[0.8223]]), tensor([[0.8190]]), tensor([[0.8194]]), tensor([[0.8206]]), tensor([[0.8201]]), tensor([[0.8258]]), tensor([[0.8193]]), tensor([[0.8169]]), tensor([[0.8262]]), tensor([[0.8263]]), tensor([[0.8315]])]",269,296
21,gpt-3.5-turbo,New Living Translation Bible,24,24," covered the deep waters. And the Spirit of God was hovering over the surface of the waters.
3 Then God said,","[' covered', ' the', ' deep', ' waters', '.', ' And', ' the', ' Spirit', ' of', ' God', ' was', ' hovering']","['over', ' the', ' surface', ' of', ' the', ' waters', '.']","[' over', ' the', ' surface', ' of', ' the', ' waters', '.\n']",0.2857142857142857,over the surface of the waters.," over the surface of the waters.
3 Then God said,",tensor([[0.9182]]),7,"[tensor([[0.7362]]), tensor([[0.8334]]), tensor([[0.8528]]), tensor([[0.8894]]), tensor([[0.8910]]), tensor([[0.8917]]), tensor([[0.9182]])]",23,41
24,gpt-3.5-turbo,New Living Translation Bible,787,22," along the ground.”
29 Then God said, “Look! I have given you every seed-bearing plant throughout the","[' along', ' the', ' ground', '.”\n', '29', ' Then', ' God', ' said', ',', ' “', 'Look']","['!', ' I', ' have', ' given', ' you', ' every', ' seed', '-bearing', ' plant', ' throughout', ' the']","['!', ' I', ' have', ' given', ' you', ' every', ' seed', '-bearing', ' plant', ' throughout', ' the']",0.0,"! I have given you every seed-bearing plant throughout the earth and all the fruit trees for your food. 30 And I have given every green plant as food for all the wild animals, the birds in the sky, and the small animals that sc",! I have given you every seed-bearing plant throughout the,tensor([[1.]]),11,"[tensor([[0.7526]]), tensor([[0.7909]]), tensor([[0.8093]]), tensor([[0.8308]]), tensor([[0.8651]]), tensor([[0.8641]]), tensor([[0.9123]]), tensor([[0.9759]]), tensor([[0.9891]]), tensor([[0.9960]]), tensor([[1.]]), tensor([[0.9788]]), tensor([[0.9832]]), tensor([[0.9805]]), tensor([[0.9835]]), tensor([[0.9725]]), tensor([[0.9704]]), tensor([[0.9718]]), tensor([[0.9718]]), tensor([[0.9557]]), tensor([[0.9426]]), tensor([[0.9525]]), tensor([[0.9440]]), tensor([[0.9479]]), tensor([[0.9496]]), tensor([[0.9518]]), tensor([[0.9438]]), tensor([[0.9426]]), tensor([[0.9475]]), tensor([[0.9376]]), tensor([[0.9376]]), tensor([[0.9386]]), tensor([[0.9441]]), tensor([[0.9355]]), tensor([[0.9333]]), tensor([[0.9403]]), tensor([[0.9349]]), tensor([[0.9368]]), tensor([[0.9370]]), tensor([[0.9276]]), tensor([[0.9336]]), tensor([[0.9338]]), tensor([[0.9319]]), tensor([[0.9300]]), tensor([[0.9322]]), tensor([[0.9319]])]",786,807
27,gpt-3.5-turbo,New Living Translation Bible,187,34," beneath the sky flow together into one place, so dry ground may appear.” And that is what happened.
10 God called the dry ground “land” and the waters “","[' beneath', ' the', ' sky', ' flow', ' together', ' into', ' one', ' place', ',', ' so', ' dry', ' ground']","['appe', 'ars', '.', ' And', ' that', ' is', ' what', ' happened', '.""']","[' may', ' appear', '.”', ' And', ' that', ' is', ' what', ' happened', '.\n']",0.4444444444444444,"appears. And that is what happened."""," may appear.” And that is what happened.
10 God called the dry ground “land” and the waters “",tensor([[0.8549]]),7,"[tensor([[0.7615]]), tensor([[0.8363]]), tensor([[0.8416]]), tensor([[0.8441]]), tensor([[0.8423]]), tensor([[0.8464]]), tensor([[0.8549]])]",186,206
