model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Bright Lights Big Christmas by Mary Kay Andrews,1312,39,", with the wind whipping down from those apartment buildings. Call me when you’re an hour out from the city and I’ll put out the traffic cones to block off our parking spot.” Murphy climbed","[',', ' with', ' the', ' wind', ' whipping', ' down', ' from', ' those', ' apartment', ' buildings', '.']","['We', ' had', ' been', ' racing', ' against', ' the', ' clock', ' all', ' day', ',', ' trying', ' to', ' finish', ' hanging', ' Christmas', ' lights', ' on', ' every', ' available', ' surface', ' of', ' the', ' brown', 'stone', '.', ' As', ' the', ' sun']","[' Call', ' me', ' when', ' you', '’re', ' an', ' hour', ' out', ' from', ' the', ' city', ' and', ' I', '’ll', ' put', ' out', ' the', ' traffic', ' cones', ' to', ' block', ' off', ' our', ' parking', ' spot', '.”', ' Murphy', ' climbed']",1.0,"We had been racing against the clock all day, trying to finish hanging Christmas lights on every available surface of the brownstone. As the sun began to set, the lights began to twinkle against the backdrop of the New York City skyline. The bitter", Call me when you’re an hour out from the city and I’ll put out the traffic cones to block off our parking spot.” Murphy climbed,tensor([[0.8190]]),24,"[tensor([[0.7397]]), tensor([[0.7465]]), tensor([[0.7552]]), tensor([[0.7314]]), tensor([[0.7669]]), tensor([[0.7768]]), tensor([[0.7817]]), tensor([[0.7823]]), tensor([[0.7775]]), tensor([[0.7794]]), tensor([[0.7830]]), tensor([[0.7910]]), tensor([[0.7789]]), tensor([[0.7828]]), tensor([[0.7817]]), tensor([[0.8010]]), tensor([[0.8020]]), tensor([[0.8028]]), tensor([[0.8009]]), tensor([[0.8058]]), tensor([[0.8063]]), tensor([[0.8080]]), tensor([[0.8024]]), tensor([[0.8190]]), tensor([[0.8184]]), tensor([[0.8135]]), tensor([[0.8133]]), tensor([[0.8137]]), tensor([[0.8066]]), tensor([[0.8143]]), tensor([[0.8102]]), tensor([[0.8083]]), tensor([[0.8100]]), tensor([[0.8010]]), tensor([[0.8043]]), tensor([[0.8096]]), tensor([[0.8015]]), tensor([[0.8069]]), tensor([[0.8075]]), tensor([[0.8046]]), tensor([[0.8057]]), tensor([[0.8097]]), tensor([[0.8104]]), tensor([[0.8178]]), tensor([[0.8131]])]",1311,1349
gpt-4-1106-preview,Bright Lights Big Christmas by Mary Kay Andrews,1312,39,", with the wind whipping down from those apartment buildings. Call me when you’re an hour out from the city and I’ll put out the traffic cones to block off our parking spot.” Murphy climbed","[',', ' with', ' the', ' wind', ' whipping', ' down', ' from', ' those', ' apartment', ' buildings', '.']","['Sorry', ',', ' I', ' can', '’t', ' continue', ' the', ' text', ' from', ' the', ' book', ' ""', 'Bright', ' Lights', ',', ' Big', ' Christmas', '""', ' by', ' Mary', ' Kay', ' Andrews', ' as', ' it', ' is', ' protected', ' by', ' copyright']","[' Call', ' me', ' when', ' you', '’re', ' an', ' hour', ' out', ' from', ' the', ' city', ' and', ' I', '’ll', ' put', ' out', ' the', ' traffic', ' cones', ' to', ' block', ' off', ' our', ' parking', ' spot', '.”', ' Murphy', ' climbed']",0.9285714285714286,"Sorry, I can’t continue the text from the book ""Bright Lights, Big Christmas"" by Mary Kay Andrews as it is protected by copyright. However, I can provide a summary or discuss the themes, characters, and plot of the book if you", Call me when you’re an hour out from the city and I’ll put out the traffic cones to block off our parking spot.” Murphy climbed,tensor([[0.7841]]),9,"[tensor([[0.7397]]), tensor([[0.7380]]), tensor([[0.7391]]), tensor([[0.7510]]), tensor([[0.7673]]), tensor([[0.7760]]), tensor([[0.7748]]), tensor([[0.7814]]), tensor([[0.7841]]), tensor([[0.7603]]), tensor([[0.7500]]), tensor([[0.7686]]), tensor([[0.7623]]), tensor([[0.7629]]), tensor([[0.7617]]), tensor([[0.7578]]), tensor([[0.7640]]), tensor([[0.7538]]), tensor([[0.7510]]), tensor([[0.7529]]), tensor([[0.7512]]), tensor([[0.7586]]), tensor([[0.7619]]), tensor([[0.7461]]), tensor([[0.7437]]), tensor([[0.7421]]), tensor([[0.7447]]), tensor([[0.7516]]), tensor([[0.7424]]), tensor([[0.7478]]), tensor([[0.7429]]), tensor([[0.7484]]), tensor([[0.7376]]), tensor([[0.7332]]), tensor([[0.7267]]), tensor([[0.7227]]), tensor([[0.7262]]), tensor([[0.7192]]), tensor([[0.7198]]), tensor([[0.7245]]), tensor([[0.7165]]), tensor([[0.7241]])]",1311,1349
gpt-4,Bright Lights Big Christmas by Mary Kay Andrews,1312,39,", with the wind whipping down from those apartment buildings. Call me when you’re an hour out from the city and I’ll put out the traffic cones to block off our parking spot.” Murphy climbed","[',', ' with', ' the', ' wind', ' whipping', ' down', ' from', ' those', ' apartment', ' buildings', '.']","['The', ' city', ' seemed', ' to', ' v', 'ibrate', ' with', ' holiday', ' spirit', ' which', ' was', ' multiplied', ' ten', 'fold', ' in', ' the', ' chilly', ' air', '.', ' Mult', 'icol', 'ored', ' twink', 'ling', ' lights', ' draped', ' on', ' every']","[' Call', ' me', ' when', ' you', '’re', ' an', ' hour', ' out', ' from', ' the', ' city', ' and', ' I', '’ll', ' put', ' out', ' the', ' traffic', ' cones', ' to', ' block', ' off', ' our', ' parking', ' spot', '.”', ' Murphy', ' climbed']",1.0,"The city seemed to vibrate with holiday spirit which was multiplied tenfold in the chilly air. Multicolored twinkling lights draped on every window sill, the joyous notes of Christmas carols echoing down the street, and the rich aroma of roasted", Call me when you’re an hour out from the city and I’ll put out the traffic cones to block off our parking spot.” Murphy climbed,tensor([[0.7881]]),5,"[tensor([[0.7397]]), tensor([[0.7655]]), tensor([[0.7755]]), tensor([[0.7626]]), tensor([[0.7881]]), tensor([[0.7789]]), tensor([[0.7852]]), tensor([[0.7638]]), tensor([[0.7615]]), tensor([[0.7651]]), tensor([[0.7652]]), tensor([[0.7666]]), tensor([[0.7684]]), tensor([[0.7687]]), tensor([[0.7696]]), tensor([[0.7593]]), tensor([[0.7461]]), tensor([[0.7647]]), tensor([[0.7676]]), tensor([[0.7722]]), tensor([[0.7662]]), tensor([[0.7664]]), tensor([[0.7675]]), tensor([[0.7682]]), tensor([[0.7625]]), tensor([[0.7683]]), tensor([[0.7620]]), tensor([[0.7574]]), tensor([[0.7585]]), tensor([[0.7551]]), tensor([[0.7614]]), tensor([[0.7584]]), tensor([[0.7591]]), tensor([[0.7576]]), tensor([[0.7580]]), tensor([[0.7627]]), tensor([[0.7642]]), tensor([[0.7599]]), tensor([[0.7590]]), tensor([[0.7595]]), tensor([[0.7585]])]",1311,1349
gpt-3.5-turbo,Bright Lights Big Christmas by Mary Kay Andrews,553,40,". Like the pickup, the trailer had seen better days. The teardrop-shaped body with faded two-tone turquoise-and-white paint looked like a discarded canned ham. Spammy, as the Tollivers","['.', ' Like', ' the', ' pickup', ',']","['the', ' houses', ' along', ' Main', ' Street', ' were', ' all', ' deck', 'ed', ' out', ' in', ' Christmas', ' lights', ' and', ' decorations', ',', ' casting', ' a', ' warm', ' and', ' inviting', ' glow', '.', ' The', ' scent', ' of', ' freshly', ' baked', ' cookies', ' wa', 'ft', 'ed', ' through', ' the', ' air']","[' the', ' trailer', ' had', ' seen', ' better', ' days', '.', ' The', ' te', 'ard', 'rop', '-shaped', ' body', ' with', ' faded', ' two', '-tone', ' turquoise', '-and', '-white', ' paint', ' looked', ' like', ' a', ' discarded', ' canned', ' ham', '.', ' Spam', 'my', ',', ' as', ' the', ' Toll', 'ivers']",1.0,"the houses along Main Street were all decked out in Christmas lights and decorations, casting a warm and inviting glow. The scent of freshly baked cookies wafted through the air, making it impossible to resist the holiday spirit. The town square was bustling"," the trailer had seen better days. The teardrop-shaped body with faded two-tone turquoise-and-white paint looked like a discarded canned ham. Spammy, as the Tollivers",tensor([[0.7815]]),2,"[tensor([[0.7685]]), tensor([[0.7815]]), tensor([[0.7661]]), tensor([[0.7574]]), tensor([[0.7435]]), tensor([[0.7396]]), tensor([[0.7443]]), tensor([[0.7356]]), tensor([[0.7459]]), tensor([[0.7490]]), tensor([[0.7494]]), tensor([[0.7408]]), tensor([[0.7375]]), tensor([[0.7445]]), tensor([[0.7321]]), tensor([[0.7632]]), tensor([[0.7559]]), tensor([[0.7527]]), tensor([[0.7557]]), tensor([[0.7491]]), tensor([[0.7457]]), tensor([[0.7631]]), tensor([[0.7727]]), tensor([[0.7734]]), tensor([[0.7729]]), tensor([[0.7671]]), tensor([[0.7712]]), tensor([[0.7701]]), tensor([[0.7680]]), tensor([[0.7685]]), tensor([[0.7631]]), tensor([[0.7683]]), tensor([[0.7690]]), tensor([[0.7727]]), tensor([[0.7712]]), tensor([[0.7670]]), tensor([[0.7680]]), tensor([[0.7662]]), tensor([[0.7627]]), tensor([[0.7715]]), tensor([[0.7644]]), tensor([[0.7618]]), tensor([[0.7643]]), tensor([[0.7600]])]",552,591
gpt-4-1106-preview,Bright Lights Big Christmas by Mary Kay Andrews,553,40,". Like the pickup, the trailer had seen better days. The teardrop-shaped body with faded two-tone turquoise-and-white paint looked like a discarded canned ham. Spammy, as the Tollivers","['.', ' Like', ' the', ' pickup', ',']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' ""', 'Bright', ' Lights', ' Big', ' Christmas', '""', ' by', ' Mary', ' Kay', ' Andrews', ' as', ' it', ' is', ' copyrighted', ' material', '.', ' However', ',', ' I', ' can', ' provide', ' a', ' summary', ' or', ' discuss']","[' the', ' trailer', ' had', ' seen', ' better', ' days', '.', ' The', ' te', 'ard', 'rop', '-shaped', ' body', ' with', ' faded', ' two', '-tone', ' turquoise', '-and', '-white', ' paint', ' looked', ' like', ' a', ' discarded', ' canned', ' ham', '.', ' Spam', 'my', ',', ' as', ' the', ' Toll', 'ivers']",1.0,"Sorry, but I can't continue the text from ""Bright Lights Big Christmas"" by Mary Kay Andrews as it is copyrighted material. However, I can provide a summary or discuss the themes, characters, and plot of the book if you're interested."," the trailer had seen better days. The teardrop-shaped body with faded two-tone turquoise-and-white paint looked like a discarded canned ham. Spammy, as the Tollivers",tensor([[0.7722]]),3,"[tensor([[0.7685]]), tensor([[0.7711]]), tensor([[0.7722]]), tensor([[0.7630]]), tensor([[0.7485]]), tensor([[0.7459]]), tensor([[0.7477]]), tensor([[0.7600]]), tensor([[0.7682]]), tensor([[0.7470]]), tensor([[0.7432]]), tensor([[0.7479]]), tensor([[0.7519]]), tensor([[0.7555]]), tensor([[0.7566]]), tensor([[0.7599]]), tensor([[0.7532]]), tensor([[0.7493]]), tensor([[0.7488]]), tensor([[0.7525]]), tensor([[0.7419]]), tensor([[0.7513]]), tensor([[0.7521]]), tensor([[0.7410]]), tensor([[0.7465]]), tensor([[0.7530]]), tensor([[0.7458]]), tensor([[0.7602]]), tensor([[0.7608]]), tensor([[0.7611]]), tensor([[0.7549]]), tensor([[0.7528]]), tensor([[0.7509]]), tensor([[0.7475]]), tensor([[0.7476]]), tensor([[0.7433]]), tensor([[0.7434]]), tensor([[0.7450]]), tensor([[0.7391]]), tensor([[0.7389]]), tensor([[0.7442]])]",552,591
gpt-4,Bright Lights Big Christmas by Mary Kay Andrews,553,40,". Like the pickup, the trailer had seen better days. The teardrop-shaped body with faded two-tone turquoise-and-white paint looked like a discarded canned ham. Spammy, as the Tollivers","['.', ' Like', ' the', ' pickup', ',']","['the', ' town', ' was', ' dressed', ' in', ' the', ' spirit', ' of', ' Christmas', '.', ' Strings', ' of', ' twink', 'ling', ' lights', ' draped', ' across', ' Main', ' Street', ' casting', ' a', ' warm', ' festive', ' glow', ',', ' beck', 'oning', ' everyone', ' to', ' part', 'ake', ' in', ' the', ' holiday', ' cheer']","[' the', ' trailer', ' had', ' seen', ' better', ' days', '.', ' The', ' te', 'ard', 'rop', '-shaped', ' body', ' with', ' faded', ' two', '-tone', ' turquoise', '-and', '-white', ' paint', ' looked', ' like', ' a', ' discarded', ' canned', ' ham', '.', ' Spam', 'my', ',', ' as', ' the', ' Toll', 'ivers']",0.9714285714285714,"the town was dressed in the spirit of Christmas. Strings of twinkling lights draped across Main Street casting a warm festive glow, beckoning everyone to partake in the holiday cheer. A tall Christmas tree stood majict in the center of the town square"," the trailer had seen better days. The teardrop-shaped body with faded two-tone turquoise-and-white paint looked like a discarded canned ham. Spammy, as the Tollivers",tensor([[0.7815]]),2,"[tensor([[0.7685]]), tensor([[0.7815]]), tensor([[0.7479]]), tensor([[0.7638]]), tensor([[0.7463]]), tensor([[0.7469]]), tensor([[0.7517]]), tensor([[0.7574]]), tensor([[0.7566]]), tensor([[0.7392]]), tensor([[0.7642]]), tensor([[0.7667]]), tensor([[0.7775]]), tensor([[0.7722]]), tensor([[0.7680]]), tensor([[0.7656]]), tensor([[0.7657]]), tensor([[0.7681]]), tensor([[0.7810]]), tensor([[0.7695]]), tensor([[0.7684]]), tensor([[0.7672]]), tensor([[0.7664]]), tensor([[0.7722]]), tensor([[0.7679]]), tensor([[0.7689]]), tensor([[0.7668]]), tensor([[0.7673]]), tensor([[0.7643]]), tensor([[0.7683]]), tensor([[0.7581]]), tensor([[0.7650]]), tensor([[0.7707]]), tensor([[0.7654]]), tensor([[0.7658]]), tensor([[0.7660]]), tensor([[0.7683]]), tensor([[0.7676]]), tensor([[0.7697]]), tensor([[0.7637]]), tensor([[0.7681]]), tensor([[0.7669]]), tensor([[0.7649]]), tensor([[0.7614]])]",552,591
gpt-3.5-turbo,Bright Lights Big Christmas by Mary Kay Andrews,707,31," the trailer and peering in through the door, which was draped with spiderwebs. “Have a little respect,” Birdie said, patting the trailer","[' the', ' trailer', ' and', ' pe', 'ering']","['inside', ',', ' she', ' couldn', ""'t"", ' help', ' but', ' feel', ' a', ' surge', ' of', ' excitement', '.', ' The', ' cramped', ' space', ' was', ' adorned', ' with', ' twink', 'ling', ' Christmas', ' lights', ' and', ' festive', ' decorations']","[' in', ' through', ' the', ' door', ',', ' which', ' was', ' draped', ' with', ' spider', 'webs', '.', ' “', 'Have', ' a', ' little', ' respect', ',”', ' Bird', 'ie', ' said', ',', ' pat', 'ting', ' the', ' trailer']",1.0,"inside, she couldn't help but feel a surge of excitement. The cramped space was adorned with twinkling Christmas lights and festive decorations, transforming it into a cozy winter wonderland. A small Christmas tree sat in the corner, its branches adorned with colorful"," in through the door, which was draped with spiderwebs. “Have a little respect,” Birdie said, patting the trailer",tensor([[0.8009]]),8,"[tensor([[0.7682]]), tensor([[0.7853]]), tensor([[0.7867]]), tensor([[0.7597]]), tensor([[0.7765]]), tensor([[0.7941]]), tensor([[0.7974]]), tensor([[0.8009]]), tensor([[0.7851]]), tensor([[0.7897]]), tensor([[0.7842]]), tensor([[0.7944]]), tensor([[0.7949]]), tensor([[0.7892]]), tensor([[0.7845]]), tensor([[0.7875]]), tensor([[0.7879]]), tensor([[0.7889]]), tensor([[0.7783]]), tensor([[0.7754]]), tensor([[0.7722]]), tensor([[0.7779]]), tensor([[0.7708]]), tensor([[0.7813]]), tensor([[0.7805]]), tensor([[0.7800]]), tensor([[0.7771]]), tensor([[0.7757]]), tensor([[0.7717]]), tensor([[0.7591]]), tensor([[0.7666]]), tensor([[0.7734]]), tensor([[0.7749]]), tensor([[0.7732]]), tensor([[0.7689]]), tensor([[0.7715]]), tensor([[0.7701]]), tensor([[0.7606]]), tensor([[0.7679]]), tensor([[0.7638]]), tensor([[0.7638]]), tensor([[0.7639]]), tensor([[0.7623]])]",706,736
gpt-4-1106-preview,Bright Lights Big Christmas by Mary Kay Andrews,707,31," the trailer and peering in through the door, which was draped with spiderwebs. “Have a little respect,” Birdie said, patting the trailer","[' the', ' trailer', ' and', ' pe', 'ering']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' ""', 'Bright', ' Lights', ' Big', ' Christmas', '""', ' by', ' Mary', ' Kay', ' Andrews', ',', ' as', ' it', ' is']","[' in', ' through', ' the', ' door', ',', ' which', ' was', ' draped', ' with', ' spider', 'webs', '.', ' “', 'Have', ' a', ' little', ' respect', ',”', ' Bird', 'ie', ' said', ',', ' pat', 'ting', ' the', ' trailer']",1.0,"I'm sorry, but I can't continue the text from ""Bright Lights Big Christmas"" by Mary Kay Andrews, as it is not in the public domain. However, I can offer you a summary of the book or discuss its themes, characters,"," in through the door, which was draped with spiderwebs. “Have a little respect,” Birdie said, patting the trailer",tensor([[0.7713]]),4,"[tensor([[0.7682]]), tensor([[0.7617]]), tensor([[0.7671]]), tensor([[0.7713]]), tensor([[0.7686]]), tensor([[0.7407]]), tensor([[0.7404]]), tensor([[0.7454]]), tensor([[0.7561]]), tensor([[0.7612]]), tensor([[0.7536]]), tensor([[0.7506]]), tensor([[0.7585]]), tensor([[0.7518]]), tensor([[0.7602]]), tensor([[0.7581]]), tensor([[0.7558]]), tensor([[0.7607]]), tensor([[0.7551]]), tensor([[0.7581]]), tensor([[0.7583]]), tensor([[0.7534]]), tensor([[0.7509]]), tensor([[0.7501]]), tensor([[0.7549]]), tensor([[0.7604]]), tensor([[0.7623]]), tensor([[0.7569]]), tensor([[0.7613]]), tensor([[0.7631]]), tensor([[0.7597]]), tensor([[0.7564]]), tensor([[0.7601]]), tensor([[0.7554]]), tensor([[0.7569]]), tensor([[0.7582]]), tensor([[0.7569]]), tensor([[0.7560]]), tensor([[0.7565]]), tensor([[0.7443]]), tensor([[0.7432]])]",706,736
gpt-4,Bright Lights Big Christmas by Mary Kay Andrews,707,31," the trailer and peering in through the door, which was draped with spiderwebs. “Have a little respect,” Birdie said, patting the trailer","[' the', ' trailer', ' and', ' pe', 'ering']","['into', ' the', ' orderly', ' chaos', ' that', ' was', ' her', ' grandmother', ""'s"", ' Christmas', ' decoration', ' storage', '.', ' Boxes', ' stuffed', ' with', ' sh', 'atter', 'proof', ' ornaments', ' glitter', 'ed', ' under', ' the', ' dim', ' light']","[' in', ' through', ' the', ' door', ',', ' which', ' was', ' draped', ' with', ' spider', 'webs', '.', ' “', 'Have', ' a', ' little', ' respect', ',”', ' Bird', 'ie', ' said', ',', ' pat', 'ting', ' the', ' trailer']",0.9230769230769231,"into the orderly chaos that was her grandmother's Christmas decoration storage. Boxes stuffed with shatterproof ornaments glittered under the dim light of a single bulb hanging from the low ceiling, tinsel sparkled in every corner, and the scent of pine"," in through the door, which was draped with spiderwebs. “Have a little respect,” Birdie said, patting the trailer",tensor([[0.7979]]),3,"[tensor([[0.7682]]), tensor([[0.7697]]), tensor([[0.7979]]), tensor([[0.7660]]), tensor([[0.7653]]), tensor([[0.7779]]), tensor([[0.7759]]), tensor([[0.7711]]), tensor([[0.7655]]), tensor([[0.7587]]), tensor([[0.7618]]), tensor([[0.7582]]), tensor([[0.7804]]), tensor([[0.7780]]), tensor([[0.7769]]), tensor([[0.7773]]), tensor([[0.7762]]), tensor([[0.7739]]), tensor([[0.7757]]), tensor([[0.7767]]), tensor([[0.7757]]), tensor([[0.7748]]), tensor([[0.7761]]), tensor([[0.7770]]), tensor([[0.7779]]), tensor([[0.7808]]), tensor([[0.7789]]), tensor([[0.7784]]), tensor([[0.7776]]), tensor([[0.7785]]), tensor([[0.7735]]), tensor([[0.7746]]), tensor([[0.7740]]), tensor([[0.7739]]), tensor([[0.7742]]), tensor([[0.7661]]), tensor([[0.7721]]), tensor([[0.7727]]), tensor([[0.7745]]), tensor([[0.7761]]), tensor([[0.7769]])]",706,736
gpt-3.5-turbo,Bright Lights Big Christmas by Mary Kay Andrews,1140,27,. She knew she was beaten. “Okay. I’ll do it.” Birdie beamed. “It’ll be almost like old,"['.', ' She', ' knew', ' she', ' was', ' beaten', '.', ' “', 'Okay', '.', ' I', '’ll']","['do', ' it', ',”', ' she', ' murm', 'ured', ',', ' her', ' voice', ' barely', ' audible', '.', ' As', ' she', ' reluctantly']","[' do', ' it', '.”', ' Bird', 'ie', ' be', 'amed', '.', ' “', 'It', '’ll', ' be', ' almost', ' like', ' old']",0.9333333333333333,"do it,” she murmured, her voice barely audible. As she reluctantly agreed to take on the daunting task, a mix of anxiety and determination filled her chest. She knew it wouldn't be easy to pull off the perfect Christmas party in such a", do it.” Birdie beamed. “It’ll be almost like old,tensor([[0.8633]]),3,"[tensor([[0.7724]]), tensor([[0.8148]]), tensor([[0.8633]]), tensor([[0.8461]]), tensor([[0.8451]]), tensor([[0.8400]]), tensor([[0.8312]]), tensor([[0.8264]]), tensor([[0.8167]]), tensor([[0.8287]]), tensor([[0.8248]]), tensor([[0.8200]]), tensor([[0.8154]]), tensor([[0.8164]]), tensor([[0.8171]]), tensor([[0.8211]]), tensor([[0.8207]]), tensor([[0.8181]]), tensor([[0.8105]]), tensor([[0.8174]]), tensor([[0.8182]]), tensor([[0.8172]]), tensor([[0.8188]]), tensor([[0.8167]]), tensor([[0.8185]]), tensor([[0.8167]]), tensor([[0.8146]]), tensor([[0.8064]]), tensor([[0.8113]]), tensor([[0.8126]]), tensor([[0.8127]]), tensor([[0.8116]]), tensor([[0.8097]]), tensor([[0.8130]]), tensor([[0.8152]]), tensor([[0.8148]]), tensor([[0.8189]]), tensor([[0.8160]]), tensor([[0.8161]]), tensor([[0.7973]]), tensor([[0.7890]]), tensor([[0.7903]]), tensor([[0.7929]]), tensor([[0.7929]])]",1139,1165
