,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
2,gpt-4,Iron Flame by Rebecca Yarros,1689,25," art on the walls here, not just busts of war heroes displayed on stands, and I’m pretty sure that’s an","[' art', ' on', ' the', ' walls', ' here', ',', ' not']","['just', ' the', ' splash', 'y', ' abstract', ' kind', ' that', ' typically', ' adorned', ' such', ' spaces', ',', ' but', ' pieces', ' loaded', ' with', ' depth', ',']","[' just', ' bust', 's', ' of', ' war', ' heroes', ' displayed', ' on', ' stands', ',', ' and', ' I', '’m', ' pretty', ' sure', ' that', '’s', ' an']",1.0,"just the splashy abstract kind that typically adorned such spaces, but pieces loaded with depth, oozing expression and emotions that winked at onlookers with their vivid hues and bold strokes. It was as if each well-placed masterpiece was a"," just busts of war heroes displayed on stands, and I’m pretty sure that’s an",tensor([[0.8286]]),26,"[tensor([[0.7570]]), tensor([[0.7739]]), tensor([[0.7729]]), tensor([[0.7498]]), tensor([[0.7676]]), tensor([[0.7788]]), tensor([[0.7891]]), tensor([[0.7972]]), tensor([[0.8070]]), tensor([[0.8076]]), tensor([[0.8042]]), tensor([[0.8060]]), tensor([[0.8186]]), tensor([[0.8225]]), tensor([[0.8198]]), tensor([[0.8137]]), tensor([[0.8170]]), tensor([[0.8130]]), tensor([[0.8129]]), tensor([[0.8141]]), tensor([[0.8123]]), tensor([[0.8149]]), tensor([[0.8155]]), tensor([[0.8273]]), tensor([[0.8260]]), tensor([[0.8286]]), tensor([[0.8261]]), tensor([[0.8258]]), tensor([[0.8263]]), tensor([[0.8270]]), tensor([[0.8212]]), tensor([[0.8242]]), tensor([[0.8216]]), tensor([[0.8205]]), tensor([[0.8199]]), tensor([[0.8203]]), tensor([[0.8173]]), tensor([[0.8140]]), tensor([[0.8156]]), tensor([[0.8175]])]",1688,1712,0.0010643959552953698
5,gpt-4,Iron Flame by Rebecca Yarros,3103,25," Basgiath’s luminary,” Battle-Ax suggests. “If we’re that close to losing this war, there’s","[' Bas', 'gi', 'ath', '’s', ' lum']","['inous', ' silver', ' eyes', ' were', ' weary', ',', ' bearing', ' the', ' imprint', ' of', ' a', ' thousand', ' ages', '.', ' Yet', ' within', ' them', ',', ' a', ' fierce']","['inary', ',”', ' Battle', '-A', 'x', ' suggests', '.', ' “', 'If', ' we', '’re', ' that', ' close', ' to', ' losing', ' this', ' war', ',', ' there', '’s']",0.95,"inous silver eyes were weary, bearing the imprint of a thousand ages. Yet within them, a fierce determination burned hotter than the flame he was named after. The old dragon straightened up, his scales gleaming under the moonlight as he prepared to","inary,” Battle-Ax suggests. “If we’re that close to losing this war, there’s",tensor([[0.8040]]),20,"[tensor([[0.7588]]), tensor([[0.7744]]), tensor([[0.7664]]), tensor([[0.7630]]), tensor([[0.7726]]), tensor([[0.7923]]), tensor([[0.7882]]), tensor([[0.7948]]), tensor([[0.7783]]), tensor([[0.7883]]), tensor([[0.7929]]), tensor([[0.7912]]), tensor([[0.7831]]), tensor([[0.8015]]), tensor([[0.8035]]), tensor([[0.7976]]), tensor([[0.7999]]), tensor([[0.8031]]), tensor([[0.8016]]), tensor([[0.8040]]), tensor([[0.7991]]), tensor([[0.8004]]), tensor([[0.8038]]), tensor([[0.7985]]), tensor([[0.7984]]), tensor([[0.7949]]), tensor([[0.7894]]), tensor([[0.7806]]), tensor([[0.7876]]), tensor([[0.7871]]), tensor([[0.7771]]), tensor([[0.7791]]), tensor([[0.7741]]), tensor([[0.7789]]), tensor([[0.7738]]), tensor([[0.7693]]), tensor([[0.7688]]), tensor([[0.7705]]), tensor([[0.7631]]), tensor([[0.7627]]), tensor([[0.7647]]), tensor([[0.7617]]), tensor([[0.7635]])]",3102,3126,0.0010643959552953698
8,gpt-4,Iron Flame by Rebecca Yarros,548,34," me eat is creepy,” I counter after I swallow, my voice still a little hoarse. “And?” He shrugs shamelessly, a dimple flashing in his","[' me', ' eat', ' is', ' creepy', ',”', ' I']","['ad', 'mitted', ',', ' taking', ' another', ' bite', ' of', ' my', ' sandwich', ' while', ' trying', ' to', ' keep', ' my', ' eyes', ' away', ' from', ' his', ' intense', ' gaze', '.', ' His', ' chuck', 'le', ' didn', ""'t"", ' help', ' ease']","[' counter', ' after', ' I', ' swallow', ',', ' my', ' voice', ' still', ' a', ' little', ' ho', 'arse', '.', ' “', 'And', '?”', ' He', ' shr', 'ugs', ' shame', 'lessly', ',', ' a', ' dim', 'ple', ' flashing', ' in', ' his']",1.0,"admitted, taking another bite of my sandwich while trying to keep my eyes away from his intense gaze. His chuckle didn't help ease my discomfort, instead sending a shiver down my spine as if my words were amusing for him. ""Nothing"," counter after I swallow, my voice still a little hoarse. “And?” He shrugs shamelessly, a dimple flashing in his",tensor([[0.8861]]),38,"[tensor([[0.7578]]), tensor([[0.8063]]), tensor([[0.8012]]), tensor([[0.8197]]), tensor([[0.8446]]), tensor([[0.8421]]), tensor([[0.8548]]), tensor([[0.8493]]), tensor([[0.8503]]), tensor([[0.8463]]), tensor([[0.8517]]), tensor([[0.8521]]), tensor([[0.8486]]), tensor([[0.8626]]), tensor([[0.8604]]), tensor([[0.8580]]), tensor([[0.8618]]), tensor([[0.8680]]), tensor([[0.8568]]), tensor([[0.8671]]), tensor([[0.8731]]), tensor([[0.8758]]), tensor([[0.8741]]), tensor([[0.8753]]), tensor([[0.8769]]), tensor([[0.8751]]), tensor([[0.8750]]), tensor([[0.8752]]), tensor([[0.8757]]), tensor([[0.8780]]), tensor([[0.8789]]), tensor([[0.8805]]), tensor([[0.8776]]), tensor([[0.8771]]), tensor([[0.8796]]), tensor([[0.8819]]), tensor([[0.8836]]), tensor([[0.8861]]), tensor([[0.8819]]), tensor([[0.8809]]), tensor([[0.8818]]), tensor([[0.8810]])]",547,580,0.0010643959552953698
11,gpt-4,Iron Flame by Rebecca Yarros,4003,33," “I still don’t understand that particular decision,” Hawk Nose adds. “Decision was simple. She’s worth a dozen of me,” Xaden says, and my","[' “', 'I', ' still', ' don', '’t', ' understand', ' that', ' particular', ' decision', ',”', ' Hawk', ' Nose']","['continued', ',', ' his', ' deep', ' voice', ' echoing', ' around', ' the', ' dim', '-l', 'it', ' room', '.', ' His', ' gaze', ' moved', ' over', ' the', ' worn', ' maps', ' and']","[' adds', '.', ' “', 'Decision', ' was', ' simple', '.', ' She', '’s', ' worth', ' a', ' dozen', ' of', ' me', ',”', ' X', 'aden', ' says', ',', ' and', ' my']",1.0,"continued, his deep voice echoing around the dim-lit room. His gaze moved over the worn maps and faded photographs scattered around the room. ""I mean,” he added, smoothing a creased corner of a discarded mission plan, “returning here"," adds. “Decision was simple. She’s worth a dozen of me,” Xaden says, and my",tensor([[0.7966]]),3,"[tensor([[0.7529]]), tensor([[0.7879]]), tensor([[0.7966]]), tensor([[0.7890]]), tensor([[0.7841]]), tensor([[0.7861]]), tensor([[0.7858]]), tensor([[0.7867]]), tensor([[0.7742]]), tensor([[0.7599]]), tensor([[0.7779]]), tensor([[0.7689]]), tensor([[0.7726]]), tensor([[0.7769]]), tensor([[0.7731]]), tensor([[0.7751]]), tensor([[0.7732]]), tensor([[0.7724]]), tensor([[0.7670]]), tensor([[0.7655]]), tensor([[0.7645]]), tensor([[0.7657]]), tensor([[0.7633]]), tensor([[0.7495]]), tensor([[0.7673]]), tensor([[0.7659]]), tensor([[0.7710]]), tensor([[0.7668]]), tensor([[0.7697]]), tensor([[0.7737]]), tensor([[0.7709]]), tensor([[0.7710]]), tensor([[0.7736]]), tensor([[0.7754]]), tensor([[0.7690]]), tensor([[0.7647]]), tensor([[0.7596]]), tensor([[0.7659]]), tensor([[0.7662]])]",4002,4034,0.0010643959552953698
14,gpt-4,Iron Flame by Rebecca Yarros,1606,25," “see” them organizing to fight here. There are certain aspects of Riorson House, from its defensible position carved","[' “', 'see', '”', ' them', ' organizing', ' to', ' fight']","['back', ' against', ' the', ' chaos', ' that', ' threatened', ' to', ' engulf', ' their', ' world', '.', ' Their', ' ten', 'acity', ' was', ' inspiring', ';', ' it']","[' here', '.', ' There', ' are', ' certain', ' aspects', ' of', ' R', 'ior', 'son', ' House', ',', ' from', ' its', ' def', 'ensible', ' position', ' carved']",1.0,"back against the chaos that threatened to engulf their world. Their tenacity was inspiring; it was a spark lodged deep in their souls, shining brightly amidst the darkness. This was the embodiment of steadfast courage, the iron flame that refused to be extinguished"," here. There are certain aspects of Riorson House, from its defensible position carved",tensor([[0.8048]]),33,"[tensor([[0.7666]]), tensor([[0.7769]]), tensor([[0.7417]]), tensor([[0.7736]]), tensor([[0.7410]]), tensor([[0.7685]]), tensor([[0.7571]]), tensor([[0.7633]]), tensor([[0.7663]]), tensor([[0.7691]]), tensor([[0.7667]]), tensor([[0.7749]]), tensor([[0.7922]]), tensor([[0.7780]]), tensor([[0.7772]]), tensor([[0.7787]]), tensor([[0.7854]]), tensor([[0.7820]]), tensor([[0.7914]]), tensor([[0.7906]]), tensor([[0.7902]]), tensor([[0.7893]]), tensor([[0.7828]]), tensor([[0.7837]]), tensor([[0.7875]]), tensor([[0.7871]]), tensor([[0.7879]]), tensor([[0.7839]]), tensor([[0.7811]]), tensor([[0.7896]]), tensor([[0.7882]]), tensor([[0.7883]]), tensor([[0.8048]]), tensor([[0.8002]]), tensor([[0.7998]]), tensor([[0.7880]]), tensor([[0.7859]]), tensor([[0.7923]]), tensor([[0.7853]]), tensor([[0.7859]]), tensor([[0.7882]]), tensor([[0.7879]]), tensor([[0.7885]]), tensor([[0.7879]])]",1605,1629,0.0010643959552953698
17,gpt-4,Iron Flame by Rebecca Yarros,1828,27,". “Someone has to state the obvious,” an older man with an eyepatch and a hawkish nose says from the far end","['.', ' “', 'Someone', ' has', ' to', ' state', ' the', ' obvious', ',”']","['he', ' said', ',', ' his', ' eyes', ' still', ' trained', ' on', ' the', ' field', ' below', ',', ' his', ' posture', ' rigid', '.', ' ""', 'It']","[' an', ' older', ' man', ' with', ' an', ' ey', 'ep', 'atch', ' and', ' a', ' hawk', 'ish', ' nose', ' says', ' from', ' the', ' far', ' end']",1.0,"he said, his eyes still trained on the field below, his posture rigid. ""It might as well be me. We're not invincible. Tonight's operation will test us beyond our limits."" His voice was hard as steel, his face et", an older man with an eyepatch and a hawkish nose says from the far end,tensor([[0.8571]]),6,"[tensor([[0.7560]]), tensor([[0.7734]]), tensor([[0.8241]]), tensor([[0.8100]]), tensor([[0.8482]]), tensor([[0.8571]]), tensor([[0.8478]]), tensor([[0.8496]]), tensor([[0.8530]]), tensor([[0.8348]]), tensor([[0.8371]]), tensor([[0.8377]]), tensor([[0.8453]]), tensor([[0.8366]]), tensor([[0.8393]]), tensor([[0.8401]]), tensor([[0.8409]]), tensor([[0.8399]]), tensor([[0.8385]]), tensor([[0.8303]]), tensor([[0.8342]]), tensor([[0.8303]]), tensor([[0.8412]]), tensor([[0.8409]]), tensor([[0.8315]]), tensor([[0.8321]]), tensor([[0.8301]]), tensor([[0.8289]]), tensor([[0.8318]]), tensor([[0.8383]]), tensor([[0.8357]]), tensor([[0.8335]]), tensor([[0.8395]]), tensor([[0.8357]]), tensor([[0.8358]]), tensor([[0.8328]]), tensor([[0.8371]]), tensor([[0.8359]]), tensor([[0.8373]]), tensor([[0.8423]])]",1827,1853,0.0010643959552953698
20,gpt-4,Iron Flame by Rebecca Yarros,1526,38," The city—now reduced to a town—has been silently, covertly rebuilding for years right under General Melgren’s nose. The relics, magical marks the children of the executed rebellion officers","[' The', ' city', '—', 'now', ' reduced', ' to', ' a', ' town', '—', 'has', ' been', ' silently', ',', ' covert', 'ly', ' rebuilding', ' for', ' years']","[',', ' under', ' the', ' skilled', ' guidance', ' of', ' a', ' community', ' dedicated', ' to', ' rejuven', 'ity', ' and', ' resilience', '.', ' The', ' scars', ' of', ' destruction', ',']","[' right', ' under', ' General', ' Mel', 'gren', '’s', ' nose', '.', ' The', ' relics', ',', ' magical', ' marks', ' the', ' children', ' of', ' the', ' executed', ' rebellion', ' officers']",0.95,", under the skilled guidance of a community dedicated to rejuvenity and resilience. The scars of destruction, though still observable in the cracks and crevices of old structures, were slowly vanishing beneath the progress of new construction. Yet as reclaimed buildings arose"," right under General Melgren’s nose. The relics, magical marks the children of the executed rebellion officers",tensor([[0.8102]]),2,"[tensor([[0.7745]]), tensor([[0.8102]]), tensor([[0.7917]]), tensor([[0.8054]]), tensor([[0.8021]]), tensor([[0.7884]]), tensor([[0.7810]]), tensor([[0.7796]]), tensor([[0.7679]]), tensor([[0.7627]]), tensor([[0.7625]]), tensor([[0.7840]]), tensor([[0.7787]]), tensor([[0.7672]]), tensor([[0.7744]]), tensor([[0.8054]]), tensor([[0.8019]]), tensor([[0.8016]]), tensor([[0.7958]]), tensor([[0.7946]]), tensor([[0.8040]]), tensor([[0.8000]]), tensor([[0.7993]]), tensor([[0.8019]]), tensor([[0.7978]]), tensor([[0.8040]]), tensor([[0.7991]]), tensor([[0.8033]]), tensor([[0.7957]]), tensor([[0.7966]]), tensor([[0.7972]]), tensor([[0.7977]]), tensor([[0.7994]]), tensor([[0.7964]]), tensor([[0.7954]]), tensor([[0.7934]]), tensor([[0.7940]]), tensor([[0.7831]]), tensor([[0.7867]]), tensor([[0.7857]]), tensor([[0.7865]]), tensor([[0.7782]]), tensor([[0.7748]])]",1525,1562,0.0010643959552953698
23,gpt-4,Iron Flame by Rebecca Yarros,4034,23," and my breath catches at the intensity in his eyes. If I didn’t know better, I’d think he means","[' and', ' my', ' breath', ' catches', ' at', ' the']","['s', 'ight', ' before', ' me', '.', ' The', ' majestic', ' landscape', ' stretches', ' out', ',', ' carved', ' by', ' mother', ' nature', ' herself', ' -']","[' intensity', ' in', ' his', ' eyes', '.', ' If', ' I', ' didn', '’t', ' know', ' better', ',', ' I', '’d', ' think', ' he', ' means']",0.9411764705882352,"sight before me. The majestic landscape stretches out, carved by mother nature herself - lush expanses dotted with mighty oaks, mountains that appear to cut the sky, their snowy peaks kissed by the heavens. The river runs like a silver ribbon,"," intensity in his eyes. If I didn’t know better, I’d think he means",tensor([[0.8250]]),2,"[tensor([[0.7778]]), tensor([[0.8250]]), tensor([[0.8144]]), tensor([[0.8101]]), tensor([[0.8079]]), tensor([[0.8242]]), tensor([[0.8087]]), tensor([[0.8017]]), tensor([[0.7942]]), tensor([[0.8002]]), tensor([[0.7983]]), tensor([[0.7902]]), tensor([[0.8007]]), tensor([[0.7862]]), tensor([[0.7692]]), tensor([[0.7866]]), tensor([[0.7890]]), tensor([[0.7773]]), tensor([[0.7782]]), tensor([[0.7857]]), tensor([[0.7655]]), tensor([[0.7802]]), tensor([[0.7777]]), tensor([[0.7829]]), tensor([[0.7831]]), tensor([[0.7830]]), tensor([[0.7789]]), tensor([[0.7708]]), tensor([[0.7781]]), tensor([[0.7740]]), tensor([[0.7761]]), tensor([[0.7698]]), tensor([[0.7694]]), tensor([[0.7670]]), tensor([[0.7616]]), tensor([[0.7676]]), tensor([[0.7650]]), tensor([[0.7631]]), tensor([[0.7642]]), tensor([[0.7634]]), tensor([[0.7615]]), tensor([[0.7548]])]",4033,4055,0.0010643959552953698
26,gpt-4,Iron Flame by Rebecca Yarros,383,28," my head. “Yeah, yeah,” I reply in kind, mentally reaching out for Andarna again as one of the kitchen workers hurries","[' my', ' head', '.', ' “', 'Yeah', ',', ' yeah', ',”', ' I', ' reply', ' in', ' kind', ',']","['pull', 'ing', ' on', ' my', ' jacket', ' and', ' t', 'ugging', ' it', ' into', ' place', '.', ' We', ""'ve"", ' been']","[' mentally', ' reaching', ' out', ' for', ' And', 'arna', ' again', ' as', ' one', ' of', ' the', ' kitchen', ' workers', ' hur', 'ries']",1.0,"pulling on my jacket and tugging it into place. We've been through a lot, fought many battles both internal and external, but the camaraderie that exists between us is hard-earned and invincible. It's these bonds that I", mentally reaching out for Andarna again as one of the kitchen workers hurries,tensor([[0.8159]]),31,"[tensor([[0.7572]]), tensor([[0.7669]]), tensor([[0.7636]]), tensor([[0.7707]]), tensor([[0.7593]]), tensor([[0.7614]]), tensor([[0.7854]]), tensor([[0.7753]]), tensor([[0.7747]]), tensor([[0.7703]]), tensor([[0.7640]]), tensor([[0.7750]]), tensor([[0.7892]]), tensor([[0.7823]]), tensor([[0.8037]]), tensor([[0.8073]]), tensor([[0.8104]]), tensor([[0.8072]]), tensor([[0.8099]]), tensor([[0.8083]]), tensor([[0.7998]]), tensor([[0.8062]]), tensor([[0.8060]]), tensor([[0.7896]]), tensor([[0.8148]]), tensor([[0.8128]]), tensor([[0.8134]]), tensor([[0.8138]]), tensor([[0.8140]]), tensor([[0.8152]]), tensor([[0.8159]]), tensor([[0.8115]]), tensor([[0.8119]]), tensor([[0.8033]]), tensor([[0.8098]]), tensor([[0.8092]]), tensor([[0.8082]]), tensor([[0.8053]])]",382,409,0.0010643959552953698
29,gpt-4,Iron Flame by Rebecca Yarros,2292,24," what is the obvious thing you need to state, Major Ferris?” Xaden asks, his tone completely, utterly bored","[' what', ' is', ' the', ' obvious', ' thing', ' you', ' need', ' to', ' state', ',', ' Major', ' Ferr']","['is', '?', ' ""', 'Major', ' Ferr', 'is', ' inclined', ' his', ' head', ' slightly', ',', ' a']","['is', '?”', ' X', 'aden', ' asks', ',', ' his', ' tone', ' completely', ',', ' utterly', ' bored']",0.8333333333333334,"is? ""Major Ferris inclined his head slightly, a tight lipped smile adorning his rugged features. His eyes held a touch of mystery that revealed only one thing - he was always three steps ahead of everyone else. ""That before we continue","is?” Xaden asks, his tone completely, utterly bored",tensor([[0.8169]]),10,"[tensor([[0.7434]]), tensor([[0.8142]]), tensor([[0.7827]]), tensor([[0.7754]]), tensor([[0.7693]]), tensor([[0.7910]]), tensor([[0.7909]]), tensor([[0.8015]]), tensor([[0.7958]]), tensor([[0.8169]]), tensor([[0.8144]]), tensor([[0.7968]]), tensor([[0.7912]]), tensor([[0.7903]]), tensor([[0.7925]]), tensor([[0.7843]]), tensor([[0.7920]]), tensor([[0.7963]]), tensor([[0.7931]]), tensor([[0.7928]]), tensor([[0.7900]]), tensor([[0.7897]]), tensor([[0.8074]]), tensor([[0.8044]]), tensor([[0.8030]]), tensor([[0.8048]]), tensor([[0.8084]]), tensor([[0.8092]]), tensor([[0.8055]]), tensor([[0.8075]]), tensor([[0.8078]]), tensor([[0.8043]]), tensor([[0.7986]]), tensor([[0.8050]]), tensor([[0.7995]]), tensor([[0.8002]]), tensor([[0.7953]]), tensor([[0.7942]]), tensor([[0.7980]]), tensor([[0.7993]]), tensor([[0.7999]]), tensor([[0.8036]])]",2291,2314,0.0010643959552953698
