,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
2330,gpt-4-1106-preview,The Fraud by Zadie Smith,90,38,"in's?' 'Yes, missus. Here about the ceiling. Fell in, didn't it?' 'But two men were requested!' 'All up in London, missus. T","['in', ""'s"", ""?'"", "" '"", 'Yes', ',', ' miss', 'us', '.', ' Here', ' about', ' the', ' ceiling', '.', ' Fell']","['I', '’m', ' sorry', ',', ' but', ' I', ' cannot', ' provide', ' ver', 'batim', ' excerpts', ' from', ' copyrighted', ' texts', ' that', ' are', ' not', ' provided', ' by', ' the', ' user', '.', ' If']","[' in', ',', ' didn', ""'t"", ' it', ""?'"", "" '"", 'But', ' two', ' men', ' were', ' requested', ""!'"", "" '"", 'All', ' up', ' in', ' London', ',', ' miss', 'us', '.', ' T']",0.9565217391304348,"I’m sorry, but I cannot provide verbatim excerpts from copyrighted texts that are not provided by the user. If you have more of the text you would like to discuss or analyze, feel free to share! Otherwise, I can offer a summary or"," in, didn't it?' 'But two men were requested!' 'All up in London, missus. T",tensor([[0.7811]]),9,"[tensor([[0.7429]]), tensor([[0.7581]]), tensor([[0.7583]]), tensor([[0.7558]]), tensor([[0.7597]]), tensor([[0.7434]]), tensor([[0.7717]]), tensor([[0.7784]]), tensor([[0.7811]]), tensor([[0.7784]]), tensor([[0.7652]]), tensor([[0.7500]]), tensor([[0.7534]]), tensor([[0.7508]]), tensor([[0.7469]]), tensor([[0.7536]]), tensor([[0.7533]]), tensor([[0.7612]]), tensor([[0.7746]]), tensor([[0.7659]]), tensor([[0.7630]]), tensor([[0.7613]]), tensor([[0.7638]]), tensor([[0.7621]]), tensor([[0.7643]]), tensor([[0.7658]]), tensor([[0.7649]]), tensor([[0.7694]]), tensor([[0.7675]]), tensor([[0.7675]]), tensor([[0.7651]]), tensor([[0.7675]]), tensor([[0.7722]]), tensor([[0.7580]]), tensor([[0.7603]]), tensor([[0.7573]]), tensor([[0.7707]]), tensor([[0.7744]]), tensor([[0.7657]]), tensor([[0.7634]]), tensor([[0.7645]]), tensor([[0.7640]]), tensor([[0.7605]]), tensor([[0.7628]])]",89,126,0.994136460554371
2348,gpt-4-1106-preview,The Fraud by Zadie Smith,951,20,?' 'Mr Ainsworth is a writer.' 'What - so he writ them all?' ',"[""?'"", "" '"", 'Mr', ' A', 'ins', 'worth']","['Unfortunately', ',', ' I', ' won', ""'t"", ' be', ' able', ' to', ' continue', ' that', ' paragraph', ' as', ' it', ' is']","[' is', ' a', ' writer', "".'"", "" '"", 'What', ' -', ' so', ' he', ' writ', ' them', ' all', ""?'"", "" '""]",1.0,"Unfortunately, I won't be able to continue that paragraph as it is from a copyrighted book, ""The Fraud"" by Zadie Smith, and I don't have access to proprietary databases or copyrighted texts beyond what has been provided by users. If", is a writer.' 'What - so he writ them all?' ',tensor([[0.7993]]),21,"[tensor([[0.7576]]), tensor([[0.7746]]), tensor([[0.7606]]), tensor([[0.7226]]), tensor([[0.7309]]), tensor([[0.7246]]), tensor([[0.7271]]), tensor([[0.7288]]), tensor([[0.7250]]), tensor([[0.7709]]), tensor([[0.7717]]), tensor([[0.7735]]), tensor([[0.7778]]), tensor([[0.7782]]), tensor([[0.7772]]), tensor([[0.7855]]), tensor([[0.7827]]), tensor([[0.7715]]), tensor([[0.7940]]), tensor([[0.7948]]), tensor([[0.7993]]), tensor([[0.7964]]), tensor([[0.7888]]), tensor([[0.7943]]), tensor([[0.7935]]), tensor([[0.7963]]), tensor([[0.7952]]), tensor([[0.7951]]), tensor([[0.7925]]), tensor([[0.7944]]), tensor([[0.7927]]), tensor([[0.7946]]), tensor([[0.7939]]), tensor([[0.7939]]), tensor([[0.7936]]), tensor([[0.7936]]), tensor([[0.7941]]), tensor([[0.7931]]), tensor([[0.7934]]), tensor([[0.7870]]), tensor([[0.7919]])]",950,969,0.994136460554371
2642,gpt-4-1106-preview,Starling House by Alix Harrow,769,35,", where the water tastes like rust and the mist rises cold off the river even in summertime, lingering in the low places well past noon.) Since nobody would tell me the","[',', ' where', ' the', ' water', ' tastes', ' like', ' rust', ' and', ' the', ' mist', ' rises', ' cold', ' off', ' the']","['I', '’m', ' sorry', ',', ' but', ' I', ' am', ' unable', ' to', ' provide', ' ver', 'batim', ' excerpts', ' from', ' copyrighted', ' texts', ' such', ' as', ' ""', 'Star', 'ling']","[' river', ' even', ' in', ' summ', 'ertime', ',', ' lingering', ' in', ' the', ' low', ' places', ' well', ' past', ' noon', '.)', ' Since', ' nobody', ' would', ' tell', ' me', ' the']",1.0,"I’m sorry, but I am unable to provide verbatim excerpts from copyrighted texts such as ""Starling House"" by Alix E. Harrow. However, if you would like, I can provide information on the book, discuss its themes,"," river even in summertime, lingering in the low places well past noon.) Since nobody would tell me the",tensor([[0.7924]]),9,"[tensor([[0.7755]]), tensor([[0.7790]]), tensor([[0.7709]]), tensor([[0.7721]]), tensor([[0.7748]]), tensor([[0.7639]]), tensor([[0.7633]]), tensor([[0.7719]]), tensor([[0.7924]]), tensor([[0.7827]]), tensor([[0.7855]]), tensor([[0.7849]]), tensor([[0.7756]]), tensor([[0.7650]]), tensor([[0.7638]]), tensor([[0.7612]]), tensor([[0.7533]]), tensor([[0.7603]]), tensor([[0.7577]]), tensor([[0.7595]]), tensor([[0.7614]]), tensor([[0.7633]]), tensor([[0.7643]]), tensor([[0.7578]]), tensor([[0.7581]]), tensor([[0.7598]]), tensor([[0.7619]]), tensor([[0.7567]]), tensor([[0.7602]]), tensor([[0.7610]]), tensor([[0.7595]]), tensor([[0.7577]]), tensor([[0.7552]]), tensor([[0.7549]]), tensor([[0.7557]]), tensor([[0.7556]]), tensor([[0.7495]])]",768,802,0.994136460554371
2912,gpt-4-1106-preview,Starling House by Alix Harrow,1182,26," afterimages lingered on the insides of my eyelids: black landscapes stalked by spectral Beasts, pale figures lost among","[' after', 'images', ' linger', 'ed', ' on', ' the', ' ins', 'ides']","['Unfortunately', ',', ' I', ""'m"", ' not', ' able', ' to', ' provide', ' or', ' continue', ' a', ' copyrighted', ' text', ' from', ' ""', 'Star', 'ling', ' House']","[' of', ' my', ' eyel', 'ids', ':', ' black', ' landscapes', ' stalk', 'ed', ' by', ' spectral', ' Be', 'asts', ',', ' pale', ' figures', ' lost', ' among']",1.0,"Unfortunately, I'm not able to provide or continue a copyrighted text from ""Starling House"" by Alix Harrow as it is likely to be protected material, which I'm unable to access in full or reproduce.

If you're interested in discussing"," of my eyelids: black landscapes stalked by spectral Beasts, pale figures lost among",tensor([[0.8011]]),13,"[tensor([[0.7688]]), tensor([[0.7983]]), tensor([[0.7946]]), tensor([[0.7792]]), tensor([[0.7874]]), tensor([[0.7821]]), tensor([[0.7925]]), tensor([[0.7947]]), tensor([[0.8004]]), tensor([[0.7921]]), tensor([[0.7878]]), tensor([[0.8006]]), tensor([[0.8011]]), tensor([[0.7733]]), tensor([[0.7846]]), tensor([[0.7795]]), tensor([[0.7813]]), tensor([[0.7878]]), tensor([[0.7798]]), tensor([[0.7823]]), tensor([[0.7880]]), tensor([[0.7850]]), tensor([[0.7775]]), tensor([[0.7794]]), tensor([[0.7798]]), tensor([[0.7855]]), tensor([[0.7684]]), tensor([[0.7654]]), tensor([[0.7765]]), tensor([[0.7757]]), tensor([[0.7798]]), tensor([[0.7805]]), tensor([[0.7822]]), tensor([[0.7693]]), tensor([[0.7754]]), tensor([[0.7671]]), tensor([[0.7945]]), tensor([[0.7932]]), tensor([[0.7931]])]",1181,1206,0.994136460554371
3043,gpt-4-1106-preview,King of Greed by Ana Huang,3059,26," to notice my silent breakdown, but I couldn’t bear the thought of crying alone in the living room, surrounded by luggage that would","[' to', ' notice', ' my', ' silent', ' breakdown', ',', ' but']","['I', '’m', ' sorry', ',', ' but', ' I', ' can', ""'t"", ' complete', ' the', ' text', ' from', ' ""', 'King', ' of', ' Gre', 'ed', '""', ' by']","[' I', ' couldn', '’t', ' bear', ' the', ' thought', ' of', ' crying', ' alone', ' in', ' the', ' living', ' room', ',', ' surrounded', ' by', ' luggage', ' that', ' would']",1.0,"I’m sorry, but I can't complete the text from ""King of Greed"" by Ana Huang as it may be a copyrighted work. However, I can provide a summary or discuss the themes, characters, or other aspects of the book if"," I couldn’t bear the thought of crying alone in the living room, surrounded by luggage that would",tensor([[0.8084]]),5,"[tensor([[0.7456]]), tensor([[0.7710]]), tensor([[0.7926]]), tensor([[0.7942]]), tensor([[0.8084]]), tensor([[0.7933]]), tensor([[0.7750]]), tensor([[0.7878]]), tensor([[0.7771]]), tensor([[0.7834]]), tensor([[0.7679]]), tensor([[0.7655]]), tensor([[0.7593]]), tensor([[0.7600]]), tensor([[0.7714]]), tensor([[0.7652]]), tensor([[0.7624]]), tensor([[0.7673]]), tensor([[0.7695]]), tensor([[0.7676]]), tensor([[0.7659]]), tensor([[0.7581]]), tensor([[0.7578]]), tensor([[0.7517]]), tensor([[0.7456]]), tensor([[0.7530]]), tensor([[0.7551]]), tensor([[0.7444]]), tensor([[0.7514]]), tensor([[0.7507]]), tensor([[0.7512]]), tensor([[0.7437]]), tensor([[0.7421]]), tensor([[0.7394]]), tensor([[0.7409]]), tensor([[0.7395]]), tensor([[0.7415]]), tensor([[0.7393]]), tensor([[0.7365]]), tensor([[0.7370]]), tensor([[0.7327]])]",3058,3083,0.994136460554371
3355,gpt-4-1106-preview,King of Greed by Ana Huang,351,34," girls.” My friends and I had celebrated a financial milestone for my small pressed flower business, which was nearing its two-year anniversary, but I didn’t bother sharing the accomplishment","[' girls', '.”', ' My', ' friends', ' and', ' I']","['I', '’m', ' sorry', ',', ' but', ' I', ' am', ' unable', ' to', ' provide', ' ver', 'batim', ' excerpts', ' from', ' copyrighted', ' texts', '.', ' If', ' you', ' have', ' any', ' specific', ' questions', ' about', ' ""', 'King', ' of', ' Gre']","[' had', ' celebrated', ' a', ' financial', ' milestone', ' for', ' my', ' small', ' pressed', ' flower', ' business', ',', ' which', ' was', ' nearing', ' its', ' two', '-year', ' anniversary', ',', ' but', ' I', ' didn', '’t', ' bother', ' sharing', ' the', ' accomplishment']",1.0,"I’m sorry, but I am unable to provide verbatim excerpts from copyrighted texts. If you have any specific questions about ""King of Greed"" by Ana Huang or if you would like a summary or information about the themes, characters, or the"," had celebrated a financial milestone for my small pressed flower business, which was nearing its two-year anniversary, but I didn’t bother sharing the accomplishment",tensor([[0.7937]]),9,"[tensor([[0.7525]]), tensor([[0.7602]]), tensor([[0.7555]]), tensor([[0.7691]]), tensor([[0.7710]]), tensor([[0.7670]]), tensor([[0.7739]]), tensor([[0.7806]]), tensor([[0.7937]]), tensor([[0.7854]]), tensor([[0.7907]]), tensor([[0.7892]]), tensor([[0.7932]]), tensor([[0.7788]]), tensor([[0.7839]]), tensor([[0.7780]]), tensor([[0.7765]]), tensor([[0.7732]]), tensor([[0.7675]]), tensor([[0.7700]]), tensor([[0.7690]]), tensor([[0.7576]]), tensor([[0.7528]]), tensor([[0.7464]]), tensor([[0.7564]]), tensor([[0.7554]]), tensor([[0.7555]]), tensor([[0.7584]]), tensor([[0.7593]]), tensor([[0.7588]]), tensor([[0.7580]]), tensor([[0.7576]]), tensor([[0.7574]]), tensor([[0.7575]]), tensor([[0.7591]]), tensor([[0.7572]]), tensor([[0.7575]]), tensor([[0.7558]]), tensor([[0.7496]]), tensor([[0.7496]]), tensor([[0.7550]]), tensor([[0.7534]])]",350,383,0.994136460554371
3382,gpt-4-1106-preview,King of Greed by Ana Huang,1007,39," sometimes when I looked in the mirror. At the end of the day, I was married to one of the richest men on Wall Street, I lived in a beautiful house most people would kill for","[' sometimes', ' when', ' I', ' looked', ' in', ' the']","['I', '’m', ' sorry', ',', ' but', ' I', ' can', ""'t"", ' provide', ' ver', 'batim', ' excerpts', ' from', ' copyrighted', ' texts', ' that', ' aren', ""'t"", ' provided', ' by', ' the', ' user', '.', ' However', ',', ' I', ' can', ' discuss', ' the', ' book', ""'s"", ' themes', ',']","[' mirror', '.', ' At', ' the', ' end', ' of', ' the', ' day', ',', ' I', ' was', ' married', ' to', ' one', ' of', ' the', ' richest', ' men', ' on', ' Wall', ' Street', ',', ' I', ' lived', ' in', ' a', ' beautiful', ' house', ' most', ' people', ' would', ' kill', ' for']",1.0,"I’m sorry, but I can't provide verbatim excerpts from copyrighted texts that aren't provided by the user. However, I can discuss the book's themes, characters, and plot, or provide information on the author if you're interested. Let"," mirror. At the end of the day, I was married to one of the richest men on Wall Street, I lived in a beautiful house most people would kill for",tensor([[0.8126]]),9,"[tensor([[0.7785]]), tensor([[0.8018]]), tensor([[0.7685]]), tensor([[0.7695]]), tensor([[0.7855]]), tensor([[0.7552]]), tensor([[0.7756]]), tensor([[0.7907]]), tensor([[0.8126]]), tensor([[0.8107]]), tensor([[0.7958]]), tensor([[0.7853]]), tensor([[0.7856]]), tensor([[0.7891]]), tensor([[0.7932]]), tensor([[0.7922]]), tensor([[0.7910]]), tensor([[0.8079]]), tensor([[0.8097]]), tensor([[0.8072]]), tensor([[0.8015]]), tensor([[0.8038]]), tensor([[0.8036]]), tensor([[0.7995]]), tensor([[0.8117]]), tensor([[0.8110]]), tensor([[0.8003]]), tensor([[0.8049]]), tensor([[0.7991]]), tensor([[0.7923]]), tensor([[0.7895]]), tensor([[0.7892]]), tensor([[0.7879]]), tensor([[0.7854]]), tensor([[0.7868]]), tensor([[0.7891]]), tensor([[0.7961]]), tensor([[0.8087]])]",1006,1044,0.994136460554371
4354,gpt-4-1106-preview,Covenant of Water by Abraham Verghese,572,38," .” She was pleading, as if her daughter had protested. Her words had trailed off, her eyes darting around nervously. The lizards on the walls carried tales. “How","[' .', '”', ' She', ' was', ' pleading', ',', ' as', ' if', ' her', ' daughter']","['I', ' am', ' unable', ' to', ' continue', ' the', ' text', ' from', ' ""', 'C', 'ovenant', ' Of', ' Water', '""', ' by', ' Abraham', ' Ver', 'gh', 'ese', ' as', ' you', ' requested', ' because', ' it', ' likely', ' is', ' a', ' copyrighted']","[' had', ' protested', '.', ' Her', ' words', ' had', ' trailed', ' off', ',', ' her', ' eyes', ' dart', 'ing', ' around', ' nerv', 'ously', '.', ' The', ' l', 'izards', ' on', ' the', ' walls', ' carried', ' tales', '.', ' “', 'How']",1.0,"I am unable to continue the text from ""Covenant Of Water"" by Abraham Verghese as you requested because it likely is a copyrighted text, and I cannot provide verbatim excerpts from copyrighted materials that have not been provided by the user.

If"," had protested. Her words had trailed off, her eyes darting around nervously. The lizards on the walls carried tales. “How",tensor([[0.7840]]),19,"[tensor([[0.7573]]), tensor([[0.7787]]), tensor([[0.7449]]), tensor([[0.7631]]), tensor([[0.7555]]), tensor([[0.7724]]), tensor([[0.7734]]), tensor([[0.7795]]), tensor([[0.7828]]), tensor([[0.7665]]), tensor([[0.7673]]), tensor([[0.7726]]), tensor([[0.7763]]), tensor([[0.7713]]), tensor([[0.7737]]), tensor([[0.7761]]), tensor([[0.7798]]), tensor([[0.7761]]), tensor([[0.7840]]), tensor([[0.7837]]), tensor([[0.7769]]), tensor([[0.7731]]), tensor([[0.7781]]), tensor([[0.7657]]), tensor([[0.7663]]), tensor([[0.7699]]), tensor([[0.7701]]), tensor([[0.7677]]), tensor([[0.7689]]), tensor([[0.7720]]), tensor([[0.7804]]), tensor([[0.7799]]), tensor([[0.7811]]), tensor([[0.7812]]), tensor([[0.7785]]), tensor([[0.7808]]), tensor([[0.7825]]), tensor([[0.7816]]), tensor([[0.7809]]), tensor([[0.7810]]), tensor([[0.7773]]), tensor([[0.7822]])]",571,608,0.994136460554371
4468,gpt-4-1106-preview,Covenant of Water by Abraham Verghese,1262,20,". But this I know: the same God who watched over you here will be with you there,","['.', ' But', ' this', ' I', ' know', ':', ' the', ' same', ' God', ' who']","['I', '’m', ' sorry', ',', ' but', ' I', ' cannot', ' provide', ' ver', 'batim']","[' watched', ' over', ' you', ' here', ' will', ' be', ' with', ' you', ' there', ',']",1.0,"I’m sorry, but I cannot provide verbatim excerpts from copyrighted texts that aren't provided by the user. However, I can provide some information about the book, discuss its themes, characters, or provide a summary if that would be helpful! Let"," watched over you here will be with you there,",tensor([[0.7689]]),2,"[tensor([[0.7615]]), tensor([[0.7689]]), tensor([[0.7604]]), tensor([[0.7575]]), tensor([[0.7624]]), tensor([[0.7418]]), tensor([[0.7383]]), tensor([[0.7472]]), tensor([[0.7520]]), tensor([[0.7505]]), tensor([[0.7390]]), tensor([[0.7268]]), tensor([[0.7304]]), tensor([[0.7316]]), tensor([[0.7350]]), tensor([[0.7337]]), tensor([[0.7343]]), tensor([[0.7513]]), tensor([[0.7567]]), tensor([[0.7453]]), tensor([[0.7467]]), tensor([[0.7470]]), tensor([[0.7459]]), tensor([[0.7449]]), tensor([[0.7428]]), tensor([[0.7383]]), tensor([[0.7412]]), tensor([[0.7334]]), tensor([[0.7349]]), tensor([[0.7403]]), tensor([[0.7362]]), tensor([[0.7258]]), tensor([[0.7207]]), tensor([[0.7207]]), tensor([[0.7180]]), tensor([[0.7185]]), tensor([[0.7202]]), tensor([[0.7216]]), tensor([[0.7208]]), tensor([[0.7243]]), tensor([[0.7314]])]",1261,1280,0.994136460554371
5050,gpt-4-1106-preview,The Five-Star Weekend by Elin Hilderbrand,1061,37," with a rosy “special sauce”; the pickles were crisp, bright, and tangy; the Japanese milk bread—that Instagram darling—was pillowy but sturdy enough to maintain the","[' with', ' a', ' ro', 'sy', ' “', 'special', ' sauce', '”;', ' the', ' pick']","['Unfortunately', ',', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' ""', 'The', ' Five', ' Star', ' Weekend', '""', ' by', ' E', 'lin', ' H', 'ilder', 'brand', ',', ' as', ' it', ' is', ' copyrighted', ' material']","['les', ' were', ' crisp', ',', ' bright', ',', ' and', ' tang', 'y', ';', ' the', ' Japanese', ' milk', ' bread', '—that', ' Instagram', ' darling', '—', 'was', ' pill', 'owy', ' but', ' sturdy', ' enough', ' to', ' maintain', ' the']",1.0,"Unfortunately, I can't continue the text from ""The Five Star Weekend"" by Elin Hilderbrand, as it is copyrighted material. However, I can provide a summary or discuss the themes, characters, and plot of the book if you're","les were crisp, bright, and tangy; the Japanese milk bread—that Instagram darling—was pillowy but sturdy enough to maintain the",tensor([[0.7758]]),8,"[tensor([[0.7555]]), tensor([[0.7728]]), tensor([[0.7750]]), tensor([[0.7447]]), tensor([[0.7550]]), tensor([[0.7476]]), tensor([[0.7730]]), tensor([[0.7758]]), tensor([[0.7590]]), tensor([[0.7517]]), tensor([[0.7531]]), tensor([[0.7526]]), tensor([[0.7541]]), tensor([[0.7508]]), tensor([[0.7588]]), tensor([[0.7576]]), tensor([[0.7602]]), tensor([[0.7591]]), tensor([[0.7486]]), tensor([[0.7506]]), tensor([[0.7618]]), tensor([[0.7548]]), tensor([[0.7525]]), tensor([[0.7572]]), tensor([[0.7548]]), tensor([[0.7538]]), tensor([[0.7555]]), tensor([[0.7508]]), tensor([[0.7518]]), tensor([[0.7478]]), tensor([[0.7491]]), tensor([[0.7439]]), tensor([[0.7390]]), tensor([[0.7352]]), tensor([[0.7371]]), tensor([[0.7375]]), tensor([[0.7355]]), tensor([[0.7345]])]",1060,1096,0.994136460554371
