,Unnamed: 0,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
1,2,gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,130,22," the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210, Spelling reiter","[' the', ' use', ' of', ' capitalist', ' narrative']","['is', ' prevalent', ' in', ' Gibson', ""'s"", ' works', ',', ' providing', ' a', ' conduit', ' for', ' him', ' to', ' scrutin', 'ize', ' modern', ' society']","[' to', ' challenge', ' the', ' status', ' quo', '.', ' In', ' Beverly', ' Hills', ' ', '902', '10', ',', ' Sp', 'elling', ' re', 'iter']",1.0,"is prevalent in Gibson's works, providing a conduit for him to scrutinize modern society through a lens of economic and social structures systemic in capitalism. Gibson's narratives intricately weave the effects of capitalist constructs on individual identities, social relations, and the futuristic"," to challenge the status quo. In Beverly Hills 90210, Spelling reiter",tensor([[0.8112]]),2,"[tensor([[0.7812]]), tensor([[0.8112]]), tensor([[0.8039]]), tensor([[0.8012]]), tensor([[0.7728]]), tensor([[0.7389]]), tensor([[0.7453]]), tensor([[0.7494]]), tensor([[0.7601]]), tensor([[0.7648]]), tensor([[0.7632]]), tensor([[0.7630]]), tensor([[0.7590]]), tensor([[0.7524]]), tensor([[0.7562]]), tensor([[0.7543]]), tensor([[0.7516]]), tensor([[0.7484]]), tensor([[0.7462]]), tensor([[0.7387]]), tensor([[0.7372]]), tensor([[0.7358]]), tensor([[0.7300]]), tensor([[0.7270]]), tensor([[0.7263]]), tensor([[0.7186]]), tensor([[0.7288]]), tensor([[0.7309]]), tensor([[0.7271]]), tensor([[0.7141]]), tensor([[0.7163]]), tensor([[0.7167]]), tensor([[0.7146]]), tensor([[0.7110]]), tensor([[0.7086]]), tensor([[0.7089]]), tensor([[0.7081]]), tensor([[0.7137]]), tensor([[0.7090]]), tensor([[0.7114]]), tensor([[0.7044]]), tensor([[0.7072]]), tensor([[0.7042]])]",129,150,0.3033088235294117
3,5,gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,107,40," theme of the works of Spelling is a mythopoetical paradox.
It could be said that Derrida suggests the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210","[' theme', ' of', ' the', ' works', ' of', ' Sp', 'elling', ' is', ' a', ' myth', 'opo', 'etical']","['re', 'ality', '.', ' The', ' capitalist', ' narrative', ' is', ' seen', ' as', ' an', ' imaginative', ' expression', ',', ' fueled', ' by', ' the', ' societal', ' and', ' financial', ' structures', ' that', ' Sp', 'elling', ' explores', ' in', ' his', ' works', '.']","[' paradox', '.\n', 'It', ' could', ' be', ' said', ' that', ' D', 'err', 'ida', ' suggests', ' the', ' use', ' of', ' capitalist', ' narrative', ' to', ' challenge', ' the', ' status', ' quo', '.', ' In', ' Beverly', ' Hills', ' ', '902', '10']",1.0,"reality. The capitalist narrative is seen as an imaginative expression, fueled by the societal and financial structures that Spelling explores in his works. His treatments of the capitalist paradigm can be read as a critique tracing the evolution of modern society's fascination with material"," paradox.
It could be said that Derrida suggests the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210",tensor([[0.8825]]),8,"[tensor([[0.7748]]), tensor([[0.8165]]), tensor([[0.8236]]), tensor([[0.8483]]), tensor([[0.8636]]), tensor([[0.8693]]), tensor([[0.8711]]), tensor([[0.8825]]), tensor([[0.8817]]), tensor([[0.8792]]), tensor([[0.8788]]), tensor([[0.8760]]), tensor([[0.8752]]), tensor([[0.8733]]), tensor([[0.8753]]), tensor([[0.8716]]), tensor([[0.8721]]), tensor([[0.8730]]), tensor([[0.8686]]), tensor([[0.8699]]), tensor([[0.8639]]), tensor([[0.8639]]), tensor([[0.8587]]), tensor([[0.8627]]), tensor([[0.8520]]), tensor([[0.8595]]), tensor([[0.8519]]), tensor([[0.8501]]), tensor([[0.8569]]), tensor([[0.8623]]), tensor([[0.8560]]), tensor([[0.8541]]), tensor([[0.8574]]), tensor([[0.8543]]), tensor([[0.8523]]), tensor([[0.8602]]), tensor([[0.8578]]), tensor([[0.8525]]), tensor([[0.8612]]), tensor([[0.8539]]), tensor([[0.8552]]), tensor([[0.8540]]), tensor([[0.8528]]), tensor([[0.8506]]), tensor([[0.8517]])]",106,145,0.3033088235294117
6,8,gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,552,33," Gibson is a self-supporting totality.
Thus, the example of Marxist class which is a central theme of Gibson’s All Tomorrow’s Parties is also evident in Pattern","[' Gibson', ' is', ' a', ' self', '-support', 'ing', ' tot', 'ality', '.\n', 'Thus', ',', ' the']","['main', ' thrust', ' of', ' Gibson', ""'s"", ' work', ' is', ' not', ' the', ' critique', ' of', ' capitalism', ' per', ' se', ',', ' but', ' rather', ' the', ' concept', ' that', ' society']","[' example', ' of', ' Marxist', ' class', ' which', ' is', ' a', ' central', ' theme', ' of', ' Gibson', '’s', ' All', ' Tomorrow', '’s', ' Parties', ' is', ' also', ' evident', ' in', ' Pattern']",0.9047619047619048,"main thrust of Gibson's work is not the critique of capitalism per se, but rather the concept that society has the potential to subvert and transcend it. In his opus, there is a prevailing dichotomy between hegemonic consumerist doctrine and individual", example of Marxist class which is a central theme of Gibson’s All Tomorrow’s Parties is also evident in Pattern,tensor([[0.8434]]),22,"[tensor([[0.7336]]), tensor([[0.7365]]), tensor([[0.7450]]), tensor([[0.7575]]), tensor([[0.7978]]), tensor([[0.8146]]), tensor([[0.8180]]), tensor([[0.7909]]), tensor([[0.8031]]), tensor([[0.7982]]), tensor([[0.8028]]), tensor([[0.8240]]), tensor([[0.8290]]), tensor([[0.8127]]), tensor([[0.8329]]), tensor([[0.8373]]), tensor([[0.8377]]), tensor([[0.8417]]), tensor([[0.8398]]), tensor([[0.8426]]), tensor([[0.8429]]), tensor([[0.8434]]), tensor([[0.8393]]), tensor([[0.8398]]), tensor([[0.8388]]), tensor([[0.8379]]), tensor([[0.8430]]), tensor([[0.8301]]), tensor([[0.8416]]), tensor([[0.8419]]), tensor([[0.8310]]), tensor([[0.8387]]), tensor([[0.8382]]), tensor([[0.8380]]), tensor([[0.8387]]), tensor([[0.8370]]), tensor([[0.8359]]), tensor([[0.8362]]), tensor([[0.8285]]), tensor([[0.8308]]), tensor([[0.8288]]), tensor([[0.8325]])]",551,583,0.3033088235294117
8,11,gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,28,39," to Abian[1] , it is not so much class that is intrinsically elitist, but rather the meaninglessness, and some would say the genre, of class. Lacan","[' to', ' Ab', 'ian', '[', '1', ']', ' ,', ' it', ' is', ' not', ' so', ' much', ' class']","['that', ' shapes', ' society', ',', ' but', ' rather', ' the', ' paradox', ' of', ' class', ',', ' and', ' subsequent', ' dich', 'otomy', ' of', ' identity', ' within', ' an', ' inherently', ' strat', 'ified', ' economic', ' structure', '.', ' Gibson']","[' that', ' is', ' intr', 'ins', 'ically', ' elit', 'ist', ',', ' but', ' rather', ' the', ' meaning', 'lessness', ',', ' and', ' some', ' would', ' say', ' the', ' genre', ',', ' of', ' class', '.', ' Lac', 'an']",0.9230769230769232,"that shapes society, but rather the paradox of class, and subsequent dichotomy of identity within an inherently stratified economic structure. Gibson does not merely address this inequality; through his influence, he dissects its complexities, intertwining it with his narrative thrust"," that is intrinsically elitist, but rather the meaninglessness, and some would say the genre, of class. Lacan",tensor([[0.8825]]),12,"[tensor([[0.7855]]), tensor([[0.8055]]), tensor([[0.8061]]), tensor([[0.8352]]), tensor([[0.8491]]), tensor([[0.8515]]), tensor([[0.8477]]), tensor([[0.8571]]), tensor([[0.8620]]), tensor([[0.8824]]), tensor([[0.8822]]), tensor([[0.8825]]), tensor([[0.8820]]), tensor([[0.8808]]), tensor([[0.8813]]), tensor([[0.8812]]), tensor([[0.8760]]), tensor([[0.8824]]), tensor([[0.8809]]), tensor([[0.8779]]), tensor([[0.8727]]), tensor([[0.8757]]), tensor([[0.8755]]), tensor([[0.8761]]), tensor([[0.8717]]), tensor([[0.8692]]), tensor([[0.8660]]), tensor([[0.8622]]), tensor([[0.8547]]), tensor([[0.8538]]), tensor([[0.8551]]), tensor([[0.8511]]), tensor([[0.8378]]), tensor([[0.8436]]), tensor([[0.8481]]), tensor([[0.8358]]), tensor([[0.8344]]), tensor([[0.8353]]), tensor([[0.8360]]), tensor([[0.8314]]), tensor([[0.8319]])]",27,65,0.3033088235294117
10,14,gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,594,33," An abundance of appropriations concerning Sontagist camp may be revealed.
It could be said that Sontag’s model of postcapitalist theory states that the collective","[' An', ' abundance', ' of', ' appropriations', ' concerning']","['the', ' juxtap', 'osition', ' of', ' capitalism', ' and', ' societal', ' framework', ' may', ' be', ' found', ' in', ' Gibson', ""'s"", ' works', '.', ' Just', ' as', ' the', ' underlying', ' themes', ' of', ' capitalism', ' weave', ' their', ' way', ' throughout', ' his']","[' S', 'ont', 'ag', 'ist', ' camp', ' may', ' be', ' revealed', '.\n', 'It', ' could', ' be', ' said', ' that', ' S', 'ont', 'ag', '’s', ' model', ' of', ' post', 'capital', 'ist', ' theory', ' states', ' that', ' the', ' collective']",1.0,"the juxtaposition of capitalism and societal framework may be found in Gibson's works. Just as the underlying themes of capitalism weave their way throughout his narratives, so do interpretations of corporate ethics, consumer culture, and the impact of technological advancement. Gibson's master"," Sontagist camp may be revealed.
It could be said that Sontag’s model of postcapitalist theory states that the collective",tensor([[0.8354]]),10,"[tensor([[0.7477]]), tensor([[0.7666]]), tensor([[0.7597]]), tensor([[0.7775]]), tensor([[0.7928]]), tensor([[0.8020]]), tensor([[0.8010]]), tensor([[0.8152]]), tensor([[0.8320]]), tensor([[0.8354]]), tensor([[0.8301]]), tensor([[0.8344]]), tensor([[0.7936]]), tensor([[0.7835]]), tensor([[0.8021]]), tensor([[0.7989]]), tensor([[0.8005]]), tensor([[0.8028]]), tensor([[0.8018]]), tensor([[0.7989]]), tensor([[0.8047]]), tensor([[0.7941]]), tensor([[0.7939]]), tensor([[0.7939]]), tensor([[0.7931]]), tensor([[0.7939]]), tensor([[0.7865]]), tensor([[0.7889]]), tensor([[0.7846]]), tensor([[0.7883]]), tensor([[0.7901]]), tensor([[0.7860]]), tensor([[0.7830]]), tensor([[0.7797]]), tensor([[0.7828]]), tensor([[0.7801]]), tensor([[0.7814]]), tensor([[0.7807]]), tensor([[0.7813]]), tensor([[0.7775]]), tensor([[0.7762]]), tensor([[0.7830]]), tensor([[0.7891]])]",593,625,0.3033088235294117
12,17,gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,251,29," as poet. However, the masculine/feminine distinction intrinsic to Spelling’s Models, Inc. emerges again in Melrose Place. Marx uses","[' as', ' poet', '.', ' However', ',', ' the', ' masculine']","['persona', ' is', ' presented', ' as', ' wielding', ' the', ' power', ',', ' an', ' aspect', ' particularly', ' evident', ' in', ' Gibson', ""'s"", ' ""', 'Ne', 'u', 'rom', 'ancer', '""', ' where']","['/f', 'emin', 'ine', ' distinction', ' intrinsic', ' to', ' Sp', 'elling', '’s', ' Models', ',', ' Inc', '.', ' emerges', ' again', ' in', ' Mel', 'rose', ' Place', '.', ' Marx', ' uses']",1.0,"persona is presented as wielding the power, an aspect particularly evident in Gibson's ""Neuromancer"" where the characterization of Case reiterates the dominance of capitalist ideologies. This reaffirms the existing social structures, subtly promoting a deterministic worldview. Limits","/feminine distinction intrinsic to Spelling’s Models, Inc. emerges again in Melrose Place. Marx uses",tensor([[0.8053]]),13,"[tensor([[0.7573]]), tensor([[0.7522]]), tensor([[0.7876]]), tensor([[0.7648]]), tensor([[0.7761]]), tensor([[0.7801]]), tensor([[0.7935]]), tensor([[0.7856]]), tensor([[0.7926]]), tensor([[0.8009]]), tensor([[0.8022]]), tensor([[0.8046]]), tensor([[0.8053]]), tensor([[0.7986]]), tensor([[0.7852]]), tensor([[0.7878]]), tensor([[0.7920]]), tensor([[0.7912]]), tensor([[0.7916]]), tensor([[0.7951]]), tensor([[0.7904]]), tensor([[0.7890]]), tensor([[0.7880]]), tensor([[0.7874]]), tensor([[0.7952]]), tensor([[0.7912]]), tensor([[0.7967]]), tensor([[0.7948]]), tensor([[0.7935]]), tensor([[0.7957]]), tensor([[0.7936]]), tensor([[0.7932]]), tensor([[0.7941]]), tensor([[0.7939]]), tensor([[0.7936]]), tensor([[0.7908]]), tensor([[0.7924]]), tensor([[0.7908]])]",250,278,0.3033088235294117
14,20,gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,297,30,"aterialism.
In the works of Spelling, a predominant concept is the concept of subconstructivist truth. In a sense, the characteristic theme of","['aterial', 'ism', '.\n', 'In', ' the', ' works', ' of', ' Sp', 'elling', ',', ' a', ' predominant']","['concept', ' is', ' the', ' concept', ' of', ' dialect', 'ic', ' reality', '.', ' But', ' the', ' main', ' theme', ' of', ' B', 'ux', 'ton', '’s']","[' concept', ' is', ' the', ' concept', ' of', ' sub', 'construct', 'ivist', ' truth', '.', ' In', ' a', ' sense', ',', ' the', ' characteristic', ' theme', ' of']",0.7777777777777778,"concept is the concept of dialectic reality. But the main theme of Buxton’s analysis of materialism is a self-justifying paradox. Thus, if Spelling’s cybernetic theory holds, we have to choose between capitalist narrative and"," concept is the concept of subconstructivist truth. In a sense, the characteristic theme of",tensor([[0.9153]]),13,"[tensor([[0.7460]]), tensor([[0.8909]]), tensor([[0.8867]]), tensor([[0.8839]]), tensor([[0.8590]]), tensor([[0.8866]]), tensor([[0.8752]]), tensor([[0.8890]]), tensor([[0.8952]]), tensor([[0.9011]]), tensor([[0.9040]]), tensor([[0.9115]]), tensor([[0.9153]]), tensor([[0.8787]]), tensor([[0.8829]]), tensor([[0.8842]]), tensor([[0.8850]]), tensor([[0.8738]]), tensor([[0.8768]]), tensor([[0.8655]]), tensor([[0.8782]]), tensor([[0.8808]]), tensor([[0.8745]]), tensor([[0.8792]]), tensor([[0.8754]]), tensor([[0.8783]]), tensor([[0.8720]]), tensor([[0.8601]]), tensor([[0.8592]]), tensor([[0.8577]]), tensor([[0.8577]]), tensor([[0.8575]]), tensor([[0.8543]]), tensor([[0.8557]]), tensor([[0.8549]])]",296,325,0.3033088235294117
16,23,gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,532,38," camp; in Neuromancer he reiterates capitalist narrative. The main theme of the works of Gibson is a self-supporting totality.
Thus, the example of Marxist class which is","[' camp', ';', ' in', ' Neu', 'rom']","['ancer', ' (', '198', '4', '),', ' William', ' Gibson', ' presents', ' an', ' anarch', 'istic', ' vision', ' of', ' the', ' future', ' where', ' unchecked', ' capitalism', ' and', ' technological', ' innovation', ' have', ' blurred', ' the', ' boundary', ' between', ' the', ' individual', ' and', ' corporate', ' power', '.', ' He']","['ancer', ' he', ' re', 'iter', 'ates', ' capitalist', ' narrative', '.', ' The', ' main', ' theme', ' of', ' the', ' works', ' of', ' Gibson', ' is', ' a', ' self', '-support', 'ing', ' tot', 'ality', '.\n', 'Thus', ',', ' the', ' example', ' of', ' Marxist', ' class', ' which', ' is']",0.9090909090909092,"ancer (1984), William Gibson presents an anarchistic vision of the future where unchecked capitalism and technological innovation have blurred the boundary between the individual and corporate power. He illustrates a society where humanity's greed for material wealth and advancements has led to a radical","ancer he reiterates capitalist narrative. The main theme of the works of Gibson is a self-supporting totality.
Thus, the example of Marxist class which is",tensor([[0.8917]]),16,"[tensor([[0.7336]]), tensor([[0.7907]]), tensor([[0.8045]]), tensor([[0.8036]]), tensor([[0.8506]]), tensor([[0.8512]]), tensor([[0.8630]]), tensor([[0.8704]]), tensor([[0.8781]]), tensor([[0.8842]]), tensor([[0.8857]]), tensor([[0.8718]]), tensor([[0.8781]]), tensor([[0.8671]]), tensor([[0.8852]]), tensor([[0.8917]]), tensor([[0.8816]]), tensor([[0.8812]]), tensor([[0.8825]]), tensor([[0.8806]]), tensor([[0.8852]]), tensor([[0.8810]]), tensor([[0.8823]]), tensor([[0.8841]]), tensor([[0.8829]]), tensor([[0.8859]]), tensor([[0.8853]]), tensor([[0.8810]]), tensor([[0.8880]]), tensor([[0.8855]]), tensor([[0.8862]]), tensor([[0.8878]]), tensor([[0.8879]]), tensor([[0.8860]]), tensor([[0.8840]]), tensor([[0.8846]]), tensor([[0.8851]]), tensor([[0.8850]]), tensor([[0.8863]]), tensor([[0.8837]]), tensor([[0.8830]]), tensor([[0.8832]]), tensor([[0.8833]]), tensor([[0.8838]]), tensor([[0.8839]])]",531,568,0.3033088235294117
18,26,gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,504,31," we have to choose between modernist theory and the postcultural paradigm of narrative.
But in Pattern Recognition, Gibson analyses Sontagist camp; in","[' we', ' have', ' to', ' choose', ' between', ' modern', 'ist', ' theory', ' and', ' the', ' post']","['structural', 'ist', ' paradigm', ' of', ' context', '.', ' Modern', 'ist', ' theory', ' suggests', ' a', ' reinforcement', ' of', ' existing', ' power', ' structures', ',', ' emphasizing', ' linear', ' progression']","['c', 'ultural', ' paradigm', ' of', ' narrative', '.\n', 'But', ' in', ' Pattern', ' Recognition', ',', ' Gibson', ' analyses', ' S', 'ont', 'ag', 'ist', ' camp', ';', ' in']",0.9,"structuralist paradigm of context. Modernist theory suggests a reinforcement of existing power structures, emphasizing linear progression and objective reality. The poststructuralist paradigm, on the other hand, dismantles and reconfigures these structures, highlighting the fragmented, subjective nature","cultural paradigm of narrative.
But in Pattern Recognition, Gibson analyses Sontagist camp; in",tensor([[0.8454]]),5,"[tensor([[0.7508]]), tensor([[0.7721]]), tensor([[0.8118]]), tensor([[0.8312]]), tensor([[0.8454]]), tensor([[0.8328]]), tensor([[0.8261]]), tensor([[0.8412]]), tensor([[0.8420]]), tensor([[0.8269]]), tensor([[0.8292]]), tensor([[0.8243]]), tensor([[0.8134]]), tensor([[0.8116]]), tensor([[0.8027]]), tensor([[0.8012]]), tensor([[0.8043]]), tensor([[0.8033]]), tensor([[0.8015]]), tensor([[0.8071]]), tensor([[0.8071]]), tensor([[0.8007]]), tensor([[0.8048]]), tensor([[0.8026]]), tensor([[0.8011]]), tensor([[0.8012]]), tensor([[0.8056]]), tensor([[0.7989]]), tensor([[0.7998]]), tensor([[0.7976]]), tensor([[0.7958]]), tensor([[0.8012]]), tensor([[0.7941]]), tensor([[0.7973]]), tensor([[0.8004]]), tensor([[0.7930]]), tensor([[0.7921]])]",503,533,0.3033088235294117
20,29,gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,361,25,"ton’s[3] critique of capitalist narrative is the stasis, and some would say the meaninglessness, of predialect","['ton', '’s', '[', '3', ']', ' critique', ' of', ' capitalist']","['n', 'arr', 'ative', ' states', ' that', ' society', ' has', ' an', ' inherent', ' obligation', ' to', ' challenge', ',', ' and', ' eventually', ' transform', ',']","[' narrative', ' is', ' the', ' st', 'asis', ',', ' and', ' some', ' would', ' say', ' the', ' meaning', 'lessness', ',', ' of', ' pred', 'ialect']",1.0,"narrative states that society has an inherent obligation to challenge, and eventually transform, existing social hierarchies in order to promote equitable distribution of resources and opportunities. He highlights that Gibson's works, rich in cyberpunk ethos, serve as a sub"," narrative is the stasis, and some would say the meaninglessness, of predialect",tensor([[0.8810]]),15,"[tensor([[0.7806]]), tensor([[0.8490]]), tensor([[0.8320]]), tensor([[0.8677]]), tensor([[0.8714]]), tensor([[0.8723]]), tensor([[0.8733]]), tensor([[0.8718]]), tensor([[0.8685]]), tensor([[0.8689]]), tensor([[0.8679]]), tensor([[0.8695]]), tensor([[0.8768]]), tensor([[0.8809]]), tensor([[0.8810]]), tensor([[0.8740]]), tensor([[0.8612]]), tensor([[0.8567]]), tensor([[0.8590]]), tensor([[0.8573]]), tensor([[0.8602]]), tensor([[0.8566]]), tensor([[0.8520]]), tensor([[0.8478]]), tensor([[0.8505]]), tensor([[0.8475]]), tensor([[0.8492]]), tensor([[0.8495]]), tensor([[0.8447]]), tensor([[0.8439]]), tensor([[0.8401]]), tensor([[0.8370]]), tensor([[0.8337]]), tensor([[0.8310]]), tensor([[0.8309]]), tensor([[0.8301]]), tensor([[0.8258]]), tensor([[0.8255]]), tensor([[0.8266]]), tensor([[0.8296]])]",360,384,0.3033088235294117
