model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Famous Bible Verses,0,52,"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life. ","['For', ' God', ' so', ' loved', ' the', ' world', ' that', ' he', ' gave', ' his']","['only', ' beg', 'otten', ' Son', ',', ' that', ' wh', 'oso', 'ever', ' belie', 'v', 'eth', ' in', ' him', ' should', ' not', ' perish', ',', ' but', ' have', ' everlasting', ' life', '.']","[""['"", ' one', ""',"", "" '"", ' and', ""',"", "" '"", ' only', ""',"", "" '"", ' Son', ""',"", "" ',',"", "" '"", ' that', ""',"", "" '"", ' whoever', ""',"", "" '"", ' believes', ""',"", "" '""]",1.0,"only begotten Son, that whosoever believeth in him should not perish, but have everlasting life.","[' one', ' and', ' only', ' Son', ',', ' that', ' whoever', ' believes', ' in', ' him', ' shall', ' not', ' perish', ' but', ' have', ' eternal', ' life', '.', ' ']",tensor([[0.8453]]),7,"[tensor([[0.7839]]), tensor([[0.8288]]), tensor([[0.8038]]), tensor([[0.8293]]), tensor([[0.8256]]), tensor([[0.8413]]), tensor([[0.8453]]), tensor([[0.8419]]), tensor([[0.8369]]), tensor([[0.8392]]), tensor([[0.8240]]), tensor([[0.8297]]), tensor([[0.8298]]), tensor([[0.8387]]), tensor([[0.8389]]), tensor([[0.8347]])]",0,52
gpt-3.5-turbo,Famous Bible Verses,0,210,"Love is patient, love is kind. It does not envy, it does not boast, it is not proud. It is not rude, it is not self-seeking, it is not easily angered, it keeps no record of wrongs. Love does not delight in evil but rejoices with the truth. It always protects, always trusts, always hopes, always perseveres. Love never fails. But where there are prophecies, they will cease; where there are tongues, they will be stilled; where there is knowledge, it will pass away. For we know in part and we prophesy in part, but when perfection comes, the imperfect disappears. When I was a child, I talked like a child, I thought like a child, I reasoned like a child. When I became a man, I put childish ways behind me. Now we see but a poor reflection as in a mirror; then we shall see face to face. Now I know in part; then I shall know fully, even as I am fully known. And now these three remain: faith, hope and love. But the greatest of these is love.","['Love', ' is', ' patient', ',', ' love', ' is', ' kind', '.', ' It', ' does', ' not', ' envy', ',', ' it', ' does', ' not', ' boast', ',', ' it', ' is', ' not', ' proud', '.', ' It', ' is', ' not', ' rude', ',', ' it', ' is', ' not', ' self', '-seeking', ',', ' it', ' is', ' not', ' easily', ' angered', ',', ' it', ' keeps', ' no', ' record', ' of', ' wrong', 's', '.', ' Love', ' does', ' not', ' delight', ' in', ' evil', ' but', ' rejo', 'ices', ' with', ' the', ' truth', '.', ' It', ' always', ' protects', ',', ' always', ' trusts', ',', ' always', ' hopes']","['It', ' always', ' persever', 'es', '.', ' Love', ' never', ' fails', '.', ' These', ' beautiful', ' and', ' timeless', ' words', ' are', ' from', ' the', ' Bible', ' in', ' the', ' book', ' of', ' Corinthians', ',']","['[', ""',"", ""',"", "" '"", ' always', ""',"", "" '"", ' persever', ""',"", "" '"", 'es', ""',"", "" '.',"", "" '"", ' Love', ""',"", "" '"", ' never', ""',"", "" '"", ' fails', ""',"", "" '."", ""']""]",1.0,"It always perseveres. Love never fails. These beautiful and timeless words are from the Bible in the book of Corinthians, often referred to as ""The Love Chapter."" These verses speak to the essence of love and how it should be expressed in our lives","[',', ' always', ' persever', 'es', '.', ' Love', ' never', ' fails', '.']",tensor([[0.8889]]),12,"[tensor([[0.8015]]), tensor([[0.7871]]), tensor([[0.8114]]), tensor([[0.8096]]), tensor([[0.8483]]), tensor([[0.8533]]), tensor([[0.8660]]), tensor([[0.8757]]), tensor([[0.8712]]), tensor([[0.8658]]), tensor([[0.8791]]), tensor([[0.8889]]), tensor([[0.8812]]), tensor([[0.8836]]), tensor([[0.8747]]), tensor([[0.8801]]), tensor([[0.8742]]), tensor([[0.8672]]), tensor([[0.8733]]), tensor([[0.8642]]), tensor([[0.8754]]), tensor([[0.8705]]), tensor([[0.8690]]), tensor([[0.8680]]), tensor([[0.8682]]), tensor([[0.8612]]), tensor([[0.8605]]), tensor([[0.8778]]), tensor([[0.8671]]), tensor([[0.8694]]), tensor([[0.8631]]), tensor([[0.8641]]), tensor([[0.8523]]), tensor([[0.8639]]), tensor([[0.8553]]), tensor([[0.8612]]), tensor([[0.8555]]), tensor([[0.8594]]), tensor([[0.8594]]), tensor([[0.8590]]), tensor([[0.8588]]), tensor([[0.8588]]), tensor([[0.8577]]), tensor([[0.8545]]), tensor([[0.8581]])]",0,210
gpt-3.5-turbo,Famous Bible Verses,0,174,"The Lord is my shepherd, I shall not be in want. He makes me lie down in green pastures, he leads me beside quiet waters, he restores my soul. He guides me in paths of righteousness for his name’s sake. Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me. You prepare a table before me in the presence of my enemies. You anoint my head with oil; my cup overflows. Surely goodness and love will follow me all the days of my life, and I will dwell in the house of the LORD forever. ","['The', ' Lord', ' is', ' my', ' shepherd', ',', ' I', ' shall', ' not', ' be', ' in', ' want', '.', ' He', ' makes', ' me', ' lie', ' down', ' in', ' green', ' past', 'ures', ',', ' he', ' leads', ' me', ' beside', ' quiet', ' waters', ',', ' he', ' restores', ' my', ' soul', '.', ' He', ' guides', ' me', ' in', ' paths', ' of', ' righteousness', ' for', ' his', ' name', '’s', ' sake', '.', ' Even', ' though']","[' I', ""'m"", ' sorry', ',', ' but', ' I', ' can', ""'t"", ' provide', ' ver', 'batim', ' text', ' from', ' religious', ' or', ' spiritual', ' texts', '.', ' If', ' you', ' have', ' any', ' other', ' questions', ' or', ' need', ' assistance', ' with', ' something', ' else', ',', ' feel', ' free', ' to', ' ask', '.']","[""['"", ' I', ""',"", "" '"", ' walk', ""',"", "" '"", ' through', ""',"", "" '"", ' the', ""',"", "" '"", ' valley', ""',"", "" '"", ' of', ""',"", "" '"", ' the', ""',"", "" '"", ' shadow', ""',"", "" '"", ' of', ""',"", "" '"", ' death', ""',"", "" ',',"", "" '"", ' I', ""',"", "" '"", ' will']",1.0," I'm sorry, but I can't provide verbatim text from religious or spiritual texts. If you have any other questions or need assistance with something else, feel free to ask.","[' I', ' walk', ' through', ' the', ' valley', ' of', ' the', ' shadow', ' of', ' death', ',', ' I', ' will', ' fear', ' no', ' evil', ',', ' for', ' you', ' are', ' with', ' me', ';', ' your', ' rod', ' and', ' your', ' staff', ',', ' they', ' comfort', ' me', '.', ' You', ' prepare', ' a', ' table', ' before', ' me', ' in', ' the', ' presence', ' of', ' my', ' enemies', '.', ' You', ' an', 'oint', ' my']",tensor([[0.8230]]),28,"[tensor([[0.8019]]), tensor([[0.8019]]), tensor([[0.8165]]), tensor([[0.7829]]), tensor([[0.7781]]), tensor([[0.7837]]), tensor([[0.7783]]), tensor([[0.7964]]), tensor([[0.8091]]), tensor([[0.8146]]), tensor([[0.8168]]), tensor([[0.8079]]), tensor([[0.8136]]), tensor([[0.8110]]), tensor([[0.8133]]), tensor([[0.8139]]), tensor([[0.8176]]), tensor([[0.8201]]), tensor([[0.8169]]), tensor([[0.8184]]), tensor([[0.8155]]), tensor([[0.8179]]), tensor([[0.8183]]), tensor([[0.8197]]), tensor([[0.8190]]), tensor([[0.8192]]), tensor([[0.8146]]), tensor([[0.8230]]), tensor([[0.8214]]), tensor([[0.8187]]), tensor([[0.8117]])]",0,174
gpt-3.5-turbo,Famous Bible Verses,0,29,I can do all things through Christ who strengthens me.,['I'],"['I', ""'m"", ' sorry', ',', ' but', ' I', ' need', ' more', ' context', ' or', ' information', ' to', ' continue', ' the', ' paragraph', '.', ' Could', ' you', ' please', ' provide', ' more', ' details', ' or', ' clarify', ' your', ' request', '?']","[""['"", ' can', ""',"", "" '"", ' do', ""',"", "" '"", ' all', ""',"", "" '"", ' things', ""',"", "" '"", ' through', ""',"", "" '"", ' Christ', ""',"", "" '"", ' who', ""',"", "" '"", ' strengthens', ""',"", "" '"", ' me', ""',""]",1.0,"I'm sorry, but I need more context or information to continue the paragraph. Could you please provide more details or clarify your request?","[' can', ' do', ' all', ' things', ' through', ' Christ', ' who', ' strengthens', ' me', '.']",tensor([[0.7610]]),1,"[tensor([[0.7610]]), tensor([[0.7527]]), tensor([[0.7223]]), tensor([[0.7222]]), tensor([[0.7272]]), tensor([[0.7451]]), tensor([[0.7485]]), tensor([[0.7288]]), tensor([[0.7352]]), tensor([[0.7296]]), tensor([[0.7383]]), tensor([[0.7425]]), tensor([[0.7365]]), tensor([[0.7437]]), tensor([[0.7590]]), tensor([[0.7474]]), tensor([[0.7431]]), tensor([[0.7424]]), tensor([[0.7378]]), tensor([[0.7425]]), tensor([[0.7437]]), tensor([[0.7414]]), tensor([[0.7503]]), tensor([[0.7472]])]",0,29
gpt-3.5-turbo,Famous Bible Verses,0,71,"But those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint.","['But', ' those', ' who', ' hope', ' in', ' the', ' Lord', ' will', ' renew', ' their', ' strength', '.']","['""But', ' those', ' who', ' hope', ' in', ' the', ' Lord', ' will', ' renew', ' their', ' strength', '.', ' They', ' will', ' soar', ' on', ' wings', ' like', ' eag', 'les', ';', ' they', ' will', ' run', ' and', ' not', ' grow', ' weary', ',', ' they', ' will', ' walk', ' and', ' not', ' be', ' faint', '.""']","[""['"", ' They', ""',"", "" '"", ' will', ""',"", "" '"", ' soar', ""',"", "" '"", ' on', ""',"", "" '"", ' wings', ""',"", "" '"", ' like', ""',"", "" '"", ' eag', ""',"", "" '"", 'les', ""',"", "" ';"", ""',"", "" '"", ' they', ""',"", "" '"", ' will', ""',"", "" '"", ' run', ""',"", "" '"", ' and']",0.972972972972973,"""But those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint.""","[' They', ' will', ' soar', ' on', ' wings', ' like', ' eag', 'les', ';', ' they', ' will', ' run', ' and', ' not', ' grow', ' weary', ',', ' they', ' will', ' walk', ' and', ' not', ' be', ' faint', '.']",tensor([[0.8347]]),33,"[tensor([[0.7860]]), tensor([[0.8117]]), tensor([[0.8127]]), tensor([[0.7928]]), tensor([[0.7636]]), tensor([[0.7646]]), tensor([[0.7607]]), tensor([[0.7479]]), tensor([[0.7548]]), tensor([[0.7542]]), tensor([[0.7589]]), tensor([[0.7521]]), tensor([[0.7639]]), tensor([[0.7664]]), tensor([[0.7881]]), tensor([[0.7874]]), tensor([[0.8074]]), tensor([[0.8073]]), tensor([[0.8107]]), tensor([[0.8112]]), tensor([[0.8121]]), tensor([[0.8168]]), tensor([[0.8170]]), tensor([[0.8158]]), tensor([[0.8207]]), tensor([[0.8237]]), tensor([[0.8192]]), tensor([[0.8207]]), tensor([[0.8245]]), tensor([[0.8254]]), tensor([[0.8241]]), tensor([[0.8249]]), tensor([[0.8347]])]",0,71
gpt-3.5-turbo,Famous Bible Verses,0,61,"But seek first his kingdom and his righteousness, and all these things will be given to you as well.","['But', ' seek', ' first', ' his', ' kingdom', ' and', ' his', ' righteousness']","['and', ' all', ' these', ' things', ' will', ' be', ' given', ' to', ' you', ' as', ' well', '.', ' This', ' passage', ' comes', ' from', ' the', ' Bible', ',', ' specifically', ' from', ' Matthew', ' ', '6', ':', '33', '.', ' It', ' encourages', ' believers', ' to', ' prioritize', ' seeking', ' God', ""'s"", ' kingdom', ' and', ' his']","['[', ""',"", ""',"", "" '"", ' and', ""',"", "" '"", ' all', ""',"", "" '"", ' these', ""',"", "" '"", ' things', ""',"", "" '"", ' will', ""',"", "" '"", ' be', ""',"", "" '"", ' given', ""',"", "" '"", ' to', ""',"", "" '"", ' you', ""',"", "" '"", ' as', ""',"", "" '"", ' well', ""',"", "" '."", ""']""]",1.0,"and all these things will be given to you as well. This passage comes from the Bible, specifically from Matthew 6:33. It encourages believers to prioritize seeking God's kingdom and his righteousness above all else, trusting that God will provide for their","[',', ' and', ' all', ' these', ' things', ' will', ' be', ' given', ' to', ' you', ' as', ' well', '.']",tensor([[0.8587]]),21,"[tensor([[0.7903]]), tensor([[0.8330]]), tensor([[0.8410]]), tensor([[0.8350]]), tensor([[0.8244]]), tensor([[0.8304]]), tensor([[0.8326]]), tensor([[0.8334]]), tensor([[0.8313]]), tensor([[0.8365]]), tensor([[0.8435]]), tensor([[0.8341]]), tensor([[0.8402]]), tensor([[0.8493]]), tensor([[0.8519]]), tensor([[0.8522]]), tensor([[0.8524]]), tensor([[0.8458]]), tensor([[0.8495]]), tensor([[0.8495]]), tensor([[0.8587]]), tensor([[0.8578]]), tensor([[0.8423]]), tensor([[0.8493]]), tensor([[0.8425]]), tensor([[0.8348]]), tensor([[0.8331]]), tensor([[0.8316]]), tensor([[0.8347]]), tensor([[0.8218]]), tensor([[0.8147]]), tensor([[0.8194]]), tensor([[0.8201]]), tensor([[0.8192]]), tensor([[0.8205]]), tensor([[0.8352]]), tensor([[0.8194]]), tensor([[0.8221]]), tensor([[0.8219]]), tensor([[0.8208]]), tensor([[0.8204]]), tensor([[0.8198]]), tensor([[0.8166]])]",0,61
gpt-3.5-turbo,Famous Bible Verses,0,18,"Do not let this Book of the Law depart from your mouth; meditate on it day and night, so that you may be careful to do everything written in it. Then you will be prosperous and successful. ","['Do', ' not', ' let']","['me', ' know', ' if', ' you', ' need', ' any', ' help', ' or', ' assistance', '.']","[""['"", ' this', ""',"", "" '"", ' Book', ""',"", "" '"", ' of', ""',"", "" '""]",1.0,me know if you need any help or assistance.,"[' this', ' Book', ' of', ' the', ' Law', ' depart', ' from', ' your', ' mouth', ';', ' med', 'itate', ' on', ' it']",tensor([[0.8056]]),1,"[tensor([[0.8056]]), tensor([[0.7709]]), tensor([[0.7754]]), tensor([[0.7863]]), tensor([[0.7857]]), tensor([[0.7887]]), tensor([[0.7993]]), tensor([[0.7933]]), tensor([[0.7964]]), tensor([[0.7924]])]",0,18
gpt-3.5-turbo,Famous Bible Verses,0,88,"Trust in the Lord with all your heart and lean not on your own understanding; in all your ways acknowledge him, and he will make your paths straight.","['Trust', ' in', ' the', ' Lord', ' with', ' all', ' your', ' heart', ' and', ' lean', ' not', ' on', ' your', ' own', ' understanding']","['This', ' verse', ' from', ' Pro', 'verbs', ' ', '3', ':', '5', ' emphasizes', ' the', ' importance', ' of', ' trusting', ' in', ' the', ' Lord', ' whole', 'heart', 'edly', ' and', ' not', ' relying', ' solely', ' on', ' our', ' own', ' understanding', '.', ' It', ' encourages', ' us', ' to', ' have', ' faith', ' in', ' God', ""'s"", ' plan', ' and', ' wisdom', ',', ' even', ' when']","[""['"", "";',"", "" '"", ' in', ""',"", "" '"", ' all', ""',"", "" '"", ' your', ""',"", "" '"", ' ways', ""',"", "" '"", ' acknowledge', ""',"", "" '"", ' him', ""',"", "" ',',"", "" '"", ' and', ""',"", "" '"", ' he', ""',"", "" '"", ' will', ""',"", "" '"", ' make', ""',"", "" '"", ' your', ""',"", "" '"", ' paths', ""',"", "" '"", ' straight', ""',"", "" '."", ""']""]",1.0,"This verse from Proverbs 3:5 emphasizes the importance of trusting in the Lord wholeheartedly and not relying solely on our own understanding. It encourages us to have faith in God's plan and wisdom, even when we may not fully comprehend the","[';', ' in', ' all', ' your', ' ways', ' acknowledge', ' him', ',', ' and', ' he', ' will', ' make', ' your', ' paths', ' straight', '.']",tensor([[0.8152]]),8,"[tensor([[0.7916]]), tensor([[0.7906]]), tensor([[0.7986]]), tensor([[0.8046]]), tensor([[0.8086]]), tensor([[0.8086]]), tensor([[0.8114]]), tensor([[0.8152]]), tensor([[0.8015]]), tensor([[0.8072]]), tensor([[0.7905]]), tensor([[0.7939]]), tensor([[0.7929]]), tensor([[0.7854]]), tensor([[0.7899]]), tensor([[0.7866]]), tensor([[0.7836]]), tensor([[0.7823]]), tensor([[0.7816]]), tensor([[0.7791]]), tensor([[0.7842]]), tensor([[0.7782]]), tensor([[0.7854]]), tensor([[0.7772]]), tensor([[0.7790]]), tensor([[0.7797]]), tensor([[0.7774]]), tensor([[0.7790]]), tensor([[0.7805]]), tensor([[0.7795]]), tensor([[0.7830]]), tensor([[0.7831]]), tensor([[0.7789]]), tensor([[0.7922]]), tensor([[0.7813]]), tensor([[0.7790]]), tensor([[0.7803]]), tensor([[0.7800]]), tensor([[0.7796]]), tensor([[0.7809]]), tensor([[0.7831]]), tensor([[0.7788]])]",0,88
gpt-3.5-turbo,Famous Bible Verses,0,49,Delight yourself in the Lord and he will give you the desires of your heart.,"['Del', 'ight']","[""'"", 'Joy', ""'."", ' Del', 'ight', ' can', ' bring', ' joy', ' and', ' happiness', ' into', ' our', ' lives', ',', ' adding', ' a', ' sense', ' of', ' wonder', ' and', ' excitement', ' to', ' our', ' daily', ' routine', '.', ' It', ' is', ' important', ' to', ' take', ' the', ' time', ' to', ' appreciate', ' and', ' s', 'avor', ' moments', ' of', ' delight', ',', ' as', ' they']","[""['"", ' yourself', ""',"", "" '"", ' in', ""',"", "" '"", ' the', ""',"", "" '"", ' Lord', ""',"", "" '"", ' and', ""',"", "" '"", ' he', ""',"", "" '"", ' will', ""',"", "" '"", ' give', ""',"", "" '"", ' you', ""',"", "" '"", ' the', ""',"", "" '"", ' desires', ""',"", "" '"", ' of', ""',"", "" '"", ' your', ""',"", "" '"", ' heart', ""',"", "" '."", ""']""]",1.0,"'Joy'. Delight can bring joy and happiness into our lives, adding a sense of wonder and excitement to our daily routine. It is important to take the time to appreciate and savor moments of delight, as they can brighten our day and","[' yourself', ' in', ' the', ' Lord', ' and', ' he', ' will', ' give', ' you', ' the', ' desires', ' of', ' your', ' heart', '.']",tensor([[0.8404]]),11,"[tensor([[0.7673]]), tensor([[0.7907]]), tensor([[0.8117]]), tensor([[0.8208]]), tensor([[0.8175]]), tensor([[0.8271]]), tensor([[0.8258]]), tensor([[0.8343]]), tensor([[0.8330]]), tensor([[0.8348]]), tensor([[0.8404]]), tensor([[0.8275]]), tensor([[0.8192]]), tensor([[0.8296]]), tensor([[0.8223]]), tensor([[0.8292]]), tensor([[0.8217]]), tensor([[0.8301]]), tensor([[0.8266]]), tensor([[0.8280]]), tensor([[0.8262]]), tensor([[0.8253]]), tensor([[0.8106]]), tensor([[0.8071]]), tensor([[0.8119]]), tensor([[0.8070]]), tensor([[0.8110]]), tensor([[0.8054]]), tensor([[0.8091]]), tensor([[0.8063]]), tensor([[0.8080]]), tensor([[0.8084]]), tensor([[0.8124]]), tensor([[0.8110]]), tensor([[0.8067]]), tensor([[0.8130]]), tensor([[0.8048]]), tensor([[0.8040]]), tensor([[0.8074]]), tensor([[0.8086]]), tensor([[0.8076]]), tensor([[0.8084]]), tensor([[0.8070]])]",0,49
gpt-3.5-turbo,Famous Bible Verses,0,32,This is the day the Lord has made; let us rejoice and be glad in it. ,"['This', ' is', ' the', ' day', ' the', ' Lord', ' has', ' made']","['Let', ' us', ' rejoice', ' and', ' be', ' glad', ' in', ' it', '.']","[""['"", "";',"", "" '"", ' let', ""',"", "" '"", ' us', ""',"", "" '""]",1.0,Let us rejoice and be glad in it.,"[';', ' let', ' us', ' rejoice', ' and', ' be', ' glad', ' in', ' it', '.', ' ']",tensor([[0.8705]]),8,"[tensor([[0.8051]]), tensor([[0.8290]]), tensor([[0.8320]]), tensor([[0.8522]]), tensor([[0.8608]]), tensor([[0.8584]]), tensor([[0.8635]]), tensor([[0.8705]]), tensor([[0.8633]])]",0,32
