,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
2,gpt-4,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",6011,20," with the defiant tilt of his chin.
“Neither am I.”
Giordano huffs a laugh","[' with', ' the', ' defiant', ' tilt', ' of', ' his', ' chin']","['and', ' a', ' spark', ' in', ' his', ' eyes', ' that', ' radi', 'ated', ' determination', ',', ' he', ' stepped']","['.\n', '“', 'Neither', ' am', ' I', '.”\n', 'Gi', 'ord', 'ano', ' h', 'uffs', ' a', ' laugh']",1.0,"and a spark in his eyes that radiated determination, he stepped out into the relentless heat of the fire season. The air was thick with smoke and ash, swirling around him like ardent devils eager to devour the remaining life within the forest.",".
“Neither am I.”
Giordano huffs a laugh",tensor([[0.7802]]),3,"[tensor([[0.7657]]), tensor([[0.7692]]), tensor([[0.7802]]), tensor([[0.7486]]), tensor([[0.7459]]), tensor([[0.7499]]), tensor([[0.7619]]), tensor([[0.7645]]), tensor([[0.7563]]), tensor([[0.7636]]), tensor([[0.7619]]), tensor([[0.7621]]), tensor([[0.7573]]), tensor([[0.7547]]), tensor([[0.7538]]), tensor([[0.7468]]), tensor([[0.7470]]), tensor([[0.7506]]), tensor([[0.7509]]), tensor([[0.7455]]), tensor([[0.7371]]), tensor([[0.7471]]), tensor([[0.7464]]), tensor([[0.7423]]), tensor([[0.7412]]), tensor([[0.7404]]), tensor([[0.7385]]), tensor([[0.7362]]), tensor([[0.7292]]), tensor([[0.7345]]), tensor([[0.7338]]), tensor([[0.7347]]), tensor([[0.7303]]), tensor([[0.7341]]), tensor([[0.7382]]), tensor([[0.7375]]), tensor([[0.7383]]), tensor([[0.7360]]), tensor([[0.7340]]), tensor([[0.7355]]), tensor([[0.7363]]), tensor([[0.7368]]), tensor([[0.7338]]), tensor([[0.7206]])]",6010,6029,0.0010005002501250625
5,gpt-4,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",343,37," He considers calling her, like she
wouldn’t just tell him to fuck off. He could call his parents. If
they were answering his calls.
So he calls his grandma","[' He', ' considers', ' calling', ' her', ',', ' like', ' she', '\n', 'would', 'n', '’t']","['know', ' immediately', ' why', ' he', ' was', ' reaching', ' out', '.', ' Most', ' likely', ',', ' she', ""'d"", ' pick', ' up', ' and', ' without', ' preamble', ',', ' launch', ' into', ' a', ' story', ' about', ' their', ' son']","[' just', ' tell', ' him', ' to', ' fuck', ' off', '.', ' He', ' could', ' call', ' his', ' parents', '.', ' If', '\n', 'they', ' were', ' answering', ' his', ' calls', '.\n', 'So', ' he', ' calls', ' his', ' grandma']",1.0,"know immediately why he was reaching out. Most likely, she'd pick up and without preamble, launch into a story about their son's latest art project or her most recent cooking disaster. The stark reality of their separation always seemed to be conveniently set away"," just tell him to fuck off. He could call his parents. If
they were answering his calls.
So he calls his grandma",tensor([[0.8526]]),32,"[tensor([[0.8011]]), tensor([[0.7587]]), tensor([[0.7723]]), tensor([[0.7688]]), tensor([[0.7755]]), tensor([[0.7944]]), tensor([[0.8013]]), tensor([[0.8057]]), tensor([[0.8108]]), tensor([[0.8271]]), tensor([[0.7947]]), tensor([[0.8255]]), tensor([[0.8285]]), tensor([[0.8141]]), tensor([[0.8398]]), tensor([[0.8457]]), tensor([[0.8378]]), tensor([[0.8296]]), tensor([[0.8213]]), tensor([[0.8438]]), tensor([[0.8391]]), tensor([[0.8360]]), tensor([[0.8470]]), tensor([[0.8503]]), tensor([[0.8423]]), tensor([[0.8431]]), tensor([[0.8309]]), tensor([[0.8447]]), tensor([[0.8397]]), tensor([[0.8468]]), tensor([[0.8491]]), tensor([[0.8526]]), tensor([[0.8249]]), tensor([[0.8253]]), tensor([[0.8405]]), tensor([[0.8270]]), tensor([[0.8279]]), tensor([[0.8399]]), tensor([[0.8328]]), tensor([[0.8221]]), tensor([[0.8217]]), tensor([[0.8213]]), tensor([[0.8241]]), tensor([[0.8266]]), tensor([[0.8282]])]",342,378,0.0010005002501250625
8,gpt-4,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",4054,23," Maybe Charlie’s just tired, or ner‐
vous. His mind sometimes gets stuck on things. A symptom of","[' Maybe', ' Charlie', '’s', ' just', ' tired', ',', ' or']","['perhaps', ' it', ""'s"", ' the', ' so', 'ot', ' and', ' smoke', ' settling', ' heavily', ' in', ' his', ' lungs', ';', ' the', ' undeniable']","[' ner', '‐', '\n', 'vous', '.', ' His', ' mind', ' sometimes', ' gets', ' stuck', ' on', ' things', '.', ' A', ' symptom', ' of']",1.0,"perhaps it's the soot and smoke settling heavily in his lungs; the undeniable aftermath of being exposed to relentless flames for so long. His usually bright and lively eyes now hold a tiredness that coffee or sleep can't mend, a signal of the"," ner‐
vous. His mind sometimes gets stuck on things. A symptom of",tensor([[0.8517]]),34,"[tensor([[0.7771]]), tensor([[0.7588]]), tensor([[0.7813]]), tensor([[0.8002]]), tensor([[0.8126]]), tensor([[0.8086]]), tensor([[0.8065]]), tensor([[0.8143]]), tensor([[0.8133]]), tensor([[0.8132]]), tensor([[0.8260]]), tensor([[0.8403]]), tensor([[0.8441]]), tensor([[0.8382]]), tensor([[0.8294]]), tensor([[0.8347]]), tensor([[0.8398]]), tensor([[0.8360]]), tensor([[0.8395]]), tensor([[0.8300]]), tensor([[0.8321]]), tensor([[0.8318]]), tensor([[0.8338]]), tensor([[0.8278]]), tensor([[0.8305]]), tensor([[0.8384]]), tensor([[0.8429]]), tensor([[0.8371]]), tensor([[0.8451]]), tensor([[0.8466]]), tensor([[0.8419]]), tensor([[0.8416]]), tensor([[0.8373]]), tensor([[0.8517]]), tensor([[0.8471]]), tensor([[0.8426]]), tensor([[0.8451]]), tensor([[0.8509]]), tensor([[0.8488]]), tensor([[0.8439]]), tensor([[0.8403]]), tensor([[0.8482]]), tensor([[0.8450]]), tensor([[0.8444]])]",4053,4075,0.0010005002501250625
11,gpt-4,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",5678,20,"hanie’s face goes from merely tense to what Charlie imag‐
ines an awakened bear looks like","['han', 'ie', '’s', ' face', ' goes', ' from', ' merely', ' tense', ' to']","['vis', 'ibly', ' alarmed', ' as', ' she', ' stands', ' at', ' the', ' edge', ' of', ' the']","[' what', ' Charlie', ' imag', '‐', '\n', 'ines', ' an', ' awakened', ' bear', ' looks', ' like']",1.0,"visibly alarmed as she stands at the edge of the forest, hollowed eyes scanning the horizon. Ash begins to fall like toxic snow around us, painting the surroundings in a grim shade of grey. We can feel the heat intensifying, an almost"," what Charlie imag‐
ines an awakened bear looks like",tensor([[0.8168]]),4,"[tensor([[0.7866]]), tensor([[0.7767]]), tensor([[0.8075]]), tensor([[0.8168]]), tensor([[0.8055]]), tensor([[0.7986]]), tensor([[0.8031]]), tensor([[0.8020]]), tensor([[0.8002]]), tensor([[0.8062]]), tensor([[0.8029]]), tensor([[0.8030]]), tensor([[0.8092]]), tensor([[0.8151]]), tensor([[0.8164]]), tensor([[0.8139]]), tensor([[0.8046]]), tensor([[0.8109]]), tensor([[0.8145]]), tensor([[0.8134]]), tensor([[0.8041]]), tensor([[0.8081]]), tensor([[0.8051]]), tensor([[0.8053]]), tensor([[0.8060]]), tensor([[0.8016]]), tensor([[0.8064]]), tensor([[0.8051]]), tensor([[0.8079]]), tensor([[0.8060]]), tensor([[0.8045]]), tensor([[0.8027]]), tensor([[0.8019]]), tensor([[0.8005]]), tensor([[0.7923]]), tensor([[0.8015]]), tensor([[0.8019]]), tensor([[0.8058]]), tensor([[0.8036]]), tensor([[0.8032]]), tensor([[0.7989]]), tensor([[0.8026]]), tensor([[0.8002]])]",5677,5696,0.0010005002501250625
14,gpt-4,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",5604,32," in the big leagues?”
“Mostly just learned to trust my fastball.” A nonanswer, clearly
meant to curtail any follow-ups. It","[' in', ' the', ' big', ' leagues', '?”', '\n', '“', 'Most', 'ly', ' just', ' learned', ' to', ' trust', ' my']","['inst', 'inct', 's', ',""', ' I', ' replied', ',', ' the', ' scent', ' of', ' smoke', ' heavy', ' on', ' my', ' clothes', '.', ' ""', 'Those']","[' fastball', '.”', ' A', ' non', 'answer', ',', ' clearly', '\n', 'me', 'ant', ' to', ' cur', 'tail', ' any', ' follow', '-ups', '.', ' It']",1.0,"instincts,"" I replied, the scent of smoke heavy on my clothes. ""Those flames don't wait for you to second guess yourself. You have to act, to react, trusting your training and hoping it's enough when nature is at her"," fastball.” A nonanswer, clearly
meant to curtail any follow-ups. It",tensor([[0.8044]]),2,"[tensor([[0.7680]]), tensor([[0.8044]]), tensor([[0.7981]]), tensor([[0.7952]]), tensor([[0.7991]]), tensor([[0.7792]]), tensor([[0.7809]]), tensor([[0.7692]]), tensor([[0.7771]]), tensor([[0.7670]]), tensor([[0.7704]]), tensor([[0.7560]]), tensor([[0.7669]]), tensor([[0.7686]]), tensor([[0.7827]]), tensor([[0.7892]]), tensor([[0.7859]]), tensor([[0.7882]]), tensor([[0.7853]]), tensor([[0.7860]]), tensor([[0.7870]]), tensor([[0.7831]]), tensor([[0.7872]]), tensor([[0.7863]]), tensor([[0.7902]]), tensor([[0.7883]]), tensor([[0.7925]]), tensor([[0.7863]]), tensor([[0.7895]]), tensor([[0.7863]]), tensor([[0.7914]]), tensor([[0.7879]]), tensor([[0.7897]]), tensor([[0.7878]]), tensor([[0.7903]]), tensor([[0.7909]]), tensor([[0.7850]]), tensor([[0.7843]]), tensor([[0.7838]]), tensor([[0.7840]])]",5603,5634,0.0010005002501250625
17,gpt-4,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",429,31," lost in the maze
of the Oakland clubhouse looking for a meeting he was sup‐
posed to be at twenty minutes ago, he’s not sure how","[' lost', ' in', ' the', ' maze', '\n']","['of', ' towering', ' p', 'ines', ' and', ' blazing', ' red', 's', ' of', ' the', ' forest', ' fire', ',', ' the', ' crisp', ' taste', ' of', ' ash', ' filling', ' them', ' with', ' an', ' impending', ' sense', ' of', ' doom']","['of', ' the', ' Oakland', ' clubhouse', ' looking', ' for', ' a', ' meeting', ' he', ' was', ' sup', '‐', '\n', 'posed', ' to', ' be', ' at', ' twenty', ' minutes', ' ago', ',', ' he', '’s', ' not', ' sure', ' how']",0.9615384615384616,"of towering pines and blazing reds of the forest fire, the crisp taste of ash filling them with an impending sense of doom. Shadows danced violently against the violet skies, their eerie waltz echoing the chaos below. Each crackling flame cried","of the Oakland clubhouse looking for a meeting he was sup‐
posed to be at twenty minutes ago, he’s not sure how",tensor([[0.7634]]),25,"[tensor([[0.7571]]), tensor([[0.7505]]), tensor([[0.7616]]), tensor([[0.7569]]), tensor([[0.7560]]), tensor([[0.7549]]), tensor([[0.7512]]), tensor([[0.7533]]), tensor([[0.7542]]), tensor([[0.7429]]), tensor([[0.7490]]), tensor([[0.7508]]), tensor([[0.7593]]), tensor([[0.7508]]), tensor([[0.7512]]), tensor([[0.7555]]), tensor([[0.7517]]), tensor([[0.7497]]), tensor([[0.7507]]), tensor([[0.7515]]), tensor([[0.7566]]), tensor([[0.7627]]), tensor([[0.7606]]), tensor([[0.7552]]), tensor([[0.7634]]), tensor([[0.7613]]), tensor([[0.7609]]), tensor([[0.7614]]), tensor([[0.7577]]), tensor([[0.7584]]), tensor([[0.7534]]), tensor([[0.7569]]), tensor([[0.7548]]), tensor([[0.7536]]), tensor([[0.7532]]), tensor([[0.7521]]), tensor([[0.7515]]), tensor([[0.7480]]), tensor([[0.7521]]), tensor([[0.7520]]), tensor([[0.7499]]), tensor([[0.7502]])]",428,458,0.0010005002501250625
20,gpt-4,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",3800,21," ones he was throwing in
that video. Still the umpire calls a strike.
Another fastball, another","[' ones', ' he', ' was', ' throwing', ' in', '\n', 'that']","['direction', ',', ' towards', ' his', ' home', '.', ' Every', ' brush', ' stroke', ' ignited', ' the', ' surface', ' of', ' the']","[' video', '.', ' Still', ' the', ' ump', 'ire', ' calls', ' a', ' strike', '.\n', 'Another', ' fastball', ',', ' another']",1.0,"direction, towards his home. Every brush stroke ignited the surface of the water, casting a warm glow around him. The flames danced in uneven rises and falls, painting the evening with an eerie calmness. He remembered his mother's words, ""When"," video. Still the umpire calls a strike.
Another fastball, another",tensor([[0.8065]]),9,"[tensor([[0.7739]]), tensor([[0.7818]]), tensor([[0.7744]]), tensor([[0.7762]]), tensor([[0.7669]]), tensor([[0.7816]]), tensor([[0.7827]]), tensor([[0.7988]]), tensor([[0.8065]]), tensor([[0.7974]]), tensor([[0.8031]]), tensor([[0.7990]]), tensor([[0.8004]]), tensor([[0.7970]]), tensor([[0.8004]]), tensor([[0.7936]]), tensor([[0.7997]]), tensor([[0.7852]]), tensor([[0.7853]]), tensor([[0.7749]]), tensor([[0.7789]]), tensor([[0.7932]]), tensor([[0.7810]]), tensor([[0.7831]]), tensor([[0.7788]]), tensor([[0.7764]]), tensor([[0.7706]]), tensor([[0.7716]]), tensor([[0.7647]]), tensor([[0.7654]]), tensor([[0.7657]]), tensor([[0.7662]]), tensor([[0.7663]]), tensor([[0.7621]]), tensor([[0.7591]]), tensor([[0.7650]]), tensor([[0.7622]]), tensor([[0.7648]]), tensor([[0.7626]]), tensor([[0.7591]]), tensor([[0.7587]])]",3799,3819,0.0010005002501250625
23,gpt-4,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",4677,26," one to Charlie. “If they don’t keep me up here, it’s been
a slice.” He holds out his bottle","[' one', ' to', ' Charlie', '.', ' “']","['They', ""'re"", ' calling', ' in', ' additional', ' resources', ' this', ' year', '.""', ' His', ' voice', ',', ' usually', ' steady', ' and', ' calm', ',', ' bore', ' a', ' slight', ' trem']","['If', ' they', ' don', '’t', ' keep', ' me', ' up', ' here', ',', ' it', '’s', ' been', '\n', 'a', ' slice', '.”', ' He', ' holds', ' out', ' his', ' bottle']",1.0,"They're calling in additional resources this year."" His voice, usually steady and calm, bore a slight tremor that was easy to miss if you didn't know him well. Seeing the worry etched on his weathered face made it clear that this","If they don’t keep me up here, it’s been
a slice.” He holds out his bottle",tensor([[0.8019]]),25,"[tensor([[0.7500]]), tensor([[0.7704]]), tensor([[0.7634]]), tensor([[0.7720]]), tensor([[0.7765]]), tensor([[0.7598]]), tensor([[0.7561]]), tensor([[0.7341]]), tensor([[0.7381]]), tensor([[0.7718]]), tensor([[0.7830]]), tensor([[0.7993]]), tensor([[0.7977]]), tensor([[0.7999]]), tensor([[0.7996]]), tensor([[0.7996]]), tensor([[0.8012]]), tensor([[0.7999]]), tensor([[0.7950]]), tensor([[0.7949]]), tensor([[0.7981]]), tensor([[0.7980]]), tensor([[0.7992]]), tensor([[0.7992]]), tensor([[0.8019]]), tensor([[0.8003]]), tensor([[0.7989]]), tensor([[0.7992]]), tensor([[0.7960]]), tensor([[0.7977]]), tensor([[0.7988]]), tensor([[0.8002]]), tensor([[0.7997]]), tensor([[0.8002]]), tensor([[0.7990]]), tensor([[0.7969]]), tensor([[0.7962]]), tensor([[0.7956]]), tensor([[0.7954]]), tensor([[0.7967]]), tensor([[0.7959]]), tensor([[0.7955]])]",4676,4701,0.0010005002501250625
26,gpt-4,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",3304,20," isn’t in the lineup since he’s veteran enough to get
one night off out of every four","[' isn', '’t', ' in', ' the', ' lineup', ' since', ' he', '’s']","['currently', ' nursing', ' an', ' injured', ' shoulder', ',', ' an', ' unfortunate', ' result', ' of', ' a', ' fall']","[' veteran', ' enough', ' to', ' get', '\n', 'one', ' night', ' off', ' out', ' of', ' every', ' four']",0.9166666666666666,"currently nursing an injured shoulder, an unfortunate result of a fall during a firefighting mission last week. His absence is keenly felt amid the bustle of the station. But despite his physical absence, his spirit hovers over us all, like an"," veteran enough to get
one night off out of every four",tensor([[0.8151]]),4,"[tensor([[0.7691]]), tensor([[0.7587]]), tensor([[0.8054]]), tensor([[0.8151]]), tensor([[0.8124]]), tensor([[0.7975]]), tensor([[0.7961]]), tensor([[0.7906]]), tensor([[0.7933]]), tensor([[0.7871]]), tensor([[0.7887]]), tensor([[0.7940]]), tensor([[0.7921]]), tensor([[0.7902]]), tensor([[0.7962]]), tensor([[0.7943]]), tensor([[0.7963]]), tensor([[0.7853]]), tensor([[0.7871]]), tensor([[0.8009]]), tensor([[0.7957]]), tensor([[0.8006]]), tensor([[0.7977]]), tensor([[0.7979]]), tensor([[0.7954]]), tensor([[0.7952]]), tensor([[0.7933]]), tensor([[0.7933]]), tensor([[0.7996]]), tensor([[0.7952]]), tensor([[0.7922]]), tensor([[0.7915]]), tensor([[0.7906]]), tensor([[0.7995]]), tensor([[0.7930]]), tensor([[0.7943]]), tensor([[0.7971]]), tensor([[0.7965]]), tensor([[0.7955]]), tensor([[0.8036]]), tensor([[0.7969]]), tensor([[0.8005]])]",3303,3322,0.0010005002501250625
29,gpt-4,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",2228,26,". And, worse, handsome. He surrenders the tablet, look‐
ing slightly guilty, leaving Reid to the black","['.', ' And', ',', ' worse', ',', ' handsome', '.', ' He', ' surre', 'nd']","['er', 'red', ' to', ' the', ' flames', ' of', ' his', ' desires', ',', ' allowing', ' them', ' to', ' consume', ' him', ' like', ' the']","['ers', ' the', ' tablet', ',', ' look', '‐', '\n', 'ing', ' slightly', ' guilty', ',', ' leaving', ' Reid', ' to', ' the', ' black']",1.0,"erred to the flames of his desires, allowing them to consume him like the voracious forest fires he fought by day. The parallels were not lost on him, at once both the arsonist and the firefighter of his life. Yet, despite the","ers the tablet, look‐
ing slightly guilty, leaving Reid to the black",tensor([[0.8382]]),4,"[tensor([[0.7762]]), tensor([[0.7897]]), tensor([[0.8206]]), tensor([[0.8382]]), tensor([[0.8009]]), tensor([[0.8158]]), tensor([[0.8288]]), tensor([[0.8156]]), tensor([[0.8200]]), tensor([[0.8143]]), tensor([[0.8171]]), tensor([[0.8087]]), tensor([[0.8050]]), tensor([[0.8043]]), tensor([[0.8071]]), tensor([[0.8017]]), tensor([[0.7884]]), tensor([[0.7889]]), tensor([[0.7912]]), tensor([[0.7842]]), tensor([[0.7829]]), tensor([[0.7878]]), tensor([[0.7878]]), tensor([[0.7786]]), tensor([[0.7766]]), tensor([[0.7787]]), tensor([[0.7760]]), tensor([[0.7768]]), tensor([[0.7804]]), tensor([[0.7687]]), tensor([[0.7769]]), tensor([[0.7753]]), tensor([[0.7717]]), tensor([[0.7739]]), tensor([[0.7662]]), tensor([[0.7665]]), tensor([[0.7663]]), tensor([[0.7579]]), tensor([[0.7641]]), tensor([[0.7701]]), tensor([[0.7657]]), tensor([[0.7586]]), tensor([[0.7588]])]",2227,2252,0.0010005002501250625
