,Unnamed: 0,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
0,0,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,130,22," the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210, Spelling reiter","[' the', ' use', ' of', ' capitalist', ' narrative']","['in', ' the', ' works', ' of', ' science', ' fiction', ' writer', ' William', ' Gibson', ' is', ' prevalent', ' and', ' often', ' serves', ' as', ' a', ' critique']","[' to', ' challenge', ' the', ' status', ' quo', '.', ' In', ' Beverly', ' Hills', ' ', '902', '10', ',', ' Sp', 'elling', ' re', 'iter']",1.0,"in the works of science fiction writer William Gibson is prevalent and often serves as a critique of contemporary society. Gibson's novels, such as ""Neuromancer"" and ""Pattern Recognition,"" depict a world where capitalism reigns supreme, shaping every aspect"," to challenge the status quo. In Beverly Hills 90210, Spelling reiter",tensor([[0.7979]]),3,"[tensor([[0.7812]]), tensor([[0.7931]]), tensor([[0.7979]]), tensor([[0.7872]]), tensor([[0.7793]]), tensor([[0.7774]]), tensor([[0.7801]]), tensor([[0.7773]]), tensor([[0.7609]]), tensor([[0.7583]]), tensor([[0.7454]]), tensor([[0.7529]]), tensor([[0.7522]]), tensor([[0.7557]]), tensor([[0.7642]]), tensor([[0.7599]]), tensor([[0.7586]]), tensor([[0.7684]]), tensor([[0.7606]]), tensor([[0.7621]]), tensor([[0.7456]]), tensor([[0.7680]]), tensor([[0.7511]]), tensor([[0.7573]]), tensor([[0.7487]]), tensor([[0.7590]]), tensor([[0.7496]]), tensor([[0.7618]]), tensor([[0.7565]]), tensor([[0.7608]]), tensor([[0.7589]]), tensor([[0.7588]]), tensor([[0.7577]]), tensor([[0.7530]]), tensor([[0.7545]]), tensor([[0.7519]]), tensor([[0.7577]]), tensor([[0.7608]]), tensor([[0.7569]])]",129,150,0.3033088235294117
2,3,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,107,40," theme of the works of Spelling is a mythopoetical paradox.
It could be said that Derrida suggests the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210","[' theme', ' of', ' the', ' works', ' of', ' Sp', 'elling', ' is', ' a', ' myth', 'opo', 'etical']","['n', 'arr', 'ative', ',', ' where', ' the', ' power', ' structures', ' of', ' capitalism', ' are', ' often', ' crit', 'iqu', 'ed', ' and', ' de', 'constructed', '.', ' Through', ' his', ' depiction', ' of', ' futuristic', ' societies', ' dominated', ' by', ' powerful']","[' paradox', '.\n', 'It', ' could', ' be', ' said', ' that', ' D', 'err', 'ida', ' suggests', ' the', ' use', ' of', ' capitalist', ' narrative', ' to', ' challenge', ' the', ' status', ' quo', '.', ' In', ' Beverly', ' Hills', ' ', '902', '10']",1.0,"narrative, where the power structures of capitalism are often critiqued and deconstructed. Through his depiction of futuristic societies dominated by powerful corporations, Gibson sheds light on the ways in which capitalism distorts human relationships, identities, and environments. However"," paradox.
It could be said that Derrida suggests the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210",tensor([[0.8665]]),13,"[tensor([[0.7748]]), tensor([[0.8113]]), tensor([[0.8053]]), tensor([[0.8109]]), tensor([[0.8133]]), tensor([[0.8199]]), tensor([[0.8269]]), tensor([[0.8487]]), tensor([[0.8475]]), tensor([[0.8494]]), tensor([[0.8623]]), tensor([[0.8601]]), tensor([[0.8665]]), tensor([[0.8616]]), tensor([[0.8606]]), tensor([[0.8590]]), tensor([[0.8524]]), tensor([[0.8644]]), tensor([[0.8619]]), tensor([[0.8625]]), tensor([[0.8570]]), tensor([[0.8586]]), tensor([[0.8542]]), tensor([[0.8442]]), tensor([[0.8302]]), tensor([[0.8271]]), tensor([[0.8266]]), tensor([[0.8285]]), tensor([[0.8248]]), tensor([[0.8253]]), tensor([[0.8258]]), tensor([[0.8244]]), tensor([[0.8235]]), tensor([[0.8252]]), tensor([[0.8391]]), tensor([[0.8358]]), tensor([[0.8207]]), tensor([[0.8381]]), tensor([[0.8279]])]",106,145,0.3033088235294117
4,6,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,552,33," Gibson is a self-supporting totality.
Thus, the example of Marxist class which is a central theme of Gibson’s All Tomorrow’s Parties is also evident in Pattern","[' Gibson', ' is', ' a', ' self', '-support', 'ing', ' tot', 'ality', '.\n', 'Thus', ',', ' the']","['author', ' argues', ' that', ' Gibson', ""'s"", ' works', ' present', ' a', ' self', '-s', 'ust', 'aining', ' and', ' comprehensive', ' representation', ' of', ' capitalist', ' narratives', '.', ' Through', ' his']","[' example', ' of', ' Marxist', ' class', ' which', ' is', ' a', ' central', ' theme', ' of', ' Gibson', '’s', ' All', ' Tomorrow', '’s', ' Parties', ' is', ' also', ' evident', ' in', ' Pattern']",1.0,"author argues that Gibson's works present a self-sustaining and comprehensive representation of capitalist narratives. Through his exploration of themes such as technology, consumerism, and globalization, Gibson constructs a world that mirrors the complexities and contradictions of contemporary capitalist society. The", example of Marxist class which is a central theme of Gibson’s All Tomorrow’s Parties is also evident in Pattern,tensor([[0.8531]]),20,"[tensor([[0.7336]]), tensor([[0.7034]]), tensor([[0.7304]]), tensor([[0.7539]]), tensor([[0.8041]]), tensor([[0.7974]]), tensor([[0.7955]]), tensor([[0.8124]]), tensor([[0.8032]]), tensor([[0.8068]]), tensor([[0.8128]]), tensor([[0.8219]]), tensor([[0.8219]]), tensor([[0.8505]]), tensor([[0.8322]]), tensor([[0.8468]]), tensor([[0.8467]]), tensor([[0.8450]]), tensor([[0.8458]]), tensor([[0.8531]]), tensor([[0.8531]]), tensor([[0.8524]]), tensor([[0.8414]]), tensor([[0.8403]]), tensor([[0.8417]]), tensor([[0.8402]]), tensor([[0.8454]]), tensor([[0.8421]]), tensor([[0.8424]]), tensor([[0.8379]]), tensor([[0.8403]]), tensor([[0.8376]]), tensor([[0.8415]]), tensor([[0.8399]]), tensor([[0.8412]]), tensor([[0.8403]]), tensor([[0.8418]]), tensor([[0.8405]]), tensor([[0.8423]]), tensor([[0.8439]]), tensor([[0.8472]])]",551,583,0.3033088235294117
7,9,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,28,39," to Abian[1] , it is not so much class that is intrinsically elitist, but rather the meaninglessness, and some would say the genre, of class. Lacan","[' to', ' Ab', 'ian', '[', '1', ']', ' ,', ' it', ' is', ' not', ' so', ' much', ' class']","['str', 'uggle', ' that', ' defines', ' capitalist', ' narrative', ' in', ' the', ' works', ' of', ' Gibson', ',', ' but', ' rather', ' the', ' intertw', 'ining', ' of', ' technology', ',', ' power', ',', ' and', ' the', ' individual', '.']","[' that', ' is', ' intr', 'ins', 'ically', ' elit', 'ist', ',', ' but', ' rather', ' the', ' meaning', 'lessness', ',', ' and', ' some', ' would', ' say', ' the', ' genre', ',', ' of', ' class', '.', ' Lac', 'an']",0.9230769230769232,"struggle that defines capitalist narrative in the works of Gibson, but rather the intertwining of technology, power, and the individual. Gibson's exploration of the impact of technology on society, the way it transforms power dynamics, and its effects on individual autonomy"," that is intrinsically elitist, but rather the meaninglessness, and some would say the genre, of class. Lacan",tensor([[0.8416]]),16,"[tensor([[0.7855]]), tensor([[0.7923]]), tensor([[0.8122]]), tensor([[0.8136]]), tensor([[0.8168]]), tensor([[0.8165]]), tensor([[0.8160]]), tensor([[0.8173]]), tensor([[0.8136]]), tensor([[0.8178]]), tensor([[0.8203]]), tensor([[0.8280]]), tensor([[0.8362]]), tensor([[0.8359]]), tensor([[0.8399]]), tensor([[0.8416]]), tensor([[0.8309]]), tensor([[0.8318]]), tensor([[0.8325]]), tensor([[0.8324]]), tensor([[0.8338]]), tensor([[0.8327]]), tensor([[0.8309]]), tensor([[0.8258]]), tensor([[0.8256]]), tensor([[0.8298]]), tensor([[0.8275]]), tensor([[0.8295]]), tensor([[0.8248]]), tensor([[0.8285]]), tensor([[0.8206]]), tensor([[0.8269]]), tensor([[0.8277]]), tensor([[0.8240]]), tensor([[0.8208]]), tensor([[0.8210]]), tensor([[0.8122]]), tensor([[0.8158]]), tensor([[0.8136]]), tensor([[0.8125]]), tensor([[0.8141]]), tensor([[0.8128]])]",27,65,0.3033088235294117
9,12,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,594,33," An abundance of appropriations concerning Sontagist camp may be revealed.
It could be said that Sontag’s model of postcapitalist theory states that the collective","[' An', ' abundance', ' of', ' appropriations', ' concerning']","['the', ' inter', 'play', ' between', ' society', ',', ' technology', ',', ' and', ' capitalism', ' can', ' be', ' discern', 'ed', ' in', ' William', ' Gibson', ""'s"", ' body', ' of', ' work', '.', ' His', ' novels', ',', ' such', ' as', ' ""']","[' S', 'ont', 'ag', 'ist', ' camp', ' may', ' be', ' revealed', '.\n', 'It', ' could', ' be', ' said', ' that', ' S', 'ont', 'ag', '’s', ' model', ' of', ' post', 'capital', 'ist', ' theory', ' states', ' that', ' the', ' collective']",0.9285714285714286,"the interplay between society, technology, and capitalism can be discerned in William Gibson's body of work. His novels, such as ""Neuromancer"" and ""Pattern Recognition,"" delve into the complexities of a future world deeply entwined"," Sontagist camp may be revealed.
It could be said that Sontag’s model of postcapitalist theory states that the collective",tensor([[0.8006]]),5,"[tensor([[0.7477]]), tensor([[0.7666]]), tensor([[0.7234]]), tensor([[0.7652]]), tensor([[0.8006]]), tensor([[0.7800]]), tensor([[0.7842]]), tensor([[0.7829]]), tensor([[0.7888]]), tensor([[0.7947]]), tensor([[0.7941]]), tensor([[0.7975]]), tensor([[0.7930]]), tensor([[0.7759]]), tensor([[0.7828]]), tensor([[0.7831]]), tensor([[0.7675]]), tensor([[0.7815]]), tensor([[0.7799]]), tensor([[0.7853]]), tensor([[0.7858]]), tensor([[0.7795]]), tensor([[0.7781]]), tensor([[0.7872]]), tensor([[0.7779]]), tensor([[0.7840]]), tensor([[0.7851]]), tensor([[0.7840]]), tensor([[0.7793]]), tensor([[0.7816]]), tensor([[0.7804]]), tensor([[0.7756]]), tensor([[0.7738]]), tensor([[0.7724]]), tensor([[0.7724]])]",593,625,0.3033088235294117
11,15,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,251,29," as poet. However, the masculine/feminine distinction intrinsic to Spelling’s Models, Inc. emerges again in Melrose Place. Marx uses","[' as', ' poet', '.', ' However', ',', ' the', ' masculine']","['identity', ' and', ' techno', '-capital', 'ist', ' ideology', ' that', ' dominate', ' his', ' narratives', ' can', ' also', ' be', ' seen', ' as', ' limiting', ' and', ' exclusion', 'ary', '.', ' By', ' focusing']","['/f', 'emin', 'ine', ' distinction', ' intrinsic', ' to', ' Sp', 'elling', '’s', ' Models', ',', ' Inc', '.', ' emerges', ' again', ' in', ' Mel', 'rose', ' Place', '.', ' Marx', ' uses']",0.9545454545454546,"identity and techno-capitalist ideology that dominate his narratives can also be seen as limiting and exclusionary. By focusing on hyper-masculine characters and glorifying individualism and corporate power, Gibson’s works may perpetuate a narrow view of the world","/feminine distinction intrinsic to Spelling’s Models, Inc. emerges again in Melrose Place. Marx uses",tensor([[0.8082]]),8,"[tensor([[0.7573]]), tensor([[0.7694]]), tensor([[0.8081]]), tensor([[0.7921]]), tensor([[0.7849]]), tensor([[0.7994]]), tensor([[0.8044]]), tensor([[0.8082]]), tensor([[0.7946]]), tensor([[0.7965]]), tensor([[0.7958]]), tensor([[0.7969]]), tensor([[0.7947]]), tensor([[0.7893]]), tensor([[0.7729]]), tensor([[0.7772]]), tensor([[0.7805]]), tensor([[0.7903]]), tensor([[0.7890]]), tensor([[0.7875]]), tensor([[0.8006]]), tensor([[0.7976]]), tensor([[0.7947]]), tensor([[0.7952]]), tensor([[0.7938]]), tensor([[0.7909]]), tensor([[0.7941]]), tensor([[0.7905]]), tensor([[0.7869]]), tensor([[0.7758]]), tensor([[0.7835]]), tensor([[0.7747]]), tensor([[0.7856]]), tensor([[0.7737]]), tensor([[0.7689]]), tensor([[0.7751]]), tensor([[0.7787]]), tensor([[0.7664]])]",250,278,0.3033088235294117
13,18,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,297,30,"aterialism.
In the works of Spelling, a predominant concept is the concept of subconstructivist truth. In a sense, the characteristic theme of","['aterial', 'ism', '.\n', 'In', ' the', ' works', ' of', ' Sp', 'elling', ',', ' a', ' predominant']","[' theme', ' is', ' the', ' distinction', ' between', ' society', ' and', ' class', '.', ' Therefore', ',', ' if', ' capitalist', ' narrative', ' holds', ',', ' we', ' have']","[' concept', ' is', ' the', ' concept', ' of', ' sub', 'construct', 'ivist', ' truth', '.', ' In', ' a', ' sense', ',', ' the', ' characteristic', ' theme', ' of']",0.8888888888888888," theme is the distinction between society and class. Therefore, if capitalist narrative holds, we have to choose between postsemioticist neocapitalist theory and modernist materialism. Debord promotes the use of capitalist narrative to modify and read culture"," concept is the concept of subconstructivist truth. In a sense, the characteristic theme of",tensor([[0.8358]]),14,"[tensor([[0.7460]]), tensor([[0.7460]]), tensor([[0.8065]]), tensor([[0.8073]]), tensor([[0.8057]]), tensor([[0.8155]]), tensor([[0.8276]]), tensor([[0.8207]]), tensor([[0.8265]]), tensor([[0.8024]]), tensor([[0.8219]]), tensor([[0.8256]]), tensor([[0.8257]]), tensor([[0.8358]]), tensor([[0.8213]]), tensor([[0.8290]]), tensor([[0.8301]]), tensor([[0.8314]]), tensor([[0.8280]]), tensor([[0.8265]]), tensor([[0.8267]]), tensor([[0.8265]]), tensor([[0.8319]]), tensor([[0.8275]]), tensor([[0.8249]]), tensor([[0.8236]]), tensor([[0.8319]]), tensor([[0.8201]]), tensor([[0.8202]]), tensor([[0.8191]]), tensor([[0.8196]]), tensor([[0.8173]]), tensor([[0.8168]]), tensor([[0.8174]]), tensor([[0.8156]]), tensor([[0.8158]]), tensor([[0.8135]]), tensor([[0.8124]])]",296,325,0.3033088235294117
15,21,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,532,38," camp; in Neuromancer he reiterates capitalist narrative. The main theme of the works of Gibson is a self-supporting totality.
Thus, the example of Marxist class which is","[' camp', ';', ' in', ' Neu', 'rom']","['ancer', ' (', '198', '4', '),', ' the', ' devastating', ' impact', ' of', ' capitalism', ' on', ' society', ' is', ' evident', ' as', ' the', ' characters', ' navigate', ' an', ' increasingly', ' corporate', '-dominated', ' world', '.', ' Gibson', ""'s"", ' works', ' continue', ' to', ' explore', ' the', ' consequences', ' of']","['ancer', ' he', ' re', 'iter', 'ates', ' capitalist', ' narrative', '.', ' The', ' main', ' theme', ' of', ' the', ' works', ' of', ' Gibson', ' is', ' a', ' self', '-support', 'ing', ' tot', 'ality', '.\n', 'Thus', ',', ' the', ' example', ' of', ' Marxist', ' class', ' which', ' is']",0.9696969696969696,"ancer (1984), the devastating impact of capitalism on society is evident as the characters navigate an increasingly corporate-dominated world. Gibson's works continue to explore the consequences of unchecked capitalism, reflecting on issues such as wealth disparity, the commodification of human life","ancer he reiterates capitalist narrative. The main theme of the works of Gibson is a self-supporting totality.
Thus, the example of Marxist class which is",tensor([[0.8915]]),33,"[tensor([[0.7336]]), tensor([[0.7907]]), tensor([[0.8045]]), tensor([[0.8145]]), tensor([[0.8051]]), tensor([[0.8044]]), tensor([[0.8153]]), tensor([[0.8457]]), tensor([[0.8517]]), tensor([[0.8467]]), tensor([[0.8498]]), tensor([[0.8489]]), tensor([[0.8514]]), tensor([[0.8539]]), tensor([[0.8542]]), tensor([[0.8483]]), tensor([[0.8496]]), tensor([[0.8489]]), tensor([[0.8430]]), tensor([[0.8375]]), tensor([[0.8765]]), tensor([[0.8845]]), tensor([[0.8890]]), tensor([[0.8890]]), tensor([[0.8891]]), tensor([[0.8885]]), tensor([[0.8887]]), tensor([[0.8886]]), tensor([[0.8821]]), tensor([[0.8847]]), tensor([[0.8906]]), tensor([[0.8890]]), tensor([[0.8915]]), tensor([[0.8899]]), tensor([[0.8891]]), tensor([[0.8903]]), tensor([[0.8836]]), tensor([[0.8885]]), tensor([[0.8871]]), tensor([[0.8869]]), tensor([[0.8868]]), tensor([[0.8873]])]",531,568,0.3033088235294117
17,24,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,504,31," we have to choose between modernist theory and the postcultural paradigm of narrative.
But in Pattern Recognition, Gibson analyses Sontagist camp; in","[' we', ' have', ' to', ' choose', ' between', ' modern', 'ist', ' theory', ' and', ' the', ' post']","['modern', 'ist', ' paradigm', ' of', ' consensus', '.', ' In', ' the', ' H', 'inter', 'land', ',', ' where', ' the', ' power', ' of', ' the', ' image', ' seems', ' as']","['c', 'ultural', ' paradigm', ' of', ' narrative', '.\n', 'But', ' in', ' Pattern', ' Recognition', ',', ' Gibson', ' analyses', ' S', 'ont', 'ag', 'ist', ' camp', ';', ' in']",0.9,"modernist paradigm of consensus. In the Hinterland, where the power of the image seems as though it will never cease, the protagonist is liberated by his involvement with Gibson's hallucinatory world; indeed, in Pattern Recognition, Gibson reiter","cultural paradigm of narrative.
But in Pattern Recognition, Gibson analyses Sontagist camp; in",tensor([[0.8975]]),38,"[tensor([[0.7508]]), tensor([[0.7291]]), tensor([[0.7977]]), tensor([[0.8135]]), tensor([[0.8161]]), tensor([[0.8165]]), tensor([[0.8232]]), tensor([[0.8283]]), tensor([[0.8131]]), tensor([[0.8260]]), tensor([[0.8166]]), tensor([[0.8225]]), tensor([[0.8234]]), tensor([[0.8286]]), tensor([[0.8269]]), tensor([[0.8295]]), tensor([[0.8313]]), tensor([[0.8321]]), tensor([[0.8271]]), tensor([[0.8218]]), tensor([[0.8276]]), tensor([[0.8279]]), tensor([[0.8374]]), tensor([[0.8368]]), tensor([[0.8366]]), tensor([[0.8373]]), tensor([[0.8397]]), tensor([[0.8368]]), tensor([[0.8374]]), tensor([[0.8840]]), tensor([[0.8798]]), tensor([[0.8809]]), tensor([[0.8823]]), tensor([[0.8787]]), tensor([[0.8844]]), tensor([[0.8954]]), tensor([[0.8972]]), tensor([[0.8975]])]",503,533,0.3033088235294117
19,27,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,361,25,"ton’s[3] critique of capitalist narrative is the stasis, and some would say the meaninglessness, of predialect","['ton', '’s', '[', '3', ']', ' critique', ' of', ' capitalist']","['s', 'ociety', ' suggests', ' that', ' Gibson', '’s', ' portrayal', ' of', ' a', ' dyst', 'opian', ' future', ' may', ' not', ' be', ' too', ' far']","[' narrative', ' is', ' the', ' st', 'asis', ',', ' and', ' some', ' would', ' say', ' the', ' meaning', 'lessness', ',', ' of', ' pred', 'ialect']",1.0,"society suggests that Gibson’s portrayal of a dystopian future may not be too far from reality. The overlap between innovation and exploitation in his narratives reflects the complexities of our modern world, where technological advancements coexist with social inequalities. Gibson’s works serve"," narrative is the stasis, and some would say the meaninglessness, of predialect",tensor([[0.8236]]),33,"[tensor([[0.7806]]), tensor([[0.7634]]), tensor([[0.7801]]), tensor([[0.8019]]), tensor([[0.7808]]), tensor([[0.7772]]), tensor([[0.7819]]), tensor([[0.7851]]), tensor([[0.8048]]), tensor([[0.7983]]), tensor([[0.7982]]), tensor([[0.7992]]), tensor([[0.8047]]), tensor([[0.8043]]), tensor([[0.7954]]), tensor([[0.7935]]), tensor([[0.8114]]), tensor([[0.8093]]), tensor([[0.8080]]), tensor([[0.8087]]), tensor([[0.8040]]), tensor([[0.8046]]), tensor([[0.8020]]), tensor([[0.8007]]), tensor([[0.8073]]), tensor([[0.8147]]), tensor([[0.8038]]), tensor([[0.8111]]), tensor([[0.8054]]), tensor([[0.8088]]), tensor([[0.8126]]), tensor([[0.8054]]), tensor([[0.8236]]), tensor([[0.8005]]), tensor([[0.7977]]), tensor([[0.7979]]), tensor([[0.7969]]), tensor([[0.7959]]), tensor([[0.7985]]), tensor([[0.8226]]), tensor([[0.7963]]), tensor([[0.7974]]), tensor([[0.7867]])]",360,384,0.3033088235294117
