,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
0,gpt-3.5-turbo,Famous Quotes,1,9,Let us see what love can do. ,"['Let', ' us', ' see', ' what']","['the', ' future', ' holds', '.']","[' love', ' can', ' do', '.']",0.75,the future holds., love can do. ,tensor([[0.8016]]),4,"[tensor([[0.7612]]), tensor([[0.7917]]), tensor([[0.7865]]), tensor([[0.8016]])]",0,7
3,gpt-3.5-turbo,Famous Quotes,2,30,"We can't heal the world today. But we can begin with a voice of compassion, a heart of love, and an act of kindness. ","['We', ' can', ""'t"", ' heal', ' the', ' world', ' today', '.', ' But', ' we', ' can', ' begin', ' with', ' a']","['single', ' act', ' of', ' kindness', '.']","[' voice', ' of', ' compassion', ',', ' a']",1.0,single act of kindness.," voice of compassion, a heart of love, and an act of kindness. ",tensor([[0.8667]]),5,"[tensor([[0.7533]]), tensor([[0.7232]]), tensor([[0.7695]]), tensor([[0.7857]]), tensor([[0.8667]])]",0,18
6,gpt-3.5-turbo,Famous Quotes,3,13,Listen with curiosity. Speak with honesty. Act with integrity. ,"['Listen', ' with']","['the', ' intent', ' to', ' understand', ',', ' not', ' just', ' to', ' reply', '.']","[' curiosity', '.', ' Speak', ' with', ' honesty', '.', ' Act', ' with', ' integrity', '.']",0.9,"the intent to understand, not just to reply.", curiosity. Speak with honesty. Act with integrity. ,tensor([[0.8753]]),9,"[tensor([[0.7910]]), tensor([[0.7965]]), tensor([[0.8403]]), tensor([[0.8504]]), tensor([[0.8633]]), tensor([[0.8275]]), tensor([[0.8483]]), tensor([[0.8528]]), tensor([[0.8753]])]",0,11
9,gpt-3.5-turbo,Famous Quotes,4,19,The most basic and powerful way to connect to another person is to listen. Just listen. ,"['The', ' most']","['important', ' thing', ' is', ' to', ' enjoy', ' your', ' life', ' -', ' to', ' be', ' happy', ' -', ' it', ""'s"", ' all', ' that', ' matters']","[' basic', ' and', ' powerful', ' way', ' to', ' connect', ' to', ' another', ' person', ' is', ' to', ' listen', '.', ' Just', ' listen', '.', ' ']",1.0,important thing is to enjoy your life - to be happy - it's all that matters., basic and powerful way to connect to another person is to listen. Just listen. ,tensor([[0.8224]]),17,"[tensor([[0.7865]]), tensor([[0.7575]]), tensor([[0.7751]]), tensor([[0.7710]]), tensor([[0.7911]]), tensor([[0.7939]]), tensor([[0.8034]]), tensor([[0.8112]]), tensor([[0.8040]]), tensor([[0.8079]]), tensor([[0.8056]]), tensor([[0.8136]]), tensor([[0.8160]]), tensor([[0.8079]]), tensor([[0.8175]]), tensor([[0.8163]]), tensor([[0.8224]])]",0,18
12,gpt-3.5-turbo,Famous Quotes,5,8,"Knowledge speaks, but wisdom listens. ","['Knowledge', ' speaks', ',', ' but']","['wis', 'dom', ' listens', '.']","[' wisdom', ' listens', '.', ' ']",0.75,wisdom listens., wisdom listens. ,tensor([[1.0000]]),3,"[tensor([[0.7727]]), tensor([[0.8941]]), tensor([[1.0000]])]",0,7
15,gpt-3.5-turbo,Famous Quotes,6,18,Deep listening is the kind of listening that can help relieve the suffering of another person. ,"['Deep', ' listening', ' is', ' the', ' kind', ' of', ' listening', ' that', ' can']","['help', ' transform', ' someone', ""'s"", ' life', '.']","[' help', ' relieve', ' the', ' suffering', ' of', ' another']",1.0,help transform someone's life., help relieve the suffering of another person. ,tensor([[0.8787]]),5,"[tensor([[0.7869]]), tensor([[0.8666]]), tensor([[0.8247]]), tensor([[0.8621]]), tensor([[0.8787]])]",0,14
18,gpt-3.5-turbo,Famous Quotes,7,20,"There are no problems we cannot solve together, and very few that we can solve by ourselves. ",['There'],"['is', ' no', ' power', ' for', ' change', ' greater', ' than', ' a', ' community', ' discovering', ' what', ' it', ' cares', ' about', '.']","[' are', ' no', ' problems', ' we', ' cannot', ' solve', ' together', ',', ' and', ' very', ' few', ' that', ' we', ' can', ' solve']",0.9333333333333332,is no power for change greater than a community discovering what it cares about.," are no problems we cannot solve together, and very few that we can solve by ourselves. ",tensor([[0.8472]]),15,"[tensor([[0.7706]]), tensor([[0.7842]]), tensor([[0.8229]]), tensor([[0.8095]]), tensor([[0.8089]]), tensor([[0.8230]]), tensor([[0.8163]]), tensor([[0.8193]]), tensor([[0.8200]]), tensor([[0.8192]]), tensor([[0.8189]]), tensor([[0.8177]]), tensor([[0.8159]]), tensor([[0.8170]]), tensor([[0.8472]])]",0,15
21,gpt-3.5-turbo,Famous Quotes,8,21,I always wondered why somebody didn't do something about that; then I realized that I am somebody. ,"['I', ' always', ' wondered', ' why', ' somebody', ' didn', ""'t""]","['do', ' something', ' about', ' that', '.', ' Then', ' I', ' realized', ' I', ' am', ' somebody', '.', ' -', ' Lily']","[' do', ' something', ' about', ' that', ';', ' then', ' I', ' realized', ' that', ' I', ' am', ' somebody', '.', ' ']",0.4285714285714285,do something about that. Then I realized I am somebody. - Lily Tomlin, do something about that; then I realized that I am somebody. ,tensor([[0.9949]]),11,"[tensor([[0.7445]]), tensor([[0.7771]]), tensor([[0.8331]]), tensor([[0.8403]]), tensor([[0.8661]]), tensor([[0.8780]]), tensor([[0.9105]]), tensor([[0.9385]]), tensor([[0.9449]]), tensor([[0.9551]]), tensor([[0.9949]]), tensor([[0.9938]]), tensor([[0.9428]]), tensor([[0.9147]])]",0,20
24,gpt-3.5-turbo,Famous Quotes,9,25,"Let us develop respect for all living things. Let us try to replace violence and intolerance with understanding, compassion and love. ","['Let', ' us', ' develop', ' respect', ' for', ' all', ' living', ' things', '.', ' Let']","['us', ' develop', ' respect', ' for', ' all', ' living', ' things', '.', ' Let', ' us', ' not', ' forget', ' that', ' the', ' world']","[' us', ' try', ' to', ' replace', ' violence', ' and', ' intolerance', ' with', ' understanding', ',', ' compassion', ' and', ' love', '.', ' ']",1.0,"us develop respect for all living things. Let us not forget that the world we live in is interconnected, and that the well-being of one species is intricately tied to the well-being of all others. Let us remember that every plant, every animal"," us try to replace violence and intolerance with understanding, compassion and love. ",tensor([[0.8605]]),10,"[tensor([[0.7372]]), tensor([[0.7819]]), tensor([[0.7709]]), tensor([[0.8456]]), tensor([[0.8549]]), tensor([[0.8582]]), tensor([[0.8555]]), tensor([[0.8603]]), tensor([[0.8563]]), tensor([[0.8605]]), tensor([[0.8340]]), tensor([[0.8510]]), tensor([[0.8480]]), tensor([[0.8479]]), tensor([[0.8514]]), tensor([[0.8527]]), tensor([[0.8473]]), tensor([[0.8465]]), tensor([[0.8463]]), tensor([[0.8552]]), tensor([[0.8504]]), tensor([[0.8528]]), tensor([[0.8486]]), tensor([[0.8532]]), tensor([[0.8514]]), tensor([[0.8509]]), tensor([[0.8504]]), tensor([[0.8497]]), tensor([[0.8516]]), tensor([[0.8482]]), tensor([[0.8491]]), tensor([[0.8438]]), tensor([[0.8478]]), tensor([[0.8468]]), tensor([[0.8461]]), tensor([[0.8466]]), tensor([[0.8365]]), tensor([[0.8430]]), tensor([[0.8407]]), tensor([[0.8410]]), tensor([[0.8395]]), tensor([[0.8362]]), tensor([[0.8338]]), tensor([[0.8367]])]",0,24
27,gpt-3.5-turbo,Famous Quotes,10,23,"We say 'things will turn out', but no. It's what we do that actually creates the future. ","['We', ' say', "" '"", 'things', ' will', ' turn', ' out', ""',"", ' but']","['we', ' rarely', ' specify', ' in', ' what', ' way', '.""']","[' no', '.', ' It', ""'s"", ' what', ' we', ' do']",0.8571428571428571,"we rarely specify in what way.""", no. It's what we do that actually creates the future. ,tensor([[0.8164]]),3,"[tensor([[0.8046]]), tensor([[0.8012]]), tensor([[0.8164]]), tensor([[0.8094]]), tensor([[0.8082]]), tensor([[0.8004]]), tensor([[0.7889]])]",0,15
30,gpt-3.5-turbo,Famous Quotes,11,23,"When one tugs at a single thing in nature, one finds it attached to the rest of the world. ","['When', ' one', ' t', 'ugs', ' at', ' a', ' single', ' thing', ' in']","['nature', ',', ' he', ' finds', ' it', ' attached', ' to', ' the', ' rest', ' of', ' the', ' world', '.']","[' nature', ',', ' one', ' finds', ' it', ' attached', ' to', ' the', ' rest', ' of', ' the', ' world', '.']",0.1538461538461538,"nature, he finds it attached to the rest of the world."," nature, one finds it attached to the rest of the world. ",tensor([[0.9746]]),12,"[tensor([[0.7967]]), tensor([[0.8908]]), tensor([[0.8803]]), tensor([[0.8898]]), tensor([[0.8932]]), tensor([[0.9274]]), tensor([[0.9350]]), tensor([[0.9370]]), tensor([[0.9464]]), tensor([[0.9452]]), tensor([[0.9442]]), tensor([[0.9746]])]",0,21
33,gpt-3.5-turbo,Famous Quotes,12,24,"Do not judge me by my success, judge me by how many times I fell down and got back up again. ","['Do', ' not', ' judge', ' me', ' by', ' my', ' success', ',']","['but', ' by', ' how', ' many', ' times', ' I', ' have', ' failed', '.']","[' judge', ' me', ' by', ' how', ' many', ' times', ' I', ' fell', ' down']",0.5555555555555556,but by how many times I have failed., judge me by how many times I fell down and got back up again. ,tensor([[0.8822]]),9,"[tensor([[0.7778]]), tensor([[0.7756]]), tensor([[0.7735]]), tensor([[0.7760]]), tensor([[0.7974]]), tensor([[0.8424]]), tensor([[0.8720]]), tensor([[0.8734]]), tensor([[0.8822]])]",0,16
36,gpt-3.5-turbo,Famous Quotes,13,20,I can be changed by what happens to me. But I refuse to be reduced by it. ,"['I', ' can', ' be', ' changed', ' by', ' what', ' happens', ' to', ' me', '.']","['But', ' I', ' refuse', ' to', ' be', ' reduced', ' by', ' it', '.']","[' But', ' I', ' refuse', ' to', ' be', ' reduced', ' by', ' it', '.']",0.1111111111111111,But I refuse to be reduced by it., But I refuse to be reduced by it. ,tensor([[1.]]),9,"[tensor([[0.7516]]), tensor([[0.8069]]), tensor([[0.8354]]), tensor([[0.9337]]), tensor([[0.9442]]), tensor([[0.9368]]), tensor([[0.9787]]), tensor([[0.9843]]), tensor([[1.]])]",0,18
39,gpt-3.5-turbo,Famous Quotes,14,19,Donâ€™t let a bad day trick you into thinking you have a bad life. ,"['Don', 'â', '€™', 't']","['count', ' your', ' chickens', ' before', ' they', ' hatch', '.']","[' let', ' a', ' bad', ' day', ' trick', ' you', ' into']",1.0,count your chickens before they hatch., let a bad day trick you into thinking you have a bad life. ,tensor([[0.8167]]),7,"[tensor([[0.7836]]), tensor([[0.7573]]), tensor([[0.7955]]), tensor([[0.8030]]), tensor([[0.8058]]), tensor([[0.8071]]), tensor([[0.8167]])]",0,10
42,gpt-3.5-turbo,Famous Quotes,15,30,"Like tiny seeds with potent power to push through tough ground and become mighty trees, we hold innate reserves of unimaginable strength. We are resilient. ","['Like', ' tiny']","['water', ' drops', ' make', ' the', ' mighty', ' ocean', ',', ' small', ' acts', ' of', ' kindness', ' make', ' the', ' world', ' a', ' better', ' place', '.']","[' seeds', ' with', ' potent', ' power', ' to', ' push', ' through', ' tough', ' ground', ' and', ' become', ' mighty', ' trees', ',', ' we', ' hold', ' innate', ' reserves']",1.0,"water drops make the mighty ocean, small acts of kindness make the world a better place."," seeds with potent power to push through tough ground and become mighty trees, we hold innate reserves of unimaginable strength. We are resilient. ",tensor([[0.8378]]),17,"[tensor([[0.7929]]), tensor([[0.7753]]), tensor([[0.7639]]), tensor([[0.7805]]), tensor([[0.7840]]), tensor([[0.8017]]), tensor([[0.7877]]), tensor([[0.7801]]), tensor([[0.7828]]), tensor([[0.7858]]), tensor([[0.7946]]), tensor([[0.8026]]), tensor([[0.8084]]), tensor([[0.8204]]), tensor([[0.8117]]), tensor([[0.8254]]), tensor([[0.8378]])]",0,19
45,gpt-3.5-turbo,Famous Quotes,16,12,Hardships often prepare ordinary people for an extraordinary destiny. ,"['Hard', 'ships', ' often', ' prepare', ' ordinary']","['people', ' for', ' an', ' extraordinary', ' destiny', '.', ' (']","[' people', ' for', ' an', ' extraordinary', ' destiny', '.', ' ']",0.2857142857142857,people for an extraordinary destiny. (C.S. Lewis), people for an extraordinary destiny. ,tensor([[1.0000]]),6,"[tensor([[0.7747]]), tensor([[0.8357]]), tensor([[0.8677]]), tensor([[0.8821]]), tensor([[0.9457]]), tensor([[1.0000]]), tensor([[0.9839]]), tensor([[0.9523]])]",0,11
