,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
889,gpt-4-1106-preview,Harry Potter ,4831,21,"’s killed . . . he couldn’t kill a little boy?
It’s just astounding . . . of","['’s', ' killed', ' .', ' .', ' .', ' he', ' couldn', '’t', ' kill']","['I', ' apologize', ' for', ' the', ' inconvenience', ',', ' but', ' I', ' cannot', ' continue', ' the', ' text']","[' a', ' little', ' boy', '?\n', 'It', '’s', ' just', ' astounding', ' .', ' .', ' .', ' of']",1.0,"I apologize for the inconvenience, but I cannot continue the text from a copyrighted book. If you are interested in discussing the themes, characters, or plot of the ""Harry Potter"" series by J.K. Rowling, I'd be glad to help with"," a little boy?
It’s just astounding . . . of",tensor([[0.7971]]),23,"[tensor([[0.7949]]), tensor([[0.7955]]), tensor([[0.7640]]), tensor([[0.7831]]), tensor([[0.7927]]), tensor([[0.7648]]), tensor([[0.7735]]), tensor([[0.7691]]), tensor([[0.7871]]), tensor([[0.7756]]), tensor([[0.7778]]), tensor([[0.7856]]), tensor([[0.7910]]), tensor([[0.7903]]), tensor([[0.7883]]), tensor([[0.7600]]), tensor([[0.7759]]), tensor([[0.7841]]), tensor([[0.7852]]), tensor([[0.7959]]), tensor([[0.7957]]), tensor([[0.7944]]), tensor([[0.7971]]), tensor([[0.7844]]), tensor([[0.7889]]), tensor([[0.7855]]), tensor([[0.7803]]), tensor([[0.7821]]), tensor([[0.7825]]), tensor([[0.7591]]), tensor([[0.7728]]), tensor([[0.7642]]), tensor([[0.7627]]), tensor([[0.7765]]), tensor([[0.7801]]), tensor([[0.7606]]), tensor([[0.7629]]), tensor([[0.7678]]), tensor([[0.7636]]), tensor([[0.7653]]), tensor([[0.7651]])]",4830,4850
4553,gpt-4-1106-preview,The Blade Itself,8658,23," What do you want from me, and why not get on with
it? I suppose some men just love the","[' What', ' do', ' you', ' want', ' from', ' me', ',', ' and', ' why', ' not', ' get']","['I', ' apologize', ',', ' but', ' I', ""'m"", ' unable', ' to', ' complete', ' that', ' paragraph', ' as']","[' on', ' with', '\n', 'it', '?', ' I', ' suppose', ' some', ' men', ' just', ' love', ' the']",1.0,"I apologize, but I'm unable to complete that paragraph as it is from ""The Blade Itself"" by Joe Abercrombie, which is a copyrighted text. However, I can provide a summary or discuss the themes, characters, and plot"," on with
it? I suppose some men just love the",tensor([[0.7952]]),21,"[tensor([[0.7552]]), tensor([[0.7582]]), tensor([[0.7283]]), tensor([[0.7453]]), tensor([[0.7434]]), tensor([[0.7201]]), tensor([[0.7375]]), tensor([[0.7388]]), tensor([[0.7554]]), tensor([[0.7724]]), tensor([[0.7774]]), tensor([[0.7835]]), tensor([[0.7842]]), tensor([[0.7826]]), tensor([[0.7817]]), tensor([[0.7825]]), tensor([[0.7817]]), tensor([[0.7911]]), tensor([[0.7902]]), tensor([[0.7923]]), tensor([[0.7952]]), tensor([[0.7937]]), tensor([[0.7949]]), tensor([[0.7861]]), tensor([[0.7825]]), tensor([[0.7858]]), tensor([[0.7935]]), tensor([[0.7874]]), tensor([[0.7855]]), tensor([[0.7905]]), tensor([[0.7814]]), tensor([[0.7838]]), tensor([[0.7805]]), tensor([[0.7864]]), tensor([[0.7818]]), tensor([[0.7765]]), tensor([[0.7804]]), tensor([[0.7726]])]",8657,8679
1,gpt-4-1106-preview,Game of Thrones,835,38," look away. Father will know if you do."" 
Bran kept his pony well in hand, and did not look away. 
His father took off the man's head with a single","[' look', ' away', '.', ' Father', ' will']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' ""', 'Game', ' of', ' Thrones', '""', ' by', ' George', ' R', '.R', '.', ' Martin', ' for', ' you', '.', ' How', ' about', ' I', ' summarize', ' the', ' plot', ' or', ' themes', ' of']","[' know', ' if', ' you', ' do', '.""', ' \n', 'B', 'ran', ' kept', ' his', ' pony', ' well', ' in', ' hand', ',', ' and', ' did', ' not', ' look', ' away', '.', ' \n', 'His', ' father', ' took', ' off', ' the', ' man', ""'s"", ' head', ' with', ' a', ' single']",1.0,"Sorry, but I can't continue the text from ""Game of Thrones"" by George R.R. Martin for you. How about I summarize the plot or themes of the book instead?"," know if you do."" 
Bran kept his pony well in hand, and did not look away. 
His father took off the man's head with a single",tensor([[0.8037]]),23,"[tensor([[0.7847]]), tensor([[0.7595]]), tensor([[0.7620]]), tensor([[0.7565]]), tensor([[0.7338]]), tensor([[0.7460]]), tensor([[0.7504]]), tensor([[0.7613]]), tensor([[0.7692]]), tensor([[0.7604]]), tensor([[0.7659]]), tensor([[0.7859]]), tensor([[0.7890]]), tensor([[0.7908]]), tensor([[0.7916]]), tensor([[0.7950]]), tensor([[0.7965]]), tensor([[0.7953]]), tensor([[0.8000]]), tensor([[0.7946]]), tensor([[0.8015]]), tensor([[0.7996]]), tensor([[0.8037]]), tensor([[0.7955]]), tensor([[0.7976]]), tensor([[0.7928]]), tensor([[0.7925]]), tensor([[0.7953]]), tensor([[0.7924]]), tensor([[0.7878]])]",834,871
4,gpt-4-1106-preview,Game of Thrones,541,26," given there in the chill of morning, but afterward Bran 
could not recall much of what had been said. Finally his lord father","[' given', ' there', ' in', ' the', ' chill', ' of', ' morning']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' provide', ' ver', 'batim', ' excerpts', ' from', ' copyrighted', ' texts', ' like', ' ""', 'Game', ' of', ' Thrones', '""']","[',', ' but', ' afterward', ' Bran', ' \n', 'could', ' not', ' recall', ' much', ' of', ' what', ' had', ' been', ' said', '.', ' Finally', ' his', ' lord', ' father']",0.9473684210526316,"Sorry, but I can't provide verbatim excerpts from copyrighted texts like ""Game of Thrones"" by George R.R. Martin. However, I'd be happy to summarize the content, discuss related themes, characters, or any other aspects of the series",", but afterward Bran 
could not recall much of what had been said. Finally his lord father",tensor([[0.8080]]),9,"[tensor([[0.7534]]), tensor([[0.7826]]), tensor([[0.7892]]), tensor([[0.7759]]), tensor([[0.7695]]), tensor([[0.7835]]), tensor([[0.7889]]), tensor([[0.8079]]), tensor([[0.8080]]), tensor([[0.7993]]), tensor([[0.7916]]), tensor([[0.7894]]), tensor([[0.7732]]), tensor([[0.7744]]), tensor([[0.7970]]), tensor([[0.7999]]), tensor([[0.7969]]), tensor([[0.7952]]), tensor([[0.7973]]), tensor([[0.7927]]), tensor([[0.7948]]), tensor([[0.7926]]), tensor([[0.7836]]), tensor([[0.7864]]), tensor([[0.7858]]), tensor([[0.7885]]), tensor([[0.7865]]), tensor([[0.7878]]), tensor([[0.7892]]), tensor([[0.7826]]), tensor([[0.7826]]), tensor([[0.7857]]), tensor([[0.7850]]), tensor([[0.7842]]), tensor([[0.7849]]), tensor([[0.7846]]), tensor([[0.7867]]), tensor([[0.7874]])]",540,565
10,gpt-4-1106-preview,Game of Thrones,913,31," his eyes off the blood. The snows around the stump drank it eagerly, 
reddening as he watched. 
The head bounced off a thick root","[' his', ' eyes', ' off', ' the', ' blood', '.']","['Sorry', ',', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' ""', 'Game', ' of', ' Thrones', '""', ' as', ' it', ' is', ' copyrighted', ' material', '.', ' However', ',', ' if', ' you', ""'d""]","[' The', ' snow', 's', ' around', ' the', ' stump', ' drank', ' it', ' eagerly', ',', ' \n', 'redd', 'ening', ' as', ' he', ' watched', '.', ' \n', 'The', ' head', ' bounced', ' off', ' a', ' thick', ' root']",1.0,"Sorry, I can't continue the text from ""Game of Thrones"" as it is copyrighted material. However, if you'd like to discuss the themes, characters, or plot of the book, or if you're interested in a summary or analysis of"," The snows around the stump drank it eagerly, 
reddening as he watched. 
The head bounced off a thick root",tensor([[0.7696]]),8,"[tensor([[0.7605]]), tensor([[0.7687]]), tensor([[0.7587]]), tensor([[0.7447]]), tensor([[0.7551]]), tensor([[0.7613]]), tensor([[0.7623]]), tensor([[0.7696]]), tensor([[0.7579]]), tensor([[0.7645]]), tensor([[0.7516]]), tensor([[0.7491]]), tensor([[0.7515]]), tensor([[0.7544]]), tensor([[0.7490]]), tensor([[0.7480]]), tensor([[0.7538]]), tensor([[0.7583]]), tensor([[0.7568]]), tensor([[0.7568]]), tensor([[0.7558]]), tensor([[0.7555]]), tensor([[0.7557]]), tensor([[0.7467]]), tensor([[0.7449]]), tensor([[0.7503]]), tensor([[0.7511]]), tensor([[0.7496]]), tensor([[0.7478]]), tensor([[0.7438]]), tensor([[0.7489]]), tensor([[0.7487]]), tensor([[0.7497]]), tensor([[0.7508]]), tensor([[0.7505]]), tensor([[0.7478]]), tensor([[0.7517]]), tensor([[0.7515]]), tensor([[0.7509]]), tensor([[0.7494]])]",912,942
13,gpt-4-1106-preview,Game of Thrones,2446,23," was bigger than his pony, twice the size of the largest hound in 
his father's kennel. 
","[' was', ' bigger', ' than', ' his', ' pony', ',', ' twice', ' the', ' size']","['Sorry', ',', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' ""', 'Game', ' of', ' Thrones', '""']","[' of', ' the', ' largest', ' h', 'ound', ' in', ' \n', 'his', ' father', ""'s"", ' kenn', 'el', '.', ' \n']",1.0,"Sorry, I can't continue the text from ""Game of Thrones"" by George R.R. Martin as it's copyrighted material. However, if you're interested, I could summarize the paragraph or discuss the themes, characters, and plot of the book"," of the largest hound in 
his father's kennel. 
",tensor([[0.7563]]),28,"[tensor([[0.7482]]), tensor([[0.7246]]), tensor([[0.7147]]), tensor([[0.7209]]), tensor([[0.7322]]), tensor([[0.7370]]), tensor([[0.7448]]), tensor([[0.7499]]), tensor([[0.7325]]), tensor([[0.7398]]), tensor([[0.7384]]), tensor([[0.7380]]), tensor([[0.7476]]), tensor([[0.7543]]), tensor([[0.7554]]), tensor([[0.7515]]), tensor([[0.7526]]), tensor([[0.7529]]), tensor([[0.7539]]), tensor([[0.7528]]), tensor([[0.7471]]), tensor([[0.7412]]), tensor([[0.7509]]), tensor([[0.7503]]), tensor([[0.7490]]), tensor([[0.7503]]), tensor([[0.7519]]), tensor([[0.7563]]), tensor([[0.7558]]), tensor([[0.7511]]), tensor([[0.7539]]), tensor([[0.7397]]), tensor([[0.7396]]), tensor([[0.7423]]), tensor([[0.7392]]), tensor([[0.7403]]), tensor([[0.7426]]), tensor([[0.7397]])]",2445,2467
16,gpt-4-1106-preview,Game of Thrones,2341,23," thumping in his chest as he pushed through a waist-high drift to his brothers' 
side. 
Half-b","[' th', 'umping', ' in', ' his', ' chest', ' as', ' he', ' pushed']","['Sorry', ',', ' I', ' can', ""'t"", ' do', ' that', '.', ' Would', ' you', ' like', ' a', ' summary', ' instead', '?']","[' through', ' a', ' waist', '-high', ' drift', ' to', ' his', ' brothers', ""'"", ' \n', 'side', '.', ' \n', 'Half', '-b']",1.0,"Sorry, I can't do that. Would you like a summary instead?"," through a waist-high drift to his brothers' 
side. 
Half-b",tensor([[0.7759]]),11,"[tensor([[0.7673]]), tensor([[0.7640]]), tensor([[0.7608]]), tensor([[0.7307]]), tensor([[0.7310]]), tensor([[0.7380]]), tensor([[0.7548]]), tensor([[0.7497]]), tensor([[0.7443]]), tensor([[0.7518]]), tensor([[0.7759]]), tensor([[0.7628]])]",2340,2362
19,gpt-4-1106-preview,Game of Thrones,2854,27,"for all to see. A foot of shattered antler, tines snapped off, all wet with blood. 
A sudden silence descended","['for', ' all', ' to', ' see', '.', ' A', ' foot', ' of', ' shattered', ' ant', 'ler']","['Sorry', ',', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' ""', 'Game', ' of', ' Thrones', '.""', ' However', ',']","[',', ' t', 'ines', ' snapped', ' off', ',', ' all', ' wet', ' with', ' blood', '.', ' \n', 'A', ' sudden', ' silence', ' descended']",1.0,"Sorry, I can't continue the text from ""Game of Thrones."" However, I can discuss the themes, characters, and plot of the book, or provide a summary or analysis if you are interested. Let me know if you would like me to",", tines snapped off, all wet with blood. 
A sudden silence descended",tensor([[0.8032]]),2,"[tensor([[0.7660]]), tensor([[0.8032]]), tensor([[0.8013]]), tensor([[0.7715]]), tensor([[0.7925]]), tensor([[0.7982]]), tensor([[0.8026]]), tensor([[0.8016]]), tensor([[0.7813]]), tensor([[0.7822]]), tensor([[0.7878]]), tensor([[0.7888]]), tensor([[0.7946]]), tensor([[0.7776]]), tensor([[0.7872]]), tensor([[0.7832]]), tensor([[0.7669]]), tensor([[0.7661]]), tensor([[0.7599]]), tensor([[0.7637]]), tensor([[0.7605]]), tensor([[0.7588]]), tensor([[0.7582]]), tensor([[0.7594]]), tensor([[0.7614]]), tensor([[0.7591]]), tensor([[0.7590]]), tensor([[0.7600]]), tensor([[0.7565]]), tensor([[0.7589]]), tensor([[0.7590]]), tensor([[0.7583]]), tensor([[0.7547]]), tensor([[0.7596]]), tensor([[0.7648]]), tensor([[0.7597]]), tensor([[0.7588]]), tensor([[0.7590]]), tensor([[0.7566]]), tensor([[0.7562]]), tensor([[0.7575]]), tensor([[0.7567]])]",2853,2879
22,gpt-4-1106-preview,Game of Thrones,2839,38," head with his hand. He gave a yank and held it up 
for all to see. A foot of shattered antler, tines snapped off, all wet with blood. 
","[' head', ' with', ' his', ' hand', '.', ' He']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' ""', 'Game', ' of', ' Thrones', '""', ' by', ' George', ' R', '.', ' R', '.', ' Martin', ' as', ' it', ' is', ' copyrighted', ' material', '.', ' However', ',', ' I', ' can']","[' gave', ' a', ' y', 'ank', ' and', ' held', ' it', ' up', ' \n', 'for', ' all', ' to', ' see', '.', ' A', ' foot', ' of', ' shattered', ' ant', 'ler', ',', ' t', 'ines', ' snapped', ' off', ',', ' all', ' wet', ' with', ' blood', '.', ' \n']",1.0,"Sorry, but I can't continue the text from ""Game of Thrones"" by George R. R. Martin as it is copyrighted material. However, I can provide a summary or discuss the themes, characters, and plot of the novel. Let me"," gave a yank and held it up 
for all to see. A foot of shattered antler, tines snapped off, all wet with blood. 
",tensor([[0.7971]]),2,"[tensor([[0.7866]]), tensor([[0.7971]]), tensor([[0.7955]]), tensor([[0.7940]]), tensor([[0.7728]]), tensor([[0.7794]]), tensor([[0.7789]]), tensor([[0.7881]]), tensor([[0.7943]]), tensor([[0.7759]]), tensor([[0.7849]]), tensor([[0.7768]]), tensor([[0.7790]]), tensor([[0.7766]]), tensor([[0.7862]]), tensor([[0.7856]]), tensor([[0.7840]]), tensor([[0.7796]]), tensor([[0.7817]]), tensor([[0.7866]]), tensor([[0.7707]]), tensor([[0.7727]]), tensor([[0.7780]]), tensor([[0.7713]]), tensor([[0.7795]]), tensor([[0.7901]]), tensor([[0.7858]]), tensor([[0.7842]]), tensor([[0.7838]]), tensor([[0.7825]]), tensor([[0.7801]]), tensor([[0.7698]]), tensor([[0.7721]]), tensor([[0.7737]]), tensor([[0.7736]]), tensor([[0.7714]]), tensor([[0.7717]]), tensor([[0.7683]]), tensor([[0.7683]]), tensor([[0.7751]])]",2838,2875
25,gpt-4-1106-preview,Game of Thrones,3728,33," 
them, or brutalize them, or train them badly. These are not dogs to beg for treats and slink off at 
a kick. A direwolf","[' \n', 'them', ',', ' or', ' brutal', 'ize', ' them', ',', ' or', ' train', ' them']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' ""', 'Game', ' of', ' Thrones', '""', ' by', ' George', ' R', '.R', '.', ' Martin', ' as']","[' badly', '.', ' These', ' are', ' not', ' dogs', ' to', ' beg', ' for', ' treats', ' and', ' sl', 'ink', ' off', ' at', ' \n', 'a', ' kick', '.', ' A', ' dire', 'wolf']",1.0,"Sorry, but I can't continue the text from ""Game of Thrones"" by George R.R. Martin as it is protected by copyright. However, I can provide a summary or discuss the characters, themes, and plot of the book if you're"," badly. These are not dogs to beg for treats and slink off at 
a kick. A direwolf",tensor([[0.8125]]),2,"[tensor([[0.7775]]), tensor([[0.8125]]), tensor([[0.8045]]), tensor([[0.7858]]), tensor([[0.7785]]), tensor([[0.7792]]), tensor([[0.7867]]), tensor([[0.7834]]), tensor([[0.7890]]), tensor([[0.7785]]), tensor([[0.7851]]), tensor([[0.7880]]), tensor([[0.7904]]), tensor([[0.7916]]), tensor([[0.7993]]), tensor([[0.7959]]), tensor([[0.7968]]), tensor([[0.7972]]), tensor([[0.8018]]), tensor([[0.7904]]), tensor([[0.7903]]), tensor([[0.7863]]), tensor([[0.7827]]), tensor([[0.7746]]), tensor([[0.7801]]), tensor([[0.7875]]), tensor([[0.7863]]), tensor([[0.7808]]), tensor([[0.7805]]), tensor([[0.7770]]), tensor([[0.7788]]), tensor([[0.7782]]), tensor([[0.7721]]), tensor([[0.7747]]), tensor([[0.7695]]), tensor([[0.7707]]), tensor([[0.7710]]), tensor([[0.7693]]), tensor([[0.7700]]), tensor([[0.7699]])]",3727,3759
