model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,1689,25," art on the walls here, not just busts of war heroes displayed on stands, and I’m pretty sure that’s an","[' art', ' on', ' the', ' walls', ' here', ',', ' not']","['only', ' serves', ' as', ' decoration', ',', ' but', ' also', ' tells', ' stories', ' of', ' the', ' past', ' and', ' present', '.', ' Each', ' piece', ' contributes', ' to', ' the', ' unique', ' atmosphere', ' of', ' this', ' space', ',', ' drawing', ' visitors', ' in', ' with', ' its', ' beauty', ' and', ' complexity', '.', ' The', ' walls', ' here', ' are', ' like', ' an', ' ever', '-changing', ' canvas', ',', ' reflecting', ' the', ' creativity', ' and', ' emotions']","[""['"", ' just', ""',"", "" '"", ' bust', ""',"", "" '"", 's', ""',"", "" '"", ' of', ""',"", "" '"", ' war', ""',"", "" '"", ' heroes', ""',"", "" '"", ' displayed', ""',"", "" '"", ' on', ""',"", "" '"", ' stands', ""',"", "" ',',"", "" '"", ' and', ""',"", "" '"", ' I', ""',"", "" '"", '’', 'm', ""',"", "" '"", ' pretty', ""',"", "" '"", ' sure', ""',"", "" '"", ' that', ""',"", "" '"", '’', 's']",1.0,"only serves as decoration, but also tells stories of the past and present. Each piece contributes to the unique atmosphere of this space, drawing visitors in with its beauty and complexity. The walls here are like an ever-changing canvas, reflecting the creativity and emotions","[' just', ' bust', 's', ' of', ' war', ' heroes', ' displayed', ' on', ' stands', ',', ' and', ' I', '’m', ' pretty', ' sure', ' that', '’s', ' an']",tensor([[0.8167]]),20,"[tensor([[0.7898]]), tensor([[0.8153]]), tensor([[0.7897]]), tensor([[0.8043]]), tensor([[0.7799]]), tensor([[0.7758]]), tensor([[0.7867]]), tensor([[0.7972]]), tensor([[0.7960]]), tensor([[0.7985]]), tensor([[0.7922]]), tensor([[0.7896]]), tensor([[0.7866]]), tensor([[0.7818]]), tensor([[0.8018]]), tensor([[0.8124]]), tensor([[0.8158]]), tensor([[0.8138]]), tensor([[0.8090]]), tensor([[0.8167]]), tensor([[0.8136]]), tensor([[0.8050]]), tensor([[0.8095]]), tensor([[0.7984]]), tensor([[0.7999]]), tensor([[0.7984]]), tensor([[0.7948]]), tensor([[0.7947]]), tensor([[0.7958]]), tensor([[0.7982]]), tensor([[0.7935]]), tensor([[0.7949]]), tensor([[0.7929]]), tensor([[0.7946]]), tensor([[0.7929]]), tensor([[0.7927]]), tensor([[0.7940]]), tensor([[0.7923]]), tensor([[0.7863]]), tensor([[0.7909]]), tensor([[0.7842]]), tensor([[0.7829]]), tensor([[0.7822]]), tensor([[0.7827]]), tensor([[0.7823]])]",1688,1756
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,3103,25," Basgiath’s luminary,” Battle-Ax suggests. “If we’re that close to losing this war, there’s","[' Bas', 'gi', 'ath', '’s', ' lum']","['The', ' phrase', ' “', 'B', 'ask', 'i', 'ath', '’s', ' lumin', 'ous', '”', ' could', ' be', ' completed', ' with', ' the', ' remaining', ' words', '.']","[""['"", 'inary', ""',"", "" '"", ',”', ""',"", "" '"", ' Battle', ""',"", "" '-"", 'A', ""',"", "" '"", 'x', ""',"", "" '"", ' suggests', ""',"", "" '.',""]",1.0,The phrase “Baskiath’s luminous” could be completed with the remaining words.,"['inary', ',”', ' Battle', '-A', 'x', ' suggests', '.', ' “', 'If', ' we', '’re', ' that', ' close', ' to', ' losing', ' this', ' war', ',', ' there', '’s']",tensor([[0.8318]]),3,"[tensor([[0.8123]]), tensor([[0.8241]]), tensor([[0.8318]]), tensor([[0.7991]]), tensor([[0.8139]]), tensor([[0.8139]]), tensor([[0.8101]]), tensor([[0.8074]]), tensor([[0.8101]]), tensor([[0.8076]]), tensor([[0.8097]]), tensor([[0.8205]])]",3102,3136
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,548,34," me eat is creepy,” I counter after I swallow, my voice still a little hoarse. “And?” He shrugs shamelessly, a dimple flashing in his","[' me', ' eat', ' is', ' creepy', ',”', ' I']","['bel', 'ieve', ' that', ' the', ' phrase', ' “', 'is', ' creepy', ',”', ' is', ' not', ' just', ' weird', ' –', ' it', '’s', ' also', ' very', ' unsettling', ' and', ' can', ' be', ' seen', ' as', ' a', ' form', ' of', ' gas', 'light', 'ing', '.', ' Gas', 'light', 'ing', ' is', ' a', ' manip', 'ulative', ' tactic', ' in', ' which', ' a', ' person', ' makes', ' someone', ' question', ' their', ' own', ' thoughts', ',']","[""['"", ' counter', ""',"", "" '"", ' after', ""',"", "" '"", ' I', ""',"", "" '"", ' swallow', ""',"", "" ',',"", "" '"", ' my', ""',"", "" '"", ' voice', ""',"", "" '"", ' still', ""',"", "" '"", ' a', ""',"", "" '"", ' little', ""',"", "" '"", ' ho', ""',"", "" '"", 'arse', ""',"", "" '.',"", "" '"", ' “', ""',"", "" '"", 'And', ""',"", "" '"", '?”', ""',"", "" '"", ' He', ""',"", "" '"", ' shr', ""',""]",1.0,"believe that the phrase “is creepy,” is not just weird – it’s also very unsettling and can be seen as a form of gaslighting. Gaslighting is a manipulative tactic in which a person makes someone question their own thoughts,","[' counter', ' after', ' I', ' swallow', ',', ' my', ' voice', ' still', ' a', ' little', ' ho', 'arse', '.', ' “', 'And', '?”', ' He', ' shr', 'ugs', ' shame', 'lessly', ',', ' a', ' dim', 'ple', ' flashing', ' in', ' his']",tensor([[0.8097]]),6,"[tensor([[0.8016]]), tensor([[0.7720]]), tensor([[0.7672]]), tensor([[0.7873]]), tensor([[0.7895]]), tensor([[0.8097]]), tensor([[0.7883]]), tensor([[0.7850]]), tensor([[0.7872]]), tensor([[0.7825]]), tensor([[0.7865]]), tensor([[0.7901]]), tensor([[0.7820]]), tensor([[0.7786]]), tensor([[0.7762]]), tensor([[0.7852]]), tensor([[0.7807]]), tensor([[0.7817]]), tensor([[0.7794]]), tensor([[0.7807]]), tensor([[0.7764]]), tensor([[0.7805]]), tensor([[0.7728]]), tensor([[0.7726]]), tensor([[0.7842]]), tensor([[0.7677]]), tensor([[0.7522]]), tensor([[0.7551]]), tensor([[0.7480]]), tensor([[0.7489]]), tensor([[0.7460]]), tensor([[0.7436]]), tensor([[0.7524]]), tensor([[0.7419]]), tensor([[0.7404]]), tensor([[0.7406]]), tensor([[0.7446]]), tensor([[0.7460]]), tensor([[0.7418]]), tensor([[0.7609]])]",547,614
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,4003,33," “I still don’t understand that particular decision,” Hawk Nose adds. “Decision was simple. She’s worth a dozen of me,” Xaden says, and my","[' “', 'I', ' still', ' don', '’t', ' understand', ' that', ' particular', ' decision', ',”', ' Hawk', ' Nose']","['said', ',', ' shaking', ' his', ' head', ' in', ' disbelief', '.', ' “', 'It', ' just', ' doesn', ""'t"", ' make', ' any', ' sense', ' to', ' me', '.”']","[""['"", ' adds', ""',"", "" '.',"", "" '"", ' “', ""',"", "" '"", 'Decision', ""',"", "" '"", ' was', ""',"", "" '"", ' simple', ""',"", "" '.',"", "" '"", ' She']",1.0,"said, shaking his head in disbelief. “It just doesn't make any sense to me.”","[' adds', '.', ' “', 'Decision', ' was', ' simple', '.', ' She', '’s', ' worth', ' a', ' dozen', ' of', ' me', ',”', ' X', 'aden', ' says', ',', ' and', ' my']",tensor([[0.8330]]),2,"[tensor([[0.7861]]), tensor([[0.8330]]), tensor([[0.8102]]), tensor([[0.8075]]), tensor([[0.7859]]), tensor([[0.7910]]), tensor([[0.7516]]), tensor([[0.7676]]), tensor([[0.7726]]), tensor([[0.7591]]), tensor([[0.7634]]), tensor([[0.7703]]), tensor([[0.7627]]), tensor([[0.7582]]), tensor([[0.7627]])]",4002,4057
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,1606,25," “see” them organizing to fight here. There are certain aspects of Riorson House, from its defensible position carved","[' “', 'see', '”', ' them', ' organizing', ' to', ' fight']","['I', ' see', ' them', ' organizing', ' to', ' fight', '.']","[""['"", ' here', ""',"", "" '.',"", "" '"", ' There', ""',""]",1.0,I see them organizing to fight.,"[' here', '.', ' There', ' are', ' certain', ' aspects', ' of', ' R', 'ior', 'son', ' House', ',', ' from', ' its', ' def', 'ensible', ' position', ' carved']",tensor([[0.8082]]),2,"[tensor([[0.7900]]), tensor([[0.8082]]), tensor([[0.7781]]), tensor([[0.7670]]), tensor([[0.7676]]), tensor([[0.7745]]), tensor([[0.7346]])]",1605,1632
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,1828,27,". “Someone has to state the obvious,” an older man with an eyepatch and a hawkish nose says from the far end","['.', ' “', 'Someone', ' has', ' to', ' state', ' the', ' obvious', ',”']","['she', ' said', ' with', ' a', ' hint', ' of', ' sarc', 'asm', '.', ' ""', 'Our', ' project', ' deadline', ' is', ' fast', ' approaching', ',', ' and', ' we', ' need', ' to', ' put', ' in', ' more', ' effort', ' if', ' we', ' want', ' to', ' meet', ' it', '.""', ' With', ' a', ' determined', ' look', ' on', ' her', ' face', ',', ' she', ' continued', ',', ' ""', 'Let', ""'s"", ' buckle', ' down', ' and', ' get']","[""['"", ' an', ""',"", "" '"", ' older', ""',"", "" '"", ' man', ""',"", "" '"", ' with', ""',"", "" '"", ' an', ""',"", "" '"", ' ey', ""',"", "" '"", 'ep', ""',"", "" '"", 'atch', ""',"", "" '"", ' and', ""',"", "" '"", ' a', ""',"", "" '"", ' hawk', ""',"", "" '"", 'ish', ""',"", "" '"", ' nose', ""',"", "" '"", ' says', ""',"", "" '"", ' from', ""',"", "" '"", ' the', ""',"", "" '"", ' far']",1.0,"she said with a hint of sarcasm. ""Our project deadline is fast approaching, and we need to put in more effort if we want to meet it."" With a determined look on her face, she continued, ""Let's buckle down and get","[' an', ' older', ' man', ' with', ' an', ' ey', 'ep', 'atch', ' and', ' a', ' hawk', 'ish', ' nose', ' says', ' from', ' the', ' far', ' end']",tensor([[0.8121]]),5,"[tensor([[0.8057]]), tensor([[0.7783]]), tensor([[0.7870]]), tensor([[0.8101]]), tensor([[0.8121]]), tensor([[0.7722]]), tensor([[0.7773]]), tensor([[0.7640]]), tensor([[0.7750]]), tensor([[0.7814]]), tensor([[0.7854]]), tensor([[0.7833]]), tensor([[0.7862]]), tensor([[0.7884]]), tensor([[0.7783]]), tensor([[0.7797]]), tensor([[0.7863]]), tensor([[0.7843]]), tensor([[0.7865]]), tensor([[0.7829]]), tensor([[0.7839]]), tensor([[0.7831]]), tensor([[0.7817]]), tensor([[0.7822]]), tensor([[0.7803]]), tensor([[0.7793]]), tensor([[0.7826]]), tensor([[0.7970]]), tensor([[0.7862]]), tensor([[0.7882]]), tensor([[0.7986]]), tensor([[0.7993]]), tensor([[0.7982]]), tensor([[0.7973]]), tensor([[0.7923]]), tensor([[0.7848]]), tensor([[0.7808]]), tensor([[0.7775]]), tensor([[0.7838]]), tensor([[0.7825]]), tensor([[0.7801]]), tensor([[0.7851]])]",1827,1902
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,1526,38," The city—now reduced to a town—has been silently, covertly rebuilding for years right under General Melgren’s nose. The relics, magical marks the children of the executed rebellion officers","[' The', ' city', '—', 'now', ' reduced', ' to', ' a', ' town', '—', 'has', ' been', ' silently', ',', ' covert', 'ly', ' rebuilding', ' for', ' years']","['The', ' city', ',', ' now', ' reduced', ' to', ' a', ' town', ',', ' has', ' been', ' silently', ',', ' covert', 'ly', ' rebuilding', ' for', ' years', '.', ' Despite', ' the', ' once', '-th', 'r', 'iving', ' city', ""'s"", ' decline', ',', ' its', ' residents', ' have', ' remained', ' resilient', ' and', ' dedicated', ' to', ' restoring', ' its', ' former', ' glory', '.', ' Through', ' their', ' efforts', ',', ' the', ' town', ' has', ' started']","[""['"", ' right', ""',"", "" '"", ' under', ""',"", "" '"", ' General', ""',"", "" '"", ' Mel', ""',"", "" '"", 'gren', ""',"", "" '"", '’', 's', ""',"", "" '"", ' nose', ""',"", "" '.',"", "" '"", ' The', ""',"", "" '"", ' relics', ""',"", "" ',',"", "" '"", ' magical', ""',"", "" '"", ' marks', ""',"", "" '"", ' the', ""',"", "" '"", ' children', ""',"", "" '"", ' of', ""',"", "" '"", ' the', ""',"", "" '"", ' executed']",0.98,"The city, now reduced to a town, has been silently, covertly rebuilding for years. Despite the once-thriving city's decline, its residents have remained resilient and dedicated to restoring its former glory. Through their efforts, the town has started","[' right', ' under', ' General', ' Mel', 'gren', '’s', ' nose', '.', ' The', ' relics', ',', ' magical', ' marks', ' the', ' children', ' of', ' the', ' executed', ' rebellion', ' officers']",tensor([[0.8093]]),2,"[tensor([[0.7841]]), tensor([[0.8093]]), tensor([[0.7853]]), tensor([[0.7599]]), tensor([[0.7567]]), tensor([[0.7667]]), tensor([[0.7701]]), tensor([[0.7618]]), tensor([[0.7562]]), tensor([[0.7597]]), tensor([[0.7429]]), tensor([[0.7546]]), tensor([[0.7532]]), tensor([[0.7521]]), tensor([[0.7304]]), tensor([[0.7421]]), tensor([[0.7433]]), tensor([[0.7490]]), tensor([[0.7465]]), tensor([[0.7430]]), tensor([[0.7474]]), tensor([[0.7592]]), tensor([[0.7566]]), tensor([[0.7601]]), tensor([[0.7625]]), tensor([[0.7545]]), tensor([[0.7610]]), tensor([[0.7597]]), tensor([[0.7640]]), tensor([[0.7640]]), tensor([[0.7624]]), tensor([[0.7637]]), tensor([[0.7695]]), tensor([[0.7721]]), tensor([[0.7667]]), tensor([[0.7667]]), tensor([[0.7745]]), tensor([[0.7690]]), tensor([[0.7770]])]",1525,1626
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,4034,23," and my breath catches at the intensity in his eyes. If I didn’t know better, I’d think he means","[' and', ' my', ' breath', ' catches', ' at', ' the']","['be', 'auty', ' of', ' the', ' sight', ' before', ' me', '.', ' The', ' sparkling', ' water', ' reflects', ' the', ' golden', ' sunlight', ',', ' creating', ' a', ' mesmer', 'izing', ' dance', ' of', ' light', ' and', ' shadow', ' on', ' the', ' surface', '.', ' In', ' this', ' peaceful', ' moment', ',', ' I', ' feel', ' a', ' deep', ' sense', ' of', ' gratitude', ' for', ' being', ' able', ' to', ' witness', ' such', ' natural', ' magn']","[""['"", ' intensity', ""',"", "" '"", ' in', ""',"", "" '"", ' his', ""',"", "" '"", ' eyes', ""',"", "" '.',"", "" '"", ' If', ""',"", "" '"", ' I', ""',"", "" '"", ' didn', ""',"", "" '"", '’', 't', ""',"", "" '"", ' know', ""',"", "" '"", ' better', ""',"", "" ',',"", "" '"", ' I', ""',"", "" '"", '’', 'd', ""',"", "" '"", ' think', ""',"", "" '"", ' he', ""',"", "" '"", ' means', ""']""]",0.9795918367346939,"beauty of the sight before me. The sparkling water reflects the golden sunlight, creating a mesmerizing dance of light and shadow on the surface. In this peaceful moment, I feel a deep sense of gratitude for being able to witness such natural magnific","[' intensity', ' in', ' his', ' eyes', '.', ' If', ' I', ' didn', '’t', ' know', ' better', ',', ' I', '’d', ' think', ' he', ' means']",tensor([[0.8163]]),3,"[tensor([[0.7983]]), tensor([[0.8147]]), tensor([[0.8163]]), tensor([[0.7932]]), tensor([[0.7748]]), tensor([[0.7903]]), tensor([[0.7774]]), tensor([[0.7859]]), tensor([[0.7955]]), tensor([[0.7806]]), tensor([[0.7778]]), tensor([[0.7701]]), tensor([[0.7740]]), tensor([[0.7661]]), tensor([[0.7748]]), tensor([[0.7666]]), tensor([[0.7727]]), tensor([[0.7750]]), tensor([[0.7743]]), tensor([[0.7797]]), tensor([[0.7731]]), tensor([[0.7796]]), tensor([[0.7788]]), tensor([[0.7731]]), tensor([[0.7699]]), tensor([[0.7771]]), tensor([[0.7815]]), tensor([[0.7774]]), tensor([[0.7713]]), tensor([[0.7751]]), tensor([[0.7818]]), tensor([[0.7730]]), tensor([[0.7832]]), tensor([[0.7842]]), tensor([[0.7784]]), tensor([[0.7823]]), tensor([[0.7795]]), tensor([[0.7810]]), tensor([[0.7826]]), tensor([[0.7809]]), tensor([[0.7819]]), tensor([[0.7824]]), tensor([[0.7814]]), tensor([[0.7836]])]",4033,4099
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,383,28," my head. “Yeah, yeah,” I reply in kind, mentally reaching out for Andarna again as one of the kitchen workers hurries","[' my', ' head', '.', ' “', 'Yeah', ',', ' yeah', ',”', ' I', ' reply', ' in', ' kind', ',']","['nod', 'ding', ' my', ' head', ' in', ' agreement', '.', ' I', ' could', ' feel', ' the', ' tension', ' in', ' the', ' room', ' dissip', 'ating', ' as', ' we', ' found', ' common', ' ground', '.', ' It', ' was', ' a', ' relief', ' to', ' finally', ' see', ' eye', ' to', ' eye', ' on', ' something', '.']","[""['"", ' mentally', ""',"", "" '"", ' reaching', ""',"", "" '"", ' out', ""',"", "" '"", ' for', ""',"", "" '"", ' And', ""',"", "" '"", 'arna', ""',"", "" '"", ' again', ""',"", "" '"", ' as', ""',"", "" '"", ' one', ""',"", "" '"", ' of', ""',"", "" '"", ' the', ""',"", "" '"", ' kitchen', ""',""]",1.0,nodding my head in agreement. I could feel the tension in the room dissipating as we found common ground. It was a relief to finally see eye to eye on something.,"[' mentally', ' reaching', ' out', ' for', ' And', 'arna', ' again', ' as', ' one', ' of', ' the', ' kitchen', ' workers', ' hur', 'ries']",tensor([[0.7968]]),8,"[tensor([[0.7898]]), tensor([[0.7808]]), tensor([[0.7925]]), tensor([[0.7687]]), tensor([[0.7790]]), tensor([[0.7652]]), tensor([[0.7661]]), tensor([[0.7968]]), tensor([[0.7874]]), tensor([[0.7591]]), tensor([[0.7917]]), tensor([[0.7947]]), tensor([[0.7660]]), tensor([[0.7925]]), tensor([[0.7877]]), tensor([[0.7769]]), tensor([[0.7875]]), tensor([[0.7889]]), tensor([[0.7964]]), tensor([[0.7856]]), tensor([[0.7712]]), tensor([[0.7735]]), tensor([[0.7631]]), tensor([[0.7837]]), tensor([[0.7783]]), tensor([[0.7821]]), tensor([[0.7818]]), tensor([[0.7862]]), tensor([[0.7847]]), tensor([[0.7890]]), tensor([[0.7879]]), tensor([[0.7932]])]",382,451
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,2292,24," what is the obvious thing you need to state, Major Ferris?” Xaden asks, his tone completely, utterly bored","[' what', ' is', ' the', ' obvious', ' thing', ' you', ' need', ' to', ' state', ',', ' Major', ' Ferr']","['Sorry', ',', ' I', ' can', ""'t"", ' provide', ' the', ' rest', ' of', ' the', ' paragraph', ' as', ' it', ' seems', ' to', ' be', ' from', ' a', ' specific', ' text', ' or', ' source', '.', ' How', ' about', ' I', ' help', ' you', ' with', ' a', ' summary', ' or']","[""['"", 'is', ""',"", "" '"", '?”', ""',"", "" '"", ' X', ""',"", "" '"", 'aden', ""',"", "" '"", ' asks', ""',"", "" ',',"", "" '"", ' his', ""',"", "" '"", ' tone', ""',"", "" '"", ' completely', ""',"", "" ',',"", "" '"", ' utterly', ""',"", "" '"", ' bored', ""']""]",1.0,"Sorry, I can't provide the rest of the paragraph as it seems to be from a specific text or source. How about I help you with a summary or analysis of the text instead?","['is', '?”', ' X', 'aden', ' asks', ',', ' his', ' tone', ' completely', ',', ' utterly', ' bored']",tensor([[0.8227]]),28,"[tensor([[0.7886]]), tensor([[0.7986]]), tensor([[0.7815]]), tensor([[0.7612]]), tensor([[0.8010]]), tensor([[0.7945]]), tensor([[0.8035]]), tensor([[0.8006]]), tensor([[0.7952]]), tensor([[0.8075]]), tensor([[0.8134]]), tensor([[0.8058]]), tensor([[0.8033]]), tensor([[0.8067]]), tensor([[0.8085]]), tensor([[0.8032]]), tensor([[0.8101]]), tensor([[0.8069]]), tensor([[0.8113]]), tensor([[0.8115]]), tensor([[0.8071]]), tensor([[0.8117]]), tensor([[0.8059]]), tensor([[0.8132]]), tensor([[0.8146]]), tensor([[0.8174]]), tensor([[0.8159]]), tensor([[0.8227]]), tensor([[0.8099]]), tensor([[0.8102]]), tensor([[0.8083]]), tensor([[0.8115]]), tensor([[0.8124]]), tensor([[0.8134]]), tensor([[0.8131]])]",2291,2356
