,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
0,gpt-3.5-turbo,Slogans,1,17,"My bologna has a first name, it’s O-S-C-A-R. ","['My', ' b', 'ologna', ' has', ' a']","['first', ' name', '!', ' It', ""'s"", ' O', '-S', '-C', '-A', '-R', '!']","[' first', ' name', ',', ' it', '’s', ' O', '-S', '-C', '-A', '-R', '.']",0.4545454545454545,first name! It's O-S-C-A-R!," first name, it’s O-S-C-A-R. ",tensor([[0.9649]]),5,"[tensor([[0.7858]]), tensor([[0.8124]]), tensor([[0.9119]]), tensor([[0.9049]]), tensor([[0.9649]])]",0,15
3,gpt-3.5-turbo,Slogans,2,16,"Plop plop, fizz fizz, oh what a relief it is. ",['P'],"['P', 'ep', 'si', ':', ' ""', 'Live', ' for', ' Now', '""']","['lop', ' p', 'lop', ',', ' fizz', ' fizz', ',', ' oh', ' what']",1.0,"Pepsi: ""Live for Now""","lop plop, fizz fizz, oh what a relief it is. ",tensor([[0.7953]]),1,"[tensor([[0.7953]]), tensor([[0.7947]]), tensor([[0.7649]]), tensor([[0.7685]]), tensor([[0.7849]])]",0,9
6,gpt-3.5-turbo,Slogans,3,11,"Like a good neighbor, State Farm is there. ","['Like', ' a', ' good', ' neighbor']","['State', ' Farm', ' is', ' there']","[',', ' State', ' Farm', ' is']",0.75,State Farm is there,", State Farm is there. ",tensor([[0.9513]]),5,"[tensor([[0.7618]]), tensor([[0.8039]]), tensor([[0.9263]]), tensor([[0.9460]]), tensor([[0.9513]])]",0,7
9,gpt-3.5-turbo,Slogans,4,9,"Double your pleasure, double your fun. ","['Double', ' your', ' pleasure', ',']","['double', ' your', ' fun', '.']","[' double', ' your', ' fun', '.']",0.25,double your fun., double your fun. ,tensor([[1.0000]]),4,"[tensor([[0.7875]]), tensor([[0.8904]]), tensor([[0.9126]]), tensor([[1.0000]])]",0,7
12,gpt-3.5-turbo,Slogans,5,8,Be all that you can be. ,"['Be', ' all', ' that', ' you']","['can', ' be', '.']","[' can', ' be', '.']",0.3333333333333333,can be., can be. ,tensor([[1.0000]]),3,"[tensor([[0.7877]]), tensor([[0.9179]]), tensor([[1.0000]])]",0,6
15,gpt-3.5-turbo,Slogans,6,12,"For all you do, this Bud’s for you. ",['For'],"['the', ' people', '.']","[' all', ' you', ' do']",1.0,the people.," all you do, this Bud’s for you. ",tensor([[0.7929]]),2,"[tensor([[0.7779]]), tensor([[0.7929]]), tensor([[0.7673]])]",0,3
18,gpt-3.5-turbo,Slogans,7,13,A little dab’ll do ya. (1950s) ,['A'],"['popular', ' slogan', ' is', ' ""', 'Just', ' do', ' it', '.""']","[' little', ' dab', '’ll', ' do', ' ya', '.', ' (', '195']",1.0,"popular slogan is ""Just do it.""", little dab’ll do ya. (1950s) ,tensor([[0.8040]]),1,"[tensor([[0.8040]]), tensor([[0.7799]]), tensor([[0.7932]]), tensor([[0.7839]]), tensor([[0.7819]]), tensor([[0.7855]]), tensor([[0.7738]])]",0,8
21,gpt-3.5-turbo,Slogans,8,11,It’s the real thing. (1970) ,['It'],"['is', ' a', ' popular', ' slogan', ' that', ' emphasizes', ' the', ' importance', ' of', ' staying']","['’s', ' the', ' real', ' thing', '.', ' (', '197', '0', ')', ' ']",1.0,is a popular slogan that emphasizes the importance of staying hydrated.,’s the real thing. (1970) ,tensor([[0.8108]]),3,"[tensor([[0.7688]]), tensor([[0.8004]]), tensor([[0.8108]]), tensor([[0.7971]]), tensor([[0.7870]]), tensor([[0.7849]]), tensor([[0.7703]]), tensor([[0.7756]]), tensor([[0.7603]]), tensor([[0.7571]]), tensor([[0.7544]]), tensor([[0.7557]])]",0,10
24,gpt-3.5-turbo,Slogans,9,11,Ace is the place with the helpful hardware man. ,"['Ace', ' is']","['the', ' place', ' to', ' find', ' everything', ' you', ' need', '!']","[' the', ' place', ' with', ' the', ' helpful', ' hardware', ' man', '.']",0.875,the place to find everything you need!, the place with the helpful hardware man. ,tensor([[0.8248]]),8,"[tensor([[0.7572]]), tensor([[0.7757]]), tensor([[0.7908]]), tensor([[0.7767]]), tensor([[0.8013]]), tensor([[0.8022]]), tensor([[0.7984]]), tensor([[0.8248]])]",0,9
27,gpt-3.5-turbo,Slogans,10,7,You deserve a break today. ,"['You', ' deserve']","['the', ' best', '.']","[' a', ' break', ' today']",1.0,the best., a break today. ,tensor([[0.8058]]),3,"[tensor([[0.7912]]), tensor([[0.7839]]), tensor([[0.8058]])]",0,4
