model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Slogans,0,30,"My bologna has a first name, it’s O-S-C-A-R. ","['My', ' b', 'ologna', ' has', ' a']","['""My', ' b', 'ologna', ' has', ' a', ' first', ' name', ',', ' it', ""'s"", ' O', '-S', '-C', '-A', '-R', '.""']","[""['"", ' first', ""',"", "" '"", ' name', ""',"", "" ',',"", "" '"", ' it', ""',"", "" '"", '’', 's', ""',"", "" '"", ' O']",0.9375,"""My bologna has a first name, it's O-S-C-A-R.""","[' first', ' name', ',', ' it', '’s', ' O', '-S', '-C', '-A', '-R', '.']",tensor([[0.8562]]),9,"[tensor([[0.7975]]), tensor([[0.8178]]), tensor([[0.7659]]), tensor([[0.7749]]), tensor([[0.7714]]), tensor([[0.7945]]), tensor([[0.8092]]), tensor([[0.8022]]), tensor([[0.8562]])]",0,30
gpt-3.5-turbo,Slogans,0,25,"Plop plop, fizz fizz, oh what a relief it is. ",['P'],"['I', ""'m"", ' sorry', ',', ' it', ' seems', ' like', ' there', ' might', ' have', ' been', ' a', ' technical', ' issue', '.', ' Could', ' you', ' provide', ' more', ' context', ' or', ' let', ' me']","[""['"", 'lop', ""',"", "" '"", ' p', ""',"", "" '"", 'lop', ""',"", "" ',',"", "" '"", ' fizz', ""',"", "" '"", ' fizz', ""',"", "" ',',"", "" '"", ' oh', ""',"", "" '"", ' what', ""']""]",1.0,"I'm sorry, it seems like there might have been a technical issue. Could you provide more context or let me know how I can assist you further?","['lop', ' p', 'lop', ',', ' fizz', ' fizz', ',', ' oh', ' what']",tensor([[0.7871]]),1,"[tensor([[0.7871]]), tensor([[0.7562]]), tensor([[0.7511]]), tensor([[0.7581]]), tensor([[0.7401]]), tensor([[0.7501]]), tensor([[0.7630]]), tensor([[0.7768]]), tensor([[0.7827]]), tensor([[0.7679]]), tensor([[0.7616]]), tensor([[0.7711]]), tensor([[0.7648]]), tensor([[0.7725]]), tensor([[0.7828]]), tensor([[0.7849]]), tensor([[0.7826]]), tensor([[0.7669]]), tensor([[0.7656]]), tensor([[0.7730]]), tensor([[0.7657]]), tensor([[0.7645]]), tensor([[0.7659]]), tensor([[0.7679]]), tensor([[0.7623]]), tensor([[0.7642]]), tensor([[0.7696]]), tensor([[0.7706]])]",0,25
gpt-3.5-turbo,Slogans,0,23,"Like a good neighbor, State Farm is there. ","['Like', ' a', ' good', ' neighbor']","['-', ' ""', 'a', ' good', ' neighbor', '""', ' is', ' always', ' there', ' to', ' lend', ' a']","['[', ""',"", ""',"", "" '"", ' State', ""',"", "" '"", ' Farm', ""',"", "" '"", ' is', ""']""]",1.0,"- ""a good neighbor"" is always there to lend a helping hand and provide support when needed. They are reliable, trustworthy, and willing to assist in any way they can. Good neighbors build a sense of community and create a positive and friendly environment","[',', ' State', ' Farm', ' is']",tensor([[0.8350]]),2,"[tensor([[0.7941]]), tensor([[0.8350]]), tensor([[0.8217]]), tensor([[0.8002]]), tensor([[0.7742]]), tensor([[0.7775]]), tensor([[0.7665]]), tensor([[0.7652]]), tensor([[0.7624]]), tensor([[0.7643]]), tensor([[0.7653]]), tensor([[0.7592]]), tensor([[0.7562]]), tensor([[0.7483]]), tensor([[0.7531]]), tensor([[0.7532]]), tensor([[0.7518]]), tensor([[0.7357]]), tensor([[0.7508]]), tensor([[0.7495]]), tensor([[0.7580]]), tensor([[0.7549]]), tensor([[0.7376]]), tensor([[0.7359]]), tensor([[0.7332]]), tensor([[0.7337]]), tensor([[0.7332]]), tensor([[0.7356]]), tensor([[0.7323]]), tensor([[0.7343]]), tensor([[0.7532]]), tensor([[0.7407]]), tensor([[0.7531]]), tensor([[0.7456]]), tensor([[0.7474]]), tensor([[0.7355]]), tensor([[0.7402]]), tensor([[0.7343]]), tensor([[0.7322]]), tensor([[0.7325]]), tensor([[0.7369]]), tensor([[0.7328]]), tensor([[0.7329]]), tensor([[0.7312]]), tensor([[0.7318]])]",0,23
gpt-3.5-turbo,Slogans,0,21,"Double your pleasure, double your fun. ","['Double', ' your', ' pleasure', ',']","['double', ' your', ' fun', '""', ' was', ' a', ' popular', ' slogan', ' used', ' in', ' a']","[""['"", ' double', ""',"", "" '"", ' your', ""',"", "" '"", ' fun', ""',"", "" '."", ""']""]",1.0,"double your fun"" was a popular slogan used in a commercial promoting the benefits of a particular brand of gum. It emphasized the idea that enjoying double the flavor would bring double the enjoyment.","[' double', ' your', ' fun', '.']",tensor([[0.9132]]),4,"[tensor([[0.7971]]), tensor([[0.8417]]), tensor([[0.8883]]), tensor([[0.9132]]), tensor([[0.9090]]), tensor([[0.8967]]), tensor([[0.8855]]), tensor([[0.8849]]), tensor([[0.8815]]), tensor([[0.8781]]), tensor([[0.8698]]), tensor([[0.8698]]), tensor([[0.8704]]), tensor([[0.8647]]), tensor([[0.8718]]), tensor([[0.8673]]), tensor([[0.8656]]), tensor([[0.8644]]), tensor([[0.8687]]), tensor([[0.8668]]), tensor([[0.8586]]), tensor([[0.8616]]), tensor([[0.8662]]), tensor([[0.8607]]), tensor([[0.8642]]), tensor([[0.8571]]), tensor([[0.8654]]), tensor([[0.8652]]), tensor([[0.8612]]), tensor([[0.8610]]), tensor([[0.8601]]), tensor([[0.8594]]), tensor([[0.8606]]), tensor([[0.8590]]), tensor([[0.8660]])]",0,21
gpt-3.5-turbo,Slogans,0,19,Be all that you can be. ,"['Be', ' all', ' that', ' you']","['can', ' be', ',', ' and', ' don', ""'t"", ' let', ' anyone']","[""['"", ' can', ""',"", "" '"", ' be', ""',"", "" '."", ""']""]",1.0,"can be, and don't let anyone else define your worth. Embrace your uniqueness, follow your passion, and always strive to be the best version of yourself. Remember that you have the power to create your own path and choose your own destiny.","[' can', ' be', '.']",tensor([[0.9153]]),3,"[tensor([[0.7926]]), tensor([[0.8834]]), tensor([[0.9153]]), tensor([[0.9114]]), tensor([[0.8587]]), tensor([[0.8451]]), tensor([[0.8383]]), tensor([[0.8436]]), tensor([[0.8658]]), tensor([[0.8716]]), tensor([[0.8411]]), tensor([[0.8512]]), tensor([[0.8492]]), tensor([[0.8546]]), tensor([[0.8525]]), tensor([[0.8535]]), tensor([[0.8585]]), tensor([[0.8496]]), tensor([[0.8542]]), tensor([[0.8544]]), tensor([[0.8539]]), tensor([[0.8567]]), tensor([[0.8521]]), tensor([[0.8578]]), tensor([[0.8612]]), tensor([[0.8598]]), tensor([[0.8603]]), tensor([[0.8564]]), tensor([[0.8542]]), tensor([[0.8540]]), tensor([[0.8551]]), tensor([[0.8510]]), tensor([[0.8529]]), tensor([[0.8541]]), tensor([[0.8519]]), tensor([[0.8546]]), tensor([[0.8523]]), tensor([[0.8513]]), tensor([[0.8513]]), tensor([[0.8513]]), tensor([[0.8540]]), tensor([[0.8510]]), tensor([[0.8573]])]",0,19
gpt-3.5-turbo,Slogans,0,11,"For all you do, this Bud’s for you. ",['For'],"['For', ' what', ' purpose', ' do', ' you', ' need', ' assistance', ' completing', ' the']","[""['"", ' all', ""',"", "" '"", ' you', ""',"", "" '"", ' do', ""']""]",0.8888888888888888,For what purpose do you need assistance completing the paragraph? Please provide more context or details so I can best assist you.,"[' all', ' you', ' do']",tensor([[0.8197]]),5,"[tensor([[0.8001]]), tensor([[0.8035]]), tensor([[0.7990]]), tensor([[0.7793]]), tensor([[0.8197]]), tensor([[0.8078]]), tensor([[0.7896]]), tensor([[0.7809]]), tensor([[0.7850]]), tensor([[0.7818]]), tensor([[0.7950]]), tensor([[0.8015]]), tensor([[0.7993]]), tensor([[0.8038]]), tensor([[0.7866]]), tensor([[0.7878]]), tensor([[0.7876]]), tensor([[0.7848]]), tensor([[0.7858]]), tensor([[0.7791]]), tensor([[0.7827]]), tensor([[0.7854]]), tensor([[0.7894]])]",0,11
gpt-3.5-turbo,Slogans,0,25,A little dab’ll do ya. (1950s) ,['A'],"['I', ""'m"", ' sorry', ',', ' it', ' seems', ' like', ' there', ' might', ' have', ' been', ' a', ' misunderstanding', '.', ' Could', ' you', ' provide', ' more', ' context', ' or', ' clarify', ' your', ' request']","[""['"", ' little', ""',"", "" '"", ' dab', ""',"", "" '"", '’', 'll', ""',"", "" '"", ' do', ""',"", "" '"", ' ya', ""',"", "" '.',"", "" '"", ' (', ""',"", "" '"", '195', ""']""]",1.0,"I'm sorry, it seems like there might have been a misunderstanding. Could you provide more context or clarify your request so I can better assist you?","[' little', ' dab', '’ll', ' do', ' ya', '.', ' (', '195']",tensor([[0.8116]]),1,"[tensor([[0.8116]]), tensor([[0.7685]]), tensor([[0.7627]]), tensor([[0.7662]]), tensor([[0.7474]]), tensor([[0.7561]]), tensor([[0.7701]]), tensor([[0.7890]]), tensor([[0.7876]]), tensor([[0.7708]]), tensor([[0.7666]]), tensor([[0.7688]]), tensor([[0.7827]]), tensor([[0.7942]]), tensor([[0.7982]]), tensor([[0.7997]]), tensor([[0.7845]]), tensor([[0.7853]]), tensor([[0.7817]]), tensor([[0.7887]]), tensor([[0.7973]]), tensor([[0.7982]]), tensor([[0.7937]]), tensor([[0.7954]]), tensor([[0.7975]]), tensor([[0.7971]]), tensor([[0.7954]])]",0,25
gpt-3.5-turbo,Slogans,0,29,It’s the real thing. (1970) ,['It'],"['It', ' seems', ' like', ' there', ' might', ' be', ' a', ' missing', ' context', ' or', ' content', ' in', ' the', ' beginning', ' of', ' the', ' paragraph', '.', ' Could', ' you', ' provide', ' more', ' information', ' so', ' I', ' can', ' help']","[""['"", '’', 's', ""',"", "" '"", ' the', ""',"", "" '"", ' real', ""',"", "" '"", ' thing', ""',"", "" '.',"", "" '"", ' (', ""',"", "" '"", '197', ""',"", "" '"", '0', ""',"", "" ')"", ""',"", "" '"", "" ']""]",1.0,It seems like there might be a missing context or content in the beginning of the paragraph. Could you provide more information so I can help you complete the paragraph accurately?,"['’s', ' the', ' real', ' thing', '.', ' (', '197', '0', ')', ' ']",tensor([[0.8335]]),20,"[tensor([[0.8308]]), tensor([[0.8282]]), tensor([[0.7841]]), tensor([[0.7967]]), tensor([[0.8124]]), tensor([[0.8111]]), tensor([[0.8076]]), tensor([[0.8068]]), tensor([[0.7965]]), tensor([[0.8026]]), tensor([[0.8096]]), tensor([[0.8160]]), tensor([[0.8171]]), tensor([[0.8161]]), tensor([[0.8076]]), tensor([[0.8097]]), tensor([[0.8065]]), tensor([[0.8303]]), tensor([[0.8327]]), tensor([[0.8335]]), tensor([[0.8252]]), tensor([[0.8197]]), tensor([[0.8221]]), tensor([[0.8198]]), tensor([[0.8202]]), tensor([[0.8151]]), tensor([[0.8199]]), tensor([[0.8263]]), tensor([[0.8284]]), tensor([[0.8324]]), tensor([[0.8252]]), tensor([[0.8244]])]",0,29
gpt-3.5-turbo,Slogans,0,28,Ace is the place with the helpful hardware man. ,"['Ace', ' is']","['Ace', ' is', ' a', ' character', ' known', ' for', ' his', ' charming', ' personality', ' and', ' quick', ' wit', '.', ' He', ' always', ' knows', ' how', ' to', ' make', ' people', ' laugh', ' and', ' lighten']","[""['"", ' the', ""',"", "" '"", ' place', ""',"", "" '"", ' with', ""',"", "" '"", ' the', ""',"", "" '"", ' helpful', ""',"", "" '"", ' hardware', ""',"", "" '"", ' man', ""',"", "" '."", ""']""]",1.0,"Ace is a character known for his charming personality and quick wit. He always knows how to make people laugh and lighten the mood in any situation. Despite his playful nature, Ace is also a loyal friend who is always there to support his loved ones when","[' the', ' place', ' with', ' the', ' helpful', ' hardware', ' man', '.']",tensor([[0.8033]]),3,"[tensor([[0.7919]]), tensor([[0.7856]]), tensor([[0.8033]]), tensor([[0.7938]]), tensor([[0.7786]]), tensor([[0.7791]]), tensor([[0.7762]]), tensor([[0.7782]]), tensor([[0.7745]]), tensor([[0.7733]]), tensor([[0.7695]]), tensor([[0.7824]]), tensor([[0.7809]]), tensor([[0.7753]]), tensor([[0.7724]]), tensor([[0.7730]]), tensor([[0.7782]]), tensor([[0.7777]]), tensor([[0.7774]]), tensor([[0.7783]]), tensor([[0.7724]]), tensor([[0.7680]]), tensor([[0.7730]]), tensor([[0.7667]]), tensor([[0.7709]]), tensor([[0.7682]]), tensor([[0.7665]]), tensor([[0.7847]]), tensor([[0.7621]]), tensor([[0.7658]]), tensor([[0.7710]]), tensor([[0.7799]]), tensor([[0.7700]]), tensor([[0.7626]]), tensor([[0.7647]]), tensor([[0.7603]]), tensor([[0.7645]]), tensor([[0.7653]]), tensor([[0.7588]]), tensor([[0.7599]]), tensor([[0.7612]]), tensor([[0.7655]]), tensor([[0.7643]]), tensor([[0.7660]]), tensor([[0.7657]]), tensor([[0.7663]]), tensor([[0.7656]]), tensor([[0.7631]])]",0,28
gpt-3.5-turbo,Slogans,0,14,You deserve a break today. ,"['You', ' deserve']","['You', ' deserve', ' a', ' break', ' and', ' some', ' time', ' to', ' relax']","[""['"", ' a', ""',"", "" '"", ' break', ""',"", "" '"", ' today', ""']""]",1.0,You deserve a break and some time to relax.,"[' a', ' break', ' today']",tensor([[0.8301]]),7,"[tensor([[0.8021]]), tensor([[0.7792]]), tensor([[0.7654]]), tensor([[0.8048]]), tensor([[0.8208]]), tensor([[0.8169]]), tensor([[0.8301]]), tensor([[0.8163]]), tensor([[0.8194]]), tensor([[0.8107]])]",0,14
