,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
437,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,467,40," to deconstruct class.
However, the subject is contextualised into a Baudrillardist simulacra that includes sexuality as a whole. If Sontagist camp holds, we have to","[' to', ' de', 'construct', ' class', '.\n']","['Unfortunately', ',', ' I', ' am', ' unable', ' to', ' finish', ' the', ' paragraph', ' for', ' you', ',', ' as', ' I', ' don', ""'t"", ' have', ' access', ' to', ' external', ' databases', ' or', ' copyrighted', ' texts', ' that', ' are', ' not', ' in', ' the', ' public', ' domain', ',', ' which', ' would', ' include']","['However', ',', ' the', ' subject', ' is', ' contextual', 'ised', ' into', ' a', ' B', 'aud', 'r', 'illard', 'ist', ' simul', 'ac', 'ra', ' that', ' includes', ' sexuality', ' as', ' a', ' whole', '.', ' If', ' S', 'ont', 'ag', 'ist', ' camp', ' holds', ',', ' we', ' have', ' to']",0.9428571428571428,"Unfortunately, I am unable to finish the paragraph for you, as I don't have access to external databases or copyrighted texts that are not in the public domain, which would include ""Capitalist Narrative in the Works of Gibson"" by Henry O. C","However, the subject is contextualised into a Baudrillardist simulacra that includes sexuality as a whole. If Sontagist camp holds, we have to",tensor([[0.8006]]),31,"[tensor([[0.7694]]), tensor([[0.7991]]), tensor([[0.7905]]), tensor([[0.7820]]), tensor([[0.7742]]), tensor([[0.7823]]), tensor([[0.7747]]), tensor([[0.7762]]), tensor([[0.7909]]), tensor([[0.7945]]), tensor([[0.7864]]), tensor([[0.7928]]), tensor([[0.7924]]), tensor([[0.7944]]), tensor([[0.7882]]), tensor([[0.7863]]), tensor([[0.7855]]), tensor([[0.7898]]), tensor([[0.7934]]), tensor([[0.7949]]), tensor([[0.7932]]), tensor([[0.7919]]), tensor([[0.7940]]), tensor([[0.7930]]), tensor([[0.7934]]), tensor([[0.7928]]), tensor([[0.7927]]), tensor([[0.7956]]), tensor([[0.7970]]), tensor([[0.8006]]), tensor([[0.8006]]), tensor([[0.7986]]), tensor([[0.7906]]), tensor([[0.7959]]), tensor([[0.7962]]), tensor([[0.7978]]), tensor([[0.7952]]), tensor([[0.7955]]), tensor([[0.7892]]), tensor([[0.7908]]), tensor([[0.7904]]), tensor([[0.7849]]), tensor([[0.7896]])]",466,505
31,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,199,35," is interpolated into a capitalist narrative that includes consciousness as a totality.
2. Subdeconstructivist feminism and postcapitalist theory
The primary theme of la Tournier","[' is', ' interpolated', ' into', ' a', ' capitalist']","['I', ' apologize', ',', ' but', ' I', ' cannot', ' continue', ' the', ' paragraph', ' from', ' ""', 'Capital', 'ist', ' Narrative', ' in', ' the', ' Works', ' of', ' Gibson', '""', ' by', ' Henry', ' O', '.', ' C', '.', ' d', ""'"", 'Er', 'lette']","[' narrative', ' that', ' includes', ' consciousness', ' as', ' a', ' tot', 'ality', '.\n', '2', '.', ' Sub', 'de', 'construct', 'ivist', ' feminism', ' and', ' post', 'capital', 'ist', ' theory', '\n', 'The', ' primary', ' theme', ' of', ' la', ' T', 'ourn', 'ier']",1.0,"I apologize, but I cannot continue the paragraph from ""Capitalist Narrative in the Works of Gibson"" by Henry O. C. d'Erlette as it appears to be a request to provide text from a copyrighted work. If this is a real"," narrative that includes consciousness as a totality.
2. Subdeconstructivist feminism and postcapitalist theory
The primary theme of la Tournier",tensor([[0.7991]]),28,"[tensor([[0.7549]]), tensor([[0.7595]]), tensor([[0.7104]]), tensor([[0.7174]]), tensor([[0.7137]]), tensor([[0.7205]]), tensor([[0.7280]]), tensor([[0.7342]]), tensor([[0.7542]]), tensor([[0.7542]]), tensor([[0.7710]]), tensor([[0.7895]]), tensor([[0.7897]]), tensor([[0.7924]]), tensor([[0.7862]]), tensor([[0.7940]]), tensor([[0.7894]]), tensor([[0.7933]]), tensor([[0.7951]]), tensor([[0.7880]]), tensor([[0.7901]]), tensor([[0.7966]]), tensor([[0.7954]]), tensor([[0.7969]]), tensor([[0.7970]]), tensor([[0.7979]]), tensor([[0.7976]]), tensor([[0.7991]]), tensor([[0.7977]]), tensor([[0.7988]]), tensor([[0.7982]]), tensor([[0.7964]]), tensor([[0.7952]]), tensor([[0.7954]]), tensor([[0.7915]]), tensor([[0.7868]]), tensor([[0.7925]]), tensor([[0.7931]]), tensor([[0.7930]]), tensor([[0.7936]]), tensor([[0.7942]])]",198,232
145,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,414,39," the writer as observer exist.
It could be said that Baudrillard uses the term ‘Sontagist camp’ to denote not, in fact, dematerialism, but subdem","[' the', ' writer', ' as', ' observer', ' exist', '.\n', 'It', ' could', ' be', ' said', ' that', ' B', 'aud', 'r', 'illard', ' uses', ' the', ' term', ' ‘']","['I', ' apologize', ' for', ' the', ' inconvenience', ',', ' but', ' I', ' am', ' unable', ' to', ' complete', ' the', ' paragraph', ' from', ' the', ' article', "" '"", 'Capital', 'ist']","['S', 'ont', 'ag', 'ist', ' camp', '’', ' to', ' denote', ' not', ',', ' in', ' fact', ',', ' dem', 'aterial', 'ism', ',', ' but', ' sub', 'dem']",1.0,"I apologize for the inconvenience, but I am unable to complete the paragraph from the article 'Capitalist Narrative in the Works of Gibson' by Henry O. C. d’Erlette as it appears to be a fictional reference. If this is a","Sontagist camp’ to denote not, in fact, dematerialism, but subdem",tensor([[0.7985]]),28,"[tensor([[0.7677]]), tensor([[0.7668]]), tensor([[0.7750]]), tensor([[0.7844]]), tensor([[0.7955]]), tensor([[0.7660]]), tensor([[0.7773]]), tensor([[0.7700]]), tensor([[0.7763]]), tensor([[0.7776]]), tensor([[0.7797]]), tensor([[0.7729]]), tensor([[0.7701]]), tensor([[0.7878]]), tensor([[0.7887]]), tensor([[0.7880]]), tensor([[0.7910]]), tensor([[0.7933]]), tensor([[0.7942]]), tensor([[0.7952]]), tensor([[0.7963]]), tensor([[0.7945]]), tensor([[0.7970]]), tensor([[0.7983]]), tensor([[0.7975]]), tensor([[0.7949]]), tensor([[0.7960]]), tensor([[0.7985]]), tensor([[0.7967]]), tensor([[0.7975]]), tensor([[0.7974]]), tensor([[0.7977]]), tensor([[0.7975]]), tensor([[0.7973]]), tensor([[0.7964]]), tensor([[0.7965]]), tensor([[0.7985]]), tensor([[0.7959]]), tensor([[0.7951]]), tensor([[0.7951]]), tensor([[0.7937]])]",413,451
151,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,489,29," that includes sexuality as a whole. If Sontagist camp holds, we have to choose between modernist theory and the postcultural paradigm","[' that', ' includes', ' sexuality', ' as', ' a', ' whole', '.', ' If', ' S', 'ont', 'ag', 'ist', ' camp', ' holds']","['I', ' apologize', ',', ' but', ' I', ' am', ' unable', ' to', ' continue', ' the', ' specific', ' text', ' you', ' have', ' mentioned']","[',', ' we', ' have', ' to', ' choose', ' between', ' modern', 'ist', ' theory', ' and', ' the', ' post', 'c', 'ultural', ' paradigm']",1.0,"I apologize, but I am unable to continue the specific text you have mentioned, as it appears to be a non-existent or fictional reference, possibly created for the purpose of a question or as a hypothetical citation. However, I can provide a summary or",", we have to choose between modernist theory and the postcultural paradigm",tensor([[0.7702]]),43,"[tensor([[0.7497]]), tensor([[0.7442]]), tensor([[0.7289]]), tensor([[0.7416]]), tensor([[0.7347]]), tensor([[0.7312]]), tensor([[0.7297]]), tensor([[0.7412]]), tensor([[0.7290]]), tensor([[0.7368]]), tensor([[0.7635]]), tensor([[0.7549]]), tensor([[0.7539]]), tensor([[0.7553]]), tensor([[0.7496]]), tensor([[0.7550]]), tensor([[0.7567]]), tensor([[0.7484]]), tensor([[0.7512]]), tensor([[0.7510]]), tensor([[0.7543]]), tensor([[0.7489]]), tensor([[0.7615]]), tensor([[0.7481]]), tensor([[0.7451]]), tensor([[0.7493]]), tensor([[0.7507]]), tensor([[0.7525]]), tensor([[0.7595]]), tensor([[0.7515]]), tensor([[0.7575]]), tensor([[0.7581]]), tensor([[0.7589]]), tensor([[0.7615]]), tensor([[0.7608]]), tensor([[0.7615]]), tensor([[0.7659]]), tensor([[0.7632]]), tensor([[0.7674]]), tensor([[0.7677]]), tensor([[0.7687]]), tensor([[0.7688]]), tensor([[0.7702]]), tensor([[0.7655]]), tensor([[0.7660]])]",488,516
175,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,485,24,"ist simulacra that includes sexuality as a whole. If Sontagist camp holds, we have to choose between","['ist', ' simul', 'ac', 'ra', ' that', ' includes', ' sexuality', ' as', ' a', ' whole', '.', ' If']","['I', ' apologize', ' for', ' the', ' inconvenience', ',', ' but', ' I', ' do', ' not', ' have', ' access']","[' S', 'ont', 'ag', 'ist', ' camp', ' holds', ',', ' we', ' have', ' to', ' choose', ' between']",1.0,"I apologize for the inconvenience, but I do not have access to the specific article ""Capitalist Narrative in the Works of Gibson"" by Henry O. C. d’Erlette to continue the paragraph you've mentioned. It is also important to note"," Sontagist camp holds, we have to choose between",tensor([[0.7957]]),15,"[tensor([[0.7756]]), tensor([[0.7802]]), tensor([[0.7578]]), tensor([[0.7748]]), tensor([[0.7859]]), tensor([[0.7657]]), tensor([[0.7813]]), tensor([[0.7778]]), tensor([[0.7863]]), tensor([[0.7829]]), tensor([[0.7758]]), tensor([[0.7765]]), tensor([[0.7777]]), tensor([[0.7825]]), tensor([[0.7957]]), tensor([[0.7897]]), tensor([[0.7764]]), tensor([[0.7708]]), tensor([[0.7705]]), tensor([[0.7775]]), tensor([[0.7664]]), tensor([[0.7659]]), tensor([[0.7548]]), tensor([[0.7517]]), tensor([[0.7558]]), tensor([[0.7583]]), tensor([[0.7619]]), tensor([[0.7518]]), tensor([[0.7513]]), tensor([[0.7532]]), tensor([[0.7524]]), tensor([[0.7544]]), tensor([[0.7541]]), tensor([[0.7537]]), tensor([[0.7528]]), tensor([[0.7511]]), tensor([[0.7510]]), tensor([[0.7516]]), tensor([[0.7522]]), tensor([[0.7493]])]",484,507
230,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,124,22, said that Derrida suggests the use of capitalist narrative to challenge the status quo. In Beverly Hills 902,"[' said', ' that', ' D', 'err', 'ida', ' suggests', ' the', ' use', ' of', ' capitalist']","['I', ' apologize', ',', ' but', ' I', ' cannot', ' continue', ' this', ' text', ',', ' as', ' it']","[' narrative', ' to', ' challenge', ' the', ' status', ' quo', '.', ' In', ' Beverly', ' Hills', ' ', '902']",1.0,"I apologize, but I cannot continue this text, as it appears to be from a specific source and may be protected by copyright. If this is a fictional source or a prompt for creative writing, and you would like me to generate a continuation, please", narrative to challenge the status quo. In Beverly Hills 902,tensor([[0.8219]]),34,"[tensor([[0.7796]]), tensor([[0.7744]]), tensor([[0.7531]]), tensor([[0.7534]]), tensor([[0.7482]]), tensor([[0.7696]]), tensor([[0.7788]]), tensor([[0.7846]]), tensor([[0.7844]]), tensor([[0.7827]]), tensor([[0.7859]]), tensor([[0.7987]]), tensor([[0.7960]]), tensor([[0.7952]]), tensor([[0.8058]]), tensor([[0.8059]]), tensor([[0.8067]]), tensor([[0.8045]]), tensor([[0.8021]]), tensor([[0.7973]]), tensor([[0.7983]]), tensor([[0.8006]]), tensor([[0.8024]]), tensor([[0.8087]]), tensor([[0.8065]]), tensor([[0.8052]]), tensor([[0.8073]]), tensor([[0.8099]]), tensor([[0.8088]]), tensor([[0.8082]]), tensor([[0.8117]]), tensor([[0.8118]]), tensor([[0.8201]]), tensor([[0.8219]]), tensor([[0.8163]]), tensor([[0.8174]]), tensor([[0.8168]]), tensor([[0.8168]]), tensor([[0.8159]]), tensor([[0.8165]]), tensor([[0.8147]]), tensor([[0.8153]]), tensor([[0.8183]]), tensor([[0.8193]]), tensor([[0.8174]]), tensor([[0.8184]])]",123,144
242,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,34,39," , it is not so much class that is intrinsically elitist, but rather the meaninglessness, and some would say the genre, of class. Lacan uses the term ‘capitalist","[' ,', ' it', ' is', ' not', ' so', ' much', ' class', ' that', ' is', ' intr']","['I', ' apologize', ',', ' but', ' I', ' cannot', ' continue', ' the', ' text', ' as', ' it', ' appears', ' to', ' be', ' from', ' a', ' copyrighted', ' work', ' that', ' is', ' not', ' in', ' the', ' public', ' domain', '.', ' However', ',', ' if']","['ins', 'ically', ' elit', 'ist', ',', ' but', ' rather', ' the', ' meaning', 'lessness', ',', ' and', ' some', ' would', ' say', ' the', ' genre', ',', ' of', ' class', '.', ' Lac', 'an', ' uses', ' the', ' term', ' ‘', 'capital', 'ist']",0.9655172413793104,"I apologize, but I cannot continue the text as it appears to be from a copyrighted work that is not in the public domain. However, if you would like, I can provide a summary or analysis of the text's themes or discuss William Gibson's","insically elitist, but rather the meaninglessness, and some would say the genre, of class. Lacan uses the term ‘capitalist",tensor([[0.8005]]),45,"[tensor([[0.7531]]), tensor([[0.7806]]), tensor([[0.7561]]), tensor([[0.7616]]), tensor([[0.7538]]), tensor([[0.7554]]), tensor([[0.7565]]), tensor([[0.7592]]), tensor([[0.7616]]), tensor([[0.7642]]), tensor([[0.7663]]), tensor([[0.7679]]), tensor([[0.7721]]), tensor([[0.7711]]), tensor([[0.7843]]), tensor([[0.7812]]), tensor([[0.7857]]), tensor([[0.7881]]), tensor([[0.7843]]), tensor([[0.7892]]), tensor([[0.7889]]), tensor([[0.7954]]), tensor([[0.7887]]), tensor([[0.7873]]), tensor([[0.7941]]), tensor([[0.7906]]), tensor([[0.7920]]), tensor([[0.7926]]), tensor([[0.7889]]), tensor([[0.7883]]), tensor([[0.7912]]), tensor([[0.7888]]), tensor([[0.7896]]), tensor([[0.7893]]), tensor([[0.7900]]), tensor([[0.7903]]), tensor([[0.7904]]), tensor([[0.7915]]), tensor([[0.7902]]), tensor([[0.7860]]), tensor([[0.7963]]), tensor([[0.7964]]), tensor([[0.7972]]), tensor([[0.7930]]), tensor([[0.8005]])]",33,71
251,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,548,39," of the works of Gibson is a self-supporting totality.
Thus, the example of Marxist class which is a central theme of Gibson’s All Tomorrow’s Parties is also evident in Pattern Recognition,","[' of', ' the', ' works', ' of', ' Gibson', ' is']","['I', ' apologize', ',', ' but', ' I', ' cannot', ' provide', ' a', ' continuation', ' of', ' the', ' text', ' from', "" '"", 'Capital', 'ist', ' Narrative', ' in', ' the', ' Works', ' of', ' Gibson', ""'"", ' by', ' Henry', ' O', '.', ' C', '.', ' d', '’', 'Er', 'lette']","[' a', ' self', '-support', 'ing', ' tot', 'ality', '.\n', 'Thus', ',', ' the', ' example', ' of', ' Marxist', ' class', ' which', ' is', ' a', ' central', ' theme', ' of', ' Gibson', '’s', ' All', ' Tomorrow', '’s', ' Parties', ' is', ' also', ' evident', ' in', ' Pattern', ' Recognition', ',']",0.9393939393939394,"I apologize, but I cannot provide a continuation of the text from 'Capitalist Narrative in the Works of Gibson' by Henry O. C. d’Erlette because it does not exist. It seems like the text you provided is a fictional reference"," a self-supporting totality.
Thus, the example of Marxist class which is a central theme of Gibson’s All Tomorrow’s Parties is also evident in Pattern Recognition,",tensor([[0.8430]]),28,"[tensor([[0.7530]]), tensor([[0.7615]]), tensor([[0.7316]]), tensor([[0.7343]]), tensor([[0.7286]]), tensor([[0.7111]]), tensor([[0.7361]]), tensor([[0.7414]]), tensor([[0.7446]]), tensor([[0.7473]]), tensor([[0.7479]]), tensor([[0.7588]]), tensor([[0.7628]]), tensor([[0.7935]]), tensor([[0.7998]]), tensor([[0.7989]]), tensor([[0.7993]]), tensor([[0.7948]]), tensor([[0.7993]]), tensor([[0.8357]]), tensor([[0.8396]]), tensor([[0.8372]]), tensor([[0.8334]]), tensor([[0.8352]]), tensor([[0.8383]]), tensor([[0.8410]]), tensor([[0.8425]]), tensor([[0.8430]]), tensor([[0.8383]]), tensor([[0.8244]]), tensor([[0.8333]]), tensor([[0.8333]]), tensor([[0.8354]]), tensor([[0.8380]]), tensor([[0.8318]]), tensor([[0.8325]]), tensor([[0.8334]]), tensor([[0.8351]]), tensor([[0.8390]]), tensor([[0.8322]]), tensor([[0.8335]])]",547,585
257,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,572,25," theme of Gibson’s All Tomorrow’s Parties is also evident in Pattern Recognition, although in a more semantic sense. An abundance of","[' theme', ' of', ' Gibson', '’s', ' All', ' Tomorrow', '’s', ' Parties', ' is', ' also']","['I', ' apologize', ',', ' but', ' I', ' am', ' unable', ' to', ' find', ' a', ' specific', ' article', ' titled', "" '"", 'Capital']","[' evident', ' in', ' Pattern', ' Recognition', ',', ' although', ' in', ' a', ' more', ' semantic', ' sense', '.', ' An', ' abundance', ' of']",1.0,"I apologize, but I am unable to find a specific article titled 'Capitalist Narrative in the Works of Gibson' by Henry O. C. d’Erlette to finish the paragraph, as this appears to be a fictional reference or not within my"," evident in Pattern Recognition, although in a more semantic sense. An abundance of",tensor([[0.8223]]),2,"[tensor([[0.7758]]), tensor([[0.8223]]), tensor([[0.7721]]), tensor([[0.7771]]), tensor([[0.7767]]), tensor([[0.7826]]), tensor([[0.7689]]), tensor([[0.7780]]), tensor([[0.7928]]), tensor([[0.7968]]), tensor([[0.8028]]), tensor([[0.7864]]), tensor([[0.7842]]), tensor([[0.7605]]), tensor([[0.7634]]), tensor([[0.7622]]), tensor([[0.7697]]), tensor([[0.7606]]), tensor([[0.7607]]), tensor([[0.7425]]), tensor([[0.7461]]), tensor([[0.7445]]), tensor([[0.7503]]), tensor([[0.7485]]), tensor([[0.7514]]), tensor([[0.7516]]), tensor([[0.7519]]), tensor([[0.7493]]), tensor([[0.7560]]), tensor([[0.7549]]), tensor([[0.7560]]), tensor([[0.7564]]), tensor([[0.7554]]), tensor([[0.7551]]), tensor([[0.7492]]), tensor([[0.7531]]), tensor([[0.7535]]), tensor([[0.7545]]), tensor([[0.7519]]), tensor([[0.7539]]), tensor([[0.7519]])]",571,595
275,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,512,26," and the postcultural paradigm of narrative.
But in Pattern Recognition, Gibson analyses Sontagist camp; in Neuromancer","[' and', ' the', ' post', 'c', 'ultural', ' paradigm', ' of', ' narrative', '.\n']","['I', ' apologize', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' as', ' it', ' appears', ' to', ' be', ' from', ' a']","['But', ' in', ' Pattern', ' Recognition', ',', ' Gibson', ' analyses', ' S', 'ont', 'ag', 'ist', ' camp', ';', ' in', ' Neu', 'rom', 'ancer']",1.0,"I apologize, but I can't continue the text as it appears to be from a specific copyrighted work, and I don't have access to the full content of the article titled ""Capitalist Narrative in the Works of Gibson"" by Henry O. C","But in Pattern Recognition, Gibson analyses Sontagist camp; in Neuromancer",tensor([[0.8181]]),40,"[tensor([[0.7673]]), tensor([[0.7812]]), tensor([[0.7656]]), tensor([[0.7712]]), tensor([[0.7689]]), tensor([[0.7505]]), tensor([[0.7500]]), tensor([[0.7542]]), tensor([[0.7627]]), tensor([[0.7665]]), tensor([[0.7681]]), tensor([[0.7760]]), tensor([[0.7744]]), tensor([[0.7765]]), tensor([[0.7824]]), tensor([[0.7870]]), tensor([[0.7943]]), tensor([[0.7737]]), tensor([[0.7739]]), tensor([[0.7753]]), tensor([[0.7786]]), tensor([[0.7750]]), tensor([[0.7777]]), tensor([[0.7802]]), tensor([[0.7796]]), tensor([[0.7785]]), tensor([[0.7782]]), tensor([[0.7782]]), tensor([[0.7802]]), tensor([[0.7765]]), tensor([[0.7868]]), tensor([[0.7863]]), tensor([[0.7673]]), tensor([[0.7717]]), tensor([[0.7723]]), tensor([[0.7749]]), tensor([[0.7690]]), tensor([[0.7677]]), tensor([[0.8154]]), tensor([[0.8181]]), tensor([[0.8152]]), tensor([[0.8109]]), tensor([[0.8147]])]",511,536
