,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
445,gpt-4-1106-preview,Famous Quotes,149,24,I was always looking outside myself for strength and confidence but it comes from within. It is there all the time. ,['I'],"['I', ' apologize', ',', ' but', ' I', ' need', ' more', ' context', ' to', ' continue', ' the', ' sentence', ' with', ' a', ' proper', ' and', ' relevant', ' quote', '.', ' Could', ' you', ' please', ' provide']","[' was', ' always', ' looking', ' outside', ' myself', ' for', ' strength', ' and', ' confidence', ' but', ' it', ' comes', ' from', ' within', '.', ' It', ' is', ' there', ' all', ' the', ' time', '.', ' ']",1.0,"I apologize, but I need more context to continue the sentence with a proper and relevant quote. Could you please provide more details or clarify which quote you're referring to?", was always looking outside myself for strength and confidence but it comes from within. It is there all the time. ,tensor([[0.8196]]),18,"[tensor([[0.7905]]), tensor([[0.8014]]), tensor([[0.7644]]), tensor([[0.7541]]), tensor([[0.7536]]), tensor([[0.7725]]), tensor([[0.7758]]), tensor([[0.7794]]), tensor([[0.7856]]), tensor([[0.7891]]), tensor([[0.7868]]), tensor([[0.7923]]), tensor([[0.7958]]), tensor([[0.7976]]), tensor([[0.8006]]), tensor([[0.8055]]), tensor([[0.8050]]), tensor([[0.8196]]), tensor([[0.8157]]), tensor([[0.8147]]), tensor([[0.8142]]), tensor([[0.8099]]), tensor([[0.8068]]), tensor([[0.8072]]), tensor([[0.8063]]), tensor([[0.8055]]), tensor([[0.8061]]), tensor([[0.8101]]), tensor([[0.8161]]), tensor([[0.8117]]), tensor([[0.8146]])]",0,23
139,gpt-4-1106-preview,Famous Quotes,47,38,"""Do it again. Play it again. Sing it again. Read it again. Write it again. Sketch it again. Rehearse it again. Run it again. Try it again.","['""Do', ' it', ' again', '.', ' Play', ' it', ' again', '.']","['Sorry', ',', ' but', ' it', ' seems', ' the', ' quote', ' is', ' incomplete', ' or', ' may', ' not', ' be', ' a', ' famous', ' one', '.', ' Could', ' you', ' provide', ' more', ' details', ' or', ' context', ' so', ' that', ' I', ' may', ' assist', ' you']","[' Sing', ' it', ' again', '.', ' Read', ' it', ' again', '.', ' Write', ' it', ' again', '.', ' Sketch', ' it', ' again', '.', ' Re', 'he', 'arse', ' it', ' again', '.', ' Run', ' it', ' again', '.', ' Try', ' it', ' again', '.']",1.0,"Sorry, but it seems the quote is incomplete or may not be a famous one. Could you provide more details or context so that I may assist you better?", Sing it again. Read it again. Write it again. Sketch it again. Rehearse it again. Run it again. Try it again.,tensor([[0.8122]]),18,"[tensor([[0.7931]]), tensor([[0.7839]]), tensor([[0.7788]]), tensor([[0.7908]]), tensor([[0.7814]]), tensor([[0.7757]]), tensor([[0.7803]]), tensor([[0.7793]]), tensor([[0.7847]]), tensor([[0.7790]]), tensor([[0.7910]]), tensor([[0.7835]]), tensor([[0.7816]]), tensor([[0.7777]]), tensor([[0.7920]]), tensor([[0.7964]]), tensor([[0.7999]]), tensor([[0.8122]]), tensor([[0.8061]]), tensor([[0.8060]]), tensor([[0.7993]]), tensor([[0.7956]]), tensor([[0.7919]]), tensor([[0.7902]]), tensor([[0.7916]]), tensor([[0.7865]]), tensor([[0.7885]]), tensor([[0.7918]]), tensor([[0.8012]]), tensor([[0.8065]])]",0,37
337,gpt-4-1106-preview,Famous Quotes,113,35,"I think, at a child's birth, if a mother could ask a fairy godmother to endow it with the most useful gift, that gift would be curiosity. ","['I', ' think', ',', ' at', ' a', ' child', ""'s"", ' birth', ',', ' if', ' a', ' mother', ' could', ' ask', ' a']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' complete', ' this', ' text', ' for', ' you', '.', ' This', ' text', ' seems', ' to', ' be', ' from', ' a', ' copyrighted']","[' fairy', ' god', 'mother', ' to', ' end', 'ow', ' it', ' with', ' the', ' most', ' useful', ' gift', ',', ' that', ' gift', ' would', ' be', ' curiosity', '.', ' ']",0.95,"Sorry, but I can't complete this text for you. This text seems to be from a copyrighted source and I am unable to provide verbatim excerpts that are not user-provided. If you have another question or need a summary or information on a"," fairy godmother to endow it with the most useful gift, that gift would be curiosity. ",tensor([[0.7905]]),17,"[tensor([[0.7727]]), tensor([[0.7638]]), tensor([[0.7637]]), tensor([[0.7461]]), tensor([[0.7567]]), tensor([[0.7611]]), tensor([[0.7738]]), tensor([[0.7678]]), tensor([[0.7777]]), tensor([[0.7703]]), tensor([[0.7851]]), tensor([[0.7841]]), tensor([[0.7791]]), tensor([[0.7852]]), tensor([[0.7891]]), tensor([[0.7868]]), tensor([[0.7905]]), tensor([[0.7849]]), tensor([[0.7857]]), tensor([[0.7862]]), tensor([[0.7836]]), tensor([[0.7840]]), tensor([[0.7815]]), tensor([[0.7832]]), tensor([[0.7827]]), tensor([[0.7869]]), tensor([[0.7853]]), tensor([[0.7845]]), tensor([[0.7846]]), tensor([[0.7867]]), tensor([[0.7894]]), tensor([[0.7897]]), tensor([[0.7895]]), tensor([[0.7861]]), tensor([[0.7868]]), tensor([[0.7890]]), tensor([[0.7882]]), tensor([[0.7893]]), tensor([[0.7904]]), tensor([[0.7805]]), tensor([[0.7804]]), tensor([[0.7805]]), tensor([[0.7793]]), tensor([[0.7807]])]",0,34
637,gpt-4-1106-preview,Famous Quotes,213,57,"When you look for things in life like love, meaning, motivation, it implies they are sitting behind a tree or under a rock. The most successful people in life recognize, that in life they create their own love, they manufacture their own meaning, they generate their own motivation. ","['When', ' you', ' look', ' for', ' things', ' in', ' life', ' like', ' love', ',', ' meaning', ',', ' motivation', ',', ' it', ' implies', ' they', ' are', ' sitting', ' behind', ' a', ' tree', ' or', ' under', ' a', ' rock', '.']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' this', ' text', '.', ' However', ',', ' I', ' can', ' tell', ' you', ' that', ' the', ' quote', ' you', ""'ve"", ' shared', ' seems', ' to', ' be', ' discussing', ' a', ' perspective', ' on', ' seeking']","[' The', ' most', ' successful', ' people', ' in', ' life', ' recognize', ',', ' that', ' in', ' life', ' they', ' create', ' their', ' own', ' love', ',', ' they', ' manufacture', ' their', ' own', ' meaning', ',', ' they', ' generate', ' their', ' own', ' motivation', '.', ' ']",1.0,"Sorry, but I can't continue this text. However, I can tell you that the quote you've shared seems to be discussing a perspective on seeking qualities or experiences such as love, meaning, and motivation in life. It suggests that these things are"," The most successful people in life recognize, that in life they create their own love, they manufacture their own meaning, they generate their own motivation. ",tensor([[0.8268]]),38,"[tensor([[0.7626]]), tensor([[0.7287]]), tensor([[0.7234]]), tensor([[0.7288]]), tensor([[0.7230]]), tensor([[0.7114]]), tensor([[0.7259]]), tensor([[0.7327]]), tensor([[0.7465]]), tensor([[0.7417]]), tensor([[0.7597]]), tensor([[0.7740]]), tensor([[0.7694]]), tensor([[0.7758]]), tensor([[0.7620]]), tensor([[0.7916]]), tensor([[0.7906]]), tensor([[0.7876]]), tensor([[0.7868]]), tensor([[0.7875]]), tensor([[0.7871]]), tensor([[0.7834]]), tensor([[0.7841]]), tensor([[0.7997]]), tensor([[0.7993]]), tensor([[0.8047]]), tensor([[0.8167]]), tensor([[0.8182]]), tensor([[0.8173]]), tensor([[0.8167]]), tensor([[0.8191]]), tensor([[0.8190]]), tensor([[0.8180]]), tensor([[0.8179]]), tensor([[0.8234]]), tensor([[0.8237]]), tensor([[0.8255]]), tensor([[0.8268]]), tensor([[0.8248]]), tensor([[0.8264]]), tensor([[0.8257]]), tensor([[0.8243]]), tensor([[0.8262]])]",0,56
37,gpt-4-1106-preview,Famous Quotes,13,20,I can be changed by what happens to me. But I refuse to be reduced by it. ,"['I', ' can', ' be', ' changed', ' by', ' what', ' happens', ' to', ' me', '.']","['I', ""'m"", ' sorry', ',', ' I', ' cannot', ' complete', ' the', ' text', ' as']","[' But', ' I', ' refuse', ' to', ' be', ' reduced', ' by', ' it', '.', ' ']",1.0,"I'm sorry, I cannot complete the text as it is copyrighted material. However, I can provide some information about it or discuss its meaning if you would like.", But I refuse to be reduced by it. ,tensor([[0.8398]]),4,"[tensor([[0.7516]]), tensor([[0.8175]]), tensor([[0.8321]]), tensor([[0.8398]]), tensor([[0.8188]]), tensor([[0.8171]]), tensor([[0.8250]]), tensor([[0.8063]]), tensor([[0.8151]]), tensor([[0.8162]]), tensor([[0.8105]]), tensor([[0.7984]]), tensor([[0.7964]]), tensor([[0.8030]]), tensor([[0.8199]]), tensor([[0.8000]]), tensor([[0.7910]]), tensor([[0.7783]]), tensor([[0.7774]]), tensor([[0.7789]]), tensor([[0.7778]]), tensor([[0.7818]]), tensor([[0.7755]]), tensor([[0.7780]]), tensor([[0.7813]]), tensor([[0.7848]]), tensor([[0.7816]]), tensor([[0.7784]]), tensor([[0.7701]])]",0,19
115,gpt-4-1106-preview,Famous Quotes,39,27,"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them. ",['As'],"['I', ""'m"", ' sorry', ',', ' but', ' I', ' need', ' more', ' context', ' or', ' information', ' about', ' the', ' quote', ' you', ' are', ' referring', ' to', '.', ' ""', 'As', '""', ' is', ' a', ' very', ' common']","[' we', ' express', ' our', ' gratitude', ',', ' we', ' must', ' never', ' forget', ' that', ' the', ' highest', ' appreciation', ' is', ' not', ' to', ' utter', ' words', ',', ' but', ' to', ' live', ' by', ' them', '.', ' ']",1.0,"I'm sorry, but I need more context or information about the quote you are referring to. ""As"" is a very common word that begins many sentences and phrases. If you can provide more of the sentence or some details about the quote, I"," we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them. ",tensor([[0.8075]]),43,"[tensor([[0.7772]]), tensor([[0.7520]]), tensor([[0.7572]]), tensor([[0.7477]]), tensor([[0.7442]]), tensor([[0.7554]]), tensor([[0.7508]]), tensor([[0.7464]]), tensor([[0.7548]]), tensor([[0.7500]]), tensor([[0.7495]]), tensor([[0.7480]]), tensor([[0.7829]]), tensor([[0.7838]]), tensor([[0.7849]]), tensor([[0.7750]]), tensor([[0.7757]]), tensor([[0.7903]]), tensor([[0.7958]]), tensor([[0.7986]]), tensor([[0.8014]]), tensor([[0.7920]]), tensor([[0.7975]]), tensor([[0.8007]]), tensor([[0.7987]]), tensor([[0.7941]]), tensor([[0.8000]]), tensor([[0.8034]]), tensor([[0.8024]]), tensor([[0.8040]]), tensor([[0.8052]]), tensor([[0.8032]]), tensor([[0.8018]]), tensor([[0.8023]]), tensor([[0.8033]]), tensor([[0.8046]]), tensor([[0.8051]]), tensor([[0.8058]]), tensor([[0.8013]]), tensor([[0.8046]]), tensor([[0.8048]]), tensor([[0.8068]]), tensor([[0.8075]]), tensor([[0.8066]])]",0,26
202,gpt-4-1106-preview,Famous Quotes,68,18,"You yourself, as much as anybody in the entire universe deserve your love and affection. ",['You'],"['I', ""'m"", ' sorry', ',', ' but', ' I', ' need', ' more', ' information', ' to', ' complete', ' the', ' sentence', '.', ' Can', ' you', ' provide']","[' yourself', ',', ' as', ' much', ' as', ' anybody', ' in', ' the', ' entire', ' universe', ' deserve', ' your', ' love', ' and', ' affection', '.', ' ']",1.0,"I'm sorry, but I need more information to complete the sentence. Can you provide more context or the name of the author of the quote? ""You"" can start many famous quotes, so I need to know which one you're referring to."," yourself, as much as anybody in the entire universe deserve your love and affection. ",tensor([[0.8195]]),32,"[tensor([[0.8005]]), tensor([[0.7765]]), tensor([[0.7674]]), tensor([[0.7539]]), tensor([[0.7604]]), tensor([[0.7945]]), tensor([[0.7829]]), tensor([[0.7643]]), tensor([[0.7645]]), tensor([[0.7697]]), tensor([[0.7629]]), tensor([[0.7801]]), tensor([[0.7700]]), tensor([[0.7703]]), tensor([[0.7617]]), tensor([[0.7632]]), tensor([[0.7578]]), tensor([[0.7552]]), tensor([[0.7626]]), tensor([[0.7516]]), tensor([[0.7587]]), tensor([[0.7590]]), tensor([[0.7565]]), tensor([[0.7593]]), tensor([[0.7619]]), tensor([[0.7731]]), tensor([[0.8062]]), tensor([[0.8044]]), tensor([[0.8056]]), tensor([[0.8069]]), tensor([[0.8179]]), tensor([[0.8195]]), tensor([[0.8191]]), tensor([[0.8150]]), tensor([[0.8123]]), tensor([[0.8143]]), tensor([[0.8108]]), tensor([[0.8090]]), tensor([[0.8105]]), tensor([[0.8157]]), tensor([[0.8165]]), tensor([[0.8180]])]",0,17
307,gpt-4-1106-preview,Famous Quotes,103,20,Then give to the world the best you have. And the best will come back to you. ,"['Then', ' give', ' to', ' the']","['I', ""'m"", ' sorry', ',', ' but', ' without', ' more', ' context', ',', ' it', ' is', ' difficult', ' to', ' determine', ' the', ' exact']","[' world', ' the', ' best', ' you', ' have', '.', ' And', ' the', ' best', ' will', ' come', ' back', ' to', ' you', '.', ' ']",0.9375,"I'm sorry, but without more context, it is difficult to determine the exact quote you are referring to as there are many quotes that start with ""Then give to the..."". If you can provide more context or a few more words from the beginning", world the best you have. And the best will come back to you. ,tensor([[0.8623]]),33,"[tensor([[0.7875]]), tensor([[0.7757]]), tensor([[0.7644]]), tensor([[0.7594]]), tensor([[0.7653]]), tensor([[0.7676]]), tensor([[0.7830]]), tensor([[0.7853]]), tensor([[0.7933]]), tensor([[0.7808]]), tensor([[0.7878]]), tensor([[0.7941]]), tensor([[0.7868]]), tensor([[0.7999]]), tensor([[0.8162]]), tensor([[0.8272]]), tensor([[0.8280]]), tensor([[0.8298]]), tensor([[0.8320]]), tensor([[0.8313]]), tensor([[0.8321]]), tensor([[0.8302]]), tensor([[0.8300]]), tensor([[0.8359]]), tensor([[0.8378]]), tensor([[0.8400]]), tensor([[0.8417]]), tensor([[0.8481]]), tensor([[0.8494]]), tensor([[0.8548]]), tensor([[0.8620]]), tensor([[0.8607]]), tensor([[0.8623]]), tensor([[0.8598]]), tensor([[0.8590]]), tensor([[0.8587]]), tensor([[0.8565]]), tensor([[0.8580]]), tensor([[0.8582]]), tensor([[0.8560]]), tensor([[0.8562]]), tensor([[0.8583]]), tensor([[0.8581]]), tensor([[0.8596]]), tensor([[0.8576]])]",0,19
361,gpt-4-1106-preview,Famous Quotes,121,25,Embrace uncertainty. Some of the most beautiful chapters in our lives wonâ€™t have a title until much later. ,['Em'],"['I', ""'m"", ' sorry', ',', ' but', ' without', ' more', ' context', ' or', ' at', ' least', ' a', ' few', ' more', ' words', ' to', ' go', ' on', ',', ' it', ""'s"", ' difficult', ' to', ' determine']","['brace', ' uncertainty', '.', ' Some', ' of', ' the', ' most', ' beautiful', ' chapters', ' in', ' our', ' lives', ' won', 'â', '€™', 't', ' have', ' a', ' title', ' until', ' much', ' later', '.', ' ']",1.0,"I'm sorry, but without more context or at least a few more words to go on, it's difficult to determine which famous quote you're referring to. ""Em"" could be the start of various sentences or phrases. If you provide more details",brace uncertainty. Some of the most beautiful chapters in our lives wonâ€™t have a title until much later. ,tensor([[0.8054]]),25,"[tensor([[0.7810]]), tensor([[0.7473]]), tensor([[0.7607]]), tensor([[0.7679]]), tensor([[0.7693]]), tensor([[0.7897]]), tensor([[0.7796]]), tensor([[0.7826]]), tensor([[0.7862]]), tensor([[0.7890]]), tensor([[0.7942]]), tensor([[0.7922]]), tensor([[0.7924]]), tensor([[0.7965]]), tensor([[0.7942]]), tensor([[0.7917]]), tensor([[0.7887]]), tensor([[0.7898]]), tensor([[0.8027]]), tensor([[0.8025]]), tensor([[0.8023]]), tensor([[0.8004]]), tensor([[0.8022]]), tensor([[0.8015]]), tensor([[0.8054]]), tensor([[0.7874]]), tensor([[0.7861]]), tensor([[0.7816]]), tensor([[0.7867]]), tensor([[0.7828]]), tensor([[0.7861]]), tensor([[0.7735]]), tensor([[0.7803]]), tensor([[0.7850]]), tensor([[0.7820]]), tensor([[0.7864]]), tensor([[0.7819]]), tensor([[0.7863]]), tensor([[0.7834]]), tensor([[0.7790]]), tensor([[0.7794]]), tensor([[0.7794]])]",0,24
436,gpt-4-1106-preview,Famous Quotes,146,7,Turn your wounds into wisdom. ,['Turn'],"['I', ""'m"", ' sorry', ',', ' but', ' I']","[' your', ' wounds', ' into', ' wisdom', '.', ' ']",1.0,"I'm sorry, but I need a bit more context to complete the sentence you're referring to. If it is a famous quote that starts with the word ""Turn,"" there are many possibilities, and without additional information, it would be difficult to provide", your wounds into wisdom. ,tensor([[0.8103]]),27,"[tensor([[0.7782]]), tensor([[0.7847]]), tensor([[0.8035]]), tensor([[0.7924]]), tensor([[0.7855]]), tensor([[0.7944]]), tensor([[0.7974]]), tensor([[0.7990]]), tensor([[0.7961]]), tensor([[0.7817]]), tensor([[0.7804]]), tensor([[0.7840]]), tensor([[0.7877]]), tensor([[0.7948]]), tensor([[0.7936]]), tensor([[0.7919]]), tensor([[0.7921]]), tensor([[0.7980]]), tensor([[0.7930]]), tensor([[0.7932]]), tensor([[0.8019]]), tensor([[0.7934]]), tensor([[0.8093]]), tensor([[0.8094]]), tensor([[0.8064]]), tensor([[0.8082]]), tensor([[0.8103]]), tensor([[0.8084]]), tensor([[0.8088]]), tensor([[0.8060]]), tensor([[0.7998]]), tensor([[0.8008]]), tensor([[0.8060]]), tensor([[0.8062]]), tensor([[0.8009]]), tensor([[0.7990]]), tensor([[0.8035]]), tensor([[0.8015]]), tensor([[0.8001]]), tensor([[0.7998]]), tensor([[0.7972]]), tensor([[0.7984]]), tensor([[0.7984]])]",0,6
