model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,1689,25," art on the walls here, not just busts of war heroes displayed on stands, and I’m pretty sure that’s an","[' art', ' on', ' the', ' walls', ' here', ',', ' not']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' provide', ' ver', 'batim', ' excerpts', ' from', ' copyrighted', ' texts', '.', ' How', ' about', ' I', ' summarize', ' the', ' paragraph', ' instead', '?']","[""['"", ' just', ""',"", "" '"", ' bust', ""',"", "" '"", 's', ""',"", "" '"", ' of', ""',"", "" '"", ' war', ""',"", "" '"", ' heroes', ""',"", "" '"", ' displayed', ""',"", "" '""]",1.0,"Sorry, but I can't provide verbatim excerpts from copyrighted texts. How about I summarize the paragraph instead?","[' just', ' bust', 's', ' of', ' war', ' heroes', ' displayed', ' on', ' stands', ',', ' and', ' I', '’m', ' pretty', ' sure', ' that', '’s', ' an']",tensor([[0.8239]]),15,"[tensor([[0.7898]]), tensor([[0.7910]]), tensor([[0.7844]]), tensor([[0.7841]]), tensor([[0.7545]]), tensor([[0.7836]]), tensor([[0.8053]]), tensor([[0.8139]]), tensor([[0.8083]]), tensor([[0.8075]]), tensor([[0.8078]]), tensor([[0.8074]]), tensor([[0.8062]]), tensor([[0.8115]]), tensor([[0.8239]]), tensor([[0.8208]]), tensor([[0.8233]]), tensor([[0.8220]])]",1688,1728
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,3103,25," Basgiath’s luminary,” Battle-Ax suggests. “If we’re that close to losing this war, there’s","[' Bas', 'gi', 'ath', '’s', ' lum']","['Sure', '!', '  \n', 'The', ' full', ' sentence', ' is', ',', ' ""', 'All', ' that', ' g', 'list', 'ers', ' is', ' not', ' gold', ';\n', 'Often', ' have', ' you', ' heard', ' that', ' told', ':\n', 'Many', ' a', ' man', ' his', ' life', ' hath', ' sold', '\n', 'But', ' my', ' outside', ' to', ' behold', ':\n', 'G', 'ilded', ' tom', 'bs', ' do', ' worms', ' en', 'fold', '.""']","[""['"", 'inary', ""',"", "" '"", ',”', ""',"", "" '"", ' Battle', ""',"", "" '-"", 'A', ""',"", "" '"", 'x', ""',"", "" '"", ' suggests', ""',"", "" '.',"", "" '"", ' “', ""',"", "" '"", 'If', ""',"", "" '"", ' we', ""',"", "" '"", '’', 're', ""',"", "" '"", ' that', ""',"", "" '"", ' close', ""',"", "" '"", ' to', ""',"", "" '"", ' losing', ""',"", "" '"", ' this', ""',"", "" '""]",1.0,"Sure!  
The full sentence is, ""All that glisters is not gold;
Often have you heard that told:
Many a man his life hath sold
But my outside to behold:
Gilded tombs do worms enfold.""","['inary', ',”', ' Battle', '-A', 'x', ' suggests', '.', ' “', 'If', ' we', '’re', ' that', ' close', ' to', ' losing', ' this', ' war', ',', ' there', '’s']",tensor([[0.8447]]),32,"[tensor([[0.8123]]), tensor([[0.8217]]), tensor([[0.8217]]), tensor([[0.8212]]), tensor([[0.8246]]), tensor([[0.8337]]), tensor([[0.8433]]), tensor([[0.8400]]), tensor([[0.8333]]), tensor([[0.8281]]), tensor([[0.8315]]), tensor([[0.8308]]), tensor([[0.8357]]), tensor([[0.8372]]), tensor([[0.8369]]), tensor([[0.8329]]), tensor([[0.8306]]), tensor([[0.8392]]), tensor([[0.8401]]), tensor([[0.8389]]), tensor([[0.8391]]), tensor([[0.8370]]), tensor([[0.8372]]), tensor([[0.8329]]), tensor([[0.8358]]), tensor([[0.8335]]), tensor([[0.8329]]), tensor([[0.8360]]), tensor([[0.8383]]), tensor([[0.8347]]), tensor([[0.8407]]), tensor([[0.8447]])]",3102,3165
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,548,34," me eat is creepy,” I counter after I swallow, my voice still a little hoarse. “And?” He shrugs shamelessly, a dimple flashing in his","[' me', ' eat', ' is', ' creepy', ',”', ' I']","['""', 'O', ' tiger', ""'s"", ' heart', ' wrapped', ' in', ' a', ' woman', ""'s"", ' hide', '!', ' How', ' could', ' you', ' live', ' and', ' let', ' live', '?', ' I', ' have', ' no', ' words', ' to', ' express', ' my', ' disgust', ' -', ' simply', ' horrifying', '!""']","[""['"", ' counter', ""',"", "" '"", ' after', ""',"", "" '"", ' I', ""',"", "" '"", ' swallow', ""',"", "" ',',"", "" '"", ' my', ""',"", "" '"", ' voice', ""',"", "" '"", ' still', ""',"", "" '"", ' a', ""',"", "" '"", ' little', ""',"", "" '"", ' ho', ""',"", "" '""]",1.0,"""O tiger's heart wrapped in a woman's hide! How could you live and let live? I have no words to express my disgust - simply horrifying!""","[' counter', ' after', ' I', ' swallow', ',', ' my', ' voice', ' still', ' a', ' little', ' ho', 'arse', '.', ' “', 'And', '?”', ' He', ' shr', 'ugs', ' shame', 'lessly', ',', ' a', ' dim', 'ple', ' flashing', ' in', ' his']",tensor([[0.8053]]),2,"[tensor([[0.8016]]), tensor([[0.8053]]), tensor([[0.7833]]), tensor([[0.7560]]), tensor([[0.7430]]), tensor([[0.7433]]), tensor([[0.7444]]), tensor([[0.7259]]), tensor([[0.7302]]), tensor([[0.7592]]), tensor([[0.7472]]), tensor([[0.7476]]), tensor([[0.7532]]), tensor([[0.7496]]), tensor([[0.7511]]), tensor([[0.7551]]), tensor([[0.7461]]), tensor([[0.7514]]), tensor([[0.7450]]), tensor([[0.7595]]), tensor([[0.7584]]), tensor([[0.7625]]), tensor([[0.7636]]), tensor([[0.7647]]), tensor([[0.7617]]), tensor([[0.7699]]), tensor([[0.7753]])]",547,596
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,4003,33," “I still don’t understand that particular decision,” Hawk Nose adds. “Decision was simple. She’s worth a dozen of me,” Xaden says, and my","[' “', 'I', ' still', ' don', '’t', ' understand', ' that', ' particular', ' decision', ',”', ' Hawk', ' Nose']","['said', ' of', ' my', ' not', ' getting', ' a', ' nose', ' job', '.', ' ""', 'But', ' my', ' mom', ' is', ' an', ' estrogen', '-s', 'aturated', ' super', 'woman', ' who', ' didn', '’t', ' cave', ' to', ' Borg', '-like', ' pressure', ',', ' and', ' while', ' she', ' was', ' never', ' “', 'cool', ',”', ' she', ' was', ' vicious', 'ly', ' funny', ' and', ' not', ' afraid', ' to', ' tell', ' off', ' her', ' kids']","[""['"", ' adds', ""',"", "" '.',"", "" '"", ' “', ""',"", "" '"", 'Decision', ""',"", "" '"", ' was', ""',"", "" '"", ' simple', ""',"", "" '.',"", "" '"", ' She', ""',"", "" '"", '’', 's', ""',"", "" '"", ' worth', ""',"", "" '"", ' a', ""',"", "" '"", ' dozen', ""',"", "" '"", ' of', ""',"", "" '"", ' me', ""',"", "" '"", ',”', ""',"", "" '"", ' X', ""',"", "" '"", 'aden', ""',"", "" '"", ' says']",1.0,"said of my not getting a nose job. ""But my mom is an estrogen-saturated superwoman who didn’t cave to Borg-like pressure, and while she was never “cool,” she was viciously funny and not afraid to tell off her kids","[' adds', '.', ' “', 'Decision', ' was', ' simple', '.', ' She', '’s', ' worth', ' a', ' dozen', ' of', ' me', ',”', ' X', 'aden', ' says', ',', ' and', ' my']",tensor([[0.8340]]),4,"[tensor([[0.7861]]), tensor([[0.8174]]), tensor([[0.8251]]), tensor([[0.8340]]), tensor([[0.8008]]), tensor([[0.7758]]), tensor([[0.7848]]), tensor([[0.7802]]), tensor([[0.7622]]), tensor([[0.7714]]), tensor([[0.7798]]), tensor([[0.7800]]), tensor([[0.7710]]), tensor([[0.7695]]), tensor([[0.8020]]), tensor([[0.7968]]), tensor([[0.7869]]), tensor([[0.8097]]), tensor([[0.8138]]), tensor([[0.8119]]), tensor([[0.8185]]), tensor([[0.8123]]), tensor([[0.8069]]), tensor([[0.8084]]), tensor([[0.8072]]), tensor([[0.8083]]), tensor([[0.8099]]), tensor([[0.8183]]), tensor([[0.8089]]), tensor([[0.8142]]), tensor([[0.8141]]), tensor([[0.8144]]), tensor([[0.8133]]), tensor([[0.8149]]), tensor([[0.8156]]), tensor([[0.8146]]), tensor([[0.8147]]), tensor([[0.8139]]), tensor([[0.8143]]), tensor([[0.8131]])]",4002,4088
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,1606,25," “see” them organizing to fight here. There are certain aspects of Riorson House, from its defensible position carved","[' “', 'see', '”', ' them', ' organizing', ' to', ' fight']","['""Yes', ',', ' the', ' woods', ' are', ' working', ' to', ' organize', ' and', ' fight', ' against', ' the', ' forces', ' that', ' threaten', ' their', ' peace', ' and', ' ser', 'enity', ',""', ' Emily', ' Dickinson', ' said', ' with', ' a', ' tw', 'inkle', ' in', ' her', ' eye', '.']","[""['"", ' here', ""',"", "" '.',"", "" '"", ' There', ""',"", "" '"", ' are', ""',"", "" '"", ' certain', ""',"", "" '"", ' aspects', ""',"", "" '"", ' of', ""',"", "" '"", ' R', ""',"", "" '"", 'ior', ""',"", "" '"", 'son', ""',"", "" '"", ' House', ""',"", "" ',',""]",1.0,"""Yes, the woods are working to organize and fight against the forces that threaten their peace and serenity,"" Emily Dickinson said with a twinkle in her eye.","[' here', '.', ' There', ' are', ' certain', ' aspects', ' of', ' R', 'ior', 'son', ' House', ',', ' from', ' its', ' def', 'ensible', ' position', ' carved']",tensor([[0.8101]]),2,"[tensor([[0.7900]]), tensor([[0.8101]]), tensor([[0.8023]]), tensor([[0.7880]]), tensor([[0.7913]]), tensor([[0.7673]]), tensor([[0.7660]]), tensor([[0.7611]]), tensor([[0.7568]]), tensor([[0.7454]]), tensor([[0.7391]]), tensor([[0.7348]]), tensor([[0.7403]]), tensor([[0.7378]]), tensor([[0.7363]]), tensor([[0.7359]]), tensor([[0.7297]]), tensor([[0.7270]]), tensor([[0.7372]]), tensor([[0.7397]]), tensor([[0.7845]]), tensor([[0.7441]]), tensor([[0.7479]]), tensor([[0.7510]]), tensor([[0.7521]]), tensor([[0.7483]]), tensor([[0.7514]]), tensor([[0.7583]])]",1605,1657
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,1828,27,". “Someone has to state the obvious,” an older man with an eyepatch and a hawkish nose says from the far end","['.', ' “', 'Someone', ' has', ' to', ' state', ' the', ' obvious', ',”']","['the', ' dwarf', ' said', '.', ' Bil', 'bo', ' couldn', ""'t"", ' help', ' but', ' chuck', 'le', ' at', ' the', ' blunt', ' honesty', ' of', ' his', ' companion', '.', ' Despite', ' the', ' dire', ' circumstances', ' they', ' found', ' themselves', ' in', ',', ' the', ' dwarf', ""'s"", ' straightforward', ' manner', ' never', ' failed', ' to', ' bring', ' a', ' sense', ' of', ' lev', 'ity', ' to', ' their', ' adventures', '.', ' And', ' so', ',']","[""['"", ' an', ""',"", "" '"", ' older', ""',"", "" '"", ' man', ""',"", "" '"", ' with', ""',"", "" '"", ' an', ""',"", "" '"", ' ey', ""',"", "" '"", 'ep', ""',"", "" '"", 'atch', ""',"", "" '"", ' and', ""',"", "" '"", ' a', ""',"", "" '"", ' hawk', ""',"", "" '"", 'ish', ""',"", "" '"", ' nose', ""',"", "" '"", ' says', ""',"", "" '"", ' from', ""',"", "" '"", ' the', ""',"", "" '"", ' far']",1.0,"the dwarf said. Bilbo couldn't help but chuckle at the blunt honesty of his companion. Despite the dire circumstances they found themselves in, the dwarf's straightforward manner never failed to bring a sense of levity to their adventures. And so,","[' an', ' older', ' man', ' with', ' an', ' ey', 'ep', 'atch', ' and', ' a', ' hawk', 'ish', ' nose', ' says', ' from', ' the', ' far', ' end']",tensor([[0.8161]]),2,"[tensor([[0.8057]]), tensor([[0.8161]]), tensor([[0.7699]]), tensor([[0.7962]]), tensor([[0.8046]]), tensor([[0.7741]]), tensor([[0.7716]]), tensor([[0.7782]]), tensor([[0.7879]]), tensor([[0.7869]]), tensor([[0.7818]]), tensor([[0.7938]]), tensor([[0.7840]]), tensor([[0.7780]]), tensor([[0.7843]]), tensor([[0.7773]]), tensor([[0.7769]]), tensor([[0.7748]]), tensor([[0.7870]]), tensor([[0.7891]]), tensor([[0.7795]]), tensor([[0.7889]]), tensor([[0.7912]]), tensor([[0.7834]]), tensor([[0.7736]]), tensor([[0.7794]]), tensor([[0.7830]]), tensor([[0.7849]]), tensor([[0.7835]]), tensor([[0.7797]]), tensor([[0.7812]]), tensor([[0.7779]]), tensor([[0.7693]]), tensor([[0.7781]]), tensor([[0.7772]]), tensor([[0.7757]]), tensor([[0.7749]]), tensor([[0.7723]]), tensor([[0.7847]]), tensor([[0.7765]]), tensor([[0.7842]])]",1827,1902
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,1526,38," The city—now reduced to a town—has been silently, covertly rebuilding for years right under General Melgren’s nose. The relics, magical marks the children of the executed rebellion officers","[' The', ' city', '—', 'now', ' reduced', ' to', ' a', ' town', '—', 'has', ' been', ' silently', ',', ' covert', 'ly', ' rebuilding', ' for', ' years']","['This', ' city', ',', ' now', ' reduced', ' to', ' a', ' town', ',', ' has', ' been', ' silently', ',', ' covert', 'ly', ' rebuilding', ' for', ' years', '.', ' And', ' in', ' its', ' quiet', ' streets', ',', ' murm', 'urs', ' of', ' a', ' new', ' beginning', ' can', ' be', ' heard', '.', ' The', ' people', ',', ' once', ' weary', ' and', ' downt', 'ro', 'dden', ',', ' now', ' stand', ' tall', ' with', ' hope']","[""['"", ' right', ""',"", "" '"", ' under', ""',"", "" '"", ' General', ""',"", "" '"", ' Mel', ""',"", "" '"", 'gren', ""',"", "" '"", '’', 's', ""',"", "" '"", ' nose', ""',"", "" '.',"", "" '"", ' The', ""',"", "" '"", ' relics', ""',"", "" ',',"", "" '"", ' magical', ""',"", "" '"", ' marks', ""',"", "" '"", ' the', ""',"", "" '"", ' children', ""',"", "" '"", ' of', ""',"", "" '"", ' the', ""',"", "" '"", ' executed']",1.0,"This city, now reduced to a town, has been silently, covertly rebuilding for years. And in its quiet streets, murmurs of a new beginning can be heard. The people, once weary and downtrodden, now stand tall with hope","[' right', ' under', ' General', ' Mel', 'gren', '’s', ' nose', '.', ' The', ' relics', ',', ' magical', ' marks', ' the', ' children', ' of', ' the', ' executed', ' rebellion', ' officers']",tensor([[0.7841]]),1,"[tensor([[0.7841]]), tensor([[0.7729]]), tensor([[0.7545]]), tensor([[0.7357]]), tensor([[0.7488]]), tensor([[0.7565]]), tensor([[0.7611]]), tensor([[0.7594]]), tensor([[0.7526]]), tensor([[0.7540]]), tensor([[0.7457]]), tensor([[0.7547]]), tensor([[0.7540]]), tensor([[0.7522]]), tensor([[0.7340]]), tensor([[0.7429]]), tensor([[0.7472]]), tensor([[0.7477]]), tensor([[0.7506]]), tensor([[0.7484]]), tensor([[0.7563]]), tensor([[0.7507]]), tensor([[0.7507]]), tensor([[0.7516]]), tensor([[0.7497]]), tensor([[0.7463]]), tensor([[0.7480]]), tensor([[0.7462]]), tensor([[0.7506]]), tensor([[0.7556]]), tensor([[0.7594]]), tensor([[0.7553]]), tensor([[0.7505]]), tensor([[0.7524]]), tensor([[0.7527]]), tensor([[0.7574]]), tensor([[0.7576]]), tensor([[0.7556]]), tensor([[0.7537]])]",1525,1626
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,4034,23," and my breath catches at the intensity in his eyes. If I didn’t know better, I’d think he means","[' and', ' my', ' breath', ' catches', ' at', ' the']","['s', 'ight', ' of', ' the', ' radiant', ' sun', '.', ' The', ' infinite', ' beauty', ' of', ' the', ' world', ' overwhel', 'ms', ' me', ',', ' and', ' my', ' breath', ' catches', ' at', ' the', ' glorious', ' spl', 'endor', ' of', ' creation', '.']","[""['"", ' intensity', ""',"", "" '"", ' in', ""',"", "" '"", ' his', ""',"", "" '"", ' eyes', ""',"", "" '.',"", "" '"", ' If', ""',"", "" '"", ' I', ""',"", "" '"", ' didn', ""',"", "" '"", '’', 't', ""',"", "" '"", ' know', ""',""]",1.0,"sight of the radiant sun. The infinite beauty of the world overwhelms me, and my breath catches at the glorious splendor of creation.","[' intensity', ' in', ' his', ' eyes', '.', ' If', ' I', ' didn', '’t', ' know', ' better', ',', ' I', '’d', ' think', ' he', ' means']",tensor([[0.8182]]),3,"[tensor([[0.7983]]), tensor([[0.8099]]), tensor([[0.8182]]), tensor([[0.8022]]), tensor([[0.7727]]), tensor([[0.7788]]), tensor([[0.7842]]), tensor([[0.7950]]), tensor([[0.8007]]), tensor([[0.7970]]), tensor([[0.7943]]), tensor([[0.8042]]), tensor([[0.7951]]), tensor([[0.7902]]), tensor([[0.7810]]), tensor([[0.7873]]), tensor([[0.7982]]), tensor([[0.7961]]), tensor([[0.7946]]), tensor([[0.7810]]), tensor([[0.7918]]), tensor([[0.7888]]), tensor([[0.7773]]), tensor([[0.7980]])]",4033,4079
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,383,28," my head. “Yeah, yeah,” I reply in kind, mentally reaching out for Andarna again as one of the kitchen workers hurries","[' my', ' head', '.', ' “', 'Yeah', ',', ' yeah', ',”', ' I', ' reply', ' in', ' kind', ',']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' from', ' this', ' excerpt', ' as', ' it', ' seems', ' to', ' be', ' a', ' ver', 'batim', ' text', ' from', ' a', ' copyrighted', ' book', ' by', ' E', 'lin', ' H', 'ilder', 'brand', '.', ' How', ' about', ' I', ' summarize', ' the', ' paragraph', ' instead', '?']","[""['"", ' mentally', ""',"", "" '"", ' reaching', ""',"", "" '"", ' out', ""',"", "" '"", ' for', ""',"", "" '"", ' And', ""',"", "" '"", 'arna', ""',"", "" '"", ' again', ""',"", "" '"", ' as', ""',"", "" '"", ' one', ""',"", "" '"", ' of', ""',"", "" '"", ' the', ""',"", "" '"", ' kitchen', ""',"", "" '"", ' workers']",1.0,"Sorry, but I can't continue from this excerpt as it seems to be a verbatim text from a copyrighted book by Elin Hilderbrand. How about I summarize the paragraph instead?","[' mentally', ' reaching', ' out', ' for', ' And', 'arna', ' again', ' as', ' one', ' of', ' the', ' kitchen', ' workers', ' hur', 'ries']",tensor([[0.7943]]),31,"[tensor([[0.7898]]), tensor([[0.7770]]), tensor([[0.7675]]), tensor([[0.7565]]), tensor([[0.7435]]), tensor([[0.7471]]), tensor([[0.7554]]), tensor([[0.7463]]), tensor([[0.7590]]), tensor([[0.7664]]), tensor([[0.7654]]), tensor([[0.7607]]), tensor([[0.7669]]), tensor([[0.7663]]), tensor([[0.7655]]), tensor([[0.7759]]), tensor([[0.7772]]), tensor([[0.7767]]), tensor([[0.7794]]), tensor([[0.7712]]), tensor([[0.7678]]), tensor([[0.7663]]), tensor([[0.7758]]), tensor([[0.7744]]), tensor([[0.7750]]), tensor([[0.7826]]), tensor([[0.7786]]), tensor([[0.7883]]), tensor([[0.7823]]), tensor([[0.7916]]), tensor([[0.7943]])]",382,453
gpt-3.5-turbo,Iron Flame by Rebecca Yarros,2292,24," what is the obvious thing you need to state, Major Ferris?” Xaden asks, his tone completely, utterly bored","[' what', ' is', ' the', ' obvious', ' thing', ' you', ' need', ' to', ' state', ',', ' Major', ' Ferr']","['I', ""'m"", ' sorry', ',', ' but', ' the', ' text', ' you', ' provided', ' seems', ' to', ' be', ' a', ' random', ' collection', ' of', ' words', ' and', ' does', ' not', ' match', ' any', ' known', ' text', '.', ' Could', ' you', ' please', ' provide', ' more', ' context', ' or']","[""['"", 'is', ""',"", "" '"", '?”', ""',"", "" '"", ' X', ""',"", "" '"", 'aden', ""',"", "" '"", ' asks', ""',"", "" ',',"", "" '"", ' his', ""',"", "" '"", ' tone', ""',"", "" '"", ' completely', ""',"", "" ',',"", "" '"", ' utterly', ""',"", "" '"", ' bored', ""']""]",1.0,"I'm sorry, but the text you provided seems to be a random collection of words and does not match any known text. Could you please provide more context or clarify what you are looking for so I can assist you better?","['is', '?”', ' X', 'aden', ' asks', ',', ' his', ' tone', ' completely', ',', ' utterly', ' bored']",tensor([[0.8076]]),18,"[tensor([[0.7886]]), tensor([[0.7839]]), tensor([[0.7633]]), tensor([[0.7575]]), tensor([[0.7646]]), tensor([[0.7763]]), tensor([[0.7724]]), tensor([[0.7738]]), tensor([[0.7811]]), tensor([[0.7917]]), tensor([[0.7878]]), tensor([[0.7904]]), tensor([[0.7889]]), tensor([[0.7960]]), tensor([[0.7952]]), tensor([[0.8065]]), tensor([[0.8024]]), tensor([[0.8076]]), tensor([[0.8036]]), tensor([[0.8019]]), tensor([[0.8058]]), tensor([[0.8007]]), tensor([[0.8025]]), tensor([[0.8023]]), tensor([[0.8018]]), tensor([[0.8061]]), tensor([[0.8009]]), tensor([[0.7943]]), tensor([[0.7908]]), tensor([[0.7899]]), tensor([[0.7915]]), tensor([[0.7890]]), tensor([[0.7923]]), tensor([[0.7935]]), tensor([[0.8000]]), tensor([[0.8031]]), tensor([[0.8023]]), tensor([[0.8034]]), tensor([[0.7994]]), tensor([[0.8016]]), tensor([[0.8041]]), tensor([[0.8007]])]",2291,2356
