,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
2,gpt-4,New Living Translation Bible,321,32,"13 And evening passed and morning came, marking the third day.
14 Then God said, “Let lights appear in the sky to separate the day from the night","['13', ' And', ' evening', ' passed', ' and', ' morning', ' came', ',', ' marking', ' the', ' third', ' day', '.\n', '14', ' Then', ' God']","['said', ',', ' ""', 'Let', ' there', ' be', ' lights', ' in', ' the', ' vault', ' of', ' the', ' sky', ' to', ' separate', ' the']","[' said', ',', ' “', 'Let', ' lights', ' appear', ' in', ' the', ' sky', ' to', ' separate', ' the', ' day', ' from', ' the', ' night']",0.75,"said, ""Let there be lights in the vault of the sky to separate the day from the night, and let them serve as signs to mark sacred times, and days and years. 15 And let them be lights in the vault of the sky"," said, “Let lights appear in the sky to separate the day from the night",tensor([[0.9508]]),22,"[tensor([[0.7448]]), tensor([[0.8057]]), tensor([[0.8178]]), tensor([[0.8112]]), tensor([[0.8151]]), tensor([[0.8898]]), tensor([[0.8764]]), tensor([[0.8850]]), tensor([[0.8397]]), tensor([[0.8474]]), tensor([[0.8451]]), tensor([[0.8864]]), tensor([[0.8914]]), tensor([[0.9245]]), tensor([[0.9239]]), tensor([[0.9456]]), tensor([[0.9475]]), tensor([[0.9461]]), tensor([[0.9485]]), tensor([[0.9492]]), tensor([[0.9505]]), tensor([[0.9508]]), tensor([[0.9378]]), tensor([[0.9466]]), tensor([[0.9440]]), tensor([[0.9453]]), tensor([[0.9414]]), tensor([[0.9335]]), tensor([[0.9302]]), tensor([[0.9322]]), tensor([[0.9352]]), tensor([[0.9343]]), tensor([[0.9296]]), tensor([[0.9309]]), tensor([[0.9300]]), tensor([[0.9291]]), tensor([[0.9281]]), tensor([[0.9283]]), tensor([[0.9273]]), tensor([[0.9256]]), tensor([[0.9275]]), tensor([[0.9208]]), tensor([[0.9245]]), tensor([[0.9243]]), tensor([[0.9222]])]",320,351,0.002
5,gpt-4,New Living Translation Bible,189,29," sky flow together into one place, so dry ground may appear.” And that is what happened.
10 God called the dry ground “land” and","[' sky', ' flow', ' together', ' into', ' one', ' place']","[',', ' combining', ' their', ' eth', 'ereal', ' beauty', ' to', ' create', ' a', ' magnificent', ' panorama', ' that', ' is', ' a', ' testament', ' to', ' the', ' divine', ' craftsmanship', ' of', ' the', ' Almighty', ' Creator']","[',', ' so', ' dry', ' ground', ' may', ' appear', '.”', ' And', ' that', ' is', ' what', ' happened', '.\n', '10', ' God', ' called', ' the', ' dry', ' ground', ' “', 'land', '”', ' and']",0.9130434782608696,", combining their ethereal beauty to create a magnificent panorama that is a testament to the divine craftsmanship of the Almighty Creator. Reveling in this sight, one can truly comprehend the infinite power and exquisiteness of our Creator, His love for the",", so dry ground may appear.” And that is what happened.
10 God called the dry ground “land” and",tensor([[0.8135]]),2,"[tensor([[0.7575]]), tensor([[0.8135]]), tensor([[0.7705]]), tensor([[0.7793]]), tensor([[0.7713]]), tensor([[0.7469]]), tensor([[0.7555]]), tensor([[0.7504]]), tensor([[0.7592]]), tensor([[0.7702]]), tensor([[0.7636]]), tensor([[0.7657]]), tensor([[0.7676]]), tensor([[0.7683]]), tensor([[0.7809]]), tensor([[0.7753]]), tensor([[0.7768]]), tensor([[0.7903]]), tensor([[0.7815]]), tensor([[0.7827]]), tensor([[0.7829]]), tensor([[0.7907]]), tensor([[0.7838]]), tensor([[0.7876]]), tensor([[0.7862]]), tensor([[0.7852]]), tensor([[0.7839]]), tensor([[0.7865]]), tensor([[0.7830]]), tensor([[0.7841]]), tensor([[0.7869]]), tensor([[0.7872]]), tensor([[0.7863]]), tensor([[0.7865]]), tensor([[0.7877]]), tensor([[0.7859]]), tensor([[0.7873]]), tensor([[0.7894]]), tensor([[0.7913]]), tensor([[0.7923]]), tensor([[0.7877]]), tensor([[0.7864]]), tensor([[0.7873]])]",188,216,0.002
8,gpt-4,New Living Translation Bible,104,32,"6 Then God said, “Let there be a space between the waters, to separate the waters of the heavens from the waters of the earth.”
7 And that","['6', ' Then', ' God', ' said', ',', ' “', 'Let']","['there', ' be', ' a', ' space', ' between', ' the', ' waters', ',', ' to', ' separate', ' the', ' waters', ' of', ' the', ' heavens', ' from', ' the', ' waters', ' of', ' the', ' earth', '.""', ' And', ' that', ' is']","[' there', ' be', ' a', ' space', ' between', ' the', ' waters', ',', ' to', ' separate', ' the', ' waters', ' of', ' the', ' heavens', ' from', ' the', ' waters', ' of', ' the', ' earth', '.”\n', '7', ' And', ' that']",0.16,"there be a space between the waters, to separate the waters of the heavens from the waters of the earth."" And that is what happened. God made this space to separate the waters of the earth from the waters of the heavens. God called the space"," there be a space between the waters, to separate the waters of the heavens from the waters of the earth.”
7 And that",tensor([[0.9849]]),23,"[tensor([[0.7624]]), tensor([[0.8040]]), tensor([[0.8113]]), tensor([[0.8231]]), tensor([[0.8502]]), tensor([[0.8805]]), tensor([[0.8840]]), tensor([[0.9052]]), tensor([[0.9172]]), tensor([[0.9316]]), tensor([[0.9338]]), tensor([[0.9369]]), tensor([[0.9419]]), tensor([[0.9447]]), tensor([[0.9732]]), tensor([[0.9722]]), tensor([[0.9757]]), tensor([[0.9735]]), tensor([[0.9769]]), tensor([[0.9790]]), tensor([[0.9747]]), tensor([[0.9848]]), tensor([[0.9849]]), tensor([[0.9844]]), tensor([[0.9835]]), tensor([[0.9652]]), tensor([[0.9648]]), tensor([[0.9591]]), tensor([[0.9526]]), tensor([[0.9533]]), tensor([[0.9594]]), tensor([[0.9527]]), tensor([[0.9599]]), tensor([[0.9523]]), tensor([[0.9552]]), tensor([[0.9601]]), tensor([[0.9519]]), tensor([[0.9514]]), tensor([[0.9590]]), tensor([[0.9516]]), tensor([[0.9550]]), tensor([[0.9592]]), tensor([[0.9511]]), tensor([[0.9539]]), tensor([[0.9536]]), tensor([[0.9574]]), tensor([[0.9485]])]",103,134,0.002
11,gpt-4,New Living Translation Bible,20,33," empty, and darkness covered the deep waters. And the Spirit of God was hovering over the surface of the waters.
3 Then God said, “Let there be light","[' empty', ',', ' and', ' darkness', ' covered', ' the', ' deep', ' waters', '.', ' And', ' the', ' Spirit', ' of']","['God', ' was', ' hovering', ' over', ' the', ' surface', ' of', ' the', ' waters', '.', ' Then', ' God', ' said', ',', ' ""', 'Let', ' there', ' be', ' light', ',""']","[' God', ' was', ' hovering', ' over', ' the', ' surface', ' of', ' the', ' waters', '.\n', '3', ' Then', ' God', ' said', ',', ' “', 'Let', ' there', ' be', ' light']",0.25,"God was hovering over the surface of the waters. Then God said, ""Let there be light,"" and there was light. God saw that the light was good, and He separated the light from the darkness. God called the light ""day,"" and"," God was hovering over the surface of the waters.
3 Then God said, “Let there be light",tensor([[0.9805]]),18,"[tensor([[0.7227]]), tensor([[0.8102]]), tensor([[0.8264]]), tensor([[0.8834]]), tensor([[0.8876]]), tensor([[0.8970]]), tensor([[0.9125]]), tensor([[0.9104]]), tensor([[0.9111]]), tensor([[0.9098]]), tensor([[0.9281]]), tensor([[0.9314]]), tensor([[0.9425]]), tensor([[0.9607]]), tensor([[0.9622]]), tensor([[0.9653]]), tensor([[0.9703]]), tensor([[0.9805]]), tensor([[0.9786]]), tensor([[0.9803]]), tensor([[0.9610]]), tensor([[0.9702]]), tensor([[0.9600]]), tensor([[0.9555]]), tensor([[0.9741]]), tensor([[0.9605]]), tensor([[0.9702]]), tensor([[0.9519]]), tensor([[0.9662]]), tensor([[0.9722]]), tensor([[0.9301]]), tensor([[0.9492]]), tensor([[0.9339]]), tensor([[0.9384]]), tensor([[0.9492]]), tensor([[0.9347]]), tensor([[0.9436]]), tensor([[0.9415]]), tensor([[0.9536]]), tensor([[0.9390]]), tensor([[0.9252]]), tensor([[0.9384]])]",19,51,0.002
14,gpt-4,New Living Translation Bible,591,22," every sort of animal, each producing offspring of the same kind—livestock, small animals that scurry","[' every', ' sort', ' of', ' animal', ',', ' each', ' producing', ' offspring', ' of', ' the']","['same', ' kind', '—', 'liv', 'est', 'ock', ',', ' small', ' animals', ' that', ' sc', 'urry']","[' same', ' kind', '—', 'liv', 'est', 'ock', ',', ' small', ' animals', ' that', ' sc', 'urry']",0.0833333333333333,"same kind—livestock, small animals that scurry along the ground, and wild animals. He made them all, and he saw that it was good. The divine design in the diversity was evident as His blessing flowed through every created creature,"," same kind—livestock, small animals that scurry",tensor([[1.0000]]),7,"[tensor([[0.7788]]), tensor([[0.8060]]), tensor([[0.9346]]), tensor([[0.9471]]), tensor([[0.9574]]), tensor([[0.9585]]), tensor([[1.0000]]), tensor([[0.9896]]), tensor([[0.9873]]), tensor([[0.9738]]), tensor([[0.9739]]), tensor([[0.9697]]), tensor([[0.9558]]), tensor([[0.9638]]), tensor([[0.9413]]), tensor([[0.9108]]), tensor([[0.9042]]), tensor([[0.9205]]), tensor([[0.9286]]), tensor([[0.9006]]), tensor([[0.8966]]), tensor([[0.8991]]), tensor([[0.9102]]), tensor([[0.8778]]), tensor([[0.9007]]), tensor([[0.8839]]), tensor([[0.8744]]), tensor([[0.8860]]), tensor([[0.8872]]), tensor([[0.8688]]), tensor([[0.8683]]), tensor([[0.8558]]), tensor([[0.8621]]), tensor([[0.8654]]), tensor([[0.8510]]), tensor([[0.8537]]), tensor([[0.8534]]), tensor([[0.8603]]), tensor([[0.8505]]), tensor([[0.8538]])]",590,611,0.002
17,gpt-4,New Living Translation Bible,193,31," one place, so dry ground may appear.” And that is what happened.
10 God called the dry ground “land” and the waters “seas.”","[' one', ' place', ',', ' so', ' dry', ' ground', ' may', ' appear', '.”', ' And', ' that', ' is', ' what', ' happened']","['.', ' God', ' called', ' the', ' dry', ' ground', ' ""', 'land', '""', ' and', ' the', ' waters', ' ""', 'se', 'as', '.""', ' And']","['.\n', '10', ' God', ' called', ' the', ' dry', ' ground', ' “', 'land', '”', ' and', ' the', ' waters', ' “', 'se', 'as', '.”']",0.4117647058823529,". God called the dry ground ""land"" and the waters ""seas."" And God saw that it was good. Then, God said, ""Let the land produce vegetation: seed-bearing plants and fruit trees, each bearing fruit with seed according to",".
10 God called the dry ground “land” and the waters “seas.”",tensor([[0.9745]]),12,"[tensor([[0.7547]]), tensor([[0.8290]]), tensor([[0.8283]]), tensor([[0.8454]]), tensor([[0.8639]]), tensor([[0.8997]]), tensor([[0.9243]]), tensor([[0.9367]]), tensor([[0.9368]]), tensor([[0.9393]]), tensor([[0.9580]]), tensor([[0.9745]]), tensor([[0.9705]]), tensor([[0.9698]]), tensor([[0.9559]]), tensor([[0.9553]]), tensor([[0.9596]]), tensor([[0.9580]]), tensor([[0.9516]]), tensor([[0.9546]]), tensor([[0.9500]]), tensor([[0.9526]]), tensor([[0.9489]]), tensor([[0.9464]]), tensor([[0.9411]]), tensor([[0.9391]]), tensor([[0.9505]]), tensor([[0.9311]]), tensor([[0.9322]]), tensor([[0.9401]]), tensor([[0.9377]]), tensor([[0.9474]]), tensor([[0.9373]]), tensor([[0.9351]]), tensor([[0.9351]]), tensor([[0.9349]]), tensor([[0.9349]]), tensor([[0.9347]]), tensor([[0.9356]])]",192,222,0.002
20,gpt-4,New Living Translation Bible,270,28," and trees from which they came.” And that is what happened.
12 The land produced vegetation—all sorts of seed-bearing plants, and trees with","[' and', ' trees', ' from', ' which', ' they', ' came', '.”', ' And', ' that', ' is', ' what', ' happened']","['God', ' made', ' all', ' sorts', ' of', ' wild', ' animals', ',', ' livestock', ',', ' and', ' small', ' animals', ',', ' each', ' able']","['.\n', '12', ' The', ' land', ' produced', ' vegetation', '—all', ' sorts', ' of', ' seed', '-bearing', ' plants', ',', ' and', ' trees', ' with']",1.0,"God made all sorts of wild animals, livestock, and small animals, each able to produce offspring of the same kind. He looked at what he had done, and he saw that it was good. Thus, the earth was filled with diverse and beautiful",".
12 The land produced vegetation—all sorts of seed-bearing plants, and trees with",tensor([[0.8485]]),16,"[tensor([[0.7503]]), tensor([[0.7527]]), tensor([[0.7716]]), tensor([[0.7937]]), tensor([[0.7968]]), tensor([[0.8182]]), tensor([[0.8154]]), tensor([[0.8202]]), tensor([[0.8367]]), tensor([[0.8426]]), tensor([[0.8418]]), tensor([[0.8353]]), tensor([[0.8441]]), tensor([[0.8470]]), tensor([[0.8446]]), tensor([[0.8485]]), tensor([[0.8448]]), tensor([[0.8457]]), tensor([[0.8467]]), tensor([[0.8404]]), tensor([[0.8327]]), tensor([[0.8436]]), tensor([[0.8242]]), tensor([[0.8207]]), tensor([[0.8148]]), tensor([[0.8237]]), tensor([[0.8166]]), tensor([[0.8156]]), tensor([[0.8275]]), tensor([[0.8271]]), tensor([[0.8224]]), tensor([[0.8186]]), tensor([[0.8188]]), tensor([[0.8240]]), tensor([[0.8133]]), tensor([[0.8158]]), tensor([[0.8226]]), tensor([[0.8258]]), tensor([[0.8278]]), tensor([[0.8170]]), tensor([[0.8212]]), tensor([[0.8173]]), tensor([[0.8266]]), tensor([[0.8179]])]",269,296,0.002
23,gpt-4,New Living Translation Bible,24,24," covered the deep waters. And the Spirit of God was hovering over the surface of the waters.
3 Then God said,","[' covered', ' the', ' deep', ' waters', '.', ' And', ' the', ' Spirit', ' of', ' God', ' was', ' hovering']","['over', ' the', ' surface', ' of', ' the', ' waters', '.', ' Then', ' God', ' said', ',', ' ""']","[' over', ' the', ' surface', ' of', ' the', ' waters', '.\n', '3', ' Then', ' God', ' said', ',']",0.3333333333333333,"over the surface of the waters. Then God said, ""Let there be light,"" and there was light. God saw the light was good, and he separated the light from the darkness."," over the surface of the waters.
3 Then God said,",tensor([[0.9871]]),10,"[tensor([[0.7362]]), tensor([[0.8334]]), tensor([[0.8528]]), tensor([[0.8894]]), tensor([[0.8910]]), tensor([[0.8917]]), tensor([[0.9182]]), tensor([[0.9355]]), tensor([[0.9599]]), tensor([[0.9871]]), tensor([[0.9711]]), tensor([[0.9538]]), tensor([[0.9516]]), tensor([[0.9487]]), tensor([[0.9516]]), tensor([[0.9508]]), tensor([[0.9489]]), tensor([[0.9406]]), tensor([[0.9416]]), tensor([[0.9327]]), tensor([[0.9368]]), tensor([[0.9296]]), tensor([[0.9348]]), tensor([[0.9281]]), tensor([[0.9297]]), tensor([[0.9324]]), tensor([[0.9064]]), tensor([[0.9179]]), tensor([[0.9084]]), tensor([[0.9116]]), tensor([[0.9164]]), tensor([[0.9145]])]",23,46,0.002
26,gpt-4,New Living Translation Bible,787,22," along the ground.”
29 Then God said, “Look! I have given you every seed-bearing plant throughout the","[' along', ' the', ' ground', '.”\n', '29', ' Then', ' God', ' said', ',', ' “', 'Look']","['!', ' I', ' have', ' given', ' you', ' every', ' seed', '-bearing', ' plant', ' throughout', ' the']","['!', ' I', ' have', ' given', ' you', ' every', ' seed', '-bearing', ' plant', ' throughout', ' the']",0.0,"! I have given you every seed-bearing plant throughout the earth and all the fruit trees for your food. And I have given every green plant as food for all the wild animals, the birds in the sky, and the small animals that scurry along",! I have given you every seed-bearing plant throughout the,tensor([[1.]]),11,"[tensor([[0.7526]]), tensor([[0.7909]]), tensor([[0.8093]]), tensor([[0.8308]]), tensor([[0.8651]]), tensor([[0.8641]]), tensor([[0.9123]]), tensor([[0.9759]]), tensor([[0.9891]]), tensor([[0.9960]]), tensor([[1.]]), tensor([[0.9788]]), tensor([[0.9832]]), tensor([[0.9805]]), tensor([[0.9835]]), tensor([[0.9725]]), tensor([[0.9704]]), tensor([[0.9718]]), tensor([[0.9718]]), tensor([[0.9557]]), tensor([[0.9630]]), tensor([[0.9638]]), tensor([[0.9635]]), tensor([[0.9631]]), tensor([[0.9640]]), tensor([[0.9592]]), tensor([[0.9602]]), tensor([[0.9622]]), tensor([[0.9542]]), tensor([[0.9539]]), tensor([[0.9546]]), tensor([[0.9573]]), tensor([[0.9519]]), tensor([[0.9447]]), tensor([[0.9510]]), tensor([[0.9483]]), tensor([[0.9492]]), tensor([[0.9484]]), tensor([[0.9386]]), tensor([[0.9449]]), tensor([[0.9452]]), tensor([[0.9449]]), tensor([[0.9441]]), tensor([[0.9431]]), tensor([[0.9436]]), tensor([[0.9445]])]",786,807,0.002
29,gpt-4,New Living Translation Bible,187,34," beneath the sky flow together into one place, so dry ground may appear.” And that is what happened.
10 God called the dry ground “land” and the waters “","[' beneath', ' the', ' sky', ' flow', ' together', ' into', ' one', ' place', ',', ' so', ' dry', ' ground']","['may', ' appear', '.""', ' And', ' that', ' is', ' what', ' happened', '.', ' God', ' called', ' the', ' dry', ' ground', ' ""', 'land', '""', ' and', ' the', ' waters', ' ""', 'se']","[' may', ' appear', '.”', ' And', ' that', ' is', ' what', ' happened', '.\n', '10', ' God', ' called', ' the', ' dry', ' ground', ' “', 'land', '”', ' and', ' the', ' waters', ' “']",0.3636363636363636,"may appear."" And that is what happened. God called the dry ground ""land"" and the waters ""seas."" And God saw that it was good. Then God said, ""Let the land sprout with vegetation - every sort of seed-bearing"," may appear.” And that is what happened.
10 God called the dry ground “land” and the waters “",tensor([[0.9799]]),17,"[tensor([[0.7615]]), tensor([[0.7654]]), tensor([[0.8602]]), tensor([[0.8618]]), tensor([[0.8585]]), tensor([[0.8582]]), tensor([[0.8593]]), tensor([[0.8718]]), tensor([[0.9018]]), tensor([[0.9117]]), tensor([[0.9165]]), tensor([[0.9442]]), tensor([[0.9603]]), tensor([[0.9696]]), tensor([[0.9735]]), tensor([[0.9739]]), tensor([[0.9799]]), tensor([[0.9728]]), tensor([[0.9773]]), tensor([[0.9730]]), tensor([[0.9704]]), tensor([[0.9694]]), tensor([[0.9719]]), tensor([[0.9744]]), tensor([[0.9651]]), tensor([[0.9691]]), tensor([[0.9652]]), tensor([[0.9666]]), tensor([[0.9669]]), tensor([[0.9663]]), tensor([[0.9613]]), tensor([[0.9546]]), tensor([[0.9568]]), tensor([[0.9544]]), tensor([[0.9600]]), tensor([[0.9574]]), tensor([[0.9532]]), tensor([[0.9557]]), tensor([[0.9502]])]",186,219,0.002
