,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
2,gpt-4,Game of Thrones,835,38," look away. Father will know if you do."" 
Bran kept his pony well in hand, and did not look away. 
His father took off the man's head with a single","[' look', ' away', '.', ' Father', ' will']","['know', ' if', ' you', ' do', '.""', ' Jon', ' Snow', ' begr', 'udging', 'ly', ' forced', ' his', ' gaze', ' back', ' to', ' the', ' gris', 'ly', ' scene', ',', ' a', ' lesson', ' in', ' reality', ' and', ' consequence', '.', ' There', ' was', ' a', ' solemn', ' gravity', ' in']","[' know', ' if', ' you', ' do', '.""', ' \n', 'B', 'ran', ' kept', ' his', ' pony', ' well', ' in', ' hand', ',', ' and', ' did', ' not', ' look', ' away', '.', ' \n', 'His', ' father', ' took', ' off', ' the', ' man', ""'s"", ' head', ' with', ' a', ' single']",0.8787878787878788,"know if you do."" Jon Snow begrudgingly forced his gaze back to the grisly scene, a lesson in reality and consequence. There was a solemn gravity in his father's lessons, a burden of knowing that shaped him into the leader he was"," know if you do."" 
Bran kept his pony well in hand, and did not look away. 
His father took off the man's head with a single",tensor([[0.8939]]),30,"[tensor([[0.7847]]), tensor([[0.7742]]), tensor([[0.7958]]), tensor([[0.8100]]), tensor([[0.8251]]), tensor([[0.8442]]), tensor([[0.8626]]), tensor([[0.8633]]), tensor([[0.8504]]), tensor([[0.8585]]), tensor([[0.8688]]), tensor([[0.8735]]), tensor([[0.8754]]), tensor([[0.8714]]), tensor([[0.8718]]), tensor([[0.8635]]), tensor([[0.8629]]), tensor([[0.8740]]), tensor([[0.8737]]), tensor([[0.8759]]), tensor([[0.8732]]), tensor([[0.8736]]), tensor([[0.8742]]), tensor([[0.8745]]), tensor([[0.8744]]), tensor([[0.8749]]), tensor([[0.8770]]), tensor([[0.8760]]), tensor([[0.8770]]), tensor([[0.8939]]), tensor([[0.8905]]), tensor([[0.8909]]), tensor([[0.8809]]), tensor([[0.8862]]), tensor([[0.8834]]), tensor([[0.8851]]), tensor([[0.8844]]), tensor([[0.8836]]), tensor([[0.8832]]), tensor([[0.8857]]), tensor([[0.8834]]), tensor([[0.8866]]), tensor([[0.8838]])]",834,871,0.001001001001001001
5,gpt-4,Game of Thrones,541,26," given there in the chill of morning, but afterward Bran 
could not recall much of what had been said. Finally his lord father","[' given', ' there', ' in', ' the', ' chill', ' of', ' morning']","[',', ' a', ' dense', ' fog', ' covered', ' the', ' glo', 'omy', ' landscape', ',', ' lurking', ' omin', 'ously', ' over', ' the', ' towering', ' cast', 'les', ' and']","[',', ' but', ' afterward', ' Bran', ' \n', 'could', ' not', ' recall', ' much', ' of', ' what', ' had', ' been', ' said', '.', ' Finally', ' his', ' lord', ' father']",0.9473684210526316,", a dense fog covered the gloomy landscape, lurking ominously over the towering castles and barren fields. The profound silence, punctuated only by the occasional the eerie caw of a raven or the distant howl of a dire wolf,",", but afterward Bran 
could not recall much of what had been said. Finally his lord father",tensor([[0.8148]]),33,"[tensor([[0.7534]]), tensor([[0.7911]]), tensor([[0.7793]]), tensor([[0.7897]]), tensor([[0.7797]]), tensor([[0.7635]]), tensor([[0.7715]]), tensor([[0.7662]]), tensor([[0.7574]]), tensor([[0.7662]]), tensor([[0.7636]]), tensor([[0.7604]]), tensor([[0.7618]]), tensor([[0.7600]]), tensor([[0.7674]]), tensor([[0.7720]]), tensor([[0.7724]]), tensor([[0.7661]]), tensor([[0.7758]]), tensor([[0.7773]]), tensor([[0.8032]]), tensor([[0.8042]]), tensor([[0.8075]]), tensor([[0.8063]]), tensor([[0.8054]]), tensor([[0.8046]]), tensor([[0.8067]]), tensor([[0.7991]]), tensor([[0.7998]]), tensor([[0.8021]]), tensor([[0.8024]]), tensor([[0.8122]]), tensor([[0.8148]]), tensor([[0.8140]]), tensor([[0.8125]]), tensor([[0.8071]]), tensor([[0.8105]]), tensor([[0.8101]]), tensor([[0.8080]]), tensor([[0.8069]])]",540,565,0.001001001001001001
8,gpt-4,Game of Thrones,745,40," Rhoynar and the First Men, Lord of 
the Seven Kingdoms and Protector of the Realm, by the word of Eddard of the House Stark, 
Lord of Winterfell and","[' R', 'ho', 'yn', 'ar', ' and', ' the', ' First', ' Men', ',', ' Lord', ' of', ' \n', 'the', ' Seven', ' Kingdom', 's', ' and']","['Prot', 'ector', ' of', ' the', ' Realm', ',', ' he', ' was', ' a', ' figure', ' of', ' immense', ' power', ' and', ' influence', '.', ' Yet', ',', ' beneath', ' the', ' grand', ' titles', ' and']","[' Protector', ' of', ' the', ' Realm', ',', ' by', ' the', ' word', ' of', ' E', 'dd', 'ard', ' of', ' the', ' House', ' Stark', ',', ' \n', 'Lord', ' of', ' Winter', 'fell', ' and']",0.782608695652174,"Protector of the Realm, he was a figure of immense power and influence. Yet, beneath the grand titles and great responsibility, he remained true to his human faults and virtues. His reign featured prosperity and peace but was also marked by political intrigue and"," Protector of the Realm, by the word of Eddard of the House Stark, 
Lord of Winterfell and",tensor([[0.9036]]),5,"[tensor([[0.7779]]), tensor([[0.8416]]), tensor([[0.8754]]), tensor([[0.8746]]), tensor([[0.9036]]), tensor([[0.9022]]), tensor([[0.8974]]), tensor([[0.8971]]), tensor([[0.8853]]), tensor([[0.8966]]), tensor([[0.8810]]), tensor([[0.8882]]), tensor([[0.8909]]), tensor([[0.8760]]), tensor([[0.8766]]), tensor([[0.8841]]), tensor([[0.8847]]), tensor([[0.8795]]), tensor([[0.8809]]), tensor([[0.8847]]), tensor([[0.8825]]), tensor([[0.8735]]), tensor([[0.8770]]), tensor([[0.8726]]), tensor([[0.8705]]), tensor([[0.8719]]), tensor([[0.8714]]), tensor([[0.8723]]), tensor([[0.8664]]), tensor([[0.8683]]), tensor([[0.8611]]), tensor([[0.8682]]), tensor([[0.8671]]), tensor([[0.8608]]), tensor([[0.8538]]), tensor([[0.8573]]), tensor([[0.8539]]), tensor([[0.8572]]), tensor([[0.8595]]), tensor([[0.8586]]), tensor([[0.8560]]), tensor([[0.8552]]), tensor([[0.8477]]), tensor([[0.8538]]), tensor([[0.8549]])]",744,783,0.001001001001001001
11,gpt-4,Game of Thrones,913,31," his eyes off the blood. The snows around the stump drank it eagerly, 
reddening as he watched. 
The head bounced off a thick root","[' his', ' eyes', ' off', ' the', ' blood', '.']","['The', ' red', ' liquid', ' flowed', ' like', ' a', ' stream', ' carving', ' its', ' own', ' path', ' through', ' the', ' dense', ' snow', ',', ' a', ' stark', ' contrast', ' against', ' the', ' pristine', ' white', '.', ' Each']","[' The', ' snow', 's', ' around', ' the', ' stump', ' drank', ' it', ' eagerly', ',', ' \n', 'redd', 'ening', ' as', ' he', ' watched', '.', ' \n', 'The', ' head', ' bounced', ' off', ' a', ' thick', ' root']",1.0,"The red liquid flowed like a stream carving its own path through the dense snow, a stark contrast against the pristine white. Each drip echoing the finality of life, a grim symphony punctuated by the bitter cold. His heart hammered in his chest"," The snows around the stump drank it eagerly, 
reddening as he watched. 
The head bounced off a thick root",tensor([[0.8679]]),17,"[tensor([[0.7605]]), tensor([[0.7864]]), tensor([[0.7763]]), tensor([[0.7765]]), tensor([[0.8158]]), tensor([[0.8189]]), tensor([[0.8268]]), tensor([[0.8294]]), tensor([[0.8441]]), tensor([[0.8489]]), tensor([[0.8498]]), tensor([[0.8481]]), tensor([[0.8481]]), tensor([[0.8453]]), tensor([[0.8458]]), tensor([[0.8653]]), tensor([[0.8679]]), tensor([[0.8650]]), tensor([[0.8645]]), tensor([[0.8655]]), tensor([[0.8627]]), tensor([[0.8629]]), tensor([[0.8525]]), tensor([[0.8578]]), tensor([[0.8579]]), tensor([[0.8585]]), tensor([[0.8548]]), tensor([[0.8587]]), tensor([[0.8556]]), tensor([[0.8445]]), tensor([[0.8495]]), tensor([[0.8484]]), tensor([[0.8447]]), tensor([[0.8409]]), tensor([[0.8395]]), tensor([[0.8378]]), tensor([[0.8454]]), tensor([[0.8355]]), tensor([[0.8404]]), tensor([[0.8473]]), tensor([[0.8582]]), tensor([[0.8554]]), tensor([[0.8519]]), tensor([[0.8517]])]",912,942,0.001001001001001001
14,gpt-4,Game of Thrones,2446,23," was bigger than his pony, twice the size of the largest hound in 
his father's kennel. 
","[' was', ' bigger', ' than', ' his', ' pony', ',', ' twice', ' the', ' size']","['of', ' the', ' largest', ' horse', ' in', ' his', ' father', ""'s"", ' stable', '.', ' Its', ' eyes', ',', ' a']","[' of', ' the', ' largest', ' h', 'ound', ' in', ' \n', 'his', ' father', ""'s"", ' kenn', 'el', '.', ' \n']",0.7857142857142857,"of the largest horse in his father's stable. Its eyes, a menacing shade of emerald, glinted under the pale moon, filled with savage intelligence. A torrent of steam erupted from its nostrils, leaving a chilling mist hanging in the"," of the largest hound in 
his father's kennel. 
",tensor([[0.9125]]),9,"[tensor([[0.7482]]), tensor([[0.7601]]), tensor([[0.7740]]), tensor([[0.8221]]), tensor([[0.8488]]), tensor([[0.8495]]), tensor([[0.8620]]), tensor([[0.9111]]), tensor([[0.9125]]), tensor([[0.9021]]), tensor([[0.9014]]), tensor([[0.8963]]), tensor([[0.8974]]), tensor([[0.8916]]), tensor([[0.8921]]), tensor([[0.8856]]), tensor([[0.8807]]), tensor([[0.8790]]), tensor([[0.8789]]), tensor([[0.8746]]), tensor([[0.8660]]), tensor([[0.8634]]), tensor([[0.8638]]), tensor([[0.8606]]), tensor([[0.8610]]), tensor([[0.8611]]), tensor([[0.8533]]), tensor([[0.8595]]), tensor([[0.8599]]), tensor([[0.8538]]), tensor([[0.8543]]), tensor([[0.8553]]), tensor([[0.8578]]), tensor([[0.8546]]), tensor([[0.8555]]), tensor([[0.8525]]), tensor([[0.8482]]), tensor([[0.8479]]), tensor([[0.8474]]), tensor([[0.8478]])]",2445,2467,0.001001001001001001
17,gpt-4,Game of Thrones,2341,23," thumping in his chest as he pushed through a waist-high drift to his brothers' 
side. 
Half-b","[' th', 'umping', ' in', ' his', ' chest', ' as', ' he', ' pushed']","['through', ' the', ' heavy', ' wooden', ' door', ' leading', ' to', ' the', ' council', ' chamber', '.', ' The', ' t', 'allow', ' candles']","[' through', ' a', ' waist', '-high', ' drift', ' to', ' his', ' brothers', ""'"", ' \n', 'side', '.', ' \n', 'Half', '-b']",1.0,"through the heavy wooden door leading to the council chamber. The tallow candles flickered ominously casting elongated shadows that danced around the room. Cold stone walls echoed the pressing anticipation that filled his veins, matching the chill that had most unfairly decided to"," through a waist-high drift to his brothers' 
side. 
Half-b",tensor([[0.8232]]),5,"[tensor([[0.7673]]), tensor([[0.7918]]), tensor([[0.8141]]), tensor([[0.8135]]), tensor([[0.8232]]), tensor([[0.8099]]), tensor([[0.8044]]), tensor([[0.8121]]), tensor([[0.8161]]), tensor([[0.7979]]), tensor([[0.7805]]), tensor([[0.7927]]), tensor([[0.7975]]), tensor([[0.7810]]), tensor([[0.7826]]), tensor([[0.7759]]), tensor([[0.7736]]), tensor([[0.7738]]), tensor([[0.7679]]), tensor([[0.7689]]), tensor([[0.7683]]), tensor([[0.7687]]), tensor([[0.7677]]), tensor([[0.7496]]), tensor([[0.7595]]), tensor([[0.7588]]), tensor([[0.7541]]), tensor([[0.7512]]), tensor([[0.7509]]), tensor([[0.7495]]), tensor([[0.7512]]), tensor([[0.7525]]), tensor([[0.7515]]), tensor([[0.7526]]), tensor([[0.7565]]), tensor([[0.7660]]), tensor([[0.7658]]), tensor([[0.7632]]), tensor([[0.7639]]), tensor([[0.7644]]), tensor([[0.7661]]), tensor([[0.7689]]), tensor([[0.7674]]), tensor([[0.7690]])]",2340,2362,0.001001001001001001
20,gpt-4,Game of Thrones,2854,27,"for all to see. A foot of shattered antler, tines snapped off, all wet with blood. 
A sudden silence descended","['for', ' all', ' to', ' see', '.', ' A', ' foot', ' of', ' shattered', ' ant', 'ler']","['had', ' lodged', ' itself', ' in', ' the', ' horse', ""'s"", ' neck', ',', ' its', ' sharp', ' point', ' protr', 'uding', ' from', ' the']","[',', ' t', 'ines', ' snapped', ' off', ',', ' all', ' wet', ' with', ' blood', '.', ' \n', 'A', ' sudden', ' silence', ' descended']",1.0,"had lodged itself in the horse's neck, its sharp point protruding from the other side. Blood was slowly making its way down the horse's strong shoulders, matting its dark coat with a macabre crimson. The life was seeping from",", tines snapped off, all wet with blood. 
A sudden silence descended",tensor([[0.8487]]),19,"[tensor([[0.7660]]), tensor([[0.7871]]), tensor([[0.8067]]), tensor([[0.8134]]), tensor([[0.8126]]), tensor([[0.8164]]), tensor([[0.7941]]), tensor([[0.7971]]), tensor([[0.7989]]), tensor([[0.7946]]), tensor([[0.7992]]), tensor([[0.8020]]), tensor([[0.7991]]), tensor([[0.7983]]), tensor([[0.8016]]), tensor([[0.7945]]), tensor([[0.8325]]), tensor([[0.8294]]), tensor([[0.8487]]), tensor([[0.8443]]), tensor([[0.8451]]), tensor([[0.8419]]), tensor([[0.8466]]), tensor([[0.8347]]), tensor([[0.8423]]), tensor([[0.8406]]), tensor([[0.8289]]), tensor([[0.8350]]), tensor([[0.8340]]), tensor([[0.8322]]), tensor([[0.8252]]), tensor([[0.8198]]), tensor([[0.8187]]), tensor([[0.8278]]), tensor([[0.8116]]), tensor([[0.8124]]), tensor([[0.8210]]), tensor([[0.8188]]), tensor([[0.8244]]), tensor([[0.8235]])]",2853,2879,0.001001001001001001
23,gpt-4,Game of Thrones,2839,38," head with his hand. He gave a yank and held it up 
for all to see. A foot of shattered antler, tines snapped off, all wet with blood. 
","[' head', ' with', ' his', ' hand', '.', ' He']","['took', ' a', ' moment', ' before', ' speaking', ',', ' his', ' face', ' a', ' slate', ' of', ' sto', 'icism', '.', ' Slow', 'ly', ',', ' he', ' pulled', ' the', ' silver', ' stag', ' pin', ' off', ' his', ' chest', ' and', ' rolled', ' it', ' between', ' his', ' fingers']","[' gave', ' a', ' y', 'ank', ' and', ' held', ' it', ' up', ' \n', 'for', ' all', ' to', ' see', '.', ' A', ' foot', ' of', ' shattered', ' ant', 'ler', ',', ' t', 'ines', ' snapped', ' off', ',', ' all', ' wet', ' with', ' blood', '.', ' \n']",0.9375,"took a moment before speaking, his face a slate of stoicism. Slowly, he pulled the silver stag pin off his chest and rolled it between his fingers. ""There's a storm coming,"" he finally said, his voice low and foreb"," gave a yank and held it up 
for all to see. A foot of shattered antler, tines snapped off, all wet with blood. 
",tensor([[0.8385]]),34,"[tensor([[0.7866]]), tensor([[0.7935]]), tensor([[0.8196]]), tensor([[0.8275]]), tensor([[0.8149]]), tensor([[0.8069]]), tensor([[0.8105]]), tensor([[0.8145]]), tensor([[0.8105]]), tensor([[0.8152]]), tensor([[0.8146]]), tensor([[0.7956]]), tensor([[0.8010]]), tensor([[0.7988]]), tensor([[0.8196]]), tensor([[0.8136]]), tensor([[0.8317]]), tensor([[0.8260]]), tensor([[0.8199]]), tensor([[0.8328]]), tensor([[0.8259]]), tensor([[0.8280]]), tensor([[0.8223]]), tensor([[0.8260]]), tensor([[0.8226]]), tensor([[0.8247]]), tensor([[0.8208]]), tensor([[0.8181]]), tensor([[0.8232]]), tensor([[0.8225]]), tensor([[0.8347]]), tensor([[0.8371]]), tensor([[0.8364]]), tensor([[0.8385]]), tensor([[0.8356]]), tensor([[0.8356]]), tensor([[0.8342]]), tensor([[0.8346]]), tensor([[0.8321]]), tensor([[0.8343]])]",2838,2875,0.001001001001001001
26,gpt-4,Game of Thrones,3728,33," 
them, or brutalize them, or train them badly. These are not dogs to beg for treats and slink off at 
a kick. A direwolf","[' \n', 'them', ',', ' or', ' brutal', 'ize', ' them', ',', ' or', ' train', ' them']","['into', ' ruthless', ' killers', ';', ' instead', ',', ' they', ' were', ' his', ' subjects', ',', ' entitled', ' to', ' his', ' protection', ' and', ' guidance', '.', ' He', ' saw', ' himself', ' as']","[' badly', '.', ' These', ' are', ' not', ' dogs', ' to', ' beg', ' for', ' treats', ' and', ' sl', 'ink', ' off', ' at', ' \n', 'a', ' kick', '.', ' A', ' dire', 'wolf']",1.0,"into ruthless killers; instead, they were his subjects, entitled to his protection and guidance. He saw himself as the shepherd of a flock, whom he would lead to pastures green and fertile, away from the dangers and perils of a world fraught"," badly. These are not dogs to beg for treats and slink off at 
a kick. A direwolf",tensor([[0.8183]]),5,"[tensor([[0.7775]]), tensor([[0.7711]]), tensor([[0.7817]]), tensor([[0.8035]]), tensor([[0.8183]]), tensor([[0.8139]]), tensor([[0.8118]]), tensor([[0.7884]]), tensor([[0.7865]]), tensor([[0.7960]]), tensor([[0.7850]]), tensor([[0.7826]]), tensor([[0.7824]]), tensor([[0.7795]]), tensor([[0.7818]]), tensor([[0.7873]]), tensor([[0.7826]]), tensor([[0.7832]]), tensor([[0.7776]]), tensor([[0.7772]]), tensor([[0.7868]]), tensor([[0.7863]]), tensor([[0.7886]]), tensor([[0.7878]]), tensor([[0.7814]]), tensor([[0.7848]]), tensor([[0.7815]]), tensor([[0.7812]]), tensor([[0.7806]]), tensor([[0.7842]]), tensor([[0.7761]]), tensor([[0.7774]]), tensor([[0.7781]]), tensor([[0.7775]]), tensor([[0.7771]]), tensor([[0.7794]]), tensor([[0.7811]]), tensor([[0.7821]]), tensor([[0.7844]]), tensor([[0.7841]]), tensor([[0.7858]]), tensor([[0.7859]]), tensor([[0.7851]])]",3727,3759,0.001001001001001001
29,gpt-4,Game of Thrones,3841,22,"ory, Desmond, gather up the other pups. It's time we were back to 
Winterfell."" 
","['ory', ',', ' Desmond', ',', ' gather', ' up', ' the']","['men', ' and', ' meet', ' me', ' at', ' the', ' gates', '.', ' We', ' have', ' a', ' wolf', ' to', ' hunt', ',']","[' other', ' pups', '.', ' It', ""'s"", ' time', ' we', ' were', ' back', ' to', ' \n', 'Winter', 'fell', '.""', ' \n']",1.0,"men and meet me at the gates. We have a wolf to hunt, a direwolf no less. And remember, men, it may be dangerous. These creatures are not just beasts, they are echoes of the old world, remnants of an age"," other pups. It's time we were back to 
Winterfell."" 
",tensor([[0.8375]]),20,"[tensor([[0.7684]]), tensor([[0.7005]]), tensor([[0.7438]]), tensor([[0.7404]]), tensor([[0.7328]]), tensor([[0.7406]]), tensor([[0.7441]]), tensor([[0.7669]]), tensor([[0.7723]]), tensor([[0.7834]]), tensor([[0.7773]]), tensor([[0.8221]]), tensor([[0.8279]]), tensor([[0.8267]]), tensor([[0.8222]]), tensor([[0.8254]]), tensor([[0.8216]]), tensor([[0.8293]]), tensor([[0.8244]]), tensor([[0.8375]]), tensor([[0.8358]]), tensor([[0.8209]]), tensor([[0.8132]]), tensor([[0.8113]]), tensor([[0.8229]]), tensor([[0.8075]]), tensor([[0.8097]]), tensor([[0.7962]]), tensor([[0.8024]]), tensor([[0.8030]]), tensor([[0.8196]]), tensor([[0.8007]]), tensor([[0.8017]]), tensor([[0.8102]]), tensor([[0.8002]]), tensor([[0.7971]]), tensor([[0.8075]]), tensor([[0.8154]]), tensor([[0.8074]]), tensor([[0.8019]]), tensor([[0.7970]]), tensor([[0.8047]])]",3840,3861,0.001001001001001001
