model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Famous Quotes,1,9,Let us see what love can do. ,"['Let', ' us', ' see', ' what']","['the', ' future', ' holds', '.']","[' love', ' can', ' do', '.']",0.75,the future holds., love can do. ,tensor([[0.8016]]),4,"[tensor([[0.7612]]), tensor([[0.7917]]), tensor([[0.7865]]), tensor([[0.8016]])]",0,7
gpt-4-1106-preview,Famous Quotes,1,9,Let us see what love can do. ,"['Let', ' us', ' see', ' what']","['Let', ' us', ' see', ' what', ' the']","[' love', ' can', ' do', '.', ' ']",1.0,Let us see what the future holds., love can do. ,tensor([[0.8159]]),3,"[tensor([[0.7612]]), tensor([[0.8055]]), tensor([[0.8159]]), tensor([[0.7992]]), tensor([[0.7929]]), tensor([[0.7934]]), tensor([[0.7944]]), tensor([[0.7886]])]",0,8
gpt-4,Famous Quotes,1,9,Let us see what love can do. ,"['Let', ' us', ' see', ' what']","['the', ' end', ' will', ' be', '.']","[' love', ' can', ' do', '.', ' ']",1.0,the end will be., love can do. ,tensor([[0.8121]]),4,"[tensor([[0.7612]]), tensor([[0.7917]]), tensor([[0.7875]]), tensor([[0.8121]]), tensor([[0.7855]])]",0,8
gpt-3.5-turbo,Famous Quotes,2,30,"We can't heal the world today. But we can begin with a voice of compassion, a heart of love, and an act of kindness. ","['We', ' can', ""'t"", ' heal', ' the', ' world', ' today', '.', ' But', ' we', ' can', ' begin', ' with', ' a']","['single', ' act', ' of', ' kindness', '.']","[' voice', ' of', ' compassion', ',', ' a']",1.0,single act of kindness.," voice of compassion, a heart of love, and an act of kindness. ",tensor([[0.8667]]),5,"[tensor([[0.7533]]), tensor([[0.7232]]), tensor([[0.7695]]), tensor([[0.7857]]), tensor([[0.8667]])]",0,18
gpt-4-1106-preview,Famous Quotes,2,30,"We can't heal the world today. But we can begin with a voice of compassion, a heart of love, and an act of kindness. ","['We', ' can', ""'t"", ' heal', ' the', ' world', ' today', '.', ' But', ' we', ' can', ' begin', ' with', ' a']","['voice', ' of', ' compassion', ',', ' a', ' heart', ' of', ' love', ',', ' an', ' act', ' of', ' kindness', '.']","[' voice', ' of', ' compassion', ',', ' a', ' heart', ' of', ' love', ',', ' and', ' an', ' act', ' of', ' kindness']",0.21428571428571427,"voice of compassion, a heart of love, an act of kindness."," voice of compassion, a heart of love, and an act of kindness. ",tensor([[0.9950]]),12,"[tensor([[0.7533]]), tensor([[0.8116]]), tensor([[0.8190]]), tensor([[0.9413]]), tensor([[0.9309]]), tensor([[0.9592]]), tensor([[0.9621]]), tensor([[0.9743]]), tensor([[0.9681]]), tensor([[0.9639]]), tensor([[0.9715]]), tensor([[0.9950]])]",0,27
gpt-4,Famous Quotes,2,30,"We can't heal the world today. But we can begin with a voice of compassion, a heart of love, and an act of kindness. ","['We', ' can', ""'t"", ' heal', ' the', ' world', ' today', '.', ' But', ' we', ' can', ' begin', ' with', ' a']","['voice', ' of', ' compassion', ',', ' a', ' heart', ' for', ' love', ',', ' a', ' soul', ' for', ' kindness', ',', ' and', ' hands']","[' voice', ' of', ' compassion', ',', ' a', ' heart', ' of', ' love', ',', ' and', ' an', ' act', ' of', ' kindness', '.', ' ']",0.5625,"voice of compassion, a heart for love, a soul for kindness, and hands for charity."," voice of compassion, a heart of love, and an act of kindness. ",tensor([[0.9686]]),8,"[tensor([[0.7533]]), tensor([[0.8116]]), tensor([[0.8190]]), tensor([[0.9413]]), tensor([[0.9309]]), tensor([[0.9592]]), tensor([[0.9571]]), tensor([[0.9686]]), tensor([[0.9626]]), tensor([[0.9583]]), tensor([[0.9532]]), tensor([[0.9647]]), tensor([[0.9610]]), tensor([[0.9477]]), tensor([[0.9465]]), tensor([[0.9578]])]",0,29
gpt-3.5-turbo,Famous Quotes,3,13,Listen with curiosity. Speak with honesty. Act with integrity. ,"['Listen', ' with']","['the', ' intent', ' to', ' understand', ',', ' not', ' just', ' to', ' reply', '.']","[' curiosity', '.', ' Speak', ' with', ' honesty', '.', ' Act', ' with', ' integrity', '.']",0.9,"the intent to understand, not just to reply.", curiosity. Speak with honesty. Act with integrity. ,tensor([[0.8753]]),9,"[tensor([[0.7910]]), tensor([[0.7965]]), tensor([[0.8403]]), tensor([[0.8504]]), tensor([[0.8633]]), tensor([[0.8275]]), tensor([[0.8483]]), tensor([[0.8528]]), tensor([[0.8753]])]",0,11
gpt-4-1106-preview,Famous Quotes,3,13,Listen with curiosity. Speak with honesty. Act with integrity. ,"['Listen', ' with']","['the', ' intent', ' to', ' understand', ',', ' not', ' the', ' intent', ' to', ' reply', '.']","[' curiosity', '.', ' Speak', ' with', ' honesty', '.', ' Act', ' with', ' integrity', '.', ' ']",1.0,"the intent to understand, not the intent to reply.", curiosity. Speak with honesty. Act with integrity. ,tensor([[0.8633]]),5,"[tensor([[0.7910]]), tensor([[0.7965]]), tensor([[0.8403]]), tensor([[0.8504]]), tensor([[0.8633]]), tensor([[0.8275]]), tensor([[0.8302]]), tensor([[0.8335]]), tensor([[0.8384]]), tensor([[0.8509]])]",0,12
gpt-4,Famous Quotes,3,13,Listen with curiosity. Speak with honesty. Act with integrity. ,"['Listen', ' with']","['cur', 'iosity', '.', ' Speak', ' with', ' honesty', '.', ' Act', ' with', ' integrity', '.']","[' curiosity', '.', ' Speak', ' with', ' honesty', '.', ' Act', ' with', ' integrity', '.', ' ']",0.2727272727272727,curiosity. Speak with honesty. Act with integrity., curiosity. Speak with honesty. Act with integrity. ,tensor([[1.]]),8,"[tensor([[0.7910]]), tensor([[0.8898]]), tensor([[0.8999]]), tensor([[0.9031]]), tensor([[0.9646]]), tensor([[0.9781]]), tensor([[0.9794]]), tensor([[1.]])]",0,12
gpt-3.5-turbo,Famous Quotes,4,19,The most basic and powerful way to connect to another person is to listen. Just listen. ,"['The', ' most']","['important', ' thing', ' is', ' to', ' enjoy', ' your', ' life', ' -', ' to', ' be', ' happy', ' -', ' it', ""'s"", ' all', ' that', ' matters']","[' basic', ' and', ' powerful', ' way', ' to', ' connect', ' to', ' another', ' person', ' is', ' to', ' listen', '.', ' Just', ' listen', '.', ' ']",1.0,important thing is to enjoy your life - to be happy - it's all that matters., basic and powerful way to connect to another person is to listen. Just listen. ,tensor([[0.8224]]),17,"[tensor([[0.7865]]), tensor([[0.7575]]), tensor([[0.7751]]), tensor([[0.7710]]), tensor([[0.7911]]), tensor([[0.7939]]), tensor([[0.8034]]), tensor([[0.8112]]), tensor([[0.8040]]), tensor([[0.8079]]), tensor([[0.8056]]), tensor([[0.8136]]), tensor([[0.8160]]), tensor([[0.8079]]), tensor([[0.8175]]), tensor([[0.8163]]), tensor([[0.8224]])]",0,18
gpt-4-1106-preview,Famous Quotes,4,19,The most basic and powerful way to connect to another person is to listen. Just listen. ,"['The', ' most']","['The', ' most', ' complete', ' sentence', ' or', ' quote', ' that', ' begins', ' with', ' ""', 'The', ' most', '""', ' is', ' not', ' immediately', ' clear']","[' basic', ' and', ' powerful', ' way', ' to', ' connect', ' to', ' another', ' person', ' is', ' to', ' listen', '.', ' Just', ' listen', '.', ' ']",1.0,"The most complete sentence or quote that begins with ""The most"" is not immediately clear without additional context, as there are numerous famous quotes that start with these words. Here are a few possibilities:

- ""The most difficult thing is the decision to act", basic and powerful way to connect to another person is to listen. Just listen. ,tensor([[0.8058]]),15,"[tensor([[0.7865]]), tensor([[0.7829]]), tensor([[0.7663]]), tensor([[0.7583]]), tensor([[0.7749]]), tensor([[0.7805]]), tensor([[0.7908]]), tensor([[0.7916]]), tensor([[0.7918]]), tensor([[0.7925]]), tensor([[0.7866]]), tensor([[0.8038]]), tensor([[0.7882]]), tensor([[0.7941]]), tensor([[0.8058]]), tensor([[0.8000]]), tensor([[0.7959]]), tensor([[0.7957]]), tensor([[0.7955]]), tensor([[0.7881]]), tensor([[0.7982]]), tensor([[0.7985]]), tensor([[0.7909]]), tensor([[0.7866]]), tensor([[0.7858]]), tensor([[0.7809]]), tensor([[0.7877]]), tensor([[0.7879]]), tensor([[0.7857]]), tensor([[0.7913]]), tensor([[0.7959]]), tensor([[0.7850]]), tensor([[0.7892]]), tensor([[0.7911]]), tensor([[0.7887]]), tensor([[0.7894]]), tensor([[0.7866]]), tensor([[0.7858]]), tensor([[0.7881]]), tensor([[0.7841]]), tensor([[0.7829]]), tensor([[0.7850]]), tensor([[0.7885]]), tensor([[0.7911]])]",0,18
gpt-4,Famous Quotes,4,19,The most basic and powerful way to connect to another person is to listen. Just listen. ,"['The', ' most']","['important', ' thing', ' is', ' to', ' enjoy', ' your', ' life', ' -', ' to', ' be', ' happy', ' -', ' it', ""'s"", ' all', ' that', ' matters']","[' basic', ' and', ' powerful', ' way', ' to', ' connect', ' to', ' another', ' person', ' is', ' to', ' listen', '.', ' Just', ' listen', '.', ' ']",1.0,important thing is to enjoy your life - to be happy - it's all that matters. - Audrey Hepburn, basic and powerful way to connect to another person is to listen. Just listen. ,tensor([[0.8295]]),18,"[tensor([[0.7865]]), tensor([[0.7575]]), tensor([[0.7751]]), tensor([[0.7710]]), tensor([[0.7911]]), tensor([[0.7939]]), tensor([[0.8034]]), tensor([[0.8112]]), tensor([[0.8040]]), tensor([[0.8079]]), tensor([[0.8056]]), tensor([[0.8136]]), tensor([[0.8160]]), tensor([[0.8079]]), tensor([[0.8175]]), tensor([[0.8163]]), tensor([[0.8224]]), tensor([[0.8295]]), tensor([[0.8217]]), tensor([[0.8164]])]",0,18
gpt-3.5-turbo,Famous Quotes,5,8,"Knowledge speaks, but wisdom listens. ","['Knowledge', ' speaks', ',', ' but']","['wis', 'dom', ' listens', '.']","[' wisdom', ' listens', '.', ' ']",0.75,wisdom listens., wisdom listens. ,tensor([[1.0000]]),3,"[tensor([[0.7727]]), tensor([[0.8941]]), tensor([[1.0000]])]",0,7
