model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Article II & Article III,26,28," hold his Office during the Term of four Years, and, together with the Vice President, chosen for the same Term, be elected, as","[' hold', ' his', ' Office', ' during', ' the', ' Term']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' provide', ' ver', 'batim', ' excerpts', ' from', ' copyrighted', ' texts', '.', ' Would', ' you', ' like', ' a', ' summary', ' or', ' some', ' other', ' kind', ' of', ' help', ' with', ' this', ' text', ' instead', '?']","[""['"", ' of', ""',"", "" '"", ' four', ""',"", "" '"", ' Years', ""',"", "" ',',"", "" '"", ' and', ""',"", "" ',',"", "" '"", ' together', ""',"", "" '"", ' with', ""',"", "" '"", ' the', ""',"", "" '"", ' Vice', ""',"", "" '"", ' President', ""',"", "" ',',""]",1.0,"Sorry, but I can't provide verbatim excerpts from copyrighted texts. Would you like a summary or some other kind of help with this text instead?","[' of', ' four', ' Years', ',', ' and', ',', ' together', ' with', ' the', ' Vice', ' President', ',', ' chosen', ' for', ' the', ' same', ' Term', ',', ' be', ' elected', ',', ' as']",tensor([[0.8078]]),26,"[tensor([[0.7957]]), tensor([[0.7729]]), tensor([[0.7653]]), tensor([[0.7560]]), tensor([[0.7365]]), tensor([[0.7688]]), tensor([[0.7945]]), tensor([[0.8045]]), tensor([[0.7989]]), tensor([[0.7982]]), tensor([[0.8027]]), tensor([[0.8044]]), tensor([[0.8007]]), tensor([[0.8034]]), tensor([[0.8053]]), tensor([[0.8047]]), tensor([[0.8035]]), tensor([[0.7979]]), tensor([[0.7979]]), tensor([[0.7972]]), tensor([[0.7973]]), tensor([[0.7983]]), tensor([[0.7974]]), tensor([[0.8000]]), tensor([[0.8045]]), tensor([[0.8078]])]",25,72
gpt-3.5-turbo,Article II & Article III,546,24," Years, and been fourteen Years a Resident within the United States.
In Case of the Removal of the President from Office,","[' Years', ',', ' and', ' been', ' fourteen', ' Years', ' a']","['Sorry', ',', ' I', ' am', ' not', ' able', ' to', ' identify', ' the', ' author', ' based', ' on', ' the', ' words', ' provided', '.', ' Could', ' you', ' please', ' provide', ' more', ' context', ' or', ' clarify', ' the', ' information', ' so', ' I', ' can', ' assist', ' you', ' further', '?']","[""['"", ' Resident', ""',"", "" '"", ' within', ""',"", "" '"", ' the', ""',"", "" '"", ' United', ""',"", "" '"", ' States', ""',"", "" '."", '\\', 'n', ""',"", "" '"", 'In', ""',"", "" '"", ' Case', ""',"", "" '"", ' of', ""',"", "" '"", ' the', ""',"", "" '"", ' Removal']",1.0,"Sorry, I am not able to identify the author based on the words provided. Could you please provide more context or clarify the information so I can assist you further?","[' Resident', ' within', ' the', ' United', ' States', '.\n', 'In', ' Case', ' of', ' the', ' Removal', ' of', ' the', ' President', ' from', ' Office', ',']",tensor([[0.8124]]),1,"[tensor([[0.8124]]), tensor([[0.7733]]), tensor([[0.7600]]), tensor([[0.7582]]), tensor([[0.7506]]), tensor([[0.7707]]), tensor([[0.7946]]), tensor([[0.7715]]), tensor([[0.7726]]), tensor([[0.7752]]), tensor([[0.7804]]), tensor([[0.7818]]), tensor([[0.7792]]), tensor([[0.8005]]), tensor([[0.8019]]), tensor([[0.8080]]), tensor([[0.8089]]), tensor([[0.8042]]), tensor([[0.8029]]), tensor([[0.7995]]), tensor([[0.7970]]), tensor([[0.7971]]), tensor([[0.8002]]), tensor([[0.8004]]), tensor([[0.7983]]), tensor([[0.7977]]), tensor([[0.7952]]), tensor([[0.7961]]), tensor([[0.8000]]), tensor([[0.8069]]), tensor([[0.8047]])]",545,596
gpt-3.5-turbo,Article II & Article III,108,22," Office of Trust or Profit under the United States, shall be appointed an Elector.
The Electors shall meet","[' Office', ' of', ' Trust', ' or', ' Profit', ' under', ' the', ' United', ' States', ',']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' couldn', ""'t"", ' identify', ' the', ' author', ' you', ' are', ' referring', ' to', ' with', ' this', ' text', '.', ' Can', ' you', ' provide', ' more', ' context', ' so', ' that', ' I', ' can', ' give', ' an', ' accurate', ' completion', ' of', ' the', ' paragraph', '?']","[""['"", ' shall', ""',"", "" '"", ' be', ""',"", "" '"", ' appointed', ""',"", "" '"", ' an', ""',"", "" '"", ' Elect', ""',"", "" '"", 'or', ""',"", "" '."", '\\', 'n', ""',"", "" '"", 'The', ""',"", "" '"", ' Elect', ""',"", "" '"", 'ors', ""',"", "" '"", ' shall', ""',"", "" '"", ' meet']",1.0,"I'm sorry, but I couldn't identify the author you are referring to with this text. Can you provide more context so that I can give an accurate completion of the paragraph?","[' shall', ' be', ' appointed', ' an', ' Elect', 'or', '.\n', 'The', ' Elect', 'ors', ' shall', ' meet']",tensor([[0.8066]]),1,"[tensor([[0.8066]]), tensor([[0.7733]]), tensor([[0.7465]]), tensor([[0.7477]]), tensor([[0.7533]]), tensor([[0.7405]]), tensor([[0.7535]]), tensor([[0.7566]]), tensor([[0.7529]]), tensor([[0.7584]]), tensor([[0.7659]]), tensor([[0.7539]]), tensor([[0.7571]]), tensor([[0.7569]]), tensor([[0.7585]]), tensor([[0.7759]]), tensor([[0.7815]]), tensor([[0.7754]]), tensor([[0.7766]]), tensor([[0.7732]]), tensor([[0.7742]]), tensor([[0.7780]]), tensor([[0.7778]]), tensor([[0.7751]]), tensor([[0.7767]]), tensor([[0.7756]]), tensor([[0.7776]]), tensor([[0.7817]]), tensor([[0.7852]]), tensor([[0.7841]]), tensor([[0.7847]]), tensor([[0.7818]])]",107,171
gpt-3.5-turbo,Article II & Article III,225,25," of the Senate and House of Representatives, open all the Certificates, and the Votes shall then be counted. The Person having","[' of', ' the', ' Senate', ' and', ' House', ' of', ' Representatives', ',', ' open', ' all', ' the']","['doors', ' and', ' windows', ' within', ' the', ' chamber', ',', ' letting', ' in', ' the', ' fresh', ' air', ' and', ' sunlight', ' as', ' a', ' symbolic', ' gesture', ' of', ' transparency', ' and', ' openness', ' in', ' government', ' proceedings', '.', ' In', ' doing', ' so', ',', ' they', ' hope', ' to', ' signal', ' a', ' new', ' era', ' of']","[""['"", ' Cert', ""',"", "" '"", 'ificates', ""',"", "" ',',"", "" '"", ' and', ""',"", "" '"", ' the', ""',"", "" '"", ' Votes', ""',"", "" '"", ' shall', ""',"", "" '"", ' then', ""',"", "" '"", ' be', ""',"", "" '"", ' counted', ""',"", "" '.',"", "" '"", ' The', ""',"", "" '"", ' Person', ""',"", "" '"", ' having', ""']""]",1.0,"doors and windows within the chamber, letting in the fresh air and sunlight as a symbolic gesture of transparency and openness in government proceedings. In doing so, they hope to signal a new era of collaboration and communication between the two legislative bodies.","[' Cert', 'ificates', ',', ' and', ' the', ' Votes', ' shall', ' then', ' be', ' counted', '.', ' The', ' Person', ' having']",tensor([[0.7933]]),1,"[tensor([[0.7933]]), tensor([[0.7580]]), tensor([[0.7895]]), tensor([[0.7694]]), tensor([[0.7744]]), tensor([[0.7784]]), tensor([[0.7728]]), tensor([[0.7808]]), tensor([[0.7740]]), tensor([[0.7766]]), tensor([[0.7727]]), tensor([[0.7623]]), tensor([[0.7637]]), tensor([[0.7731]]), tensor([[0.7675]]), tensor([[0.7654]]), tensor([[0.7879]]), tensor([[0.7820]]), tensor([[0.7778]]), tensor([[0.7766]]), tensor([[0.7692]]), tensor([[0.7760]]), tensor([[0.7739]]), tensor([[0.7848]]), tensor([[0.7755]]), tensor([[0.7835]]), tensor([[0.7871]]), tensor([[0.7807]]), tensor([[0.7809]]), tensor([[0.7828]]), tensor([[0.7813]]), tensor([[0.7870]]), tensor([[0.7830]]), tensor([[0.7849]]), tensor([[0.7812]]), tensor([[0.7775]]), tensor([[0.7747]]), tensor([[0.7728]]), tensor([[0.7782]]), tensor([[0.7757]]), tensor([[0.7745]]), tensor([[0.7768]]), tensor([[0.7761]]), tensor([[0.7824]])]",224,292
gpt-3.5-turbo,Article II & Article III,453,24," Vice President.
The Congress may determine the Time of chusing the Electors, and the Day on which they shall give","[' Vice', ' President', '.\n', 'The', ' Congress', ' may', ' determine', ' the', ' Time', ' of', ' ch', 'using']","['I', ""'m"", ' sorry', ',', ' but', ' the', ' paragraph', ' seems', ' to', ' be', ' incomplete', ' and', ' I', ""'m"", ' unable', ' to', ' determine', ' the', ' original', ' context', ' without', ' further', ' information', ' or', ' text', '.', ' If', ' you', ' can', ' provide', ' more', ' details', ' or', ' additional']","[""['"", ' the', ""',"", "" '"", ' Elect', ""',"", "" '"", 'ors', ""',"", "" ',',"", "" '"", ' and', ""',"", "" '"", ' the', ""',"", "" '"", ' Day', ""',"", "" '"", ' on', ""',"", "" '"", ' which', ""',"", "" '"", ' they', ""',"", "" '"", ' shall', ""',"", "" '"", ' give', ""']""]",0.9705882352941176,"I'm sorry, but the paragraph seems to be incomplete and I'm unable to determine the original context without further information or text. If you can provide more details or additional sentences, I'd be happy to help complete the paragraph for you.","[' the', ' Elect', 'ors', ',', ' and', ' the', ' Day', ' on', ' which', ' they', ' shall', ' give']",tensor([[0.8073]]),42,"[tensor([[0.8007]]), tensor([[0.7735]]), tensor([[0.7522]]), tensor([[0.7528]]), tensor([[0.7687]]), tensor([[0.7840]]), tensor([[0.7793]]), tensor([[0.7910]]), tensor([[0.7833]]), tensor([[0.7895]]), tensor([[0.7800]]), tensor([[0.7750]]), tensor([[0.7963]]), tensor([[0.8019]]), tensor([[0.8054]]), tensor([[0.8011]]), tensor([[0.8061]]), tensor([[0.7956]]), tensor([[0.7994]]), tensor([[0.7970]]), tensor([[0.7935]]), tensor([[0.7933]]), tensor([[0.8009]]), tensor([[0.7999]]), tensor([[0.8062]]), tensor([[0.7997]]), tensor([[0.7959]]), tensor([[0.7921]]), tensor([[0.7989]]), tensor([[0.7995]]), tensor([[0.7980]]), tensor([[0.8061]]), tensor([[0.8004]]), tensor([[0.7989]]), tensor([[0.7957]]), tensor([[0.7977]]), tensor([[0.8015]]), tensor([[0.8038]]), tensor([[0.8059]]), tensor([[0.8014]]), tensor([[0.8030]]), tensor([[0.8073]])]",452,522
gpt-3.5-turbo,Article II & Article III,1326,23," judicial Power shall extend to all Cases, in Law and Equity, arising under this Constitution, the Laws of the United","[' judicial', ' Power', ' shall', ' extend', ' to', ' all', ' Cases', ',', ' in']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' ""{', 'author', '}""', ' as', ' it', ' is', ' a', ' copyrighted', ' material', '.', ' How', ' about', ' I', ' summarize', ' this', ' paragraph', ' instead', '?']","[""['"", ' Law', ""',"", "" '"", ' and', ""',"", "" '"", ' Equity', ""',"", "" ',',"", "" '"", ' arising', ""',"", "" '"", ' under', ""',"", "" '"", ' this', ""',"", "" '"", ' Constitution', ""',"", "" ',',"", "" '"", ' the', ""',"", "" '"", ' Laws']",1.0,"Sorry, but I can't continue the text from ""{author}"" as it is a copyrighted material. How about I summarize this paragraph instead?","[' Law', ' and', ' Equity', ',', ' arising', ' under', ' this', ' Constitution', ',', ' the', ' Laws', ' of', ' the', ' United']",tensor([[0.8311]]),22,"[tensor([[0.7921]]), tensor([[0.7764]]), tensor([[0.7699]]), tensor([[0.7623]]), tensor([[0.7407]]), tensor([[0.7428]]), tensor([[0.7505]]), tensor([[0.7709]]), tensor([[0.7822]]), tensor([[0.7870]]), tensor([[0.7928]]), tensor([[0.7948]]), tensor([[0.8002]]), tensor([[0.7990]]), tensor([[0.8034]]), tensor([[0.8088]]), tensor([[0.7993]]), tensor([[0.8044]]), tensor([[0.8087]]), tensor([[0.8276]]), tensor([[0.8247]]), tensor([[0.8311]]), tensor([[0.8236]])]",1325,1377
gpt-3.5-turbo,Article II & Article III,687,22," the Period for which he shall have been elected, and he shall not receive within that Period any other Emol","[' the', ' Period', ' for', ' which', ' he', ' shall', ' have', ' been']","['sent', 'enced', ' to', ' imprisonment', ',', ' they', ' shall', ' be', ' delivered', ' up', ' to', ' the', ' Contract', 'ing', ' Parties', ',', ' unless', ' the', ' crime', ' or', ' offense', ' is', ' of', ' a', ' political', ' character', '.']","[""['"", ' elected', ""',"", "" ',',"", "" '"", ' and', ""',"", "" '"", ' he', ""',"", "" '"", ' shall', ""',"", "" '"", ' not', ""',"", "" '"", ' receive', ""',"", "" '"", ' within', ""',"", "" '"", ' that', ""',"", "" '"", ' Period']",1.0,"sentenced to imprisonment, they shall be delivered up to the Contracting Parties, unless the crime or offense is of a political character.","[' elected', ',', ' and', ' he', ' shall', ' not', ' receive', ' within', ' that', ' Period', ' any', ' other', ' Em', 'ol']",tensor([[0.8141]]),7,"[tensor([[0.7934]]), tensor([[0.7868]]), tensor([[0.8049]]), tensor([[0.7848]]), tensor([[0.8022]]), tensor([[0.8131]]), tensor([[0.8141]]), tensor([[0.8126]]), tensor([[0.8099]]), tensor([[0.8101]]), tensor([[0.8017]]), tensor([[0.7972]]), tensor([[0.7887]]), tensor([[0.7927]]), tensor([[0.7884]]), tensor([[0.7999]]), tensor([[0.7954]]), tensor([[0.8044]]), tensor([[0.8045]]), tensor([[0.8065]]), tensor([[0.7996]]), tensor([[0.8059]]), tensor([[0.8019]])]",686,736
gpt-3.5-turbo,Article II & Article III,1235,27,"
Section 1
The judicial Power of the United States, shall be vested in one supreme Court, and in such inferior Courts as","['\n', 'Section', ' ', '1', '\n', 'The', ' judicial', ' Power', ' of', ' the']","['United', ' States', ' shall', ' be', ' vested', ' in', ' one', ' Supreme', ' Court', ' and', ' in', ' such', ' inferior', ' Courts', ' as', ' the', ' Congress', ' may', ' from', ' time', ' to', ' time', ' ord', 'ain', ' and', ' establish', '.', ' The', ' judges', ',', ' both', ' of', ' the', ' Supreme', ' and', ' inferior', ' Courts', ',', ' shall', ' hold', ' their', ' Offices', ' during', ' good', ' Behaviour', ',', ' and']","[""['"", ' United', ""',"", "" '"", ' States', ""',"", "" ',',"", "" '"", ' shall', ""',"", "" '"", ' be', ""',"", "" '"", ' vested', ""',"", "" '"", ' in', ""',"", "" '"", ' one', ""',"", "" '"", ' supreme', ""',"", "" '"", ' Court', ""',"", "" ',',"", "" '"", ' and', ""',"", "" '"", ' in', ""',"", "" '"", ' such', ""',"", "" '"", ' inferior', ""',"", "" '"", ' Courts', ""',"", "" '"", ' as', ""']""]",1.0,"United States shall be vested in one Supreme Court and in such inferior Courts as the Congress may from time to time ordain and establish. The judges, both of the Supreme and inferior Courts, shall hold their Offices during good Behaviour, and shall, at","[' United', ' States', ',', ' shall', ' be', ' vested', ' in', ' one', ' supreme', ' Court', ',', ' and', ' in', ' such', ' inferior', ' Courts', ' as']",tensor([[0.8908]]),18,"[tensor([[0.7841]]), tensor([[0.7645]]), tensor([[0.7759]]), tensor([[0.8414]]), tensor([[0.8344]]), tensor([[0.8435]]), tensor([[0.8495]]), tensor([[0.8521]]), tensor([[0.8624]]), tensor([[0.8581]]), tensor([[0.8600]]), tensor([[0.8711]]), tensor([[0.8697]]), tensor([[0.8866]]), tensor([[0.8881]]), tensor([[0.8864]]), tensor([[0.8845]]), tensor([[0.8908]]), tensor([[0.8886]]), tensor([[0.8882]]), tensor([[0.8836]]), tensor([[0.8833]]), tensor([[0.8866]]), tensor([[0.8846]]), tensor([[0.8740]]), tensor([[0.8637]]), tensor([[0.8741]]), tensor([[0.8800]]), tensor([[0.8809]]), tensor([[0.8776]]), tensor([[0.8760]]), tensor([[0.8868]]), tensor([[0.8796]]), tensor([[0.8897]]), tensor([[0.8857]]), tensor([[0.8878]]), tensor([[0.8862]]), tensor([[0.8814]]), tensor([[0.8840]]), tensor([[0.8798]]), tensor([[0.8816]]), tensor([[0.8845]]), tensor([[0.8773]]), tensor([[0.8892]]), tensor([[0.8861]])]",1234,1310
gpt-3.5-turbo,Article II & Article III,43,30,", chosen for the same Term, be elected, as follows:
Each State shall appoint, in such Manner as the Legislature thereof may direct, a","[',', ' chosen', ' for', ' the', ' same', ' Term', ',', ' be', ' elected', ',', ' as', ' follows', ':\n', 'Each']","['Senator', ',', ' chosen', ' for', ' the', ' same', ' term', ',', ' shall', ' be', ' elected', ' as', ' follows', ':', ' each']","[""['"", ' State', ""',"", "" '"", ' shall', ""',"", "" '"", ' appoint', ""',"", "" ',',"", "" '"", ' in', ""',"", "" '"", ' such']",1.0,"Senator, chosen for the same term, shall be elected as follows: each","[' State', ' shall', ' appoint', ',', ' in', ' such', ' M', 'anner', ' as', ' the', ' Legislature', ' thereof', ' may', ' direct', ',', ' a']",tensor([[0.8312]]),13,"[tensor([[0.7884]]), tensor([[0.8247]]), tensor([[0.8050]]), tensor([[0.7980]]), tensor([[0.7950]]), tensor([[0.7870]]), tensor([[0.8028]]), tensor([[0.8250]]), tensor([[0.8167]]), tensor([[0.8078]]), tensor([[0.8102]]), tensor([[0.8194]]), tensor([[0.8312]])]",42,95
gpt-3.5-turbo,Article II & Article III,280,21," than one who have such Majority, and have an equal Number of Votes, then the House of Representatives shall","[' than', ' one', ' who', ' have', ' such', ' Majority', ',', ' and', ' have']","['than', ' one', ' who', ' have', ' such', ' Majority', ',', ' and', ' have', ' the', ' power', ' to', ' reduce', ' it', ' into', ' one', ' Law', ' which', ' is', ' universally', ' acknowledged', '.']","[""['"", ' an', ""',"", "" '"", ' equal', ""',"", "" '"", ' Number', ""',"", "" '"", ' of', ""',"", "" '"", ' Votes', ""',"", "" ',',"", "" '"", ' then', ""',"", "" '"", ' the', ""',""]",1.0,"than one who have such Majority, and have the power to reduce it into one Law which is universally acknowledged.","[' an', ' equal', ' Number', ' of', ' Votes', ',', ' then', ' the', ' House', ' of', ' Representatives', ' shall']",tensor([[0.8314]]),2,"[tensor([[0.7817]]), tensor([[0.8314]]), tensor([[0.8247]]), tensor([[0.8182]]), tensor([[0.8078]]), tensor([[0.7976]]), tensor([[0.7917]]), tensor([[0.7893]]), tensor([[0.7920]]), tensor([[0.7990]]), tensor([[0.8103]]), tensor([[0.8137]]), tensor([[0.8045]]), tensor([[0.8033]]), tensor([[0.8051]]), tensor([[0.8099]]), tensor([[0.8070]]), tensor([[0.8034]]), tensor([[0.8022]]), tensor([[0.8085]]), tensor([[0.7976]])]",279,325
