,Unnamed: 0,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
5,7,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,552,33," Gibson is a self-supporting totality.
Thus, the example of Marxist class which is a central theme of Gibson’s All Tomorrow’s Parties is also evident in Pattern","[' Gibson', ' is', ' a', ' self', '-support', 'ing', ' tot', 'ality', '.\n', 'Thus', ',', ' the']","['main', ' theme', ' of', ' the', ' works', ' of', ' Gibson', ' is', ' the', ' role', ' of', ' the', ' participant', ' as', ' reader', '.', ' However', ',', ' I', ' believe', ' the']","[' example', ' of', ' Marxist', ' class', ' which', ' is', ' a', ' central', ' theme', ' of', ' Gibson', '’s', ' All', ' Tomorrow', '’s', ' Parties', ' is', ' also', ' evident', ' in', ' Pattern']",0.9523809523809524,"main theme of the works of Gibson is the role of the participant as reader. However, I believe the paragraph you're asking me to complete is from a fictional source, as I cannot find any real academic reference or text with that title or by an", example of Marxist class which is a central theme of Gibson’s All Tomorrow’s Parties is also evident in Pattern,tensor([[0.8510]]),15,"[tensor([[0.7336]]), tensor([[0.7365]]), tensor([[0.7853]]), tensor([[0.8102]]), tensor([[0.8159]]), tensor([[0.7983]]), tensor([[0.8112]]), tensor([[0.8498]]), tensor([[0.8438]]), tensor([[0.8487]]), tensor([[0.8407]]), tensor([[0.8453]]), tensor([[0.8466]]), tensor([[0.8498]]), tensor([[0.8510]]), tensor([[0.8154]]), tensor([[0.8289]]), tensor([[0.8366]]), tensor([[0.8336]]), tensor([[0.8336]]), tensor([[0.8379]]), tensor([[0.8322]]), tensor([[0.8205]]), tensor([[0.8210]]), tensor([[0.8248]]), tensor([[0.8242]]), tensor([[0.8247]]), tensor([[0.8238]]), tensor([[0.8270]]), tensor([[0.8175]]), tensor([[0.8109]]), tensor([[0.8170]]), tensor([[0.8182]]), tensor([[0.8154]]), tensor([[0.8145]]), tensor([[0.8154]]), tensor([[0.8146]]), tensor([[0.8175]]), tensor([[0.8164]]), tensor([[0.8169]]), tensor([[0.8165]]), tensor([[0.8171]]), tensor([[0.8167]]), tensor([[0.8164]]), tensor([[0.8178]]), tensor([[0.8177]]), tensor([[0.8187]])]",551,583,0.3033088235294117
42,61,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,110,38," works of Spelling is a mythopoetical paradox.
It could be said that Derrida suggests the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210,","[' works', ' of', ' Sp', 'elling', ' is', ' a', ' myth', 'opo', 'etical', ' paradox', '.\n', 'It', ' could', ' be', ' said']","['that', ' the', ' works', ' of', ' Sp', 'elling', ' are', ' not', ' so', ' much', ' an', ' example', ' of', ' myth', 'opo', 'etical', ' paradox', ',', ' but', ' rather', ' an', ' embodiment', ' of']","[' that', ' D', 'err', 'ida', ' suggests', ' the', ' use', ' of', ' capitalist', ' narrative', ' to', ' challenge', ' the', ' status', ' quo', '.', ' In', ' Beverly', ' Hills', ' ', '902', '10', ',']",1.0,"that the works of Spelling are not so much an example of mythopoetical paradox, but rather an embodiment of the capitalist system itself, reflecting its complexities and inherent contradictions. Spelling's narratives often highlight the tension between the individual and the collective,"," that Derrida suggests the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210,",tensor([[0.8469]]),25,"[tensor([[0.7589]]), tensor([[0.7828]]), tensor([[0.7976]]), tensor([[0.7730]]), tensor([[0.7876]]), tensor([[0.7608]]), tensor([[0.7644]]), tensor([[0.7664]]), tensor([[0.7680]]), tensor([[0.7646]]), tensor([[0.7656]]), tensor([[0.7716]]), tensor([[0.7699]]), tensor([[0.7796]]), tensor([[0.7765]]), tensor([[0.7814]]), tensor([[0.7875]]), tensor([[0.7880]]), tensor([[0.7963]]), tensor([[0.7923]]), tensor([[0.7928]]), tensor([[0.8459]]), tensor([[0.8463]]), tensor([[0.8462]]), tensor([[0.8469]]), tensor([[0.8462]]), tensor([[0.8469]]), tensor([[0.8454]]), tensor([[0.8459]]), tensor([[0.8424]]), tensor([[0.8375]]), tensor([[0.8381]]), tensor([[0.8366]]), tensor([[0.8311]]), tensor([[0.8305]]), tensor([[0.8334]]), tensor([[0.8305]]), tensor([[0.8300]]), tensor([[0.8306]]), tensor([[0.8302]]), tensor([[0.8292]]), tensor([[0.8323]])]",109,146,0.3033088235294117
45,64,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,442,29,", in fact, dematerialism, but subdematerialism. Derrida promotes the use of postcapitalist theory to deconstruct class","[',', ' in', ' fact', ',', ' dem', 'aterial', 'ism', ',', ' but', ' sub', 'dem', 'aterial']","['\n', 'I', ""'m"", ' sorry', ',', ' but', ' I', ' am', ' unable', ' to', ' provide', ' ver', 'batim', ' excerpts', ' from', ' copyrighted', ' texts']","['ism', '.', ' D', 'err', 'ida', ' promotes', ' the', ' use', ' of', ' post', 'capital', 'ist', ' theory', ' to', ' de', 'construct', ' class']",1.0,"
I'm sorry, but I am unable to provide verbatim excerpts from copyrighted texts or continue them unless they are user generated. If you have any questions about the themes, concepts, or ideas in 'Capitalist Narrative in the Works of Gibson'",ism. Derrida promotes the use of postcapitalist theory to deconstruct class,tensor([[0.7882]]),35,"[tensor([[0.7441]]), tensor([[0.7611]]), tensor([[0.7214]]), tensor([[0.7249]]), tensor([[0.7235]]), tensor([[0.7278]]), tensor([[0.7028]]), tensor([[0.7153]]), tensor([[0.7369]]), tensor([[0.7569]]), tensor([[0.7634]]), tensor([[0.7630]]), tensor([[0.7469]]), tensor([[0.7448]]), tensor([[0.7456]]), tensor([[0.7478]]), tensor([[0.7484]]), tensor([[0.7498]]), tensor([[0.7483]]), tensor([[0.7510]]), tensor([[0.7509]]), tensor([[0.7555]]), tensor([[0.7638]]), tensor([[0.7625]]), tensor([[0.7610]]), tensor([[0.7605]]), tensor([[0.7628]]), tensor([[0.7644]]), tensor([[0.7637]]), tensor([[0.7757]]), tensor([[0.7855]]), tensor([[0.7839]]), tensor([[0.7819]]), tensor([[0.7822]]), tensor([[0.7882]]), tensor([[0.7820]]), tensor([[0.7819]]), tensor([[0.7842]]), tensor([[0.7853]]), tensor([[0.7867]]), tensor([[0.7773]])]",441,469,0.3033088235294117
50,70,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,118,37,"etical paradox.
It could be said that Derrida suggests the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210, Spelling reiterates Sont","['etical', ' paradox', '.\n', 'It', ' could', ' be', ' said', ' that', ' D', 'err', 'ida', ' suggests', ' the']","['use', ' of', ' B', 'aud', 'r', 'illard', 'ist', ' simulation', ' to', ' challenge', ' and', ' read', ' class', '.', ' Any', ' number', ' of', ' des', 'em', 'iotic', 'isms', ' concerning', ' a', ' myth']","[' use', ' of', ' capitalist', ' narrative', ' to', ' challenge', ' the', ' status', ' quo', '.', ' In', ' Beverly', ' Hills', ' ', '902', '10', ',', ' Sp', 'elling', ' re', 'iter', 'ates', ' S', 'ont']",0.9583333333333334,"use of Baudrillardist simulation to challenge and read class. Any number of desemioticisms concerning a mythopoetical reality may be found. Therefore, Gibson promotes the use of capitalist narrative to deconstruct outdated perceptions of society.

It is"," use of capitalist narrative to challenge the status quo. In Beverly Hills 90210, Spelling reiterates Sont",tensor([[0.8299]]),28,"[tensor([[0.7554]]), tensor([[0.7962]]), tensor([[0.8051]]), tensor([[0.7853]]), tensor([[0.7789]]), tensor([[0.7849]]), tensor([[0.8007]]), tensor([[0.8016]]), tensor([[0.8172]]), tensor([[0.8131]]), tensor([[0.8146]]), tensor([[0.8107]]), tensor([[0.8113]]), tensor([[0.8244]]), tensor([[0.8261]]), tensor([[0.8173]]), tensor([[0.8280]]), tensor([[0.8293]]), tensor([[0.8232]]), tensor([[0.8222]]), tensor([[0.8179]]), tensor([[0.8164]]), tensor([[0.8161]]), tensor([[0.8000]]), tensor([[0.7959]]), tensor([[0.7978]]), tensor([[0.7951]]), tensor([[0.8299]]), tensor([[0.8279]]), tensor([[0.8253]]), tensor([[0.8227]]), tensor([[0.8258]]), tensor([[0.8236]]), tensor([[0.8224]]), tensor([[0.8277]]), tensor([[0.8230]])]",117,153,0.3033088235294117
83,118,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,124,27," said that Derrida suggests the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210, Spelling re","[' said', ' that', ' D', 'err', 'ida', ' suggests', ' the', ' use', ' of', ' capitalist', ' narrative', ' to', ' challenge']","['class', ' divisions', '.', ' However', ',', ' it', ' is', ' important', ' to', ' note', ' that', ' ""', 'Capital', 'ist']","[' the', ' status', ' quo', '.', ' In', ' Beverly', ' Hills', ' ', '902', '10', ',', ' Sp', 'elling', ' re']",1.0,"class divisions. However, it is important to note that ""Capitalist Narrative in the Works of Gibson"" by Henry O. C. d’Erlette appears to be a fictional reference, and not an actual scholarly article or publication. Without an existing"," the status quo. In Beverly Hills 90210, Spelling re",tensor([[0.7813]]),6,"[tensor([[0.7681]]), tensor([[0.7458]]), tensor([[0.7734]]), tensor([[0.7656]]), tensor([[0.7697]]), tensor([[0.7813]]), tensor([[0.7799]]), tensor([[0.7783]]), tensor([[0.7719]]), tensor([[0.7673]]), tensor([[0.7738]]), tensor([[0.7709]]), tensor([[0.7645]]), tensor([[0.7632]]), tensor([[0.7709]]), tensor([[0.7554]]), tensor([[0.7620]]), tensor([[0.7529]]), tensor([[0.7639]]), tensor([[0.7581]]), tensor([[0.7524]]), tensor([[0.7639]]), tensor([[0.7559]]), tensor([[0.7538]]), tensor([[0.7545]]), tensor([[0.7546]]), tensor([[0.7632]]), tensor([[0.7568]]), tensor([[0.7555]]), tensor([[0.7568]]), tensor([[0.7564]]), tensor([[0.7597]]), tensor([[0.7575]]), tensor([[0.7605]]), tensor([[0.7551]]), tensor([[0.7558]]), tensor([[0.7520]]), tensor([[0.7528]]), tensor([[0.7549]])]",123,149,0.3033088235294117
192,281,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,317,25," truth. In a sense, the characteristic theme of the works of Spelling is the role of the participant as artist. A","[' truth', '.', ' In', ' a', ' sense', ',', ' the']","['main', ' theme', ' of', ' d', ""'"", 'Er', 'lette', ""'s"", ' [', 'Capital', 'ist', ' Narrative', ' in', ' the', ' Works', ' of', ' Gibson', ']']","[' characteristic', ' theme', ' of', ' the', ' works', ' of', ' Sp', 'elling', ' is', ' the', ' role', ' of', ' the', ' participant', ' as', ' artist', '.', ' A']",0.8888888888888888,"main theme of d'Erlette's [Capitalist Narrative in the Works of Gibson] is not, in fact, narrative, but postnarrative. The primary theme of the works of Gibson is the defining characteristic of neocapitalist", characteristic theme of the works of Spelling is the role of the participant as artist. A,tensor([[0.8151]]),4,"[tensor([[0.7364]]), tensor([[0.7697]]), tensor([[0.7873]]), tensor([[0.8151]]), tensor([[0.8003]]), tensor([[0.7797]]), tensor([[0.7801]]), tensor([[0.7845]]), tensor([[0.7895]]), tensor([[0.7890]]), tensor([[0.7990]]), tensor([[0.7925]]), tensor([[0.7816]]), tensor([[0.7746]]), tensor([[0.7761]]), tensor([[0.7738]]), tensor([[0.7807]]), tensor([[0.7872]]), tensor([[0.7839]]), tensor([[0.7951]]), tensor([[0.7953]]), tensor([[0.7939]]), tensor([[0.7958]]), tensor([[0.7966]]), tensor([[0.7947]]), tensor([[0.7974]]), tensor([[0.7964]]), tensor([[0.7927]]), tensor([[0.7961]]), tensor([[0.7972]]), tensor([[0.8080]]), tensor([[0.8073]]), tensor([[0.7920]])]",316,340,0.3033088235294117
237,347,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,448,39,"ism, but subdematerialism. Derrida promotes the use of postcapitalist theory to deconstruct class.
However, the subject is contextualised into a Baudrillardist simul","['ism', ',', ' but', ' sub', 'dem', 'aterial', 'ism', '.', ' D', 'err', 'ida', ' promotes', ' the', ' use']","['of', ' ne', 'ose', 'mi', 'otic', 'ist', ' appropriation', ' to', ' attack', ' hierarchy', '.\n\n', 'I', ""'m"", ' sorry', ',', ' but', ' I', ' am', ' unable', ' to', ' continue', ' the', ' text', ' as', ' you']","[' of', ' post', 'capital', 'ist', ' theory', ' to', ' de', 'construct', ' class', '.\n', 'However', ',', ' the', ' subject', ' is', ' contextual', 'ised', ' into', ' a', ' B', 'aud', 'r', 'illard', 'ist', ' simul']",1.0,"of neosemioticist appropriation to attack hierarchy.

I'm sorry, but I am unable to continue the text as you have described it because it appears to be a fictional or non-existent article. Henry O. C. d’Erlette and"," of postcapitalist theory to deconstruct class.
However, the subject is contextualised into a Baudrillardist simul",tensor([[0.8267]]),33,"[tensor([[0.7687]]), tensor([[0.7865]]), tensor([[0.8013]]), tensor([[0.7999]]), tensor([[0.8026]]), tensor([[0.7864]]), tensor([[0.8139]]), tensor([[0.8119]]), tensor([[0.8208]]), tensor([[0.8131]]), tensor([[0.8153]]), tensor([[0.8159]]), tensor([[0.8170]]), tensor([[0.8182]]), tensor([[0.8150]]), tensor([[0.8240]]), tensor([[0.8202]]), tensor([[0.8237]]), tensor([[0.8232]]), tensor([[0.8253]]), tensor([[0.8254]]), tensor([[0.8259]]), tensor([[0.8266]]), tensor([[0.8257]]), tensor([[0.8254]]), tensor([[0.8248]]), tensor([[0.8210]]), tensor([[0.8236]]), tensor([[0.8239]]), tensor([[0.8234]]), tensor([[0.8259]]), tensor([[0.8267]]), tensor([[0.8267]]), tensor([[0.8251]]), tensor([[0.8210]]), tensor([[0.8170]])]",447,485,0.3033088235294117
252,368,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,1,29,"1. Spelling and subdeconstructivist feminism
“Class is intrinsically elitist,” says Debord; however, according to Ab","['1', '.', ' Sp', 'elling', ' and', ' sub', 'de', 'construct', 'ivist', ' feminism', '\n', '“', 'Class', ' is']","['My', ' apologies', ',', ' but', ' I', ' cannot', ' complete', ' texts', ' from', ' copyrighted', ' material', ',', ' like', ' specific', ' articles']","[' intr', 'ins', 'ically', ' elit', 'ist', ',”', ' says', ' Deb', 'ord', ';', ' however', ',', ' according', ' to', ' Ab']",0.9333333333333332,"My apologies, but I cannot complete texts from copyrighted material, like specific articles or books that you might provide, especially if they are not in the public domain or not provided with a clear indication that they are freely shareable or with the consent of the"," intrinsically elitist,” says Debord; however, according to Ab",tensor([[0.7890]]),4,"[tensor([[0.7489]]), tensor([[0.7679]]), tensor([[0.7760]]), tensor([[0.7890]]), tensor([[0.7839]]), tensor([[0.7786]]), tensor([[0.7732]]), tensor([[0.7769]]), tensor([[0.7810]]), tensor([[0.7686]]), tensor([[0.7714]]), tensor([[0.7671]]), tensor([[0.7750]]), tensor([[0.7744]]), tensor([[0.7738]]), tensor([[0.7704]]), tensor([[0.7704]]), tensor([[0.7681]]), tensor([[0.7653]]), tensor([[0.7592]]), tensor([[0.7607]]), tensor([[0.7619]]), tensor([[0.7576]]), tensor([[0.7567]]), tensor([[0.7570]]), tensor([[0.7562]]), tensor([[0.7600]]), tensor([[0.7564]]), tensor([[0.7581]]), tensor([[0.7590]]), tensor([[0.7577]]), tensor([[0.7601]]), tensor([[0.7594]]), tensor([[0.7607]]), tensor([[0.7593]]), tensor([[0.7632]]), tensor([[0.7680]]), tensor([[0.7692]]), tensor([[0.7632]]), tensor([[0.7553]]), tensor([[0.7590]]), tensor([[0.7600]]), tensor([[0.7580]]), tensor([[0.7605]]), tensor([[0.7533]]), tensor([[0.7558]]), tensor([[0.7568]])]",0,28,0.3033088235294117
257,374,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,468,38," deconstruct class.
However, the subject is contextualised into a Baudrillardist simulacra that includes sexuality as a whole. If Sontagist camp holds, we have","[' de', 'construct', ' class', '.\n', 'However', ',', ' the', ' subject', ' is', ' contextual', 'ised', ' into', ' a', ' B', 'aud']","['r', 'illard', 'ist', ' simul', 'ac', 'ra', ' that', ' includes', ' language', ' as', ' a', ' paradox', '.', ' Therefore', ',', ' the', ' primary', ' theme', ' of', ' the', ' works', ' of', ' Gibson']","['r', 'illard', 'ist', ' simul', 'ac', 'ra', ' that', ' includes', ' sexuality', ' as', ' a', ' whole', '.', ' If', ' S', 'ont', 'ag', 'ist', ' camp', ' holds', ',', ' we', ' have']",0.5217391304347826,"rillardist simulacra that includes language as a paradox. Therefore, the primary theme of the works of Gibson is not narrative, but neonarrative. In Neuromancer, Gibson affirms postcultural libertarianism; in Count Zero,","rillardist simulacra that includes sexuality as a whole. If Sontagist camp holds, we have",tensor([[0.8974]]),8,"[tensor([[0.7826]]), tensor([[0.8424]]), tensor([[0.8684]]), tensor([[0.8959]]), tensor([[0.8969]]), tensor([[0.8911]]), tensor([[0.8948]]), tensor([[0.8974]]), tensor([[0.8675]]), tensor([[0.8838]]), tensor([[0.8892]]), tensor([[0.8857]]), tensor([[0.8878]]), tensor([[0.8874]]), tensor([[0.8864]]), tensor([[0.8777]]), tensor([[0.8796]]), tensor([[0.8607]]), tensor([[0.8404]]), tensor([[0.8434]]), tensor([[0.8422]]), tensor([[0.8433]]), tensor([[0.8439]]), tensor([[0.8472]]), tensor([[0.8489]]), tensor([[0.8474]]), tensor([[0.8465]]), tensor([[0.8424]]), tensor([[0.8445]]), tensor([[0.8418]]), tensor([[0.8439]]), tensor([[0.8442]])]",467,504,0.3033088235294117
278,404,gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,460,31," the use of postcapitalist theory to deconstruct class.
However, the subject is contextualised into a Baudrillardist simulacra that includes","[' the', ' use', ' of', ' post', 'capital', 'ist', ' theory', ' to', ' de', 'construct', ' class', '.\n', 'However', ',', ' the']","['main', ' theme', ' of', ' the', ' works', ' of', ' Gibson', ' is', ' the', ' role', ' of', ' the', ' participant', ' as', ' artist', '.']","[' subject', ' is', ' contextual', 'ised', ' into', ' a', ' B', 'aud', 'r', 'illard', 'ist', ' simul', 'ac', 'ra', ' that', ' includes']",1.0,"main theme of the works of Gibson is the role of the participant as artist. In Virtual Light, Gibson deconstructs Sartreist absurdity; in Pattern Recognition, however, he examines capitalist narrative. It could be said that the premise of", subject is contextualised into a Baudrillardist simulacra that includes,tensor([[0.8322]]),7,"[tensor([[0.7752]]), tensor([[0.8002]]), tensor([[0.8005]]), tensor([[0.8221]]), tensor([[0.8308]]), tensor([[0.8240]]), tensor([[0.8322]]), tensor([[0.8154]]), tensor([[0.8096]]), tensor([[0.8133]]), tensor([[0.8117]]), tensor([[0.8184]]), tensor([[0.8197]]), tensor([[0.8283]]), tensor([[0.8313]]), tensor([[0.8097]]), tensor([[0.8222]]), tensor([[0.8165]]), tensor([[0.8188]]), tensor([[0.8132]]), tensor([[0.8146]]), tensor([[0.8180]]), tensor([[0.8241]]), tensor([[0.8193]]), tensor([[0.8189]]), tensor([[0.8229]]), tensor([[0.8238]]), tensor([[0.8234]]), tensor([[0.8121]]), tensor([[0.8130]]), tensor([[0.8262]]), tensor([[0.8204]]), tensor([[0.8167]]), tensor([[0.8151]]), tensor([[0.8117]]), tensor([[0.8131]]), tensor([[0.8177]]), tensor([[0.8116]]), tensor([[0.8134]])]",459,489,0.3033088235294117
