,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
0,gpt-3.5-turbo,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",6011,20," with the defiant tilt of his chin.
“Neither am I.”
Giordano huffs a laugh","[' with', ' the', ' defiant', ' tilt', ' of', ' his', ' chin']","[',', ' Sam', ' stared', ' into', ' the', ' roaring', ' flames', ' that', ' consumed', ' the', ' landscape', ' before', ' him']","['.\n', '“', 'Neither', ' am', ' I', '.”\n', 'Gi', 'ord', 'ano', ' h', 'uffs', ' a', ' laugh']",1.0,", Sam stared into the roaring flames that consumed the landscape before him. The heat radiated against his face, reminiscent of the fiery determination that burned within him. His eyes narrowed, a flicker of determination reflecting in their depths. In that moment,",".
“Neither am I.”
Giordano huffs a laugh",tensor([[0.7972]]),2,"[tensor([[0.7657]]), tensor([[0.7972]]), tensor([[0.7629]]), tensor([[0.7807]]), tensor([[0.7629]]), tensor([[0.7629]]), tensor([[0.7616]]), tensor([[0.7517]]), tensor([[0.7513]]), tensor([[0.7493]]), tensor([[0.7539]]), tensor([[0.7449]]), tensor([[0.7438]]), tensor([[0.7360]]), tensor([[0.7509]]), tensor([[0.7454]]), tensor([[0.7455]]), tensor([[0.7447]]), tensor([[0.7463]]), tensor([[0.7435]]), tensor([[0.7519]]), tensor([[0.7491]]), tensor([[0.7506]]), tensor([[0.7548]]), tensor([[0.7604]]), tensor([[0.7558]]), tensor([[0.7610]]), tensor([[0.7630]]), tensor([[0.7467]]), tensor([[0.7596]]), tensor([[0.7607]]), tensor([[0.7536]]), tensor([[0.7589]]), tensor([[0.7611]]), tensor([[0.7599]]), tensor([[0.7662]]), tensor([[0.7635]]), tensor([[0.7640]]), tensor([[0.7621]]), tensor([[0.7517]]), tensor([[0.7594]]), tensor([[0.7617]]), tensor([[0.7567]])]",6010,6029,0.003003003003003003
3,gpt-3.5-turbo,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",343,37," He considers calling her, like she
wouldn’t just tell him to fuck off. He could call his parents. If
they were answering his calls.
So he calls his grandma","[' He', ' considers', ' calling', ' her', ',', ' like', ' she', '\n', 'would', 'n', '’t']","['answer', ',', ' just', ' to', ' hear', ' the', ' sound', ' of', ' her', ' voice', '.', ' But', ' he', ' knows', ' it', '’s', ' a', ' bad', ' idea', '.', ' It', '’s', ' been', ' months', ' since', ' they']","[' just', ' tell', ' him', ' to', ' fuck', ' off', '.', ' He', ' could', ' call', ' his', ' parents', '.', ' If', '\n', 'they', ' were', ' answering', ' his', ' calls', '.\n', 'So', ' he', ' calls', ' his', ' grandma']",0.9615384615384616,"answer, just to hear the sound of her voice. But he knows it’s a bad idea. It’s been months since they last spoke, and he can’t pretend that everything is okay between them. The reality is, their relationship ended on a"," just tell him to fuck off. He could call his parents. If
they were answering his calls.
So he calls his grandma",tensor([[0.8611]]),27,"[tensor([[0.8011]]), tensor([[0.7946]]), tensor([[0.7995]]), tensor([[0.7986]]), tensor([[0.7919]]), tensor([[0.8019]]), tensor([[0.8036]]), tensor([[0.8048]]), tensor([[0.7971]]), tensor([[0.7908]]), tensor([[0.7980]]), tensor([[0.7833]]), tensor([[0.8198]]), tensor([[0.8111]]), tensor([[0.8053]]), tensor([[0.8456]]), tensor([[0.8546]]), tensor([[0.8363]]), tensor([[0.8390]]), tensor([[0.8532]]), tensor([[0.8544]]), tensor([[0.8485]]), tensor([[0.8505]]), tensor([[0.8567]]), tensor([[0.8340]]), tensor([[0.8399]]), tensor([[0.8611]]), tensor([[0.8541]]), tensor([[0.8546]]), tensor([[0.8542]]), tensor([[0.8504]]), tensor([[0.8521]]), tensor([[0.8512]]), tensor([[0.8502]]), tensor([[0.8290]]), tensor([[0.8477]]), tensor([[0.8479]]), tensor([[0.8343]]), tensor([[0.8410]]), tensor([[0.8420]]), tensor([[0.8414]]), tensor([[0.8207]])]",342,378,0.003003003003003003
6,gpt-3.5-turbo,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",4054,23," Maybe Charlie’s just tired, or ner‐
vous. His mind sometimes gets stuck on things. A symptom of","[' Maybe', ' Charlie', '’s', ' just', ' tired', ',', ' or']","['maybe', ' he', '’s', ' feeling', ' a', ' bit', ' under', ' the', ' weather', '.', ' Perhaps', ' the', ' stress', ' of', ' work', ' has']","[' ner', '‐', '\n', 'vous', '.', ' His', ' mind', ' sometimes', ' gets', ' stuck', ' on', ' things', '.', ' A', ' symptom', ' of']",1.0,"maybe he’s feeling a bit under the weather. Perhaps the stress of work has finally caught up with him, causing this sudden change in his demeanor. Or it could be something more significant, something deeper that he's been struggling with in silence. Regardless"," ner‐
vous. His mind sometimes gets stuck on things. A symptom of",tensor([[0.8776]]),21,"[tensor([[0.7771]]), tensor([[0.7176]]), tensor([[0.8148]]), tensor([[0.8430]]), tensor([[0.8567]]), tensor([[0.8556]]), tensor([[0.8623]]), tensor([[0.8665]]), tensor([[0.8489]]), tensor([[0.8544]]), tensor([[0.8587]]), tensor([[0.8742]]), tensor([[0.8763]]), tensor([[0.8749]]), tensor([[0.8724]]), tensor([[0.8667]]), tensor([[0.8661]]), tensor([[0.8652]]), tensor([[0.8708]]), tensor([[0.8664]]), tensor([[0.8776]]), tensor([[0.8759]]), tensor([[0.8764]]), tensor([[0.8724]]), tensor([[0.8751]]), tensor([[0.8744]]), tensor([[0.8612]]), tensor([[0.8713]]), tensor([[0.8712]]), tensor([[0.8704]]), tensor([[0.8702]]), tensor([[0.8684]]), tensor([[0.8653]]), tensor([[0.8586]]), tensor([[0.8639]]), tensor([[0.8631]]), tensor([[0.8648]]), tensor([[0.8697]]), tensor([[0.8675]]), tensor([[0.8687]]), tensor([[0.8693]]), tensor([[0.8692]]), tensor([[0.8632]]), tensor([[0.8651]])]",4053,4075,0.003003003003003003
9,gpt-3.5-turbo,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",5678,20,"hanie’s face goes from merely tense to what Charlie imag‐
ines an awakened bear looks like","['han', 'ie', '’s', ' face', ' goes', ' from', ' merely', ' tense', ' to']","['com', 'pletely', ' str', 'icken', '.', ' The', ' color', ' drains', ' from', ' her', ' cheeks']","[' what', ' Charlie', ' imag', '‐', '\n', 'ines', ' an', ' awakened', ' bear', ' looks', ' like']",1.0,"completely stricken. The color drains from her cheeks as she registers the weight of the news. Her eyes widen with shock, searching for some glimmer of hope. It's as if time stands still for a moment, hanging in the air,"," what Charlie imag‐
ines an awakened bear looks like",tensor([[0.8051]]),5,"[tensor([[0.7866]]), tensor([[0.7586]]), tensor([[0.7898]]), tensor([[0.8031]]), tensor([[0.8051]]), tensor([[0.7905]]), tensor([[0.7933]]), tensor([[0.7877]]), tensor([[0.7924]]), tensor([[0.7883]]), tensor([[0.7885]]), tensor([[0.7983]]), tensor([[0.7947]]), tensor([[0.8041]]), tensor([[0.8000]]), tensor([[0.8005]]), tensor([[0.7954]]), tensor([[0.7963]]), tensor([[0.8033]]), tensor([[0.7979]]), tensor([[0.7929]]), tensor([[0.7910]]), tensor([[0.7945]]), tensor([[0.7953]]), tensor([[0.7962]]), tensor([[0.7948]]), tensor([[0.7944]]), tensor([[0.7926]]), tensor([[0.7927]]), tensor([[0.7931]]), tensor([[0.7947]]), tensor([[0.8005]]), tensor([[0.8019]]), tensor([[0.7999]]), tensor([[0.8003]]), tensor([[0.7967]]), tensor([[0.7943]]), tensor([[0.7956]]), tensor([[0.7982]]), tensor([[0.7944]]), tensor([[0.7919]])]",5677,5696,0.003003003003003003
12,gpt-3.5-turbo,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",5604,32," in the big leagues?”
“Mostly just learned to trust my fastball.” A nonanswer, clearly
meant to curtail any follow-ups. It","[' in', ' the', ' big', ' leagues', '?”', '\n', '“', 'Most', 'ly', ' just', ' learned', ' to', ' trust', ' my']","['inst', 'inct', 's', ' and', ' rely', ' on', ' my', ' training', ',”', ' replied', ' the', ' seasoned', ' firefighter', '.', ' “', 'But', ' let', ' me']","[' fastball', '.”', ' A', ' non', 'answer', ',', ' clearly', '\n', 'me', 'ant', ' to', ' cur', 'tail', ' any', ' follow', '-ups', '.', ' It']",1.0,"instincts and rely on my training,” replied the seasoned firefighter. “But let me tell you, being in the big leagues brings a whole new set of challenges. The fires are bigger, the conditions more extreme, and the stakes higher than ever"," fastball.” A nonanswer, clearly
meant to curtail any follow-ups. It",tensor([[0.7953]]),3,"[tensor([[0.7680]]), tensor([[0.7784]]), tensor([[0.7953]]), tensor([[0.7772]]), tensor([[0.7737]]), tensor([[0.7853]]), tensor([[0.7837]]), tensor([[0.7861]]), tensor([[0.7888]]), tensor([[0.7797]]), tensor([[0.7568]]), tensor([[0.7676]]), tensor([[0.7721]]), tensor([[0.7728]]), tensor([[0.7638]]), tensor([[0.7770]]), tensor([[0.7665]]), tensor([[0.7613]]), tensor([[0.7662]]), tensor([[0.7571]]), tensor([[0.7739]]), tensor([[0.7733]]), tensor([[0.7795]]), tensor([[0.7708]]), tensor([[0.7694]]), tensor([[0.7728]]), tensor([[0.7777]]), tensor([[0.7815]]), tensor([[0.7793]]), tensor([[0.7665]]), tensor([[0.7635]]), tensor([[0.7734]]), tensor([[0.7657]]), tensor([[0.7560]]), tensor([[0.7546]]), tensor([[0.7744]]), tensor([[0.7619]]), tensor([[0.7638]]), tensor([[0.7568]]), tensor([[0.7553]]), tensor([[0.7577]]), tensor([[0.7550]])]",5603,5634,0.003003003003003003
15,gpt-3.5-turbo,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",429,31," lost in the maze
of the Oakland clubhouse looking for a meeting he was sup‐
posed to be at twenty minutes ago, he’s not sure how","[' lost', ' in', ' the', ' maze', '\n']","['of', ' towering', ' trees', ',', ' the', ' smoke', ' from', ' the', ' wildfires', ' creating', ' an', ' eerie', ' haze', '.', ' Every', ' step', ' forward', ' seemed', ' to', ' only', ' lead', ' deeper', ' into', ' the', ' forest', ',']","['of', ' the', ' Oakland', ' clubhouse', ' looking', ' for', ' a', ' meeting', ' he', ' was', ' sup', '‐', '\n', 'posed', ' to', ' be', ' at', ' twenty', ' minutes', ' ago', ',', ' he', '’s', ' not', ' sure', ' how']",0.9615384615384616,"of towering trees, the smoke from the wildfires creating an eerie haze. Every step forward seemed to only lead deeper into the forest, as if the landscape itself was shifting and rearranging to further confuse and disorient. The crackling of the flames echoed","of the Oakland clubhouse looking for a meeting he was sup‐
posed to be at twenty minutes ago, he’s not sure how",tensor([[0.7896]]),19,"[tensor([[0.7571]]), tensor([[0.7505]]), tensor([[0.7616]]), tensor([[0.7508]]), tensor([[0.7494]]), tensor([[0.7563]]), tensor([[0.7584]]), tensor([[0.7587]]), tensor([[0.7537]]), tensor([[0.7508]]), tensor([[0.7546]]), tensor([[0.7676]]), tensor([[0.7567]]), tensor([[0.7616]]), tensor([[0.7686]]), tensor([[0.7745]]), tensor([[0.7887]]), tensor([[0.7852]]), tensor([[0.7896]]), tensor([[0.7882]]), tensor([[0.7867]]), tensor([[0.7862]]), tensor([[0.7847]]), tensor([[0.7783]]), tensor([[0.7761]]), tensor([[0.7768]]), tensor([[0.7795]]), tensor([[0.7733]]), tensor([[0.7711]]), tensor([[0.7712]]), tensor([[0.7696]]), tensor([[0.7703]]), tensor([[0.7682]]), tensor([[0.7667]]), tensor([[0.7664]]), tensor([[0.7785]]), tensor([[0.7771]]), tensor([[0.7771]]), tensor([[0.7766]]), tensor([[0.7725]]), tensor([[0.7715]]), tensor([[0.7695]]), tensor([[0.7649]]), tensor([[0.7628]])]",428,458,0.003003003003003003
18,gpt-3.5-turbo,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",3800,21," ones he was throwing in
that video. Still the umpire calls a strike.
Another fastball, another","[' ones', ' he', ' was', ' throwing', ' in', '\n', 'that']","['se', 'emed', ' to', ' defy', ' gravity', ',', ' soaring', ' through', ' the', ' air', ' with', ' effortless', ' grace', '.']","[' video', '.', ' Still', ' the', ' ump', 'ire', ' calls', ' a', ' strike', '.\n', 'Another', ' fastball', ',', ' another']",1.0,"seemed to defy gravity, soaring through the air with effortless grace. But despite his skill, the fire continued to rage, consuming everything in its path. The heat was overwhelming, the smoke thick and suffocating. As Jake battled the flames,"," video. Still the umpire calls a strike.
Another fastball, another",tensor([[0.8065]]),19,"[tensor([[0.7739]]), tensor([[0.7666]]), tensor([[0.7795]]), tensor([[0.7779]]), tensor([[0.7812]]), tensor([[0.7970]]), tensor([[0.7959]]), tensor([[0.8001]]), tensor([[0.7999]]), tensor([[0.7996]]), tensor([[0.7944]]), tensor([[0.7846]]), tensor([[0.7915]]), tensor([[0.7964]]), tensor([[0.7958]]), tensor([[0.7872]]), tensor([[0.7919]]), tensor([[0.7991]]), tensor([[0.8065]]), tensor([[0.8061]]), tensor([[0.8008]]), tensor([[0.7993]]), tensor([[0.7884]]), tensor([[0.7887]]), tensor([[0.7899]]), tensor([[0.7894]]), tensor([[0.7902]]), tensor([[0.7985]]), tensor([[0.7882]]), tensor([[0.7849]]), tensor([[0.7875]]), tensor([[0.7914]]), tensor([[0.7872]]), tensor([[0.7831]]), tensor([[0.7882]]), tensor([[0.7852]]), tensor([[0.7906]]), tensor([[0.7857]]), tensor([[0.7873]]), tensor([[0.7858]])]",3799,3819,0.003003003003003003
21,gpt-3.5-turbo,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",4677,26," one to Charlie. “If they don’t keep me up here, it’s been
a slice.” He holds out his bottle","[' one', ' to', ' Charlie', '.', ' “']","['Have', ' you', ' ever', ' seen', ' anything', ' like', ' it', '?”', ' Charlie', ' shook', ' his', ' head', ' in', ' awe', ',', ' his', ' eyes', ' fixed', ' on', ' the', ' towering']","['If', ' they', ' don', '’t', ' keep', ' me', ' up', ' here', ',', ' it', '’s', ' been', '\n', 'a', ' slice', '.”', ' He', ' holds', ' out', ' his', ' bottle']",1.0,"Have you ever seen anything like it?” Charlie shook his head in awe, his eyes fixed on the towering inferno that consumed the trees and sent plumes of thick smoke into the sky. The crackling sound of burning wood filled the air, drowning","If they don’t keep me up here, it’s been
a slice.” He holds out his bottle",tensor([[0.7971]]),20,"[tensor([[0.7500]]), tensor([[0.7671]]), tensor([[0.7629]]), tensor([[0.7427]]), tensor([[0.7593]]), tensor([[0.7523]]), tensor([[0.7651]]), tensor([[0.7724]]), tensor([[0.7800]]), tensor([[0.7807]]), tensor([[0.7929]]), tensor([[0.7917]]), tensor([[0.7935]]), tensor([[0.7890]]), tensor([[0.7924]]), tensor([[0.7902]]), tensor([[0.7914]]), tensor([[0.7931]]), tensor([[0.7956]]), tensor([[0.7971]]), tensor([[0.7928]]), tensor([[0.7950]]), tensor([[0.7893]]), tensor([[0.7931]]), tensor([[0.7840]]), tensor([[0.7875]]), tensor([[0.7867]]), tensor([[0.7807]]), tensor([[0.7875]]), tensor([[0.7793]]), tensor([[0.7761]]), tensor([[0.7777]]), tensor([[0.7801]]), tensor([[0.7733]]), tensor([[0.7804]]), tensor([[0.7808]]), tensor([[0.7761]]), tensor([[0.7791]]), tensor([[0.7743]]), tensor([[0.7699]]), tensor([[0.7698]]), tensor([[0.7683]]), tensor([[0.7638]]), tensor([[0.7692]])]",4676,4701,0.003003003003003003
24,gpt-3.5-turbo,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",3304,20," isn’t in the lineup since he’s veteran enough to get
one night off out of every four","[' isn', '’t', ' in', ' the', ' lineup', ' since', ' he', '’s']","['recover', 'ing', ' from', ' a', ' spr', 'ained', ' ankle', '.', ' Without', ' him', ',', ' our']","[' veteran', ' enough', ' to', ' get', '\n', 'one', ' night', ' off', ' out', ' of', ' every', ' four']",1.0,"recovering from a sprained ankle. Without him, our team has been struggling on the court, unable to find the same rhythm and chemistry. His absence has been felt not only in terms of his on-court skills but also in his leadership and positive"," veteran enough to get
one night off out of every four",tensor([[0.8106]]),4,"[tensor([[0.7691]]), tensor([[0.7773]]), tensor([[0.7959]]), tensor([[0.8106]]), tensor([[0.8040]]), tensor([[0.8082]]), tensor([[0.7903]]), tensor([[0.8056]]), tensor([[0.8033]]), tensor([[0.8049]]), tensor([[0.8026]]), tensor([[0.8015]]), tensor([[0.8045]]), tensor([[0.8065]]), tensor([[0.7999]]), tensor([[0.7995]]), tensor([[0.7916]]), tensor([[0.7920]]), tensor([[0.7907]]), tensor([[0.7867]]), tensor([[0.7932]]), tensor([[0.7940]]), tensor([[0.7860]]), tensor([[0.7954]]), tensor([[0.7869]]), tensor([[0.7896]]), tensor([[0.7815]]), tensor([[0.7812]]), tensor([[0.7846]]), tensor([[0.7821]]), tensor([[0.7810]]), tensor([[0.7789]]), tensor([[0.7810]]), tensor([[0.7755]]), tensor([[0.7753]]), tensor([[0.7801]]), tensor([[0.7780]]), tensor([[0.7772]]), tensor([[0.7766]]), tensor([[0.7756]]), tensor([[0.7752]]), tensor([[0.7786]]), tensor([[0.7768]]), tensor([[0.7799]])]",3303,3322,0.003003003003003003
27,gpt-3.5-turbo,"FIRE SEASON (UNWRITTEN RULES BOOK 2)
KD Casey",2228,26,". And, worse, handsome. He surrenders the tablet, look‐
ing slightly guilty, leaving Reid to the black","['.', ' And', ',', ' worse', ',', ' handsome', '.', ' He', ' surre', 'nd']","['ered', ' me', ' without', ' even', ' trying', '.', ' His', ' rugged', ' features', ',', ' ch', 'ise', 'led', ' jaw', 'line', ',']","['ers', ' the', ' tablet', ',', ' look', '‐', '\n', 'ing', ' slightly', ' guilty', ',', ' leaving', ' Reid', ' to', ' the', ' black']",1.0,"ered me without even trying. His rugged features, chiseled jawline, and piercing blue eyes held a mysterious allure that I couldn't resist. Every time our paths crossed, my heart quickened its pace, intensifying the fluttering butterflies in","ers the tablet, look‐
ing slightly guilty, leaving Reid to the black",tensor([[0.8009]]),8,"[tensor([[0.7762]]), tensor([[0.7432]]), tensor([[0.7899]]), tensor([[0.7869]]), tensor([[0.7930]]), tensor([[0.7854]]), tensor([[0.8002]]), tensor([[0.8009]]), tensor([[0.7905]]), tensor([[0.7830]]), tensor([[0.7777]]), tensor([[0.7733]]), tensor([[0.7816]]), tensor([[0.7822]]), tensor([[0.7804]]), tensor([[0.7803]]), tensor([[0.7718]]), tensor([[0.7794]]), tensor([[0.7752]]), tensor([[0.7736]]), tensor([[0.7713]]), tensor([[0.7708]]), tensor([[0.7698]]), tensor([[0.7670]]), tensor([[0.7693]]), tensor([[0.7688]]), tensor([[0.7680]]), tensor([[0.7664]]), tensor([[0.7679]]), tensor([[0.7636]]), tensor([[0.7695]]), tensor([[0.7700]]), tensor([[0.7637]]), tensor([[0.7649]]), tensor([[0.7653]]), tensor([[0.7607]]), tensor([[0.7551]]), tensor([[0.7541]])]",2227,2252,0.003003003003003003
