model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Lorem Ipsum Standard Passage,51,39," in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt moll","[' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit', ' esse', ' c', 'illum', ' dolore', ' eu']","['""', 'cul', 'pa', ' offic', 'ia', ' deser', 'unt', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu', 'ip', ' ex', ' ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit', ' esse', ' c', 'illum', ' dolore', ' eu', ' fug', 'iat', ' nulla', ' pari', 'atur', '.', ' Except', 'eur', ' sint', ' occ', 'aec', 'at']","[""['"", ' fug', ""',"", "" '"", 'iat', ""',"", "" '"", ' nulla', ""',"", "" '"", ' pari', ""',"", "" '"", 'atur', ""',"", "" '.',"", "" '"", ' Except', ""',"", "" '"", 'eur', ""',"", "" '"", ' sint', ""',"", "" '"", ' occ', ""',"", "" '"", 'aec', ""',"", "" '"", 'at', ""',"", "" '"", ' cupid', ""',"", "" '"", 'atat', ""',"", "" '"", ' non', ""',"", "" '"", ' pro', ""',"", "" '"", 'ident', ""',"", "" ',',""]",1.0,"""culpa officia deserunt exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat","[' fug', 'iat', ' nulla', ' pari', 'atur', '.', ' Except', 'eur', ' sint', ' occ', 'aec', 'at', ' cupid', 'atat', ' non', ' pro', 'ident', ',', ' sunt', ' in', ' culpa', ' qui', ' offic', 'ia', ' deser', 'unt', ' moll']",tensor([[0.8645]]),33,"[tensor([[0.8045]]), tensor([[0.8065]]), tensor([[0.8053]]), tensor([[0.8280]]), tensor([[0.8169]]), tensor([[0.8222]]), tensor([[0.8281]]), tensor([[0.8285]]), tensor([[0.8259]]), tensor([[0.8305]]), tensor([[0.8320]]), tensor([[0.8405]]), tensor([[0.8423]]), tensor([[0.8280]]), tensor([[0.8438]]), tensor([[0.8450]]), tensor([[0.8467]]), tensor([[0.8482]]), tensor([[0.8467]]), tensor([[0.8428]]), tensor([[0.8424]]), tensor([[0.8385]]), tensor([[0.8381]]), tensor([[0.8384]]), tensor([[0.8458]]), tensor([[0.8491]]), tensor([[0.8533]]), tensor([[0.8519]]), tensor([[0.8559]]), tensor([[0.8520]]), tensor([[0.8616]]), tensor([[0.8642]]), tensor([[0.8645]])]",50,135
gpt-3.5-turbo,Lorem Ipsum Standard Passage,6,21,", consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim","[',', ' consectetur', ' adipiscing', ' elit', ',']","['Null', 'a', ' in', ' lac', 'us', ' dign', 'iss', 'im', ',', ' ferment', 'um', ' ne', 'que', ' vel', ',', ' fauc', 'ibus', ' libero', '.', ' Integer', ' sed', ' odio', ' sus', 'cip', 'it', ',', ' fr', 'ing', 'illa', ' justo', ' et', ',', ' consequat', ' elit', '.', ' Viv', 'amus', ' at', ' sem', ' non', ' n', 'isl', ' ultr', 'icies', ' ferment', 'um']","[""['"", ' sed', ""',"", "" '"", ' do', ""',"", "" '"", ' eiusmod', ""',"", "" '"", ' tempor', ""',"", "" '"", ' incididunt', ""',"", "" '"", ' ut', ""',"", "" '"", ' labore', ""',"", "" '"", ' et', ""',"", "" '"", ' dolore', ""',"", "" '"", ' magna', ""',"", "" '"", ' aliqua', ""',"", "" '.',"", "" '"", ' Ut', ""',"", "" '"", ' enim', ""',"", "" '"", ' ad', ""',"", "" '"", ' minim', ""']""]",1.0,"Nulla in lacus dignissim, fermentum neque vel, faucibus libero. Integer sed odio suscipit, fringilla justo et, consequat elit. Vivamus at sem non nisl ultricies fermentum. Etiam at","[' sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.', ' Ut', ' enim', ' ad', ' minim']",tensor([[0.8596]]),22,"[tensor([[0.8038]]), tensor([[0.7680]]), tensor([[0.7904]]), tensor([[0.8119]]), tensor([[0.8226]]), tensor([[0.8115]]), tensor([[0.8153]]), tensor([[0.8130]]), tensor([[0.8224]]), tensor([[0.8222]]), tensor([[0.8342]]), tensor([[0.8468]]), tensor([[0.8468]]), tensor([[0.8362]]), tensor([[0.8420]]), tensor([[0.8452]]), tensor([[0.8404]]), tensor([[0.8526]]), tensor([[0.8551]]), tensor([[0.8547]]), tensor([[0.8533]]), tensor([[0.8596]]), tensor([[0.8590]]), tensor([[0.8577]]), tensor([[0.8567]]), tensor([[0.8587]]), tensor([[0.8552]]), tensor([[0.8561]])]",5,64
gpt-3.5-turbo,Lorem Ipsum Standard Passage,18,22," et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliqu","[' et', ' dolore', ' magna', ' aliqua', '.', ' Ut', ' enim', ' ad', ' minim', ' veniam']","[""'"", 'Ut', ' enim', ' ad', ' minim', ' veniam', ',', ' quis', ' nostr', 'ud', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu', 'ip', ' ex', ' ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit']","['[', ""',"", ""',"", "" '"", ' quis', ""',"", "" '"", ' nostr', ""',"", "" '"", 'ud', ""',"", "" '"", ' exercitation', ""',"", "" '"", ' ullam', ""',"", "" '"", 'co', ""',"", "" '"", ' labor', ""',"", "" '"", 'is', ""',"", "" '"", ' nisi', ""',"", "" '"", ' ut', ""',"", "" '"", ' aliqu', ""']""]",1.0,"'Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.'","[',', ' quis', ' nostr', 'ud', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu']",tensor([[0.8848]]),21,"[tensor([[0.7991]]), tensor([[0.8533]]), tensor([[0.8568]]), tensor([[0.8515]]), tensor([[0.8516]]), tensor([[0.8309]]), tensor([[0.8439]]), tensor([[0.8370]]), tensor([[0.8492]]), tensor([[0.8558]]), tensor([[0.8689]]), tensor([[0.8750]]), tensor([[0.8789]]), tensor([[0.8803]]), tensor([[0.8819]]), tensor([[0.8839]]), tensor([[0.8842]]), tensor([[0.8729]]), tensor([[0.8835]]), tensor([[0.8846]]), tensor([[0.8848]]), tensor([[0.8819]]), tensor([[0.8808]]), tensor([[0.8688]]), tensor([[0.8696]]), tensor([[0.8710]]), tensor([[0.8703]]), tensor([[0.8673]]), tensor([[0.8702]]), tensor([[0.8716]]), tensor([[0.8706]]), tensor([[0.8694]]), tensor([[0.8683]]), tensor([[0.8669]])]",17,80
gpt-3.5-turbo,Lorem Ipsum Standard Passage,25,20," ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat","[' ad', ' minim', ' veniam', ',', ' quis', ' nostr', 'ud', ' exercitation']","['""', 'ull', 'am', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu', 'ip', ' ex', ' ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit', ' esse', ' c', 'illum', ' dolore', ' eu', ' fug', 'iat', ' nulla', ' pari']","[""['"", ' ullam', ""',"", "" '"", 'co', ""',"", "" '"", ' labor', ""',"", "" '"", 'is', ""',"", "" '"", ' nisi', ""',"", "" '"", ' ut', ""',"", "" '"", ' aliqu', ""',"", "" '"", 'ip', ""',"", "" '"", ' ex', ""',"", "" '"", ' ea', ""',"", "" '"", ' commodo', ""',"", "" '"", ' consequat', ""']""]",1.0,"""ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident,","[' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu', 'ip', ' ex', ' ea', ' commodo', ' consequat']",tensor([[0.9114]]),13,"[tensor([[0.7996]]), tensor([[0.8115]]), tensor([[0.8368]]), tensor([[0.8622]]), tensor([[0.8712]]), tensor([[0.8790]]), tensor([[0.8856]]), tensor([[0.8933]]), tensor([[0.9053]]), tensor([[0.9017]]), tensor([[0.9090]]), tensor([[0.9109]]), tensor([[0.9114]]), tensor([[0.9085]]), tensor([[0.9071]]), tensor([[0.8926]]), tensor([[0.8941]]), tensor([[0.8932]]), tensor([[0.8929]]), tensor([[0.8935]]), tensor([[0.8977]]), tensor([[0.9003]]), tensor([[0.8979]]), tensor([[0.9011]]), tensor([[0.9000]]), tensor([[0.8965]]), tensor([[0.8977]]), tensor([[0.8979]]), tensor([[0.8941]]), tensor([[0.8915]]), tensor([[0.8909]]), tensor([[0.8858]])]",24,81
gpt-3.5-turbo,Lorem Ipsum Standard Passage,13,39," eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in","[' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.']","['S', 'ed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.', ' Ut', ' enim', ' ad', ' minim', ' veniam', ',', ' quis', ' nostr', 'ud', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu', 'ip', ' ex', ' ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit', ' esse', ' c']","[""['"", ' Ut', ""',"", "" '"", ' enim', ""',"", "" '"", ' ad', ""',"", "" '"", ' minim', ""',"", "" '"", ' veniam', ""',"", "" ',',"", "" '"", ' quis', ""',"", "" '"", ' nostr', ""',"", "" '"", 'ud', ""',"", "" '"", ' exercitation', ""',"", "" '"", ' ullam', ""',"", "" '"", 'co', ""',"", "" '"", ' labor', ""',"", "" '"", 'is', ""',"", "" '"", ' nisi', ""',"", "" '"", ' ut', ""',"", "" '"", ' aliqu', ""',"", "" '""]",0.98,"Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse c","[' Ut', ' enim', ' ad', ' minim', ' veniam', ',', ' quis', ' nostr', 'ud', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu', 'ip', ' ex', ' ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in']",tensor([[0.8917]]),34,"[tensor([[0.8056]]), tensor([[0.7824]]), tensor([[0.8111]]), tensor([[0.8130]]), tensor([[0.8087]]), tensor([[0.8183]]), tensor([[0.8409]]), tensor([[0.8433]]), tensor([[0.8348]]), tensor([[0.8409]]), tensor([[0.8428]]), tensor([[0.8403]]), tensor([[0.8595]]), tensor([[0.8540]]), tensor([[0.8570]]), tensor([[0.8603]]), tensor([[0.8565]]), tensor([[0.8625]]), tensor([[0.8645]]), tensor([[0.8706]]), tensor([[0.8749]]), tensor([[0.8782]]), tensor([[0.8800]]), tensor([[0.8804]]), tensor([[0.8795]]), tensor([[0.8807]]), tensor([[0.8827]]), tensor([[0.8841]]), tensor([[0.8856]]), tensor([[0.8883]]), tensor([[0.8896]]), tensor([[0.8911]]), tensor([[0.8911]]), tensor([[0.8917]]), tensor([[0.8835]]), tensor([[0.8850]]), tensor([[0.8843]]), tensor([[0.8850]]), tensor([[0.8843]]), tensor([[0.8847]])]",12,90
gpt-3.5-turbo,Lorem Ipsum Standard Passage,26,33," minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse","[' minim', ' veniam', ',', ' quis', ' nostr', 'ud', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut']","['D', 'uis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit', ' esse', ' c', 'illum', ' dolore', ' eu', ' fug', 'iat', ' nulla', ' pari', 'atur', '.', ' Except', 'eur', ' sint', ' occ', 'aec', 'at', ' cupid', 'atat', ' non', ' pro', 'ident', ',', ' sunt', ' in', ' culpa', ' qui', ' offic', 'ia', ' deser', 'unt', ' moll', 'it', ' anim', ' id', ' est', ' labor']","[""['"", ' aliqu', ""',"", "" '"", 'ip', ""',"", "" '"", ' ex', ""',"", "" '"", ' ea', ""',"", "" '"", ' commodo', ""',"", "" '"", ' consequat', ""',"", "" '.',"", "" '"", ' Duis', ""',"", "" '"", ' aute', ""',"", "" '"", ' ir', ""',"", "" '"", 'ure', ""',"", "" '"", ' dolor', ""',"", "" '"", ' in', ""',"", "" '"", ' repreh', ""',"", "" '"", 'enderit', ""',"", "" '"", ' in', ""',"", "" '"", ' volupt', ""',"", "" '""]",1.0,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est labor","[' aliqu', 'ip', ' ex', ' ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit', ' esse']",tensor([[0.8893]]),6,"[tensor([[0.7963]]), tensor([[0.8121]]), tensor([[0.8536]]), tensor([[0.8804]]), tensor([[0.8861]]), tensor([[0.8893]]), tensor([[0.8655]]), tensor([[0.8709]]), tensor([[0.8727]]), tensor([[0.8740]]), tensor([[0.8799]]), tensor([[0.8813]]), tensor([[0.8820]]), tensor([[0.8788]]), tensor([[0.8855]]), tensor([[0.8842]]), tensor([[0.8700]]), tensor([[0.8788]]), tensor([[0.8794]]), tensor([[0.8759]]), tensor([[0.8757]]), tensor([[0.8738]]), tensor([[0.8635]]), tensor([[0.8724]]), tensor([[0.8755]]), tensor([[0.8727]]), tensor([[0.8691]]), tensor([[0.8681]]), tensor([[0.8659]]), tensor([[0.8650]]), tensor([[0.8645]]), tensor([[0.8683]]), tensor([[0.8640]]), tensor([[0.8609]])]",25,111
gpt-3.5-turbo,Lorem Ipsum Standard Passage,54,39," in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id","[' in', ' volupt', 'ate', ' velit', ' esse', ' c', 'illum', ' dolore', ' eu', ' fug', 'iat']","['In', ' volupt', 'ate', ' velit', ' esse', ' c', 'illum', ' dolore', ' eu', ' fug', 'iat', ',', ' nulla', ' pari', 'atur', '.', ' Except', 'eur', ' sint', ' occ', 'aec', 'at', ' cupid', 'atat', ' non', ' pro', 'ident', ',', ' sunt', ' in', ' culpa', ' qui', ' offic', 'ia', ' deser', 'unt', ' moll', 'it', ' anim', ' id', ' est', ' labor', 'um', '.']","[""['"", ' nulla', ""',"", "" '"", ' pari', ""',"", "" '"", 'atur', ""',"", "" '.',"", "" '"", ' Except', ""',"", "" '"", 'eur', ""',"", "" '"", ' sint', ""',"", "" '"", ' occ', ""',"", "" '"", 'aec', ""',"", "" '"", 'at', ""',"", "" '"", ' cupid', ""',"", "" '"", 'atat', ""',"", "" '"", ' non', ""',"", "" '"", ' pro', ""',"", "" '"", 'ident', ""',"", "" ',',""]",1.0,"In voluptate velit esse cillum dolore eu fugiat, nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","[' nulla', ' pari', 'atur', '.', ' Except', 'eur', ' sint', ' occ', 'aec', 'at', ' cupid', 'atat', ' non', ' pro', 'ident', ',', ' sunt', ' in', ' culpa', ' qui', ' offic', 'ia', ' deser', 'unt', ' moll', 'it', ' anim', ' id']",tensor([[0.8848]]),26,"[tensor([[0.8022]]), tensor([[0.8157]]), tensor([[0.8007]]), tensor([[0.8000]]), tensor([[0.8026]]), tensor([[0.8220]]), tensor([[0.8257]]), tensor([[0.8301]]), tensor([[0.8236]]), tensor([[0.8383]]), tensor([[0.8383]]), tensor([[0.8534]]), tensor([[0.8590]]), tensor([[0.8612]]), tensor([[0.8694]]), tensor([[0.8690]]), tensor([[0.8618]]), tensor([[0.8737]]), tensor([[0.8729]]), tensor([[0.8758]]), tensor([[0.8747]]), tensor([[0.8743]]), tensor([[0.8746]]), tensor([[0.8761]]), tensor([[0.8769]]), tensor([[0.8848]]), tensor([[0.8816]]), tensor([[0.8800]])]",53,129
gpt-3.5-turbo,Lorem Ipsum Standard Passage,30,38, nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur,"[' nostr', 'ud', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu', 'ip']","['Lorem', ' ipsum', ' dolor', ' sit', ' amet', ',', ' consectetur', ' adipiscing', ' elit', '.', ' Vest', 'ib', 'ulum', ' rh', 'on', 'cus', ' n', 'isl', ' at', ' acc', 'ums', 'an', ' ferment', 'um', '.', ' Ma', 'ec', 'enas', ' eget', ' met', 'us', ' eu', ' maur', 'is', ' eu', 'ism', 'od', ' ultr', 'icies', ' non', ' id', ' odio', '.', ' Ut', ' nec', ' or', 'ci', ' ac', ' tur', 'pis']","[""['"", ' ex', ""',"", "" '"", ' ea', ""',"", "" '"", ' commodo', ""',"", "" '"", ' consequat', ""',"", "" '.',"", "" '"", ' Duis', ""',"", "" '"", ' aute', ""',"", "" '"", ' ir', ""',"", "" '"", 'ure', ""',"", "" '"", ' dolor', ""',"", "" '"", ' in', ""',"", "" '"", ' repreh', ""',"", "" '"", 'enderit', ""',"", "" '"", ' in', ""',"", "" '"", ' volupt', ""',"", "" '"", 'ate', ""',"", "" '"", ' velit', ""',"", "" '""]",1.0,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum rhoncus nisl at accumsan fermentum. Maecenas eget metus eu mauris euismod ultricies non id odio. Ut nec orci ac turpis","[' ex', ' ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit', ' esse', ' c', 'illum', ' dolore', ' eu', ' fug', 'iat', ' nulla', ' pari', 'atur']",tensor([[0.8638]]),24,"[tensor([[0.8032]]), tensor([[0.7727]]), tensor([[0.7936]]), tensor([[0.8197]]), tensor([[0.8206]]), tensor([[0.8447]]), tensor([[0.8623]]), tensor([[0.8591]]), tensor([[0.8447]]), tensor([[0.8570]]), tensor([[0.8616]]), tensor([[0.8623]]), tensor([[0.8623]]), tensor([[0.8572]]), tensor([[0.8444]]), tensor([[0.8557]]), tensor([[0.8557]]), tensor([[0.8596]]), tensor([[0.8637]]), tensor([[0.8601]]), tensor([[0.8623]]), tensor([[0.8626]]), tensor([[0.8593]]), tensor([[0.8638]]), tensor([[0.8593]]), tensor([[0.8622]]), tensor([[0.8634]]), tensor([[0.8632]]), tensor([[0.8625]]), tensor([[0.8609]])]",29,111
gpt-3.5-turbo,Lorem Ipsum Standard Passage,31,27,ud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit,"['ud', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu', 'ip', ' ex']","['P', 'ari', 'atur', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu', 'ip', ' ex', ' offic', 'ia', '.']","[""['"", ' ea', ""',"", "" '"", ' commodo', ""',"", "" '"", ' consequat', ""',"", "" '.',"", "" '"", ' Duis', ""',"", "" '"", ' aute', ""',""]",1.0,Pariatur exercitation ullamco laboris nisi ut aliquip ex officia.,"[' ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit']",tensor([[0.8329]]),9,"[tensor([[0.7958]]), tensor([[0.7714]]), tensor([[0.7913]]), tensor([[0.8042]]), tensor([[0.8110]]), tensor([[0.8204]]), tensor([[0.8221]]), tensor([[0.8284]]), tensor([[0.8329]]), tensor([[0.8226]])]",30,78
gpt-3.5-turbo,Lorem Ipsum Standard Passage,43,27, commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Except,"[' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit']","['D', 'uis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit', ' in', ' commodo', ' consequat', '.']","[""['"", ' in', ""',"", "" '"", ' volupt', ""',"", "" '"", 'ate', ""',"", "" '"", ' velit', ""',"", "" '""]",1.0,Duis aute irure dolor in reprehenderit in commodo consequat.,"[' in', ' volupt', 'ate', ' velit', ' esse', ' c', 'illum', ' dolore', ' eu', ' fug', 'iat', ' nulla', ' pari', 'atur', '.', ' Except']",tensor([[0.8413]]),6,"[tensor([[0.7967]]), tensor([[0.7737]]), tensor([[0.8121]]), tensor([[0.8266]]), tensor([[0.8387]]), tensor([[0.8413]]), tensor([[0.8175]]), tensor([[0.8227]]), tensor([[0.8007]]), tensor([[0.7974]])]",42,85
