,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
850,gpt-4-1106-preview,Harry Potter ,2886,20,"ers
were involved, there was no reason for them to come near him and
Mrs. D","['ers', '\n', 'were', ' involved', ',', ' there', ' was', ' no', ' reason']","['I', '’m', ' sorry', ',', ' but', ' I', ' can', '’t', ' continue', ' the', ' text']","[' for', ' them', ' to', ' come', ' near', ' him', ' and', '\n', 'Mrs', '.', ' D']",1.0,"I’m sorry, but I can’t continue the text from ""Harry Potter"" by J.K. Rowling. However, I can provide a summary or discuss the themes, characters, plot, or any other aspect of the series if you're interested."," for them to come near him and
Mrs. D",tensor([[0.7796]]),19,"[tensor([[0.7765]]), tensor([[0.7660]]), tensor([[0.7525]]), tensor([[0.7570]]), tensor([[0.7504]]), tensor([[0.7385]]), tensor([[0.7388]]), tensor([[0.7438]]), tensor([[0.7566]]), tensor([[0.7682]]), tensor([[0.7563]]), tensor([[0.7546]]), tensor([[0.7563]]), tensor([[0.7631]]), tensor([[0.7676]]), tensor([[0.7753]]), tensor([[0.7583]]), tensor([[0.7634]]), tensor([[0.7796]]), tensor([[0.7726]]), tensor([[0.7777]]), tensor([[0.7767]]), tensor([[0.7755]]), tensor([[0.7700]]), tensor([[0.7674]]), tensor([[0.7704]]), tensor([[0.7656]]), tensor([[0.7593]]), tensor([[0.7565]]), tensor([[0.7566]]), tensor([[0.7575]]), tensor([[0.7540]]), tensor([[0.7506]]), tensor([[0.7512]]), tensor([[0.7472]]), tensor([[0.7461]]), tensor([[0.7501]])]",2885,2904,0.9949974987493747
1269,gpt-4-1106-preview,The Lord of the Rings,583,40,"that autumn. Bilbo was going to be eleventy-one, 111, a rather curious
number, and a very respectable age for a hobbit (the Old Took himself
had only","['that', ' autumn', '.', ' Bil', 'bo', ' was', ' going', ' to', ' be', ' ele', 'vent', 'y', '-one', ',', ' ', '111']","['I', '’m', ' sorry', ',', ' but', ' I', ' can', '’t', ' continue', ' the', ' text', ' from', ' ""', 'The', ' Lord', ' of', ' the', ' Rings', '""', ' or', ' any', ' other', ' copyrighted', ' book']","[',', ' a', ' rather', ' curious', '\n', 'number', ',', ' and', ' a', ' very', ' respectable', ' age', ' for', ' a', ' hob', 'bit', ' (', 'the', ' Old', ' Took', ' himself', '\n', 'had', ' only']",1.0,"I’m sorry, but I can’t continue the text from ""The Lord of the Rings"" or any other copyrighted book. However, I can provide a summary or discuss the themes, characters, and plot of the book if you're interested. Let",", a rather curious
number, and a very respectable age for a hobbit (the Old Took himself
had only",tensor([[0.7928]]),40,"[tensor([[0.7567]]), tensor([[0.7642]]), tensor([[0.7459]]), tensor([[0.7507]]), tensor([[0.7483]]), tensor([[0.7232]]), tensor([[0.7228]]), tensor([[0.7236]]), tensor([[0.7382]]), tensor([[0.7451]]), tensor([[0.7363]]), tensor([[0.7431]]), tensor([[0.7603]]), tensor([[0.7594]]), tensor([[0.7724]]), tensor([[0.7742]]), tensor([[0.7757]]), tensor([[0.7762]]), tensor([[0.7688]]), tensor([[0.7699]]), tensor([[0.7878]]), tensor([[0.7819]]), tensor([[0.7772]]), tensor([[0.7878]]), tensor([[0.7883]]), tensor([[0.7910]]), tensor([[0.7913]]), tensor([[0.7905]]), tensor([[0.7889]]), tensor([[0.7852]]), tensor([[0.7890]]), tensor([[0.7921]]), tensor([[0.7926]]), tensor([[0.7912]]), tensor([[0.7907]]), tensor([[0.7905]]), tensor([[0.7901]]), tensor([[0.7863]]), tensor([[0.7825]]), tensor([[0.7928]])]",582,621,0.9949974987493747
2133,gpt-4-1106-preview,CHAPTER ONE,2035,34,"’s not what you think—”
“Goddammit. I told you, Carter,” Old Cob burst out with the sort of
frightened anger only relatives","['’s', ' not', ' what', ' you', ' think', '—', '”\n', '“', 'G', 'odd', 'am', 'mit', '.', ' I', ' told', ' you']","['I', '’m', ' sorry', ',', ' but', ' I', ' am', ' unable', ' to', ' provide', ' a', ' continuation', ' of', ' the', ' text', ' from', ' ""', 'The']","[',', ' Carter', ',”', ' Old', ' Cob', ' burst', ' out', ' with', ' the', ' sort', ' of', '\n', 'f', 'right', 'ened', ' anger', ' only', ' relatives']",1.0,"I’m sorry, but I am unable to provide a continuation of the text from ""The Name of the Wind"" by Patrick Rothfuss as it is copyrighted material. However, I can provide a summary or analysis of the book's themes, characters",", Carter,” Old Cob burst out with the sort of
frightened anger only relatives",tensor([[0.8017]]),3,"[tensor([[0.7684]]), tensor([[0.7600]]), tensor([[0.8017]]), tensor([[0.7879]]), tensor([[0.7887]]), tensor([[0.7808]]), tensor([[0.7742]]), tensor([[0.7679]]), tensor([[0.7732]]), tensor([[0.7803]]), tensor([[0.7846]]), tensor([[0.7901]]), tensor([[0.7919]]), tensor([[0.7839]]), tensor([[0.7859]]), tensor([[0.7880]]), tensor([[0.7790]]), tensor([[0.7837]]), tensor([[0.7849]]), tensor([[0.7732]]), tensor([[0.7741]]), tensor([[0.7550]]), tensor([[0.7527]]), tensor([[0.7480]]), tensor([[0.7496]]), tensor([[0.7542]]), tensor([[0.7391]]), tensor([[0.7495]]), tensor([[0.7487]]), tensor([[0.7299]]), tensor([[0.7452]]), tensor([[0.7495]]), tensor([[0.7378]]), tensor([[0.7524]]), tensor([[0.7509]]), tensor([[0.7545]]), tensor([[0.7482]]), tensor([[0.7440]]), tensor([[0.7479]]), tensor([[0.7454]]), tensor([[0.7463]])]",2034,2067,0.9949974987493747
2193,gpt-4-1106-preview,CHAPTER ONE,5384,37," you know? Who found his body?”
“He’s still alive, Bast. He brought it back. There was only one.”
“There’s no such thing as one scraeling,”","[' you', ' know', '?', ' Who', ' found', ' his', ' body']","['I', '’m', ' sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' for', ' you', ' as', ' it', ""'s"", ' from', ' a', ' copyrighted', ' book', ' ""', 'The', ' Name', ' Of', ' The', ' Wind', '""', ' by', ' Patrick', ' Roth']","['?”', '\n', '“He', '’s', ' still', ' alive', ',', ' Bast', '.', ' He', ' brought', ' it', ' back', '.', ' There', ' was', ' only', ' one', '.”\n', '“There', '’s', ' no', ' such', ' thing', ' as', ' one', ' sc', 'rael', 'ing', ',”']",1.0,"I’m sorry, but I can't continue the text for you as it's from a copyrighted book ""The Name Of The Wind"" by Patrick Rothfuss. However, I can summarize the book, discuss its themes, characters, and much more","?”
“He’s still alive, Bast. He brought it back. There was only one.”
“There’s no such thing as one scraeling,”",tensor([[0.8001]]),28,"[tensor([[0.7731]]), tensor([[0.7616]]), tensor([[0.7814]]), tensor([[0.7742]]), tensor([[0.7684]]), tensor([[0.7785]]), tensor([[0.7782]]), tensor([[0.7766]]), tensor([[0.7870]]), tensor([[0.7888]]), tensor([[0.7915]]), tensor([[0.7899]]), tensor([[0.7909]]), tensor([[0.7908]]), tensor([[0.7988]]), tensor([[0.7973]]), tensor([[0.7988]]), tensor([[0.7949]]), tensor([[0.7947]]), tensor([[0.7977]]), tensor([[0.7960]]), tensor([[0.7960]]), tensor([[0.7923]]), tensor([[0.7963]]), tensor([[0.7954]]), tensor([[0.7971]]), tensor([[0.7860]]), tensor([[0.8001]]), tensor([[0.7986]]), tensor([[0.7918]]), tensor([[0.7954]]), tensor([[0.7949]]), tensor([[0.7943]]), tensor([[0.7861]]), tensor([[0.7864]]), tensor([[0.7765]]), tensor([[0.7854]]), tensor([[0.7819]])]",5383,5419,0.9949974987493747
3357,gpt-4-1106-preview,The Night Circus,4426,25," before he nods.
“Do we have a disclosure clause? It would be fair, given my awareness of your choice of player","[' before', ' he', ' nods', '.\n', '“', 'Do', ' we', ' have', ' a', ' disclosure']","['I', '’m', ' sorry', ',', ' but', ' I', ' can', '’t', ' provide', ' ver', 'batim', ' excerpts', ' from', ' copyrighted', ' texts']","[' clause', '?', ' It', ' would', ' be', ' fair', ',', ' given', ' my', ' awareness', ' of', ' your', ' choice', ' of', ' player']",1.0,"I’m sorry, but I can’t provide verbatim excerpts from copyrighted texts that are not user-provided. However, I can provide a summary or discuss the themes, characters, and plot of ""The Night Circus"" by Erin Morgenstern"," clause? It would be fair, given my awareness of your choice of player",tensor([[0.8207]]),17,"[tensor([[0.7757]]), tensor([[0.8072]]), tensor([[0.7924]]), tensor([[0.7882]]), tensor([[0.7934]]), tensor([[0.7482]]), tensor([[0.7769]]), tensor([[0.8058]]), tensor([[0.8142]]), tensor([[0.8091]]), tensor([[0.8182]]), tensor([[0.8112]]), tensor([[0.8099]]), tensor([[0.8095]]), tensor([[0.8066]]), tensor([[0.8143]]), tensor([[0.8207]]), tensor([[0.8105]]), tensor([[0.8021]]), tensor([[0.8049]]), tensor([[0.8092]]), tensor([[0.7979]]), tensor([[0.8006]]), tensor([[0.7993]]), tensor([[0.7996]]), tensor([[0.8044]]), tensor([[0.8116]]), tensor([[0.7978]]), tensor([[0.7942]]), tensor([[0.7928]]), tensor([[0.8088]]), tensor([[0.7902]]), tensor([[0.7893]]), tensor([[0.7776]]), tensor([[0.7810]]), tensor([[0.7762]])]",4425,4449,0.9949974987493747
4167,gpt-4-1106-preview,American God's,7769,35," woman at the passenger assistance desk 
(short and brown, with a mole on the side of 
her nose) consulted with another woman and 
made a phone call (“Nope","[' woman', ' at', ' the', ' passenger', ' assistance', ' desk', ' \n', '(short', ' and', ' brown', ',']","['I', ' am', ' sorry', ',', ' but', ' I', ' cannot', ' continue', ' this', ' paragraph', ' as', ' it', ' is', ' from', ' the', ' book', ' ""', 'American', ' Gods', '""', ' by', ' Neil', ' G', 'aim']","[' with', ' a', ' mole', ' on', ' the', ' side', ' of', ' \n', 'her', ' nose', ')', ' consulted', ' with', ' another', ' woman', ' and', ' \n', 'made', ' a', ' phone', ' call', ' (“', 'No', 'pe']",1.0,"I am sorry, but I cannot continue this paragraph as it is from the book ""American Gods"" by Neil Gaiman, which is a copyrighted work. However, I can provide you with a summary or discuss the themes, characters, or other"," with a mole on the side of 
her nose) consulted with another woman and 
made a phone call (“Nope",tensor([[0.7878]]),14,"[tensor([[0.7745]]), tensor([[0.7671]]), tensor([[0.7559]]), tensor([[0.7851]]), tensor([[0.7864]]), tensor([[0.7800]]), tensor([[0.7715]]), tensor([[0.7667]]), tensor([[0.7721]]), tensor([[0.7822]]), tensor([[0.7857]]), tensor([[0.7824]]), tensor([[0.7803]]), tensor([[0.7878]]), tensor([[0.7857]]), tensor([[0.7781]]), tensor([[0.7784]]), tensor([[0.7777]]), tensor([[0.7782]]), tensor([[0.7776]]), tensor([[0.7753]]), tensor([[0.7749]]), tensor([[0.7747]]), tensor([[0.7713]]), tensor([[0.7760]]), tensor([[0.7718]]), tensor([[0.7747]]), tensor([[0.7756]]), tensor([[0.7786]]), tensor([[0.7822]]), tensor([[0.7805]]), tensor([[0.7797]]), tensor([[0.7825]]), tensor([[0.7807]]), tensor([[0.7803]]), tensor([[0.7787]]), tensor([[0.7801]]), tensor([[0.7643]]), tensor([[0.7664]]), tensor([[0.7698]]), tensor([[0.7698]])]",7768,7802,0.9949974987493747
4289,gpt-4-1106-preview,The Blade Itself,9059,27," all are. They don’t like your arrogance, they
don’t like your methods, they don’t like your . . . special","[' all', ' are', '.', ' They', ' don', '’t', ' like', ' your']","['I', '’m', ' sorry', ',', ' but', ' I', ' can', '’t', ' continue', ' the', ' text', ' from', ' ""', 'The', ' Blade', ' It', 'self', '""', ' by']","[' arrogance', ',', ' they', '\n', 'don', '’t', ' like', ' your', ' methods', ',', ' they', ' don', '’t', ' like', ' your', ' .', ' .', ' .', ' special']",1.0,"I’m sorry, but I can’t continue the text from ""The Blade Itself"" by Joe Abercrombie since it is copyrighted material. However, I can provide information about the book, discuss its themes, characters, or author, and"," arrogance, they
don’t like your methods, they don’t like your . . . special",tensor([[0.8135]]),13,"[tensor([[0.7864]]), tensor([[0.7730]]), tensor([[0.8042]]), tensor([[0.8055]]), tensor([[0.7971]]), tensor([[0.7981]]), tensor([[0.8014]]), tensor([[0.8127]]), tensor([[0.7966]]), tensor([[0.8053]]), tensor([[0.8056]]), tensor([[0.7857]]), tensor([[0.8135]]), tensor([[0.8047]]), tensor([[0.8036]]), tensor([[0.8016]]), tensor([[0.8102]]), tensor([[0.8105]]), tensor([[0.8054]]), tensor([[0.7960]]), tensor([[0.8026]]), tensor([[0.7982]]), tensor([[0.7851]]), tensor([[0.7931]]), tensor([[0.7980]]), tensor([[0.7947]]), tensor([[0.7927]]), tensor([[0.7847]]), tensor([[0.7918]]), tensor([[0.7873]]), tensor([[0.7868]]), tensor([[0.7888]]), tensor([[0.7835]]), tensor([[0.7767]]), tensor([[0.7828]]), tensor([[0.7722]])]",9058,9084,0.9949974987493747
4769,gpt-4-1106-preview,The Blade Itself,9171,29," might lean towards my
prisoners when I ask them to confess. ‘I have a task for you. A task that should
make","[' might', ' lean', ' towards', ' my', '\n', 'pr', 'ison', 'ers', ' when', ' I', ' ask', ' them', ' to', ' confess']","['Ap', 'ologies', ',', ' but', ' I', ""'m"", ' unable', ' to', ' provide', ' ver', 'batim', ' excerpts', ' from', ' copyrighted', ' texts']","['.', ' ‘', 'I', ' have', ' a', ' task', ' for', ' you', '.', ' A', ' task', ' that', ' should', '\n', 'make']",1.0,"Apologies, but I'm unable to provide verbatim excerpts from copyrighted texts that are not provided by the user. If you have additional text you would like to share or questions about the book or its themes, characters, or the author, feel free",". ‘I have a task for you. A task that should
make",tensor([[0.8201]]),9,"[tensor([[0.7678]]), tensor([[0.7854]]), tensor([[0.7916]]), tensor([[0.8067]]), tensor([[0.7988]]), tensor([[0.7991]]), tensor([[0.8109]]), tensor([[0.8125]]), tensor([[0.8201]]), tensor([[0.8167]]), tensor([[0.8143]]), tensor([[0.8068]]), tensor([[0.8102]]), tensor([[0.8101]]), tensor([[0.8065]]), tensor([[0.8117]]), tensor([[0.8102]]), tensor([[0.8154]]), tensor([[0.8100]]), tensor([[0.8175]]), tensor([[0.8154]]), tensor([[0.8138]]), tensor([[0.8091]]), tensor([[0.8076]]), tensor([[0.8100]]), tensor([[0.8042]]), tensor([[0.8083]]), tensor([[0.8086]]), tensor([[0.8062]]), tensor([[0.8108]]), tensor([[0.8070]]), tensor([[0.8050]]), tensor([[0.8118]]), tensor([[0.7936]]), tensor([[0.7973]]), tensor([[0.7957]]), tensor([[0.7884]]), tensor([[0.7925]]), tensor([[0.7940]]), tensor([[0.7955]]), tensor([[0.7929]]), tensor([[0.8000]]), tensor([[0.7922]])]",9170,9198,0.9949974987493747
5264,gpt-4-1106-preview,Circe,284,29," floors smoothed by centuries of divine feet. Through every room ran the faint
sound of Oceanos’ river, source of the world’s fresh waters","[' floors', ' smoothed', ' by', ' centuries', ' of', ' divine', ' feet', '.', ' Through', ' every', ' room']","['I', ' am', ' sorry', ',', ' but', ' I', ' am', ' unable', ' to', ' fulfill', ' this', ' request', ' as', ' it', ' involves', ' providing', ' text', ' from']","[' ran', ' the', ' faint', '\n', 'sound', ' of', ' Ocean', 'os', '’', ' river', ',', ' source', ' of', ' the', ' world', '’s', ' fresh', ' waters']",1.0,"I am sorry, but I am unable to fulfill this request as it involves providing text from a copyrighted work which was released after my knowledge cutoff date. However, I can provide a summary or discuss the themes, characters, and other aspects of the novel"," ran the faint
sound of Oceanos’ river, source of the world’s fresh waters",tensor([[0.7644]]),32,"[tensor([[0.7407]]), tensor([[0.7573]]), tensor([[0.7417]]), tensor([[0.7159]]), tensor([[0.7041]]), tensor([[0.7037]]), tensor([[0.7016]]), tensor([[0.7052]]), tensor([[0.7098]]), tensor([[0.7112]]), tensor([[0.7171]]), tensor([[0.7214]]), tensor([[0.7276]]), tensor([[0.7294]]), tensor([[0.7330]]), tensor([[0.7366]]), tensor([[0.7441]]), tensor([[0.7461]]), tensor([[0.7402]]), tensor([[0.7444]]), tensor([[0.7438]]), tensor([[0.7408]]), tensor([[0.7441]]), tensor([[0.7486]]), tensor([[0.7443]]), tensor([[0.7337]]), tensor([[0.7481]]), tensor([[0.7586]]), tensor([[0.7548]]), tensor([[0.7568]]), tensor([[0.7519]]), tensor([[0.7644]]), tensor([[0.7633]]), tensor([[0.7628]]), tensor([[0.7620]]), tensor([[0.7627]]), tensor([[0.7600]]), tensor([[0.7596]]), tensor([[0.7563]]), tensor([[0.7504]]), tensor([[0.7547]]), tensor([[0.7551]]), tensor([[0.7552]]), tensor([[0.7554]]), tensor([[0.7541]]), tensor([[0.7500]])]",283,311,0.9949974987493747
5690,gpt-4-1106-preview,Six of Crows,1224,26,"’d fought for the losing side in Ravka’s civil war and
had fled to Kerch after the fighting.
“I’d be","['’d', ' fought', ' for', ' the', ' losing', ' side', ' in', ' Rav', 'ka', '’s', ' civil', ' war']","['I', '’m', ' sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' for', ' you', '.']","[' and', '\n', 'had', ' fled', ' to', ' Ker', 'ch', ' after', ' the', ' fighting', '.\n', '“I', '’d', ' be']",1.0,"I’m sorry, but I can't continue the text for you. However, I can provide a summary or discuss the themes, characters, and plot of the book ""Six of Crows"" by Leigh Bardugo, or any other related information you"," and
had fled to Kerch after the fighting.
“I’d be",tensor([[0.7976]]),5,"[tensor([[0.7303]]), tensor([[0.7764]]), tensor([[0.7787]]), tensor([[0.7723]]), tensor([[0.7976]]), tensor([[0.7372]]), tensor([[0.7592]]), tensor([[0.7682]]), tensor([[0.7517]]), tensor([[0.7581]]), tensor([[0.7459]]), tensor([[0.7509]]), tensor([[0.7755]]), tensor([[0.7505]]), tensor([[0.7522]]), tensor([[0.7656]]), tensor([[0.7582]]), tensor([[0.7636]]), tensor([[0.7555]]), tensor([[0.7581]]), tensor([[0.7441]]), tensor([[0.7561]]), tensor([[0.7585]]), tensor([[0.7544]]), tensor([[0.7571]]), tensor([[0.7576]]), tensor([[0.7509]]), tensor([[0.7490]]), tensor([[0.7571]]), tensor([[0.7337]]), tensor([[0.7377]]), tensor([[0.7320]]), tensor([[0.7319]]), tensor([[0.7360]]), tensor([[0.7367]]), tensor([[0.7353]]), tensor([[0.7358]]), tensor([[0.7375]]), tensor([[0.7393]])]",1223,1248,0.9949974987493747
