,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
0,gpt-3.5-turbo,Article II & Article III,26,28," hold his Office during the Term of four Years, and, together with the Vice President, chosen for the same Term, be elected, as","[' hold', ' his', ' Office', ' during', ' the', ' Term']","['for', ' which', ' he', ' was', ' elected', ',', ' together', ' with', ' the', ' Vice', ' President', ',', ' chosen', ' for', ' the', ' same', ' term', '.', ' The', ' President', ' shall', ' be']","[' of', ' four', ' Years', ',', ' and', ',', ' together', ' with', ' the', ' Vice', ' President', ',', ' chosen', ' for', ' the', ' same', ' Term', ',', ' be', ' elected', ',', ' as']",0.5,"for which he was elected, together with the Vice President, chosen for the same term. The President shall be Commander in Chief of the Army and Navy of the United States, and of the Militia of the several States, when called into the actual"," of four Years, and, together with the Vice President, chosen for the same Term, be elected, as",tensor([[0.9460]]),17,"[tensor([[0.7336]]), tensor([[0.7584]]), tensor([[0.7620]]), tensor([[0.7748]]), tensor([[0.7652]]), tensor([[0.8701]]), tensor([[0.8774]]), tensor([[0.8851]]), tensor([[0.8867]]), tensor([[0.9143]]), tensor([[0.9259]]), tensor([[0.9228]]), tensor([[0.9262]]), tensor([[0.9266]]), tensor([[0.9308]]), tensor([[0.9403]]), tensor([[0.9460]]), tensor([[0.9417]]), tensor([[0.9394]]), tensor([[0.9394]]), tensor([[0.9226]]), tensor([[0.9258]]), tensor([[0.9188]]), tensor([[0.9207]]), tensor([[0.9209]]), tensor([[0.9015]]), tensor([[0.9056]]), tensor([[0.9035]]), tensor([[0.9071]]), tensor([[0.9093]]), tensor([[0.9010]]), tensor([[0.8956]]), tensor([[0.8971]]), tensor([[0.8957]]), tensor([[0.8975]]), tensor([[0.8906]]), tensor([[0.8879]]), tensor([[0.8911]]), tensor([[0.8935]]), tensor([[0.8936]]), tensor([[0.8908]]), tensor([[0.8926]]), tensor([[0.8911]]), tensor([[0.8899]]), tensor([[0.8908]])]",25,52
3,gpt-3.5-turbo,Article II & Article III,546,24," Years, and been fourteen Years a Resident within the United States.
In Case of the Removal of the President from Office,","[' Years', ',', ' and', ' been', ' fourteen', ' Years', ' a']","['resident', ' within', ' the', ' United', ' States', ',', ' they', ' shall', ' be', ' eligible', ' to', ' be', ' elected', ' as', ' President', '.', ' No']","[' Resident', ' within', ' the', ' United', ' States', '.\n', 'In', ' Case', ' of', ' the', ' Removal', ' of', ' the', ' President', ' from', ' Office', ',']",0.7647058823529411,"resident within the United States, they shall be eligible to be elected as President. No person shall be elected to the office of the President more than twice, and no person who has held the office of President, or acted as President, for more than"," Resident within the United States.
In Case of the Removal of the President from Office,",tensor([[0.9185]]),6,"[tensor([[0.7738]]), tensor([[0.8530]]), tensor([[0.8562]]), tensor([[0.8725]]), tensor([[0.8740]]), tensor([[0.9185]]), tensor([[0.9118]]), tensor([[0.8952]]), tensor([[0.8952]]), tensor([[0.8877]]), tensor([[0.8886]]), tensor([[0.8901]]), tensor([[0.8946]]), tensor([[0.8949]]), tensor([[0.9002]]), tensor([[0.9021]]), tensor([[0.9036]]), tensor([[0.9063]]), tensor([[0.9059]]), tensor([[0.9053]]), tensor([[0.9053]]), tensor([[0.9082]]), tensor([[0.9082]]), tensor([[0.9093]]), tensor([[0.9111]]), tensor([[0.9105]]), tensor([[0.9129]]), tensor([[0.9096]]), tensor([[0.8961]]), tensor([[0.9007]]), tensor([[0.9013]]), tensor([[0.9008]]), tensor([[0.9018]]), tensor([[0.8987]]), tensor([[0.8992]]), tensor([[0.9030]]), tensor([[0.8995]]), tensor([[0.9018]]), tensor([[0.9008]]), tensor([[0.9033]]), tensor([[0.9027]]), tensor([[0.9039]]), tensor([[0.9021]]), tensor([[0.9046]]), tensor([[0.9025]]), tensor([[0.9009]])]",545,568
6,gpt-3.5-turbo,Article II & Article III,108,22," Office of Trust or Profit under the United States, shall be appointed an Elector.
The Electors shall meet","[' Office', ' of', ' Trust', ' or', ' Profit', ' under', ' the', ' United', ' States', ',']","['shall', ' be', ' appointed', ' as', ' Elect', 'ors', '.""', ' This', ' clause', ' outlines', ' that', ' no']","[' shall', ' be', ' appointed', ' an', ' Elect', 'or', '.\n', 'The', ' Elect', 'ors', ' shall', ' meet']",0.75,"shall be appointed as Electors."" This clause outlines that no Senator, Representative, or person holding an Office of Trust or Profit under the United States can serve as an elector in the Electoral College. The purpose of this provision is to prevent any potential"," shall be appointed an Elector.
The Electors shall meet",tensor([[0.9577]]),7,"[tensor([[0.7657]]), tensor([[0.8275]]), tensor([[0.8222]]), tensor([[0.8937]]), tensor([[0.9000]]), tensor([[0.9538]]), tensor([[0.9577]]), tensor([[0.9419]]), tensor([[0.9395]]), tensor([[0.9339]]), tensor([[0.9219]]), tensor([[0.8997]]), tensor([[0.9032]]), tensor([[0.9091]]), tensor([[0.9091]]), tensor([[0.9105]]), tensor([[0.9083]]), tensor([[0.9079]]), tensor([[0.9065]]), tensor([[0.9032]]), tensor([[0.9060]]), tensor([[0.9054]]), tensor([[0.9045]]), tensor([[0.9009]]), tensor([[0.8981]]), tensor([[0.8918]]), tensor([[0.8952]]), tensor([[0.8899]]), tensor([[0.8956]]), tensor([[0.8919]]), tensor([[0.9064]]), tensor([[0.9050]]), tensor([[0.9029]]), tensor([[0.9064]]), tensor([[0.8922]]), tensor([[0.8980]]), tensor([[0.9023]]), tensor([[0.8973]]), tensor([[0.9021]]), tensor([[0.9000]]), tensor([[0.8964]]), tensor([[0.8970]]), tensor([[0.8976]]), tensor([[0.8956]]), tensor([[0.8970]])]",107,128
9,gpt-3.5-turbo,Article II & Article III,225,25," of the Senate and House of Representatives, open all the Certificates, and the Votes shall then be counted. The Person having","[' of', ' the', ' Senate', ' and', ' House', ' of', ' Representatives', ',', ' open', ' all', ' the']","['pro', 'ceed', 'ings', ' of', ' both', ' houses', ' to', ' the', ' public', ',', ' and', ' provide', ' a', ' clear']","[' Cert', 'ificates', ',', ' and', ' the', ' Votes', ' shall', ' then', ' be', ' counted', '.', ' The', ' Person', ' having']",1.0,"proceedings of both houses to the public, and provide a clear record of the debates and votes. In addition, they shall have the authority to adjourn or convene Congress in times of emergency or when necessary. The Constitution further states that members"," Certificates, and the Votes shall then be counted. The Person having",tensor([[0.8507]]),25,"[tensor([[0.7495]]), tensor([[0.7631]]), tensor([[0.7740]]), tensor([[0.7784]]), tensor([[0.7729]]), tensor([[0.7877]]), tensor([[0.7885]]), tensor([[0.7990]]), tensor([[0.8009]]), tensor([[0.8027]]), tensor([[0.8016]]), tensor([[0.8083]]), tensor([[0.8213]]), tensor([[0.8185]]), tensor([[0.8199]]), tensor([[0.8109]]), tensor([[0.8131]]), tensor([[0.8342]]), tensor([[0.8450]]), tensor([[0.8383]]), tensor([[0.8417]]), tensor([[0.8480]]), tensor([[0.8494]]), tensor([[0.8505]]), tensor([[0.8507]]), tensor([[0.8483]]), tensor([[0.8468]]), tensor([[0.8448]]), tensor([[0.8447]]), tensor([[0.8416]]), tensor([[0.8397]]), tensor([[0.8401]]), tensor([[0.8382]]), tensor([[0.8342]]), tensor([[0.8337]]), tensor([[0.8342]]), tensor([[0.8362]]), tensor([[0.8367]]), tensor([[0.8362]]), tensor([[0.8358]]), tensor([[0.8265]]), tensor([[0.8232]]), tensor([[0.8249]])]",224,248
12,gpt-3.5-turbo,Article II & Article III,453,24," Vice President.
The Congress may determine the Time of chusing the Electors, and the Day on which they shall give","[' Vice', ' President', '.\n', 'The', ' Congress', ' may', ' determine', ' the', ' Time', ' of', ' ch', 'using']","['the', ' Vice', ' President', ',', ' as', ' well', ' as', ' the', ' manner', ' in', ' which', ' the']","[' the', ' Elect', 'ors', ',', ' and', ' the', ' Day', ' on', ' which', ' they', ' shall', ' give']",0.9166666666666666,"the Vice President, as well as the manner in which the electors for Vice President shall be appointed. The Vice President serves as the President of the Senate, and has the power to cast a tie-breaking vote in the event of a deadlock. Furthermore"," the Electors, and the Day on which they shall give",tensor([[0.8927]]),18,"[tensor([[0.7691]]), tensor([[0.7938]]), tensor([[0.7622]]), tensor([[0.8070]]), tensor([[0.7972]]), tensor([[0.8109]]), tensor([[0.8048]]), tensor([[0.8130]]), tensor([[0.7996]]), tensor([[0.7993]]), tensor([[0.8073]]), tensor([[0.8093]]), tensor([[0.8892]]), tensor([[0.8888]]), tensor([[0.8848]]), tensor([[0.8823]]), tensor([[0.8919]]), tensor([[0.8927]]), tensor([[0.8852]]), tensor([[0.8827]]), tensor([[0.8826]]), tensor([[0.8793]]), tensor([[0.8671]]), tensor([[0.8665]]), tensor([[0.8672]]), tensor([[0.8611]]), tensor([[0.8610]]), tensor([[0.8629]]), tensor([[0.8475]]), tensor([[0.8476]]), tensor([[0.8461]]), tensor([[0.8490]]), tensor([[0.8453]]), tensor([[0.8442]]), tensor([[0.8402]]), tensor([[0.8400]]), tensor([[0.8344]]), tensor([[0.8340]]), tensor([[0.8322]]), tensor([[0.8318]]), tensor([[0.8410]]), tensor([[0.8314]]), tensor([[0.8329]]), tensor([[0.8309]]), tensor([[0.8328]])]",452,475
15,gpt-3.5-turbo,Article II & Article III,1326,23," judicial Power shall extend to all Cases, in Law and Equity, arising under this Constitution, the Laws of the United","[' judicial', ' Power', ' shall', ' extend', ' to', ' all', ' Cases', ',', ' in']","['Law', ' and', ' Equity', ',', ' arising', ' under', ' this', ' Constitution', ',', ' the', ' Laws', ' of', ' the', ' United']","[' Law', ' and', ' Equity', ',', ' arising', ' under', ' this', ' Constitution', ',', ' the', ' Laws', ' of', ' the', ' United']",0.0714285714285714,"Law and Equity, arising under this Constitution, the Laws of the United States, and Treaties made, or which shall be made, under their Authority; to all Cases affecting Ambassadors, other public Ministers and Consuls; to all Cases of admir"," Law and Equity, arising under this Constitution, the Laws of the United",tensor([[1.0000]]),13,"[tensor([[0.7633]]), tensor([[0.8221]]), tensor([[0.8775]]), tensor([[0.9394]]), tensor([[0.9446]]), tensor([[0.9502]]), tensor([[0.9538]]), tensor([[0.9773]]), tensor([[0.9788]]), tensor([[0.9833]]), tensor([[0.9828]]), tensor([[0.9842]]), tensor([[1.0000]]), tensor([[0.9876]]), tensor([[0.9836]]), tensor([[0.9772]]), tensor([[0.9737]]), tensor([[0.9720]]), tensor([[0.9683]]), tensor([[0.9712]]), tensor([[0.9717]]), tensor([[0.9681]]), tensor([[0.9673]]), tensor([[0.9675]]), tensor([[0.9651]]), tensor([[0.9631]]), tensor([[0.9655]]), tensor([[0.9665]]), tensor([[0.9649]]), tensor([[0.9480]]), tensor([[0.9505]]), tensor([[0.9497]]), tensor([[0.9471]]), tensor([[0.9485]]), tensor([[0.9486]]), tensor([[0.9502]]), tensor([[0.9520]]), tensor([[0.9523]]), tensor([[0.9520]]), tensor([[0.9457]])]",1325,1347
18,gpt-3.5-turbo,Article II & Article III,687,22," the Period for which he shall have been elected, and he shall not receive within that Period any other Emol","[' the', ' Period', ' for', ' which', ' he', ' shall', ' have', ' been']","['e', 'lected', ',', ' and', ' he', ' shall', ' not', ' be', ' eligible', ' to', ' be', ' elected', ' to', ' the']","[' elected', ',', ' and', ' he', ' shall', ' not', ' receive', ' within', ' that', ' Period', ' any', ' other', ' Em', 'ol']",0.7142857142857143,"elected, and he shall not be eligible to be elected to the same office more than twice. In case of the removal of the President from office or of his death, resignation, or inability to discharge the powers and duties of the said office,"," elected, and he shall not receive within that Period any other Emol",tensor([[0.9465]]),9,"[tensor([[0.7525]]), tensor([[0.8614]]), tensor([[0.8676]]), tensor([[0.8815]]), tensor([[0.8919]]), tensor([[0.9323]]), tensor([[0.9361]]), tensor([[0.9449]]), tensor([[0.9465]]), tensor([[0.9455]]), tensor([[0.9436]]), tensor([[0.9426]]), tensor([[0.9421]]), tensor([[0.9409]]), tensor([[0.9321]]), tensor([[0.9344]]), tensor([[0.9317]]), tensor([[0.9141]]), tensor([[0.9175]]), tensor([[0.9169]]), tensor([[0.9157]]), tensor([[0.9150]]), tensor([[0.9077]]), tensor([[0.9080]]), tensor([[0.9066]]), tensor([[0.9013]]), tensor([[0.9001]]), tensor([[0.8963]]), tensor([[0.8947]]), tensor([[0.8947]]), tensor([[0.8968]]), tensor([[0.8984]]), tensor([[0.8923]]), tensor([[0.8927]]), tensor([[0.8903]]), tensor([[0.8893]]), tensor([[0.8897]]), tensor([[0.8844]]), tensor([[0.8875]]), tensor([[0.8856]]), tensor([[0.8849]]), tensor([[0.8824]]), tensor([[0.8821]]), tensor([[0.8871]]), tensor([[0.8861]])]",686,707
21,gpt-3.5-turbo,Article II & Article III,1235,27,"
Section 1
The judicial Power of the United States, shall be vested in one supreme Court, and in such inferior Courts as","['\n', 'Section', ' ', '1', '\n', 'The', ' judicial', ' Power', ' of', ' the']","['United', ' States', ',', ' shall', ' be', ' vested', ' in', ' one', ' supreme', ' Court', ',', ' and', ' in', ' such', ' inferior', ' Courts', ' as']","[' United', ' States', ',', ' shall', ' be', ' vested', ' in', ' one', ' supreme', ' Court', ',', ' and', ' in', ' such', ' inferior', ' Courts', ' as']",0.0588235294117647,"United States, shall be vested in one supreme Court, and in such inferior Courts as the Congress may from time to time ordain and establish. The Judges, both of the supreme and inferior Courts, shall hold their Offices during good Behavior, and shall"," United States, shall be vested in one supreme Court, and in such inferior Courts as",tensor([[1.0000]]),16,"[tensor([[0.7485]]), tensor([[0.7416]]), tensor([[0.8294]]), tensor([[0.8476]]), tensor([[0.8332]]), tensor([[0.9033]]), tensor([[0.9084]]), tensor([[0.9230]]), tensor([[0.9435]]), tensor([[0.9691]]), tensor([[0.9706]]), tensor([[0.9712]]), tensor([[0.9739]]), tensor([[0.9933]]), tensor([[0.9987]]), tensor([[1.0000]]), tensor([[0.9993]]), tensor([[0.9930]]), tensor([[0.9927]]), tensor([[0.9916]]), tensor([[0.9841]]), tensor([[0.9884]]), tensor([[0.9859]]), tensor([[0.9826]]), tensor([[0.9801]]), tensor([[0.9701]]), tensor([[0.9769]]), tensor([[0.9709]]), tensor([[0.9726]]), tensor([[0.9725]]), tensor([[0.9721]]), tensor([[0.9720]]), tensor([[0.9709]]), tensor([[0.9719]]), tensor([[0.9697]]), tensor([[0.9706]]), tensor([[0.9660]]), tensor([[0.9656]]), tensor([[0.9624]]), tensor([[0.9606]]), tensor([[0.9599]]), tensor([[0.9557]]), tensor([[0.9573]]), tensor([[0.9587]])]",1234,1260
24,gpt-3.5-turbo,Article II & Article III,43,30,", chosen for the same Term, be elected, as follows:
Each State shall appoint, in such Manner as the Legislature thereof may direct, a","[',', ' chosen', ' for', ' the', ' same', ' Term', ',', ' be', ' elected', ',', ' as', ' follows', ':\n', 'Each']","['State', ' shall', ' appoint', ',', ' in', ' such', ' M', 'anner', ' as', ' the', ' Legislature', ' thereof', ' may', ' direct', ',', ' a']","[' State', ' shall', ' appoint', ',', ' in', ' such', ' M', 'anner', ' as', ' the', ' Legislature', ' thereof', ' may', ' direct', ',', ' a']",0.0625,"State shall appoint, in such Manner as the Legislature thereof may direct, a Number of Electors, equal to the whole Number of Senators and Representatives to which the State may be entitled in the Congress: but no Senator or Representative, or Person holding"," State shall appoint, in such Manner as the Legislature thereof may direct, a",tensor([[1.]]),14,"[tensor([[0.7497]]), tensor([[0.8332]]), tensor([[0.8818]]), tensor([[0.9688]]), tensor([[0.9559]]), tensor([[0.9725]]), tensor([[0.9697]]), tensor([[0.9766]]), tensor([[0.9789]]), tensor([[0.9839]]), tensor([[0.9875]]), tensor([[0.9894]]), tensor([[0.9963]]), tensor([[1.]]), tensor([[0.9773]]), tensor([[0.9937]]), tensor([[0.9470]]), tensor([[0.9458]]), tensor([[0.9459]]), tensor([[0.9459]]), tensor([[0.9366]]), tensor([[0.9332]]), tensor([[0.9372]]), tensor([[0.9319]]), tensor([[0.9373]]), tensor([[0.9336]]), tensor([[0.9347]]), tensor([[0.9343]]), tensor([[0.9352]]), tensor([[0.9343]]), tensor([[0.9368]]), tensor([[0.9370]]), tensor([[0.9366]]), tensor([[0.9369]]), tensor([[0.9380]]), tensor([[0.9298]]), tensor([[0.9340]]), tensor([[0.9346]]), tensor([[0.9269]]), tensor([[0.9291]]), tensor([[0.9257]]), tensor([[0.9264]]), tensor([[0.9255]]), tensor([[0.9250]])]",42,71
27,gpt-3.5-turbo,Article II & Article III,280,21," than one who have such Majority, and have an equal Number of Votes, then the House of Representatives shall","[' than', ' one', ' who', ' have', ' such', ' Majority', ',', ' and', ' have']","['the', ' Qual', 'ifications', ' requisite', ' for', ' Elect', 'ors', ' of', ' the', ' most', ' numerous', ' Branch']","[' an', ' equal', ' Number', ' of', ' Votes', ',', ' then', ' the', ' House', ' of', ' Representatives', ' shall']",1.0,"the Qualifications requisite for Electors of the most numerous Branch of the State Legislature. No Person shall be a Representative who shall not have attained to the Age of twenty five Years, and been seven Years a Citizen of the United States, and who shall"," an equal Number of Votes, then the House of Representatives shall",tensor([[0.8541]]),21,"[tensor([[0.7448]]), tensor([[0.7803]]), tensor([[0.7874]]), tensor([[0.7919]]), tensor([[0.7941]]), tensor([[0.8186]]), tensor([[0.8236]]), tensor([[0.8271]]), tensor([[0.8240]]), tensor([[0.8400]]), tensor([[0.8375]]), tensor([[0.8413]]), tensor([[0.8422]]), tensor([[0.8341]]), tensor([[0.8532]]), tensor([[0.8372]]), tensor([[0.8389]]), tensor([[0.8530]]), tensor([[0.8522]]), tensor([[0.8484]]), tensor([[0.8541]]), tensor([[0.8486]]), tensor([[0.8533]]), tensor([[0.8534]]), tensor([[0.8500]]), tensor([[0.8467]]), tensor([[0.8465]]), tensor([[0.8443]]), tensor([[0.8471]]), tensor([[0.8442]]), tensor([[0.8436]]), tensor([[0.8441]]), tensor([[0.8448]]), tensor([[0.8438]]), tensor([[0.8437]]), tensor([[0.8450]]), tensor([[0.8434]]), tensor([[0.8435]]), tensor([[0.8443]]), tensor([[0.8416]]), tensor([[0.8429]]), tensor([[0.8459]]), tensor([[0.8456]]), tensor([[0.8470]]), tensor([[0.8441]]), tensor([[0.8468]])]",279,299
