model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Famous Bible Verses,0,52,"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life. ","['For', ' God', ' so', ' loved', ' the', ' world', ' that', ' he', ' gave', ' his']","['only', ' beg', 'otten', ' Son', ',', ' that', ' wh', 'oso', 'ever', ' belie', 'v', 'eth', ' in', ' him', ' should', ' not', ' perish', ',', ' but', ' have', ' everlasting', ' life', '.']","[""['"", ' one', ""',"", "" '"", ' and', ""',"", "" '"", ' only', ""',"", "" '"", ' Son', ""',"", "" ',',"", "" '"", ' that', ""',"", "" '"", ' whoever', ""',"", "" '"", ' believes', ""',"", "" '""]",1.0,"only begotten Son, that whosoever believeth in him should not perish, but have everlasting life.","[' one', ' and', ' only', ' Son', ',', ' that', ' whoever', ' believes', ' in', ' him', ' shall', ' not', ' perish', ' but', ' have', ' eternal', ' life', '.', ' ']",tensor([[0.8453]]),7,"[tensor([[0.7839]]), tensor([[0.8288]]), tensor([[0.8038]]), tensor([[0.8293]]), tensor([[0.8256]]), tensor([[0.8413]]), tensor([[0.8453]]), tensor([[0.8419]]), tensor([[0.8369]]), tensor([[0.8392]]), tensor([[0.8240]]), tensor([[0.8297]]), tensor([[0.8298]]), tensor([[0.8387]]), tensor([[0.8389]]), tensor([[0.8347]])]",0,52
gpt-3.5-turbo,Famous Bible Verses,0,195,"Love is patient, love is kind. It does not envy, it does not boast, it is not proud. It is not rude, it is not self-seeking, it is not easily angered, it keeps no record of wrongs. Love does not delight in evil but rejoices with the truth. It always protects, always trusts, always hopes, always perseveres. Love never fails. But where there are prophecies, they will cease; where there are tongues, they will be stilled; where there is knowledge, it will pass away. For we know in part and we prophesy in part, but when perfection comes, the imperfect disappears. When I was a child, I talked like a child, I thought like a child, I reasoned like a child. When I became a man, I put childish ways behind me. Now we see but a poor reflection as in a mirror; then we shall see face to face. Now I know in part; then I shall know fully, even as I am fully known. And now these three remain: faith, hope and love. But the greatest of these is love.","['Love', ' is', ' patient', ',', ' love', ' is', ' kind', '.', ' It', ' does', ' not', ' envy', ',', ' it', ' does', ' not', ' boast', ',', ' it', ' is', ' not', ' proud', '.', ' It', ' is', ' not', ' rude', ',', ' it', ' is', ' not', ' self', '-seeking', ',', ' it', ' is', ' not', ' easily', ' angered', ',', ' it', ' keeps', ' no', ' record', ' of', ' wrong', 's', '.', ' Love', ' does', ' not', ' delight', ' in', ' evil', ' but', ' rejo', 'ices', ' with', ' the', ' truth', '.', ' It', ' always', ' protects', ',', ' always', ' trusts', ',', ' always', ' hopes']","[',', ' always', ' persever', 'es', '.', ' Love', ' never', ' fails', '.']","['[', ""',"", ""',"", "" '"", ' always', ""',"", "" '"", ' persever', ""',""]",1.0,", always perseveres. Love never fails.","[',', ' always', ' persever', 'es', '.', ' Love', ' never', ' fails', '.']",tensor([[0.8660]]),7,"[tensor([[0.8015]]), tensor([[0.8622]]), tensor([[0.8313]]), tensor([[0.8067]]), tensor([[0.8452]]), tensor([[0.8542]]), tensor([[0.8660]])]",0,195
gpt-3.5-turbo,Famous Bible Verses,0,188,"The Lord is my shepherd, I shall not be in want. He makes me lie down in green pastures, he leads me beside quiet waters, he restores my soul. He guides me in paths of righteousness for his name’s sake. Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me. You prepare a table before me in the presence of my enemies. You anoint my head with oil; my cup overflows. Surely goodness and love will follow me all the days of my life, and I will dwell in the house of the LORD forever. ","['The', ' Lord', ' is', ' my', ' shepherd', ',', ' I', ' shall', ' not', ' be', ' in', ' want', '.', ' He', ' makes', ' me', ' lie', ' down', ' in', ' green', ' past', 'ures', ',', ' he', ' leads', ' me', ' beside', ' quiet', ' waters', ',', ' he', ' restores', ' my', ' soul', '.', ' He', ' guides', ' me', ' in', ' paths', ' of', ' righteousness', ' for', ' his', ' name', '’s', ' sake', '.', ' Even', ' though']","['I', ' see', ' you', ' are', ' referring', ' to', ' a', ' passage', ' from', ' the', ' Bible', ',', ' specifically', ' Psalm', ' ', '23', '.', ' I', ' can', ' help', ' continue', ' the', ' paragraph', ' for', ' you', '.', ' Here', ' is', ' the', ' rest', ' of', ' the', ' paragraph', ':', ' ""', 'I', ' walk', ' through', ' the', ' valley', ' of', ' the', ' shadow', ' of', ' death', ',', ' I', ' will', ' fear', ' no']","[""['"", ' I', ""',"", "" '"", ' walk', ""',"", "" '"", ' through', ""',"", "" '"", ' the', ""',"", "" '"", ' valley', ""',"", "" '"", ' of', ""',"", "" '"", ' the', ""',"", "" '"", ' shadow', ""',"", "" '"", ' of', ""',"", "" '"", ' death', ""',"", "" ',',"", "" '"", ' I', ""',"", "" '"", ' will', ""',"", "" '"", ' fear', ""',"", "" '"", ' no', ""',"", "" '"", ' evil', ""',"", "" ',',"", "" '"", ' for', ""',""]",1.0,"I see you are referring to a passage from the Bible, specifically Psalm 23. I can help continue the paragraph for you. Here is the rest of the paragraph: ""I walk through the valley of the shadow of death, I will fear no","[' I', ' walk', ' through', ' the', ' valley', ' of', ' the', ' shadow', ' of', ' death', ',', ' I', ' will', ' fear', ' no', ' evil', ',', ' for', ' you', ' are', ' with', ' me', ';', ' your', ' rod', ' and', ' your', ' staff', ',', ' they', ' comfort', ' me', '.', ' You', ' prepare', ' a', ' table', ' before', ' me', ' in', ' the', ' presence', ' of', ' my', ' enemies', '.', ' You', ' an', 'oint', ' my']",tensor([[0.8634]]),44,"[tensor([[0.8019]]), tensor([[0.8418]]), tensor([[0.7937]]), tensor([[0.7913]]), tensor([[0.7979]]), tensor([[0.7897]]), tensor([[0.7934]]), tensor([[0.8056]]), tensor([[0.8242]]), tensor([[0.8250]]), tensor([[0.8254]]), tensor([[0.8117]]), tensor([[0.8131]]), tensor([[0.8266]]), tensor([[0.8258]]), tensor([[0.8321]]), tensor([[0.8398]]), tensor([[0.8413]]), tensor([[0.8386]]), tensor([[0.8341]]), tensor([[0.8460]]), tensor([[0.8462]]), tensor([[0.8402]]), tensor([[0.8484]]), tensor([[0.8488]]), tensor([[0.8474]]), tensor([[0.8496]]), tensor([[0.8474]]), tensor([[0.8467]]), tensor([[0.8434]]), tensor([[0.8584]]), tensor([[0.8499]]), tensor([[0.8474]]), tensor([[0.8479]]), tensor([[0.8402]]), tensor([[0.8448]]), tensor([[0.8447]]), tensor([[0.8517]]), tensor([[0.8544]]), tensor([[0.8571]]), tensor([[0.8608]]), tensor([[0.8603]]), tensor([[0.8622]]), tensor([[0.8634]])]",0,188
gpt-3.5-turbo,Famous Bible Verses,0,25,I can do all things through Christ who strengthens me.,['I'],"['I', ' am', ' not', ' able', ' to', ' provide', ' further', ' information', ' without', ' more', ' context', '.', ' Could', ' you', ' provide', ' additional', ' details', ' or', ' ask', ' a', ' specific', ' question', '?']","[""['"", ' can', ""',"", "" '"", ' do', ""',"", "" '"", ' all', ""',"", "" '"", ' things', ""',"", "" '"", ' through', ""',"", "" '"", ' Christ', ""',"", "" '"", ' who', ""',"", "" '"", ' strengthens']",1.0,I am not able to provide further information without more context. Could you provide additional details or ask a specific question?,"[' can', ' do', ' all', ' things', ' through', ' Christ', ' who', ' strengthens', ' me', '.']",tensor([[0.7918]]),2,"[tensor([[0.7610]]), tensor([[0.7918]]), tensor([[0.7578]]), tensor([[0.7257]]), tensor([[0.7478]]), tensor([[0.7577]]), tensor([[0.7486]]), tensor([[0.7687]]), tensor([[0.7560]]), tensor([[0.7749]]), tensor([[0.7753]]), tensor([[0.7524]]), tensor([[0.7612]]), tensor([[0.7409]]), tensor([[0.7379]]), tensor([[0.7413]]), tensor([[0.7394]]), tensor([[0.7415]]), tensor([[0.7367]]), tensor([[0.7419]]), tensor([[0.7395]]), tensor([[0.7380]])]",0,25
gpt-3.5-turbo,Famous Bible Verses,0,84,"But those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint.","['But', ' those', ' who', ' hope', ' in', ' the', ' Lord', ' will', ' renew', ' their', ' strength', '.']","['But', ' those', ' who', ' hope', ' in', ' the', ' Lord', ' will', ' renew', ' their', ' strength', '.', ' They', ' will', ' soar', ' on', ' wings', ' like', ' eag', 'les', ';', ' they', ' will', ' run', ' and', ' not', ' grow', ' weary', ',', ' they', ' will', ' walk', ' and', ' not', ' be', ' faint', '.', ' This', ' speaks', ' to', ' the', ' idea', ' that', ' by', ' putting', ' their', ' trust', ' in', ' God', ',']","[""['"", ' They', ""',"", "" '"", ' will', ""',"", "" '"", ' soar', ""',"", "" '"", ' on', ""',"", "" '"", ' wings', ""',"", "" '"", ' like', ""',"", "" '"", ' eag', ""',"", "" '"", 'les', ""',"", "" ';"", ""',"", "" '"", ' they', ""',"", "" '"", ' will', ""',"", "" '"", ' run', ""',"", "" '"", ' and', ""',"", "" '"", ' not', ""',"", "" '"", ' grow', ""',"", "" '"", ' weary', ""',"", "" ',',"", "" '"", ' they']",0.98,"But those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint. This speaks to the idea that by putting their trust in God,","[' They', ' will', ' soar', ' on', ' wings', ' like', ' eag', 'les', ';', ' they', ' will', ' run', ' and', ' not', ' grow', ' weary', ',', ' they', ' will', ' walk', ' and', ' not', ' be', ' faint', '.']",tensor([[0.8413]]),33,"[tensor([[0.7860]]), tensor([[0.8130]]), tensor([[0.8205]]), tensor([[0.8031]]), tensor([[0.7647]]), tensor([[0.7626]]), tensor([[0.7642]]), tensor([[0.7495]]), tensor([[0.7563]]), tensor([[0.7580]]), tensor([[0.7618]]), tensor([[0.7575]]), tensor([[0.7712]]), tensor([[0.7798]]), tensor([[0.8045]]), tensor([[0.8034]]), tensor([[0.8239]]), tensor([[0.8210]]), tensor([[0.8210]]), tensor([[0.8217]]), tensor([[0.8255]]), tensor([[0.8303]]), tensor([[0.8278]]), tensor([[0.8290]]), tensor([[0.8341]]), tensor([[0.8291]]), tensor([[0.8259]]), tensor([[0.8316]]), tensor([[0.8345]]), tensor([[0.8325]]), tensor([[0.8325]]), tensor([[0.8334]]), tensor([[0.8413]]), tensor([[0.8374]]), tensor([[0.8317]]), tensor([[0.8301]]), tensor([[0.8299]]), tensor([[0.8249]]), tensor([[0.8280]]), tensor([[0.8271]]), tensor([[0.8279]]), tensor([[0.8272]]), tensor([[0.8148]]), tensor([[0.8152]]), tensor([[0.8256]])]",0,84
gpt-3.5-turbo,Famous Bible Verses,0,44,"But seek first his kingdom and his righteousness, and all these things will be given to you as well.","['But', ' seek', ' first', ' his', ' kingdom', ' and', ' his', ' righteousness']","['""But', ' seek', ' first', ' his', ' kingdom', ' and', ' his', ' righteousness', ',', ' and', ' all', ' these', ' things', ' will', ' be', ' given', ' to', ' you', ' as', ' well', '.""']","['[', ""',"", ""',"", "" '"", ' and', ""',"", "" '"", ' all', ""',"", "" '"", ' these', ""',"", "" '"", ' things', ""',"", "" '"", ' will', ""',"", "" '"", ' be', ""',""]",0.9523809523809523,"""But seek first his kingdom and his righteousness, and all these things will be given to you as well.""","[',', ' and', ' all', ' these', ' things', ' will', ' be', ' given', ' to', ' you', ' as', ' well', '.']",tensor([[0.8123]]),2,"[tensor([[0.7903]]), tensor([[0.8123]]), tensor([[0.7943]]), tensor([[0.7790]]), tensor([[0.7862]]), tensor([[0.7608]]), tensor([[0.7577]]), tensor([[0.7745]]), tensor([[0.7639]]), tensor([[0.7626]]), tensor([[0.7686]]), tensor([[0.7695]]), tensor([[0.7715]]), tensor([[0.7793]]), tensor([[0.7809]]), tensor([[0.7856]]), tensor([[0.7858]]), tensor([[0.7951]]), tensor([[0.7928]]), tensor([[0.8026]])]",0,44
gpt-3.5-turbo,Famous Bible Verses,0,49,"Do not let this Book of the Law depart from your mouth; meditate on it day and night, so that you may be careful to do everything written in it. Then you will be prosperous and successful. ","['Do', ' not', ' let']","['Do', ' not', ' let', ' these', ' obstacles', ' hinder', ' your', ' progress', ' or', ' deter', ' you', ' from', ' reaching', ' your', ' goals', '.', ' Keep', ' pushing', ' forward', ' and', ' stay', ' focused', ' on', ' the', ' path', ' ahead', '.', ' Stay', ' determined', ' and', ' resilient', ' in', ' the', ' face', ' of', ' challenges', ',', ' and', ' you', ' will', ' overcome']","[""['"", ' this', ""',"", "" '"", ' Book', ""',"", "" '"", ' of', ""',"", "" '"", ' the', ""',"", "" '"", ' Law', ""',"", "" '"", ' depart', ""',"", "" '"", ' from', ""',"", "" '"", ' your', ""',"", "" '"", ' mouth', ""',"", "" ';"", ""',"", "" '"", ' med', ""',"", "" '"", 'itate', ""',"", "" '"", ' on', ""',"", "" '"", ' it', ""']""]",1.0,"Do not let these obstacles hinder your progress or deter you from reaching your goals. Keep pushing forward and stay focused on the path ahead. Stay determined and resilient in the face of challenges, and you will overcome them with confidence and perseverance. Remember, success","[' this', ' Book', ' of', ' the', ' Law', ' depart', ' from', ' your', ' mouth', ';', ' med', 'itate', ' on', ' it']",tensor([[0.8137]]),2,"[tensor([[0.8056]]), tensor([[0.8137]]), tensor([[0.7629]]), tensor([[0.7539]]), tensor([[0.7643]]), tensor([[0.7732]]), tensor([[0.7728]]), tensor([[0.7823]]), tensor([[0.7652]]), tensor([[0.7695]]), tensor([[0.7679]]), tensor([[0.7647]]), tensor([[0.7653]]), tensor([[0.7629]]), tensor([[0.7704]]), tensor([[0.7588]]), tensor([[0.7726]]), tensor([[0.7686]]), tensor([[0.7703]]), tensor([[0.7688]]), tensor([[0.7728]]), tensor([[0.7679]]), tensor([[0.7678]]), tensor([[0.7632]]), tensor([[0.7660]]), tensor([[0.7863]]), tensor([[0.7694]]), tensor([[0.7644]]), tensor([[0.7601]]), tensor([[0.7713]]), tensor([[0.7701]]), tensor([[0.7659]]), tensor([[0.7721]]), tensor([[0.7664]]), tensor([[0.7924]]), tensor([[0.7616]]), tensor([[0.7639]]), tensor([[0.7622]]), tensor([[0.7669]]), tensor([[0.7679]]), tensor([[0.7663]]), tensor([[0.7671]]), tensor([[0.7681]]), tensor([[0.7928]]), tensor([[0.7977]]), tensor([[0.7757]])]",0,49
gpt-3.5-turbo,Famous Bible Verses,0,88,"Trust in the Lord with all your heart and lean not on your own understanding; in all your ways acknowledge him, and he will make your paths straight.","['Trust', ' in', ' the', ' Lord', ' with', ' all', ' your', ' heart', ' and', ' lean', ' not', ' on', ' your', ' own', ' understanding']","['This', ' verse', ',', ' Pro', 'verbs', ' ', '3', ':', '5', ',', ' encourages', ' us', ' to', ' trust', ' in', ' the', ' Lord', ' with', ' all', ' our', ' heart', ' and', ' lean', ' not', ' on', ' our', ' own', ' understanding', '.', ' It', ' reminds', ' us', ' to', ' rely', ' on', ' God', ""'s"", ' wisdom', ' and', ' guidance', ' rather', ' than', ' solely', ' depending']","[""['"", "";',"", "" '"", ' in', ""',"", "" '"", ' all', ""',"", "" '"", ' your', ""',"", "" '"", ' ways', ""',"", "" '"", ' acknowledge', ""',"", "" '"", ' him', ""',"", "" ',',"", "" '"", ' and', ""',"", "" '"", ' he', ""',"", "" '"", ' will', ""',"", "" '"", ' make', ""',"", "" '"", ' your', ""',"", "" '"", ' paths', ""',"", "" '"", ' straight', ""',"", "" '."", ""']""]",1.0,"This verse, Proverbs 3:5, encourages us to trust in the Lord with all our heart and lean not on our own understanding. It reminds us to rely on God's wisdom and guidance rather than solely depending on our limited human perspective.","[';', ' in', ' all', ' your', ' ways', ' acknowledge', ' him', ',', ' and', ' he', ' will', ' make', ' your', ' paths', ' straight', '.']",tensor([[0.8194]]),6,"[tensor([[0.7916]]), tensor([[0.7906]]), tensor([[0.8009]]), tensor([[0.8181]]), tensor([[0.8176]]), tensor([[0.8194]]), tensor([[0.8171]]), tensor([[0.8178]]), tensor([[0.8104]]), tensor([[0.8103]]), tensor([[0.8052]]), tensor([[0.8005]]), tensor([[0.7998]]), tensor([[0.8092]]), tensor([[0.8136]]), tensor([[0.8043]]), tensor([[0.8003]]), tensor([[0.8054]]), tensor([[0.8031]]), tensor([[0.7980]]), tensor([[0.8029]]), tensor([[0.7959]]), tensor([[0.7992]]), tensor([[0.7926]]), tensor([[0.7902]]), tensor([[0.7913]]), tensor([[0.7900]]), tensor([[0.7920]]), tensor([[0.7907]]), tensor([[0.7952]]), tensor([[0.7927]]), tensor([[0.7900]]), tensor([[0.7942]]), tensor([[0.7938]]), tensor([[0.7903]]), tensor([[0.7921]]), tensor([[0.7933]]), tensor([[0.7923]]), tensor([[0.7932]]), tensor([[0.7920]]), tensor([[0.7915]]), tensor([[0.8028]])]",0,88
gpt-3.5-turbo,Famous Bible Verses,0,17,Delight yourself in the Lord and he will give you the desires of your heart.,"['Del', 'ight']","['The', ' paragraph', ' was', ' intended', ' to', ' read', ':', ' ""', 'Del', 'ight', 'ful', '.""']","[""['"", ' yourself', ""',"", "" '"", ' in', ""',"", "" '"", ' the', ""',"", "" '"", ' Lord', ""',""]",1.0,"The paragraph was intended to read: ""Delightful.""","[' yourself', ' in', ' the', ' Lord', ' and', ' he', ' will', ' give', ' you', ' the', ' desires', ' of', ' your', ' heart', '.']",tensor([[0.7949]]),4,"[tensor([[0.7673]]), tensor([[0.7901]]), tensor([[0.7865]]), tensor([[0.7949]]), tensor([[0.7833]]), tensor([[0.7924]]), tensor([[0.7935]]), tensor([[0.7851]])]",0,17
gpt-3.5-turbo,Famous Bible Verses,0,52,This is the day the Lord has made; let us rejoice and be glad in it. ,"['This', ' is', ' the', ' day', ' the', ' Lord', ' has', ' made']","['Let', ' us', ' rejoice', ' and', ' be', ' glad', ' in', ' it', '.', ' This', ' beautiful', ' day', ' has', ' been', ' created', ' by', ' the', ' Lord', ' for', ' us', ' to', ' cherish', ' and', ' make', ' the', ' most', ' of', '.', ' Let']","[""['"", "";',"", "" '"", ' let', ""',"", "" '"", ' us', ""',"", "" '"", ' rejoice', ""',"", "" '"", ' and', ""',"", "" '"", ' be', ""',"", "" '"", ' glad', ""',"", "" '"", ' in', ""',"", "" '"", ' it', ""',"", "" '.',"", "" '"", "" ']""]",1.0,Let us rejoice and be glad in it. This beautiful day has been created by the Lord for us to cherish and make the most of. Let us give thanks for the blessings that come with each new day and embrace the opportunities it presents for us to,"[';', ' let', ' us', ' rejoice', ' and', ' be', ' glad', ' in', ' it', '.', ' ']",tensor([[0.8796]]),12,"[tensor([[0.8051]]), tensor([[0.8290]]), tensor([[0.8320]]), tensor([[0.8522]]), tensor([[0.8608]]), tensor([[0.8584]]), tensor([[0.8635]]), tensor([[0.8705]]), tensor([[0.8633]]), tensor([[0.8772]]), tensor([[0.8736]]), tensor([[0.8796]]), tensor([[0.8731]]), tensor([[0.8719]]), tensor([[0.8694]]), tensor([[0.8599]]), tensor([[0.8618]]), tensor([[0.8623]]), tensor([[0.8633]]), tensor([[0.8673]]), tensor([[0.8663]]), tensor([[0.8644]]), tensor([[0.8602]]), tensor([[0.8573]]), tensor([[0.8542]]), tensor([[0.8583]]), tensor([[0.8749]]), tensor([[0.8554]]), tensor([[0.8582]]), tensor([[0.8584]]), tensor([[0.8562]]), tensor([[0.8551]]), tensor([[0.8522]]), tensor([[0.8529]]), tensor([[0.8508]]), tensor([[0.8504]]), tensor([[0.8497]]), tensor([[0.8498]]), tensor([[0.8504]]), tensor([[0.8484]]), tensor([[0.8455]]), tensor([[0.8488]]), tensor([[0.8485]]), tensor([[0.8470]]), tensor([[0.8506]]), tensor([[0.8439]]), tensor([[0.8434]]), tensor([[0.8446]]), tensor([[0.8436]])]",0,52
