,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
2,gpt-4,Lorem Ipsum Standard Passage,51,39," in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt moll","[' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit', ' esse', ' c', 'illum', ' dolore', ' eu']","['f', 'ug', 'iat', ' nulla', ' pari', 'atur', '.', ' Except', 'eur', ' sint', ' occ', 'aec', 'at', ' cupid', 'atat', ' non', ' pro', 'ident', ',', ' sunt', ' in', ' culpa', ' qui', ' offic', 'ia', ' deser', 'unt']","[' fug', 'iat', ' nulla', ' pari', 'atur', '.', ' Except', 'eur', ' sint', ' occ', 'aec', 'at', ' cupid', 'atat', ' non', ' pro', 'ident', ',', ' sunt', ' in', ' culpa', ' qui', ' offic', 'ia', ' deser', 'unt', ' moll']",0.1111111111111111,"fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."," fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt moll",tensor([[0.9983]]),16,"[tensor([[0.8065]]), tensor([[0.8580]]), tensor([[0.8905]]), tensor([[0.9413]]), tensor([[0.9553]]), tensor([[0.9590]]), tensor([[0.9680]]), tensor([[0.9798]]), tensor([[0.9819]]), tensor([[0.9833]]), tensor([[0.9858]]), tensor([[0.9854]]), tensor([[0.9924]]), tensor([[0.9934]]), tensor([[0.9971]]), tensor([[0.9983]]), tensor([[0.9982]]), tensor([[0.9979]]), tensor([[0.9937]]), tensor([[0.9950]]), tensor([[0.9892]])]",50,88
5,gpt-4,Lorem Ipsum Standard Passage,6,21,", consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim","[',', ' consectetur', ' adipiscing', ' elit', ',']","['sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.', ' Ut', ' enim', ' ad', ' minim']","[' sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.', ' Ut', ' enim', ' ad', ' minim']",0.0625,"sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum", sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim,tensor([[1.0000]]),16,"[tensor([[0.8061]]), tensor([[0.8138]]), tensor([[0.8397]]), tensor([[0.8899]]), tensor([[0.9002]]), tensor([[0.9155]]), tensor([[0.9128]]), tensor([[0.9282]]), tensor([[0.9276]]), tensor([[0.9352]]), tensor([[0.9576]]), tensor([[0.9842]]), tensor([[0.9840]]), tensor([[0.9909]]), tensor([[0.9913]]), tensor([[1.0000]]), tensor([[0.9925]]), tensor([[0.9927]]), tensor([[0.9900]]), tensor([[0.9824]]), tensor([[0.9817]]), tensor([[0.9813]]), tensor([[0.9812]]), tensor([[0.9821]]), tensor([[0.9840]]), tensor([[0.9837]]), tensor([[0.9836]]), tensor([[0.9819]]), tensor([[0.9783]]), tensor([[0.9795]]), tensor([[0.9786]]), tensor([[0.9786]]), tensor([[0.9785]]), tensor([[0.9786]]), tensor([[0.9774]]), tensor([[0.9772]]), tensor([[0.9762]]), tensor([[0.9761]]), tensor([[0.9761]]), tensor([[0.9754]])]",5,25
8,gpt-4,Lorem Ipsum Standard Passage,18,22," et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliqu","[' et', ' dolore', ' magna', ' aliqua', '.', ' Ut', ' enim', ' ad', ' minim', ' veniam']","[',', ' quis', ' nostr', 'ud', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu']","[',', ' quis', ' nostr', 'ud', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu']",0.0,", quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non",", quis nostrud exercitation ullamco laboris nisi ut aliqu",tensor([[0.9947]]),10,"[tensor([[0.8007]]), tensor([[0.8513]]), tensor([[0.8285]]), tensor([[0.8669]]), tensor([[0.9430]]), tensor([[0.9618]]), tensor([[0.9779]]), tensor([[0.9866]]), tensor([[0.9912]]), tensor([[0.9947]]), tensor([[0.9939]]), tensor([[0.9884]]), tensor([[0.9847]]), tensor([[0.9735]]), tensor([[0.9766]]), tensor([[0.9728]]), tensor([[0.9748]]), tensor([[0.9716]]), tensor([[0.9710]]), tensor([[0.9637]]), tensor([[0.9639]]), tensor([[0.9607]]), tensor([[0.9618]]), tensor([[0.9621]]), tensor([[0.9595]]), tensor([[0.9595]]), tensor([[0.9533]]), tensor([[0.9592]]), tensor([[0.9595]]), tensor([[0.9538]]), tensor([[0.9560]]), tensor([[0.9553]]), tensor([[0.9533]]), tensor([[0.9469]]), tensor([[0.9485]])]",17,38
11,gpt-4,Lorem Ipsum Standard Passage,25,20," ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat","[' ad', ' minim', ' veniam', ',', ' quis', ' nostr', 'ud', ' exercitation']","['ull', 'am', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu', 'ip', ' ex', ' ea', ' commodo']","[' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu', 'ip', ' ex', ' ea', ' commodo', ' consequat']",0.25,"ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt", ullamco laboris nisi ut aliquip ex ea commodo consequat,tensor([[0.9902]]),9,"[tensor([[0.7980]]), tensor([[0.8641]]), tensor([[0.9091]]), tensor([[0.9242]]), tensor([[0.9351]]), tensor([[0.9576]]), tensor([[0.9678]]), tensor([[0.9756]]), tensor([[0.9902]]), tensor([[0.9775]]), tensor([[0.9808]]), tensor([[0.9832]]), tensor([[0.9825]]), tensor([[0.9768]]), tensor([[0.9727]]), tensor([[0.9528]]), tensor([[0.9529]]), tensor([[0.9485]]), tensor([[0.9501]]), tensor([[0.9515]]), tensor([[0.9504]]), tensor([[0.9496]]), tensor([[0.9449]]), tensor([[0.9521]]), tensor([[0.9505]]), tensor([[0.9443]]), tensor([[0.9486]]), tensor([[0.9478]]), tensor([[0.9455]]), tensor([[0.9405]]), tensor([[0.9398]]), tensor([[0.9312]]), tensor([[0.9353]])]",24,43
14,gpt-4,Lorem Ipsum Standard Passage,13,39," eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in","[' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.']","['Ut', ' enim', ' ad', ' minim', ' veniam', ',', ' quis', ' nostr', 'ud', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu', 'ip', ' ex', ' ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in']","[' Ut', ' enim', ' ad', ' minim', ' veniam', ',', ' quis', ' nostr', 'ud', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu', 'ip', ' ex', ' ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in']",0.0344827586206896,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occ"," Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in",tensor([[1.0000]]),23,"[tensor([[0.8115]]), tensor([[0.7994]]), tensor([[0.8354]]), tensor([[0.8518]]), tensor([[0.8972]]), tensor([[0.9244]]), tensor([[0.9281]]), tensor([[0.9247]]), tensor([[0.9602]]), tensor([[0.9655]]), tensor([[0.9724]]), tensor([[0.9750]]), tensor([[0.9775]]), tensor([[0.9845]]), tensor([[0.9860]]), tensor([[0.9880]]), tensor([[0.9904]]), tensor([[0.9864]]), tensor([[0.9950]]), tensor([[0.9950]]), tensor([[0.9973]]), tensor([[0.9989]]), tensor([[1.0000]]), tensor([[0.9917]]), tensor([[0.9918]]), tensor([[0.9888]]), tensor([[0.9900]]), tensor([[0.9909]]), tensor([[0.9876]]), tensor([[0.9879]]), tensor([[0.9829]]), tensor([[0.9878]]), tensor([[0.9875]]), tensor([[0.9829]]), tensor([[0.9828]]), tensor([[0.9828]]), tensor([[0.9823]])]",12,50
17,gpt-4,Lorem Ipsum Standard Passage,26,33," minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse","[' minim', ' veniam', ',', ' quis', ' nostr', 'ud', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut']","['al', 'iqu', 'ip', ' ex', ' ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit']","[' aliqu', 'ip', ' ex', ' ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit', ' esse']",0.15,"aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deser", aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse,tensor([[1.]]),16,"[tensor([[0.8045]]), tensor([[0.8576]]), tensor([[0.8889]]), tensor([[0.9021]]), tensor([[0.9109]]), tensor([[0.9403]]), tensor([[0.9566]]), tensor([[0.9592]]), tensor([[0.9683]]), tensor([[0.9708]]), tensor([[0.9753]]), tensor([[0.9896]]), tensor([[0.9908]]), tensor([[0.9955]]), tensor([[0.9980]]), tensor([[1.]]), tensor([[0.9929]]), tensor([[0.9906]]), tensor([[0.9832]]), tensor([[0.9859]]), tensor([[0.9821]]), tensor([[0.9831]]), tensor([[0.9742]]), tensor([[0.9736]]), tensor([[0.9699]]), tensor([[0.9654]]), tensor([[0.9653]]), tensor([[0.9640]]), tensor([[0.9622]]), tensor([[0.9631]]), tensor([[0.9623]]), tensor([[0.9611]]), tensor([[0.9594]]), tensor([[0.9579]])]",25,57
20,gpt-4,Lorem Ipsum Standard Passage,54,39," in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id","[' in', ' volupt', 'ate', ' velit', ' esse', ' c', 'illum', ' dolore', ' eu', ' fug', 'iat']","['null', 'a', ' pari', 'atur', '.', ' Except', 'eur', ' sint', ' occ', 'aec', 'at', ' cupid', 'atat', ' non', ' pro', 'ident', ',', ' sunt', ' in', ' culpa', ' qui', ' offic', 'ia', ' deser', 'unt', ' moll', 'it', ' anim']","[' nulla', ' pari', 'atur', '.', ' Except', 'eur', ' sint', ' occ', 'aec', 'at', ' cupid', 'atat', ' non', ' pro', 'ident', ',', ' sunt', ' in', ' culpa', ' qui', ' offic', 'ia', ' deser', 'unt', ' moll', 'it', ' anim', ' id']",0.1071428571428571,"nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."," nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id",tensor([[1.0000]]),18,"[tensor([[0.8040]]), tensor([[0.8326]]), tensor([[0.9094]]), tensor([[0.9393]]), tensor([[0.9451]]), tensor([[0.9567]]), tensor([[0.9702]]), tensor([[0.9718]]), tensor([[0.9716]]), tensor([[0.9758]]), tensor([[0.9759]]), tensor([[0.9836]]), tensor([[0.9847]]), tensor([[0.9884]]), tensor([[0.9906]]), tensor([[0.9918]]), tensor([[0.9940]]), tensor([[1.0000]]), tensor([[0.9980]]), tensor([[0.9879]])]",53,91
23,gpt-4,Lorem Ipsum Standard Passage,30,38, nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur,"[' nostr', 'ud', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu', 'ip']","['ex', ' ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit', ' esse', ' c', 'illum', ' dolore', ' eu', ' fug', 'iat', ' nulla', ' pari', 'atur']","[' ex', ' ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit', ' esse', ' c', 'illum', ' dolore', ' eu', ' fug', 'iat', ' nulla', ' pari', 'atur']",0.037037037037037,"ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit", ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur,tensor([[0.9983]]),20,"[tensor([[0.8090]]), tensor([[0.8507]]), tensor([[0.8704]]), tensor([[0.8985]]), tensor([[0.9353]]), tensor([[0.9416]]), tensor([[0.9530]]), tensor([[0.9630]]), tensor([[0.9666]]), tensor([[0.9660]]), tensor([[0.9686]]), tensor([[0.9699]]), tensor([[0.9766]]), tensor([[0.9773]]), tensor([[0.9798]]), tensor([[0.9882]]), tensor([[0.9898]]), tensor([[0.9827]]), tensor([[0.9950]]), tensor([[0.9983]]), tensor([[0.9954]]), tensor([[0.9944]]), tensor([[0.9935]]), tensor([[0.9910]]), tensor([[0.9834]]), tensor([[0.9834]]), tensor([[0.9802]]), tensor([[0.9805]]), tensor([[0.9808]]), tensor([[0.9813]]), tensor([[0.9800]]), tensor([[0.9790]]), tensor([[0.9779]]), tensor([[0.9775]])]",29,66
26,gpt-4,Lorem Ipsum Standard Passage,31,27,ud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit,"['ud', ' exercitation', ' ullam', 'co', ' labor', 'is', ' nisi', ' ut', ' aliqu', 'ip', ' ex']","['ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit']","[' ea', ' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit', ' in', ' volupt', 'ate', ' velit']",0.0625,"ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim", ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit,tensor([[1.]]),13,"[tensor([[0.8000]]), tensor([[0.8275]]), tensor([[0.8673]]), tensor([[0.9169]]), tensor([[0.9379]]), tensor([[0.9450]]), tensor([[0.9618]]), tensor([[0.9681]]), tensor([[0.9727]]), tensor([[0.9877]]), tensor([[0.9897]]), tensor([[0.9962]]), tensor([[1.]]), tensor([[0.9974]]), tensor([[0.9894]]), tensor([[0.9862]]), tensor([[0.9788]]), tensor([[0.9831]]), tensor([[0.9797]]), tensor([[0.9814]]), tensor([[0.9695]]), tensor([[0.9691]]), tensor([[0.9651]]), tensor([[0.9598]]), tensor([[0.9606]]), tensor([[0.9607]]), tensor([[0.9579]]), tensor([[0.9586]]), tensor([[0.9583]]), tensor([[0.9572]]), tensor([[0.9551]]), tensor([[0.9516]]), tensor([[0.9508]]), tensor([[0.9505]])]",30,56
29,gpt-4,Lorem Ipsum Standard Passage,43,27, commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Except,"[' commodo', ' consequat', '.', ' Duis', ' aute', ' ir', 'ure', ' dolor', ' in', ' repreh', 'enderit']","['in', ' volupt', 'ate', ' velit', ' esse', ' c', 'illum', ' dolore', ' eu', ' fug', 'iat', ' nulla', ' pari', 'atur', '.', ' Except']","[' in', ' volupt', 'ate', ' velit', ' esse', ' c', 'illum', ' dolore', ' eu', ' fug', 'iat', ' nulla', ' pari', 'atur', '.', ' Except']",0.0625,"in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.", in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Except,tensor([[0.9911]]),12,"[tensor([[0.7947]]), tensor([[0.8212]]), tensor([[0.8566]]), tensor([[0.8835]]), tensor([[0.8903]]), tensor([[0.9307]]), tensor([[0.9402]]), tensor([[0.9238]]), tensor([[0.9581]]), tensor([[0.9788]]), tensor([[0.9843]]), tensor([[0.9911]]), tensor([[0.9903]]), tensor([[0.9874]]), tensor([[0.9765]]), tensor([[0.9786]]), tensor([[0.9735]]), tensor([[0.9754]]), tensor([[0.9752]]), tensor([[0.9746]]), tensor([[0.9729]]), tensor([[0.9699]]), tensor([[0.9698]]), tensor([[0.9681]]), tensor([[0.9679]]), tensor([[0.9642]]), tensor([[0.9643]]), tensor([[0.9614]])]",42,68
