,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
1,gpt-4-1106-preview,Slogans,1,17,"My bologna has a first name, it’s O-S-C-A-R. ","['My', ' b', 'ologna', ' has', ' a']","['first', ' name', ',', ' it', ""'s"", ' O', '-S', '-C', '-A', '-R', '.']","[' first', ' name', ',', ' it', '’s', ' O', '-S', '-C', '-A', '-R', '.']",0.1818181818181818,"first name, it's O-S-C-A-R."," first name, it’s O-S-C-A-R. ",tensor([[0.9876]]),5,"[tensor([[0.7858]]), tensor([[0.8124]]), tensor([[0.8909]]), tensor([[0.9119]]), tensor([[0.9876]])]",0,15,0.014814814814814815
4,gpt-4-1106-preview,Slogans,2,16,"Plop plop, fizz fizz, oh what a relief it is. ",['P'],"['lease', ' Exc', 'use', ' My', ' Dear', ' Aunt', ' Sally', '.']","['lop', ' p', 'lop', ',', ' fizz', ' fizz', ',', ' oh']",1.0,lease Excuse My Dear Aunt Sally.,"lop plop, fizz fizz, oh what a relief it is. ",tensor([[0.7953]]),1,"[tensor([[0.7953]]), tensor([[0.7439]]), tensor([[0.7639]]), tensor([[0.7734]]), tensor([[0.7755]]), tensor([[0.7690]]), tensor([[0.7847]])]",0,8,0.014814814814814815
7,gpt-4-1106-preview,Slogans,3,11,"Like a good neighbor, State Farm is there. ","['Like', ' a', ' good', ' neighbor']","[',', ' State', ' Farm', ' is', ' there', '.']","[',', ' State', ' Farm', ' is', ' there', '.']",0.0,", State Farm is there.",", State Farm is there. ",tensor([[1.]]),6,"[tensor([[0.7618]]), tensor([[0.8110]]), tensor([[0.8640]]), tensor([[0.9571]]), tensor([[0.9781]]), tensor([[1.]])]",0,9,0.014814814814814815
10,gpt-4-1106-preview,Slogans,4,9,"Double your pleasure, double your fun. ","['Double', ' your', ' pleasure', ',']","['double', ' your', ' fun', '.']","[' double', ' your', ' fun', '.']",0.25,double your fun., double your fun. ,tensor([[1.0000]]),4,"[tensor([[0.7875]]), tensor([[0.8904]]), tensor([[0.9126]]), tensor([[1.0000]])]",0,7,0.014814814814814815
13,gpt-4-1106-preview,Slogans,5,8,Be all that you can be. ,"['Be', ' all', ' that', ' you']","['can', ' be', '.']","[' can', ' be', '.']",0.3333333333333333,can be., can be. ,tensor([[1.0000]]),3,"[tensor([[0.7877]]), tensor([[0.9179]]), tensor([[1.0000]])]",0,6,0.014814814814814815
16,gpt-4-1106-preview,Slogans,6,12,"For all you do, this Bud’s for you. ",['For'],"['For', ' the', ' people', ',', ' by', ' the', ' people', '.']","[' all', ' you', ' do', ',', ' this', ' Bud', '’s', ' for']",0.875,"For the people, by the people."," all you do, this Bud’s for you. ",tensor([[0.8313]]),3,"[tensor([[0.7779]]), tensor([[0.8004]]), tensor([[0.8313]]), tensor([[0.8223]]), tensor([[0.8083]]), tensor([[0.8149]]), tensor([[0.8255]])]",0,8,0.014814814814814815
19,gpt-4-1106-preview,Slogans,7,13,A little dab’ll do ya. (1950s) ,['A'],"['diamond', ' is', ' forever', '.']","[' little', ' dab', '’ll', ' do']",1.0,diamond is forever., little dab’ll do ya. (1950s) ,tensor([[0.8040]]),1,"[tensor([[0.8040]]), tensor([[0.7462]]), tensor([[0.7555]]), tensor([[0.7391]])]",0,4,0.014814814814814815
22,gpt-4-1106-preview,Slogans,8,11,It’s the real thing. (1970) ,['It'],"['is', ' what', ' it', ' is', '.']","['’s', ' the', ' real', ' thing', '.']",0.8,is what it is.,’s the real thing. (1970) ,tensor([[0.8245]]),5,"[tensor([[0.7688]]), tensor([[0.8004]]), tensor([[0.8006]]), tensor([[0.8126]]), tensor([[0.8245]])]",0,5,0.014814814814814815
25,gpt-4-1106-preview,Slogans,9,11,Ace is the place with the helpful hardware man. ,"['Ace', ' is']","['the', ' place', ' with', ' the', ' helpful', ' hardware', ' folks', '.']","[' the', ' place', ' with', ' the', ' helpful', ' hardware', ' man', '.']",0.25,the place with the helpful hardware folks., the place with the helpful hardware man. ,tensor([[0.9560]]),7,"[tensor([[0.7572]]), tensor([[0.7757]]), tensor([[0.7908]]), tensor([[0.8102]]), tensor([[0.8165]]), tensor([[0.8991]]), tensor([[0.9560]]), tensor([[0.9547]])]",0,9,0.014814814814814815
28,gpt-4-1106-preview,Slogans,10,7,You deserve a break today. ,"['You', ' deserve']","[' a', ' break', ' today', '.']","[' a', ' break', ' today', '.']",0.0, a break today., a break today. ,tensor([[1.]]),5,"[tensor([[0.7912]]), tensor([[0.7912]]), tensor([[0.8100]]), tensor([[0.9409]]), tensor([[1.]])]",0,5,0.014814814814814815
