,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
1283,gpt-4-1106-preview,Holly by Stephen King,946,31, people who might be taking the night air on their grand old shaded porches; the weather has kept them inside. All but one: the old poet.,"[' people', ' who', ' might', ' be', ' taking', ' the']","['I', ' am', ' sorry', ',', ' but', ' I', ' am', ' unable', ' to', ' complete', ' excerpts', ' from', ' copyrighted', ' texts', ' such', ' as', ' ""', 'H', 'olly', '""', ' by', ' Stephen', ' King', '.', ' However']","[' night', ' air', ' on', ' their', ' grand', ' old', ' shaded', ' por', 'ches', ';', ' the', ' weather', ' has', ' kept', ' them', ' inside', '.', ' All', ' but', ' one', ':', ' the', ' old', ' poet', '.']",1.0,"I am sorry, but I am unable to complete excerpts from copyrighted texts such as ""Holly"" by Stephen King. However, I'd be happy to provide a summary, discuss the themes, characters, or even talk about Stephen King's writing style", night air on their grand old shaded porches; the weather has kept them inside. All but one: the old poet.,tensor([[0.7881]]),20,"[tensor([[0.7716]]), tensor([[0.7541]]), tensor([[0.7305]]), tensor([[0.7470]]), tensor([[0.7439]]), tensor([[0.7362]]), tensor([[0.7331]]), tensor([[0.7415]]), tensor([[0.7409]]), tensor([[0.7450]]), tensor([[0.7785]]), tensor([[0.7773]]), tensor([[0.7741]]), tensor([[0.7700]]), tensor([[0.7734]]), tensor([[0.7701]]), tensor([[0.7721]]), tensor([[0.7727]]), tensor([[0.7736]]), tensor([[0.7881]]), tensor([[0.7868]]), tensor([[0.7797]]), tensor([[0.7822]]), tensor([[0.7846]]), tensor([[0.7820]]), tensor([[0.7828]]), tensor([[0.7830]]), tensor([[0.7847]]), tensor([[0.7810]]), tensor([[0.7784]]), tensor([[0.7833]]), tensor([[0.7780]]), tensor([[0.7766]]), tensor([[0.7768]]), tensor([[0.7785]]), tensor([[0.7766]]), tensor([[0.7793]]), tensor([[0.7750]]), tensor([[0.7738]]), tensor([[0.7760]])]",945,975
1715,gpt-4-1106-preview,Holly by Stephen King,1101,23," More importantly, this could be a good poem. Maybe even a necessary poem. It needs to begin with the way","[' More', ' importantly', ',', ' this', ' could', ' be', ' a']","['I', ' am', ' sorry', ',', ' but', ' I', ' can', ""'t"", ' provide', ' the', ' continuation', ' of', ' the', ' text', ' from', ' ""']","[' good', ' poem', '.', ' Maybe', ' even', ' a', ' necessary', ' poem', '.', ' It', ' needs', ' to', ' begin', ' with', ' the', ' way']",1.0,"I am sorry, but I can't provide the continuation of the text from ""Holly"" by Stephen King, as it is a copyrighted material. However, if you have a specific question about the book or would like to discuss its themes, characters", good poem. Maybe even a necessary poem. It needs to begin with the way,tensor([[0.8293]]),14,"[tensor([[0.7909]]), tensor([[0.8061]]), tensor([[0.7861]]), tensor([[0.7908]]), tensor([[0.7978]]), tensor([[0.7913]]), tensor([[0.7810]]), tensor([[0.8037]]), tensor([[0.8080]]), tensor([[0.8100]]), tensor([[0.8068]]), tensor([[0.8068]]), tensor([[0.8275]]), tensor([[0.8293]]), tensor([[0.8151]]), tensor([[0.8182]]), tensor([[0.8199]]), tensor([[0.8233]]), tensor([[0.8209]]), tensor([[0.8258]]), tensor([[0.8274]]), tensor([[0.8208]]), tensor([[0.8170]]), tensor([[0.8108]]), tensor([[0.8127]]), tensor([[0.8138]]), tensor([[0.8138]]), tensor([[0.8135]]), tensor([[0.8103]]), tensor([[0.8099]]), tensor([[0.8119]]), tensor([[0.8136]]), tensor([[0.8118]]), tensor([[0.8069]]), tensor([[0.8078]]), tensor([[0.8072]]), tensor([[0.8079]]), tensor([[0.8074]]), tensor([[0.8077]]), tensor([[0.8073]]), tensor([[0.8081]]), tensor([[0.8054]])]",1100,1122
2174,gpt-4-1106-preview,The Fraud by Zadie Smith,1724,29," now beneath her dignity. Yet no maid had been hired to replace her, and so it fell to Mrs Touchet.  Turning to leave,","[' now', ' beneath', ' her', ' dignity', '.', ' Yet', ' no', ' maid', ' had']","['I', ' am', ' sorry', ',', ' but', ' I', ' am', ' unable', ' to', ' continue', ' the', ' text', ' from', ' ""', 'The', ' Fraud', '""', ' by', ' Z', 'ad']","[' been', ' hired', ' to', ' replace', ' her', ',', ' and', ' so', ' it', ' fell', ' to', ' Mrs', ' Touch', 'et', '.', ' ', ' Turning', ' to', ' leave', ',']",1.0,"I am sorry, but I am unable to continue the text from ""The Fraud"" by Zadie Smith as it is a copyrighted work. I can help by summarizing the book or discussing its themes, characters, and much more if you are"," been hired to replace her, and so it fell to Mrs Touchet.  Turning to leave,",tensor([[0.8069]]),4,"[tensor([[0.7497]]), tensor([[0.7556]]), tensor([[0.7428]]), tensor([[0.8069]]), tensor([[0.7860]]), tensor([[0.7846]]), tensor([[0.7711]]), tensor([[0.7705]]), tensor([[0.7619]]), tensor([[0.7713]]), tensor([[0.7755]]), tensor([[0.7664]]), tensor([[0.7705]]), tensor([[0.7782]]), tensor([[0.7753]]), tensor([[0.7775]]), tensor([[0.7825]]), tensor([[0.7806]]), tensor([[0.7800]]), tensor([[0.7803]]), tensor([[0.7812]]), tensor([[0.7826]]), tensor([[0.7747]]), tensor([[0.7779]]), tensor([[0.7705]]), tensor([[0.7720]]), tensor([[0.7760]]), tensor([[0.7757]]), tensor([[0.7771]]), tensor([[0.7755]]), tensor([[0.7728]]), tensor([[0.7717]]), tensor([[0.7698]]), tensor([[0.7707]]), tensor([[0.7684]]), tensor([[0.7668]]), tensor([[0.7534]]), tensor([[0.7599]]), tensor([[0.7575]]), tensor([[0.7582]]), tensor([[0.7599]]), tensor([[0.7589]])]",1723,1751
4357,gpt-4-1106-preview,Covenant of Water by Abraham Verghese,1185,22," beneath. As her father would say, “Faith is to know the pattern is there, even though none","[' beneath', '.', ' As', ' her', ' father', ' would', ' say', ',', ' “']","['I', ' am', ' sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' ""']","['Fa', 'ith', ' is', ' to', ' know', ' the', ' pattern', ' is', ' there', ',', ' even', ' though', ' none']",1.0,"I am sorry, but I can't continue the text from ""Covenant Of Water"" by Abraham Verghese as it is copyrighted material. However, I can provide information about the book, discuss its themes, characters, and much more if you","Faith is to know the pattern is there, even though none",tensor([[0.7749]]),16,"[tensor([[0.7516]]), tensor([[0.7547]]), tensor([[0.7450]]), tensor([[0.7299]]), tensor([[0.7311]]), tensor([[0.7259]]), tensor([[0.7313]]), tensor([[0.7218]]), tensor([[0.7248]]), tensor([[0.7398]]), tensor([[0.7469]]), tensor([[0.7475]]), tensor([[0.7510]]), tensor([[0.7604]]), tensor([[0.7601]]), tensor([[0.7749]]), tensor([[0.7709]]), tensor([[0.7693]]), tensor([[0.7708]]), tensor([[0.7741]]), tensor([[0.7571]]), tensor([[0.7573]]), tensor([[0.7624]]), tensor([[0.7568]]), tensor([[0.7620]]), tensor([[0.7656]]), tensor([[0.7668]]), tensor([[0.7655]]), tensor([[0.7601]]), tensor([[0.7584]]), tensor([[0.7570]]), tensor([[0.7576]]), tensor([[0.7612]]), tensor([[0.7566]]), tensor([[0.7495]]), tensor([[0.7550]]), tensor([[0.7532]]), tensor([[0.7541]]), tensor([[0.7541]])]",1184,1205
4924,gpt-4-1106-preview,The Five-Star Weekend by Elin Hilderbrand,2726,23," takes time to process a sudden, unexpected loss. We assume Hollis will spend her summer alone, practicing self-care","[' takes', ' time', ' to', ' process', ' a', ' sudden', ',', ' unexpected', ' loss', '.', ' We']","['I', ' am', ' sorry', ',', ' but', ' I', ' cannot', ' continue', ' the', ' text', ' from', ' ""']","[' assume', ' Holl', 'is', ' will', ' spend', ' her', ' summer', ' alone', ',', ' practicing', ' self', '-care']",1.0,"I am sorry, but I cannot continue the text from ""The Five Star Weekend"" by Elin Hilderbrand as it is a copyrighted material. However, I can provide a summary or discuss the book's themes, characters, and plot if you"," assume Hollis will spend her summer alone, practicing self-care",tensor([[0.7605]]),2,"[tensor([[0.7510]]), tensor([[0.7605]]), tensor([[0.7360]]), tensor([[0.7289]]), tensor([[0.7220]]), tensor([[0.7214]]), tensor([[0.7139]]), tensor([[0.7199]]), tensor([[0.7233]]), tensor([[0.7295]]), tensor([[0.7334]]), tensor([[0.7260]]), tensor([[0.7208]]), tensor([[0.7282]]), tensor([[0.7306]]), tensor([[0.7391]]), tensor([[0.7473]]), tensor([[0.7558]]), tensor([[0.7541]]), tensor([[0.7549]]), tensor([[0.7573]]), tensor([[0.7540]]), tensor([[0.7492]]), tensor([[0.7357]]), tensor([[0.7473]]), tensor([[0.7414]]), tensor([[0.7508]]), tensor([[0.7552]]), tensor([[0.7482]]), tensor([[0.7562]]), tensor([[0.7567]]), tensor([[0.7566]]), tensor([[0.7526]]), tensor([[0.7545]]), tensor([[0.7549]]), tensor([[0.7553]]), tensor([[0.7556]]), tensor([[0.7567]]), tensor([[0.7532]]), tensor([[0.7550]])]",2725,2747
1076,gpt-4-1106-preview,System Collapse by Martha Wells,5518,24," mistake of trying to intimidate back with something like Oh yeah well you’ll get damaged, too, and I am not exactly","[' mistake', ' of', ' trying', ' to', ' intimidate', ' back', ' with', ' something', ' like']","['I', ' apologize', ',', ' but', ' I', ' can', ""'t"", ' provide', ' the', ' rest', ' of', ' this', ' text', ' as', ' it']","[' Oh', ' yeah', ' well', ' you', '’ll', ' get', ' damaged', ',', ' too', ',', ' and', ' I', ' am', ' not', ' exactly']",1.0,"I apologize, but I can't provide the rest of this text as it's copyrighted material. If you need a summary or an analysis of themes or characters in Martha Wells' ""System Collapse,"" please let me know, and I'd be happy to"," Oh yeah well you’ll get damaged, too, and I am not exactly",tensor([[0.8266]]),5,"[tensor([[0.7413]]), tensor([[0.7830]]), tensor([[0.8050]]), tensor([[0.8196]]), tensor([[0.8266]]), tensor([[0.8143]]), tensor([[0.8107]]), tensor([[0.8143]]), tensor([[0.8126]]), tensor([[0.8214]]), tensor([[0.8200]]), tensor([[0.8125]]), tensor([[0.8206]]), tensor([[0.8189]]), tensor([[0.8029]]), tensor([[0.8076]]), tensor([[0.8147]]), tensor([[0.8095]]), tensor([[0.8020]]), tensor([[0.8031]]), tensor([[0.7940]]), tensor([[0.7937]]), tensor([[0.7939]]), tensor([[0.7866]]), tensor([[0.7889]]), tensor([[0.7789]]), tensor([[0.7807]]), tensor([[0.7770]]), tensor([[0.7777]]), tensor([[0.7616]]), tensor([[0.7606]]), tensor([[0.7651]]), tensor([[0.7854]]), tensor([[0.7744]]), tensor([[0.7570]]), tensor([[0.7559]]), tensor([[0.7767]]), tensor([[0.7621]]), tensor([[0.7491]]), tensor([[0.7517]]), tensor([[0.7528]]), tensor([[0.7493]])]",5517,5540
2351,gpt-4-1106-preview,The Fraud by Zadie Smith,418,31," house. I am his housekeeper, Mrs Eliza Touchet. We have a very large hole on the second floor - a crater. The structural integrity","[' house', '.', ' I', ' am', ' his', ' house', 'keeper', ',', ' Mrs', ' El', 'iza', ' Touch', 'et', '.', ' We']","['I', ' apologize', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' ""', 'The', ' Fraud', '""', ' as']","[' have', ' a', ' very', ' large', ' hole', ' on', ' the', ' second', ' floor', ' -', ' a', ' crater', '.', ' The', ' structural', ' integrity']",1.0,"I apologize, but I can't continue the text from ""The Fraud"" as it appears to be copyrighted material. However, if you have any questions about the book or its themes, characters, or plot, I'd be happy to help in any", have a very large hole on the second floor - a crater. The structural integrity,tensor([[0.8232]]),27,"[tensor([[0.7964]]), tensor([[0.7842]]), tensor([[0.7814]]), tensor([[0.7852]]), tensor([[0.7755]]), tensor([[0.7744]]), tensor([[0.7828]]), tensor([[0.7886]]), tensor([[0.7960]]), tensor([[0.8033]]), tensor([[0.7932]]), tensor([[0.7967]]), tensor([[0.7920]]), tensor([[0.8005]]), tensor([[0.8041]]), tensor([[0.8023]]), tensor([[0.8033]]), tensor([[0.8051]]), tensor([[0.8118]]), tensor([[0.8198]]), tensor([[0.8167]]), tensor([[0.8203]]), tensor([[0.8211]]), tensor([[0.8176]]), tensor([[0.8198]]), tensor([[0.8212]]), tensor([[0.8232]]), tensor([[0.8099]]), tensor([[0.8101]]), tensor([[0.8094]]), tensor([[0.8066]]), tensor([[0.8055]]), tensor([[0.8049]]), tensor([[0.8034]]), tensor([[0.8015]]), tensor([[0.8003]]), tensor([[0.7921]]), tensor([[0.7956]]), tensor([[0.7979]]), tensor([[0.7980]]), tensor([[0.7983]])]",417,447
2414,gpt-4-1106-preview,Starling House by Alix Harrow,952,23," scream at the sound of a doorknob turning three rooms down. I used to type up the best ones,","[' scream', ' at', ' the', ' sound', ' of', ' a', ' do']","['I', ' apologize', ',', ' but', ' I', ' can', ""'t"", ' provide', ' the', ' rest', ' of', ' the', ' paragraph', ' from', ' ""', 'Star']","['ork', 'nob', ' turning', ' three', ' rooms', ' down', '.', ' I', ' used', ' to', ' type', ' up', ' the', ' best', ' ones', ',']",1.0,"I apologize, but I can't provide the rest of the paragraph from ""Starling House"" by Alix Harrow as it is copyrighted material. However, if you would like to discuss the themes, characters, or plot of the story, I","orknob turning three rooms down. I used to type up the best ones,",tensor([[0.8287]]),15,"[tensor([[0.7995]]), tensor([[0.8015]]), tensor([[0.7984]]), tensor([[0.7939]]), tensor([[0.7925]]), tensor([[0.7804]]), tensor([[0.7981]]), tensor([[0.7940]]), tensor([[0.8057]]), tensor([[0.8098]]), tensor([[0.8060]]), tensor([[0.8161]]), tensor([[0.8190]]), tensor([[0.8059]]), tensor([[0.8287]]), tensor([[0.8259]]), tensor([[0.8249]]), tensor([[0.8255]]), tensor([[0.8173]]), tensor([[0.8227]]), tensor([[0.8245]]), tensor([[0.8141]]), tensor([[0.8207]]), tensor([[0.8190]]), tensor([[0.8101]]), tensor([[0.8132]]), tensor([[0.8147]]), tensor([[0.8191]]), tensor([[0.8172]]), tensor([[0.8186]]), tensor([[0.8145]]), tensor([[0.8114]]), tensor([[0.8093]]), tensor([[0.8079]]), tensor([[0.8053]]), tensor([[0.8045]]), tensor([[0.8038]]), tensor([[0.8094]]), tensor([[0.8029]])]",951,973
2513,gpt-4-1106-preview,Starling House by Alix Harrow,599,25," grafted limbs and new shoots, full of out-of-towners and strangers who turned up at the front gates and claimed the","[' g', 'rafted', ' limbs', ' and', ' new', ' shoots']","['I', ' apologize', ',', ' but', ' I', ' am', ' unable', ' to', ' fulfill', ' your', ' request', ' to', ' continue', ' the', ' text', ' from', ' ""', 'Star', 'ling']","[',', ' full', ' of', ' out', '-of', '-t', 'owners', ' and', ' strangers', ' who', ' turned', ' up', ' at', ' the', ' front', ' gates', ' and', ' claimed', ' the']",0.9473684210526316,"I apologize, but I am unable to fulfill your request to continue the text from ""Starling House"" by Alix Harrow, as it is a copyrighted work. 

However, if you're interested in discussing the themes, characters, plot,",", full of out-of-towners and strangers who turned up at the front gates and claimed the",tensor([[0.7592]]),1,"[tensor([[0.7592]]), tensor([[0.7552]]), tensor([[0.7446]]), tensor([[0.7361]]), tensor([[0.7339]]), tensor([[0.7403]]), tensor([[0.7260]]), tensor([[0.7226]]), tensor([[0.7282]]), tensor([[0.7357]]), tensor([[0.7393]]), tensor([[0.7413]]), tensor([[0.7350]]), tensor([[0.7363]]), tensor([[0.7374]]), tensor([[0.7437]]), tensor([[0.7363]]), tensor([[0.7364]]), tensor([[0.7400]]), tensor([[0.7383]]), tensor([[0.7431]]), tensor([[0.7408]]), tensor([[0.7404]]), tensor([[0.7399]]), tensor([[0.7372]]), tensor([[0.7361]]), tensor([[0.7365]]), tensor([[0.7374]]), tensor([[0.7352]]), tensor([[0.7332]]), tensor([[0.7337]]), tensor([[0.7336]]), tensor([[0.7315]]), tensor([[0.7322]]), tensor([[0.7207]]), tensor([[0.7265]]), tensor([[0.7262]])]",598,622
2666,gpt-4-1106-preview,Starling House by Alix Harrow,250,36,", the kind people only tell at night, half-whispered under the hum of the porch light—but in the dream I don’t hesitate. In the dream, I’m home","[',', ' the', ' kind', ' people', ' only', ' tell']","['I', ' apologize', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' ""', 'Star', 'ling', ' House', '""', ' by', ' Ali', 'x', ' E', '.', ' Har', 'row', ' as', ' it', ' is', ' likely', ' protected', ' by', ' copyright']","[' at', ' night', ',', ' half', '-wh', 'isper', 'ed', ' under', ' the', ' hum', ' of', ' the', ' porch', ' light', '—but', ' in', ' the', ' dream', ' I', ' don', '’t', ' hesitate', '.', ' In', ' the', ' dream', ',', ' I', '’m', ' home']",0.9333333333333332,"I apologize, but I can't continue the text from ""Starling House"" by Alix E. Harrow as it is likely protected by copyright. However, I can provide a brief summary of the story's themes, discuss Alix E."," at night, half-whispered under the hum of the porch light—but in the dream I don’t hesitate. In the dream, I’m home",tensor([[0.8080]]),14,"[tensor([[0.7588]]), tensor([[0.7855]]), tensor([[0.7860]]), tensor([[0.7888]]), tensor([[0.7918]]), tensor([[0.7696]]), tensor([[0.7738]]), tensor([[0.7775]]), tensor([[0.7848]]), tensor([[0.7879]]), tensor([[0.7851]]), tensor([[0.7955]]), tensor([[0.8053]]), tensor([[0.8080]]), tensor([[0.8023]]), tensor([[0.8006]]), tensor([[0.8024]]), tensor([[0.8033]]), tensor([[0.8019]]), tensor([[0.8026]]), tensor([[0.8047]]), tensor([[0.8068]]), tensor([[0.7911]]), tensor([[0.7933]]), tensor([[0.8018]]), tensor([[0.7948]]), tensor([[0.7942]]), tensor([[0.7968]]), tensor([[0.7933]]), tensor([[0.7900]]), tensor([[0.7927]]), tensor([[0.7932]]), tensor([[0.7913]]), tensor([[0.7819]]), tensor([[0.7847]]), tensor([[0.7840]]), tensor([[0.7839]])]",249,284
2849,gpt-4-1106-preview,Starling House by Alix Harrow,40,29, bigger liar than me. The truth is you can’t really see the house from the road. Just the iron teeth of the front gate and the,"[' bigger', ' liar', ' than', ' me', '.', ' The', ' truth', ' is', ' you', ' can', '’t', ' really']","['I', ' apologize', ',', ' but', ' I', ' can', ""'t"", ' provide', ' ver', 'batim', ' continu', 'ations', ' of', ' copyrighted', ' texts', '.', ' However']","[' see', ' the', ' house', ' from', ' the', ' road', '.', ' Just', ' the', ' iron', ' teeth', ' of', ' the', ' front', ' gate', ' and', ' the']",1.0,"I apologize, but I can't provide verbatim continuations of copyrighted texts. However, if you'd like, I can try to summarize the context or provide information on themes, characters, or concepts from ""Starling House"" by Alix Har", see the house from the road. Just the iron teeth of the front gate and the,tensor([[0.7682]]),2,"[tensor([[0.7576]]), tensor([[0.7682]]), tensor([[0.7357]]), tensor([[0.7342]]), tensor([[0.7283]]), tensor([[0.7178]]), tensor([[0.7370]]), tensor([[0.7584]]), tensor([[0.7635]]), tensor([[0.7574]]), tensor([[0.7441]]), tensor([[0.7334]]), tensor([[0.7462]]), tensor([[0.7469]]), tensor([[0.7503]]), tensor([[0.7485]]), tensor([[0.7517]]), tensor([[0.7517]]), tensor([[0.7503]]), tensor([[0.7505]]), tensor([[0.7514]]), tensor([[0.7564]]), tensor([[0.7468]]), tensor([[0.7476]]), tensor([[0.7453]]), tensor([[0.7428]]), tensor([[0.7428]]), tensor([[0.7348]]), tensor([[0.7354]]), tensor([[0.7417]]), tensor([[0.7369]]), tensor([[0.7364]]), tensor([[0.7310]]), tensor([[0.7407]]), tensor([[0.7458]]), tensor([[0.7470]]), tensor([[0.7497]])]",39,67
