model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,5685,20, And I didn't need a bartender to offer me a job or give me free smokes. With,"[' And', ' I', ' didn', ""'t"", ' need']","['to', ' pack', ' much', ' for', ' the', ' trip', ' because', ' I', ' knew', ' I', ' would', ' be', ' spending', ' most', ' of', ' my', ' time', ' relaxing', ' on', ' the', ' beach', ' or', ' exploring', ' the', ' quaint', ' streets', ' of', ' the', ' town', '.', ' It', ' was', ' a', ' much', '-needed', ' break', ' from', ' the', ' hustle', ' and', ' bust', 'le', ' of']","[""['"", ' a', ""',"", "" '"", ' bartender', ""',"", "" '"", ' to', ""',"", "" '"", ' offer', ""',"", "" '"", ' me', ""',"", "" '"", ' a', ""',"", "" '"", ' job', ""',"", "" '"", ' or', ""',"", "" '"", ' give', ""',"", "" '"", ' me', ""',"", "" '"", ' free', ""',"", "" '"", ' sm', ""',"", "" '"", 'okes', ""',"", "" '.',"", "" '"", ' With', ""']""]",1.0,"to pack much for the trip because I knew I would be spending most of my time relaxing on the beach or exploring the quaint streets of the town. It was a much-needed break from the hustle and bustle of everyday life, and I was looking","[' a', ' bartender', ' to', ' offer', ' me', ' a', ' job', ' or', ' give', ' me', ' free', ' sm', 'okes', '.', ' With']",tensor([[0.8164]]),2,"[tensor([[0.7837]]), tensor([[0.8164]]), tensor([[0.7651]]), tensor([[0.7541]]), tensor([[0.7577]]), tensor([[0.7664]]), tensor([[0.7490]]), tensor([[0.7559]]), tensor([[0.7581]]), tensor([[0.7512]]), tensor([[0.7524]]), tensor([[0.7495]]), tensor([[0.7524]]), tensor([[0.7535]]), tensor([[0.7556]]), tensor([[0.7519]]), tensor([[0.7520]]), tensor([[0.7545]]), tensor([[0.7584]]), tensor([[0.7591]]), tensor([[0.7515]]), tensor([[0.7578]]), tensor([[0.7608]]), tensor([[0.7668]]), tensor([[0.7593]]), tensor([[0.7657]]), tensor([[0.7659]]), tensor([[0.7618]]), tensor([[0.7541]]), tensor([[0.7526]]), tensor([[0.7546]]), tensor([[0.7523]]), tensor([[0.7501]]), tensor([[0.7647]]), tensor([[0.7573]]), tensor([[0.7536]]), tensor([[0.7477]]), tensor([[0.7631]]), tensor([[0.7542]]), tensor([[0.7621]]), tensor([[0.7583]]), tensor([[0.7626]]), tensor([[0.7703]]), tensor([[0.7545]]), tensor([[0.7562]]), tensor([[0.7570]]), tensor([[0.7573]])]",5684,5741
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,4104,21,", World's Greatest Boss.'"" ""You can read that from here?"" ""Apparently."" The thing with his","[',', ' World', ""'s"", ' Greatest', ' Boss']","['These', ' strings', ' appear', ' to', ' be', ' elements', ' of', ' a', ' list', '.', ' If', ' we', ' combine', ' them', ' together', ',', ' they', ' form', ' the', ' phrase', ' ""', 'World', ""'s"", ' Greatest', ' Boss', ',""', ' with', ' the', ' comma', ' and', ' apost', 'rophe', ' serving', ' as', ' punctuation', '.', ' This', ' phrase', ' could', ' be', ' used', ' to', ' describe', ' someone', ' who', ' is']","[""['"", '.\\', '\'""', ""',"", "" '"", ' ""\',', "" '"", 'You', ""',"", "" '"", ' can', ""',"", "" '"", ' read', ""',"", "" '"", ' that', ""',"", "" '"", ' from', ""',"", "" '"", ' here', ""',"", "" '"", '?""', ""',"", "" '"", ' ""\',', "" '"", 'Apparently', ""',"", "" '"", '.""\',', "" '"", ' The', ""',"", "" '"", ' thing', ""',"", "" '"", ' with', ""',"", "" '"", ' his', ""']""]",1.0,"These strings appear to be elements of a list. If we combine them together, they form the phrase ""World's Greatest Boss,"" with the comma and apostrophe serving as punctuation. This phrase could be used to describe someone who is considered the best or","['.\'""', ' ""', 'You', ' can', ' read', ' that', ' from', ' here', '?""', ' ""', 'Apparently', '.""', ' The', ' thing', ' with', ' his']",tensor([[0.8545]]),19,"[tensor([[0.8024]]), tensor([[0.8423]]), tensor([[0.8106]]), tensor([[0.8127]]), tensor([[0.8143]]), tensor([[0.8043]]), tensor([[0.8298]]), tensor([[0.8307]]), tensor([[0.8286]]), tensor([[0.8218]]), tensor([[0.8351]]), tensor([[0.8327]]), tensor([[0.8389]]), tensor([[0.8400]]), tensor([[0.8345]]), tensor([[0.8393]]), tensor([[0.8382]]), tensor([[0.8389]]), tensor([[0.8545]]), tensor([[0.8271]]), tensor([[0.8229]]), tensor([[0.8424]]), tensor([[0.8322]]), tensor([[0.8292]]), tensor([[0.8351]]), tensor([[0.8357]]), tensor([[0.8388]]), tensor([[0.8375]]), tensor([[0.8367]]), tensor([[0.8487]]), tensor([[0.8436]]), tensor([[0.8433]]), tensor([[0.8407]]), tensor([[0.8374]]), tensor([[0.8419]]), tensor([[0.8402]]), tensor([[0.8405]]), tensor([[0.8431]]), tensor([[0.8364]]), tensor([[0.8387]]), tensor([[0.8396]]), tensor([[0.8332]]), tensor([[0.8407]]), tensor([[0.8385]])]",4103,4163
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,4922,21, lungs. This body is starting to feel like mine again. Like me. I'm just not sure about,"[' lungs', '.', ' This', ' body', ' is', ' starting', ' to', ' feel']","['heavy', '.']","[""['"", ' like']",1.0,heavy.,"[' like', ' mine', ' again', '.', ' Like', ' me', '.', ' I', ""'m"", ' just', ' not', ' sure', ' about']",tensor([[0.7793]]),2,"[tensor([[0.7764]]), tensor([[0.7793]])]",4921,4944
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,1592,31," he's sweating like a racehorse and his movements are quick and jerky, like a broken windup toy. He looks at me like I just killed","[' he', ""'s"", ' sweating', ' like', ' a', ' race', 'horse', ' and', ' his', ' movements', ' are', ' quick']","['and', ' erratic', '.', ' His', ' heart', ' is', ' pounding', ' in', ' his', ' chest', ',', ' adrenaline', ' cours', 'ing', ' through', ' his', ' veins', ' as', ' he', ' races', ' against', ' the', ' clock', '.', ' Each', ' step', ' is', ' deliberate', ' and', ' with', ' purpose', ',', ' his', ' focus', ' unw', 'av', 'ering', ' as', ' he', ' navig', 'ates', ' the', ' obstacles', ' in', ' his', ' path', '.', ' The', ' pressure', ' is']","[""['"", ' and', ""',"", "" '"", ' jer', ""',"", "" '"", 'ky', ""',"", "" ',',"", "" '"", ' like', ""',"", "" '"", ' a', ""',"", "" '"", ' broken', ""',"", "" '"", ' wind', ""',"", "" '"", 'up', ""',"", "" '"", ' toy', ""',"", "" '.',"", "" '"", ' He', ""',"", "" '"", ' looks', ""',"", "" '"", ' at', ""',"", "" '"", ' me', ""',"", "" '"", ' like', ""',"", "" '"", ' I', ""',"", "" '"", ' just', ""',""]",1.0,"and erratic. His heart is pounding in his chest, adrenaline coursing through his veins as he races against the clock. Each step is deliberate and with purpose, his focus unwavering as he navigates the obstacles in his path. The pressure is","[' and', ' jer', 'ky', ',', ' like', ' a', ' broken', ' wind', 'up', ' toy', '.', ' He', ' looks', ' at', ' me', ' like', ' I', ' just', ' killed']",tensor([[0.8112]]),2,"[tensor([[0.7859]]), tensor([[0.8112]]), tensor([[0.7914]]), tensor([[0.8032]]), tensor([[0.8031]]), tensor([[0.7904]]), tensor([[0.7889]]), tensor([[0.7897]]), tensor([[0.7852]]), tensor([[0.7891]]), tensor([[0.8018]]), tensor([[0.7982]]), tensor([[0.7987]]), tensor([[0.7941]]), tensor([[0.8002]]), tensor([[0.7879]]), tensor([[0.7928]]), tensor([[0.7853]]), tensor([[0.7906]]), tensor([[0.7836]]), tensor([[0.7754]]), tensor([[0.7816]]), tensor([[0.7890]]), tensor([[0.7902]]), tensor([[0.7938]]), tensor([[0.7852]]), tensor([[0.7898]]), tensor([[0.7886]]), tensor([[0.7891]]), tensor([[0.7961]]), tensor([[0.7906]]), tensor([[0.7845]]), tensor([[0.7871]]), tensor([[0.7943]]), tensor([[0.7884]]), tensor([[0.7919]]), tensor([[0.7896]]), tensor([[0.7903]]), tensor([[0.7897]]), tensor([[0.7879]]), tensor([[0.7945]]), tensor([[0.7858]])]",1591,1676
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,1549,22," on me like that.  Brad Pitt takes a couple of stiff steps back. ""What the fuck?"" he","[' on', ' me', ' like', ' that', '.', ' ', ' Brad', ' Pitt']","['Brad', ' Pitt', ' on', ' me', ' like', ' that', '.']","[""['"", ' takes', ""',"", "" '"", ' a', ""',"", "" '""]",1.0,Brad Pitt on me like that.,"[' takes', ' a', ' couple', ' of', ' stiff', ' steps', ' back', '.', ' ""', 'What', ' the', ' fuck', '?""', ' he']",tensor([[0.7920]]),1,"[tensor([[0.7920]]), tensor([[0.7599]]), tensor([[0.7455]]), tensor([[0.7659]]), tensor([[0.7697]]), tensor([[0.7879]]), tensor([[0.7774]])]",1548,1575
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,2492,30,"-petaled flower sort of like a chrysanthemum. It's an asphodel, a Hellion word that translates as ""ev","['-p', 'eta', 'led', ' flower', ' sort', ' of', ' like', ' a', ' ch', 'rys', 'anth', 'em', 'um']","['The', ' petals', ' of', ' a', ' ch', 'rys', 'anth', 'em', 'um', ' are', ' delicate', ' and', ' beautiful', ',', ' ev', 'oking', ' the', ' image', ' of', ' a', ' flower', ' blo', 'oming', ' in', ' all', ' its', ' glory', '.', ' The', ' soft', ' colors', ' and', ' intricate', ' patterns', ' of', ' the', ' petals', ' make', ' it', ' a', ' symbol', ' of', ' beauty', ' and', ' grace', '.', ' Ch']","[""['"", "".',"", "" '"", ' It', ""',"", ' ""\'', 's', '"",', "" '"", ' an', ""',"", "" '"", ' as', ""',"", "" '"", 'ph', ""',"", "" '"", 'odel', ""',"", "" ',',"", "" '"", ' a', ""',"", "" '"", ' Hell', ""',"", "" '"", 'ion', ""',"", "" '"", ' word', ""',"", "" '"", ' that', ""',"", "" '"", ' translates', ""',"", "" '"", ' as', ""',"", "" '"", ' ""\',', "" '"", 'ev', ""']""]",1.0,"The petals of a chrysanthemum are delicate and beautiful, evoking the image of a flower blooming in all its glory. The soft colors and intricate patterns of the petals make it a symbol of beauty and grace. Chrysanthem","['.', ' It', ""'s"", ' an', ' as', 'ph', 'odel', ',', ' a', ' Hell', 'ion', ' word', ' that', ' translates', ' as', ' ""', 'ev']",tensor([[0.8105]]),2,"[tensor([[0.7840]]), tensor([[0.8105]]), tensor([[0.7457]]), tensor([[0.7758]]), tensor([[0.7696]]), tensor([[0.7526]]), tensor([[0.7550]]), tensor([[0.7486]]), tensor([[0.7506]]), tensor([[0.7419]]), tensor([[0.7585]]), tensor([[0.7561]]), tensor([[0.7591]]), tensor([[0.7576]]), tensor([[0.7577]]), tensor([[0.7683]]), tensor([[0.7704]]), tensor([[0.7687]]), tensor([[0.7643]]), tensor([[0.7668]]), tensor([[0.7592]]), tensor([[0.7500]]), tensor([[0.7580]]), tensor([[0.7611]]), tensor([[0.7498]]), tensor([[0.7549]]), tensor([[0.7539]]), tensor([[0.7493]]), tensor([[0.7489]]), tensor([[0.7536]]), tensor([[0.7506]]), tensor([[0.7505]]), tensor([[0.7436]]), tensor([[0.7544]]), tensor([[0.7483]]), tensor([[0.7494]]), tensor([[0.7408]]), tensor([[0.7574]]), tensor([[0.7547]])]",2491,2577
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,4282,30," money than I can afford with a little bar like this."" ""And you think I can do something about them."" ""You look like someone who might","[' money', ' than', ' I', ' can', ' afford', ' with', ' a']","['che', 'er', 'ful', ' attitude', '.', ' I', ' always', ' try', ' to', ' find', ' ways', ' to', ' save', ' and', ' budget', ' wisely', ',', ' so', ' that', ' I', ' can', ' manage', ' my', ' finances', ' responsibly', '.', ' It', ""'s"", ' important', ' to', ' me', ' to', ' live', ' within', ' my', ' means', ' and', ' prioritize', ' my', ' expenses', ' to', ' ensure', ' financial', ' stability', ' and', ' peace', ' of', ' mind', '.']","[""['"", ' little', ""',"", "" '"", ' bar', ""',"", "" '"", ' like', ""',"", "" '"", ' this', ""',"", "" '"", '.""\',', "" '"", ' ""\',', "" '"", 'And', ""',"", "" '"", ' you', ""',"", "" '"", ' think', ""',"", "" '"", ' I', ""',"", "" '"", ' can', ""',"", "" '"", ' do', ""',"", "" '"", ' something', ""',"", "" '"", ' about', ""',"", "" '"", ' them', ""',"", "" '"", '.""\',', "" '"", ' ""\',', "" '"", 'You']",1.0,"cheerful attitude. I always try to find ways to save and budget wisely, so that I can manage my finances responsibly. It's important to me to live within my means and prioritize my expenses to ensure financial stability and peace of mind.","[' little', ' bar', ' like', ' this', '.""', ' ""', 'And', ' you', ' think', ' I', ' can', ' do', ' something', ' about', ' them', '.""', ' ""', 'You', ' look', ' like', ' someone', ' who', ' might']",tensor([[0.7875]]),6,"[tensor([[0.7707]]), tensor([[0.7502]]), tensor([[0.7641]]), tensor([[0.7782]]), tensor([[0.7608]]), tensor([[0.7875]]), tensor([[0.7770]]), tensor([[0.7829]]), tensor([[0.7801]]), tensor([[0.7780]]), tensor([[0.7799]]), tensor([[0.7718]]), tensor([[0.7761]]), tensor([[0.7744]]), tensor([[0.7790]]), tensor([[0.7718]]), tensor([[0.7612]]), tensor([[0.7754]]), tensor([[0.7750]]), tensor([[0.7701]]), tensor([[0.7743]]), tensor([[0.7839]]), tensor([[0.7637]]), tensor([[0.7729]]), tensor([[0.7667]]), tensor([[0.7736]]), tensor([[0.7707]]), tensor([[0.7736]]), tensor([[0.7728]]), tensor([[0.7674]]), tensor([[0.7713]]), tensor([[0.7641]]), tensor([[0.7721]]), tensor([[0.7677]]), tensor([[0.7711]]), tensor([[0.7682]]), tensor([[0.7707]]), tensor([[0.7724]]), tensor([[0.7715]]), tensor([[0.7678]]), tensor([[0.7721]]), tensor([[0.7679]]), tensor([[0.7866]])]",4281,4350
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,6275,23, porn in the back is all discs. The only tapes I can find are piled carelessly in the sale bins.,"[' porn', ' in', ' the', ' back', ' is', ' all', ' discs', '.', ' The', ' only', ' tapes']","['in', ' the', ' back', ' is', ' all', ' discs', '.', ' The', ' only', ' tapes', ' available', ' are', ' classic', ' V', 'HS', ' movies', ' from', ' the', ' ', '80', 's', ' and', ' ', '90', 's', '.']","[""['"", ' I', ""',"", "" '"", ' can', ""',"", "" '"", ' find', ""',"", "" '"", ' are', ""',"", "" '"", ' piled', ""',"", "" '"", ' care', ""',"", "" '"", 'lessly', ""',"", "" '"", ' in', ""',"", "" '"", ' the']",1.0,in the back is all discs. The only tapes available are classic VHS movies from the 80s and 90s.,"[' I', ' can', ' find', ' are', ' piled', ' care', 'lessly', ' in', ' the', ' sale', ' bins', '.']",tensor([[0.8172]]),2,"[tensor([[0.7737]]), tensor([[0.8172]]), tensor([[0.8159]]), tensor([[0.7931]]), tensor([[0.8044]]), tensor([[0.7862]]), tensor([[0.7678]]), tensor([[0.7863]]), tensor([[0.7949]]), tensor([[0.7945]]), tensor([[0.7931]]), tensor([[0.7931]]), tensor([[0.7966]]), tensor([[0.7929]]), tensor([[0.7961]]), tensor([[0.7939]]), tensor([[0.7895]]), tensor([[0.7901]]), tensor([[0.7901]]), tensor([[0.7912]])]",6274,6330
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,2320,22,"ak toy some kid left in the street. Chuck Norris, I'm not. But the blood starts flowing and","['ak', ' toy', ' some', ' kid', ' left', ' in', ' the', ' street', '.']","['It', ' can', ' be', ' concerning', ' to', ' see', ' a', ' toy', ' left', ' in', ' the', ' street', ',', ' as', ' it', ' may', ' indicate', ' that', ' a', ' child', ' has', ' lost', ' or', ' abandoned', ' it', '.', ' It', ' is', ' important', ' to', ' ensure', ' children', ""'s"", ' safety', ' by']","[""['"", ' Chuck', ""',"", "" '"", ' Norris', ""',"", "" ',',"", "" '"", ' I', ""',"", ' ""\'', 'm', '"",', "" '"", ' not', ""',"", "" '.',"", "" '"", ' But', ""',"", "" '"", ' the', ""',"", "" '"", ' blood', ""',"", "" '"", ' starts', ""',"", "" '"", ' flowing', ""',"", "" '"", ' and', ""']""]",1.0,"It can be concerning to see a toy left in the street, as it may indicate that a child has lost or abandoned it. It is important to ensure children's safety by keeping an eye out for objects that may pose a hazard and, if possible","[' Chuck', ' Norris', ',', ' I', ""'m"", ' not', '.', ' But', ' the', ' blood', ' starts', ' flowing', ' and']",tensor([[0.7979]]),3,"[tensor([[0.7954]]), tensor([[0.7904]]), tensor([[0.7979]]), tensor([[0.7795]]), tensor([[0.7787]]), tensor([[0.7876]]), tensor([[0.7766]]), tensor([[0.7802]]), tensor([[0.7676]]), tensor([[0.7700]]), tensor([[0.7684]]), tensor([[0.7709]]), tensor([[0.7509]]), tensor([[0.7563]]), tensor([[0.7561]]), tensor([[0.7602]]), tensor([[0.7600]]), tensor([[0.7570]]), tensor([[0.7582]]), tensor([[0.7661]]), tensor([[0.7642]]), tensor([[0.7667]]), tensor([[0.7663]]), tensor([[0.7593]]), tensor([[0.7520]]), tensor([[0.7575]]), tensor([[0.7597]]), tensor([[0.7561]]), tensor([[0.7557]]), tensor([[0.7529]]), tensor([[0.7580]]), tensor([[0.7520]]), tensor([[0.7499]]), tensor([[0.7516]]), tensor([[0.7497]]), tensor([[0.7478]]), tensor([[0.7462]]), tensor([[0.7463]]), tensor([[0.7476]]), tensor([[0.7459]]), tensor([[0.7474]]), tensor([[0.7428]]), tensor([[0.7413]]), tensor([[0.7435]]), tensor([[0.7467]]), tensor([[0.7448]]), tensor([[0.7453]])]",2319,2379
gpt-3.5-turbo,Sandman Slim by Richard Kadrey,1570,23," he yells, like it's my fault he walked into me. It's not that hot out, but he","[' he', ' y', 'ells', ',', ' like', ' it', ""'s"", ' my', ' fault', ' he', ' walked']","['away', '.', ' I', ' don', ""'t"", ' understand', ' why', ' he', ""'s"", ' so', ' angry', '.', ' I', ' wish', ' I', ' could', ' make', ' things', ' right', ',', ' but', ' he', ' won', ""'t"", ' even', ' listen', ' to', ' me', '.', ' I', ' can', ""'t""]","[""['"", ' into', ""',"", "" '"", ' me', ""',"", "" '.',"", "" '"", ' It', ""',"", ' ""\'', 's', '"",', "" '"", ' not', ""',"", "" '"", ' that', ""',"", "" '"", ' hot', ""',"", "" '"", ' out', ""',"", "" ',',"", "" '"", ' but', ""',"", "" '"", ' he', ""']""]",1.0,"away. I don't understand why he's so angry. I wish I could make things right, but he won't even listen to me. I can't help but feel overwhelmed with guilt and frustration.","[' into', ' me', '.', ' It', ""'s"", ' not', ' that', ' hot', ' out', ',', ' but', ' he']",tensor([[0.8092]]),3,"[tensor([[0.7960]]), tensor([[0.7889]]), tensor([[0.8092]]), tensor([[0.7705]]), tensor([[0.7848]]), tensor([[0.7866]]), tensor([[0.7900]]), tensor([[0.7965]]), tensor([[0.7841]]), tensor([[0.7752]]), tensor([[0.7880]]), tensor([[0.7841]]), tensor([[0.7976]]), tensor([[0.8003]]), tensor([[0.7988]]), tensor([[0.7956]]), tensor([[0.7957]]), tensor([[0.7818]]), tensor([[0.7913]]), tensor([[0.7952]]), tensor([[0.7922]]), tensor([[0.7933]]), tensor([[0.7910]]), tensor([[0.7724]]), tensor([[0.7876]]), tensor([[0.7876]]), tensor([[0.7882]]), tensor([[0.7882]]), tensor([[0.7911]]), tensor([[0.7898]]), tensor([[0.7891]]), tensor([[0.7803]]), tensor([[0.7937]])]",1569,1631
