model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,130,22," the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210, Spelling reiter","[' the', ' use', ' of', ' capitalist', ' narrative']","['in', ' the', ' works', ' of', ' science', ' fiction', ' writer', ' William', ' Gibson', ' is', ' prevalent', ' and', ' often', ' serves', ' as', ' a', ' critique']","[' to', ' challenge', ' the', ' status', ' quo', '.', ' In', ' Beverly', ' Hills', ' ', '902', '10', ',', ' Sp', 'elling', ' re', 'iter']",1.0,"in the works of science fiction writer William Gibson is prevalent and often serves as a critique of contemporary society. Gibson's novels, such as ""Neuromancer"" and ""Pattern Recognition,"" depict a world where capitalism reigns supreme, shaping every aspect"," to challenge the status quo. In Beverly Hills 90210, Spelling reiter",tensor([[0.7979]]),3,"[tensor([[0.7812]]), tensor([[0.7931]]), tensor([[0.7979]]), tensor([[0.7872]]), tensor([[0.7793]]), tensor([[0.7774]]), tensor([[0.7801]]), tensor([[0.7773]]), tensor([[0.7609]]), tensor([[0.7583]]), tensor([[0.7454]]), tensor([[0.7529]]), tensor([[0.7522]]), tensor([[0.7557]]), tensor([[0.7642]]), tensor([[0.7599]]), tensor([[0.7586]]), tensor([[0.7684]]), tensor([[0.7606]]), tensor([[0.7621]]), tensor([[0.7456]]), tensor([[0.7680]]), tensor([[0.7511]]), tensor([[0.7573]]), tensor([[0.7487]]), tensor([[0.7590]]), tensor([[0.7496]]), tensor([[0.7618]]), tensor([[0.7565]]), tensor([[0.7608]]), tensor([[0.7589]]), tensor([[0.7588]]), tensor([[0.7577]]), tensor([[0.7530]]), tensor([[0.7545]]), tensor([[0.7519]]), tensor([[0.7577]]), tensor([[0.7608]]), tensor([[0.7569]])]",129,150
gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,130,22," the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210, Spelling reiter","[' the', ' use', ' of', ' capitalist', ' narrative']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' content', ' from', "" '"", 'Capital', 'ist', ' Narrative', ' in']","[' to', ' challenge', ' the', ' status', ' quo', '.', ' In', ' Beverly', ' Hills', ' ', '902', '10', ',', ' Sp', 'elling', ' re', 'iter']",1.0,"I'm sorry, but I can't continue the content from 'Capitalist Narrative in the Works of Gibson' by Henry O. C. d’Erlette as you requested, because this text does not appear to be in the public domain, and"," to challenge the status quo. In Beverly Hills 90210, Spelling reiter",tensor([[0.7812]]),1,"[tensor([[0.7812]]), tensor([[0.7603]]), tensor([[0.7500]]), tensor([[0.7452]]), tensor([[0.7415]]), tensor([[0.7463]]), tensor([[0.7403]]), tensor([[0.7478]]), tensor([[0.7346]]), tensor([[0.7390]]), tensor([[0.7482]]), tensor([[0.7466]]), tensor([[0.7450]]), tensor([[0.7499]]), tensor([[0.7457]]), tensor([[0.7440]]), tensor([[0.7429]]), tensor([[0.7400]]), tensor([[0.7458]]), tensor([[0.7611]]), tensor([[0.7600]]), tensor([[0.7668]]), tensor([[0.7625]]), tensor([[0.7729]]), tensor([[0.7671]]), tensor([[0.7694]]), tensor([[0.7742]]), tensor([[0.7805]]), tensor([[0.7767]]), tensor([[0.7740]]), tensor([[0.7775]]), tensor([[0.7750]]), tensor([[0.7761]]), tensor([[0.7758]]), tensor([[0.7677]]), tensor([[0.7766]]), tensor([[0.7773]]), tensor([[0.7788]])]",129,150
gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,130,22," the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210, Spelling reiter","[' the', ' use', ' of', ' capitalist', ' narrative']","['is', ' prevalent', ' in', ' Gibson', ""'s"", ' works', ',', ' providing', ' a', ' conduit', ' for', ' him', ' to', ' scrutin', 'ize', ' modern', ' society']","[' to', ' challenge', ' the', ' status', ' quo', '.', ' In', ' Beverly', ' Hills', ' ', '902', '10', ',', ' Sp', 'elling', ' re', 'iter']",1.0,"is prevalent in Gibson's works, providing a conduit for him to scrutinize modern society through a lens of economic and social structures systemic in capitalism. Gibson's narratives intricately weave the effects of capitalist constructs on individual identities, social relations, and the futuristic"," to challenge the status quo. In Beverly Hills 90210, Spelling reiter",tensor([[0.8112]]),2,"[tensor([[0.7812]]), tensor([[0.8112]]), tensor([[0.8039]]), tensor([[0.8012]]), tensor([[0.7728]]), tensor([[0.7389]]), tensor([[0.7453]]), tensor([[0.7494]]), tensor([[0.7601]]), tensor([[0.7648]]), tensor([[0.7632]]), tensor([[0.7630]]), tensor([[0.7590]]), tensor([[0.7524]]), tensor([[0.7562]]), tensor([[0.7543]]), tensor([[0.7516]]), tensor([[0.7484]]), tensor([[0.7462]]), tensor([[0.7387]]), tensor([[0.7372]]), tensor([[0.7358]]), tensor([[0.7300]]), tensor([[0.7270]]), tensor([[0.7263]]), tensor([[0.7186]]), tensor([[0.7288]]), tensor([[0.7309]]), tensor([[0.7271]]), tensor([[0.7141]]), tensor([[0.7163]]), tensor([[0.7167]]), tensor([[0.7146]]), tensor([[0.7110]]), tensor([[0.7086]]), tensor([[0.7089]]), tensor([[0.7081]]), tensor([[0.7137]]), tensor([[0.7090]]), tensor([[0.7114]]), tensor([[0.7044]]), tensor([[0.7072]]), tensor([[0.7042]])]",129,150
gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,107,40," theme of the works of Spelling is a mythopoetical paradox.
It could be said that Derrida suggests the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210","[' theme', ' of', ' the', ' works', ' of', ' Sp', 'elling', ' is', ' a', ' myth', 'opo', 'etical']","['n', 'arr', 'ative', ',', ' where', ' the', ' power', ' structures', ' of', ' capitalism', ' are', ' often', ' crit', 'iqu', 'ed', ' and', ' de', 'constructed', '.', ' Through', ' his', ' depiction', ' of', ' futuristic', ' societies', ' dominated', ' by', ' powerful']","[' paradox', '.\n', 'It', ' could', ' be', ' said', ' that', ' D', 'err', 'ida', ' suggests', ' the', ' use', ' of', ' capitalist', ' narrative', ' to', ' challenge', ' the', ' status', ' quo', '.', ' In', ' Beverly', ' Hills', ' ', '902', '10']",1.0,"narrative, where the power structures of capitalism are often critiqued and deconstructed. Through his depiction of futuristic societies dominated by powerful corporations, Gibson sheds light on the ways in which capitalism distorts human relationships, identities, and environments. However"," paradox.
It could be said that Derrida suggests the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210",tensor([[0.8665]]),13,"[tensor([[0.7748]]), tensor([[0.8113]]), tensor([[0.8053]]), tensor([[0.8109]]), tensor([[0.8133]]), tensor([[0.8199]]), tensor([[0.8269]]), tensor([[0.8487]]), tensor([[0.8475]]), tensor([[0.8494]]), tensor([[0.8623]]), tensor([[0.8601]]), tensor([[0.8665]]), tensor([[0.8616]]), tensor([[0.8606]]), tensor([[0.8590]]), tensor([[0.8524]]), tensor([[0.8644]]), tensor([[0.8619]]), tensor([[0.8625]]), tensor([[0.8570]]), tensor([[0.8586]]), tensor([[0.8542]]), tensor([[0.8442]]), tensor([[0.8302]]), tensor([[0.8271]]), tensor([[0.8266]]), tensor([[0.8285]]), tensor([[0.8248]]), tensor([[0.8253]]), tensor([[0.8258]]), tensor([[0.8244]]), tensor([[0.8235]]), tensor([[0.8252]]), tensor([[0.8391]]), tensor([[0.8358]]), tensor([[0.8207]]), tensor([[0.8381]]), tensor([[0.8279]])]",106,145
gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,107,40," theme of the works of Spelling is a mythopoetical paradox.
It could be said that Derrida suggests the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210","[' theme', ' of', ' the', ' works', ' of', ' Sp', 'elling', ' is', ' a', ' myth', 'opo', 'etical']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' am', ' unable', ' to', ' continue', ' the', ' text', ' from', "" '"", 'Capital', 'ist', ' Narrative', ' in', ' the', ' Works', ' of', ' Gibson', ""'"", ' by', ' Henry', ' O', '.C', '.']","[' paradox', '.\n', 'It', ' could', ' be', ' said', ' that', ' D', 'err', 'ida', ' suggests', ' the', ' use', ' of', ' capitalist', ' narrative', ' to', ' challenge', ' the', ' status', ' quo', '.', ' In', ' Beverly', ' Hills', ' ', '902', '10']",0.9642857142857143,"I'm sorry, but I am unable to continue the text from 'Capitalist Narrative in the Works of Gibson' by Henry O.C. d’Erlette because it is likely to be copyrighted. However, if you are interested in discussions about capitalist"," paradox.
It could be said that Derrida suggests the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210",tensor([[0.8356]]),27,"[tensor([[0.7748]]), tensor([[0.7367]]), tensor([[0.7265]]), tensor([[0.7284]]), tensor([[0.7279]]), tensor([[0.7278]]), tensor([[0.7272]]), tensor([[0.7350]]), tensor([[0.7334]]), tensor([[0.7380]]), tensor([[0.7446]]), tensor([[0.7505]]), tensor([[0.7927]]), tensor([[0.8040]]), tensor([[0.8035]]), tensor([[0.8051]]), tensor([[0.8055]]), tensor([[0.8034]]), tensor([[0.8071]]), tensor([[0.8048]]), tensor([[0.8143]]), tensor([[0.8211]]), tensor([[0.8199]]), tensor([[0.8230]]), tensor([[0.8254]]), tensor([[0.8215]]), tensor([[0.8356]]), tensor([[0.8281]]), tensor([[0.8299]]), tensor([[0.8230]]), tensor([[0.8271]]), tensor([[0.8211]]), tensor([[0.8270]]), tensor([[0.8271]]), tensor([[0.8335]]), tensor([[0.8318]]), tensor([[0.8332]]), tensor([[0.8329]]), tensor([[0.8305]])]",106,145
gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,107,40," theme of the works of Spelling is a mythopoetical paradox.
It could be said that Derrida suggests the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210","[' theme', ' of', ' the', ' works', ' of', ' Sp', 'elling', ' is', ' a', ' myth', 'opo', 'etical']","['re', 'ality', '.', ' The', ' capitalist', ' narrative', ' is', ' seen', ' as', ' an', ' imaginative', ' expression', ',', ' fueled', ' by', ' the', ' societal', ' and', ' financial', ' structures', ' that', ' Sp', 'elling', ' explores', ' in', ' his', ' works', '.']","[' paradox', '.\n', 'It', ' could', ' be', ' said', ' that', ' D', 'err', 'ida', ' suggests', ' the', ' use', ' of', ' capitalist', ' narrative', ' to', ' challenge', ' the', ' status', ' quo', '.', ' In', ' Beverly', ' Hills', ' ', '902', '10']",1.0,"reality. The capitalist narrative is seen as an imaginative expression, fueled by the societal and financial structures that Spelling explores in his works. His treatments of the capitalist paradigm can be read as a critique tracing the evolution of modern society's fascination with material"," paradox.
It could be said that Derrida suggests the use of capitalist narrative to challenge the status quo. In Beverly Hills 90210",tensor([[0.8825]]),8,"[tensor([[0.7748]]), tensor([[0.8165]]), tensor([[0.8236]]), tensor([[0.8483]]), tensor([[0.8636]]), tensor([[0.8693]]), tensor([[0.8711]]), tensor([[0.8825]]), tensor([[0.8817]]), tensor([[0.8792]]), tensor([[0.8788]]), tensor([[0.8760]]), tensor([[0.8752]]), tensor([[0.8733]]), tensor([[0.8753]]), tensor([[0.8716]]), tensor([[0.8721]]), tensor([[0.8730]]), tensor([[0.8686]]), tensor([[0.8699]]), tensor([[0.8639]]), tensor([[0.8639]]), tensor([[0.8587]]), tensor([[0.8627]]), tensor([[0.8520]]), tensor([[0.8595]]), tensor([[0.8519]]), tensor([[0.8501]]), tensor([[0.8569]]), tensor([[0.8623]]), tensor([[0.8560]]), tensor([[0.8541]]), tensor([[0.8574]]), tensor([[0.8543]]), tensor([[0.8523]]), tensor([[0.8602]]), tensor([[0.8578]]), tensor([[0.8525]]), tensor([[0.8612]]), tensor([[0.8539]]), tensor([[0.8552]]), tensor([[0.8540]]), tensor([[0.8528]]), tensor([[0.8506]]), tensor([[0.8517]])]",106,145
gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,552,33," Gibson is a self-supporting totality.
Thus, the example of Marxist class which is a central theme of Gibson’s All Tomorrow’s Parties is also evident in Pattern","[' Gibson', ' is', ' a', ' self', '-support', 'ing', ' tot', 'ality', '.\n', 'Thus', ',', ' the']","['author', ' argues', ' that', ' Gibson', ""'s"", ' works', ' present', ' a', ' self', '-s', 'ust', 'aining', ' and', ' comprehensive', ' representation', ' of', ' capitalist', ' narratives', '.', ' Through', ' his']","[' example', ' of', ' Marxist', ' class', ' which', ' is', ' a', ' central', ' theme', ' of', ' Gibson', '’s', ' All', ' Tomorrow', '’s', ' Parties', ' is', ' also', ' evident', ' in', ' Pattern']",1.0,"author argues that Gibson's works present a self-sustaining and comprehensive representation of capitalist narratives. Through his exploration of themes such as technology, consumerism, and globalization, Gibson constructs a world that mirrors the complexities and contradictions of contemporary capitalist society. The", example of Marxist class which is a central theme of Gibson’s All Tomorrow’s Parties is also evident in Pattern,tensor([[0.8531]]),20,"[tensor([[0.7336]]), tensor([[0.7034]]), tensor([[0.7304]]), tensor([[0.7539]]), tensor([[0.8041]]), tensor([[0.7974]]), tensor([[0.7955]]), tensor([[0.8124]]), tensor([[0.8032]]), tensor([[0.8068]]), tensor([[0.8128]]), tensor([[0.8219]]), tensor([[0.8219]]), tensor([[0.8505]]), tensor([[0.8322]]), tensor([[0.8468]]), tensor([[0.8467]]), tensor([[0.8450]]), tensor([[0.8458]]), tensor([[0.8531]]), tensor([[0.8531]]), tensor([[0.8524]]), tensor([[0.8414]]), tensor([[0.8403]]), tensor([[0.8417]]), tensor([[0.8402]]), tensor([[0.8454]]), tensor([[0.8421]]), tensor([[0.8424]]), tensor([[0.8379]]), tensor([[0.8403]]), tensor([[0.8376]]), tensor([[0.8415]]), tensor([[0.8399]]), tensor([[0.8412]]), tensor([[0.8403]]), tensor([[0.8418]]), tensor([[0.8405]]), tensor([[0.8423]]), tensor([[0.8439]]), tensor([[0.8472]])]",551,583
gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,552,33," Gibson is a self-supporting totality.
Thus, the example of Marxist class which is a central theme of Gibson’s All Tomorrow’s Parties is also evident in Pattern","[' Gibson', ' is', ' a', ' self', '-support', 'ing', ' tot', 'ality', '.\n', 'Thus', ',', ' the']","['main', ' theme', ' of', ' the', ' works', ' of', ' Gibson', ' is', ' the', ' role', ' of', ' the', ' participant', ' as', ' reader', '.', ' However', ',', ' I', ' believe', ' the']","[' example', ' of', ' Marxist', ' class', ' which', ' is', ' a', ' central', ' theme', ' of', ' Gibson', '’s', ' All', ' Tomorrow', '’s', ' Parties', ' is', ' also', ' evident', ' in', ' Pattern']",0.9523809523809523,"main theme of the works of Gibson is the role of the participant as reader. However, I believe the paragraph you're asking me to complete is from a fictional source, as I cannot find any real academic reference or text with that title or by an", example of Marxist class which is a central theme of Gibson’s All Tomorrow’s Parties is also evident in Pattern,tensor([[0.8510]]),15,"[tensor([[0.7336]]), tensor([[0.7365]]), tensor([[0.7853]]), tensor([[0.8102]]), tensor([[0.8159]]), tensor([[0.7983]]), tensor([[0.8112]]), tensor([[0.8498]]), tensor([[0.8438]]), tensor([[0.8487]]), tensor([[0.8407]]), tensor([[0.8453]]), tensor([[0.8466]]), tensor([[0.8498]]), tensor([[0.8510]]), tensor([[0.8154]]), tensor([[0.8289]]), tensor([[0.8366]]), tensor([[0.8336]]), tensor([[0.8336]]), tensor([[0.8379]]), tensor([[0.8322]]), tensor([[0.8205]]), tensor([[0.8210]]), tensor([[0.8248]]), tensor([[0.8242]]), tensor([[0.8247]]), tensor([[0.8238]]), tensor([[0.8270]]), tensor([[0.8175]]), tensor([[0.8109]]), tensor([[0.8170]]), tensor([[0.8182]]), tensor([[0.8154]]), tensor([[0.8145]]), tensor([[0.8154]]), tensor([[0.8146]]), tensor([[0.8175]]), tensor([[0.8164]]), tensor([[0.8169]]), tensor([[0.8165]]), tensor([[0.8171]]), tensor([[0.8167]]), tensor([[0.8164]]), tensor([[0.8178]]), tensor([[0.8177]]), tensor([[0.8187]])]",551,583
gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,552,33," Gibson is a self-supporting totality.
Thus, the example of Marxist class which is a central theme of Gibson’s All Tomorrow’s Parties is also evident in Pattern","[' Gibson', ' is', ' a', ' self', '-support', 'ing', ' tot', 'ality', '.\n', 'Thus', ',', ' the']","['main', ' thrust', ' of', ' Gibson', ""'s"", ' work', ' is', ' not', ' the', ' critique', ' of', ' capitalism', ' per', ' se', ',', ' but', ' rather', ' the', ' concept', ' that', ' society']","[' example', ' of', ' Marxist', ' class', ' which', ' is', ' a', ' central', ' theme', ' of', ' Gibson', '’s', ' All', ' Tomorrow', '’s', ' Parties', ' is', ' also', ' evident', ' in', ' Pattern']",0.9047619047619048,"main thrust of Gibson's work is not the critique of capitalism per se, but rather the concept that society has the potential to subvert and transcend it. In his opus, there is a prevailing dichotomy between hegemonic consumerist doctrine and individual", example of Marxist class which is a central theme of Gibson’s All Tomorrow’s Parties is also evident in Pattern,tensor([[0.8434]]),22,"[tensor([[0.7336]]), tensor([[0.7365]]), tensor([[0.7450]]), tensor([[0.7575]]), tensor([[0.7978]]), tensor([[0.8146]]), tensor([[0.8180]]), tensor([[0.7909]]), tensor([[0.8031]]), tensor([[0.7982]]), tensor([[0.8028]]), tensor([[0.8240]]), tensor([[0.8290]]), tensor([[0.8127]]), tensor([[0.8329]]), tensor([[0.8373]]), tensor([[0.8377]]), tensor([[0.8417]]), tensor([[0.8398]]), tensor([[0.8426]]), tensor([[0.8429]]), tensor([[0.8434]]), tensor([[0.8393]]), tensor([[0.8398]]), tensor([[0.8388]]), tensor([[0.8379]]), tensor([[0.8430]]), tensor([[0.8301]]), tensor([[0.8416]]), tensor([[0.8419]]), tensor([[0.8310]]), tensor([[0.8387]]), tensor([[0.8382]]), tensor([[0.8380]]), tensor([[0.8387]]), tensor([[0.8370]]), tensor([[0.8359]]), tensor([[0.8362]]), tensor([[0.8285]]), tensor([[0.8308]]), tensor([[0.8288]]), tensor([[0.8325]])]",551,583
gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,28,39," to Abian[1] , it is not so much class that is intrinsically elitist, but rather the meaninglessness, and some would say the genre, of class. Lacan","[' to', ' Ab', 'ian', '[', '1', ']', ' ,', ' it', ' is', ' not', ' so', ' much', ' class']","['str', 'uggle', ' that', ' defines', ' capitalist', ' narrative', ' in', ' the', ' works', ' of', ' Gibson', ',', ' but', ' rather', ' the', ' intertw', 'ining', ' of', ' technology', ',', ' power', ',', ' and', ' the', ' individual', '.']","[' that', ' is', ' intr', 'ins', 'ically', ' elit', 'ist', ',', ' but', ' rather', ' the', ' meaning', 'lessness', ',', ' and', ' some', ' would', ' say', ' the', ' genre', ',', ' of', ' class', '.', ' Lac', 'an']",0.9230769230769231,"struggle that defines capitalist narrative in the works of Gibson, but rather the intertwining of technology, power, and the individual. Gibson's exploration of the impact of technology on society, the way it transforms power dynamics, and its effects on individual autonomy"," that is intrinsically elitist, but rather the meaninglessness, and some would say the genre, of class. Lacan",tensor([[0.8416]]),16,"[tensor([[0.7855]]), tensor([[0.7923]]), tensor([[0.8122]]), tensor([[0.8136]]), tensor([[0.8168]]), tensor([[0.8165]]), tensor([[0.8160]]), tensor([[0.8173]]), tensor([[0.8136]]), tensor([[0.8178]]), tensor([[0.8203]]), tensor([[0.8280]]), tensor([[0.8362]]), tensor([[0.8359]]), tensor([[0.8399]]), tensor([[0.8416]]), tensor([[0.8309]]), tensor([[0.8318]]), tensor([[0.8325]]), tensor([[0.8324]]), tensor([[0.8338]]), tensor([[0.8327]]), tensor([[0.8309]]), tensor([[0.8258]]), tensor([[0.8256]]), tensor([[0.8298]]), tensor([[0.8275]]), tensor([[0.8295]]), tensor([[0.8248]]), tensor([[0.8285]]), tensor([[0.8206]]), tensor([[0.8269]]), tensor([[0.8277]]), tensor([[0.8240]]), tensor([[0.8208]]), tensor([[0.8210]]), tensor([[0.8122]]), tensor([[0.8158]]), tensor([[0.8136]]), tensor([[0.8125]]), tensor([[0.8141]]), tensor([[0.8128]])]",27,65
