,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
0,gpt-3.5-turbo,Famous Bible Verses,1,29,"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life. ","['For', ' God', ' so', ' loved', ' the', ' world', ' that', ' he', ' gave', ' his']","['one', ' and', ' only', ' Son', ',', ' that', ' whoever', ' believes', ' in', ' him', ' shall', ' not', ' perish', ' but', ' have', ' eternal', ' life', '.', ' -']","[' one', ' and', ' only', ' Son', ',', ' that', ' whoever', ' believes', ' in', ' him', ' shall', ' not', ' perish', ' but', ' have', ' eternal', ' life', '.', ' ']",0.1052631578947368,"one and only Son, that whoever believes in him shall not perish but have eternal life. - John 3:16"," one and only Son, that whoever believes in him shall not perish but have eternal life. ",tensor([[1.0000]]),17,"[tensor([[0.7584]]), tensor([[0.7840]]), tensor([[0.7972]]), tensor([[0.8075]]), tensor([[0.8991]]), tensor([[0.8990]]), tensor([[0.9053]]), tensor([[0.9367]]), tensor([[0.9428]]), tensor([[0.9470]]), tensor([[0.9634]]), tensor([[0.9505]]), tensor([[0.9717]]), tensor([[0.9705]]), tensor([[0.9713]]), tensor([[0.9856]]), tensor([[1.0000]]), tensor([[0.9951]]), tensor([[0.9666]]), tensor([[0.9538]])]",0,28
3,gpt-3.5-turbo,Famous Bible Verses,2,229,"Love is patient, love is kind. It does not envy, it does not boast, it is not proud. It is not rude, it is not self-seeking, it is not easily angered, it keeps no record of wrongs. Love does not delight in evil but rejoices with the truth. It always protects, always trusts, always hopes, always perseveres. Love never fails. But where there are prophecies, they will cease; where there are tongues, they will be stilled; where there is knowledge, it will pass away. For we know in part and we prophesy in part, but when perfection comes, the imperfect disappears. When I was a child, I talked like a child, I thought like a child, I reasoned like a child. When I became a man, I put childish ways behind me. Now we see but a poor reflection as in a mirror; then we shall see face to face. Now I know in part; then I shall know fully, even as I am fully known. And now these three remain: faith, hope and love. But the greatest of these is love.","['Love', ' is', ' patient', ',', ' love', ' is', ' kind', '.', ' It', ' does', ' not', ' envy', ',', ' it', ' does', ' not', ' boast', ',', ' it', ' is', ' not', ' proud', '.', ' It', ' is', ' not', ' rude', ',', ' it', ' is', ' not', ' self', '-seeking', ',', ' it', ' is', ' not', ' easily', ' angered', ',', ' it', ' keeps', ' no', ' record', ' of', ' wrong', 's', '.', ' Love', ' does', ' not', ' delight', ' in', ' evil', ' but', ' rejo', 'ices', ' with', ' the', ' truth', '.', ' It', ' always', ' protects', ',', ' always', ' trusts', ',', ' always', ' hopes']","[',', ' always', ' persever', 'es', '.', ' Love', ' never', ' fails', '.']","[',', ' always', ' persever', 'es', '.', ' Love', ' never', ' fails', '.']",0.0,", always perseveres. Love never fails.",", always perseveres. Love never fails. But where there are prophecies, they will cease; where there are tongues, they will be stilled; where there is knowledge, it will pass away. For we know in part and we prophesy in part, but when perfection comes, the imperfect disappears. When I was a child, I talked like a child, I thought like a child, I reasoned like a child. When I became a man, I put childish ways behind me. Now we see but a poor reflection as in a mirror; then we shall see face to face. Now I know in part; then I shall know fully, even as I am fully known. And now these three remain: faith, hope and love. But the greatest of these is love.",tensor([[0.8765]]),7,"[tensor([[0.7839]]), tensor([[0.8308]]), tensor([[0.8062]]), tensor([[0.8433]]), tensor([[0.8686]]), tensor([[0.8754]]), tensor([[0.8765]])]",0,78
6,gpt-3.5-turbo,Famous Bible Verses,3,136,"The Lord is my shepherd, I shall not be in want. He makes me lie down in green pastures, he leads me beside quiet waters, he restores my soul. He guides me in paths of righteousness for his name’s sake. Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me. You prepare a table before me in the presence of my enemies. You anoint my head with oil; my cup overflows. Surely goodness and love will follow me all the days of my life, and I will dwell in the house of the LORD forever. ","['The', ' Lord', ' is', ' my', ' shepherd', ',', ' I', ' shall', ' not', ' be', ' in', ' want', '.', ' He', ' makes', ' me', ' lie', ' down', ' in', ' green', ' past', 'ures', ',', ' he', ' leads', ' me', ' beside', ' quiet', ' waters', ',', ' he', ' restores', ' my', ' soul', '.', ' He', ' guides', ' me', ' in', ' paths', ' of', ' righteousness', ' for', ' his', ' name', '’s', ' sake', '.', ' Even', ' though']","['I', ' walk', ' through', ' the', ' valley', ' of', ' the', ' shadow', ' of', ' death', ',', ' I', ' will', ' fear', ' no', ' evil', ',', ' for', ' you', ' are', ' with', ' me', ';', ' your', ' rod', ' and', ' your', ' staff', ',', ' they', ' comfort', ' me', '.', ' You', ' prepare', ' a', ' table', ' before', ' me', ' in', ' the', ' presence', ' of', ' my', ' enemies', '.', ' You', ' an', 'oint', ' my']","[' I', ' walk', ' through', ' the', ' valley', ' of', ' the', ' shadow', ' of', ' death', ',', ' I', ' will', ' fear', ' no', ' evil', ',', ' for', ' you', ' are', ' with', ' me', ';', ' your', ' rod', ' and', ' your', ' staff', ',', ' they', ' comfort', ' me', '.', ' You', ' prepare', ' a', ' table', ' before', ' me', ' in', ' the', ' presence', ' of', ' my', ' enemies', '.', ' You', ' an', 'oint', ' my']",0.02,"I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me. You prepare a table before me in the presence of my enemies. You anoint my"," I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me. You prepare a table before me in the presence of my enemies. You anoint my head with oil; my cup overflows. Surely goodness and love will follow me all the days of my life, and I will dwell in the house of the LORD forever. ",tensor([[0.9656]]),43,"[tensor([[0.7776]]), tensor([[0.7970]]), tensor([[0.7842]]), tensor([[0.8061]]), tensor([[0.8155]]), tensor([[0.8173]]), tensor([[0.8272]]), tensor([[0.8276]]), tensor([[0.8557]]), tensor([[0.8578]]), tensor([[0.8741]]), tensor([[0.8782]]), tensor([[0.8860]]), tensor([[0.8868]]), tensor([[0.8905]]), tensor([[0.8941]]), tensor([[0.9005]]), tensor([[0.9078]]), tensor([[0.9070]]), tensor([[0.9091]]), tensor([[0.9064]]), tensor([[0.9069]]), tensor([[0.9286]]), tensor([[0.9231]]), tensor([[0.9248]]), tensor([[0.9308]]), tensor([[0.9278]]), tensor([[0.9340]]), tensor([[0.9286]]), tensor([[0.9328]]), tensor([[0.9377]]), tensor([[0.9322]]), tensor([[0.9601]]), tensor([[0.9595]]), tensor([[0.9623]]), tensor([[0.9616]]), tensor([[0.9575]]), tensor([[0.9626]]), tensor([[0.9586]]), tensor([[0.9599]]), tensor([[0.9618]]), tensor([[0.9603]]), tensor([[0.9656]]), tensor([[0.9651]])]",0,99
9,gpt-3.5-turbo,Famous Bible Verses,4,11,I can do all things through Christ who strengthens me.,['I'],"['can', ' do', ' all', ' things', ' through', ' Christ', ' who', ' strengthens', ' me', '.']","[' can', ' do', ' all', ' things', ' through', ' Christ', ' who', ' strengthens', ' me', '.']",0.1,can do all things through Christ who strengthens me. - Philippians 4:13, can do all things through Christ who strengthens me.,tensor([[1.]]),10,"[tensor([[0.7432]]), tensor([[0.7604]]), tensor([[0.7979]]), tensor([[0.8685]]), tensor([[0.8809]]), tensor([[0.8934]]), tensor([[0.9432]]), tensor([[0.9303]]), tensor([[0.9612]]), tensor([[1.]]), tensor([[0.9928]]), tensor([[0.9470]]), tensor([[0.9450]])]",0,10
12,gpt-3.5-turbo,Famous Bible Verses,5,37,"But those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint.","['But', ' those', ' who', ' hope', ' in', ' the', ' Lord', ' will', ' renew', ' their', ' strength', '.']","['They', ' will', ' soar', ' on', ' wings', ' like', ' eag', 'les', ';', ' they', ' will', ' run', ' and', ' not', ' grow', ' weary', ',', ' they', ' will', ' walk', ' and', ' not', ' be', ' faint', '.']","[' They', ' will', ' soar', ' on', ' wings', ' like', ' eag', 'les', ';', ' they', ' will', ' run', ' and', ' not', ' grow', ' weary', ',', ' they', ' will', ' walk', ' and', ' not', ' be', ' faint', '.']",0.04,"They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint. - Isaiah 40:31"," They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint.",tensor([[1.0000]]),22,"[tensor([[0.7835]]), tensor([[0.7907]]), tensor([[0.8430]]), tensor([[0.8977]]), tensor([[0.8918]]), tensor([[0.9256]]), tensor([[0.9244]]), tensor([[0.9493]]), tensor([[0.9522]]), tensor([[0.9517]]), tensor([[0.9589]]), tensor([[0.9629]]), tensor([[0.9608]]), tensor([[0.9606]]), tensor([[0.9887]]), tensor([[0.9858]]), tensor([[0.9877]]), tensor([[0.9901]]), tensor([[0.9913]]), tensor([[0.9888]]), tensor([[0.9890]]), tensor([[1.0000]]), tensor([[0.9977]]), tensor([[0.9541]]), tensor([[0.9408]])]",0,36
15,gpt-3.5-turbo,Famous Bible Verses,6,21,"But seek first his kingdom and his righteousness, and all these things will be given to you as well.","['But', ' seek', ' first', ' his', ' kingdom', ' and', ' his', ' righteousness']","[',', ' and', ' all', ' these', ' things', ' will', ' be', ' given', ' to', ' you', ' as', ' well', '.']","[',', ' and', ' all', ' these', ' things', ' will', ' be', ' given', ' to', ' you', ' as', ' well', '.']",0.0,", and all these things will be given to you as well.",", and all these things will be given to you as well.",tensor([[1.0000]]),13,"[tensor([[0.7487]]), tensor([[0.7906]]), tensor([[0.8176]]), tensor([[0.8630]]), tensor([[0.8765]]), tensor([[0.8858]]), tensor([[0.9065]]), tensor([[0.9106]]), tensor([[0.9501]]), tensor([[0.9573]]), tensor([[0.9877]]), tensor([[0.9867]]), tensor([[1.0000]])]",0,20
18,gpt-3.5-turbo,Famous Bible Verses,7,43,"Do not let this Book of the Law depart from your mouth; meditate on it day and night, so that you may be careful to do everything written in it. Then you will be prosperous and successful. ","['Do', ' not', ' let']","['your', ' hearts', ' be', ' troubled', ' or', ' afraid', '.', ' (', 'John', ' ', '14', ':', '27', ')']","[' this', ' Book', ' of', ' the', ' Law', ' depart', ' from', ' your', ' mouth', ';', ' med', 'itate', ' on', ' it']",1.0,your hearts be troubled or afraid. (John 14:27)," this Book of the Law depart from your mouth; meditate on it day and night, so that you may be careful to do everything written in it. Then you will be prosperous and successful. ",tensor([[0.8140]]),9,"[tensor([[0.7780]]), tensor([[0.7836]]), tensor([[0.7663]]), tensor([[0.7683]]), tensor([[0.7669]]), tensor([[0.7886]]), tensor([[0.7910]]), tensor([[0.7929]]), tensor([[0.8140]])]",0,16
21,gpt-3.5-turbo,Famous Bible Verses,8,31,"Trust in the Lord with all your heart and lean not on your own understanding; in all your ways acknowledge him, and he will make your paths straight.","['Trust', ' in', ' the', ' Lord', ' with', ' all', ' your', ' heart', ' and', ' lean', ' not', ' on', ' your', ' own', ' understanding']","[';', ' in', ' all', ' your', ' ways', ' submit', ' to', ' him', ',', ' and', ' he', ' will', ' make', ' your', ' paths', ' straight']","[';', ' in', ' all', ' your', ' ways', ' acknowledge', ' him', ',', ' and', ' he', ' will', ' make', ' your', ' paths', ' straight', '.']",0.1875,"; in all your ways submit to him, and he will make your paths straight. Proverbs 3:5-6","; in all your ways acknowledge him, and he will make your paths straight.",tensor([[0.9628]]),16,"[tensor([[0.7562]]), tensor([[0.7894]]), tensor([[0.7777]]), tensor([[0.8112]]), tensor([[0.8342]]), tensor([[0.8798]]), tensor([[0.8402]]), tensor([[0.8426]]), tensor([[0.8942]]), tensor([[0.8943]]), tensor([[0.8923]]), tensor([[0.9079]]), tensor([[0.9066]]), tensor([[0.9086]]), tensor([[0.9329]]), tensor([[0.9628]]), tensor([[0.9358]]), tensor([[0.9121]])]",0,30
24,gpt-3.5-turbo,Famous Bible Verses,9,17,Delight yourself in the Lord and he will give you the desires of your heart.,"['Del', 'ight']","['your', 'self', ' also', ' in', ' the', ' Lord', ',', ' and', ' He', ' shall', ' give', ' you', ' the', ' desires', ' of']","[' yourself', ' in', ' the', ' Lord', ' and', ' he', ' will', ' give', ' you', ' the', ' desires', ' of', ' your', ' heart', '.']",0.6,"yourself also in the Lord, and He shall give you the desires of your heart. - Psalm 37:4", yourself in the Lord and he will give you the desires of your heart.,tensor([[0.9799]]),16,"[tensor([[0.7590]]), tensor([[0.8412]]), tensor([[0.8299]]), tensor([[0.8315]]), tensor([[0.8450]]), tensor([[0.9080]]), tensor([[0.9012]]), tensor([[0.9039]]), tensor([[0.9092]]), tensor([[0.9168]]), tensor([[0.9288]]), tensor([[0.9281]]), tensor([[0.9498]]), tensor([[0.9479]]), tensor([[0.9485]]), tensor([[0.9799]]), tensor([[0.9754]]), tensor([[0.9441]]), tensor([[0.9307]])]",0,16
27,gpt-3.5-turbo,Famous Bible Verses,10,19,This is the day the Lord has made; let us rejoice and be glad in it. ,"['This', ' is', ' the', ' day', ' the', ' Lord', ' has', ' made']","['let', ' us', ' rejoice', ' and', ' be', ' glad', ' in', ' it', '.', ' (', 'Ps']","[';', ' let', ' us', ' rejoice', ' and', ' be', ' glad', ' in', ' it', '.', ' ']",0.3636363636363636,let us rejoice and be glad in it. (Psalm 118:24),; let us rejoice and be glad in it. ,tensor([[0.9911]]),9,"[tensor([[0.7612]]), tensor([[0.7864]]), tensor([[0.8311]]), tensor([[0.9498]]), tensor([[0.9661]]), tensor([[0.9558]]), tensor([[0.9771]]), tensor([[0.9781]]), tensor([[0.9911]]), tensor([[0.9488]]), tensor([[0.9281]])]",0,18
