model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Random Sheep,227,24," Daisy followed Matilda everywhere, learning from her wisdom and kindness. Together, they roamed the meadows, grazing on","[' Daisy', ' followed', ' Mat', 'ilda', ' everywhere']","[',', ' mim', 'icking', ' her', ' every', ' move', ' and', ' ble', 'ating', ' happily', ' as', ' they', ' ro', 'amed', ' together', ' through', ' the', ' fields', ' of']","[',', ' learning', ' from', ' her', ' wisdom', ' and', ' kindness', '.', ' Together', ',', ' they', ' ro', 'amed', ' the', ' me', 'adows', ',', ' grazing', ' on']",0.7368421052631579,", mimicking her every move and bleating happily as they roamed together through the fields of green. Matilda, the older and wiser of the two, always kept a watchful eye on her young companion, guiding her away from danger and",", learning from her wisdom and kindness. Together, they roamed the meadows, grazing on",tensor([[0.8870]]),17,"[tensor([[0.7321]]), tensor([[0.7882]]), tensor([[0.7725]]), tensor([[0.8033]]), tensor([[0.8023]]), tensor([[0.7943]]), tensor([[0.7990]]), tensor([[0.7966]]), tensor([[0.8125]]), tensor([[0.8130]]), tensor([[0.8167]]), tensor([[0.8683]]), tensor([[0.8675]]), tensor([[0.8667]]), tensor([[0.8671]]), tensor([[0.8835]]), tensor([[0.8870]]), tensor([[0.8653]]), tensor([[0.8651]]), tensor([[0.8673]]), tensor([[0.8635]]), tensor([[0.8655]]), tensor([[0.8750]]), tensor([[0.8727]]), tensor([[0.8736]]), tensor([[0.8709]]), tensor([[0.8698]]), tensor([[0.8668]]), tensor([[0.8679]]), tensor([[0.8655]]), tensor([[0.8636]]), tensor([[0.8660]]), tensor([[0.8658]]), tensor([[0.8674]]), tensor([[0.8698]]), tensor([[0.8688]]), tensor([[0.8689]]), tensor([[0.8676]]), tensor([[0.8681]]), tensor([[0.8667]]), tensor([[0.8704]])]",226,249
gpt-4-1106-preview,Random Sheep,227,24," Daisy followed Matilda everywhere, learning from her wisdom and kindness. Together, they roamed the meadows, grazing on","[' Daisy', ' followed', ' Mat', 'ilda', ' everywhere']","['D', 'aisy', ' followed', ' Mat', 'ilda', ' everywhere', ',', ' through', ' the', ' lush', ' green', ' me', 'adows', ' and', ' down', ' the', ' winding', ' paths', ' that']","[',', ' learning', ' from', ' her', ' wisdom', ' and', ' kindness', '.', ' Together', ',', ' they', ' ro', 'amed', ' the', ' me', 'adows', ',', ' grazing', ' on']",1.0,"Daisy followed Matilda everywhere, through the lush green meadows and down the winding paths that cut through the countryside. Their fleece, white as the morning frost, almost glowed under the caress of the golden sun. Matilda, the elder",", learning from her wisdom and kindness. Together, they roamed the meadows, grazing on",tensor([[0.8651]]),12,"[tensor([[0.7321]]), tensor([[0.7169]]), tensor([[0.7637]]), tensor([[0.7785]]), tensor([[0.8021]]), tensor([[0.8092]]), tensor([[0.8142]]), tensor([[0.8302]]), tensor([[0.8218]]), tensor([[0.8588]]), tensor([[0.8620]]), tensor([[0.8651]]), tensor([[0.8625]]), tensor([[0.8621]]), tensor([[0.8605]]), tensor([[0.8616]]), tensor([[0.8572]]), tensor([[0.8600]]), tensor([[0.8600]]), tensor([[0.8424]]), tensor([[0.8506]]), tensor([[0.8518]]), tensor([[0.8472]]), tensor([[0.8498]]), tensor([[0.8485]]), tensor([[0.8434]]), tensor([[0.8338]]), tensor([[0.8422]]), tensor([[0.8387]]), tensor([[0.8385]]), tensor([[0.8392]]), tensor([[0.8410]]), tensor([[0.8453]]), tensor([[0.8440]]), tensor([[0.8356]]), tensor([[0.8318]]), tensor([[0.8368]]), tensor([[0.8411]]), tensor([[0.8399]])]",226,249
gpt-4,Random Sheep,227,24," Daisy followed Matilda everywhere, learning from her wisdom and kindness. Together, they roamed the meadows, grazing on","[' Daisy', ' followed', ' Mat', 'ilda', ' everywhere']","['ac', 'ross', ' the', ' lush', ' green', ' past', 'ures', '.', ' The', ' pair', ' were', ' the', ' best', ' of', ' friends', ',', ' their', ' bond', ' stronger']","[',', ' learning', ' from', ' her', ' wisdom', ' and', ' kindness', '.', ' Together', ',', ' they', ' ro', 'amed', ' the', ' me', 'adows', ',', ' grazing', ' on']",0.9473684210526315,"across the lush green pastures. The pair were the best of friends, their bond stronger than any other among the flock. They grazed side by side in the gentle warmth of the afternoon sun, watching as the fluffy clouds lazily passed overhead",", learning from her wisdom and kindness. Together, they roamed the meadows, grazing on",tensor([[0.8989]]),24,"[tensor([[0.7321]]), tensor([[0.7752]]), tensor([[0.7906]]), tensor([[0.7647]]), tensor([[0.7686]]), tensor([[0.8431]]), tensor([[0.8525]]), tensor([[0.8729]]), tensor([[0.8795]]), tensor([[0.8831]]), tensor([[0.8722]]), tensor([[0.8744]]), tensor([[0.8792]]), tensor([[0.8830]]), tensor([[0.8868]]), tensor([[0.8861]]), tensor([[0.8821]]), tensor([[0.8807]]), tensor([[0.8808]]), tensor([[0.8821]]), tensor([[0.8811]]), tensor([[0.8765]]), tensor([[0.8874]]), tensor([[0.8989]]), tensor([[0.8979]]), tensor([[0.8963]]), tensor([[0.8969]]), tensor([[0.8958]]), tensor([[0.8959]]), tensor([[0.8979]]), tensor([[0.8944]]), tensor([[0.8946]]), tensor([[0.8942]]), tensor([[0.8881]]), tensor([[0.8829]]), tensor([[0.8858]]), tensor([[0.8848]]), tensor([[0.8857]]), tensor([[0.8813]]), tensor([[0.8793]]), tensor([[0.8756]]), tensor([[0.8757]]), tensor([[0.8731]])]",226,249
gpt-3.5-turbo,Random Sheep,48,29," the flock was a wise old ewe named Matilda. She had seen many seasons come and go, her fleece a testament to the passage of","[' the', ' flock', ' was', ' a', ' wise', ' old', ' ew', 'e', ' named']","['Mat', 'ilda', '.', ' She', ' had', ' been', ' with', ' the', ' flock', ' for', ' many', ' years', ' and', ' was', ' well', '-res', 'pected', ' by', ' all', ' the']","[' Mat', 'ilda', '.', ' She', ' had', ' seen', ' many', ' seasons', ' come', ' and', ' go', ',', ' her', ' fleece', ' a', ' testament', ' to', ' the', ' passage', ' of']",0.8,Matilda. She had been with the flock for many years and was well-respected by all the other sheep. Matilda had a keen sense of danger and always knew when to lead the flock away from harm. Her wool was the whitest and," Matilda. She had seen many seasons come and go, her fleece a testament to the passage of",tensor([[0.9148]]),5,"[tensor([[0.7511]]), tensor([[0.8633]]), tensor([[0.8863]]), tensor([[0.9094]]), tensor([[0.9148]]), tensor([[0.8991]]), tensor([[0.9078]]), tensor([[0.8995]]), tensor([[0.9013]]), tensor([[0.9112]]), tensor([[0.9054]]), tensor([[0.9122]]), tensor([[0.9122]]), tensor([[0.9000]]), tensor([[0.9029]]), tensor([[0.8994]]), tensor([[0.9024]]), tensor([[0.8982]]), tensor([[0.8904]]), tensor([[0.8931]]), tensor([[0.8938]]), tensor([[0.8915]]), tensor([[0.8907]]), tensor([[0.8858]]), tensor([[0.8857]]), tensor([[0.8853]]), tensor([[0.8842]]), tensor([[0.8841]]), tensor([[0.8821]]), tensor([[0.8830]]), tensor([[0.8840]]), tensor([[0.8822]]), tensor([[0.8812]]), tensor([[0.8788]]), tensor([[0.8873]]), tensor([[0.8865]]), tensor([[0.8808]]), tensor([[0.8787]]), tensor([[0.8888]]), tensor([[0.8836]]), tensor([[0.8835]]), tensor([[0.8819]]), tensor([[0.8816]])]",47,75
gpt-4-1106-preview,Random Sheep,48,29," the flock was a wise old ewe named Matilda. She had seen many seasons come and go, her fleece a testament to the passage of","[' the', ' flock', ' was', ' a', ' wise', ' old', ' ew', 'e', ' named']","['M', 'abel', '.', ' With', ' her', ' thick', ',', ' gre', 'ying', ' fleece', ' and', ' a', ' slow', ',', ' thoughtful', ' chewing', ' of', ' the', ' me', 'adow']","[' Mat', 'ilda', '.', ' She', ' had', ' seen', ' many', ' seasons', ' come', ' and', ' go', ',', ' her', ' fleece', ' a', ' testament', ' to', ' the', ' passage', ' of']",0.9,"Mabel. With her thick, greying fleece and a slow, thoughtful chewing of the meadow's sweet grasses, Mabel had seen many seasons come and go. She had watched countless lambs spring into the world and learn the ways of"," Matilda. She had seen many seasons come and go, her fleece a testament to the passage of",tensor([[0.8767]]),29,"[tensor([[0.7511]]), tensor([[0.7961]]), tensor([[0.7957]]), tensor([[0.8096]]), tensor([[0.8197]]), tensor([[0.8365]]), tensor([[0.8565]]), tensor([[0.8571]]), tensor([[0.8543]]), tensor([[0.8478]]), tensor([[0.8550]]), tensor([[0.8343]]), tensor([[0.8325]]), tensor([[0.8296]]), tensor([[0.8379]]), tensor([[0.8309]]), tensor([[0.8207]]), tensor([[0.8318]]), tensor([[0.8390]]), tensor([[0.8418]]), tensor([[0.8442]]), tensor([[0.8694]]), tensor([[0.8732]]), tensor([[0.8717]]), tensor([[0.8685]]), tensor([[0.8695]]), tensor([[0.8747]]), tensor([[0.8760]]), tensor([[0.8767]]), tensor([[0.8646]]), tensor([[0.8624]]), tensor([[0.8643]]), tensor([[0.8646]]), tensor([[0.8629]]), tensor([[0.8651]]), tensor([[0.8607]]), tensor([[0.8606]]), tensor([[0.8603]]), tensor([[0.8620]])]",47,75
gpt-4,Random Sheep,48,29," the flock was a wise old ewe named Matilda. She had seen many seasons come and go, her fleece a testament to the passage of","[' the', ' flock', ' was', ' a', ' wise', ' old', ' ew', 'e', ' named']","['Ber', 'tha', '.', ' Ign', 'oring', ' her', ' frail', ' figure', ',', ' one', ' could', ' see', ' the', ' age', '-old', ' wisdom', ' reflecting', ' in', ' her', ' eyes']","[' Mat', 'ilda', '.', ' She', ' had', ' seen', ' many', ' seasons', ' come', ' and', ' go', ',', ' her', ' fleece', ' a', ' testament', ' to', ' the', ' passage', ' of']",0.95,"Bertha. Ignoring her frail figure, one could see the age-old wisdom reflecting in her eyes that had witnessed countless seasons change. Her coat was no longer as lustrously white as those prancing lambs, now a mellow shade of"," Matilda. She had seen many seasons come and go, her fleece a testament to the passage of",tensor([[0.8876]]),21,"[tensor([[0.7511]]), tensor([[0.8093]]), tensor([[0.7956]]), tensor([[0.8014]]), tensor([[0.8197]]), tensor([[0.8210]]), tensor([[0.8343]]), tensor([[0.8452]]), tensor([[0.8467]]), tensor([[0.8485]]), tensor([[0.8476]]), tensor([[0.8560]]), tensor([[0.8581]]), tensor([[0.8573]]), tensor([[0.8586]]), tensor([[0.8538]]), tensor([[0.8509]]), tensor([[0.8539]]), tensor([[0.8555]]), tensor([[0.8611]]), tensor([[0.8876]]), tensor([[0.8836]]), tensor([[0.8823]]), tensor([[0.8816]]), tensor([[0.8814]]), tensor([[0.8730]]), tensor([[0.8774]]), tensor([[0.8789]]), tensor([[0.8709]]), tensor([[0.8692]]), tensor([[0.8673]]), tensor([[0.8689]]), tensor([[0.8703]]), tensor([[0.8677]]), tensor([[0.8673]]), tensor([[0.8667]]), tensor([[0.8652]]), tensor([[0.8639]]), tensor([[0.8649]])]",47,75
gpt-3.5-turbo,Random Sheep,273,36," she never forgot the lesson Matilda had taught her: that in the flock of life, it's through unity and compassion that we find our way home.
","[' she', ' never', ' forgot', ' the', ' lesson', ' Mat', 'ilda', ' had', ' taught', ' her']","[' about', ' the', ' importance', ' of', ' sticking', ' together', ' and', ' looking', ' out', ' for', ' one', ' another', '.', ' As', ' the', ' seasons', ' changed', ' and', ' new', ' lam', 'bs']","[':', ' that', ' in', ' the', ' flock', ' of', ' life', ',', ' it', ""'s"", ' through', ' unity', ' and', ' compassion', ' that', ' we', ' find', ' our', ' way', ' home', '.\n']",1.0," about the importance of sticking together and looking out for one another. As the seasons changed and new lambs were born, Matilda's wisdom was passed down from generation to generation. And so, the flock of sheep continued to thrive, their bonds stronger",": that in the flock of life, it's through unity and compassion that we find our way home.
",tensor([[0.8663]]),14,"[tensor([[0.7435]]), tensor([[0.7435]]), tensor([[0.7602]]), tensor([[0.7766]]), tensor([[0.7805]]), tensor([[0.7856]]), tensor([[0.7809]]), tensor([[0.8146]]), tensor([[0.8290]]), tensor([[0.8210]]), tensor([[0.8305]]), tensor([[0.8365]]), tensor([[0.8415]]), tensor([[0.8663]]), tensor([[0.8625]]), tensor([[0.8625]]), tensor([[0.8518]]), tensor([[0.8404]]), tensor([[0.8439]]), tensor([[0.8453]]), tensor([[0.8545]]), tensor([[0.8528]]), tensor([[0.8615]]), tensor([[0.8474]]), tensor([[0.8499]]), tensor([[0.8388]]), tensor([[0.8389]]), tensor([[0.8362]]), tensor([[0.8361]]), tensor([[0.8356]]), tensor([[0.8331]]), tensor([[0.8444]]), tensor([[0.8420]]), tensor([[0.8474]]), tensor([[0.8406]]), tensor([[0.8527]]), tensor([[0.8469]]), tensor([[0.8511]]), tensor([[0.8433]]), tensor([[0.8407]]), tensor([[0.8458]]), tensor([[0.8413]]), tensor([[0.8433]]), tensor([[0.8413]])]",272,302
gpt-4-1106-preview,Random Sheep,273,36," she never forgot the lesson Matilda had taught her: that in the flock of life, it's through unity and compassion that we find our way home.
","[' she', ' never', ' forgot', ' the', ' lesson', ' Mat', 'ilda', ' had', ' taught', ' her']","['Unfortunately', ',', ' as', ' an', ' AI', ',', ' I', ' don', ""'t"", ' have', ' access', ' to', ' the', ' rest', ' of', ' the', ' story', ' about', ' Mat', 'ilda', ' and']","[':', ' that', ' in', ' the', ' flock', ' of', ' life', ',', ' it', ""'s"", ' through', ' unity', ' and', ' compassion', ' that', ' we', ' find', ' our', ' way', ' home', '.\n']",1.0,"Unfortunately, as an AI, I don't have access to the rest of the story about Matilda and the sheep that you're referencing. If you provide more context or continue the story yourself, I can then help you build on that. Alternatively,",": that in the flock of life, it's through unity and compassion that we find our way home.
",tensor([[0.7766]]),25,"[tensor([[0.7435]]), tensor([[0.7603]]), tensor([[0.7598]]), tensor([[0.7665]]), tensor([[0.7560]]), tensor([[0.7588]]), tensor([[0.7626]]), tensor([[0.7488]]), tensor([[0.7482]]), tensor([[0.7481]]), tensor([[0.7401]]), tensor([[0.7507]]), tensor([[0.7499]]), tensor([[0.7472]]), tensor([[0.7530]]), tensor([[0.7554]]), tensor([[0.7410]]), tensor([[0.7416]]), tensor([[0.7457]]), tensor([[0.7618]]), tensor([[0.7659]]), tensor([[0.7742]]), tensor([[0.7686]]), tensor([[0.7752]]), tensor([[0.7766]]), tensor([[0.7719]]), tensor([[0.7709]]), tensor([[0.7717]]), tensor([[0.7733]]), tensor([[0.7720]]), tensor([[0.7743]]), tensor([[0.7714]]), tensor([[0.7687]]), tensor([[0.7719]]), tensor([[0.7689]]), tensor([[0.7693]]), tensor([[0.7698]]), tensor([[0.7690]]), tensor([[0.7734]]), tensor([[0.7734]]), tensor([[0.7692]]), tensor([[0.7694]])]",272,302
gpt-4,Random Sheep,273,36," she never forgot the lesson Matilda had taught her: that in the flock of life, it's through unity and compassion that we find our way home.
","[' she', ' never', ' forgot', ' the', ' lesson', ' Mat', 'ilda', ' had', ' taught', ' her']","['.', ' Mat', 'ilda', ',', ' a', ' wise', ',', ' old', ' sheep', ' from', ' the', ' Meadow', 'lands', ',', ' with', ' soft', ',', ' white', ' wool', ' and', ' bright']","[':', ' that', ' in', ' the', ' flock', ' of', ' life', ',', ' it', ""'s"", ' through', ' unity', ' and', ' compassion', ' that', ' we', ' find', ' our', ' way', ' home', '.\n']",1.0,". Matilda, a wise, old sheep from the Meadowlands, with soft, white wool and bright, kind eyes, was known for her intelligence and courage. One day, Sally the sheep had ventured out too far from the herd and found herself",": that in the flock of life, it's through unity and compassion that we find our way home.
",tensor([[0.8110]]),2,"[tensor([[0.7435]]), tensor([[0.8110]]), tensor([[0.7779]]), tensor([[0.7740]]), tensor([[0.7999]]), tensor([[0.7794]]), tensor([[0.7988]]), tensor([[0.7961]]), tensor([[0.8017]]), tensor([[0.8085]]), tensor([[0.8049]]), tensor([[0.8053]]), tensor([[0.7946]]), tensor([[0.7910]]), tensor([[0.7920]]), tensor([[0.7941]]), tensor([[0.7910]]), tensor([[0.7977]]), tensor([[0.7991]]), tensor([[0.7961]]), tensor([[0.7944]]), tensor([[0.7946]]), tensor([[0.7928]]), tensor([[0.7935]]), tensor([[0.7995]]), tensor([[0.7957]]), tensor([[0.7986]]), tensor([[0.7957]]), tensor([[0.7966]]), tensor([[0.7929]]), tensor([[0.7928]]), tensor([[0.7956]]), tensor([[0.7960]]), tensor([[0.7954]]), tensor([[0.7932]]), tensor([[0.7941]]), tensor([[0.7979]]), tensor([[0.7953]]), tensor([[0.7973]]), tensor([[0.7954]]), tensor([[0.7949]])]",272,302
gpt-3.5-turbo,Random Sheep,58,27,"ilda. She had seen many seasons come and go, her fleece a testament to the passage of time.
One chilly autumn morning, as","['ilda', '.', ' She', ' had', ' seen', ' many']","[' sheep', ' come', ' and', ' go', ' throughout', ' the', ' years', ',', ' but', ' none', ' had', ' caught', ' her', ' attention', ' quite', ' like', ' this', ' one', '.', ' Its', ' fleece']","[' seasons', ' come', ' and', ' go', ',', ' her', ' fleece', ' a', ' testament', ' to', ' the', ' passage', ' of', ' time', '.\n', 'One', ' chilly', ' autumn', ' morning', ',', ' as']",0.8571428571428571," sheep come and go throughout the years, but none had caught her attention quite like this one. Its fleece was the purest white she had ever seen, almost glowing in the sunlight. As she approached, the sheep turned to look at her with warm"," seasons come and go, her fleece a testament to the passage of time.
One chilly autumn morning, as",tensor([[0.8872]]),21,"[tensor([[0.7654]]), tensor([[0.7654]]), tensor([[0.7359]]), tensor([[0.7841]]), tensor([[0.7975]]), tensor([[0.7989]]), tensor([[0.7985]]), tensor([[0.8022]]), tensor([[0.8236]]), tensor([[0.8275]]), tensor([[0.8195]]), tensor([[0.8205]]), tensor([[0.8105]]), tensor([[0.8413]]), tensor([[0.8364]]), tensor([[0.8398]]), tensor([[0.8425]]), tensor([[0.8453]]), tensor([[0.8403]]), tensor([[0.8577]]), tensor([[0.8872]]), tensor([[0.8819]]), tensor([[0.8830]]), tensor([[0.8680]]), tensor([[0.8607]]), tensor([[0.8688]]), tensor([[0.8673]]), tensor([[0.8658]]), tensor([[0.8722]]), tensor([[0.8687]]), tensor([[0.8683]]), tensor([[0.8678]]), tensor([[0.8722]]), tensor([[0.8701]]), tensor([[0.8733]]), tensor([[0.8755]]), tensor([[0.8675]]), tensor([[0.8716]]), tensor([[0.8582]]), tensor([[0.8562]]), tensor([[0.8590]]), tensor([[0.8510]]), tensor([[0.8499]]), tensor([[0.8481]]), tensor([[0.8498]]), tensor([[0.8500]])]",57,83
