,Unnamed: 0,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
2,2,gpt-4,Random Sheep,227,24," Daisy followed Matilda everywhere, learning from her wisdom and kindness. Together, they roamed the meadows, grazing on","[' Daisy', ' followed', ' Mat', 'ilda', ' everywhere']","['ac', 'ross', ' the', ' lush', ' green', ' past', 'ures', '.', ' The', ' pair', ' were', ' the', ' best', ' of', ' friends', ',', ' their', ' bond', ' stronger']","[',', ' learning', ' from', ' her', ' wisdom', ' and', ' kindness', '.', ' Together', ',', ' they', ' ro', 'amed', ' the', ' me', 'adows', ',', ' grazing', ' on']",0.9473684210526316,"across the lush green pastures. The pair were the best of friends, their bond stronger than any other among the flock. They grazed side by side in the gentle warmth of the afternoon sun, watching as the fluffy clouds lazily passed overhead",", learning from her wisdom and kindness. Together, they roamed the meadows, grazing on",tensor([[0.8989]]),24,"[tensor([[0.7321]]), tensor([[0.7752]]), tensor([[0.7906]]), tensor([[0.7647]]), tensor([[0.7686]]), tensor([[0.8431]]), tensor([[0.8525]]), tensor([[0.8729]]), tensor([[0.8795]]), tensor([[0.8831]]), tensor([[0.8722]]), tensor([[0.8744]]), tensor([[0.8792]]), tensor([[0.8830]]), tensor([[0.8868]]), tensor([[0.8861]]), tensor([[0.8821]]), tensor([[0.8807]]), tensor([[0.8808]]), tensor([[0.8821]]), tensor([[0.8811]]), tensor([[0.8765]]), tensor([[0.8874]]), tensor([[0.8989]]), tensor([[0.8979]]), tensor([[0.8963]]), tensor([[0.8969]]), tensor([[0.8958]]), tensor([[0.8959]]), tensor([[0.8979]]), tensor([[0.8944]]), tensor([[0.8946]]), tensor([[0.8942]]), tensor([[0.8881]]), tensor([[0.8829]]), tensor([[0.8858]]), tensor([[0.8848]]), tensor([[0.8857]]), tensor([[0.8813]]), tensor([[0.8793]]), tensor([[0.8756]]), tensor([[0.8757]]), tensor([[0.8731]])]",226,249,0.01
5,5,gpt-4,Random Sheep,48,29," the flock was a wise old ewe named Matilda. She had seen many seasons come and go, her fleece a testament to the passage of","[' the', ' flock', ' was', ' a', ' wise', ' old', ' ew', 'e', ' named']","['Ber', 'tha', '.', ' Ign', 'oring', ' her', ' frail', ' figure', ',', ' one', ' could', ' see', ' the', ' age', '-old', ' wisdom', ' reflecting', ' in', ' her', ' eyes']","[' Mat', 'ilda', '.', ' She', ' had', ' seen', ' many', ' seasons', ' come', ' and', ' go', ',', ' her', ' fleece', ' a', ' testament', ' to', ' the', ' passage', ' of']",0.95,"Bertha. Ignoring her frail figure, one could see the age-old wisdom reflecting in her eyes that had witnessed countless seasons change. Her coat was no longer as lustrously white as those prancing lambs, now a mellow shade of"," Matilda. She had seen many seasons come and go, her fleece a testament to the passage of",tensor([[0.8876]]),21,"[tensor([[0.7511]]), tensor([[0.8093]]), tensor([[0.7956]]), tensor([[0.8014]]), tensor([[0.8197]]), tensor([[0.8210]]), tensor([[0.8343]]), tensor([[0.8452]]), tensor([[0.8467]]), tensor([[0.8485]]), tensor([[0.8476]]), tensor([[0.8560]]), tensor([[0.8581]]), tensor([[0.8573]]), tensor([[0.8586]]), tensor([[0.8538]]), tensor([[0.8509]]), tensor([[0.8539]]), tensor([[0.8555]]), tensor([[0.8611]]), tensor([[0.8876]]), tensor([[0.8836]]), tensor([[0.8823]]), tensor([[0.8816]]), tensor([[0.8814]]), tensor([[0.8730]]), tensor([[0.8774]]), tensor([[0.8789]]), tensor([[0.8709]]), tensor([[0.8692]]), tensor([[0.8673]]), tensor([[0.8689]]), tensor([[0.8703]]), tensor([[0.8677]]), tensor([[0.8673]]), tensor([[0.8667]]), tensor([[0.8652]]), tensor([[0.8639]]), tensor([[0.8649]])]",47,75,0.01
8,8,gpt-4,Random Sheep,273,36," she never forgot the lesson Matilda had taught her: that in the flock of life, it's through unity and compassion that we find our way home.
","[' she', ' never', ' forgot', ' the', ' lesson', ' Mat', 'ilda', ' had', ' taught', ' her']","['.', ' Mat', 'ilda', ',', ' a', ' wise', ',', ' old', ' sheep', ' from', ' the', ' Meadow', 'lands', ',', ' with', ' soft', ',', ' white', ' wool', ' and', ' bright']","[':', ' that', ' in', ' the', ' flock', ' of', ' life', ',', ' it', ""'s"", ' through', ' unity', ' and', ' compassion', ' that', ' we', ' find', ' our', ' way', ' home', '.\n']",1.0,". Matilda, a wise, old sheep from the Meadowlands, with soft, white wool and bright, kind eyes, was known for her intelligence and courage. One day, Sally the sheep had ventured out too far from the herd and found herself",": that in the flock of life, it's through unity and compassion that we find our way home.
",tensor([[0.8110]]),2,"[tensor([[0.7435]]), tensor([[0.8110]]), tensor([[0.7779]]), tensor([[0.7740]]), tensor([[0.7999]]), tensor([[0.7794]]), tensor([[0.7988]]), tensor([[0.7961]]), tensor([[0.8017]]), tensor([[0.8085]]), tensor([[0.8049]]), tensor([[0.8053]]), tensor([[0.7946]]), tensor([[0.7910]]), tensor([[0.7920]]), tensor([[0.7941]]), tensor([[0.7910]]), tensor([[0.7977]]), tensor([[0.7991]]), tensor([[0.7961]]), tensor([[0.7944]]), tensor([[0.7946]]), tensor([[0.7928]]), tensor([[0.7935]]), tensor([[0.7995]]), tensor([[0.7957]]), tensor([[0.7986]]), tensor([[0.7957]]), tensor([[0.7966]]), tensor([[0.7929]]), tensor([[0.7928]]), tensor([[0.7956]]), tensor([[0.7960]]), tensor([[0.7954]]), tensor([[0.7932]]), tensor([[0.7941]]), tensor([[0.7979]]), tensor([[0.7953]]), tensor([[0.7973]]), tensor([[0.7954]]), tensor([[0.7949]])]",272,302,0.01
11,11,gpt-4,Random Sheep,58,27,"ilda. She had seen many seasons come and go, her fleece a testament to the passage of time.
One chilly autumn morning, as","['ilda', '.', ' She', ' had', ' seen', ' many']","['season', 's', ' come', ' and', ' go', ',', ' her', ' thick', ' white', ' coat', ' br', 'ist', 'ling', ' against', ' the', ' harsh', ' winter', ' winds', ' and', ' thin', 'ning']","[' seasons', ' come', ' and', ' go', ',', ' her', ' fleece', ' a', ' testament', ' to', ' the', ' passage', ' of', ' time', '.\n', 'One', ' chilly', ' autumn', ' morning', ',', ' as']",0.8095238095238095,"seasons come and go, her thick white coat bristling against the harsh winter winds and thinning in the warm embrace of summer. Life in the rolling green pastures, dominated by towering windmills was serene. But no amount of ser"," seasons come and go, her fleece a testament to the passage of time.
One chilly autumn morning, as",tensor([[0.8975]]),6,"[tensor([[0.7654]]), tensor([[0.8013]]), tensor([[0.8279]]), tensor([[0.8569]]), tensor([[0.8723]]), tensor([[0.8975]]), tensor([[0.8801]]), tensor([[0.8865]]), tensor([[0.8919]]), tensor([[0.8887]]), tensor([[0.8897]]), tensor([[0.8916]]), tensor([[0.8888]]), tensor([[0.8901]]), tensor([[0.8851]]), tensor([[0.8887]]), tensor([[0.8840]]), tensor([[0.8842]]), tensor([[0.8865]]), tensor([[0.8822]]), tensor([[0.8783]]), tensor([[0.8811]]), tensor([[0.8709]]), tensor([[0.8782]]), tensor([[0.8777]]), tensor([[0.8777]]), tensor([[0.8704]]), tensor([[0.8705]]), tensor([[0.8698]]), tensor([[0.8688]]), tensor([[0.8688]]), tensor([[0.8664]]), tensor([[0.8586]]), tensor([[0.8608]]), tensor([[0.8566]]), tensor([[0.8604]]), tensor([[0.8583]]), tensor([[0.8569]]), tensor([[0.8588]]), tensor([[0.8579]])]",57,83,0.01
14,14,gpt-4,Random Sheep,73,28," to the passage of time.
One chilly autumn morning, as the mist hung low over the meadow, Matilda noticed something amiss.","[' to', ' the', ' passage', ' of', ' time', '.\n', 'One', ' chilly']","['mor', 'ning', ',', ' underneath', ' the', ' soft', ' embrace', ' of', ' the', ' cob', 'alt', ' sky', ',', ' a', ' flock', ' of', ' sheep', ' h', 'uddled', ' together']","[' autumn', ' morning', ',', ' as', ' the', ' mist', ' hung', ' low', ' over', ' the', ' me', 'adow', ',', ' Mat', 'ilda', ' noticed', ' something', ' am', 'iss', '.']",0.85,"morning, underneath the soft embrace of the cobalt sky, a flock of sheep huddled together in a picturesque field nestled amidst rolling hills. Their fluffy wool shimmered like a white sea under the golden touch of the rising sun. A lamb,"," autumn morning, as the mist hung low over the meadow, Matilda noticed something amiss.",tensor([[0.8376]]),12,"[tensor([[0.7471]]), tensor([[0.8085]]), tensor([[0.8136]]), tensor([[0.8228]]), tensor([[0.8186]]), tensor([[0.8194]]), tensor([[0.8227]]), tensor([[0.8213]]), tensor([[0.8135]]), tensor([[0.8295]]), tensor([[0.8304]]), tensor([[0.8376]]), tensor([[0.8348]]), tensor([[0.8106]]), tensor([[0.8108]]), tensor([[0.8055]]), tensor([[0.8049]]), tensor([[0.8098]]), tensor([[0.8065]]), tensor([[0.8074]]), tensor([[0.8032]]), tensor([[0.8018]]), tensor([[0.7984]]), tensor([[0.8048]]), tensor([[0.8019]]), tensor([[0.7984]]), tensor([[0.7995]]), tensor([[0.8024]]), tensor([[0.8011]]), tensor([[0.8031]]), tensor([[0.8016]]), tensor([[0.7991]]), tensor([[0.8006]]), tensor([[0.8008]]), tensor([[0.7989]]), tensor([[0.7987]]), tensor([[0.7996]]), tensor([[0.7996]]), tensor([[0.8011]]), tensor([[0.7998]]), tensor([[0.8019]]), tensor([[0.7957]])]",72,99,0.01
17,17,gpt-4,Random Sheep,41,34," quirks. At the heart of the flock was a wise old ewe named Matilda. She had seen many seasons come and go, her fleece a testament to the","[' quir', 'ks', '.', ' At', ' the']","['heart', ' of', ' the', ' lush', ',', ' green', ' me', 'adows', ' lived', ' a', ' cheerful', ' flock', ' of', ' sheep', ' called', ' The', ' Wool', 'ly', ' W', 'onders', '.', ' These', ' j', 'olly', ' creatures', ' with', ' their', ' fluffy', ' white']","[' heart', ' of', ' the', ' flock', ' was', ' a', ' wise', ' old', ' ew', 'e', ' named', ' Mat', 'ilda', '.', ' She', ' had', ' seen', ' many', ' seasons', ' come', ' and', ' go', ',', ' her', ' fleece', ' a', ' testament', ' to', ' the']",0.9310344827586208,"heart of the lush, green meadows lived a cheerful flock of sheep called The Woolly Wonders. These jolly creatures with their fluffy white coats spent their days grazing lazily under the soft hum of the breeze. The charm of the Woolly"," heart of the flock was a wise old ewe named Matilda. She had seen many seasons come and go, her fleece a testament to the",tensor([[0.8675]]),15,"[tensor([[0.7519]]), tensor([[0.7832]]), tensor([[0.8274]]), tensor([[0.8317]]), tensor([[0.8017]]), tensor([[0.7942]]), tensor([[0.8047]]), tensor([[0.8197]]), tensor([[0.8237]]), tensor([[0.8189]]), tensor([[0.8583]]), tensor([[0.8600]]), tensor([[0.8527]]), tensor([[0.8634]]), tensor([[0.8675]]), tensor([[0.8609]]), tensor([[0.8463]]), tensor([[0.8563]]), tensor([[0.8556]]), tensor([[0.8538]]), tensor([[0.8556]]), tensor([[0.8560]]), tensor([[0.8531]]), tensor([[0.8520]]), tensor([[0.8507]]), tensor([[0.8492]]), tensor([[0.8526]]), tensor([[0.8474]]), tensor([[0.8469]]), tensor([[0.8436]]), tensor([[0.8429]]), tensor([[0.8465]]), tensor([[0.8406]]), tensor([[0.8405]]), tensor([[0.8448]]), tensor([[0.8464]]), tensor([[0.8373]]), tensor([[0.8453]]), tensor([[0.8423]]), tensor([[0.8463]]), tensor([[0.8458]]), tensor([[0.8458]])]",40,73,0.01
20,20,gpt-4,Random Sheep,70,33," fleece a testament to the passage of time.
One chilly autumn morning, as the mist hung low over the meadow, Matilda noticed something amiss. One of","[' fleece', ' a', ' testament', ' to', ' the', ' passage', ' of', ' time', '.\n', 'One', ' chilly', ' autumn', ' morning', ',', ' as']","['the', ' sun', ' began', ' to', ' peak', ' over', ' the', ' horizon', ',', ' casting', ' a', ' soft', ' golden', ' light', ' across', ' the', ' field', ',']","[' the', ' mist', ' hung', ' low', ' over', ' the', ' me', 'adow', ',', ' Mat', 'ilda', ' noticed', ' something', ' am', 'iss', '.', ' One', ' of']",0.8888888888888888,"the sun began to peak over the horizon, casting a soft golden light across the field, the sleepy pasture stirred. From amidst the swaying grasses, figures began to emerge, woolly and whimsical, gentle bleating filling the air, harmon"," the mist hung low over the meadow, Matilda noticed something amiss. One of",tensor([[0.8330]]),24,"[tensor([[0.7511]]), tensor([[0.7840]]), tensor([[0.7528]]), tensor([[0.7758]]), tensor([[0.7929]]), tensor([[0.7744]]), tensor([[0.7823]]), tensor([[0.7867]]), tensor([[0.7856]]), tensor([[0.7989]]), tensor([[0.8044]]), tensor([[0.8063]]), tensor([[0.8098]]), tensor([[0.8009]]), tensor([[0.8001]]), tensor([[0.7999]]), tensor([[0.8028]]), tensor([[0.8098]]), tensor([[0.8163]]), tensor([[0.8222]]), tensor([[0.8192]]), tensor([[0.8278]]), tensor([[0.8325]]), tensor([[0.8330]]), tensor([[0.8258]]), tensor([[0.8250]]), tensor([[0.8302]]), tensor([[0.8275]]), tensor([[0.8312]]), tensor([[0.8242]]), tensor([[0.8265]]), tensor([[0.8307]]), tensor([[0.8228]]), tensor([[0.8266]]), tensor([[0.8228]]), tensor([[0.8212]]), tensor([[0.8246]]), tensor([[0.8212]]), tensor([[0.8223]])]",69,101,0.01
23,23,gpt-4,Random Sheep,185,25,"ilda and the others worked together to free her. As they made their way back to the safety of the flock, Daisy nestled","['ilda', ' and', ' the', ' others', ' worked', ' together', ' to', ' free']","['their', ' youngest', ' lamb', ',', ' Tim', 'my', ',', ' who', ' had', ' care', 'lessly', ' trapped', ' himself', ' amongst', ' the', ' th', 'orny']","[' her', '.', ' As', ' they', ' made', ' their', ' way', ' back', ' to', ' the', ' safety', ' of', ' the', ' flock', ',', ' Daisy', ' nestled']",1.0,"their youngest lamb, Timmy, who had carelessly trapped himself amongst the thorny bushes. The flock was usually calm, placid even under the soothing orange glow of the setting sun. They thrived on the lush, green pastures and enjoyed"," her. As they made their way back to the safety of the flock, Daisy nestled",tensor([[0.8477]]),27,"[tensor([[0.7324]]), tensor([[0.7664]]), tensor([[0.7563]]), tensor([[0.7990]]), tensor([[0.7945]]), tensor([[0.7858]]), tensor([[0.8007]]), tensor([[0.8067]]), tensor([[0.8292]]), tensor([[0.8205]]), tensor([[0.8239]]), tensor([[0.8265]]), tensor([[0.8171]]), tensor([[0.8082]]), tensor([[0.8159]]), tensor([[0.8438]]), tensor([[0.8334]]), tensor([[0.8309]]), tensor([[0.8436]]), tensor([[0.8443]]), tensor([[0.8416]]), tensor([[0.8404]]), tensor([[0.8438]]), tensor([[0.8431]]), tensor([[0.8435]]), tensor([[0.8444]]), tensor([[0.8477]]), tensor([[0.8470]]), tensor([[0.8445]]), tensor([[0.8476]]), tensor([[0.8443]]), tensor([[0.8388]]), tensor([[0.8384]]), tensor([[0.8431]]), tensor([[0.8411]]), tensor([[0.8348]]), tensor([[0.8332]]), tensor([[0.8391]]), tensor([[0.8326]])]",184,208,0.01
26,26,gpt-4,Random Sheep,218,40," guidance and care.
From that day forward, Daisy followed Matilda everywhere, learning from her wisdom and kindness. Together, they roamed the meadows, grazing on sweet grass and basking in the","[' guidance', ' and', ' care', '.\n', 'From', ' that', ' day']","['forward', ',', ' life', ' in', ' the', ' peaceful', ' me', 'adow', ' took', ' an', ' enchant', 'ing', ' turn', ' for', ' the', ' ro', 'sy', '-che', 'ek', 'ed', ' flock', '.', ' Their', ' days', ' flowed', ' with', ' the', ' rhythm', ' of', ' the', ' green', ' hills', ',']","[' forward', ',', ' Daisy', ' followed', ' Mat', 'ilda', ' everywhere', ',', ' learning', ' from', ' her', ' wisdom', ' and', ' kindness', '.', ' Together', ',', ' they', ' ro', 'amed', ' the', ' me', 'adows', ',', ' grazing', ' on', ' sweet', ' grass', ' and', ' b', 'asking', ' in', ' the']",0.9696969696969696,"forward, life in the peaceful meadow took an enchanting turn for the rosy-cheeked flock. Their days flowed with the rhythm of the green hills, while their nights shimmered under the watchful cosmos, their wooly forms a l"," forward, Daisy followed Matilda everywhere, learning from her wisdom and kindness. Together, they roamed the meadows, grazing on sweet grass and basking in the",tensor([[0.8758]]),20,"[tensor([[0.7266]]), tensor([[0.7706]]), tensor([[0.7710]]), tensor([[0.7720]]), tensor([[0.7806]]), tensor([[0.8008]]), tensor([[0.8518]]), tensor([[0.8562]]), tensor([[0.8577]]), tensor([[0.8596]]), tensor([[0.8566]]), tensor([[0.8581]]), tensor([[0.8611]]), tensor([[0.8701]]), tensor([[0.8633]]), tensor([[0.8728]]), tensor([[0.8725]]), tensor([[0.8749]]), tensor([[0.8754]]), tensor([[0.8758]]), tensor([[0.8677]]), tensor([[0.8702]]), tensor([[0.8695]]), tensor([[0.8622]]), tensor([[0.8571]]), tensor([[0.8622]]), tensor([[0.8625]]), tensor([[0.8540]]), tensor([[0.8529]]), tensor([[0.8536]]), tensor([[0.8560]]), tensor([[0.8509]]), tensor([[0.8484]]), tensor([[0.8558]]), tensor([[0.8529]]), tensor([[0.8479]]), tensor([[0.8505]]), tensor([[0.8523]])]",217,256,0.01
29,29,gpt-4,Random Sheep,120,36,"ed, Matilda organized a search party among the flock, and they set off across the fields, bleating Daisy's name in unison.
After what felt like an eternity of","['ed', ',', ' Mat', 'ilda', ' organized', ' a', ' search', ' party', ' among']","['the', ' other', ' sheep', ' within', ' the', ' peaceful', ' herd', '.', ' The', ' verd', 'ant', ',', ' open', ' me', 'adows', ' echoed', ' with', ' their', ' combined', ' ba', 'as', ',', ' creating', ' a', ' un', 'ison', ' of']","[' the', ' flock', ',', ' and', ' they', ' set', ' off', ' across', ' the', ' fields', ',', ' ble', 'ating', ' Daisy', ""'s"", ' name', ' in', ' un', 'ison', '.\n', 'After', ' what', ' felt', ' like', ' an', ' eternity', ' of']",0.9629629629629628,"the other sheep within the peaceful herd. The verdant, open meadows echoed with their combined baas, creating a unison of worry and determination. Matilda, who was the oldest and wisest among them, led from the front, her"," the flock, and they set off across the fields, bleating Daisy's name in unison.
After what felt like an eternity of",tensor([[0.8511]]),38,"[tensor([[0.7554]]), tensor([[0.7835]]), tensor([[0.7781]]), tensor([[0.7788]]), tensor([[0.7920]]), tensor([[0.8043]]), tensor([[0.8077]]), tensor([[0.8000]]), tensor([[0.8173]]), tensor([[0.8353]]), tensor([[0.8322]]), tensor([[0.8274]]), tensor([[0.8374]]), tensor([[0.8365]]), tensor([[0.8381]]), tensor([[0.8419]]), tensor([[0.8390]]), tensor([[0.8452]]), tensor([[0.8436]]), tensor([[0.8465]]), tensor([[0.8476]]), tensor([[0.8397]]), tensor([[0.8404]]), tensor([[0.8330]]), tensor([[0.8447]]), tensor([[0.8446]]), tensor([[0.8479]]), tensor([[0.8490]]), tensor([[0.8416]]), tensor([[0.8448]]), tensor([[0.8360]]), tensor([[0.8378]]), tensor([[0.8404]]), tensor([[0.8440]]), tensor([[0.8442]]), tensor([[0.8494]]), tensor([[0.8467]]), tensor([[0.8511]])]",119,154,0.01
