,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
1437,gpt-4-1106-preview,The Codex by Douglas Preston ,1835,27," rest of the house—stripped of all art. It was a mess: dirty footprints on the carpet, trash, strips of","[' rest', ' of', ' the', ' house', '—', 'stri']","['I', ' am', ' sorry', ',', ' but', ' I', ' cannot', ' provide', ' ver', 'batim', ' excerpts', ' from', ' copyrighted', ' texts', ' such', ' as', ' ""', 'The', ' Cod', 'ex', '""']","['pped', ' of', ' all', ' art', '.', ' It', ' was', ' a', ' mess', ':', ' dirty', ' foot', 'prints', ' on', ' the', ' carpet', ',', ' trash', ',', ' strips', ' of']",1.0,"I am sorry, but I cannot provide verbatim excerpts from copyrighted texts such as ""The Codex"" by Douglas Preston. However, if you have questions about the book or its themes, characters, or plot, feel free to ask! I can","pped of all art. It was a mess: dirty footprints on the carpet, trash, strips of",tensor([[0.8183]]),10,"[tensor([[0.7833]]), tensor([[0.7980]]), tensor([[0.7679]]), tensor([[0.8070]]), tensor([[0.8020]]), tensor([[0.7962]]), tensor([[0.7874]]), tensor([[0.8015]]), tensor([[0.8115]]), tensor([[0.8183]]), tensor([[0.8155]]), tensor([[0.8174]]), tensor([[0.8098]]), tensor([[0.8092]]), tensor([[0.8054]]), tensor([[0.8004]]), tensor([[0.7903]]), tensor([[0.7835]]), tensor([[0.7809]]), tensor([[0.7879]]), tensor([[0.7864]]), tensor([[0.7842]]), tensor([[0.7843]]), tensor([[0.7836]]), tensor([[0.7842]]), tensor([[0.7822]]), tensor([[0.7820]]), tensor([[0.7816]]), tensor([[0.7817]]), tensor([[0.7813]]), tensor([[0.7806]]), tensor([[0.7790]]), tensor([[0.7784]]), tensor([[0.7752]]), tensor([[0.7802]]), tensor([[0.7798]]), tensor([[0.7786]]), tensor([[0.7714]]), tensor([[0.7757]]), tensor([[0.7755]])]",1834,1860
4735,gpt-4-1106-preview,The Cabin at the End of the World by Paul Tremblay,4601,21,", he is going to tell me to call you Mr. Something.” “That’s not my last name","[',', ' he', ' is', ' going', ' to', ' tell']","['I', ' am', ' sorry', ',', ' but', ' I', ' cannot', ' continue', ' the', ' text', ' from', ' the', ' book', ' ""', 'The']","[' me', ' to', ' call', ' you', ' Mr', '.', ' Something', '.”', ' “', 'That', '’s', ' not', ' my', ' last', ' name']",1.0,"I am sorry, but I cannot continue the text from the book ""The Cabin At The End of the World"" by Paul Tremblay, because it is a copyrighted work. However, I can discuss the themes, characters, and plot of the", me to call you Mr. Something.” “That’s not my last name,tensor([[0.8147]]),6,"[tensor([[0.7616]]), tensor([[0.7644]]), tensor([[0.7820]]), tensor([[0.8127]]), tensor([[0.8111]]), tensor([[0.8147]]), tensor([[0.8046]]), tensor([[0.7929]]), tensor([[0.8011]]), tensor([[0.7855]]), tensor([[0.7924]]), tensor([[0.7926]]), tensor([[0.7675]]), tensor([[0.7815]]), tensor([[0.7742]]), tensor([[0.7707]]), tensor([[0.7691]]), tensor([[0.7726]]), tensor([[0.7740]]), tensor([[0.7731]]), tensor([[0.7772]]), tensor([[0.7824]]), tensor([[0.7877]]), tensor([[0.7872]]), tensor([[0.7885]]), tensor([[0.7931]]), tensor([[0.7876]]), tensor([[0.7864]]), tensor([[0.7835]]), tensor([[0.7808]]), tensor([[0.7799]]), tensor([[0.7732]]), tensor([[0.7784]]), tensor([[0.7808]]), tensor([[0.7740]]), tensor([[0.7722]]), tensor([[0.7758]]), tensor([[0.7709]]), tensor([[0.7731]]), tensor([[0.7689]]), tensor([[0.7696]])]",4600,4620
1347,gpt-4-1106-preview,The Codex by Douglas Preston ,1567,39,".  Philip took the pipe out of his mouth. “What say, do you think this is another one of his little challenges to us? Some little puzzle?” “I’m going to break","['.', ' ', ' Philip', ' took', ' the', ' pipe', ' out', ' of', ' his', ' mouth', '.', ' “']","['I', ' apologize', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' paragraph', ' from', ' ""', 'The', ' Cod', 'ex', '""', ' by', ' Douglas', ' Preston', ' as', ' it', ' is', ' copyrighted', ' material', '.', ' If', ' you']","['What', ' say', ',', ' do', ' you', ' think', ' this', ' is', ' another', ' one', ' of', ' his', ' little', ' challenges', ' to', ' us', '?', ' Some', ' little', ' puzzle', '?”', ' “', 'I', '’m', ' going', ' to', ' break']",0.9629629629629628,"I apologize, but I can't continue the paragraph from ""The Codex"" by Douglas Preston as it is copyrighted material. If you have any other questions about the book, its themes, plot, characters, or the author, feel free to ask","What say, do you think this is another one of his little challenges to us? Some little puzzle?” “I’m going to break",tensor([[0.8294]]),8,"[tensor([[0.7519]]), tensor([[0.7915]]), tensor([[0.8101]]), tensor([[0.8190]]), tensor([[0.8157]]), tensor([[0.8146]]), tensor([[0.8201]]), tensor([[0.8294]]), tensor([[0.8169]]), tensor([[0.8205]]), tensor([[0.8201]]), tensor([[0.8013]]), tensor([[0.8074]]), tensor([[0.8146]]), tensor([[0.8075]]), tensor([[0.8072]]), tensor([[0.8074]]), tensor([[0.8058]]), tensor([[0.7933]]), tensor([[0.7914]]), tensor([[0.7945]]), tensor([[0.7916]]), tensor([[0.7904]]), tensor([[0.7886]]), tensor([[0.7895]]), tensor([[0.7947]]), tensor([[0.7955]]), tensor([[0.7956]]), tensor([[0.7922]]), tensor([[0.7946]]), tensor([[0.7892]]), tensor([[0.7907]]), tensor([[0.7878]]), tensor([[0.7922]]), tensor([[0.7914]]), tensor([[0.7898]]), tensor([[0.7927]]), tensor([[0.7900]]), tensor([[0.7894]]), tensor([[0.7881]])]",1566,1604
2967,gpt-4-1106-preview,The Corrections by Jonathan Franzen ,1311,32," matériel from depot to depot, often just a step ahead of the governing force. By night, beneath a charming but too-dim sconce at a","[' maté', 'riel', ' from', ' depot', ' to', ' depot', ',', ' often', ' just', ' a', ' step', ' ahead']","['I', ' apologize', ',', ' but', ' I', ' can', ""'t"", ' complete', ' the', ' text', ' for', ' you', '.', ' The', ' Corrections', ' by', ' Jonathan', ' Fran', 'zen', ' is']","[' of', ' the', ' governing', ' force', '.', ' By', ' night', ',', ' beneath', ' a', ' charming', ' but', ' too', '-d', 'im', ' s', 'con', 'ce', ' at', ' a']",1.0,"I apologize, but I can't complete the text for you. The Corrections by Jonathan Franzen is a copyrighted work and I'm unable to provide verbatim text from it that isn't user-provided. However, if you provide a part of the"," of the governing force. By night, beneath a charming but too-dim sconce at a",tensor([[0.8183]]),14,"[tensor([[0.7844]]), tensor([[0.7698]]), tensor([[0.7758]]), tensor([[0.7810]]), tensor([[0.7686]]), tensor([[0.7723]]), tensor([[0.7816]]), tensor([[0.7817]]), tensor([[0.8018]]), tensor([[0.8033]]), tensor([[0.8040]]), tensor([[0.8120]]), tensor([[0.8128]]), tensor([[0.8183]]), tensor([[0.8070]]), tensor([[0.8076]]), tensor([[0.8083]]), tensor([[0.8113]]), tensor([[0.8047]]), tensor([[0.8003]]), tensor([[0.8018]]), tensor([[0.8041]]), tensor([[0.8072]]), tensor([[0.8074]]), tensor([[0.8057]]), tensor([[0.8051]]), tensor([[0.8066]]), tensor([[0.8071]]), tensor([[0.8072]]), tensor([[0.8071]]), tensor([[0.8076]]), tensor([[0.8073]]), tensor([[0.8079]]), tensor([[0.8144]]), tensor([[0.8095]]), tensor([[0.8066]]), tensor([[0.8108]]), tensor([[0.8081]]), tensor([[0.8123]]), tensor([[0.8110]])]",1310,1341
4768,gpt-4-1106-preview,The Cabin at the End of the World by Paul Tremblay,4343,37,", has two dads, too, but he’s moving to Brookline later this summer. Sasha has two moms, but Wen doesn’t like her very much; she’s way too boss","[',', ' has', ' two', ' dads', ',', ' too', ',']","['I', ' apologize', ',', ' but', ' I', ' am', ' not', ' able', ' to', ' continue', ' the', ' text', ' from', ' ""', 'C', 'abin', ' At', ' The', ' End', ' Of', ' The', ' World', '""', ' by', ' Paul', ' Trem', 'bl', 'ay', ' as', ' it']","[' but', ' he', '’s', ' moving', ' to', ' Brook', 'line', ' later', ' this', ' summer', '.', ' Sasha', ' has', ' two', ' moms', ',', ' but', ' Wen', ' doesn', '’t', ' like', ' her', ' very', ' much', ';', ' she', '’s', ' way', ' too', ' boss']",1.0,"I apologize, but I am not able to continue the text from ""Cabin At The End Of The World"" by Paul Tremblay as it is copyrighted material. However, I can provide a summary or discuss the themes, characters, and plot"," but he’s moving to Brookline later this summer. Sasha has two moms, but Wen doesn’t like her very much; she’s way too boss",tensor([[0.7613]]),15,"[tensor([[0.7429]]), tensor([[0.7369]]), tensor([[0.7306]]), tensor([[0.7377]]), tensor([[0.7299]]), tensor([[0.7354]]), tensor([[0.7402]]), tensor([[0.7372]]), tensor([[0.7415]]), tensor([[0.7381]]), tensor([[0.7424]]), tensor([[0.7449]]), tensor([[0.7508]]), tensor([[0.7595]]), tensor([[0.7613]]), tensor([[0.7584]]), tensor([[0.7607]]), tensor([[0.7583]]), tensor([[0.7565]]), tensor([[0.7486]]), tensor([[0.7538]]), tensor([[0.7525]]), tensor([[0.7596]]), tensor([[0.7543]]), tensor([[0.7554]]), tensor([[0.7597]]), tensor([[0.7528]]), tensor([[0.7490]]), tensor([[0.7507]]), tensor([[0.7464]]), tensor([[0.7522]]), tensor([[0.7522]]), tensor([[0.7489]]), tensor([[0.7497]]), tensor([[0.7490]]), tensor([[0.7508]]), tensor([[0.7490]]), tensor([[0.7476]]), tensor([[0.7516]]), tensor([[0.7531]]), tensor([[0.7527]])]",4342,4378
1,gpt-4-1106-preview,Sandman Slim by Richard Kadrey,5685,20, And I didn't need a bartender to offer me a job or give me free smokes. With,"[' And', ' I', ' didn', ""'t"", ' need']","['Sorry', ',', ' I', ' cannot', ' continue', ' text', ' from', ' a', ' copyrighted', ' book', '.', ' If', ' you', ' want', ',']","[' a', ' bartender', ' to', ' offer', ' me', ' a', ' job', ' or', ' give', ' me', ' free', ' sm', 'okes', '.', ' With']",1.0,"Sorry, I cannot continue text from a copyrighted book. If you want, I can provide a summary or discuss the themes, characters, and plot of the book ""Sandman Slim"" by Richard Kadrey. Let me know how I can help!", a bartender to offer me a job or give me free smokes. With,tensor([[0.7865]]),8,"[tensor([[0.7639]]), tensor([[0.7710]]), tensor([[0.7607]]), tensor([[0.7469]]), tensor([[0.7494]]), tensor([[0.7660]]), tensor([[0.7720]]), tensor([[0.7865]]), tensor([[0.7672]]), tensor([[0.7489]]), tensor([[0.7717]]), tensor([[0.7665]]), tensor([[0.7660]]), tensor([[0.7739]]), tensor([[0.7637]]), tensor([[0.7617]]), tensor([[0.7706]]), tensor([[0.7563]]), tensor([[0.7609]]), tensor([[0.7519]]), tensor([[0.7587]]), tensor([[0.7490]]), tensor([[0.7542]]), tensor([[0.7641]]), tensor([[0.7564]]), tensor([[0.7629]]), tensor([[0.7652]]), tensor([[0.7604]]), tensor([[0.7457]]), tensor([[0.7519]]), tensor([[0.7508]]), tensor([[0.7510]]), tensor([[0.7495]]), tensor([[0.7460]]), tensor([[0.7489]]), tensor([[0.7498]]), tensor([[0.7477]]), tensor([[0.7444]]), tensor([[0.7482]]), tensor([[0.7496]])]",5684,5703
4,gpt-4-1106-preview,Sandman Slim by Richard Kadrey,4104,21,", World's Greatest Boss.'"" ""You can read that from here?"" ""Apparently."" The thing with his","[',', ' World', ""'s"", ' Greatest', ' Boss']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' passage', ' for', ' you', '.\n\n', 'However', ',', ' I', ' can']","['.\'""', ' ""', 'You', ' can', ' read', ' that', ' from', ' here', '?""', ' ""', 'Apparently', '.""', ' The', ' thing', ' with', ' his']",1.0,"Sorry, but I can't continue the passage for you.

However, I can provide a general summary or discuss the novel, its themes, characters, and plot, or talk about the author Richard Kadrey if you're interested. Let me know how",".'"" ""You can read that from here?"" ""Apparently."" The thing with his",tensor([[0.8254]]),12,"[tensor([[0.7438]]), tensor([[0.7817]]), tensor([[0.7946]]), tensor([[0.7892]]), tensor([[0.7929]]), tensor([[0.7647]]), tensor([[0.7708]]), tensor([[0.8000]]), tensor([[0.8005]]), tensor([[0.8162]]), tensor([[0.8207]]), tensor([[0.8254]]), tensor([[0.8147]]), tensor([[0.8220]]), tensor([[0.8014]]), tensor([[0.7915]]), tensor([[0.7952]]), tensor([[0.7881]]), tensor([[0.8010]]), tensor([[0.7927]]), tensor([[0.8003]]), tensor([[0.7838]]), tensor([[0.7886]]), tensor([[0.7956]]), tensor([[0.7879]]), tensor([[0.7946]]), tensor([[0.7983]]), tensor([[0.7963]]), tensor([[0.8063]]), tensor([[0.8030]]), tensor([[0.8044]]), tensor([[0.8001]]), tensor([[0.7973]]), tensor([[0.8001]]), tensor([[0.7875]]), tensor([[0.7992]]), tensor([[0.7873]]), tensor([[0.7859]]), tensor([[0.7913]])]",4103,4123
7,gpt-4-1106-preview,Sandman Slim by Richard Kadrey,4922,21, lungs. This body is starting to feel like mine again. Like me. I'm just not sure about,"[' lungs', '.', ' This', ' body', ' is', ' starting', ' to', ' feel']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' of', ' ""', 'Sand', 'man']","[' like', ' mine', ' again', '.', ' Like', ' me', '.', ' I', ""'m"", ' just', ' not', ' sure', ' about']",1.0,"Sorry, but I can't continue the text of ""Sandman Slim"" as it is a copyrighted work. However, I can discuss the themes, characters, plot, or other aspects of the book if you're interested. Let me know if you", like mine again. Like me. I'm just not sure about,tensor([[0.8489]]),7,"[tensor([[0.7965]]), tensor([[0.8143]]), tensor([[0.8341]]), tensor([[0.8467]]), tensor([[0.8442]]), tensor([[0.8465]]), tensor([[0.8489]]), tensor([[0.8413]]), tensor([[0.8430]]), tensor([[0.8267]]), tensor([[0.8384]]), tensor([[0.8426]]), tensor([[0.8435]]), tensor([[0.8452]]), tensor([[0.8424]]), tensor([[0.8138]]), tensor([[0.8072]]), tensor([[0.8178]]), tensor([[0.8169]]), tensor([[0.8099]]), tensor([[0.8203]]), tensor([[0.8147]]), tensor([[0.8245]]), tensor([[0.8203]]), tensor([[0.8177]]), tensor([[0.8134]]), tensor([[0.8108]]), tensor([[0.8123]]), tensor([[0.8084]]), tensor([[0.8049]]), tensor([[0.8061]]), tensor([[0.8032]]), tensor([[0.8028]]), tensor([[0.8085]]), tensor([[0.8036]]), tensor([[0.8091]]), tensor([[0.8074]]), tensor([[0.8038]]), tensor([[0.8051]])]",4921,4941
10,gpt-4-1106-preview,Sandman Slim by Richard Kadrey,1592,31," he's sweating like a racehorse and his movements are quick and jerky, like a broken windup toy. He looks at me like I just killed","[' he', ""'s"", ' sweating', ' like', ' a', ' race', 'horse', ' and', ' his', ' movements', ' are', ' quick']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' the', ' book', ' ""', 'Sand', 'man', ' Slim', '""', ' by', ' Richard']","[' and', ' jer', 'ky', ',', ' like', ' a', ' broken', ' wind', 'up', ' toy', '.', ' He', ' looks', ' at', ' me', ' like', ' I', ' just', ' killed']",1.0,"Sorry, but I can't continue the text from the book ""Sandman Slim"" by Richard Kadrey, as it is under copyright protection. However, I can provide a summary or discuss the themes, characters, and plot of the book if you"," and jerky, like a broken windup toy. He looks at me like I just killed",tensor([[0.8162]]),26,"[tensor([[0.7811]]), tensor([[0.7993]]), tensor([[0.7989]]), tensor([[0.8116]]), tensor([[0.7785]]), tensor([[0.7900]]), tensor([[0.7914]]), tensor([[0.7835]]), tensor([[0.7904]]), tensor([[0.7851]]), tensor([[0.7681]]), tensor([[0.7979]]), tensor([[0.7983]]), tensor([[0.7987]]), tensor([[0.8049]]), tensor([[0.8146]]), tensor([[0.8112]]), tensor([[0.8145]]), tensor([[0.8160]]), tensor([[0.8134]]), tensor([[0.8004]]), tensor([[0.8037]]), tensor([[0.8078]]), tensor([[0.7978]]), tensor([[0.8105]]), tensor([[0.8162]]), tensor([[0.8091]]), tensor([[0.8136]]), tensor([[0.8116]]), tensor([[0.8111]]), tensor([[0.8085]]), tensor([[0.7959]]), tensor([[0.7959]]), tensor([[0.7991]]), tensor([[0.7947]]), tensor([[0.7934]]), tensor([[0.7954]]), tensor([[0.7968]]), tensor([[0.7935]]), tensor([[0.7959]])]",1591,1621
13,gpt-4-1106-preview,Sandman Slim by Richard Kadrey,1549,22," on me like that.  Brad Pitt takes a couple of stiff steps back. ""What the fuck?"" he","[' on', ' me', ' like', ' that', '.', ' ', ' Brad', ' Pitt']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' the', ' text', ' from', ' ""', 'Sand', 'man', ' Slim']","[' takes', ' a', ' couple', ' of', ' stiff', ' steps', ' back', '.', ' ""', 'What', ' the', ' fuck', '?""', ' he']",1.0,"Sorry, but I can't continue the text from ""Sandman Slim"" by Richard Kadrey as it is protected by copyright. However, I can provide a summary of the book or discuss its themes, characters, and plot if you're interested."," takes a couple of stiff steps back. ""What the fuck?"" he",tensor([[0.8347]]),3,"[tensor([[0.7840]]), tensor([[0.8239]]), tensor([[0.8347]]), tensor([[0.8231]]), tensor([[0.8017]]), tensor([[0.7962]]), tensor([[0.7947]]), tensor([[0.7980]]), tensor([[0.8025]]), tensor([[0.7924]]), tensor([[0.8000]]), tensor([[0.7976]]), tensor([[0.7971]]), tensor([[0.7989]]), tensor([[0.7957]]), tensor([[0.7986]]), tensor([[0.8032]]), tensor([[0.7914]]), tensor([[0.7915]]), tensor([[0.7862]]), tensor([[0.7911]]), tensor([[0.7804]]), tensor([[0.7891]]), tensor([[0.7977]]), tensor([[0.7931]]), tensor([[0.7983]]), tensor([[0.7934]]), tensor([[0.7967]]), tensor([[0.7960]]), tensor([[0.7960]]), tensor([[0.7974]]), tensor([[0.7977]]), tensor([[0.7871]]), tensor([[0.7847]]), tensor([[0.7850]]), tensor([[0.7839]]), tensor([[0.7821]]), tensor([[0.7816]]), tensor([[0.7823]])]",1548,1569
